Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
2,0:19,1,10,KAN 34,7,14,"Patrick Mahomes spiked the ball. Penalty on Jalen Carter: Encroachment, 5 yards (accepted) (no play)",1.200,4.040
2,0:19,1,5,PHI 29,7,14,Patrick Mahomes pass complete short left to Jerick McKinnon for 4 yards (tackle by Zach Cunningham and Jalen Carter),4.040,3.990
2,0:03,2,1,PHI 25,7,14,Patrick Mahomes spiked the ball,3.990,3.270
2,0:02,3,1,PHI 25,7,17,Harrison Butker 43 yard field goal good,3.270,3.000
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,7,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,7,17,Boston Scott right end for 4 yards (tackle by George Karlaftis),0.610,0.600
3,14:26,2,6,PHI 29,7,17,D'Andre Swift right end for -1 yards (tackle by Chris Jones),0.600,-0.230
3,13:44,3,7,PHI 28,7,17,Jalen Hurts up the middle for -2 yards (tackle by Chris Jones),-0.230,-1.630
3,13:10,4,9,PHI 26,7,17,"Braden Mann punts 63 yards, returned by Kadarius Toney for 10 yards (tackle by Ben VanSumeren)",-1.630,-0.340
3,12:58,1,10,KAN 21,7,17,Isiah Pacheco left end for 15 yards (tackle by Reed Blankenship),0.340,1.330
3,12:27,1,10,KAN 36,7,17,"Isiah Pacheco right end for no gain (tackle by Reed Blankenship). Penalty on Trey Smith: Offensive Holding, 10 yards (accepted) (no play)",1.330,0.670
3,12:04,1,20,KAN 26,7,17,Clyde Edwards-Helaire left guard for 8 yards (tackle by Reed Blankenship and Haason Reddick),0.670,0.520
3,11:20,2,12,KAN 34,7,17,Patrick Mahomes scrambles up the middle for 9 yards (tackle by Nicholas Morrow),0.520,1.030
3,10:37,3,3,KAN 43,7,17,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,1.030,-0.520
3,10:29,4,3,KAN 43,7,17,Tommy Townsend punts 32 yards out of bounds,-0.520,-0.610
3,10:22,1,10,PHI 25,7,17,Jalen Hurts pass incomplete deep right intended for A.J. Brown,0.610,0.060
3,10:17,2,10,PHI 25,7,17,Jalen Hurts pass complete short left to D'Andre Swift for 9 yards (tackle by Justin Reid),0.060,0.560
3,9:48,3,1,PHI 34,7,17,D'Andre Swift right guard for -3 yards (tackle by Willie Gay),0.560,-1.310
3,9:11,4,4,PHI 31,7,17,"Braden Mann punts 44 yards, returned by Kadarius Toney for 4 yards (tackle by Jack Stoll)",-1.310,-0.870
3,8:59,1,10,KAN 29,7,17,Isiah Pacheco right guard for no gain (tackle by Jordan Davis and Nicholas Morrow),0.870,0.330
3,8:21,2,10,KAN 29,7,17,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Kevin Byard),0.330,0.700
3,7:38,3,2,KAN 37,7,17,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",0.700,0.040
3,7:15,3,7,KAN 32,7,17,Patrick Mahomes pass incomplete deep right intended for Justin Watson,0.040,-1.240
3,7:11,4,7,KAN 32,7,17,"Tommy Townsend punts 55 yards, returned by Britain Covey for 26 yards (tackle by Leo Chenal)",-1.240,-1.530
3,6:58,1,10,PHI 39,7,17,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.530,0.990
3,6:54,2,10,PHI 39,7,17,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Mike Edwards),0.990,1.490
3,6:24,3,1,PHI 48,7,17,Jalen Hurts up the middle for 2 yards (tackle by Drue Tranquill),1.490,2.260
3,5:42,1,10,PHI 50,7,17,D'Andre Swift left end for 35 yards (tackle by Trent McDuffie),2.260,4.580
3,4:55,1,10,KAN 15,7,17,Jalen Hurts pass incomplete short right intended for A.J. Brown,4.580,3.950
3,4:51,2,10,KAN 15,7,17,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Justin Reid),3.950,4.000
3,4:09,3,5,KAN 10,13,17,"Jalen Hurts right guard for 10 yards, touchdown",4.000,7.000
3,4:05,,,KAN 15,14,17,Jake Elliott kicks extra point good,0.000,0.000
3,4:05,,,PHI 35,14,17,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,4:05,1,10,KAN 25,14,17,Patrick Mahomes pass complete short left to Rashee Rice for 17 yards (tackle by Zach Cunningham),0.610,1.730
3,3:34,1,10,KAN 42,14,17,"Isiah Pacheco right end for no gain (tackle by James Bradberry). Penalty on Travis Kelce: Offensive Holding, 10 yards (accepted) (no play)",1.730,1.070
3,3:11,1,20,KAN 32,14,17,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Darius Slay),1.070,0.650
3,2:32,2,14,KAN 38,14,17,"Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling. Penalty on Darius Slay: Defensive Pass Interference, 16 yards (accepted) (no play)",0.650,2.520
3,2:28,1,10,PHI 46,14,17,Isiah Pacheco right guard for 2 yards (tackle by Kevin Byard),2.520,2.250
3,1:46,2,8,PHI 44,14,17,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,2.250,1.550
3,1:40,3,8,PHI 44,14,17,"Patrick Mahomes pass incomplete short left intended for Kadarius Toney. Penalty on Eli Ricks: Illegal Contact, 5 yards (accepted) (no play)",1.550,2.980
3,1:34,1,10,PHI 39,14,17,Patrick Mahomes pass incomplete short left intended for Skyy Moore (defended by Kevin Byard),2.980,2.440
3,1:27,2,10,PHI 39,14,17,Patrick Mahomes pass complete short left to Mecole Hardman for 7 yards (tackle by Zach Cunningham),2.440,2.680
3,0:47,3,3,PHI 32,14,17,Jerick McKinnon right guard for 7 yards (tackle by Reed Blankenship),2.680,3.910
3,0:10,1,10,PHI 25,14,17,Isiah Pacheco right end for no gain (tackle by Haason Reddick),3.910,3.360
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,PHI 25,14,17,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Nicholas Morrow),3.360,3.200
4,14:37,3,6,PHI 21,14,17,Patrick Mahomes pass complete short right to Kadarius Toney for 5 yards (tackle by Kevin Byard),3.200,2.530
4,14:00,4,1,PHI 16,14,17,Isiah Pacheco up the middle for 2 yards (tackle by Zach Cunningham),2.530,4.650
4,13:21,1,10,PHI 14,14,17,"Patrick Mahomes pass complete short left to Travis Kelce for 4 yards. Travis Kelce fumbles (forced by Bradley Roby), recovered by Nicholas Morrow at PHI-10",4.650,0.380
4,13:15,1,10,PHI 10,14,17,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by L'Jarius Sneed),-0.380,-0.780
4,13:10,2,10,PHI 10,14,17,Jalen Hurts pass complete short right to Julio Jones for no gain (tackle by Justin Reid),-0.780,-1.420
4,12:28,3,10,PHI 10,14,17,Jalen Hurts scrambles left end for 5 yards (tackle by Mike Edwards),-1.420,-2.440
4,11:52,4,5,PHI 15,14,17,"Braden Mann punts 55 yards, returned by Kadarius Toney for 7 yards (tackle by Josh Jobe)",-2.440,-1.400
4,11:38,1,10,KAN 37,14,17,Isiah Pacheco right end for 1 yard (tackle by Marlon Tuipulotu),1.400,0.990
4,10:55,2,9,KAN 38,14,17,Patrick Mahomes pass incomplete short right intended for Rashee Rice (defended by Darius Slay),0.990,0.300
4,10:52,3,9,KAN 38,14,17,Patrick Mahomes pass complete deep left to Justin Watson for 17 yards (tackle by Sydney Brown),0.300,2.590
4,10:20,1,10,PHI 45,14,17,Patrick Mahomes pass complete short left to Isiah Pacheco for 2 yards (tackle by Zach Cunningham),2.590,2.310
4,9:45,2,8,PHI 43,14,17,Patrick Mahomes pass complete short right to Skyy Moore for 4 yards (tackle by Bradley Roby),2.310,2.150
4,9:07,3,4,PHI 39,14,17,Patrick Mahomes pass incomplete short middle intended for Justin Watson,2.150,0.660
4,9:04,4,4,PHI 39,14,17,"Tommy Townsend punts 39 yards, touchback.",0.660,-0.280
4,8:56,1,10,PHI 20,14,17,Jalen Hurts pass incomplete short right intended for Olamide Zaccheaus (defended by Trent McDuffie),0.280,-0.270
4,8:53,2,10,PHI 20,14,17,Jalen Hurts pass complete short left to D'Andre Swift for 20 yards (tackle by Willie Gay),-0.270,1.600
4,8:19,1,10,PHI 40,14,17,Jalen Hurts pass complete short right to Julio Jones for 5 yards (tackle by L'Jarius Sneed),1.600,1.730
4,7:39,2,5,PHI 45,14,17,Jalen Hurts pass incomplete short right intended for Jack Stoll,1.730,1.030
4,7:33,3,5,PHI 45,14,17,Jalen Hurts pass complete short middle to DeVonta Smith for 13 yards (tackle by Jaylen Watson),1.030,2.790
4,6:55,1,10,KAN 42,14,17,Jalen Hurts pass complete deep right to DeVonta Smith for 41 yards (tackle by Mike Edwards),2.790,6.970
4,6:23,1,1,KAN 1,20,17,"Jalen Hurts up the middle for 1 yard, touchdown Penalty on KAN: Defensive Offside, 5 yards (declined)",6.970,7.000
4,6:20,,,KAN 15,21,17,Jake Elliott kicks extra point good,0.000,0.000
4,6:20,,,PHI 35,21,17,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,6:20,1,10,KAN 25,21,17,Isiah Pacheco left guard for 3 yards (tackle by Jalen Carter),0.610,0.470
4,5:51,2,7,KAN 28,21,17,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,0.470,-0.230
4,5:46,3,7,KAN 28,21,17,"Penalty on Creed Humphrey: False Start, 5 yards (accepted) (no play)",-0.230,-0.890
4,5:46,3,12,KAN 23,21,17,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon (defended by Zach Cunningham),-0.890,-1.830
4,5:39,4,12,KAN 23,21,17,"Tommy Townsend punts 52 yards, returned by Britain Covey for 19 yards (tackle by Chamarri Conner)",-1.830,-1.860
4,5:28,1,10,PHI 44,21,17,Jalen Hurts right end for 9 yards (tackle by Justin Reid),1.860,2.530
4,4:46,2,1,KAN 47,21,17,Jalen Hurts up the middle for 2 yards (tackle by Chris Jones),2.530,2.590
4,4:02,1,10,KAN 45,21,17,D'Andre Swift right end for -2 yards (tackle by Drue Tranquill),2.590,1.770
4,3:20,2,12,KAN 47,21,17,"Jalen Hurts scrambles left end for no gain (tackle by Leo Chenal). Penalty on Jordan Mailata: Offensive Holding, 10 yards (accepted) (no play)",1.770,0.420
4,3:13,2,22,PHI 43,21,17,Jalen Hurts right end for -1 yards (tackle by Justin Reid),0.420,-0.360
4,3:08,,,,,,Timeout #1 by Kansas City Chiefs,,
4,3:08,3,23,PHI 42,21,17,Jalen Hurts pass complete short right to D'Andre Swift for 2 yards (tackle by Drue Tranquill),-0.360,-0.460
4,2:56,,,,,,Timeout #2 by Kansas City Chiefs,,
4,2:56,4,21,PHI 44,21,17,"Braden Mann punts 47 yards, returned by Kadarius Toney for no gain (tackle by Josh Jobe)",-0.460,0.380
4,2:49,1,10,KAN 9,21,17,Patrick Mahomes pass complete short left to Rashee Rice for 5 yards (tackle by Kevin Byard),-0.380,-0.390
4,2:27,2,5,KAN 14,21,17,Patrick Mahomes pass complete short left to Justin Watson for 3 yards (tackle by James Bradberry),-0.390,-0.480
4,2:21,3,2,KAN 17,21,17,Patrick Mahomes pass incomplete short right intended for Travis Kelce,-0.480,-2.320
4,2:18,4,2,KAN 17,21,17,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Sydney Brown),-2.320,0.340
4,2:04,1,10,KAN 21,21,17,"Patrick Mahomes pass complete short left to Travis Kelce for 13 yards (tackle by Kevin Byard). Penalty on Fletcher Cox: Roughing the Passer, 15 yards (accepted)",0.340,2.190
4,1:56,1,10,KAN 49,21,17,Patrick Mahomes pass incomplete deep right,2.190,1.650
4,1:50,2,10,KAN 49,21,17,Patrick Mahomes pass incomplete deep middle intended for Marquez Valdes-Scantling,1.650,0.960
4,1:42,3,10,KAN 49,21,17,"Patrick Mahomes pass incomplete short right. Penalty on Patrick Mahomes: Intentional Grounding, 15 yards (accepted)",0.960,-1.110
4,1:35,,,,,,Timeout #3 by Kansas City Chiefs,,
4,1:35,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:35,4,25,KAN 34,21,17,Patrick Mahomes pass incomplete deep right intended for Justin Watson (defended by Darius Slay),-1.110,-3.310
4,1:28,1,10,KAN 34,21,17,Jalen Hurts kneels for -1 yards,3.310,2.640
4,0:48,2,11,KAN 35,21,17,Jalen Hurts kneels for -1 yards,2.640,1.820
4,0:33,3,12,KAN 36,21,17,Jalen Hurts kneels for -1 yards,1.820,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
