Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
3,5:40,2,7,LVR 23,13,14,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle (defended by Robert Spillane),3.700,3.010
3,5:35,3,7,LVR 23,13,14,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,3.010,1.930
3,5:29,4,7,LVR 23,13,17,Jason Sanders 41 yard field goal good,1.930,3.000
3,5:26,,,MIA 35,13,17,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,5:26,1,10,LVR 25,13,17,Aidan O'Connell pass complete short right to Michael Mayer for 8 yards (tackle by Jerome Baker),0.610,1.140
3,4:49,2,2,LVR 33,13,17,Josh Jacobs left guard for 1 yard (tackle by Jerome Baker),1.140,0.560
3,4:07,3,1,LVR 34,13,17,"Aidan O'Connell pass incomplete deep middle intended for Davante Adams. Penalty on Jermaine Eluemunor: Offensive Holding, 10 yards (declined)",0.560,-1.110
3,4:00,4,1,LVR 34,13,17,"AJ Cole punts 51 yards, fair catch by Cedrick Wilson at MIA-15",-1.110,0.220
3,3:52,1,10,MIA 15,13,17,Raheem Mostert left tackle for 4 yards (tackle by Tre'von Moehrig and Robert Spillane),-0.220,-0.110
3,3:10,2,6,MIA 19,13,17,Tua Tagovailoa pass complete deep left to Tyreek Hill for 25 yards (tackle by Nate Hobbs),-0.110,1.860
3,2:34,1,10,MIA 44,13,17,Salvon Ahmed up the middle for 2 yards (tackle by Tre'von Moehrig),1.860,1.590
3,1:52,2,8,MIA 46,13,17,Tua Tagovailoa pass complete short middle to Cedrick Wilson for 12 yards (tackle by Isaiah Pola-Mao),1.590,2.790
3,1:17,1,10,LVR 42,13,17,Tua Tagovailoa pass complete short right to Alec Ingold for 9 yards (tackle by Malik Reed),2.790,3.460
3,0:35,2,1,LVR 33,13,17,Tua Tagovailoa pass incomplete short left,3.460,2.740
3,0:34,3,1,LVR 33,13,17,Tua Tagovailoa pass incomplete short middle intended for Alec Ingold,2.740,1.210
3,0:30,4,1,LVR 33,13,20,Jason Sanders 51 yard field goal good,1.210,3.000
3,0:25,,,MIA 35,13,20,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,0:25,1,10,LVR 25,13,20,Josh Jacobs up the middle for 6 yards (tackle by Zach Sieler and Jevon Holland),0.610,0.870
Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,LVR 31,13,20,Aidan O'Connell pass complete short right to Hunter Renfrow for 3 yards (tackle by Jerome Baker),0.870,0.560
4,14:16,3,1,LVR 34,13,20,Josh Jacobs right guard for 2 yards (tackle by David Long and Bradley Chubb),0.560,1.330
4,13:35,1,10,LVR 36,13,20,Aidan O'Connell pass complete short right to Jakobi Meyers for 7 yards (tackle by Xavien Howard),1.330,1.740
4,12:57,2,3,LVR 43,13,20,Aidan O'Connell pass incomplete deep right intended for Davante Adams,1.740,1.030
4,12:50,3,3,LVR 43,13,20,Aidan O'Connell sacked by Jaelan Phillips for -8 yards,1.030,-1.040
4,12:11,4,11,LVR 35,13,20,"AJ Cole punts 53 yards, returned by Cedrick Wilson for 8 yards (tackle by DJ Turner). Penalty on Justin Bethel: Illegal Block Above the Waist, 10 yards (accepted)",-1.040,0.380
4,11:59,1,10,MIA 10,13,20,Raheem Mostert left end for 1 yard (tackle by Malcolm Koonce),-0.380,-0.710
4,11:21,2,9,MIA 11,13,20,Tua Tagovailoa pass incomplete short left,-0.710,-1.300
4,11:03,3,9,MIA 11,13,20,"Tua Tagovailoa pass complete short left to Salvon Ahmed for 5 yards (tackle by Robert Spillane and Maxx Crosby). Penalty on Lester Cotton: Unsportsmanlike Conduct / Offense, 15 yards (offset) . Penalty on Jack Jones: Unsportsmanlike Conduct / Defense, 15 yards (offset)",-1.300,-2.390
4,11:03,4,4,MIA 16,13,20,Jake Bailey punts 34 yards out of bounds,-2.390,-2.260
4,10:55,1,10,LVR 50,13,20,Aidan O'Connell pass incomplete short right,2.260,1.710
4,10:49,2,10,LVR 50,13,20,Aidan O'Connell pass complete short right to Josh Jacobs for 12 yards (tackle by Kader Kohou),1.710,3.050
4,10:12,1,10,MIA 38,13,20,Tre Tucker left end for -6 yards (tackle by Jevon Holland),3.050,1.700
4,9:27,2,16,MIA 44,13,20,"Aidan O'Connell pass complete deep right to Tre Tucker for 23 yards MIA challenged the pass completion ruling, and the original play was overturned. Aidan O'Connell pass incomplete deep right intended for Tre Tucker",1.700,0.960
4,9:19,3,17,MIA 44,13,20,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by Jerome Baker),0.960,1.380
4,8:32,4,3,MIA 31,13,20,Aidan O'Connell pass incomplete deep left intended for Jakobi Meyers,1.380,-1.000
4,8:26,1,10,MIA 31,13,20,Raheem Mostert left tackle for 5 yards (tackle by Luke Masterson and Tyler Hall),1.000,1.140
4,7:48,2,5,MIA 36,13,20,"Raheem Mostert left guard for no gain. Penalty on Terron Armstead: Offensive Holding, 10 yards (accepted) (no play)",1.140,-0.220
4,7:23,2,15,MIA 26,13,20,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,-0.220,-0.890
4,7:17,3,15,MIA 26,13,20,Tua Tagovailoa pass complete short right to Raheem Mostert for 7 yards (tackle by Robert Spillane and Isaiah Pola-Mao),-0.890,-1.180
4,6:34,4,8,MIA 33,13,20,"Jake Bailey punts 66 yards, returned by DeAndre Carter for 12 yards (tackle by Duke Riley)",-1.180,0.320
4,6:21,1,10,LVR 13,13,20,Aidan O'Connell pass incomplete short right,-0.320,-0.770
4,6:18,2,10,LVR 13,13,20,"Aidan O'Connell pass complete short right to Jakobi Meyers for 24 yards (tackle by Jaelan Phillips). Penalty on Xavien Howard: Defensive Pass Interference, 15 yards (declined)",-0.770,1.400
4,5:53,1,10,LVR 37,13,20,Josh Jacobs up the middle for 4 yards (tackle by Zach Sieler),1.400,1.400
4,5:33,2,6,LVR 41,13,20,Aidan O'Connell pass complete short right to Hunter Renfrow for 31 yards (tackle by Christian Wilkins),1.400,3.710
4,4:46,1,10,MIA 28,13,20,Aidan O'Connell sacked by Jaelan Phillips for -3 yards,3.710,2.760
4,4:01,2,13,MIA 31,13,20,Aidan O'Connell pass complete short right to Hunter Renfrow for 7 yards (tackle by Andrew Van Ginkel),2.760,3.010
4,3:18,3,6,MIA 24,13,20,Aidan O'Connell pass incomplete short middle intended for Tre Tucker (defended by Andrew Van Ginkel),3.010,1.890
4,3:12,4,6,MIA 24,13,20,Aidan O'Connell pass short middle is intercepted by Jaelan Phillips at MIA-33 and returned for 5 yards (tackle by Thayer Munford),1.890,-1.470
4,3:04,1,10,MIA 38,13,20,Raheem Mostert right tackle for 7 yards (tackle by Tre'von Moehrig),1.470,1.870
4,2:58,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:58,2,3,MIA 45,13,20,Raheem Mostert up the middle for 5 yards (tackle by Robert Spillane and Jerry Tillery),1.870,2.260
4,2:22,1,10,LVR 50,13,20,Raheem Mostert up the middle for 3 yards (tackle by Maxx Crosby),2.260,2.120
4,2:16,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:16,2,7,LVR 47,13,20,Raheem Mostert left tackle for 2 yards (tackle by John Jenkins and Robert Spillane),2.120,1.690
4,2:10,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:10,3,5,LVR 45,13,20,Tua Tagovailoa pass incomplete short right,1.690,0.270
4,2:05,4,5,LVR 45,13,20,"Penalty on Connor Williams: False Start, 5 yards (accepted) (no play)",0.270,-0.060
4,2:05,4,10,LVR 50,13,20,"Jake Bailey punts 43 yards, fair catch by DeAndre Carter at LV-7",-0.060,0.380
4,1:58,1,10,LVR 7,13,20,Aidan O'Connell pass complete short right to Davante Adams for 6 yards (tackle by Andrew Van Ginkel and Xavien Howard),-0.380,-0.340
4,1:52,2,4,LVR 13,13,20,Aidan O'Connell pass incomplete deep left intended for Davante Adams,-0.340,-0.720
4,1:47,3,4,LVR 13,13,20,Aidan O'Connell pass complete short middle to Jakobi Meyers for 5 yards (tackle by Andrew Van Ginkel),-0.720,0.040
4,1:29,1,10,LVR 18,13,20,Aidan O'Connell pass complete deep left to Tre Tucker for 19 yards (tackle by Jevon Holland),0.040,1.400
4,1:08,1,10,LVR 37,13,20,Aidan O'Connell pass complete short right to Ameer Abdullah for 4 yards (tackle by Jerome Baker),1.400,1.400
4,0:46,2,6,LVR 41,13,20,Aidan O'Connell pass incomplete short left intended for Davante Adams,1.400,0.700
4,0:42,,,,,,Timeout #1 by Miami Dolphins,,
4,0:42,3,6,LVR 41,13,20,Aidan O'Connell pass complete deep right to Davante Adams for 20 yards (tackle by DeShon Elliott),0.700,2.980
4,0:36,1,10,MIA 39,13,20,Aidan O'Connell pass incomplete short middle intended for Austin Hooper (defended by Xavien Howard),2.980,2.440
4,0:32,2,10,MIA 39,13,20,Aidan O'Connell pass deep middle intended for Tre Tucker is intercepted by Jalen Ramsey in end zone and returned for no gain,2.440,-0.280
4,0:25,1,10,MIA 20,13,20,Tua Tagovailoa kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
