Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
2,8:04,1,1,CAR 1,0,14,Kenyan Drake left end for -2 yards (tackle by Troy Pride),6.970,5.530
2,7:31,2,3,CAR 3,6,14,"Kyler Murray pass complete short left to Jordan Thomas for 3 yards, touchdown",5.530,7.000
2,7:26,,,CAR 15,7,14,Zane Gonzalez kicks extra point good,0.000,0.000
2,7:26,,,ARI 35,7,14,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,7:26,1,10,CAR 25,7,14,Teddy Bridgewater pass complete short right to Curtis Samuel for 11 yards (tackle by Curtis Riley),0.610,1.330
2,6:55,1,10,CAR 36,7,14,Teddy Bridgewater pass complete short right to Seth Roberts for 10 yards (tackle by Patrick Peterson),1.330,1.990
2,6:10,1,10,CAR 46,7,14,Teddy Bridgewater pass complete short right to Mike Davis for -1 yards (tackle by Zach Allen and Jordan Hicks),1.990,1.320
2,5:30,2,11,CAR 45,7,14,Teddy Bridgewater pass complete short right to Robby Anderson for 16 yards (tackle by Patrick Peterson),1.320,2.980
2,4:56,1,10,ARI 39,7,14,Mike Davis left guard for 3 yards (tackle by Deionte Thompson and Rashard Lawrence),2.980,2.850
2,4:12,2,7,ARI 36,7,14,Teddy Bridgewater pass complete short left to Robby Anderson for 17 yards (tackle by Deionte Thompson),2.850,4.310
2,3:37,1,10,ARI 19,7,14,Mike Davis up the middle for 9 yards (tackle by Jordan Hicks),4.310,5.360
2,2:59,2,1,ARI 10,7,14,Mike Davis up the middle for 9 yards (tackle by Jordan Hicks and Curtis Riley),5.360,6.970
2,2:22,1,1,ARI 1,7,14,Mike Davis up the middle for -2 yards (tackle by Jordan Hicks),6.970,5.530
2,2:00,2,3,ARI 3,7,20,"Teddy Bridgewater pass complete short right to Reggie Bonnafon for 3 yards, touchdown",5.530,7.000
2,1:55,,,ARI 15,7,21,Joey Slye kicks extra point good,0.000,0.000
2,1:55,,,CAR 35,7,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,ARI 25,7,21,Kyler Murray pass complete short left to DeAndre Hopkins for 2 yards (tackle by Jeremy Chinn),0.610,0.330
2,1:50,2,8,ARI 27,7,21,Kyler Murray pass complete short middle to Larry Fitzgerald for 6 yards (tackle by Juston Burris),0.330,0.430
2,1:26,3,2,ARI 33,7,21,Chase Edmonds up the middle for 5 yards (tackle by Shaq Thompson),0.430,1.470
2,1:08,1,10,ARI 38,7,21,"Kyler Murray pass complete short middle to Chase Edmonds for 8 yards (tackle by Juston Burris). Penalty on Jeremy Chinn: Unnecessary Roughness, 15 yards",1.470,2.980
2,0:59,1,10,CAR 39,7,21,Kyler Murray pass complete short left to Chase Edmonds for -5 yards (tackle by Shaq Thompson),2.980,1.770
2,0:54,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:54,2,15,CAR 44,7,21,Kyler Murray pass complete short left to DeAndre Hopkins for 8 yards (tackle by Rasul Douglas),1.770,2.150
2,0:49,3,7,CAR 36,7,21,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",2.150,1.490
2,0:49,3,12,CAR 41,7,21,Kyler Murray pass incomplete deep left intended for DeAndre Hopkins,1.490,0.530
2,0:42,4,12,CAR 41,7,21,"Andy Lee punts 35 yards, fair catch by Pharoh Cooper at CAR-6",0.530,0.380
2,0:35,1,10,CAR 6,7,21,Teddy Bridgewater kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,7,21,"Zane Gonzalez kicks off 61 yards, returned by Pharoh Cooper for 24 yards (tackle by Jonathan Ward and Zeke Turner)",0.000,0.810
3,14:55,1,10,CAR 28,7,21,Teddy Bridgewater pass complete short right to Mike Davis for 20 yards (tackle by Curtis Riley),0.810,2.130
3,14:29,1,10,CAR 48,7,21,Mike Davis right guard for 1 yard (tackle by Deionte Thompson),2.130,1.720
3,13:46,2,9,CAR 49,7,21,Teddy Bridgewater pass incomplete short middle intended for Ian Thomas (defended by Deionte Thompson),1.720,1.020
3,13:41,3,9,CAR 49,7,21,"Penalty on Greg Little: False Start, 5 yards (no play)",1.020,0.370
3,13:41,3,14,CAR 44,7,21,Teddy Bridgewater pass incomplete short right intended for D.J. Moore (defended by Charles Washington),0.370,-0.460
3,13:37,4,14,CAR 44,7,21,"Joseph Charlton punts 42 yards, fair catch by Andy Isabella at ARI-14",-0.460,0.280
3,13:29,1,10,ARI 14,7,21,Kyler Murray pass complete short right to Dan Arnold for 9 yards (tackle by Jermaine Carter and Donte Jackson),-0.280,0.550
3,12:52,2,1,ARI 23,7,21,Kyler Murray pass complete short left to Larry Fitzgerald for -2 yards (tackle by Juston Burris),0.550,-0.560
3,12:14,3,3,ARI 21,7,21,Kyler Murray pass complete short middle to DeAndre Hopkins for 11 yards (tackle by Adarius Taylor),-0.560,1.070
3,11:51,1,10,ARI 32,7,21,Kenyan Drake up the middle for -3 yards (tackle by Derrick Brown),1.070,0.120
3,11:21,2,13,ARI 29,7,21,Kyler Murray pass complete deep middle to Dan Arnold for 25 yards (tackle by Donte Jackson),0.120,2.520
3,10:58,1,10,CAR 46,7,21,Kenyan Drake left guard for 8 yards (tackle by Jeremy Chinn and Tre Boston),2.520,3.060
3,10:28,2,2,CAR 38,7,21,Kenyan Drake up the middle for no gain (tackle by Derrick Brown),3.060,2.350
3,9:51,3,2,CAR 38,7,21,"Kyler Murray sacked by Yetur Gross-Matos for no gain. Kyler Murray fumbles (forced by Yetur Gross-Matos), recovered by Tre Boston at CAR-26",2.350,-0.670
3,9:45,1,10,CAR 26,7,21,Mike Davis up the middle for 2 yards (tackle by Zach Allen),0.670,0.400
3,9:05,2,8,CAR 28,7,21,Teddy Bridgewater pass incomplete deep right intended for Robby Anderson,0.400,-0.300
3,9:00,3,8,CAR 28,7,21,Teddy Bridgewater pass complete deep right to Curtis Samuel for 24 yards (tackle by Charles Washington),-0.300,2.390
3,8:22,1,10,ARI 48,7,21,Reggie Bonnafon left guard for 14 yards (tackle by De'Vondre Campbell),2.390,3.310
3,7:43,1,10,ARI 34,7,21,Reggie Bonnafon up the middle for 2 yards (tackle by Zach Allen and De'Vondre Campbell),3.310,3.040
3,7:01,2,8,ARI 32,7,21,Teddy Bridgewater pass complete short left to Robby Anderson for 20 yards (tackle by Patrick Peterson),3.040,4.780
3,6:24,1,10,ARI 12,7,21,Teddy Bridgewater pass complete short right to Mike Davis for -3 yards (tackle by Jordan Hicks),4.780,3.660
3,5:37,2,13,ARI 15,7,21,"Teddy Bridgewater pass incomplete short right intended for Chris Manhertz (defended by Haason Reddick). Penalty on Haason Reddick: Defensive Pass Interference, 13 yards (no play)",3.660,6.740
3,5:30,1,2,ARI 2,7,27,"Teddy Bridgewater pass complete short right to Ian Thomas for 2 yards, touchdown",6.740,7.000
3,5:26,,,ARI 15,7,28,Joey Slye kicks extra point good,0.000,0.000
3,5:26,,,CAR 35,7,28,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,5:26,1,10,ARI 25,7,28,Kyler Murray left end for 48 yards (tackle by Marquis Haynes),0.610,3.780
3,4:42,1,10,CAR 27,7,28,Kenyan Drake up the middle for 2 yards (tackle by Efe Obada),3.780,3.500
3,4:04,2,8,CAR 25,7,28,Kyler Murray left tackle for 8 yards (tackle by Tahir Whitehead),3.500,4.440
3,3:23,1,10,CAR 17,7,28,Kyler Murray pass complete short right to Dan Arnold for -3 yards (tackle by Jermaine Carter),4.440,3.490
3,2:40,2,13,CAR 20,7,28,Kyler Murray pass complete short left to DeAndre Hopkins for 13 yards (tackle by Kawann Short),3.490,5.600
3,1:57,1,7,CAR 7,7,28,Kenyan Drake left end for 4 yards (tackle by Jeremy Chinn and Shaq Thompson),5.600,5.530
3,1:21,2,3,CAR 3,13,28,"Kyler Murray pass complete short right to Christian Kirk for 3 yards, touchdown",5.530,7.000
3,1:15,,,CAR 15,14,28,Zane Gonzalez kicks extra point good,0.000,0.000
3,1:15,,,ARI 35,14,28,"Zane Gonzalez kicks off 65 yards, returned by Pharoh Cooper for 18 yards (tackle by Kylie Fitts)",0.000,0.040
3,1:08,1,10,CAR 18,14,28,Reggie Bonnafon right tackle for 2 yards (tackle by Jordan Phillips),0.040,-0.130
3,0:23,2,8,CAR 20,14,28,Curtis Samuel up the middle for 1 yard (tackle by Charles Washington and De'Vondre Campbell),-0.130,-0.790
Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,CAR 21,14,28,"Penalty on Robby Anderson: False Start, 5 yards (no play)",-0.790,-1.500
4,15:00,3,12,CAR 16,14,28,Teddy Bridgewater pass complete short middle to Curtis Samuel for 16 yards (tackle by Byron Murphy). Penalty on Corey Peters: Illegal Use of Hands (Declined),-1.500,1.070
4,14:39,1,10,CAR 32,14,28,Mike Davis up the middle for 3 yards (tackle by Jordan Phillips),1.070,0.930
