Quarter,Time,Down,ToGo,Location,SDG,NOR,Detail,EPB,EPA
1,6:41,3,5,SDG 5,0,0,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Clinton Hart),4.260,3.010
1,6:37,4,5,SDG 5,0,3,Taylor Mehlhaff 23 yard field goal good,3.010,3.000
1,,,,NOR 30,0,3,"Taylor Mehlhaff kicks off 63 yards, returned by Darren Sproles for 27 yards (tackle by Aaron Glenn)",0.000,1.200
1,6:28,1,10,SDG 34,0,3,LaDainian Tomlinson for 26 yards (tackle by Roman Harper),1.200,2.920
1,6:00,1,10,NOR 40,0,3,LaDainian Tomlinson left guard for 3 yards (tackle by Will Smith),2.920,2.780
1,5:27,2,7,NOR 37,0,3,Philip Rivers pass complete short middle to Antonio Gates for 16 yards (tackle by Roman Harper),2.780,4.170
1,4:53,1,10,NOR 21,0,3,LaDainian Tomlinson left guard for 5 yards (tackle by Jonathan Vilma),4.170,4.370
1,4:21,2,5,NOR 16,0,3,LaDainian Tomlinson left guard for 1 yard (tackle by Scott Fujita),4.370,3.810
1,3:39,3,4,NOR 15,0,3,Philip Rivers pass incomplete short right intended for Malcom Floyd,3.810,2.520
1,3:34,4,4,NOR 15,3,3,Nate Kaeding 33 yard field goal good,2.520,3.000
1,,,,SDG 30,3,3,"Nate Kaeding kicks off 65 yards, returned by Pierre Thomas for 24 yards (tackle by Brandon Siler)",0.000,0.870
1,3:22,1,10,NOR 29,3,3,Drew Brees pass incomplete short left intended for Lance Moore,0.870,0.330
1,3:18,2,10,NOR 29,3,3,Deuce McAllister right end for 1 yard (tackle by Tim Dobbins),0.330,-0.230
1,2:37,3,9,NOR 30,3,3,Drew Brees pass complete short left to Jeremy Shockey for 6 yards (tackle by Eric Weddle),-0.230,-0.980
1,2:03,4,3,NOR 36,3,3,"Ben Graham punts 44 yards, returned by Darren Sproles for 11 yards (tackle by Jeff Charleston)",-0.980,-1.000
1,1:54,1,10,SDG 31,3,3,LaDainian Tomlinson right guard for 4 yards (tackle by Charles Grant),1.000,1.000
1,1:20,2,6,SDG 35,3,3,LaDainian Tomlinson right guard for 5 yards (tackle by Jonathan Vilma),1.000,0.960
1,0:43,3,1,SDG 40,3,3,Mike Tolbert right guard for no gain (tackle by Sedrick Ellis),0.960,-0.720
1,0:15,4,1,SDG 40,3,3,"Mike Scifres punts 49 yards, fair catch by Lance Moore",-0.720,0.370
1,0:08,1,10,NOR 11,3,3,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Quentin Jammer),-0.370,0.000
Quarter,Time,Down,ToGo,Location,SDG,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,NOR 18,3,3,Drew Brees pass incomplete short left intended for Lance Moore,0.000,-0.600
2,14:54,3,3,NOR 18,3,3,Drew Brees pass complete short right to Billy Miller for 9 yards (tackle by Quentin Jammer),-0.600,0.740
2,14:23,1,10,NOR 27,3,3,"Deuce McAllister left guard for 2 yards (tackle by Clinton Hart). Penalty on Jammal Brown: Offensive Holding, 10 yards",0.740,0.120
2,14:00,1,18,NOR 19,3,3,Drew Brees pass complete short right to Deuce McAllister for 7 yards (tackle by Clinton Hart),0.120,0.060
2,13:21,2,11,NOR 26,3,3,"Drew Brees pass complete short left to Aaron Stecker for 6 yards (tackle by Matt Wilhelm). Penalty on Marques Harris: Unnecessary Roughness, 15 yards",0.060,2.060
2,12:49,1,10,NOR 47,3,3,Drew Brees pass complete deep left to Lance Moore for 31 yards (tackle by Cletis Gordon),2.060,4.110
2,12:23,1,10,SDG 22,3,3,Deuce McAllister right guard for 2 yards (tackle by Brandon Siler),4.110,3.830
2,11:50,2,8,SDG 20,3,3,Pierre Thomas right guard for 8 yards (tackle by Eric Weddle),3.830,4.780
2,11:09,1,10,SDG 12,3,9,"Drew Brees pass complete short left to Devery Henderson for 12 yards, touchdown",4.780,7.000
2,,,,SDG 2,3,9,Taylor Mehlhaff kicks extra point no good,0.000,-1.000
2,,,,NOR 30,3,9,"Taylor Mehlhaff kicks off 58 yards, returned by Darren Sproles for 20 yards (tackle by Chris Reis). Darren Sproles fumbles (forced by Chris Reis), recovered by Usama Young at SDG-32 and returned for 7 yards (tackle by Kassim Osgood)",0.000,-3.910
2,10:52,1,10,SDG 25,3,9,Deuce McAllister left guard for 3 yards (tackle by Ryon Bingham),3.910,3.770
2,10:17,2,7,SDG 22,3,9,Drew Brees pass complete short middle to Mark Campbell for 13 yards (tackle by Stephen Cooper),3.770,5.140
2,9:52,1,9,SDG 9,3,9,Drew Brees pass incomplete short right intended for Lance Moore,5.140,4.380
2,9:47,2,9,SDG 9,3,9,Drew Brees pass complete short left to Aaron Stecker for 6 yards (tackle by Matt Wilhelm),4.380,4.720
2,9:07,3,3,SDG 3,3,9,Drew Brees pass complete short right to Lance Moore for 2 yards (tackle by Quentin Jammer),4.720,3.550
2,8:57,,,,3,9,Timeout #1 by New Orleans Saints,0.000,3.550
2,8:57,4,1,SDG 1,3,15,"Deuce McAllister left tackle for 1 yard, touchdown",3.550,7.000
2,,,,SDG 2,3,16,Taylor Mehlhaff kicks extra point good,0.000,0.000
2,,,,NOR 30,3,16,"Taylor Mehlhaff kicks off 67 yards, returned by Darren Sproles for 31 yards (tackle by Pierre Thomas)",0.000,1.200
2,8:45,1,10,SDG 34,3,16,Philip Rivers pass complete short left to Vincent Jackson for 13 yards (tackle by Roman Harper),1.200,2.060
2,8:21,1,10,SDG 47,3,16,LaDainian Tomlinson up the middle for 5 yards (tackle by Scott Shanle),2.060,2.190
2,7:45,2,5,NOR 48,3,16,Philip Rivers pass complete short right to Chris Chambers for 4 yards (tackle by Kevin Kaesviharn),2.190,2.020
2,7:23,3,1,NOR 44,3,16,LaDainian Tomlinson left guard for 40 yards (tackle by Randall Gay),2.020,6.280
2,6:53,1,4,NOR 4,3,16,LaDainian Tomlinson right guard for -3 yards (tackle by Roman Harper),6.280,4.760
2,6:13,2,7,NOR 7,3,16,"Penalty on Chris Chambers: False Start, 5 yards (no play)",4.760,3.860
2,5:47,2,12,NOR 12,3,16,Philip Rivers pass incomplete short right intended for Darren Sproles,3.860,3.100
2,5:43,,,,3,16,Timeout #1 by San Diego Chargers,0.000,3.100
2,5:43,3,12,NOR 12,9,16,"Philip Rivers pass complete short middle to LaDainian Tomlinson for 12 yards, touchdown",3.100,7.000
2,,,,NOR 2,10,16,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,10,16,"Nate Kaeding kicks off 64 yards, returned by Pierre Thomas for 18 yards (tackle by Jacob Hester)",0.000,0.540
2,5:29,1,10,NOR 24,10,16,Deuce McAllister left tackle for 3 yards (tackle by Tim Dobbins),0.540,0.400
2,4:58,2,7,NOR 27,10,16,Drew Brees pass complete short left to Billy Miller for 8 yards (tackle by Tim Dobbins),0.400,1.270
2,4:18,1,10,NOR 35,10,16,"Drew Brees pass complete deep right to Devery Henderson for 20 yards (tackle by Tim Dobbins). Devery Henderson fumbles (forced by Tim Dobbins), recovered by Devery Henderson at SDG-45. Penalty on Antwan Applewhite: Roughing the Passer, 15 yards",1.270,3.580
2,3:37,1,10,SDG 30,10,22,"Drew Brees pass complete deep left to Lance Moore for 30 yards, touchdown. Penalty on Lance Moore: Unsportsmanlike Conduct, 15 yards",3.580,7.000
2,,,,SDG 2,10,23,Taylor Mehlhaff kicks extra point good,0.000,0.000
2,,,,NOR 15,10,23,"Taylor Mehlhaff kicks off 65 yards, returned by Darren Sproles for 26 yards (tackle by Troy Evans). Penalty on Legedu Naanee: Illegal Block Above the Waist, 10 yards",0.000,1.330
2,3:27,1,10,SDG 36,10,23,LaDainian Tomlinson left tackle for -1 yards (tackle by Scott Fujita),1.330,0.660
2,2:45,2,11,SDG 35,10,23,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Scott Shanle),0.660,0.890
2,2:04,3,4,SDG 42,10,23,Philip Rivers pass complete short left to Vincent Jackson for 16 yards (tackle by Randall Gay),0.890,2.790
2,1:57,1,10,NOR 42,10,23,Philip Rivers pass complete deep left to Antonio Gates for 30 yards (tackle by Usama Young),2.790,4.780
2,1:14,1,10,NOR 12,16,23,"Philip Rivers pass complete short right to Antonio Gates for 12 yards, touchdown",4.780,7.000
2,,,,NOR 2,17,23,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,17,23,"Nate Kaeding kicks off 64 yards, returned by Pierre Thomas for 14 yards (tackle by Kassim Osgood)",0.000,0.280
2,1:01,1,10,NOR 20,17,23,Drew Brees pass complete short left to Aaron Stecker for 4 yards (tackle by Antoine Cason),0.280,0.270
2,0:38,2,6,NOR 24,17,23,Drew Brees pass incomplete deep middle intended for Billy Miller (defended by Clinton Hart),0.270,-0.430
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:35,3,6,NOR 24,17,23,Drew Brees pass complete deep left to Lance Moore for 19 yards,-0.430,1.800
2,0:30,1,10,NOR 43,17,23,Drew Brees pass complete short left to Aaron Stecker for 8 yards (tackle by Antoine Cason),1.800,2.330
2,0:30,2,2,SDG 49,17,23,Drew Brees pass incomplete deep right intended for Devery Henderson,2.330,1.620
2,0:16,3,2,SDG 49,17,23,Drew Brees pass incomplete short middle intended for Billy Miller (defended by Antoine Cason),1.620,0.000
2,0:12,4,2,SDG 49,17,23,"Ben Graham punts 39 yards, fair catch by Darren Sproles",0.000,0.380
2,0:05,1,10,SDG 10,17,23,Philip Rivers kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,SDG,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,17,23,"Taylor Mehlhaff kicks off 65 yards, returned by Darren Sproles for 23 yards (tackle by Usama Young)",0.000,0.810
3,14:53,1,10,SDG 28,17,23,LaDainian Tomlinson left guard for no gain (tackle by Will Smith),0.810,0.260
3,14:20,2,10,SDG 28,17,23,Philip Rivers pass incomplete deep left intended for Vincent Jackson,0.260,-0.430
3,14:13,3,10,SDG 28,17,23,Philip Rivers pass incomplete deep middle intended for Antonio Gates (defended by Charles Grant),-0.430,-1.500
3,14:07,4,10,SDG 28,17,23,"Mike Scifres punts 47 yards, fair catch by Lance Moore. Penalty on Usama Young: Unnecessary Roughness, 12 yards",-1.500,0.320
3,13:58,1,10,NOR 13,17,23,Deuce McAllister right guard for 1 yard (tackle by Shaun Phillips),-0.320,-0.680
3,13:23,2,9,NOR 14,17,23,"Drew Brees pass complete deep left to Marques Colston for 49 yards (tackle by Antonio Cromartie). Penalty on Antonio Cromartie: Unnecessary Roughness, 15 yards",-0.680,4.110
3,12:59,1,10,SDG 22,17,23,Deuce McAllister right guard for -2 yards (tackle by Jyles Tucker),4.110,3.290
3,12:23,2,12,SDG 24,17,23,Drew Brees pass incomplete short right intended for Billy Miller (defended by Clinton Hart),3.290,2.610
3,12:19,3,12,SDG 24,17,23,Drew Brees pass complete short right to Billy Miller for 10 yards (tackle by Stephen Cooper),2.610,2.630
3,11:33,4,2,SDG 14,17,23,Drew Brees pass complete short right to Billy Miller for 10 yards (tackle by Stephen Cooper),2.630,6.280
3,10:55,1,4,SDG 4,17,23,Mike Karney right guard for 3 yards (tackle by Luis Castillo and Shaun Phillips),6.280,5.910
3,10:20,2,1,SDG 1,17,29,"Drew Brees pass complete short right to Mark Campbell for 1 yard, touchdown",5.910,7.000
3,,,,SDG 2,17,30,Taylor Mehlhaff kicks extra point good,0.000,0.000
3,,,,NOR 30,17,30,"Taylor Mehlhaff kicks off 62 yards, returned by Darren Sproles for 22 yards (tackle by Troy Evans)",0.000,0.940
3,10:08,1,10,SDG 30,17,30,LaDainian Tomlinson left tackle for 3 yards (tackle by Jonathan Vilma),0.940,0.800
3,9:35,2,7,SDG 33,17,30,Philip Rivers pass complete short right to LaDainian Tomlinson for 12 yards (tackle by Scott Shanle),0.800,1.930
3,8:58,1,10,SDG 45,17,30,Philip Rivers pass incomplete deep left intended for Chris Chambers,1.930,1.380
3,8:52,2,10,SDG 45,17,30,LaDainian Tomlinson right guard for 5 yards (tackle by Jonathan Vilma),1.380,1.360
3,8:08,3,5,,17,30,"Philip Rivers pass incomplete short left intended for Vincent Jackson (defended by Aaron Glenn). Penalty on Aaron Glenn: Defensive Pass Interference, 8 yards (no play)",1.360,2.790
3,8:02,1,10,NOR 42,17,30,LaDainian Tomlinson left tackle for 4 yards (tackle by Randall Gay),2.790,2.780
3,7:38,2,6,NOR 38,17,30,Philip Rivers pass complete short left to Chris Chambers for 11 yards,2.780,3.780
3,7:10,1,10,NOR 27,17,30,Darren Sproles left end for 6 yards (tackle by Will Smith),3.780,4.040
3,6:41,2,4,NOR 21,17,30,Philip Rivers pass complete short middle to Darren Sproles for 14 yards (tackle by Scott Shanle),4.040,5.600
3,5:59,1,7,NOR 7,17,30,LaDainian Tomlinson left guard for no gain (tackle by Randall Gay),5.600,4.760
3,5:20,2,7,NOR 7,17,30,"Penalty on Nick Hardwick: False Start, 5 yards (no play)",4.760,3.860
3,4:48,2,12,NOR 12,17,30,"Penalty on Charles Grant: Defensive Offside, 5 yards (no play)",3.860,4.760
3,4:27,2,7,NOR 7,17,30,LaDainian Tomlinson left guard for 2 yards (tackle by Jonathan Vilma),4.760,4.260
3,3:46,3,5,NOR 5,17,30,"Philip Rivers pass complete short left to Brandon Manumaleuna for 5 yards. Penalty on Kris Dielman: Offensive Holding, 10 yards (no play)",4.260,2.930
3,3:41,3,15,NOR 15,17,30,Philip Rivers pass complete short right to LaDainian Tomlinson for 9 yards (tackle by Mike McKenzie),2.930,2.990
3,3:30,4,6,NOR 6,20,30,Nate Kaeding 24 yard field goal good,2.990,3.000
3,,,,SDG 30,20,30,"Nate Kaeding kicks off 68 yards, returned by Pierre Thomas for 21 yards (tackle by Antoine Cason)",0.000,0.480
3,3:18,1,10,NOR 23,20,30,Drew Brees pass complete deep left to Billy Miller for 20 yards (tackle by Antonio Cromartie),0.480,1.800
3,2:52,1,10,NOR 43,20,30,Deuce McAllister right guard for 4 yards (tackle by Shaun Phillips),1.800,1.790
3,2:14,2,6,NOR 47,20,30,Drew Brees pass complete short right to Deuce McAllister for 3 yards (tackle by Stephen Cooper),1.790,1.490
3,1:26,3,3,,20,30,"Drew Brees pass incomplete short right intended for Marques Colston (defended by Quentin Jammer). Penalty on Quentin Jammer: Defensive Pass Interference, 10 yards (no play)",1.490,2.920
3,1:22,1,10,SDG 40,20,30,Pierre Thomas left tackle for 15 yards (tackle by Eric Weddle),2.920,3.910
3,0:42,1,10,SDG 25,20,30,Drew Brees pass incomplete short right intended for Jeremy Shockey (defended by Tim Dobbins),3.910,3.360
3,0:36,2,10,SDG 25,20,30,Aaron Stecker right guard for 5 yards (tackle by Shaun Phillips),3.360,3.340
Quarter,Time,Down,ToGo,Location,SDG,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,SDG 20,20,30,"Drew Brees pass incomplete deep right intended for Robert Meachem (defended by Cletis Gordon). Penalty on Cletis Gordon: Defensive Pass Interference, 19 yards (no play)",3.340,6.970
4,14:55,1,1,SDG 1,20,36,"Mike Karney left guard for 1 yard, touchdown",6.970,7.000
4,,,,SDG 2,20,37,Taylor Mehlhaff kicks extra point good,0.000,0.000
4,,,,NOR 30,20,37,"Taylor Mehlhaff kicks off 66 yards, returned by Darren Sproles for 20 yards (tackle by Troy Evans)",0.000,0.540
4,14:43,1,10,SDG 24,20,37,Philip Rivers pass incomplete short middle intended for Chris Chambers (defended by Scott Shanle),0.540,0.000
4,14:37,2,10,SDG 24,20,37,Philip Rivers pass complete short middle to LaDainian Tomlinson for no gain,0.000,-0.690
4,13:56,3,10,SDG 24,20,37,Philip Rivers pass complete deep right to Malcom Floyd for 21 yards (tackle by Jonathan Vilma),-0.690,1.930
4,13:20,1,10,SDG 45,20,37,Philip Rivers pass incomplete deep left intended for Malcom Floyd,1.930,1.380
4,13:12,2,10,SDG 45,20,37,Philip Rivers pass complete short middle to Antonio Gates for 20 yards (tackle by Roman Harper),1.380,3.250
4,12:35,1,10,NOR 35,20,37,"LaDainian Tomlinson right guard for 12 yards (tackle by Kevin Kaesviharn). Penalty on SDG: Illegal Formation, 5 yards (no play)",3.250,2.920
4,12:09,1,15,NOR 40,20,37,Philip Rivers pass complete deep right to Darren Sproles for 21 yards (tackle by Jonathan Vilma). Penalty on Jonathan Vilma: Defensive Holding (Declined),2.920,4.310
4,11:38,1,10,NOR 19,20,37,Philip Rivers pass complete short middle to Brandon Manumaleuna for 7 yards (tackle by Jonathan Vilma),4.310,4.920
4,11:00,2,3,NOR 12,20,37,LaDainian Tomlinson left guard for 4 yards (tackle by Randall Gay),4.920,5.370
4,10:23,1,8,NOR 8,20,37,LaDainian Tomlinson left tackle for no gain (tackle by Kendrick Clancy),5.370,4.570
4,9:49,2,8,NOR 8,20,37,Philip Rivers pass incomplete short right intended for Vincent Jackson,4.570,3.580
4,9:44,3,8,NOR 8,20,37,"Penalty on Philip Rivers: Delay of Game, 5 yards, Penalty on Philip Rivers: Delay of Game (Declined) (no play)",3.580,3.060
4,9:44,3,13,NOR 13,20,37,Philip Rivers pass incomplete short left intended for Chris Chambers,3.060,2.570
4,9:38,4,13,NOR 13,23,37,Nate Kaeding 31 yard field goal good,2.570,3.000
4,,,,SDG 30,23,37,"Nate Kaeding kicks onside 13 yards, recovered by Kassim Osgood (onside kick successful)",0.000,1.800
4,9:32,1,10,SDG 43,23,37,Philip Rivers pass complete deep left to Vincent Jackson for 17 yards (tackle by Scott Shanle),1.800,2.920
4,8:50,1,10,NOR 40,23,37,Philip Rivers pass complete short left to Chris Chambers for 17 yards (tackle by Aaron Glenn),2.920,4.040
4,8:10,1,10,NOR 23,23,37,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,4.040,3.500
4,8:05,2,10,NOR 23,23,37,Philip Rivers pass complete short left to Chris Chambers for 9 yards (tackle by Aaron Glenn),3.500,4.280
4,7:29,3,1,NOR 14,29,37,"Philip Rivers pass complete short right to Vincent Jackson for 14 yards, touchdown",4.280,7.000
,,,,,,,"NOR challenged the pass completion ruling, and the play was upheld.",,
4,,,,NOR 2,30,37,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,30,37,"Nate Kaeding kicks off 68 yards, returned by Pierre Thomas for 17 yards (tackle by Brandon Siler)",0.000,0.150
4,7:15,1,10,NOR 19,30,37,Deuce McAllister right tackle for 5 yards (tackle by Luis Castillo),0.150,0.340
4,6:37,2,5,NOR 24,30,37,Drew Brees pass incomplete short right intended for Mike Karney,0.340,-0.420
4,6:29,3,5,NOR 24,30,37,Drew Brees pass complete short middle to Billy Miller for 15 yards (tackle by Steve Gregory),-0.420,1.530
4,5:45,1,10,NOR 39,30,37,"Drew Brees pass incomplete short right intended for Billy Miller (defended by Eric Weddle). Penalty on Billy Miller: Offensive Pass Interference (Offsetting), Penalty on Eric Weddle: Unsportsmanlike Conduct (Offsetting) (no play)",1.530,1.530
,,,,,,,"NOR challenged the pass completion ruling, and the original play was overturned.",,
4,5:41,1,10,NOR 39,30,37,Deuce McAllister right guard for 3 yards (tackle by Clinton Hart),1.530,1.390
4,5:06,2,7,NOR 42,30,37,Drew Brees pass complete short right to Lance Moore for 2 yards (tackle by Tim Dobbins),1.390,0.960
4,4:23,3,5,NOR 44,30,37,Drew Brees pass incomplete short right intended for Lance Moore (defended by Cletis Gordon),0.960,-0.460
4,4:18,4,5,NOR 44,30,37,"Ben Graham punts 43 yards, returned by Darren Sproles for 9 yards (tackle by Jo-Lonn Dunbar)",-0.460,-0.410
4,4:08,1,10,SDG 22,30,37,"Philip Rivers pass complete short right to Brandon Manumaleuna for 9 yards (tackle by Randall Gay). Penalty on Jeromey Clary: Offensive Holding, 10 yards (no play)",0.410,-0.660
4,4:00,1,20,SDG 12,30,37,Philip Rivers pass complete short left to LaDainian Tomlinson for 32 yards (tackle by Bobby McCray),-0.660,1.860
4,3:50,1,10,SDG 44,30,37,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,1.860,1.320
4,3:45,2,10,SDG 44,30,37,Philip Rivers pass complete short middle to Chris Chambers for 6 yards (tackle by Randall Gay),1.320,1.420
4,3:08,3,4,,30,37,LaDainian Tomlinson left tackle for 2 yards (tackle by Jonathan Vilma),1.420,0.070
4,2:26,4,2,NOR 48,30,37,Philip Rivers pass complete short left to Antonio Gates for 11 yards (tackle by Kevin Kaesviharn),0.070,3.120
4,2:00,1,10,NOR 37,30,37,Philip Rivers pass complete short right to Darren Sproles for 10 yards (tackle by Scott Shanle),3.120,3.780
4,1:26,1,10,NOR 27,30,37,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,3.780,3.230
4,1:22,2,10,NOR 27,30,37,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",3.230,2.560
4,1:22,2,15,NOR 32,30,37,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,2.560,1.880
4,1:18,,,,30,37,Timeout #1 by San Diego Chargers,0.000,1.880
4,1:18,3,15,NOR 32,30,37,Philip Rivers pass incomplete deep middle intended for Chris Chambers is intercepted by Jonathan Vilma at NOR-10 and returned for 8 yards (tackle by Vincent Jackson),1.880,-0.040
4,1:09,1,10,NOR 18,30,37,Deuce McAllister right guard for 3 yards (tackle by Cletis Gordon),0.040,0.010
4,1:04,,,,30,37,Timeout #2 by San Diego Chargers,0.000,0.010
4,1:04,2,7,NOR 21,30,37,Deuce McAllister left tackle for 4 yards (tackle by Ryon Bingham),0.010,-0.270
4,0:59,,,,30,37,Timeout #3 by San Diego Chargers,0.000,-0.270
4,0:59,3,3,NOR 25,30,37,Deuce McAllister left tackle for 1 yard (tackle by Jacques Cesaire),-0.270,-1.630
4,0:14,,,,30,37,Timeout #2 by New Orleans Saints,0.000,-1.630
4,0:14,4,2,NOR 26,32,37,"Drew Brees up the middle for -26 yards. Drew Brees fumbles, safety",-1.630,-2.000
4,,,,NOR 20,32,37,"Taylor Mehlhaff kicks off 62 yards, returned by Darren Sproles for 32 yards (tackle by Usama Young)",0.000,2.260
4,0:01,1,10,,32,37,Philip Rivers pass incomplete deep middle intended for Vincent Jackson (defended by Mike McKenzie),2.260,1.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
