Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
2,8:38,2,9,OAK 35,3,7,Carson Palmer pass complete short left to David Ausberry for 12 yards (tackle by William Moore and Akeem Dent),0.790,2.060
2,7:59,1,10,OAK 47,3,7,Carson Palmer pass complete short left to Rod Streater for 7 yards (tackle by Dunta Robinson),2.060,2.460
2,7:24,2,3,ATL 46,3,7,"Darren McFadden for 21 yards (tackle by William Moore). Penalty on Willie Smith: Offensive Holding, 10 yards (no play)",2.460,1.110
2,6:54,2,13,OAK 44,3,7,Carson Palmer pass complete short left to Mike Goodson for 37 yards (tackle by Sean Weatherspoon),1.110,4.310
2,6:19,1,10,ATL 19,3,7,Carson Palmer pass complete short middle to Denarius Moore for 11 yards (tackle by Akeem Dent),4.310,5.370
2,5:38,1,8,ATL 8,3,7,Darren McFadden right tackle for 7 yards (tackle by William Moore),5.370,5.910
2,5:01,2,1,ATL 1,3,7,Carson Palmer pass incomplete short right intended for Brandon Myers (defended by William Moore),5.910,5.170
2,4:56,3,1,ATL 1,3,7,Darren McFadden left end for -3 yards (tackle by Jonathan Babineaux),5.170,3.030
2,4:15,4,4,ATL 4,6,7,Sebastian Janikowski 22 yard field goal good,3.030,3.000
2,4:11,,,OAK 35,6,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
2,4:11,1,10,ATL 20,6,7,Matt Ryan sacked by Matt Shaughnessy for -8 yards,0.280,-1.360
2,3:44,2,18,ATL 12,6,7,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Michael Huff),-1.360,-1.510
2,3:01,3,13,ATL 17,6,7,"Matt Ryan pass incomplete short right intended for Tony Gonzalez. Penalty on Philip Wheeler: Defensive Holding, 5 yards (no play)",-1.510,0.410
2,2:56,1,10,ATL 22,6,7,Matt Ryan pass incomplete deep right intended for Tony Gonzalez is intercepted by Tyvon Branch at ATL-39 and returned for 11 yards (tackle by Tony Gonzalez),0.410,-3.710
2,2:44,1,10,ATL 28,6,7,Darren McFadden right guard for 3 yards (tackle by Jonathan Babineaux),3.710,3.570
2,2:00,2,7,ATL 25,12,7,"Carson Palmer pass complete short right to Denarius Moore for 25 yards, touchdown",3.570,7.000
2,2:00,,,ATL 2,13,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,1:50,,,OAK 35,13,7,"Sebastian Janikowski kicks off 72 yards, returned by Jacquizz Rodgers for 29 yards (tackle by Coye Francies)",0.000,0.410
2,1:45,1,10,ATL 22,13,7,Matt Ryan pass complete short right to Jacquizz Rodgers for 5 yards (tackle by Philip Wheeler),0.410,0.540
2,1:20,2,5,ATL 27,13,7,"Matt Ryan pass complete deep right to Roddy White for 31 yards (tackle by Michael Huff). Penalty on Tyson Clabo: Offensive Holding, 10 yards (no play)",0.540,-0.940
2,1:12,2,15,ATL 17,13,7,Matt Ryan pass incomplete short right intended for Jacquizz Rodgers,-0.940,-1.680
2,1:05,3,15,ATL 17,13,7,Matt Ryan pass complete short middle to Tony Gonzalez for 13 yards (tackle by Miles Burris),-1.680,0.000
2,0:54,,,,13,7,Timeout #1 by Oakland Raiders,0.000,-1.370
2,0:54,4,2,ATL 30,13,7,Matt Bosher punts 55 yards,-1.370,0.220
2,0:39,1,10,OAK 15,13,7,Darren McFadden right guard for 1 yard (tackle by Kroy Biermann),-0.220,-0.580
Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,13,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,OAK 20,13,7,Darren McFadden left tackle for 2 yards (tackle by Akeem Dent),0.280,0.000
3,14:24,2,8,OAK 22,13,7,Darren McFadden right end for 2 yards (tackle by Kroy Biermann and Robert McClain),0.000,-0.430
3,13:43,3,6,OAK 24,13,7,Carson Palmer pass incomplete deep left intended for Denarius Moore (defended by Thomas DeCoud),-0.430,-1.770
3,13:37,4,6,OAK 24,13,7,"Shane Lechler punts 55 yards, out of bounds",-1.770,-0.340
3,13:28,1,10,ATL 21,13,7,Michael Turner left end for -3 yards (tackle by Matt Shaughnessy),0.340,-0.700
3,12:52,2,13,ATL 18,13,7,Matt Ryan pass complete short right to Lousaka Polite for 8 yards (tackle by Philip Wheeler),-0.700,-0.230
3,12:10,3,5,ATL 26,13,7,Matt Ryan pass incomplete short right intended for Roddy White,-0.230,-1.630
3,12:04,4,5,ATL 26,13,7,"Matt Bosher punts 54 yards, returned by Denarius Moore for -1 yards (tackle by Christopher Owens). Penalty on Coye Francies: Offensive Holding, 10 yards",-1.630,0.380
3,11:50,1,10,OAK 10,13,7,Carson Palmer pass complete short middle to Darren McFadden for 7 yards (tackle by Mike Peterson),-0.380,-0.090
3,11:15,2,3,OAK 17,13,7,Darren McFadden left guard for 7 yards (tackle by Dunta Robinson),-0.090,0.540
3,11:09,1,10,OAK 24,13,7,"Penalty on Jared Veldheer: False Start, 5 yards (no play)",0.540,0.130
3,10:14,1,15,OAK 19,13,7,Carson Palmer pass complete deep right to Derek Hagan for 21 yards (tackle by Asante Samuel),0.130,1.600
3,9:33,1,10,OAK 40,13,7,Carson Palmer pass incomplete short left intended for Denarius Moore,1.600,1.050
3,9:29,2,10,OAK 40,13,7,Darren McFadden right guard for 3 yards (tackle by Akeem Dent),1.050,0.760
3,8:49,3,7,OAK 43,13,7,Carson Palmer pass incomplete deep right intended for Darrius Heyward-Bey,0.760,-0.520
3,8:43,4,7,OAK 43,13,7,"Shane Lechler punts 57 yards, touchback. Penalty on Travis Goethel: Offensive Holding, 10 yards",-0.520,-0.940
3,8:35,1,10,ATL 30,13,7,Matt Ryan pass complete short right to Michael Turner for 6 yards (tackle by Rolando McClain),0.940,1.200
3,7:54,2,4,ATL 36,13,7,Michael Turner left end for 1 yard (tackle by Philip Wheeler),1.200,0.630
3,7:11,3,3,ATL 37,13,7,Matt Ryan pass complete deep right to Harry Douglas for 20 yards (tackle by Matt Giordano),0.630,2.720
3,6:42,1,10,OAK 43,13,7,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Philip Wheeler),2.720,2.990
3,6:01,2,4,OAK 37,13,7,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by Matt Shaughnessy),2.990,4.040
3,5:26,1,10,OAK 23,13,7,Matt Ryan pass incomplete short right intended for Roddy White (defended by Michael Huff),4.040,3.500
3,5:22,2,10,OAK 23,13,7,Matt Ryan pass incomplete deep left intended for Julio Jones,3.500,2.810
3,5:17,3,10,OAK 23,13,7,Matt Ryan pass incomplete short left intended for Harry Douglas (defended by Joselio Hanson),2.810,1.930
3,5:10,4,10,OAK 23,13,10,Matt Bryant 41 yard field goal good,1.930,3.000
3,5:06,,,ATL 35,13,10,"Matt Bosher kicks off 70 yards, returned by Mike Goodson for 25 yards (tackle by Chris Hope)",0.000,0.280
3,4:58,1,10,OAK 20,13,10,"Darren McFadden right guard for 4 yards (tackle by Akeem Dent). Penalty on Akeem Dent: Horse Collar Tackle, 15 yards",0.280,1.530
3,4:33,1,10,OAK 39,13,10,"Carson Palmer sacked by John Abraham for -8 yards. Carson Palmer fumbles (forced by John Abraham), recovered by Ray Edwards at OAK-28 (tackle by Darren McFadden)",1.530,-6.740
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
3,4:24,1,2,OAK 2,13,10,Matt Ryan pass incomplete short left intended for Julio Jones,6.740,5.720
3,4:19,2,2,OAK 2,13,10,Michael Turner left tackle for 1 yard (tackle by Philip Wheeler),5.720,5.170
3,3:35,3,1,OAK 1,13,10,Penalty on Dave Tollefson: Neutral Zone Infraction (no play),5.170,5.170
3,3:16,3,1,OAK 1,13,10,Jason Snelling left tackle for -1 yards (tackle by Rolando McClain),5.170,3.250
3,2:35,4,2,OAK 2,13,13,Matt Bryant 20 yard field goal good,3.250,3.000
3,2:31,,,ATL 35,13,13,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
3,2:31,1,10,OAK 20,13,13,Darren McFadden left guard for 4 yards (tackle by William Moore),0.280,0.270
3,1:57,2,6,OAK 24,13,13,Darren McFadden left guard for 3 yards (tackle by Sean Weatherspoon and Dunta Robinson),0.270,-0.030
3,1:12,3,3,OAK 27,13,13,Carson Palmer pass complete short right to Darren McFadden for 20 yards (tackle by Thomas DeCoud). Penalty on Akeem Dent: Defensive Holding (Declined),-0.030,2.060
3,0:47,1,10,OAK 47,13,13,Mike Goodson right tackle for 6 yards (tackle by Akeem Dent),2.060,2.330
3,0:11,2,4,ATL 47,13,13,"Mike Goodson right end for 14 yards (tackle by William Moore). Penalty on Willie Smith: Offensive Holding, 10 yards (no play)",2.330,0.980
Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,OAK 43,13,13,Carson Palmer pass incomplete short middle intended for Darrius Heyward-Bey,0.980,0.300
4,14:58,3,14,OAK 43,13,13,Mike Goodson up the middle for 9 yards (tackle by Sean Weatherspoon). Penalty on Willie Smith: Offensive Holding (Declined),0.300,0.070
4,14:43,4,5,ATL 48,13,13,"Shane Lechler punts 38 yards, fair catch by Dominique Franks",0.070,0.380
4,14:36,1,10,ATL 10,13,13,Michael Turner right tackle for 1 yard (tackle by Lamarr Houston),-0.380,-0.710
4,13:54,2,9,ATL 11,13,13,Matt Ryan pass incomplete short middle intended for Tommy Gallarda,-0.710,-1.300
4,13:50,3,9,ATL 11,13,13,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by Michael Huff),-1.300,-2.490
,,,,,,,"OAK challenged the pass completion ruling, and the original play was overturned.",,
4,13:44,4,9,ATL 11,13,13,"Matt Bosher punts 57 yards, returned by Phillip Adams for 5 yards. Penalty on Brandian Ross: Unnecessary Roughness, 15 yards",-2.490,0.060
4,13:32,1,10,OAK 17,13,13,Darren McFadden left end for 3 yards (tackle by Sean Weatherspoon and Akeem Dent),-0.060,-0.060
4,12:56,2,7,OAK 20,13,13,Darren McFadden left end for -3 yards (tackle by Dunta Robinson),-0.060,-1.250
4,12:09,3,10,OAK 17,13,13,Carson Palmer pass complete short left to Denarius Moore for 17 yards (tackle by William Moore),-1.250,1.200
4,11:28,1,10,OAK 34,13,13,Carson Palmer pass incomplete short left intended for Darren McFadden,1.200,0.660
4,11:23,2,10,OAK 34,13,13,Carson Palmer pass complete short middle to Brandon Myers for 18 yards (tackle by Thomas DeCoud),0.660,2.390
4,10:44,1,10,ATL 48,13,13,Darren McFadden right tackle for 4 yards (tackle by Akeem Dent),2.390,2.390
4,9:56,2,6,ATL 44,13,13,Carson Palmer pass complete short left to Darren McFadden for 1 yard (tackle by Sean Weatherspoon),2.390,1.820
4,9:21,3,5,ATL 43,13,13,Carson Palmer sacked by John Abraham for -8 yards,1.820,-0.130
4,8:49,4,13,OAK 49,13,13,"Shane Lechler punts 51 yards, touchback",-0.130,-0.280
4,8:40,1,10,ATL 20,13,13,Michael Turner up the middle for 1 yard (tackle by Miles Burris),0.280,-0.130
4,8:06,2,9,ATL 21,13,13,Matt Ryan left guard for 15 yards,-0.130,1.330
4,7:32,1,10,ATL 36,13,13,Michael Turner left guard for 8 yards (tackle by Tyvon Branch),1.330,1.870
4,7:06,2,2,ATL 44,13,13,Matt Ryan pass complete short right to Harry Douglas for 1 yard (tackle by Joselio Hanson),1.870,1.290
4,6:34,3,1,ATL 45,13,13,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Michael Huff),1.290,-0.390
4,6:26,4,1,ATL 45,13,13,"Matt Bosher punts 45 yards, fair catch by Phillip Adams",-0.390,0.380
4,6:19,1,10,OAK 10,13,13,Carson Palmer pass complete short left to Marcel Reece for 1 yard (tackle by Sean Weatherspoon),-0.380,-0.710
4,5:41,2,9,OAK 11,13,13,Mike Goodson right tackle for 43 yards (tackle by William Moore),-0.710,2.520
4,5:02,1,10,ATL 46,13,13,Carson Palmer pass complete short left to Brandon Myers for 14 yards (tackle by Dunta Robinson),2.520,3.450
4,4:18,1,10,ATL 32,13,13,Darren McFadden right guard for 2 yards (tackle by Peria Jerry),3.450,3.170
4,3:37,2,8,ATL 30,13,13,Carson Palmer pass complete short right to Denarius Moore for 2 yards (tackle by Asante Samuel),3.170,2.740
4,2:55,3,6,ATL 28,13,19,"Carson Palmer pass incomplete short right intended for Denarius Moore is intercepted by Asante Samuel at ATL-21 and returned for 79 yards, touchdown",2.740,-7.000
4,,,,OAK 2,13,20,Matt Bryant kicks extra point good,0.000,0.000
4,2:40,,,ATL 35,13,20,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
4,2:40,1,10,OAK 20,13,20,Carson Palmer pass complete short middle to Derek Hagan for 17 yards (tackle by Thomas DeCoud),0.280,1.400
4,2:32,1,10,OAK 37,13,20,Carson Palmer pass complete short right to Brandon Myers for 10 yards (tackle by Sean Weatherspoon),1.400,2.060
4,2:10,1,10,OAK 47,13,20,Carson Palmer pass incomplete short right intended for Brandon Myers (defended by Robert McClain),2.060,1.520
4,2:02,2,10,OAK 47,13,20,"Carson Palmer pass complete deep left to Denarius Moore for 17 yards. Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",1.520,0.170
4,1:57,2,20,OAK 37,13,20,Carson Palmer pass complete short right to Derek Hagan for 9 yards (tackle by Sean Weatherspoon),0.170,0.700
4,1:32,3,11,OAK 46,13,20,Carson Palmer pass complete short middle to Brandon Myers for 11 yards (tackle by Sean Weatherspoon),0.700,2.720
4,1:08,1,10,ATL 43,13,20,Carson Palmer pass complete deep right to Derek Hagan for 38 yards (tackle by Asante Samuel),2.720,6.060
4,0:58,1,5,ATL 5,13,20,Darren McFadden left tackle for 3 yards (tackle by Dunta Robinson),6.060,0.000
4,0:44,,,,13,20,Timeout #1 by Atlanta Falcons,0.000,5.720
4,0:44,2,2,ATL 2,19,20,"Darren McFadden left guard for 2 yards, touchdown",5.720,7.000
4,0:44,,,ATL 2,20,20,Sebastian Janikowski kicks extra point good,0.000,0.000
4,0:40,,,OAK 35,20,20,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
4,0:40,1,10,ATL 20,20,20,Matt Ryan pass complete short left to Jacquizz Rodgers for 7 yards (tackle by Patrick Lee),0.280,0.000
4,0:32,,,,20,20,Timeout #2 by Atlanta Falcons,0.000,0.680
4,0:32,2,3,ATL 27,20,20,Matt Ryan pass complete short left to Jacquizz Rodgers for 9 yards (tackle by Joselio Hanson),0.680,1.330
4,0:26,1,10,ATL 36,20,20,Matt Ryan pass complete short left to Harry Douglas for 4 yards,1.330,1.330
4,0:22,2,6,ATL 40,20,20,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,1.330,0.630
4,0:18,3,6,ATL 40,20,20,Matt Ryan pass complete short left to Tony Gonzalez for 10 yards (tackle by Patrick Lee),0.630,2.260
4,0:12,1,10,,20,20,Matt Ryan pass complete short right to Tony Gonzalez for 13 yards (tackle by Philip Wheeler),2.260,0.000
4,0:06,,,,20,20,Timeout #3 by Atlanta Falcons,0.000,0.000
4,0:06,,,,20,20,Timeout #1 by Oakland Raiders,0.000,3.120
4,0:05,1,10,OAK 37,20,23,Matt Bryant 55 yard field goal good,3.120,3.000
4,0:01,,,ATL 35,20,23,"Matt Bosher kicks off 22 yards, returned by Mike Goodson for no gain",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
