Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,CHI 49,14,7,"Brad Maynard punts 36 yards, returned by Steve Breaston for 15 yards (tackle by Darrell McClover)",-0.130,-0.940
2,14:49,1,10,ARI 30,14,7,Kurt Warner pass complete short left to Early Doucet for 14 yards (tackle by Lance Briggs),0.940,1.860
2,14:13,1,10,ARI 44,14,7,Beanie Wells right guard for 26 yards (tackle by Danieal Manning),1.860,3.580
2,13:30,1,10,CHI 30,14,7,Beanie Wells right tackle for 1 yard (tackle by Nick Roach and Danieal Manning),3.580,3.170
2,12:48,2,9,CHI 29,14,7,Tim Hightower left guard for 4 yards (tackle by Lance Briggs),3.170,3.010
2,12:02,,,,14,7,Timeout #1 by Arizona Cardinals,0.000,3.010
2,12:02,3,5,CHI 25,14,7,Kurt Warner pass complete short middle to Larry Fitzgerald for 8 yards (tackle by Danieal Manning),3.010,4.440
2,11:27,1,10,CHI 17,20,7,"Kurt Warner pass complete deep right to Larry Fitzgerald for 17 yards, touchdown",4.440,7.000
2,,,,CHI 2,21,7,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,21,7,"Neil Rackers kicks off 42 yards, returned by Israel Idonije for no gain",0.000,0.810
2,11:17,1,10,CHI 28,21,7,Devin Hester right end for 7 yards (tackle by Karlos Dansby),0.810,1.210
2,10:47,2,3,CHI 35,21,7,Jay Cutler pass complete short right to Earl Bennett for 5 yards (tackle by Bryant McFadden),1.210,1.600
2,10:26,1,10,CHI 40,21,7,Matt Forte left guard for 16 yards (tackle by Antrel Rolle),1.600,2.650
2,9:46,1,10,ARI 44,21,7,Matt Forte right guard for 5 yards (tackle by Chike Okeafor),2.650,2.780
2,9:09,2,5,ARI 39,21,7,Jay Cutler sacked by Darnell Dockett for -10 yards,2.780,0.760
2,8:40,3,15,ARI 49,21,7,Jay Cutler pass complete short left to Devin Hester for 3 yards (tackle by Dominique Rodgers-Cromartie),0.760,0.200
2,8:00,4,12,ARI 46,21,7,"Brad Maynard punts 32 yards, returned by Steve Breaston for no gain",0.200,0.280
2,7:50,1,10,ARI 14,21,7,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,-0.280,-0.750
2,7:47,2,10,ARI 14,21,7,Beanie Wells left guard for 5 yards (tackle by Hunter Hillenmeyer),-0.750,-0.800
2,7:04,3,5,ARI 19,21,7,Kurt Warner pass complete short right to Steve Breaston for 7 yards (tackle by Kevin Payne),-0.800,0.670
2,6:28,1,10,ARI 26,21,7,Tim Hightower left tackle for 14 yards (tackle by Danieal Manning and Hunter Hillenmeyer),0.670,1.600
2,6:28,1,10,ARI 40,21,7,Kurt Warner pass incomplete short right intended for Anthony Becht,1.600,1.050
2,5:36,2,10,ARI 40,21,7,Tim Hightower left tackle for 5 yards (tackle by Lance Briggs),1.050,1.030
2,4:57,3,5,ARI 45,21,7,Kurt Warner pass complete short middle to Early Doucet for 6 yards (tackle by Lance Briggs),1.030,2.320
2,4:15,1,10,CHI 49,21,7,Kurt Warner pass complete short left to Larry Fitzgerald for 9 yards (tackle by Charles Tillman),2.320,3.000
2,3:47,2,1,CHI 40,21,7,Steve Breaston left end for 25 yards (tackle by Danieal Manning and Nathan Vasher),3.000,4.580
2,2:56,1,10,CHI 15,27,7,"Kurt Warner pass complete short left to Anthony Becht for 15 yards, touchdown",4.580,7.000
2,,,,CHI 2,28,7,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,28,7,"Neil Rackers kicks off 50 yards, returned by Rashied Davis for 7 yards (tackle by LaRod Stephens-Howling)",0.000,0.740
2,2:43,1,10,CHI 27,28,7,Jay Cutler pass complete short left to Earl Bennett for 21 yards (tackle by Antrel Rolle),0.740,2.130
2,2:15,1,10,CHI 48,28,7,Jay Cutler pass complete short middle to Matt Forte for 2 yards (tackle by Karlos Dansby),2.130,1.850
2,2:00,2,8,,28,7,Jay Cutler pass complete short right to Matt Forte for 20 yards (tackle by Calais Campbell),1.850,3.580
2,1:30,1,10,ARI 30,28,7,"Jay Cutler pass complete short right to Greg Olsen for 16 yards (tackle by Matt Ware). Penalty on Greg Olsen: Offensive Pass Interfere, 10 yards (no play)",3.580,2.920
2,1:23,1,20,ARI 40,28,7,Jay Cutler pass incomplete short right intended for Devin Hester (defended by Dominique Rodgers-Cromartie),2.920,1.680
2,1:16,2,20,ARI 40,28,7,Jay Cutler pass incomplete short right intended for Earl Bennett,1.680,1.020
2,1:09,3,20,ARI 40,28,7,Jay Cutler pass complete short left to Johnny Knox for 10 yards (tackle by Bryant McFadden),1.020,1.410
2,0:40,,,,28,7,Timeout #2 by Arizona Cardinals,0.000,1.410
2,0:40,4,10,ARI 30,28,7,"Robbie Gould 48 yard field goal no good, blocked by Dominique Rodgers-Cromartie, recovered by Antrel Rolle and returned for 59 yards",1.410,-2.320
2,0:22,1,10,CHI 49,28,7,Kurt Warner pass complete short left to Steve Breaston for 8 yards (tackle by Kevin Payne),2.320,2.860
2,0:15,,,,28,7,Timeout #3 by Arizona Cardinals,0.000,2.860
2,0:15,2,2,CHI 41,28,7,Kurt Warner pass complete short middle to Larry Fitzgerald for 16 yards (tackle by Danieal Manning),2.860,3.910
2,0:03,1,10,CHI 25,28,7,Kurt Warner spiked the ball,3.910,3.360
2,0:02,2,10,CHI 25,31,7,Neil Rackers 43 yard field goal good,3.360,3.000
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,31,7,"Neil Rackers kicks off 72 yards, returned by Johnny Knox for 24 yards (tackle by LaRod Stephens-Howling)",0.000,0.410
3,14:55,1,10,CHI 22,31,7,Jay Cutler pass complete short left to Devin Hester for 14 yards (tackle by Dominique Rodgers-Cromartie),0.410,1.330
3,14:33,1,10,CHI 36,31,7,Jay Cutler pass complete short right to Devin Hester for 6 yards (tackle by Dominique Rodgers-Cromartie),1.330,1.600
3,13:48,2,4,CHI 42,31,7,Jay Cutler pass incomplete short right intended for Desmond Clark,1.600,0.890
3,13:44,3,4,CHI 42,31,7,Jay Cutler sacked by Chike Okeafor and Calais Campbell for -11 yards,0.890,-1.310
3,13:28,4,15,CHI 31,31,7,"Brad Maynard punts 41 yards, returned by Steve Breaston for 3 yards (tackle by Tim Shaw)",-1.310,-1.000
3,13:18,1,10,ARI 31,31,7,Tim Hightower left end for 4 yards (tackle by Nick Roach),1.000,1.000
3,12:42,2,6,ARI 35,31,7,LaRod Stephens-Howling right guard for 5 yards (tackle by Hunter Hillenmeyer),1.000,0.960
3,12:06,3,1,ARI 40,31,7,Beanie Wells left tackle for 7 yards (tackle by Danieal Manning),0.960,2.060
3,11:29,1,10,ARI 47,31,7,Beanie Wells left end for 2 yards (tackle by Kevin Payne),2.060,1.790
3,10:49,2,8,ARI 49,31,7,Kurt Warner pass incomplete short middle intended for Tim Hightower,1.790,1.090
3,10:45,3,8,ARI 49,31,7,Kurt Warner pass complete deep left to Larry Fitzgerald for 17 yards (tackle by Zackary Bowman and Kevin Payne),1.090,3.310
3,10:04,1,10,CHI 34,31,7,Kurt Warner pass complete deep middle to Larry Fitzgerald for 18 yards (tackle by Zackary Bowman),3.310,4.510
3,9:21,1,10,CHI 16,31,7,Tim Hightower right end for -5 yards (tackle by Nick Roach),4.510,3.280
3,8:35,2,15,CHI 21,31,7,Kurt Warner pass complete short left to Ben Patrick for 9 yards (tackle by Danieal Manning),3.280,3.730
3,7:54,3,6,CHI 12,31,7,Kurt Warner pass incomplete short left intended for Tim Hightower,3.730,2.660
3,7:51,4,6,CHI 12,34,7,Neil Rackers 30 yard field goal good,2.660,3.000
3,,,,ARI 30,34,7,"Neil Rackers kicks off 65 yards, returned by Danieal Manning for 35 yards (tackle by Sean Morey)",0.000,1.600
3,7:37,1,10,CHI 40,34,7,"Penalty on Roberto Garza: False Start, 5 yards (no play)",1.600,1.270
3,7:37,1,15,CHI 35,34,7,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",1.270,0.940
3,7:37,1,20,CHI 30,34,7,Jay Cutler pass complete short right to Earl Bennett for 29 yards (tackle by Adrian Wilson),0.940,2.850
3,7:14,1,10,ARI 41,34,7,Jay Cutler pass incomplete short right intended for Matt Forte,2.850,2.310
3,7:10,2,10,ARI 41,34,7,Matt Forte right guard for 6 yards (tackle by Kenny Iwebema),2.310,2.410
3,6:40,3,4,ARI 35,34,7,Jay Cutler pass incomplete short right intended for Devin Hester,2.410,0.980
3,6:29,4,4,ARI 35,34,7,"Jay Cutler pass incomplete short right intended for Greg Olsen. Penalty on Jay Cutler: Unsportsmanlike Conduct, 15 yards",0.980,-2.260
3,6:24,1,10,,34,7,Beanie Wells right end for 3 yards (tackle by Hunter Hillenmeyer),2.260,2.120
3,5:48,2,7,CHI 47,34,7,Kurt Warner pass incomplete deep right intended for Steve Breaston,2.120,1.420
3,5:42,3,7,CHI 47,34,7,Kurt Warner pass incomplete short left intended for Jerheme Urban,1.420,0.130
3,5:38,4,7,CHI 47,34,7,Ben Graham punts 44 yards,0.130,0.380
3,5:28,1,10,CHI 3,34,7,Matt Forte left tackle for 2 yards (tackle by Chike Okeafor),-0.380,-0.630
3,4:57,2,8,CHI 5,34,7,Jay Cutler pass incomplete deep right intended for Devin Hester,-0.630,-1.190
3,4:50,3,8,CHI 5,34,7,"Jay Cutler pass complete short left to Matt Forte for 35 yards (tackle by Matt Ware). Penalty on Olin Kreutz: Offensive Holding, 2 yards (no play)",-1.190,-1.420
3,4:22,3,10,CHI 3,34,7,Jay Cutler pass incomplete short right intended for Earl Bennett,-1.420,-2.490
3,4:17,4,10,CHI 3,34,7,"Brad Maynard punts 52 yards, returned by Steve Breaston for -2 yards (tackle by Rashied Davis)",-2.490,-1.800
3,4:06,1,10,ARI 43,34,7,Tim Hightower left guard for 8 yards (tackle by Kevin Payne),1.800,2.330
3,3:23,2,2,CHI 49,34,7,Tim Hightower right end for 1 yard (tackle by Lance Briggs),2.330,1.750
3,2:37,3,1,CHI 48,34,7,Beanie Wells left guard for no gain (tackle by Anthony Adams and Adewale Ogunleye),1.750,0.070
3,1:49,4,1,CHI 48,34,7,Penalty on Ben Graham: Delay of Game (Declined),0.070,0.070
3,1:26,4,1,CHI 48,34,7,"Ben Graham punts 33 yards. Penalty on Rashied Davis: Offensive Holding, 8 yards",0.070,0.380
3,1:17,1,10,CHI 7,34,7,Jay Cutler pass complete deep left to Earl Bennett for 20 yards (tackle by Bryant McFadden),-0.380,0.740
3,0:42,1,10,CHI 27,34,7,Jay Cutler pass complete short middle to Matt Forte for no gain,0.740,0.200
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CHI 27,34,7,Jay Cutler pass complete short right to Desmond Clark for 7 yards (tackle by Ali Highsmith and Adrian Wilson),0.200,0.430
4,14:18,3,3,CHI 34,34,7,Jay Cutler pass complete short left to Devin Hester for 16 yards (tackle by Dominique Rodgers-Cromartie),0.430,2.260
4,13:54,1,10,,34,7,Jay Cutler pass complete short right to Devin Hester for 13 yards (tackle by Dominique Rodgers-Cromartie),2.260,3.120
4,13:20,1,10,ARI 37,34,7,Jay Cutler pass incomplete short right intended for Desmond Clark,3.120,2.570
4,13:15,2,10,ARI 37,34,7,Jay Cutler pass complete short right to Matt Forte for 28 yards (tackle by Adrian Wilson),2.570,5.140
4,12:28,1,9,ARI 9,34,7,Jay Cutler pass complete short middle to Greg Olsen for 6 yards (tackle by Adrian Wilson),5.140,5.530
4,11:55,2,3,ARI 3,34,13,"Jay Cutler pass complete short left to Greg Olsen for 3 yards, touchdown",5.530,7.000
4,,,,ARI 2,34,14,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,34,14,"Robbie Gould kicks off 68 yards, returned by LaRod Stephens-Howling for 20 yards (tackle by Corey Graham)",0.000,0.410
4,11:43,1,10,ARI 22,34,14,"Matt Leinart pass incomplete deep left intended for Anthony Becht. Penalty on Nick Roach: Defensive Pass Interfere, 19 yards (no play)",0.410,1.660
4,11:36,1,10,ARI 41,34,14,Beanie Wells right guard for 3 yards (tackle by Adewale Ogunleye),1.660,1.530
4,10:53,2,7,ARI 44,34,14,Beanie Wells right guard for 2 yards (tackle by Lance Briggs and Hunter Hillenmeyer),1.530,1.090
4,10:08,3,5,ARI 46,34,14,Matt Leinart pass incomplete deep left intended for Larry Fitzgerald is intercepted by Zackary Bowman at CHI-33 and returned for 39 yards,1.090,-3.710
4,9:56,1,10,ARI 28,34,14,Jay Cutler pass incomplete short left intended for Devin Hester,3.710,3.170
4,9:50,2,10,ARI 28,34,14,Jay Cutler pass complete short right to Johnny Knox for 8 yards (tackle by Antrel Rolle),3.170,3.530
4,9:09,3,2,ARI 20,34,20,"Jay Cutler pass complete deep left to Greg Olsen for 20 yards, touchdown",3.530,7.000
4,,,,ARI 2,34,21,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,34,21,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
4,9:04,1,10,ARI 20,34,21,"Kurt Warner pass complete short left to Larry Fitzgerald for 13 yards (tackle by Zackary Bowman). Penalty on Mike Gandy: Unnecessary Roughness, 10 yards (no play)",0.280,-0.760
4,9:04,1,20,ARI 10,34,21,"Kurt Warner sacked by Adewale Ogunleye and Alex Brown for -5 yards. Kurt Warner fumbles (forced by Adewale Ogunleye), recovered by Mike Gandy at ARI-5",-0.760,-1.880
4,7:55,2,25,ARI 5,34,21,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,-1.880,-3.180
4,7:48,3,25,ARI 5,34,21,Kurt Warner pass complete deep left to Steve Breaston for 24 yards (tackle by Corey Graham),-3.180,-1.440
,,,,,,,"ARI challenged the first down ruling, and the play was upheld.",,
4,7:17,4,1,ARI 29,34,21,"Ben Graham punts 56 yards, returned by Devin Hester for 2 yards (tackle by Jason Wright)",-1.440,0.060
4,7:04,1,10,CHI 17,34,21,Jay Cutler pass incomplete deep right intended for Johnny Knox (defended by Bryant McFadden),-0.060,-0.580
4,6:56,2,10,CHI 17,34,21,Jay Cutler pass incomplete short right intended for Greg Olsen (defended by Clark Haggans),-0.580,-1.250
4,6:51,3,10,CHI 17,34,21,Jay Cutler pass incomplete deep right intended for Earl Bennett is intercepted by Matt Ware at CHI-35 and returned for 18 yards,-1.250,-4.440
4,6:41,1,10,CHI 17,34,21,Tim Hightower right tackle for 2 yards (tackle by Hunter Hillenmeyer),4.440,4.150
4,6:00,2,8,CHI 15,34,21,Tim Hightower right end for 9 yards (tackle by Kevin Payne),4.150,5.830
4,5:20,1,6,CHI 6,34,21,Tim Hightower left end for 2 yards (tackle by Lance Briggs),5.830,5.340
4,4:37,2,4,CHI 4,40,21,"Kurt Warner pass complete short right to Steve Breaston for 4 yards, touchdown",5.340,7.000
4,,,,CHI 2,41,21,Neil Rackers kicks extra point good,0.000,0.000
4,,,,ARI 30,41,21,"Neil Rackers kicks off 37 yards, returned by Rashied Davis for 3 yards (tackle by Jason Wright)",0.000,1.330
4,4:27,1,10,CHI 36,41,21,Jay Cutler pass incomplete short left intended for Matt Forte,1.330,0.790
4,4:23,2,10,CHI 36,41,21,Jay Cutler pass complete short right to Johnny Knox for 9 yards (tackle by Bryant McFadden),0.790,1.290
4,3:57,3,1,CHI 45,41,21,Jay Cutler right guard for 2 yards (tackle by Calais Campbell),1.290,2.060
4,3:24,1,10,CHI 47,41,21,Jay Cutler pass complete short middle to Johnny Knox for 3 yards (tackle by Matt Ware),2.060,1.920
4,2:52,2,7,,41,21,Jay Cutler for 11 yards,1.920,2.980
4,2:45,1,10,ARI 39,41,21,Jay Cutler sacked by Will Davis for -1 yards,2.980,2.300
4,2:17,2,11,ARI 40,41,21,Jay Cutler pass incomplete short left intended for Johnny Knox (defended by Antrel Rolle),2.300,1.620
4,2:12,3,11,ARI 40,41,21,Adrian Peterson right tackle for 8 yards (tackle by Bertrand Berry),1.620,1.290
4,2:00,4,3,ARI 32,41,21,Jay Cutler pass incomplete short middle intended for Devin Hester,1.290,-1.070
4,1:57,1,10,ARI 32,41,21,Tim Hightower left end for 8 yards (tackle by Kevin Payne),1.070,1.610
4,1:51,2,2,ARI 40,41,21,Tim Hightower left guard for 1 yard (tackle by Marcus Harrison),1.610,1.030
4,1:43,,,,41,21,Timeout #1 by Chicago Bears,0.000,1.030
4,1:43,3,1,ARI 41,41,21,Beanie Wells right tackle for -1 yards (tackle by Nick Roach and Danieal Manning),1.030,-0.720
4,1:38,,,,41,21,Timeout #2 by Chicago Bears,0.000,-0.720
4,1:38,4,2,ARI 40,41,21,Ben Graham punts 33 yards,-0.720,-0.740
4,1:31,1,10,CHI 27,41,21,Jay Cutler pass complete short right to Earl Bennett for 12 yards (tackle by Bryant McFadden),0.740,1.530
4,0:58,1,10,CHI 39,41,21,Jay Cutler sacked by Clark Haggans for 0 yards,1.530,0.990
4,0:24,2,10,CHI 39,41,21,Adrian Peterson right guard for 15 yards (tackle by Ralph Brown),0.990,2.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
