Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
2,8:15,4,4,CIN 47,0,9,Kyle Larson punts 29 yards,-0.260,-0.540
2,8:07,1,10,DAL 24,0,9,Eddie George right tackle for no gain (tackle by Madieu Williams),0.540,0.000
2,7:27,2,10,DAL 24,0,9,Vinny Testaverde pass complete to Keyshawn Johnson for 17 yards (tackle by Brian Simmons),0.000,1.660
2,6:46,1,10,DAL 41,0,9,"Vinny Testaverde pass incomplete intended for Jason Witten. Penalty on Al Johnson: Ineligible Downfield Pass, 5 yards (no play)",1.660,1.330
2,6:41,1,15,DAL 36,0,9,Richie Anderson left tackle for 4 yards (tackle by Madieu Williams),1.330,0.990
2,6:03,2,11,DAL 40,0,9,Vinny Testaverde pass complete to Richie Anderson for 3 yards (tackle by Keiwan Ratliff),0.990,0.700
2,5:21,3,8,DAL 43,0,9,Vinny Testaverde pass incomplete intended for Patrick Crayton,0.700,-0.520
2,5:17,4,8,DAL 43,0,9,"Mat McBriar punts 51 yards, returned by T.J. Houshmandzadeh for 1 yard (tackle by Terrance Copper)",-0.520,0.380
2,5:05,1,10,CIN 7,0,9,Rudi Johnson up the middle for 5 yards (tackle by La'Roi Glover),-0.380,-0.420
2,4:34,2,5,CIN 12,0,9,Rudi Johnson right tackle for 4 yards (tackle by Greg Ellis),-0.420,-0.370
2,3:58,3,1,CIN 16,0,9,Carson Palmer pass complete to Chad Ochocinco for 11 yards (tackle by Lance Frazier),-0.370,0.740
2,3:23,1,10,CIN 27,0,9,Carson Palmer pass incomplete intended for Kevin Walter,0.740,0.200
2,3:18,2,10,CIN 27,0,9,Carson Palmer pass complete to Jeremi Johnson for 2 yards (tackle by Dexter Coakley),0.200,-0.230
2,2:35,3,8,CIN 29,0,9,"Penalty on Rich Braham: False Start, 5 yards (no play)",-0.230,-0.890
2,2:25,3,13,CIN 24,0,9,Carson Palmer pass incomplete intended for Cliff Russell,-0.890,-1.770
2,2:21,4,13,CIN 24,0,9,Kyle Larson punts 31 yards,-1.770,-1.930
2,2:13,1,10,DAL 45,0,9,Vinny Testaverde pass complete to Jason Witten for 18 yards (tackle by Madieu Williams),1.930,3.120
2,2:00,1,10,CIN 37,0,9,Vinny Testaverde pass complete to Keyshawn Johnson for 7 yards (tackle by Deltha O'Neal),3.120,3.520
2,1:42,2,3,CIN 30,0,9,Richie Anderson up the middle for 2 yards (tackle by Duane Clemons),3.520,3.070
2,1:35,,,,0,9,Timeout #2 by Dallas Cowboys,0.000,3.070
2,1:35,3,1,CIN 28,0,9,Richie Anderson left end for 2 yards (tackle by Justin Smith),3.070,3.840
2,1:11,1,10,CIN 26,0,9,Vinny Testaverde pass complete to Randal Williams for 14 yards (tackle by Tory James),3.840,4.780
2,1:05,1,10,CIN 12,0,9,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Kevin Kaesviharn),4.780,4.100
2,1:00,2,10,CIN 12,0,9,Vinny Testaverde pass complete to Richie Anderson for 6 yards (tackle by John Thornton),4.100,4.380
2,0:26,3,4,CIN 6,0,9,Vinny Testaverde pass incomplete intended for Richie Anderson (defended by Robert Geathers),4.380,3.000
2,0:22,,,,0,9,Timeout #1 by Cincinnati Bengals,0.000,3.000
2,0:22,4,4,CIN 6,3,9,Billy Cundiff 24 yard field goal good,3.000,3.000
2,,,,DAL 30,3,9,"Billy Cundiff kicks off 66 yards, returned by Cliff Russell for 20 yards (tackle by Roy Williams)",0.000,0.540
2,0:12,1,10,CIN 24,3,9,Carson Palmer kneels for -1 yards,0.540,-0.140
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,3,9,"Billy Cundiff kicks off 67 yards, returned by Cliff Russell for 17 yards (tackle by Kalen Thornton)",0.000,0.280
3,14:56,1,10,CIN 20,3,9,Rudi Johnson right tackle for no gain (tackle by Tony Dixon),0.280,-0.270
3,14:13,2,10,CIN 20,3,9,"Penalty on Chad Ochocinco: False Start, 5 yards (no play)",-0.270,-1.070
3,13:54,2,15,CIN 15,3,9,Carson Palmer pass complete to Jeremi Johnson for 1 yard (tackle by Lance Frazier),-1.070,-1.690
3,13:15,3,14,CIN 16,3,9,Carson Palmer pass complete to Matt Schobel for 8 yards (tackle by Jacques Reeves),-1.690,-1.770
3,12:54,4,6,CIN 24,3,9,"Kyle Larson punts 49 yards, returned by Lance Frazier for 10 yards (tackle by Marcus Wilkins)",-1.770,-1.400
3,12:44,1,10,DAL 37,3,9,Vinny Testaverde pass complete to Jason Witten for 33 yards (tackle by Rogers Beckett),1.400,3.580
3,11:57,1,10,CIN 30,3,9,Richie Anderson right tackle for -3 yards (tackle by Duane Clemons and Justin Smith),3.580,2.630
3,11:21,2,13,CIN 33,3,9,Vinny Testaverde for 10 yards (tackle by Brian Simmons),2.630,3.270
3,11:02,3,3,CIN 23,3,9,"Penalty on Larry Allen: False Start, 5 yards (no play)",3.270,2.610
3,10:43,3,8,CIN 28,3,9,"Vinny Testaverde pass incomplete. Penalty on Vinny Testaverde: Intentional Grounding, 16 yards",2.610,0.330
3,10:38,4,24,CIN 44,3,9,"Mat McBriar punts 44 yards, touchback",0.330,-0.280
3,10:29,1,10,CIN 20,3,9,Carson Palmer pass incomplete intended for Reggie Kelly (defended by Greg Ellis),0.280,-0.270
3,10:25,2,10,CIN 20,3,9,Carson Palmer pass complete to Reggie Kelly for 4 yards (tackle by Lynn Scott),-0.270,-0.430
3,9:48,3,6,CIN 24,3,15,"Carson Palmer pass complete to Matt Schobel for 76 yards, touchdown",-0.430,7.000
3,,,,DAL 2,3,16,Shayne Graham kicks extra point good,0.000,0.000
3,,,,CIN 30,3,16,"Shayne Graham kicks off 48 yards, returned by Brett Pierce for 13 yards (tackle by Kenny Watson)",0.000,1.270
3,9:31,1,10,DAL 35,3,16,Vinny Testaverde pass complete to Patrick Crayton for 6 yards (tackle by Madieu Williams),1.270,1.530
3,8:53,2,4,DAL 41,3,16,Richie Anderson right tackle for 3 yards (tackle by Landon Johnson),1.530,1.220
3,8:17,3,1,DAL 44,3,16,Eddie George left tackle for 3 yards (tackle by Madieu Williams),1.220,2.060
3,7:39,1,10,DAL 47,3,16,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,2.060,1.520
3,7:30,2,10,DAL 47,3,16,Richie Anderson for 1 yard (tackle by Deltha O'Neal),1.520,0.960
3,6:46,3,9,DAL 48,3,16,Vinny Testaverde pass complete to Patrick Crayton for 8 yards (tackle by Keiwan Ratliff),0.960,0.330
3,6:09,4,1,CIN 44,3,16,"Penalty on Vinny Testaverde: Delay of Game, 5 yards (no play)",0.330,0.000
3,6:01,4,6,CIN 49,3,16,Mat McBriar punts 45 yards,0.000,0.380
3,5:49,1,10,CIN 4,3,16,Rudi Johnson right guard for 7 yards (tackle by Alshermond Singleton),-0.380,-0.270
3,5:16,2,3,CIN 11,3,16,Rudi Johnson right tackle for 2 yards (tackle by La'Roi Glover),-0.270,-0.370
3,4:43,3,1,CIN 13,3,16,Rudi Johnson right guard for 2 yards (tackle by Kenyon Coleman),-0.370,-0.220
3,3:57,,,,3,16,Timeout #1 by Cincinnati Bengals,0.000,-0.220
3,3:57,1,10,CIN 15,3,16,Rudi Johnson left guard for 1 yard (tackle by Leonardo Carson),-0.220,-0.580
3,3:21,2,9,CIN 16,3,16,Carson Palmer pass incomplete intended for Rudi Johnson,-0.580,-1.250
3,3:17,3,9,CIN 16,3,16,Carson Palmer pass complete to Kevin Walter for 7 yards (tackle by Lance Frazier),-1.250,-1.830
3,2:39,4,2,CIN 23,3,16,"Kyle Larson punts 43 yards, fair catch by Lance Frazier",-1.830,-1.200
3,2:31,1,10,DAL 34,3,16,Vinny Testaverde pass complete to Jason Witten for 7 yards (tackle by Rogers Beckett),1.200,1.600
3,2:11,2,3,DAL 41,3,16,Vinny Testaverde pass complete to Keyshawn Johnson for 26 yards (tackle by Madieu Williams),1.600,3.380
3,1:44,1,10,CIN 33,3,16,Vinny Testaverde pass incomplete intended for Randal Williams,3.380,2.840
3,1:41,2,10,CIN 33,3,16,Vinny Testaverde pass incomplete intended for Keyshawn Johnson is intercepted by Deltha O'Neal at CIN-18,2.840,-0.040
3,1:36,1,10,CIN 18,3,16,Carson Palmer pass complete to Chad Ochocinco for 18 yards (tackle by Roy Williams),0.040,1.330
3,1:02,1,10,CIN 36,3,16,Carson Palmer pass complete to Chad Ochocinco for 7 yards (tackle by Alshermond Singleton),1.330,1.740
3,0:40,2,3,CIN 43,3,16,Cliff Russell left end for 10 yards (tackle by Lance Frazier),1.740,2.460
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 47,3,16,Rudi Johnson right tackle for 5 yards (tackle by Dexter Coakley),2.460,2.590
4,14:25,2,5,DAL 42,3,16,Rudi Johnson right guard for 2 yards (tackle by Dexter Coakley and Greg Ellis),2.590,2.150
4,13:43,3,3,DAL 40,3,16,Carson Palmer pass complete to Chad Ochocinco for 23 yards (tackle by Dat Nguyen),2.150,4.440
4,13:20,1,10,DAL 17,3,16,Rudi Johnson left tackle for 5 yards (tackle by Dexter Coakley and Marcellus Wiley),4.440,4.690
4,12:35,2,5,DAL 12,3,16,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh,4.690,3.880
4,12:30,3,5,DAL 12,3,16,Carson Palmer pass incomplete intended for Chad Ochocinco,3.880,2.680
4,12:25,4,5,DAL 12,3,19,Shayne Graham 30 yard field goal good,2.680,3.000
4,,,,CIN 30,3,19,"Shayne Graham kicks off 66 yards, returned by ReShard Lee for 21 yards (tackle by Kenny Watson)",0.000,0.610
4,12:15,1,10,DAL 25,3,19,Vinny Testaverde pass incomplete intended for Patrick Crayton,0.610,0.060
4,12:11,2,10,DAL 25,3,19,"Penalty on Flozell Adams: False Start, 5 yards (no play)",0.060,-0.610
4,12:11,2,15,DAL 20,3,19,Vinny Testaverde pass complete to Richie Anderson for 13 yards (tackle by Keiwan Ratliff),-0.610,0.430
4,11:49,3,2,DAL 33,3,19,"Penalty on Larry Allen: False Start, 5 yards (no play)",0.430,-0.230
4,11:43,3,7,DAL 28,3,19,Vinny Testaverde pass complete to Jason Witten for 6 yards (tackle by Rogers Beckett),-0.230,-1.110
4,11:19,4,1,DAL 34,3,19,"Vinny Testaverde pass incomplete intended for Jason Witten is intercepted by Deltha O'Neal at CIN-43 and returned for 3 yards (tackle by Patrick Crayton). Penalty on Rogers Beckett: Defensive Holding, 5 yards (no play)",-1.110,1.530
4,11:10,1,10,DAL 39,3,19,Vinny Testaverde pass complete to Jason Witten for 8 yards (tackle by Deltha O'Neal),1.530,2.070
4,10:45,2,2,DAL 47,3,19,Vinny Testaverde pass incomplete intended for Keyshawn Johnson is intercepted by Madieu Williams at CIN-34,2.070,-1.200
4,10:39,1,10,CIN 34,3,19,"Rudi Johnson right end for 2 yards (tackle by Dat Nguyen). Penalty on La'Roi Glover: Defensive Holding, 5 yards (no play)",1.200,1.530
4,10:33,1,10,CIN 39,3,19,Carson Palmer pass complete to Chad Ochocinco for 1 yard (tackle by Lance Frazier),1.530,1.120
4,9:46,2,9,CIN 40,3,19,Carson Palmer pass complete to Jeremi Johnson for 8 yards (tackle by Roy Williams),1.120,1.490
4,9:19,3,1,CIN 48,3,19,Rudi Johnson right tackle for 2 yards (tackle by Marcellus Wiley),1.490,2.260
4,8:42,1,10,CIN 50,3,19,Rudi Johnson right tackle for 7 yards (tackle by Terence Newman),2.260,2.660
4,7:58,2,3,DAL 43,3,19,Rudi Johnson left guard for 2 yards (tackle by Dexter Coakley),2.660,2.210
4,7:21,3,1,DAL 41,3,19,Carson Palmer pass complete to Chad Ochocinco for 4 yards (tackle by Lance Frazier),2.210,3.120
4,6:41,1,10,DAL 37,3,19,Rudi Johnson left guard for 7 yards (tackle by Alshermond Singleton),3.120,3.520
4,5:59,2,3,DAL 30,3,19,Rudi Johnson left tackle for 6 yards (tackle by Tony Dixon),3.520,3.970
4,5:17,1,10,DAL 24,3,19,Rudi Johnson right guard for 6 yards (tackle by Dexter Coakley),3.970,4.290
4,4:33,2,4,DAL 18,3,19,Carson Palmer pass complete to Chad Ochocinco for 2 yards (tackle by Terence Newman),4.290,3.950
4,4:26,3,2,DAL 16,3,19,Rudi Johnson right end for 7 yards (tackle by Terence Newman),3.950,5.140
4,3:45,1,9,DAL 9,3,19,Rudi Johnson left guard for 2 yards (tackle by Roy Williams),5.140,4.760
4,3:03,2,7,DAL 7,3,19,Rudi Johnson right guard for 5 yards (tackle by Dexter Coakley),4.760,4.950
4,2:26,,,,3,19,Timeout #2 by Cincinnati Bengals,0.000,4.950
4,2:26,3,2,DAL 2,3,25,"Carson Palmer left end for 2 yards, touchdown",4.950,7.000
4,,,,DAL 2,3,26,Shayne Graham kicks extra point good,0.000,0.000
4,,,,CIN 30,3,26,"Shayne Graham kicks off 68 yards, returned by ReShard Lee for 25 yards (tackle by Madieu Williams)",0.000,0.740
4,2:15,1,10,DAL 27,3,26,ReShard Lee left guard for 4 yards (tackle by Langston Moore),0.740,0.740
4,2:00,2,6,DAL 31,3,26,ReShard Lee right tackle for 13 yards (tackle by Madieu Williams),0.740,1.860
4,1:25,1,10,DAL 44,3,26,ReShard Lee left tackle for 8 yards (tackle by Kevin Hardy),1.860,2.400
4,0:44,2,2,CIN 48,3,26,ReShard Lee left tackle for 12 yards (tackle by Rogers Beckett and Tory James),2.400,3.180
4,0:05,1,10,CIN 36,3,26,ReShard Lee right tackle for 1 yard (tackle by Kevin Hardy),3.180,2.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
