Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
2,12:45,1,10,ARI 48,7,14,Ben Tate up the middle for 6 yards (tackle by Tyrann Mathieu),2.390,2.660
2,12:13,2,4,ARI 42,7,14,Ben Tate up the middle for 12 yards (tackle by Karlos Dansby),2.660,3.580
2,11:34,1,10,ARI 30,7,14,Case Keenum pass incomplete short right intended for Garrett Graham,3.580,3.030
2,11:28,2,10,ARI 30,7,14,Case Keenum pass complete short left to Ben Tate for 7 yards (tackle by Karlos Dansby and Matt Shaughnessy),3.030,3.270
2,10:48,3,3,ARI 23,7,14,Case Keenum pass complete short right to Dennis Johnson for 14 yards (tackle by Tyrann Mathieu),3.270,5.140
2,10:15,1,9,ARI 9,7,14,Ben Tate right end for 7 yards (tackle by Daryl Washington),5.140,5.140
2,9:41,1,9,ARI 9,7,14,Timeout #1 by Arizona Cardinals,5.140,5.720
2,9:41,2,2,ARI 2,13,14,"Case Keenum pass complete short middle to Ryan Griffin for 2 yards, touchdown",5.720,7.000
2,9:41,,,ARI 2,14,14,Randy Bullock kicks extra point good,0.000,0.000
2,9:41,,,HOU 35,14,14,"Randy Bullock kicks off 72 yards, returned by Javier Arenas for 45 yards (tackle by Randy Bullock). Penalty on Jaron Brown: Illegal Block Above the Waist, 4 yards",0.000,0.380
2,9:30,1,10,ARI 4,14,14,Andre Ellington up the middle for 5 yards (tackle by Darryl Sharpton),-0.380,-0.420
2,8:49,2,5,ARI 9,14,14,Carson Palmer pass incomplete deep left intended for Rob Housler is intercepted by D.J. Swearinger at ARI-45,-0.420,-2.590
2,8:40,1,10,ARI 45,14,14,Ben Tate up the middle for 5 yards (tackle by Dan Williams),2.590,2.720
2,8:06,2,5,ARI 40,14,14,Case Keenum pass complete short right to DeVier Posey for 11 yards,2.720,3.640
2,7:26,1,10,ARI 29,14,14,Ben Tate up the middle for -1 yards (tackle by Darnell Dockett),3.640,2.970
2,6:49,2,11,ARI 30,14,14,Case Keenum pass incomplete short middle intended for Ben Tate (defended by Karlos Dansby),2.970,2.280
2,6:44,3,11,ARI 30,14,14,Case Keenum pass incomplete,2.280,1.410
2,6:36,4,11,ARI 30,17,14,Randy Bullock 48 yard field goal good,1.410,3.000
2,6:36,,,HOU 35,17,14,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
2,6:31,1,10,ARI 20,17,14,Rashard Mendenhall up the middle for 3 yards (tackle by Jeff Tarpinian),0.280,0.140
2,5:52,2,7,ARI 23,17,14,"Penalty on Eric Winston: False Start, 5 yards (no play)",0.140,-0.630
2,5:33,2,12,ARI 18,17,14,Andre Ellington right tackle for 23 yards (tackle by Brooks Reed and Brice McCain),-0.630,1.660
2,4:47,1,10,ARI 41,17,14,Carson Palmer pass incomplete deep left intended for Andre Ellington,1.660,1.120
2,4:41,2,10,ARI 41,17,14,Carson Palmer pass incomplete short right intended for Jaron Brown,1.120,0.430
2,4:35,3,10,ARI 41,17,14,"Carson Palmer pass complete short left to Larry Fitzgerald for 14 yards (tackle by Brandon Harris). Penalty on Larry Fitzgerald: Offensive Pass Interference, 10 yards (no play)",0.430,-0.890
2,4:35,3,20,ARI 31,17,14,Carson Palmer pass complete short middle to Larry Fitzgerald for 11 yards (tackle by Darryl Sharpton),-0.890,-0.590
2,3:36,4,9,ARI 42,17,14,"Dave Zastudil punts 57 yards, out of bounds",-0.590,0.380
2,3:28,1,10,HOU 1,17,14,Case Keenum pass incomplete deep right intended for Andre Johnson,-0.380,-0.780
2,3:21,2,10,HOU 1,17,14,Dennis Johnson right tackle for 3 yards (tackle by Daryl Washington and Calais Campbell),-0.780,-1.070
2,2:39,3,7,HOU 4,17,14,Case Keenum pass complete short left to DeAndre Hopkins for 22 yards (tackle by Jerraud Powers),-1.070,0.670
2,1:59,1,10,HOU 26,17,14,Case Keenum pass complete short left to Ben Tate for 1 yard (tackle by Karlos Dansby),0.670,0.270
2,1:52,2,9,HOU 27,17,14,Case Keenum pass complete short left to DeAndre Hopkins for 3 yards (tackle by Daryl Washington),0.270,-0.030
2,1:32,3,6,HOU 30,17,14,Case Keenum pass complete short left to Garrett Graham for 12 yards (tackle by Jerraud Powers),-0.030,-0.030
2,1:20,3,6,HOU 30,17,14,Timeout #1 by Houston Texans,-0.030,1.730
2,1:20,1,10,HOU 42,17,14,Case Keenum pass incomplete short left intended for Andre Johnson,1.730,1.190
2,1:14,2,10,HOU 42,17,14,"Case Keenum pass incomplete. Penalty on Case Keenum: Intentional Grounding, 15 yards",1.190,-1.480
2,1:08,3,25,HOU 27,17,14,Case Keenum pass incomplete short middle intended for Ben Tate,-1.480,-1.570
2,1:00,4,25,HOU 27,17,14,"Shane Lechler punts 62 yards, returned by Patrick Peterson for 22 yards (tackle by D.J. Swearinger)",-1.570,-1.140
2,0:49,1,10,ARI 33,17,14,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",1.140,0.810
2,0:49,1,15,ARI 28,17,14,Carson Palmer pass incomplete deep left intended for Larry Fitzgerald (defended by Brandon Harris),0.810,-0.080
2,0:43,2,15,ARI 28,17,14,"Carson Palmer sacked by J.J. Watt for -7 yards. Carson Palmer fumbles (forced by J.J. Watt), recovered by J.J. Watt at ARI-22 (tackle by Carson Palmer)",-0.080,-4.110
2,0:37,1,10,ARI 22,17,14,Case Keenum pass incomplete short left intended for Lestar Jean (defended by Tyrann Mathieu),4.110,3.560
2,0:31,2,10,ARI 22,17,14,Case Keenum pass incomplete short left intended for Andre Johnson (defended by Daryl Washington),3.560,3.560
2,0:27,2,10,ARI 22,17,14,Timeout #2 by Houston Texans,3.560,2.870
2,0:27,3,10,ARI 22,17,14,Dennis Johnson up the middle for no gain (tackle by Marcus Benard),2.870,2.870
2,0:04,3,10,ARI 22,17,14,Timeout #3 by Houston Texans,2.870,1.990
2,0:04,4,10,ARI 22,17,14,"Randy Bullock 40 yard field goal no good, blocked by Justin Bethel",1.990,0.870
Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,17,14,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,ARI 20,17,14,Carson Palmer pass complete short left to Larry Fitzgerald for 5 yards (tackle by Johnathan Joseph),0.280,0.410
3,14:28,2,5,ARI 25,17,14,Rashard Mendenhall right tackle for 1 yard (tackle by Darryl Sharpton),0.410,-0.160
3,13:49,3,4,ARI 26,17,14,Carson Palmer pass incomplete short left intended for Andre Roberts (defended by D.J. Swearinger),-0.160,-1.630
3,13:49,4,4,ARI 26,17,14,"Dave Zastudil punts 45 yards, returned by Keshawn Martin for 7 yards (tackle by Justin Bethel). Penalty on Brice McCain: Offensive Holding, 10 yards",-1.630,0.140
3,13:34,1,10,HOU 16,17,14,"Case Keenum pass incomplete short right intended for Ben Tate (defended by Daryl Washington). Penalty on Jake Byrne: Illegal Use of Hands, 8 yards (no play)",-0.140,-0.680
3,13:28,1,18,HOU 8,17,14,Ben Tate left end for -2 yards (tackle by Darnell Dockett and Calais Campbell),-0.680,-1.510
3,12:50,2,20,HOU 6,17,14,Ben Tate up the middle for 2 yards (tackle by Dan Williams),-1.510,-2.360
3,12:08,3,18,HOU 8,17,14,Case Keenum left end for 6 yards (tackle by Patrick Peterson),-2.360,-2.470
3,11:29,4,12,HOU 14,17,14,"Shane Lechler punts 55 yards, returned by Patrick Peterson for 10 yards (tackle by Bryan Braman)",-2.470,-1.660
3,11:18,1,10,ARI 41,17,14,Andre Ellington up the middle for 5 yards (tackle by Earl Mitchell),1.660,1.800
3,10:43,2,5,ARI 46,17,14,Andre Ellington up the middle for 7 yards (tackle by Joe Mays),1.800,2.460
3,10:14,1,10,HOU 47,17,14,Patrick Peterson right end for -4 yards (tackle by D.J. Swearinger),2.460,1.370
3,9:35,2,14,ARI 49,17,14,Carson Palmer pass incomplete short middle intended for Andre Roberts,1.370,0.700
3,9:30,3,14,ARI 49,17,14,Carson Palmer pass complete short middle to Andre Roberts for 17 yards (tackle by Johnathan Joseph),0.700,3.310
3,8:49,1,10,HOU 34,17,14,Andre Ellington right tackle for 4 yards (tackle by Joe Mays and Jared Crick),3.310,3.310
3,8:15,2,6,HOU 30,17,14,"Carson Palmer pass incomplete deep left intended for Andre Roberts. Penalty on Brice McCain: Defensive Holding, 5 yards (no play)",3.310,3.910
3,8:07,1,10,HOU 25,17,14,Rashard Mendenhall up the middle for 2 yards (tackle by J.J. Watt),3.910,3.630
3,7:32,2,8,HOU 23,17,14,Carson Palmer pass complete short right to Larry Fitzgerald for 7 yards (tackle by Johnathan Joseph),3.630,4.060
3,6:48,3,1,HOU 16,17,14,Rashard Mendenhall right end for no gain (tackle by Brooks Reed),4.060,2.530
3,6:11,4,1,HOU 16,17,17,Jay Feely 35 yard field goal good,2.530,3.000
3,6:11,,,ARI 35,17,17,"Jay Feely kicks off 60 yards, returned by Greg Jones for 17 yards (tackle by Justin Bethel)",0.000,-0.410
3,6:00,1,10,HOU 22,17,17,Case Keenum sacked by John Abraham for -10 yards,0.410,0.410
3,5:26,1,10,HOU 22,17,17,Timeout #1 by Houston Texans,0.410,-1.510
3,5:26,2,20,HOU 12,17,17,Case Keenum pass complete short left to Andre Johnson for 4 yards (tackle by Tyrann Mathieu),-1.510,-1.870
3,4:44,3,16,HOU 16,17,17,Case Keenum pass incomplete short right intended for DeVier Posey,-1.870,-2.390
3,4:38,4,16,HOU 16,17,17,Shane Lechler punts 60 yards (tackle by Joe Mays),-2.390,-1.470
3,4:25,1,10,ARI 38,17,17,Carson Palmer pass complete short right to Andre Roberts for 9 yards (tackle by Brooks Reed),1.470,2.140
3,3:50,2,1,ARI 47,17,17,Rashard Mendenhall up the middle for 2 yards (tackle by Earl Mitchell and Antonio Smith),2.140,2.190
3,3:14,1,10,ARI 49,17,17,"Carson Palmer for no gain (tackle by Darryl Sharpton). Penalty on Whitney Mercilus: Defensive Offside, 5 yards (no play)",2.190,2.920
3,2:50,1,5,HOU 46,17,17,Andre Ellington left end for 3 yards (tackle by Brooks Reed),2.920,2.730
3,2:12,2,2,HOU 43,17,17,Rashard Mendenhall up the middle for 12 yards (tackle by Shiloh Keo and D.J. Swearinger),2.730,3.510
3,1:34,1,10,HOU 31,17,17,Carson Palmer pass complete deep middle to Rob Housler for 26 yards (tackle by Shiloh Keo),3.510,6.060
3,0:54,1,5,HOU 5,17,17,Rashard Mendenhall up the middle for 2 yards (tackle by Brooks Reed),6.060,5.530
3,0:14,2,3,HOU 3,17,17,Carson Palmer pass incomplete,5.530,5.530
3,0:10,2,3,HOU 3,17,17,Timeout #1 by Arizona Cardinals,5.530,4.720
3,0:10,3,3,HOU 3,17,17,Carson Palmer pass incomplete short right intended for Andre Roberts (defended by Brandon Harris),4.720,3.040
3,0:06,4,3,HOU 3,17,20,Jay Feely 21 yard field goal good,3.040,3.000
3,0:06,,,ARI 35,17,20,"Jay Feely kicks off 68 yards, returned by Greg Jones for 26 yards (tackle by Kevin Minter)",0.000,-0.480
Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 23,17,20,Ben Tate right end for 2 yards (tackle by Daryl Washington and Dan Williams),0.480,0.200
4,14:17,2,8,HOU 25,17,20,Ben Tate right end for 6 yards (tackle by Karlos Dansby and Daryl Washington),0.200,0.300
4,13:33,3,2,HOU 31,17,20,Case Keenum pass complete short left to DeAndre Hopkins for 4 yards (tackle by Karlos Dansby),0.300,1.270
4,12:56,1,10,HOU 35,17,20,Ben Tate right end for 7 yards (tackle by Karlos Dansby),1.270,1.670
4,12:20,2,3,HOU 42,17,20,Case Keenum pass incomplete deep right intended for Andre Johnson,1.670,0.960
4,12:11,3,3,HOU 42,17,20,Case Keenum sacked by Frostee Rucker for -23 yards,0.960,-2.140
4,11:39,4,26,HOU 19,17,20,"Shane Lechler punts 65 yards, returned by Patrick Peterson for 17 yards (tackle by Bryan Braman)",-2.140,-1.140
4,11:30,1,10,ARI 33,17,20,Rashard Mendenhall up the middle for 8 yards (tackle by Jared Crick),1.140,1.670
4,10:50,2,2,ARI 41,17,20,Rashard Mendenhall right tackle for 5 yards (tackle by Darryl Sharpton),1.670,1.990
4,10:15,1,10,ARI 46,17,20,Carson Palmer pass complete short middle to Rashard Mendenhall for 9 yards (tackle by Antonio Smith),1.990,2.670
4,9:37,2,1,HOU 45,17,20,Stepfan Taylor up the middle for 2 yards (tackle by Brooks Reed),2.670,2.720
4,8:59,1,10,HOU 43,17,20,Carson Palmer pass complete short left to Rob Housler for 11 yards (tackle by Whitney Mercilus),2.720,3.450
4,8:12,1,10,HOU 32,17,20,Stepfan Taylor right tackle for 4 yards (tackle by Jeff Tarpinian),3.450,3.440
4,7:36,2,6,HOU 28,17,20,Carson Palmer pass complete short left to Jim Dray for 9 yards (tackle by Johnathan Joseph),3.440,4.310
4,6:51,1,10,HOU 19,17,20,Carson Palmer pass incomplete short right intended for Jim Dray,4.310,3.750
4,6:47,2,10,HOU 19,17,26,"Carson Palmer pass complete deep right to Andre Roberts for 19 yards, touchdown",3.750,7.000
4,6:47,,,HOU 2,17,27,Jay Feely kicks extra point good,0.000,0.000
4,6:47,,,ARI 35,17,27,"Jay Feely kicks off 72 yards, returned by Deji Karim for 24 yards (tackle by Jaron Brown)",0.000,0.060
4,6:39,1,10,HOU 17,17,27,Case Keenum pass complete short left to DeAndre Hopkins for 11 yards (tackle by Tyrann Mathieu),-0.060,0.810
4,6:13,1,10,HOU 28,17,27,Case Keenum pass complete short left to Ben Tate for no gain,0.810,0.260
4,5:52,2,10,HOU 28,17,27,Ben Tate up the middle for 11 yards (tackle by Daryl Washington and Tyrann Mathieu),0.260,1.530
4,5:19,1,10,HOU 39,17,27,Case Keenum pass incomplete short right intended for DeAndre Hopkins,1.530,0.990
4,5:15,2,10,HOU 39,17,27,Case Keenum pass incomplete short middle intended for DeVier Posey (defended by Calais Campbell),0.990,0.300
4,5:10,3,10,HOU 39,17,27,Case Keenum pass incomplete deep right intended for DeAndre Hopkins,0.300,-0.780
4,5:04,4,10,HOU 39,17,27,Shane Lechler punts 56 yards,-0.780,0.380
4,4:53,1,10,ARI 5,17,27,"Rashard Mendenhall up the middle for no gain (tackle by J.J. Watt). Rashard Mendenhall fumbles (forced by J.J. Watt), recovered by J.J. Watt at ARI-5 (tackle by Larry Fitzgerald)",-0.380,-6.060
4,4:46,1,5,ARI 5,17,27,Case Keenum pass incomplete short right intended for DeAndre Hopkins,6.060,5.150
4,4:42,2,5,ARI 5,17,27,Case Keenum pass incomplete short left intended for DeVier Posey,5.150,4.260
4,4:39,3,5,ARI 5,23,27,"Case Keenum pass complete short left to Andre Johnson for 5 yards, touchdown",4.260,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,4:39,,,ARI 2,24,27,Randy Bullock kicks extra point good,0.000,0.000
4,4:39,,,HOU 35,24,27,"Randy Bullock kicks off 70 yards, returned by Javier Arenas for 23 yards (tackle by Josh Victorian)",0.000,-0.040
4,4:31,1,10,ARI 18,24,27,Andre Ellington up the middle for no gain (tackle by Darryl Sharpton and Antonio Smith),0.040,-0.490
4,3:53,2,10,ARI 18,24,27,Carson Palmer pass complete short right to Rob Housler for 8 yards (tackle by Darryl Sharpton),-0.490,-0.140
4,3:10,3,2,ARI 26,24,27,Carson Palmer pass complete short right to Andre Ellington for 12 yards (tackle by Brice McCain),-0.140,1.470
4,2:26,1,10,ARI 38,24,27,Andre Ellington up the middle for no gain (tackle by Earl Mitchell),1.470,1.470
4,2:21,1,10,ARI 38,24,27,Timeout #2 by Houston Texans,1.470,0.920
4,2:21,2,10,ARI 38,24,27,Andre Ellington up the middle for 3 yards (tackle by Darryl Sharpton and Shiloh Keo),0.920,0.920
4,2:16,2,10,ARI 38,24,27,Timeout #3 by Houston Texans,0.920,0.630
4,2:16,3,7,ARI 41,24,27,Carson Palmer pass complete short left to Andre Ellington for 6 yards (tackle by Shiloh Keo),0.630,-0.260
,,,,,,,"ARI challenged the first down ruling, and the play was upheld.",,
4,2:11,4,1,ARI 47,24,27,"Dave Zastudil punts 36 yards, fair catch by Keshawn Martin",-0.260,0.060
4,2:06,1,10,HOU 17,24,27,Case Keenum pass complete short right to DeAndre Hopkins for 11 yards (tackle by Jerraud Powers),-0.060,0.810
4,1:59,1,10,HOU 28,24,27,Case Keenum pass incomplete deep right intended for DeAndre Hopkins,0.810,0.260
4,1:53,2,10,HOU 28,24,27,Case Keenum pass complete short middle to Andre Johnson for 7 yards (tackle by Patrick Peterson),0.260,0.500
4,1:34,3,3,HOU 35,24,27,Case Keenum pass incomplete deep left intended for Andre Johnson,0.500,-1.040
4,1:29,4,3,HOU 35,24,27,Case Keenum pass incomplete short middle intended for DeAndre Hopkins (defended by Jerraud Powers),-1.040,-3.250
4,1:25,1,10,HOU 35,24,27,Carson Palmer kneels for -1 yards,3.250,2.570
4,0:43,2,11,HOU 36,24,27,Carson Palmer kneels for -1 yards,2.570,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
