Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
1,2:27,2,15,OAK 46,7,7,Peyton Manning pass complete deep left to Reggie Wayne for 20 yards (tackle by Tyvon Branch),1.630,3.840
1,1:46,1,10,OAK 26,7,7,Dominic Rhodes right end for 1 yard (tackle by Nnamdi Asomugha),3.840,3.430
1,0:59,2,9,OAK 25,7,7,Peyton Manning pass complete short middle to Jacob Tamme for 10 yards (tackle by Michael Mitchell). Penalty on Chris Johnson: Defensive Holding (Declined),3.430,4.580
1,0:36,1,10,OAK 15,7,7,Dominic Rhodes left tackle for 3 yards,4.580,4.450
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,OAK 12,7,7,Peyton Manning pass incomplete short middle intended for Pierre Garcon,4.450,3.580
2,14:58,3,7,OAK 12,7,7,Peyton Manning pass incomplete short middle intended for Dominic Rhodes (defended by John Henderson),3.580,2.630
2,14:54,4,7,OAK 12,10,7,Adam Vinatieri 30 yard field goal good,2.630,3.000
2,,,,IND 30,10,7,"Pat McAfee kicks off 64 yards, returned by Jacoby Ford for 19 yards (tackle by Philip Wheeler)",0.000,0.610
2,14:45,1,10,OAK 25,10,7,Jason Campbell pass complete short left to Darrius Heyward-Bey for 9 yards (tackle by Justin Tryon),0.610,1.280
2,14:13,2,1,OAK 34,10,7,Michael Bush left guard for no gain (tackle by Robert Mathis and Antoine Bethea),1.280,0.560
2,13:36,3,1,OAK 34,10,7,Marcel Reece middle for 1 yard (tackle by Antoine Bethea),0.560,1.270
2,12:55,1,10,OAK 35,10,7,Jason Campbell pass complete short middle to Zach Miller for 9 yards (tackle by Kavell Conner and Gary Brackett),1.270,1.940
2,12:19,2,1,OAK 44,10,7,Michael Bush right tackle for 15 yards (tackle by Antoine Bethea),1.940,2.850
2,11:39,1,10,IND 41,10,7,Jason Campbell sacked by Robert Mathis for -6 yards,2.850,1.500
2,11:06,2,16,IND 47,10,7,Jason Campbell pass complete short left to Marcel Reece for no gain,1.500,0.830
2,10:20,3,16,IND 47,10,7,Jason Campbell pass complete short left to Michael Bush for 6 yards (tackle by Gary Brackett),0.830,0.530
2,9:36,4,10,IND 41,10,10,Sebastian Janikowski 59 yard field goal good,0.530,3.000
2,,,,OAK 30,10,10,"Sebastian Janikowski kicks off 71 yards, returned by Dominic Rhodes for 27 yards (tackle by Hiram Eugene)",0.000,0.670
2,9:25,1,10,IND 26,10,10,"Penalty on Peyton Manning: Delay of Game, 5 yards (no play)",0.670,0.340
2,9:25,1,15,IND 21,10,10,Donald Brown middle for 4 yards (tackle by Desmond Bryant and Lamarr Houston),0.340,-0.010
2,8:44,2,11,IND 25,10,10,Peyton Manning pass complete short right to Reggie Wayne for 5 yards (tackle by Stanford Routt),-0.010,-0.030
2,8:05,3,6,IND 30,10,10,Peyton Manning pass complete short middle to Jacob Tamme for 5 yards (tackle by Michael Huff),-0.030,-1.040
2,7:32,4,1,IND 35,10,10,"Pat McAfee punts 47 yards, fair catch by Nick Miller",-1.040,-0.040
2,7:28,1,10,OAK 18,10,10,Darren McFadden middle for 26 yards (tackle by Antoine Bethea),0.040,1.860
2,6:48,1,10,OAK 44,10,10,Jason Campbell pass incomplete short left intended for Marcel Reece,1.860,1.320
2,6:42,2,10,OAK 44,10,10,Marcel Reece right end for 4 yards (tackle by Gary Brackett),1.320,1.160
2,5:59,3,6,OAK 48,10,10,Jason Campbell pass complete short left to Louis Murphy for 10 yards (tackle by Justin Tryon),1.160,2.790
2,5:25,1,10,IND 42,10,10,Darren McFadden right guard for 1 yard (tackle by Antonio Johnson),2.790,2.380
2,4:48,2,9,IND 41,10,10,Darren McFadden middle for 4 yards (tackle by Robert Mathis),2.380,2.210
2,4:07,3,5,IND 37,10,10,Jason Campbell pass complete short left to Chaz Schilens for 9 yards (tackle by Justin Tryon and Cornelius Brown),2.210,3.710
2,3:29,,,,10,10,Timeout #1 by Oakland Raiders,0.000,3.710
2,3:27,1,10,IND 28,10,10,Jason Campbell left end for 2 yards (tackle by Tyjuan Hagler),3.710,3.440
2,2:49,2,8,IND 26,10,10,Jason Campbell pass complete short right to Marcel Reece for 2 yards (tackle by Jacob Lacey),3.440,3.010
2,2:21,3,6,IND 24,10,10,Jason Campbell pass complete short left to Brandon Myers for 4 yards (tackle by Justin Tryon),3.010,2.250
2,2:00,4,2,IND 20,10,13,Sebastian Janikowski 38 yard field goal good,2.250,3.000
2,,,,OAK 30,10,13,"Sebastian Janikowski kicks off 72 yards, returned by Dominic Rhodes for 26 yards (tackle by Michael Bennett). Penalty on Ken Hamlin: Face Mask (15 Yards), 12 yards",0.000,-0.350
2,1:49,1,10,IND 12,10,13,"Peyton Manning pass incomplete deep left intended for Reggie Wayne. Penalty on Nnamdi Asomugha: Defensive Holding, 5 yards (no play)",-0.350,-0.060
2,1:44,1,10,IND 17,10,13,Peyton Manning pass complete short right to Jacob Tamme for 8 yards (tackle by Michael Mitchell),-0.060,0.620
2,1:39,2,2,IND 25,10,13,Joseph Addai middle for 5 yards (tackle by Tommy Kelly),0.620,0.940
2,1:25,1,10,IND 30,10,13,Peyton Manning pass complete short left to Blair White for 16 yards (tackle by Stanford Routt),0.940,1.990
2,1:17,1,10,IND 46,10,13,Peyton Manning pass incomplete deep right intended for Blair White,1.990,1.450
2,1:13,2,10,IND 46,10,13,"Joseph Addai left end for 3 yards (tackle by Tyvon Branch). Penalty on Lamarr Houston: Unnecessary Roughness, 15 yards",1.450,3.180
2,1:03,1,10,OAK 36,10,13,"Joseph Addai right guard for 2 yards (tackle by Matt Shaughnessy). Penalty on Ryan Diem: Unnecessary Roughness, 15 yards",3.180,0.880
2,0:51,2,23,OAK 49,10,13,Peyton Manning pass complete short left to Joseph Addai for 6 yards (tackle by Michael Mitchell),0.880,1.020
2,0:45,3,17,OAK 43,10,13,"Peyton Manning pass incomplete deep right intended for Pierre Garcon. Penalty on Chris Johnson: Defensive Pass Interfere, 25 yards (no play)",1.020,4.370
2,0:41,1,10,OAK 18,16,13,"Peyton Manning pass complete deep middle to Jacob Tamme for 18 yards, touchdown",4.370,7.000
2,,,,OAK 2,17,13,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,17,13,"Pat McAfee kicks off 66 yards, returned by Jacoby Ford for 23 yards (tackle by Philip Wheeler)",0.000,0.740
2,0:29,1,10,OAK 27,17,13,Jason Campbell pass complete short middle to Darren McFadden for 11 yards (tackle by Tyjuan Hagler),0.740,1.470
2,0:22,,,,17,13,Timeout #2 by Oakland Raiders,0.000,1.470
2,0:22,1,10,OAK 38,17,13,Jason Campbell pass complete short middle to Darren McFadden for 12 yards (tackle by Tyjuan Hagler),1.470,2.260
2,0:14,,,,17,13,Timeout #3 by Oakland Raiders,0.000,2.260
2,0:14,1,10,,17,13,Jason Campbell pass complete short right to Zach Miller for 14 yards (tackle by Gary Brackett),2.260,3.180
2,0:03,1,10,IND 36,17,13,Jason Campbell spiked the ball,3.180,2.640
2,0:01,2,10,IND 36,17,13,Sebastian Janikowski 54 yard field goal no good,2.640,1.800
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,17,13,"Sebastian Janikowski kicks off 72 yards, returned by Dominic Rhodes for 24 yards (tackle by Sam Williams)",0.000,0.410
3,14:55,1,10,IND 22,17,13,Dominic Rhodes middle for 15 yards (tackle by Tyvon Branch),0.410,1.400
3,14:24,1,10,IND 37,17,13,Peyton Manning pass incomplete deep middle intended for Jacob Tamme is intercepted by Michael Huff at OAK-43,1.400,-1.800
3,14:16,1,10,OAK 43,17,13,Jason Campbell pass complete short right to Zach Miller for 2 yards (tackle by Cornelius Brown),1.800,1.520
3,13:44,2,8,OAK 45,17,13,Darren McFadden left end for 3 yards (tackle by Gary Brackett),1.520,1.220
3,13:07,3,5,OAK 48,17,13,Jason Campbell middle for 3 yards (tackle by Robert Mathis),1.220,0.000
3,12:25,4,2,IND 49,17,13,"Shane Lechler punts 37 yards, fair catch by Blair White",0.000,0.350
3,12:19,1,10,IND 12,17,13,Dominic Rhodes middle for 15 yards (tackle by Tyvon Branch and Michael Huff),-0.350,0.740
3,11:49,1,10,IND 27,17,13,Dominic Rhodes left guard for 2 yards (tackle by John Henderson),0.740,0.470
3,11:11,2,8,IND 29,17,13,Peyton Manning pass incomplete short middle intended for Reggie Wayne,0.470,-0.230
3,11:07,3,8,IND 29,17,13,Peyton Manning pass incomplete short left intended for Reggie Wayne,-0.230,-1.440
3,11:02,4,8,IND 29,17,13,"Pat McAfee punts 38 yards, returned by Nick Miller for no gain. Penalty on Mike Newton: Offensive Holding, 10 yards (no play)",-1.440,-2.140
3,10:52,4,18,IND 19,17,13,"Pat McAfee punts 49 yards, returned by Nick Miller for 12 yards (tackle by Mike Newton)",-2.140,-1.860
3,10:43,1,10,OAK 44,17,13,Darren McFadden right guard for 6 yards (tackle by Antonio Johnson),1.860,2.130
3,10:02,2,4,,17,13,Jason Campbell pass complete short left to Darrius Heyward-Bey for 11 yards (tackle by Jacob Lacey),2.130,2.980
3,9:23,1,10,IND 39,17,13,Darren McFadden right end for 6 yards (tackle by Antonio Johnson),2.980,3.250
3,8:44,2,4,IND 33,17,13,Darren McFadden right tackle for no gain (tackle by Tyjuan Hagler),3.250,2.540
3,8:04,3,4,IND 33,17,13,Jason Campbell pass incomplete deep left intended for Jacoby Ford (defended by Cornelius Brown),2.540,1.180
3,7:54,4,4,IND 33,17,16,Sebastian Janikowski 51 yard field goal good,1.180,3.000
3,,,,OAK 30,17,16,"Sebastian Janikowski kicks off 64 yards, returned by Dominic Rhodes for 20 yards (tackle by Michael Bennett)",0.000,0.670
3,7:47,1,10,IND 26,17,16,"Peyton Manning pass complete short right to Joseph Addai for 4 yards (tackle by Rolando McClain). Penalty on Stanford Routt: Defensive Holding, 5 yards (no play)",0.670,1.000
3,7:39,1,10,IND 31,17,16,Joseph Addai right guard for 6 yards (tackle by Lamarr Houston),1.000,1.270
3,7:04,2,4,IND 37,17,16,Peyton Manning pass incomplete short right intended for Pierre Garcon (defended by Chris Johnson),1.270,0.560
3,7:00,3,4,IND 37,17,16,Peyton Manning pass incomplete short left intended for Blair White,0.560,-0.910
3,6:55,4,4,IND 37,17,16,Pat McAfee punts 37 yards,-0.910,-0.670
3,6:45,1,10,OAK 26,17,16,Darren McFadden left end for -3 yards (tackle by Fili Moala),0.670,-0.280
3,6:05,2,13,OAK 23,17,16,"Michael Bush right tackle for 16 yards (tackle by Robert Mathis). Penalty on Marcel Reece: Offensive Holding, 10 yards (no play)",-0.280,-1.720
3,5:30,2,23,OAK 13,17,16,Jason Campbell pass complete short right to Jacoby Ford for 4 yards (tackle by Jacob Lacey),-1.720,-2.020
3,5:00,3,19,OAK 17,17,16,Jason Campbell pass incomplete short middle intended for Michael Bush,-2.020,-2.320
3,4:55,4,19,OAK 17,17,16,Shane Lechler punts 39 yards,-2.320,-1.860
3,4:47,1,10,IND 44,17,16,Peyton Manning pass complete short left to Pierre Garcon for 9 yards (tackle by Stanford Routt),1.860,2.530
3,4:28,2,1,OAK 47,17,16,Dominic Rhodes middle for 4 yards (tackle by Tyvon Branch),2.530,2.720
3,3:57,1,10,OAK 43,17,16,"Peyton Manning pass incomplete deep middle intended for Blair White. Penalty on Stanford Routt: Defensive Pass Interfere, 31 yards (no play)",2.720,4.780
3,3:51,1,10,OAK 12,17,16,Dominic Rhodes middle for 3 yards (tackle by John Henderson and Rolando McClain),4.780,4.640
3,3:48,2,7,OAK 9,17,16,"Penalty on Tommy Kelly: Encroachment, 5 yards (no play)",4.640,5.600
3,3:01,2,2,OAK 4,23,16,"Peyton Manning pass complete short right to Blair White for 4 yards, touchdown",5.600,7.000
3,,,,OAK 2,24,16,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,24,16,"Pat McAfee kicks off 71 yards, touchback",0.000,0.280
3,2:55,1,10,OAK 20,24,16,Jason Campbell sacked by Dwight Freeney for -7 yards,0.280,-1.280
3,2:22,2,17,OAK 13,24,16,Jason Campbell pass complete short right to Darrius Heyward-Bey for 11 yards (tackle by Jacob Lacey),-1.280,-0.430
3,1:40,3,6,OAK 24,24,16,Jason Campbell pass incomplete short right intended for Michael Bush,-0.430,-1.770
3,1:35,4,6,OAK 24,24,16,"Shane Lechler punts 63 yards, returned by Blair White for no gain",-1.770,0.320
3,1:25,1,10,IND 13,24,16,Dominic Rhodes middle for 7 yards (tackle by Rolando McClain),-0.320,0.220
3,0:48,2,3,IND 20,24,16,Dominic Rhodes right guard for no gain (tackle by Tommy Kelly),0.220,-0.590
3,0:40,3,3,IND 20,24,16,"Penalty on Matt Shaughnessy: Defensive Offside, 5 yards (no play)",-0.590,0.610
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 25,24,16,Peyton Manning pass incomplete deep left intended for Reggie Wayne,0.610,0.060
4,14:54,2,10,IND 25,24,16,"Peyton Manning pass incomplete short right intended for Pierre Garcon is intercepted by Chris Johnson at IND-37. Chris Johnson fumbles (forced by Brody Eldridge), recovered by Michael Mitchell at IND-37",0.060,-3.120
4,14:45,1,10,IND 37,24,16,Jason Campbell pass complete deep left to Jacoby Ford for 17 yards (tackle by Antoine Bethea),3.120,4.240
4,14:15,1,10,IND 20,24,16,Marcel Reece left end for 1 yard (tackle by Antoine Bethea),4.240,3.820
4,13:36,2,9,IND 19,24,16,Jason Campbell pass incomplete short left intended for Zach Miller,3.820,3.100
4,13:31,3,9,IND 19,24,16,Jason Campbell sacked by Gary Brackett and Robert Mathis for -8 yards,3.100,1.670
4,13:04,4,17,IND 27,24,19,Sebastian Janikowski 45 yard field goal good,1.670,3.000
4,,,,OAK 30,24,19,"Sebastian Janikowski kicks off 64 yards, returned by Dominic Rhodes for 26 yards (tackle by Michael Bennett)",0.000,1.070
4,12:51,1,10,IND 32,24,19,Dominic Rhodes middle for 9 yards (tackle by Rolando McClain),1.070,1.740
4,12:11,2,1,IND 41,24,19,Dominic Rhodes left tackle for 12 yards (tackle by Michael Huff),1.740,2.460
4,11:40,1,10,OAK 47,24,19,Joseph Addai middle for 18 yards (tackle by Kamerion Wimbley),2.460,3.640
4,10:59,1,10,OAK 29,24,19,Joseph Addai right tackle for 4 yards (tackle by John Henderson),3.640,3.640
4,10:15,2,6,OAK 25,24,19,Joseph Addai right tackle for -3 yards (tackle by John Henderson),3.640,2.540
4,9:33,3,9,OAK 28,24,19,Peyton Manning pass complete short right to Jacob Tamme for 13 yards (tackle by Michael Mitchell),2.540,4.580
4,9:07,1,10,OAK 15,24,19,Dominic Rhodes left end for 6 yards (tackle by Tyvon Branch and Rolando McClain),4.580,5.030
4,8:28,2,4,OAK 9,24,19,Dominic Rhodes right guard for 2 yards (tackle by Tommy Kelly and John Henderson),5.030,4.680
4,7:42,3,2,OAK 7,30,19,"Peyton Manning pass complete short right to Pierre Garcon for 7 yards, touchdown",4.680,7.000
4,,,,OAK 2,31,19,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,31,19,"Pat McAfee kicks off 71 yards, returned by Jacoby Ford for 30 yards (tackle by Kavell Conner)",0.000,0.870
4,7:31,1,10,OAK 29,31,19,Jason Campbell pass complete short right to Darren McFadden for 7 yards (tackle by Antoine Bethea),0.870,1.270
4,7:13,2,3,OAK 36,31,19,Jason Campbell pass complete short right to Zach Miller for 1 yard (tackle by Tyjuan Hagler),1.270,0.700
4,6:47,3,2,OAK 37,31,19,Jason Campbell pass incomplete short left intended for Jacoby Ford,0.700,-0.910
4,6:42,4,2,OAK 37,31,19,Jason Campbell pass incomplete short right intended for Zach Miller (defended by Tyjuan Hagler),-0.910,-3.180
4,6:37,1,10,OAK 36,31,19,Joseph Addai left tackle for no gain (tackle by John Henderson),3.180,2.640
4,5:57,2,10,OAK 36,31,19,Joseph Addai right tackle for 2 yards (tackle by John Henderson),2.640,2.210
4,5:15,3,8,OAK 34,31,19,Joseph Addai right end for -1 yards (tackle by Rolando McClain),2.210,0.970
4,5:08,,,,31,19,Timeout #1 by Oakland Raiders,0.000,0.970
4,5:08,4,9,OAK 35,31,19,"Pat McAfee punts 35 yards, touchback",0.970,-0.280
4,5:02,1,10,OAK 20,31,19,Jason Campbell pass complete short left to Zach Miller for 7 yards (tackle by Tyjuan Hagler),0.280,0.680
4,4:38,2,3,OAK 27,31,19,Jason Campbell pass incomplete short right intended for Darrius Heyward-Bey,0.680,-0.030
4,4:34,3,3,OAK 27,31,19,Michael Bush middle for 4 yards (tackle by Antoine Bethea),-0.030,1.000
4,4:14,1,10,OAK 31,31,19,Jason Campbell pass complete short left to Chaz Schilens for 7 yards (tackle by Tyjuan Hagler and Justin Tryon),1.000,1.410
4,3:53,2,3,OAK 38,31,19,Jason Campbell pass complete short middle to Michael Bush for 6 yards (tackle by Cornelius Brown),1.410,1.860
4,3:32,1,10,OAK 44,31,19,Jason Campbell pass complete short left to Darrius Heyward-Bey for 9 yards,1.860,2.530
4,3:26,2,1,IND 47,31,19,Jason Campbell pass complete short left to Zach Miller for 5 yards (tackle by Tyjuan Hagler),2.530,2.790
4,3:02,1,10,IND 42,31,19,"Jason Campbell pass incomplete. Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",2.790,2.130
4,2:54,1,20,OAK 48,31,19,Jason Campbell pass complete deep left to Louis Murphy for 26 yards (tackle by Aaron Francisco and Justin Tryon),2.130,3.840
4,2:26,1,10,IND 26,31,19,Jason Campbell pass complete short middle to Michael Bush for 3 yards (tackle by Gary Brackett),3.840,3.700
4,2:04,2,7,IND 23,31,19,Jason Campbell pass complete short left to Zach Miller for 13 yards (tackle by Tyjuan Hagler),3.700,4.910
4,1:59,1,10,IND 10,31,19,Jason Campbell pass complete short left to Zach Miller for 9 yards (tackle by Pat Angerer),4.910,5.910
4,1:54,2,1,IND 1,31,19,"Penalty on Jared Veldheer: False Start, 5 yards (no play)",5.910,4.950
4,1:54,2,6,IND 6,31,25,"Jason Campbell pass complete short middle to Zach Miller for 6 yards, touchdown",4.950,7.000
4,,,,IND 2,31,26,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,31,26,Sebastian Janikowski kicks onside 9 yards,0.000,2.980
4,1:50,1,10,OAK 39,31,26,Dominic Rhodes middle for 3 yards (tackle by Lamarr Houston and John Henderson),2.980,2.850
4,1:45,,,,31,26,Timeout #2 by Oakland Raiders,0.000,2.850
4,1:45,2,7,OAK 36,31,26,Dominic Rhodes right end for 5 yards (tackle by Michael Huff),2.850,2.810
4,1:39,,,,31,26,Timeout #3 by Oakland Raiders,0.000,2.810
4,1:39,3,2,OAK 31,31,26,Peyton Manning left end for 27 yards (tackle by Matt Shaughnessy),2.810,6.280
4,0:52,1,4,OAK 4,31,26,Peyton Manning kneels for -1 yards,6.280,5.150
4,0:21,2,5,OAK 5,31,26,Peyton Manning kneels for -1 yards,5.150,4.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
