Quarter,Time,Down,ToGo,Location,HOU,CIN,Detail,EPB,EPA
2,5:37,3,6,CIN 31,7,7,"C.J. Stroud sacked by and Logan Wilson for no gain and Trey Hendrickson for no gain. C.J. Stroud fumbles (forced by Logan Wilson), recovered by Mike Hilton at CIN-28 (tackle by Robert Woods) Replay Assistant challenged the fumble ruling, and the play was upheld.",2.540,-0.810
2,5:31,1,10,CIN 28,7,7,Joe Burrow pass complete short left to Tyler Boyd for 2 yards (tackle by Blake Cashman),0.810,0.530
2,4:53,2,8,CIN 30,7,7,Joe Burrow sacked by Sheldon Rankins for -6 yards,0.530,-0.960
2,3:59,3,14,CIN 24,7,7,Joe Burrow pass complete short left to Ja'Marr Chase for 13 yards (tackle by Shaquill Griffin),-0.960,-0.910
2,3:11,4,1,CIN 37,7,7,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",-0.910,-1.240
2,2:51,4,6,CIN 32,7,7,"Brad Robbins punts 56 yards, returned by Robert Woods for no gain (tackle by Markus Bailey). Penalty on Dylan Horton: Illegal Block Above the Waist, 10 yards (offset) . Penalty on Stanley Morgan: Unnecessary Roughness / Defense, 15 yards (offset)",-1.240,0.350
2,2:40,1,10,HOU 12,7,7,Devin Singletary right guard for 5 yards (tackle by Germaine Pratt and Logan Wilson),-0.350,-0.230
2,2:01,2,5,HOU 17,7,7,C.J. Stroud pass complete deep right to Noah Brown for 28 yards (tackle by Daxton Hill),-0.230,1.930
2,1:50,1,10,HOU 45,7,7,Devin Singletary right guard for -3 yards (tackle by Germaine Pratt and Mike Hilton),1.930,0.980
2,1:08,2,13,HOU 42,7,7,C.J. Stroud pass incomplete short right intended for Devin Singletary,0.980,0.300
2,1:00,3,13,HOU 42,7,7,C.J. Stroud pass complete deep right to Noah Brown for 29 yards (tackle by Jordan Battle),0.300,3.640
2,0:53,,,,,,Timeout #1 by Houston Texans,,
2,0:53,1,10,CIN 29,7,7,C.J. Stroud pass incomplete short right intended for Mike Boone,3.640,3.100
2,0:49,2,10,CIN 29,7,7,C.J. Stroud pass complete short left to Mike Boone for 2 yards (tackle by Logan Wilson),3.100,2.680
2,0:19,,,,,,Timeout #2 by Houston Texans,,
2,0:19,3,8,CIN 27,7,7,C.J. Stroud pass incomplete deep left intended for Dalton Schultz (defended by Daxton Hill),2.680,1.670
2,0:15,4,8,CIN 27,10,7,Matt Ammendola 45 yard field goal good,1.670,3.000
2,0:10,,,HOU 35,10,7,"Matt Ammendola kicks off 64 yards, returned by Trenton Irwin for 8 yards (tackle by Dare Ogunbowale)",0.000,-0.380
2,0:08,1,10,CIN 9,10,7,Joe Burrow kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,HOU,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,10,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,10,7,Devin Singletary left end for 12 yards (tackle by Cam Taylor-Britt and Germaine Pratt),0.610,1.400
3,14:24,1,10,HOU 37,10,7,Devin Singletary left guard for 3 yards (tackle by Trey Hendrickson),1.400,1.260
3,13:47,2,7,HOU 40,10,7,C.J. Stroud pass complete deep right to Noah Brown for 20 yards (tackle by Mike Hilton),1.260,2.920
3,13:06,1,10,CIN 40,10,7,Devin Singletary left tackle for 3 yards (tackle by B.J. Hill and Nick Scott),2.920,2.780
3,12:22,2,7,CIN 37,10,7,Devin Singletary right end for 7 yards (tackle by Mike Hilton),2.780,3.580
3,11:42,1,10,CIN 30,10,7,C.J. Stroud pass complete short right to Tank Dell for 6 yards (tackle by Germaine Pratt and Myles Murphy),3.580,3.840
3,11:03,2,4,CIN 24,10,7,C.J. Stroud pass complete deep left to John Metchie for 19 yards,3.840,6.060
3,10:25,1,5,CIN 5,10,7,Devin Singletary left guard for 2 yards (tackle by Mike Hilton and Logan Wilson),6.060,5.530
3,9:45,2,3,CIN 3,10,7,C.J. Stroud pass incomplete short right intended for Tank Dell (defended by Chidobe Awuzie),5.530,4.720
3,9:39,3,3,CIN 3,10,7,"C.J. Stroud pass incomplete short right intended for Robert Woods. Penalty on Robert Woods: Illegal Touch Pass (accepted) Replay Assistant challenged the tipped pass ruling, and the play was upheld.",4.720,3.040
3,9:30,4,3,CIN 3,13,7,Matt Ammendola 22 yard field goal good,3.040,3.000
3,9:27,,,HOU 35,13,7,"Matt Ammendola kicks off 65 yards, touchback.",0.000,0.610
3,9:27,1,10,CIN 25,13,7,Joe Burrow pass complete short left to Tyler Boyd for 1 yard (tackle by Steven Nelson),0.610,0.200
3,8:55,2,9,CIN 26,13,7,Joe Burrow pass incomplete short middle intended for Tyler Boyd,0.200,-0.490
3,8:50,3,9,CIN 26,13,7,"Joe Burrow sacked by Sheldon Rankins for -12 yards. Joe Burrow fumbles (forced by Sheldon Rankins), recovered by Orlando Brown at CIN-13 (tackle by Sheldon Rankins)",-0.490,-2.490
3,8:04,4,22,CIN 13,13,7,"Brad Robbins punts 46 yards, fair catch by Tank Dell at HOU-41",-2.490,-1.660
3,7:59,1,10,HOU 41,13,7,"C.J. Stroud pass incomplete deep left intended for Tank Dell. Penalty on DJ Turner: Defensive Pass Interference, 42 yards (accepted) (no play)",1.660,4.440
3,7:52,1,10,CIN 17,13,7,C.J. Stroud pass complete short left to Devin Singletary for 11 yards (tackle by Cam Taylor-Britt),4.440,5.830
3,7:12,1,6,CIN 6,19,7,"Devin Singletary right end for 6 yards, touchdown",5.830,7.000
3,7:08,,,CIN 15,20,7,Matt Ammendola kicks extra point good,0.000,0.000
3,7:08,,,HOU 35,20,7,"Matt Ammendola kicks off 65 yards, touchback.",0.000,0.610
3,7:08,1,10,CIN 25,20,7,Joe Burrow scrambles left tackle for 17 yards (tackle by Dylan Horton),0.610,1.730
3,6:28,1,10,CIN 42,20,7,Joe Burrow pass complete short middle to Tyler Boyd for 14 yards (tackle by DeAndre Houston-Carson),1.730,2.650
3,5:51,1,10,HOU 44,20,7,Joe Mixon left tackle for 15 yards (tackle by Khalil Davis and Christian Harris),2.650,3.640
3,5:06,1,10,HOU 29,20,7,"Joe Burrow pass incomplete short right. Penalty on Jonah Williams: Offensive Holding, 10 yards (accepted) (no play)",3.640,2.980
3,4:58,1,20,HOU 39,20,7,Joe Burrow pass complete short right to Tanner Hudson for 5 yards (tackle by Tavierre Thomas and Christian Harris),2.980,2.420
3,4:25,2,15,HOU 34,20,7,Joe Burrow pass complete short left to Tyler Boyd for 10 yards (tackle by Tavierre Thomas and Steven Nelson),2.420,3.070
3,3:49,3,5,HOU 24,20,7,Joe Burrow sacked by Jonathan Greenard for -8 yards,3.070,1.240
3,3:05,4,13,HOU 32,20,10,Evan McPherson 50 yard field goal good,1.240,3.000
3,3:00,,,CIN 35,20,10,"Evan McPherson kicks off 63 yards,",0.000,0.610
3,3:00,1,10,HOU 25,20,10,Devin Singletary right guard for 1 yard (tackle by Zachary Carter and Nick Scott),0.610,0.200
3,2:26,2,9,HOU 26,20,10,C.J. Stroud pass complete short right to John Metchie for 6 yards (tackle by Cam Taylor-Britt),0.200,0.300
3,1:52,3,3,HOU 32,20,10,C.J. Stroud pass incomplete deep left intended for Tank Dell,0.300,-1.240
3,1:43,4,3,HOU 32,20,10,Cameron Johnston punts 41 yards downed by Neville Hewitt,-1.240,-0.740
3,1:33,1,10,CIN 27,20,10,Joe Burrow pass complete short left to Tyler Boyd for 3 yards (tackle by Maliek Collins),0.740,0.600
3,1:03,2,7,CIN 30,20,10,"Joe Burrow pass incomplete deep middle intended for Tyler Boyd. Penalty on Tavierre Thomas: Defensive Pass Interference, 8 yards (accepted) (no play)",0.600,1.470
3,0:58,1,10,CIN 38,20,10,Joe Mixon up the middle for -2 yards (tackle by Jonathan Greenard and Kurt Hinish),1.470,0.650
3,0:21,2,12,CIN 36,20,16,"Joe Burrow pass complete deep left to Ja'Marr Chase for 64 yards, touchdown",0.650,7.000
3,0:10,,,HOU 15,20,17,Evan McPherson kicks extra point good,0.000,0.000
3,0:10,,,CIN 35,20,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,0:10,1,10,HOU 25,20,17,Devin Singletary right tackle for 5 yards (tackle by Mike Hilton and Daxton Hill),0.610,0.740
Quarter,Time,Down,ToGo,Location,HOU,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,HOU 30,20,17,C.J. Stroud pass complete deep right to Noah Brown for 34 yards (tackle by Chidobe Awuzie),0.740,3.180
4,14:19,1,10,CIN 36,20,17,Xavier Hutchinson left end for 17 yards (tackle by Daxton Hill),3.180,4.310
4,13:38,1,10,CIN 19,20,17,C.J. Stroud pass incomplete short right intended for Tank Dell,4.310,3.750
4,13:33,2,10,CIN 19,20,17,Devin Singletary left tackle for 11 yards (tackle by Cameron Sample),3.750,5.370
4,12:52,1,8,CIN 8,26,17,"C.J. Stroud scrambles right tackle for 8 yards, touchdown",5.370,7.000
4,12:47,,,CIN 15,27,17,Matt Ammendola kicks extra point good,0.000,0.000
4,12:47,,,HOU 35,27,17,"Matt Ammendola kicks off 58 yards, returned by Trayveon Williams for 17 yards (tackle by Dare Ogunbowale)",0.000,0.540
4,12:44,1,10,CIN 24,27,17,Joe Burrow scrambles up the middle for 2 yards (tackle by Sheldon Rankins),0.540,0.270
4,12:10,2,8,CIN 26,27,17,Joe Mixon left tackle for 2 yards (tackle by Maliek Collins and Will Anderson),0.270,-0.160
4,11:28,3,6,CIN 28,27,17,Joe Burrow pass complete short right to Tyler Boyd for 19 yards (tackle by Steven Nelson),-0.160,2.060
4,10:56,1,10,CIN 47,27,17,Joe Burrow pass complete short right to Drew Sample for 9 yards (tackle by Shaquill Griffin and Blake Cashman),2.060,2.730
4,10:15,2,1,HOU 44,27,17,Joe Burrow pass incomplete deep right intended for Andrei Iosivas,2.730,2.020
4,10:10,3,1,HOU 44,27,17,Joe Mixon left tackle for 9 yards (tackle by Blake Cashman and Steven Nelson),2.020,3.250
4,9:45,1,10,HOU 35,27,17,Joe Burrow pass deep middle intended for Drew Sample is intercepted by DeAndre Houston-Carson at HOU-11 and returned for 13 yards (tackle by Cordell Volson),3.250,-0.540
4,9:35,1,10,HOU 24,27,17,Devin Singletary left end for 14 yards (tackle by Germaine Pratt),0.540,1.470
4,8:52,1,10,HOU 38,27,17,Devin Singletary left tackle for 2 yards (tackle by B.J. Hill and Cameron Sample),1.470,1.190
4,8:11,2,8,HOU 40,27,17,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Cam Taylor-Britt),1.190,2.320
4,7:27,1,10,CIN 49,27,17,Devin Singletary left guard for 2 yards (tackle by D.J. Reader),2.320,2.050
4,6:45,2,8,CIN 47,27,17,Devin Singletary left end for 1 yard (tackle by Trey Hendrickson),2.050,1.490
4,6:02,3,7,CIN 46,27,17,C.J. Stroud pass incomplete short middle intended for Noah Brown,1.490,0.200
4,5:56,4,7,CIN 46,27,17,"Cameron Johnston punts 38 yards, fair catch by Trenton Irwin at CIN-8",0.200,0.380
4,5:50,1,10,CIN 8,27,17,Joe Burrow pass complete deep right to Ja'Marr Chase for 23 yards (tackle by DeAndre Houston-Carson),-0.380,1.000
4,5:20,1,10,CIN 31,27,17,Joe Burrow pass incomplete deep middle intended for Trenton Irwin,1.000,0.460
4,5:15,2,10,CIN 31,27,17,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.460,-0.230
4,5:11,3,10,CIN 31,27,17,Joe Burrow pass complete deep middle to Trenton Irwin for 22 yards (tackle by DeAndre Houston-Carson),-0.230,2.460
4,4:37,1,10,HOU 47,27,17,Joe Burrow pass complete short left to Drew Sample for 3 yards (tackle by Tavierre Thomas),2.460,2.320
4,4:04,2,7,HOU 44,27,17,"Joe Burrow pass complete short right to Ja'Marr Chase for 16 yards (tackle by Denzel Perryman). Penalty on Denzel Perryman: Unnecessary Roughness / Defense, 14 yards (accepted)",2.320,4.650
4,4:00,1,10,HOU 14,27,17,Joe Burrow pass deep right intended for Tyler Boyd is intercepted by Shaquill Griffin in end zone and returned for no gain,4.650,-0.280
4,3:53,1,10,HOU 20,27,17,Devin Singletary up the middle for 7 yards (tackle by Chidobe Awuzie and Germaine Pratt),0.280,0.680
4,3:47,,,,,,Timeout #1 by Cincinnati Bengals,,
4,3:47,2,3,HOU 27,27,17,Devin Singletary left guard for 1 yard (tackle by Chidobe Awuzie),0.680,0.100
4,3:41,,,,,,Timeout #2 by Cincinnati Bengals,,
4,3:41,3,2,HOU 28,27,17,C.J. Stroud pass short right intended for Tank Dell is intercepted by Cam Taylor-Britt at HOU-34 and returned for 30 yards (tackle by Tank Dell),0.100,-6.280
4,3:33,1,4,HOU 4,27,17,Joe Burrow pass incomplete short right intended for Trenton Irwin,6.280,5.340
4,3:28,2,4,HOU 4,27,17,"Joe Burrow pass incomplete short middle intended for Tanner Hudson. Penalty on Denzel Perryman: Illegal Contact, 5 yards (declined) . Penalty on Denzel Perryman: Defensive Pass Interference, 3 yards (accepted) (no play)",5.340,6.970
4,3:22,1,1,HOU 1,27,23,"Joe Mixon up the middle for 1 yard, touchdown",6.970,7.000
4,3:18,,,HOU 15,27,24,Evan McPherson kicks extra point good,0.000,0.000
4,3:18,,,CIN 35,27,24,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,3:18,1,10,HOU 25,27,24,Devin Singletary left tackle for 4 yards (tackle by Cameron Sample),0.610,0.600
4,2:34,2,6,HOU 29,27,24,Devin Singletary right guard for 3 yards (tackle by Trey Hendrickson and Cam Taylor-Britt),0.600,0.300
4,2:26,,,,,,Timeout #3 by Cincinnati Bengals,,
4,2:26,3,3,HOU 32,27,24,C.J. Stroud pass incomplete deep right intended for Tank Dell (defended by DJ Turner),0.300,-1.240
4,2:20,4,3,HOU 32,27,24,"Cameron Johnston punts 47 yards, returned by Trenton Irwin for 8 yards (tackle by Blake Cashman)",-1.240,-0.870
4,2:10,1,10,CIN 29,27,24,Joe Burrow pass incomplete short right,0.870,0.330
4,2:04,2,10,CIN 29,27,24,Joe Burrow pass complete short middle to Tyler Boyd for 64 yards (tackle by DeAndre Houston-Carson),0.330,5.600
4,1:53,1,7,HOU 7,27,24,Joe Burrow sacked by Sheldon Rankins for -7 yards,5.600,3.580
4,1:46,,,,,,Timeout #1 by Houston Texans,,
4,1:46,2,14,HOU 14,27,24,Joe Burrow up the middle for 1 yard (tackle by Maliek Collins),3.580,3.060
4,1:42,,,,,,Timeout #2 by Houston Texans,,
4,1:42,3,13,HOU 13,27,24,Joe Burrow pass incomplete short middle intended for Tyler Boyd,3.060,2.570
4,1:37,4,13,HOU 13,27,27,Evan McPherson 31 yard field goal good,2.570,3.000
4,1:33,,,CIN 35,27,27,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,1:33,1,10,HOU 25,27,27,C.J. Stroud pass incomplete deep left intended for Tank Dell,0.610,0.060
4,1:26,2,10,HOU 25,27,27,Devin Singletary left tackle for 4 yards (tackle by Logan Wilson and Germaine Pratt),0.060,-0.100
4,0:44,3,6,HOU 29,27,27,C.J. Stroud pass complete deep middle to Dalton Schultz for 25 yards (tackle by Cam Taylor-Britt),-0.100,2.520
4,0:23,1,10,CIN 46,27,27,C.J. Stroud pass complete short left to Mike Boone for 4 yards (tackle by Cam Taylor-Britt),2.520,2.520
4,0:15,2,6,CIN 42,27,27,C.J. Stroud pass complete short left to Noah Brown for 22 yards (tackle by Daxton Hill and DJ Turner),2.520,4.240
4,0:05,,,,,,Timeout #3 by Houston Texans,,
4,0:05,1,10,CIN 20,30,27,Matt Ammendola 38 yard field goal good,4.240,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
