Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
2,6:58,1,10,DAL 31,14,13,Ezekiel Elliott right tackle for 2 yards (tackle by Jermaine Carter),,
2,6:27,2,8,DAL 33,14,13,Dak Prescott pass complete short right to Dalton Schultz for 4 yards (tackle by Marquis Haynes and Jeremy Chinn),,
2,5:52,3,4,DAL 37,14,13,Dak Prescott pass complete short left to Cedrick Wilson for 7 yards (tackle by Sam Franklin),,
2,5:28,1,10,DAL 44,14,13,Ezekiel Elliott left guard for 6 yards (tackle by Sean Chandler and Haason Reddick),,
2,4:53,2,4,DAL 50,14,13,Ezekiel Elliott right tackle for 1 yard (tackle by Derrick Brown),,
2,4:32,3,3,CAR 49,14,13,Dak Prescott pass incomplete short left intended for Blake Jarwin,,
2,4:27,4,3,CAR 49,14,13,"Bryan Anger punts 40 yards, fair catch by Alex Erickson at CAR-9",,
2,4:19,1,10,CAR 9,14,13,"Chuba Hubbard left tackle for -2 yards (tackle by Osa Odighizuwa). Penalty on John Miller: Offensive Holding, 10 yards (declined)",,
2,3:53,2,12,CAR 7,14,13,Sam Darnold pass complete short right to D.J. Moore for 8 yards (tackle by Jourdan Lewis and Leighton Vander Esch),,
2,3:07,3,4,CAR 15,14,13,Sam Darnold pass complete short left to Robbie Anderson for 5 yards (tackle by Jayron Kearse),,
2,2:32,1,10,CAR 20,14,13,Chuba Hubbard left tackle for 2 yards (tackle by Micah Parsons and Chauncey Golston),,
2,2:00,2,8,CAR 22,14,13,Sam Darnold sacked by Randy Gregory for -6 yards,,
2,1:56,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:56,3,14,CAR 16,14,13,Sam Darnold pass complete short right to Ian Thomas for 9 yards (tackle by Anthony Brown),,
2,1:48,,,,,,Timeout #2 by Dallas Cowboys,,
2,1:48,4,5,CAR 25,14,13,"Joseph Charlton punts 43 yards, fair catch by CeeDee Lamb at DAL-32",,
2,1:40,1,10,DAL 32,14,13,Dak Prescott pass complete short right to Amari Cooper for 20 yards (tackle by Sean Chandler and Shaq Thompson),,
2,1:08,1,10,CAR 48,14,13,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,,
2,1:03,2,10,CAR 48,14,13,Dak Prescott pass incomplete intended for CeeDee Lamb (defended by Brian Burns),,
2,0:59,3,10,CAR 48,14,13,Dak Prescott pass incomplete short left intended for Blake Jarwin,,
2,0:55,4,10,CAR 48,14,13,"Bryan Anger punts 36 yards, fair catch by Alex Erickson at CAR-12",,
2,0:48,1,10,CAR 12,14,13,Sam Darnold sacked by Tarell Basham for -7 yards,,
2,0:41,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:41,2,17,CAR 5,14,13,Royce Freeman right end for 6 yards (tackle by Malik Hooker),,
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,14,13,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,15:00,1,10,CAR 25,14,13,"Chuba Hubbard for 7 yards (tackle by Tarell Basham and Jayron Kearse). Penalty on Dennis Daley: Offensive Holding, 10 yards (accepted)",,
3,14:32,1,13,CAR 22,14,13,Sam Darnold pass complete short left to D.J. Moore for 39 yards (tackle by Damontae Kazee),,
3,13:47,1,10,DAL 39,14,13,Robbie Anderson right end for 3 yards (tackle by Trevon Diggs),,
3,13:03,2,7,DAL 36,14,13,Sam Darnold pass incomplete deep right intended for Terrace Marshall,,
3,12:58,3,7,DAL 36,14,13,Sam Darnold pass incomplete short left intended for D.J. Moore,,
3,12:54,4,7,DAL 36,14,13,Zane Gonzalez 54 yard field goal no good,,
3,12:49,1,10,DAL 44,14,13,Ezekiel Elliott for 11 yards (tackle by C.J. Henderson),,
3,12:09,1,10,CAR 45,14,13,Ezekiel Elliott left guard for 5 yards (tackle by Jermaine Carter and Sean Chandler),,
3,11:35,2,5,CAR 40,14,13,Ezekiel Elliott right tackle for 5 yards (tackle by C.J. Henderson),,
3,10:56,1,10,CAR 35,14,19,"Dak Prescott pass complete deep right to Amari Cooper for 35 yards, touchdown",,
3,10:49,,,CAR 15,14,20,Greg Zuerlein kicks extra point good,,
3,10:49,,,DAL 35,14,20,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,10:49,1,10,CAR 25,14,20,Chuba Hubbard right tackle for 3 yards (tackle by Austin Faoliu),,
3,10:06,2,7,CAR 28,14,20,Sam Darnold pass incomplete short left intended for Terrace Marshall,,
3,10:01,3,7,CAR 28,14,20,Sam Darnold sacked by and Chauncey Golston for -6 yards and Osa Odighizuwa for -6 yards,,
3,9:18,4,13,CAR 22,14,20,"Joseph Charlton punts 44 yards, fair catch by Cedrick Wilson at DAL-34",,
3,9:10,1,10,DAL 34,14,20,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Donte Jackson),,
3,8:34,2,4,DAL 40,14,20,Dak Prescott pass complete short right to CeeDee Lamb for 7 yards (tackle by Sam Franklin),,
3,8:01,1,10,DAL 47,14,20,Ezekiel Elliott up the middle for 47 yards (tackle by Jeremy Chinn),,
3,7:24,1,6,CAR 6,14,26,"Dak Prescott pass complete to Dalton Schultz for 6 yards, touchdown",,
3,7:21,,,CAR 2,14,26,Two Point Attempt: Dak Prescott pass incomplete intended for intended for CeeDee Lamb,,
3,7:21,,,DAL 35,14,26,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,7:21,1,10,CAR 25,14,26,Sam Darnold pass incomplete short right intended for D.J. Moore,,
3,7:16,2,10,CAR 25,14,26,Sam Darnold pass complete short left to Robbie Anderson for 9 yards,,
3,6:34,3,1,CAR 34,14,26,Sam Darnold for no gain (tackle by Chauncey Golston),,
3,5:50,,,,,,Timeout #1 by Carolina Panthers,,
3,5:50,4,1,CAR 34,14,26,D.J. Moore left end for 6 yards (tackle by Damontae Kazee),,
3,5:17,1,10,CAR 40,14,26,Chuba Hubbard right end for 7 yards (tackle by Osa Odighizuwa),,
3,4:33,2,3,CAR 47,14,26,Chuba Hubbard up the middle for -2 yards (tackle by Jayron Kearse),,
3,3:48,,,,,,Timeout #2 by Carolina Panthers,,
3,3:48,3,5,CAR 45,14,26,Sam Darnold pass short middle intended for Robbie Anderson is intercepted by Trevon Diggs at DAL-40 and returned for 23 yards (tackle by Rodney Smith and D.J. Moore),,
3,3:37,1,10,CAR 37,14,26,Tony Pollard right tackle for 14 yards (tackle by Sam Franklin),,
3,3:03,1,10,CAR 23,14,26,Tony Pollard left tackle for no gain (tackle by DaQuan Jones),,
3,2:23,2,10,CAR 23,14,32,"Dak Prescott pass complete short right to Cedrick Wilson for 23 yards, touchdown",,
3,2:17,,,CAR 15,14,33,Greg Zuerlein kicks extra point good,,
3,2:17,,,DAL 35,14,33,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,2:17,1,10,CAR 25,14,33,Chuba Hubbard left tackle for 7 yards (tackle by Azur Kamara),,
3,1:35,2,3,CAR 32,14,33,Sam Darnold pass incomplete deep left intended for Robbie Anderson (defended by Anthony Brown),,
3,1:28,3,3,CAR 32,14,33,Sam Darnold pass short left intended for D.J. Moore is intercepted by Trevon Diggs at CAR-29 and returned for no gain (tackle by D.J. Moore),,
3,1:22,1,10,CAR 29,14,33,"Penalty on Jeremy Sprinkle: False Start, 5 yards (accepted) (no play)",,
3,1:22,1,15,CAR 34,14,33,Tony Pollard right end for 14 yards (tackle by Jeremy Chinn),,
3,0:47,2,1,CAR 20,14,33,Tony Pollard left tackle for no gain (tackle by Sean Chandler),,
3,0:02,3,1,CAR 20,14,33,"Ezekiel Elliott up the middle for no gain (tackle by Brian Burns) DAL challenged the short of the line to gain ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,CAR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,CAR 20,14,36,Greg Zuerlein 37 yard field goal good,,
4,14:56,,,DAL 35,14,36,"Greg Zuerlein kicks off 65 yards, touchback.",,
4,14:56,1,10,CAR 25,14,36,Sam Darnold sacked by Micah Parsons for -8 yards,,
4,14:13,2,18,CAR 17,14,36,Sam Darnold pass complete short right to Rodney Smith for 15 yards (tackle by Micah Parsons),,
4,13:29,3,3,CAR 32,14,36,Sam Darnold pass complete short left to Terrace Marshall for 2 yards (tackle by Jourdan Lewis),,
4,12:48,4,1,CAR 34,14,36,Royce Freeman right guard for 2 yards (tackle by Jourdan Lewis),,
4,12:02,,,,,,Timeout #3 by Carolina Panthers,,
4,12:02,1,10,CAR 36,14,36,"Sam Darnold pass incomplete intended for Tommy Tremble. Penalty on Damontae Kazee: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",,
4,11:58,1,10,DAL 49,14,36,Sam Darnold pass complete short left to Chuba Hubbard for 11 yards (tackle by Malik Hooker),,
4,11:14,1,10,DAL 38,14,36,Sam Darnold pass complete short middle to Rodney Smith for 4 yards (tackle by Leighton Vander Esch),,
4,10:44,2,5,DAL 34,14,36,Sam Darnold pass complete short middle to Rodney Smith for 7 yards (tackle by Leighton Vander Esch),,
4,10:19,1,10,DAL 27,14,36,Sam Darnold pass complete short right to Robbie Anderson for 13 yards (tackle by Anthony Brown),,
4,9:42,1,10,DAL 14,14,36,Sam Darnold pass complete short left to Brandon Zylstra for 8 yards (tackle by Maurice Canady and Damontae Kazee),,
4,9:05,2,2,DAL 6,20,36,"Sam Darnold pass complete short left to D.J. Moore for 6 yards, touchdown",,
4,8:58,,,DAL 15,21,36,Zane Gonzalez kicks extra point good,,
4,8:58,,,CAR 35,21,36,"Zane Gonzalez kicks off 65 yards, touchback.",,
4,8:58,1,10,DAL 25,21,36,Ezekiel Elliott up the middle for 10 yards (tackle by C.J. Henderson),,
4,8:21,1,10,DAL 35,21,36,Ezekiel Elliott up the middle for 5 yards (tackle by Morgan Fox),,
4,7:42,2,5,DAL 40,21,36,Ezekiel Elliott right guard for 2 yards (tackle by A.J. Bouye),,
4,7:05,3,3,DAL 42,21,36,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,,
4,6:58,4,3,DAL 42,21,36,"Penalty on Nahshon Wright: False Start, 5 yards (accepted) (no play)",,
4,6:57,4,8,DAL 37,21,36,"Bryan Anger punts 63 yards, touchback.",,
4,6:49,1,10,CAR 20,21,36,Sam Darnold pass complete short left to Rodney Smith for 5 yards (tackle by Jayron Kearse),,
4,6:23,2,5,CAR 25,21,36,Sam Darnold pass complete short left to Ian Thomas for 5 yards (tackle by Anthony Brown),,
4,5:50,1,10,CAR 30,21,36,Sam Darnold pass incomplete short left intended for Robbie Anderson (defended by Anthony Brown),,
4,5:44,2,10,CAR 30,21,36,Sam Darnold scrambles right end for 7 yards (tackle by Chauncey Golston),,
4,5:00,3,3,CAR 37,21,36,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",,
4,5:00,3,8,CAR 32,21,36,Sam Darnold pass incomplete deep left intended for Robbie Anderson,,
4,4:54,4,8,CAR 32,21,36,Sam Darnold pass complete short left to Brandon Zylstra for 55 yards (tackle by Anthony Brown),,
4,4:42,1,10,DAL 13,21,36,"Sam Darnold pass incomplete intended for Alex Erickson. Penalty on Nahshon Wright: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",,
4,4:36,1,8,DAL 8,27,36,"Sam Darnold pass complete short middle to D.J. Moore for 8 yards, touchdown",,
4,4:31,,,DAL 15,28,36,Zane Gonzalez kicks extra point good,,
4,4:31,,,CAR 35,28,36,"Zane Gonzalez kicks off 60 yards, returned by Tony Pollard for 14 yards (tackle by Julian Stanford and Sean Chandler)",,
4,4:26,1,10,DAL 19,28,36,Tony Pollard left tackle for 18 yards (tackle by Sean Chandler),,
4,3:46,1,10,DAL 37,28,36,Ezekiel Elliott right tackle for 8 yards (tackle by Jeremy Chinn),,
4,3:02,2,2,DAL 45,28,36,"Penalty on CAR: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
4,3:02,1,10,DAL 50,28,36,Ezekiel Elliott right guard for 1 yard (tackle by Haason Reddick),,
4,2:23,2,9,CAR 49,28,36,Dak Prescott pass complete short right to Dalton Schultz for 8 yards (tackle by Shaq Thompson),,
4,2:00,3,1,CAR 41,28,36,Tony Pollard right end for 5 yards (tackle by Jermaine Carter and Sean Chandler),,
4,1:13,1,10,CAR 36,28,36,Dak Prescott kneels for no gain,,
4,0:42,2,10,CAR 36,28,36,Dak Prescott kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
