Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
4,6:11,1,20,ARI 34,13,20,Teddy Bridgewater pass complete short right to Zach Line for 24 yards (tackle by Tyrann Mathieu). Penalty on Patrick Peterson: Defensive Holding (Declined),3.310,4.910
4,5:43,1,10,ARI 10,13,20,Adrian Peterson right tackle for 3 yards (tackle by Kevin Minter),4.910,4.760
4,5:05,2,7,ARI 7,13,20,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,4.760,3.810
4,5:00,3,7,ARI 7,19,20,"Teddy Bridgewater pass complete short left to Mike Wallace for 7 yards, touchdown",3.810,7.000
4,5:00,,,ARI 7,20,20,Blair Walsh kicks extra point good,0.000,0.000
4,5:00,,,MIN 35,20,20,"Blair Walsh kicks off 72 yards, returned by Kerwynn Williams for 23 yards (tackle by Adam Thielen)",0.000,0.140
4,4:50,1,10,ARI 16,20,20,"Carson Palmer pass incomplete deep right intended for Michael Floyd is intercepted by Trae Waynes at ARI-42 and returned for 24 yards. Penalty on Sharrif Floyd: Defensive Offside, 5 yards (no play)",-0.140,0.740
4,4:39,1,5,ARI 21,20,20,David Johnson right tackle for 5 yards (tackle by Sharrif Floyd),0.740,0.670
4,4:06,1,10,ARI 26,20,20,David Johnson middle for 1 yard (tackle by Anthony Harris),0.670,0.270
4,3:29,2,9,ARI 27,20,20,Carson Palmer pass complete deep middle to Michael Floyd for 22 yards (tackle by Anthony Harris),0.270,2.190
4,2:48,1,10,ARI 49,20,20,Carson Palmer pass complete short middle to Mike Iupati for 10 yards (tackle by Chad Greenway),2.190,2.850
4,2:04,1,10,MIN 41,20,20,Carson Palmer pass complete short middle to Larry Fitzgerald for 4 yards (tackle by Eric Kendricks),2.850,2.850
4,1:58,2,6,MIN 37,20,20,Carson Palmer pass incomplete short middle intended for Darren Fells (defended by Terence Newman),2.850,2.150
4,1:53,3,6,MIN 37,20,20,Carson Palmer pass complete short right to David Johnson for 14 yards (tackle by Eric Kendricks),2.150,4.040
4,1:47,1,10,MIN 23,20,20,Kerwynn Williams middle for -8 yards (tackle by Xavier Rhodes),4.040,4.040
4,1:40,1,10,MIN 23,20,20,Timeout #1 by Minnesota Vikings,4.040,2.420
4,1:40,2,18,MIN 31,20,20,David Johnson middle for 2 yards (tackle by Sharrif Floyd and Tom Johnson),2.420,2.420
4,1:35,2,18,MIN 31,20,20,Timeout #2 by Minnesota Vikings,2.420,2.010
4,1:35,3,16,MIN 29,20,20,Carson Palmer pass incomplete deep middle intended for Larry Fitzgerald (defended by Trae Waynes),2.010,1.500
4,1:28,4,16,MIN 29,20,23,Chandler Catanzaro 47 yard field goal good,1.500,3.000
4,1:28,,,ARI 35,20,23,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
4,1:23,1,10,MIN 20,20,23,Teddy Bridgewater pass complete short left to Stefon Diggs for 5 yards (tackle by Markus Golden),0.280,0.410
4,0:58,2,5,MIN 25,20,23,Teddy Bridgewater pass complete short right to Kyle Rudolph for 5 yards (tackle by Deone Bucannon),0.410,0.940
4,0:52,1,10,MIN 30,20,23,Teddy Bridgewater sacked by Tony Jefferson for -2 yards,0.940,0.940
4,0:46,1,10,MIN 30,20,23,Timeout #3 by Minnesota Vikings,0.940,0.120
4,0:46,2,12,MIN 28,20,23,Teddy Bridgewater pass complete short middle to Kyle Rudolph for 14 yards (tackle by Justin Bethel),0.120,1.730
4,0:29,1,10,MIN 42,20,23,"Teddy Bridgewater spiked the ball. Penalty on Sean Weatherspoon: Defensive 12 On-field, 5 yards (no play)",1.730,2.460
4,0:29,1,5,MIN 47,20,23,Teddy Bridgewater pass complete deep right to Jarius Wright for 22 yards (tackle by Tyrann Mathieu),2.460,3.510
4,0:23,1,10,ARI 31,20,23,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,3.510,2.970
4,0:18,2,10,ARI 31,20,23,Teddy Bridgewater pass incomplete short right intended for Jarius Wright,2.970,2.280
4,0:13,3,10,ARI 31,20,23,"Teddy Bridgewater sacked by Dwight Freeney for -7 yards. Teddy Bridgewater fumbles (forced by Dwight Freeney), recovered by Calais Campbell at ARI-36 (tackle by Mike Harris)",2.280,-1.330
4,0:05,1,10,ARI 36,20,23,Carson Palmer kneels for -1 yards,1.330,0.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
