Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
2,13:28,3,11,NWE 24,7,3,Tom Brady pass incomplete deep middle intended for Chris Hogan,-0.760,-1.770
2,13:21,4,11,NWE 24,7,3,"Ryan Allen punts 53 yards, fair catch by Jaydon Mickens",-1.770,-0.480
2,13:13,1,10,JAX 23,7,3,"Penalty on Cam Robinson: False Start, 5 yards (no play)",0.480,0.000
2,13:13,1,15,JAX 18,7,3,Blake Bortles pass complete short left to Corey Grant for 15 yards (tackle by Devin McCourty),0.000,1.140
2,12:34,1,10,JAX 33,7,3,Blake Bortles pass complete deep right to Allen Hurns for 27 yards (tackle by Devin McCourty),1.140,2.920
2,11:55,1,10,NWE 40,7,3,Blake Bortles pass complete short middle to Allen Hurns for 8 yards,2.920,0.000
2,11:08,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,-3.450
2,11:08,2,2,NWE 32,7,3,Leonard Fournette right guard for no gain (tackle by Ricky Jean-Francois and Lawrence Guy),3.450,2.740
2,10:27,3,2,NWE 32,7,3,Leonard Fournette middle for 4 yards,2.740,3.710
2,9:55,1,10,NWE 28,7,3,Leonard Fournette right guard for 13 yards (tackle by Stephon Gilmore),3.710,4.580
2,9:15,1,10,NWE 15,7,3,Blake Bortles pass complete short left to T.J. Yeldon for -3 yards,4.580,3.560
2,8:35,2,13,NWE 18,7,3,T.J. Yeldon left end for 12 yards (tackle by Devin McCourty),3.560,4.900
2,7:58,3,1,NWE 6,7,3,Leonard Fournette left guard for 2 yards,4.900,6.280
2,7:11,1,4,NWE 4,13,3,"Leonard Fournette middle for 4 yards, touchdown",6.280,7.000
2,7:06,,,NWE 15,14,3,Josh Lambo kicks extra point good,0.000,0.000
2,7:06,,,JAX 35,14,3,"Josh Lambo kicks off 55 yards, returned by Dion Lewis for 11 yards (tackle by Donald Payne). Penalty on Marquis Flowers: Offensive Holding, 10 yards",0.000,0.370
2,7:00,1,10,NWE 11,14,3,Tom Brady pass incomplete deep right intended for Rob Gronkowski,-0.370,-0.780
2,6:54,2,10,NWE 11,14,3,Tom Brady pass complete deep right to Rob Gronkowski for 21 yards (tackle by Jalen Ramsey),-0.780,1.070
2,6:17,1,10,NWE 32,14,3,Tom Brady pass incomplete short left intended for Rob Gronkowski,1.070,0.530
2,6:12,2,10,NWE 32,14,3,Tom Brady pass incomplete short middle intended for Rex Burkhead (defended by Telvin Smith),0.530,-0.160
2,6:06,3,10,NWE 32,14,3,Tom Brady sacked by Dante Fowler for -3 yards,-0.160,-1.440
2,5:32,4,13,NWE 29,14,3,"Ryan Allen punts 46 yards, out of bounds",-1.440,-0.610
2,5:26,1,10,JAX 25,14,3,Leonard Fournette middle for 1 yard (tackle by Trey Flowers and Ricky Jean-Francois),0.610,0.200
2,4:51,2,9,JAX 26,14,3,Leonard Fournette middle for 1 yard (tackle by Malcom Brown),0.200,-0.360
2,4:11,3,8,JAX 27,14,3,Blake Bortles pass complete deep right to Keelan Cole for 26 yards (tackle by Malcolm Butler),-0.360,2.460
2,3:52,1,10,NWE 47,14,3,"Leonard Fournette middle for 2 yards. Penalty on JAX: Illegal Shift, 5 yards (no play)",2.460,2.130
2,3:28,1,15,JAX 48,14,3,T.J. Yeldon left guard for 4 yards (tackle by Patrick Chung and Elandon Roberts),2.130,1.780
2,2:43,2,11,NWE 48,14,3,T.J. Yeldon middle for 4 yards (tackle by Eric Lee and Malcolm Butler),1.780,0.000
2,2:23,,,,,,Timeout #2 by New England Patriots,0.000,-1.620
2,2:23,3,7,NWE 44,14,3,"Blake Bortles pass complete short right to Marcedes Lewis for 12 yards (tackle by Patrick Chung). Penalty on Blake Bortles: Delay of Game, 5 yards (no play)",1.620,0.960
2,2:23,3,12,NWE 49,14,3,Blake Bortles sacked by Adam Butler for -6 yards. Penalty on Cam Robinson: Offensive Holding (Declined),0.960,-0.390
2,2:09,4,18,JAX 45,14,3,"Brad Nortman punts 40 yards, fair catch by Danny Amendola",-0.390,0.220
2,2:02,1,10,NWE 15,14,3,Dion Lewis right guard for 2 yards (tackle by Dante Fowler),-0.220,-0.440
2,1:57,2,8,NWE 17,14,3,Tom Brady pass complete short left to Brandin Cooks for 10 yards (tackle by A.J. Bouye),-0.440,0.740
2,1:52,1,10,NWE 27,14,3,Tom Brady pass complete short left to Danny Amendola for 8 yards (tackle by Myles Jack),0.740,1.280
2,1:34,2,2,NWE 35,14,3,Tom Brady pass complete short left to James White for 5 yards (tackle by Telvin Smith),1.280,1.600
2,1:28,1,10,NWE 40,14,3,"Tom Brady pass incomplete deep right intended for Rob Gronkowski. Penalty on Barry Church: Unnecessary Roughness, 15 yards (no play)",1.600,2.590
2,1:23,1,10,JAX 45,14,3,"Tom Brady pass incomplete deep left intended for Brandin Cooks. Penalty on A.J. Bouye: Defensive Pass Interference, 32 yards (no play)",2.590,4.710
2,1:17,1,10,JAX 13,14,3,Tom Brady pass complete short left to Brandin Cooks for 12 yards (tackle by A.J. Bouye),4.710,6.970
2,0:58,1,1,JAX 1,14,9,"James White left guard for 1 yard, touchdown",6.970,7.000
2,0:55,,,JAX 15,14,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:55,,,NWE 35,14,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,0:55,1,10,JAX 25,14,10,Blake Bortles kneels for -1 yards,0.610,-0.070
2,0:33,2,11,JAX 24,14,10,Blake Bortles kneels for -1 yards,-0.070,-0.890
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,14,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,JAX 25,14,10,Leonard Fournette left tackle for 2 yards (tackle by James Harrison and Trey Flowers),0.610,0.330
3,14:23,2,8,JAX 27,14,10,Blake Bortles pass complete short right to Tommy Bohanon for 20 yards (tackle by Patrick Chung),0.330,2.060
3,13:41,1,10,JAX 47,14,10,Leonard Fournette left end for 1 yard (tackle by Trey Flowers),2.060,1.650
3,13:00,2,9,JAX 48,14,10,Leonard Fournette right guard for 1 yard (tackle by Malcolm Butler and Eric Lee),1.650,1.090
3,12:18,3,8,JAX 49,14,10,Blake Bortles pass complete short left to T.J. Yeldon for 9 yards,1.090,2.790
3,11:52,1,10,NWE 42,14,10,Leonard Fournette middle for 3 yards,2.790,2.650
3,11:13,2,7,NWE 39,14,10,Leonard Fournette left guard for 3 yards (tackle by Lawrence Guy and Trey Flowers),2.650,2.340
3,10:33,3,4,NWE 36,14,10,Blake Bortles pass incomplete short right intended for Marqise Lee (defended by Trey Flowers),2.340,0.890
3,10:28,4,4,NWE 36,17,10,Josh Lambo 54 yard field goal good,0.890,3.000
3,10:23,,,JAX 35,17,10,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,10:23,1,10,NWE 25,17,10,Dion Lewis right guard for 5 yards (tackle by Telvin Smith),0.610,0.740
3,9:51,2,5,NWE 30,17,10,Tom Brady pass incomplete deep middle intended for Brandin Cooks,0.740,0.040
3,9:43,3,5,NWE 30,17,10,Tom Brady pass complete short middle to Chris Hogan for 17 yards (tackle by Telvin Smith),0.040,2.060
3,9:04,1,10,NWE 47,17,10,Tom Brady pass incomplete deep left intended for Brandin Cooks,2.060,1.520
3,8:56,2,10,NWE 47,17,10,Tom Brady pass complete short right to Dion Lewis for 4 yards (tackle by Abry Jones),1.520,1.360
3,8:20,3,6,JAX 49,17,10,Tom Brady pass complete short middle to James White for 2 yards (tackle by Calais Campbell),1.360,0.130
3,7:39,4,4,JAX 47,17,10,"Ryan Allen punts 37 yards, fair catch by Dede Westbrook",0.130,0.380
3,7:31,1,10,JAX 10,17,10,Blake Bortles pass incomplete short right intended for Marqise Lee,-0.380,-0.780
3,7:26,2,10,JAX 10,17,10,Blake Bortles sacked by Lawrence Guy for -5 yards,-0.780,-2.010
3,6:47,3,15,JAX 5,17,10,T.J. Yeldon left guard for 3 yards (tackle by Deatrich Wise and Trey Flowers),-2.010,-2.490
3,6:15,4,12,JAX 8,17,10,"Brad Nortman punts 51 yards, returned by Danny Amendola for 5 yards (tackle by Corey Grant)",-2.490,-1.990
3,6:04,1,10,NWE 46,17,10,Dion Lewis left guard for 3 yards (tackle by Marcell Dareus and Myles Jack),1.990,1.860
3,5:46,2,7,NWE 49,17,10,Tom Brady pass complete short middle to Dion Lewis for 4 yards (tackle by Paul Posluszny),1.860,1.690
3,5:23,3,3,JAX 47,17,10,Tom Brady pass complete short right to Dion Lewis for 1 yard (tackle by Myles Jack),1.690,0.200
3,4:47,4,2,JAX 46,17,10,"Ryan Allen punts 37 yards, fair catch by Dede Westbrook",0.200,0.380
3,4:41,1,10,JAX 9,17,10,Leonard Fournette middle for no gain (tackle by Lawrence Guy and Elandon Roberts),-0.380,-0.780
3,4:04,2,10,JAX 9,17,10,Leonard Fournette left end for 7 yards (tackle by Stephon Gilmore),-0.780,-0.600
3,3:21,3,3,JAX 16,17,10,Blake Bortles pass complete short left to Marqise Lee for 18 yards (tackle by Malcolm Butler),-0.600,1.200
3,2:48,1,10,JAX 34,17,10,Blake Bortles pass complete short right to Allen Hurns for 15 yards (tackle by Eric Rowe),1.200,2.190
3,2:06,1,10,JAX 49,17,10,Leonard Fournette left guard for 2 yards (tackle by Malcom Brown and Ricky Jean-Francois),2.190,1.920
3,1:28,2,8,NWE 49,17,10,Blake Bortles pass complete short right to Marqise Lee for 8 yards (tackle by Eric Rowe),1.920,2.850
3,0:48,1,10,NWE 41,17,10,Leonard Fournette left end for 14 yards (tackle by Patrick Chung),2.850,3.780
3,0:12,1,10,NWE 27,17,10,Blake Bortles pass incomplete short right intended for Ben Koyack,3.780,3.230
3,0:05,2,10,NWE 27,17,10,Corey Grant right guard for 2 yards,3.230,2.810
Quarter,Time,Down,ToGo,Location,JAX,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,NWE 25,17,10,Blake Bortles pass incomplete short left intended for Marqise Lee,2.810,1.800
4,14:56,4,8,NWE 25,20,10,Josh Lambo 43 yard field goal good,1.800,3.000
4,14:52,,,JAX 35,20,10,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
4,14:52,1,10,NWE 25,20,10,Dion Lewis left end for 2 yards (tackle by Telvin Smith),0.610,0.330
4,14:19,2,8,NWE 27,20,10,Tom Brady pass complete deep left to Brandin Cooks for 18 yards,0.330,1.930
4,13:53,1,10,NWE 45,20,10,"Danny Amendola pass complete short left to Dion Lewis for 20 yards (tackle by Myles Jack). Dion Lewis fumbles (forced by Myles Jack), recovered by Myles Jack at JAX-33",1.930,-1.140
4,13:37,1,10,JAX 33,20,10,Leonard Fournette middle for 2 yards (tackle by Malcom Brown and Eric Lee),1.140,0.860
4,13:04,2,8,JAX 35,20,10,Blake Bortles pass incomplete short middle intended for Marcedes Lewis,0.860,0.170
4,13:00,3,8,JAX 35,20,10,Blake Bortles pass complete short left to Allen Hurns for 7 yards (tackle by Devin McCourty and Eric Rowe),0.170,-0.590
4,12:11,4,1,JAX 42,20,10,"Brad Nortman punts 43 yards, fair catch by Danny Amendola",-0.590,0.220
4,12:03,1,10,NWE 15,20,10,Tom Brady pass complete deep left to Brandin Cooks for 18 yards (tackle by A.J. Bouye),-0.220,1.140
4,11:35,1,10,NWE 33,20,10,Tom Brady sacked by Marcell Dareus for -8 yards,1.140,-0.490
4,10:56,2,18,NWE 25,20,10,Tom Brady pass incomplete deep middle intended for Chris Hogan,-0.490,-1.150
4,10:49,3,18,NWE 25,20,10,Tom Brady pass complete deep middle to Danny Amendola for 21 yards (tackle by Tashaun Gipson),-1.150,1.990
4,10:19,1,10,NWE 46,20,10,Tom Brady pass complete deep left to Phillip Dorsett for 31 yards (tackle by Myles Jack),1.990,4.040
4,9:30,1,10,JAX 23,20,10,Tom Brady pass incomplete short middle intended for Danny Amendola,4.040,3.500
4,9:25,2,10,JAX 23,20,10,Tom Brady pass complete short left to Danny Amendola for 14 yards (tackle by A.J. Bouye),3.500,5.140
4,8:53,1,9,JAX 9,20,16,"Tom Brady pass complete short left to Danny Amendola for 9 yards, touchdown",5.140,7.000
4,8:44,,,JAX 15,20,17,Stephen Gostkowski kicks extra point good,0.000,0.000
4,8:44,,,NWE 35,20,17,"Stephen Gostkowski kicks off 65 yards, returned by Corey Grant for 16 yards (tackle by Matthew Slater)",0.000,0.140
4,8:38,1,10,JAX 16,20,17,Leonard Fournette left tackle for 1 yard (tackle by Malcom Brown and Elandon Roberts),-0.140,-0.510
4,7:59,2,9,JAX 17,20,17,Blake Bortles pass complete short middle to Allen Hurns for 20 yards (tackle by Devin McCourty),-0.510,1.400
4,7:19,1,10,JAX 37,20,17,Leonard Fournette left tackle for 1 yard (tackle by Patrick Chung and Trey Flowers),1.400,0.990
4,6:41,2,9,JAX 38,20,17,Blake Bortles pass incomplete deep left intended for Dede Westbrook (defended by Stephon Gilmore),0.990,0.300
4,6:34,3,9,JAX 38,20,17,Blake Bortles pass incomplete short right intended for Marcedes Lewis,0.300,-0.850
4,6:30,4,9,JAX 38,20,17,"Brad Nortman punts 43 yards, fair catch by Danny Amendola",-0.850,-0.150
4,6:21,1,10,NWE 19,20,17,"Tom Brady pass incomplete deep left intended for Brandin Cooks. Penalty on Jalen Ramsey: Defensive Pass Interference, 36 yards (no play)",0.150,2.590
4,6:15,1,10,JAX 45,20,17,Tom Brady pass incomplete deep left intended for James White,2.590,2.040
4,6:10,2,10,JAX 45,20,17,Tom Brady pass incomplete short middle intended for Danny Amendola,2.040,1.360
4,6:06,3,10,JAX 45,20,17,Tom Brady pass incomplete short left intended for James White (defended by Telvin Smith),1.360,0.270
4,6:00,4,10,JAX 45,20,17,"Ryan Allen punts 35 yards, fair catch by Dede Westbrook",0.270,0.380
4,5:53,1,10,JAX 10,20,17,Leonard Fournette middle for -1 yards (tackle by Patrick Chung),-0.380,-0.850
4,5:23,2,11,JAX 9,20,17,Blake Bortles pass incomplete deep left intended for Allen Hurns (defended by Eric Rowe),-0.850,-1.540
4,5:13,3,11,JAX 9,20,17,Blake Bortles pass incomplete short middle intended for Keelan Cole,-1.540,-2.490
4,5:10,4,11,JAX 9,20,17,"Brad Nortman punts 41 yards, returned by Danny Amendola for 20 yards (tackle by Dawuane Smoot)",-2.490,-3.580
4,4:58,1,10,JAX 30,20,17,Tom Brady pass complete short left to James White for 15 yards (tackle by Marcell Dareus),3.580,4.580
4,4:19,1,10,JAX 15,20,17,Tom Brady pass complete short middle to Danny Amendola for 8 yards (tackle by Myles Jack),4.580,5.410
4,3:57,2,2,JAX 7,20,17,Tom Brady middle for 2 yards (tackle by Paul Posluszny and Marcell Dareus),5.410,6.060
4,3:29,1,5,JAX 5,20,17,James White left guard for 1 yard (tackle by Calais Campbell),6.060,5.340
4,2:56,2,4,JAX 4,20,23,"Tom Brady pass complete short left to Danny Amendola for 4 yards, touchdown",5.340,7.000
4,2:48,,,JAX 15,20,24,Stephen Gostkowski kicks extra point good,0.000,0.000
4,2:48,,,NWE 35,20,24,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
4,2:48,1,10,JAX 25,20,24,Blake Bortles pass complete short middle to Marqise Lee for 8 yards (tackle by Stephon Gilmore),0.610,1.140
4,2:24,2,2,JAX 33,20,24,Blake Bortles pass complete deep left to Dede Westbrook for 29 yards (tackle by Stephon Gilmore),1.140,3.050
4,2:12,1,10,NWE 38,20,24,Blake Bortles pass incomplete deep left intended for Leonard Fournette,3.050,2.510
4,2:07,2,10,NWE 38,20,24,"Blake Bortles sacked by Kyle Van Noy for -7 yards. Blake Bortles fumbles, recovered by Cam Robinson at NWE-47",2.510,0.630
4,2:00,3,19,NWE 47,20,24,Blake Bortles pass complete short right to James O'Shaughnessy for 4 yards (tackle by Eric Rowe),0.630,0.400
4,1:53,4,15,NWE 43,20,24,Blake Bortles pass incomplete deep right intended for Dede Westbrook (defended by Stephon Gilmore),0.400,-1.800
4,1:47,1,10,NWE 43,20,24,Dion Lewis left tackle for -3 yards (tackle by Malik Jackson),1.800,0.000
4,1:42,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,-0.850
4,1:42,2,13,NWE 40,20,24,Dion Lewis right guard for 4 yards (tackle by Abry Jones),0.850,0.000
4,1:38,,,,,,Timeout #2 by Jacksonville Jaguars,0.000,-0.690
4,1:38,3,9,NWE 44,20,24,Dion Lewis left end for 18 yards (tackle by Paul Posluszny),0.690,0.000
4,1:30,,,,,,Timeout #3 by Jacksonville Jaguars,0.000,-3.050
4,1:30,1,10,JAX 38,20,24,Tom Brady kneels for -1 yards,3.050,2.370
4,0:51,2,11,JAX 39,20,24,Tom Brady kneels for -1 yards,2.370,1.550
4,0:23,3,12,JAX 40,20,24,Tom Brady kneels for -1 yards,1.550,0.530
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
