Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
3,10:47,1,10,IND 28,21,10,"Andrew Luck pass incomplete short left intended for T.Y. Hilton. Penalty on Anthony Castonzo: Offensive Holding, 10 yards (no play)",0.810,-0.040
3,10:40,1,20,IND 18,21,10,Andrew Luck pass incomplete short left intended for Frank Gore,-0.040,-1.190
3,10:33,2,20,IND 18,21,10,Andrew Luck pass complete deep right to Phillip Dorsett for 51 yards (tackle by Darius Slay),-1.190,3.510
3,9:44,1,10,DET 31,21,10,Andrew Luck pass incomplete deep right intended for Jack Doyle,3.510,2.970
3,9:38,2,10,DET 31,21,10,Andrew Luck pass incomplete,2.970,2.280
3,9:33,3,10,DET 31,21,10,Andrew Luck pass complete short left to Robert Turbin for 12 yards (tackle by Wallace Gilberry),2.280,4.310
3,8:48,1,10,DET 19,21,16,"Andrew Luck pass complete deep right to Dwayne Allen for 19 yards, touchdown",4.310,7.000
3,8:48,1,10,DET 19,21,16,"Penalty on Khyri Thornton: Encroachment, 1 yards (no play)",4.310,4.310
3,8:48,1,,DET 19,21,18,"Two Point Attempt: Andrew Luck pass complete to Dwayne Allen, conversion succeeds",4.310,1.000
3,8:48,,,IND 35,21,18,"Pat McAfee kicks off 68 yards, returned by Andre Roberts for 22 yards (tackle by Erik Swoope)",0.000,-0.150
3,8:35,1,10,DET 19,21,18,Theo Riddick middle for -4 yards (tackle by Hassan Ridgeway and Sio Moore),0.150,-1.000
3,7:53,2,14,DET 15,21,18,Theo Riddick middle for 5 yards (tackle by Erik Walden),-1.000,-0.940
3,7:11,3,9,DET 20,21,18,Matthew Stafford sacked by Erik Walden for -8 yards,-0.940,-2.490
3,6:37,4,17,DET 12,21,18,"Sam Martin punts 59 yards, returned by Quan Bray for 9 yards (tackle by Antwione Williams)",-2.490,-1.470
3,6:24,1,10,IND 38,21,18,Andrew Luck pass incomplete deep middle intended for Donte Moncrief (defended by Tahir Whitehead),1.470,0.920
3,6:17,2,10,IND 38,21,18,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by Haloti Ngata),0.920,0.230
3,6:12,3,10,IND 38,21,18,Andrew Luck pass incomplete deep left intended for Phillip Dorsett (defended by Glover Quin),0.230,-0.850
3,6:05,4,10,IND 38,21,18,"Pat McAfee punts 48 yards, out of bounds. Penalty on Matthias Farley: Player Out of Bounds on Punt, 15 yards",-0.850,-0.870
3,5:56,1,10,DET 29,21,18,Ameer Abdullah left tackle for 7 yards (tackle by David Parry),0.870,1.270
3,5:19,2,3,DET 36,21,18,"Matthew Stafford pass complete short left to Ameer Abdullah for 18 yards (tackle by Mike Adams). Penalty on Erik Walden: Face Mask (15 Yards), 15 yards",1.270,3.510
3,4:47,1,10,IND 31,21,18,Ameer Abdullah left end for -1 yards (tackle by Sio Moore),3.510,2.830
3,4:02,2,11,IND 32,21,18,Matthew Stafford pass complete short right to Golden Tate for 2 yards (tackle by Sio Moore),2.830,2.410
3,3:29,3,9,IND 30,21,18,Matthew Stafford pass complete short middle to Ameer Abdullah for 13 yards (tackle by Winston Guy),2.410,4.440
3,2:54,1,10,IND 17,21,18,Matthew Stafford pass complete short left to Golden Tate for 6 yards (tackle by Darryl Morris),4.440,4.890
3,2:26,2,4,IND 11,27,18,"Matthew Stafford pass complete short left to Ameer Abdullah for 11 yards, touchdown",4.890,7.000
3,2:26,,,IND 11,28,18,Matt Prater kicks extra point good,0.000,0.000
3,2:26,,,DET 35,28,18,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
3,2:20,1,10,IND 25,28,18,Frank Gore middle for 4 yards (tackle by Tyrunn Walker),0.610,0.600
3,1:39,2,6,IND 29,28,18,Andrew Luck pass complete short middle to Donte Moncrief for 5 yards (tackle by Nevin Lawson),0.600,0.560
3,1:00,3,1,IND 34,28,18,"Andrew Luck for 11 yards (tackle by Tavon Wilson). Penalty on Quandre Diggs: Defensive Holding, 5 yards",0.560,2.260
3,0:40,1,10,,28,18,Andrew Luck pass complete short left to Frank Gore for 8 yards (tackle by DeAndre Levy and Quandre Diggs),2.260,2.790
3,0:02,2,2,DET 42,28,18,Frank Gore middle for 1 yard (tackle by Tavon Wilson),2.790,2.210
Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,DET 41,28,18,"Andrew Luck pass incomplete. Penalty on DeAndre Levy: Taunting, 15 yards",2.210,3.840
4,14:55,1,10,DET 26,28,18,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,3.840,3.300
4,14:50,2,10,DET 26,28,18,Andrew Luck pass complete short left to Frank Gore for 4 yards (tackle by Tavon Wilson),3.300,3.300
4,14:27,2,10,DET 26,28,18,Timeout #1 by Indianapolis Colts,3.300,3.140
4,14:27,3,6,DET 22,28,18,Andrew Luck pass incomplete deep middle intended for Dwayne Allen,3.140,2.020
4,14:22,4,6,DET 22,28,21,Adam Vinatieri 40 yard field goal good,2.020,3.000
4,14:22,,,IND 35,28,21,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
4,14:17,1,10,DET 25,28,21,Ameer Abdullah middle for 1 yard (tackle by Akeem Ayers),0.610,0.200
4,13:33,2,9,DET 26,28,21,Matthew Stafford pass complete short right to Cole Wick for 5 yards (tackle by Sio Moore),0.200,0.170
4,12:54,3,4,DET 31,28,21,Matthew Stafford pass incomplete short middle intended for Marvin Jones (defended by Rashaan Melvin),0.170,-1.310
4,12:48,4,4,DET 31,28,21,"Sam Martin punts 63 yards, out of bounds",-1.310,0.380
4,12:38,1,10,IND 6,28,21,Andrew Luck pass incomplete deep right intended for T.Y. Hilton. Penalty on Jack Doyle: Offensive Holding (Declined),-0.380,-0.780
4,12:32,2,10,IND 6,28,21,Frank Gore right tackle for 8 yards (tackle by Nevin Lawson),-0.780,-0.480
4,11:53,3,2,IND 14,28,21,Andrew Luck pass complete short right to Josh Ferguson for 12 yards (tackle by Tyrunn Walker),-0.480,0.670
4,11:11,1,10,IND 26,28,21,Andrew Luck pass incomplete short left intended for Frank Gore (defended by A'Shawn Robinson),0.670,0.130
4,11:07,2,10,IND 26,28,21,Andrew Luck pass complete short middle to Jack Doyle for 13 yards (tackle by Quandre Diggs),0.130,1.530
4,10:21,1,10,IND 39,28,21,Andrew Luck pass complete deep left to T.Y. Hilton for 32 yards (tackle by Tavon Wilson),1.530,3.640
4,9:34,1,10,DET 29,28,21,Frank Gore right tackle for 4 yards (tackle by Haloti Ngata and Kerry Hyder),3.640,3.640
4,8:52,2,6,DET 25,28,21,Andrew Luck right end for 9 yards (tackle by Tahir Whitehead),3.640,4.510
4,8:25,1,10,DET 16,28,27,"Andrew Luck pass complete deep right to Jack Doyle for 16 yards, touchdown",4.510,7.000
4,8:25,,,DET 16,28,28,Adam Vinatieri kicks extra point good,0.000,0.000
4,8:25,,,IND 35,28,28,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
4,8:19,1,10,DET 25,28,28,Ameer Abdullah middle for 2 yards (tackle by Zach Kerr and D'Qwell Jackson),0.610,0.330
4,7:46,2,8,DET 27,28,28,Matthew Stafford pass complete short right to Golden Tate for 10 yards (tackle by Rashaan Melvin),0.330,1.400
4,7:20,1,10,DET 37,28,28,Matthew Stafford pass complete short left to Ameer Abdullah for 14 yards (tackle by Sio Moore),1.400,2.320
4,6:36,1,10,IND 49,28,28,Theo Riddick middle for 12 yards (tackle by Mike Adams),2.320,3.120
4,5:49,1,10,IND 37,28,28,Theo Riddick right end for 7 yards (tackle by Rashaan Melvin),3.120,3.520
4,5:05,2,3,IND 30,28,28,"Matthew Stafford pass incomplete deep middle intended for Marvin Jones. Penalty on Travis Swanson: Offensive Holding, 10 yards (no play)",3.520,2.170
4,5:00,2,13,IND 40,28,28,Matthew Stafford pass complete short left to Anquan Boldin for 14 yards (tackle by Mike Adams),2.170,3.840
4,4:17,1,10,IND 26,28,28,Matthew Stafford pass complete short right to Eric Ebron for 13 yards (tackle by Winston Guy),3.840,4.710
4,4:11,1,10,IND 13,34,28,"Matthew Stafford pass complete short right to Theo Riddick for 13 yards, touchdown",4.710,7.000
4,4:11,,,IND 13,34,28,Matt Prater kicks extra point no good,0.000,-1.000
4,4:11,,,DET 35,34,28,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
4,4:04,1,10,IND 25,34,28,Andrew Luck pass complete short right to T.Y. Hilton for 9 yards (tackle by Quandre Diggs),0.610,1.280
4,3:43,2,1,IND 34,34,28,Frank Gore right end for 7 yards (tackle by Devin Taylor),1.280,1.660
4,3:04,1,10,IND 41,34,28,Andrew Luck pass complete deep right to Phillip Dorsett for 33 yards (tackle by Quandre Diggs),1.660,3.840
4,2:18,1,10,DET 26,34,28,Andrew Luck pass complete short left to Phillip Dorsett for 5 yards (tackle by Darius Slay),3.840,3.970
4,2:00,2,5,DET 21,34,28,Frank Gore middle for 9 yards (tackle by Nevin Lawson and Tahir Whitehead),3.970,4.780
4,1:23,1,10,DET 12,34,28,Andrew Luck pass complete short left to T.Y. Hilton for no gain,4.780,4.780
4,1:15,1,10,DET 12,34,28,Timeout #2 by Indianapolis Colts,4.780,4.100
4,1:14,2,10,DET 12,34,28,Andrew Luck pass complete short right to Donte Moncrief for 6 yards (tackle by Nevin Lawson),4.100,4.380
4,0:43,3,4,DET 6,34,34,"Andrew Luck pass complete short middle to Jack Doyle for 6 yards, touchdown",4.380,7.000
4,0:43,,,DET 6,34,35,"Adam Vinatieri kicks extra point good. Penalty on Devin Taylor: Leaping, 15 yards",0.000,0.000
4,0:43,,,DET 6,34,35,"Pat McAfee kicks off 50 yards, touchback",0.000,-0.610
4,0:37,1,10,DET 25,34,35,Matthew Stafford pass complete short middle to Theo Riddick for 19 yards (tackle by Sio Moore),0.610,0.610
4,0:28,1,10,DET 25,34,35,Timeout #1 by Detroit Lions,0.610,1.860
4,0:28,1,10,DET 44,34,35,Matthew Stafford pass complete short left to Eric Ebron for 9 yards (tackle by Sio Moore),1.860,1.860
4,0:21,1,10,DET 44,34,35,Timeout #2 by Detroit Lions,1.860,2.530
4,0:21,2,1,IND 47,34,35,Matthew Stafford pass complete short left to Marvin Jones for 22 yards (tackle by Antonio Cromartie),2.530,2.530
4,0:12,2,1,IND 47,34,35,Timeout #3 by Detroit Lions,2.530,3.910
4,0:12,1,10,IND 25,34,35,Matthew Stafford pass incomplete,3.910,3.360
4,0:08,2,10,IND 25,37,35,Matt Prater 43 yard field goal good,3.360,3.000
4,0:08,,,DET 35,39,35,"Sam Martin kicks off 65 yards, returned by Quan Bray for 12 yards, lateral to Robert Turbin for -6 yards, lateral to Donte Moncrief for -2 yards, lateral to T.Y. Hilton for 1 yard, lateral to Quan Bray for -3 yards, lateral to Jack Doyle for -6 yards, lateral to T.Y. Hilton for 0 yards. T.Y. Hilton pass to Donte Moncrief for -1 yards. Donte Moncrief fumbles out of bounds, safety nullified by penalty. Penalty on T.Y. Hilton: Illegal Forward Pass, safety.",0.000,2.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
