Quarter,Time,Down,ToGo,Location,HOU,TAM,Detail,EPB,EPA
2,10:05,1,10,HOU 20,0,10,Dave Ragone pass incomplete intended for Andre Johnson,0.280,-0.270
2,9:56,2,10,HOU 20,0,10,"Penalty on HOU: Delay of Game, 5 yards (no play)",-0.270,-1.070
2,9:52,2,15,HOU 15,0,10,Domanick Williams up the middle for 14 yards (tackle by Jermaine Phillips),-1.070,0.230
2,9:20,3,1,HOU 29,0,10,Domanick Williams up the middle for 2 yards (tackle by Shelton Quarles),0.230,1.000
2,8:39,1,10,HOU 31,0,10,Domanick Williams up the middle for 6 yards (tackle by Dewayne White),1.000,1.270
2,7:55,2,4,HOU 37,0,10,Dave Ragone pass incomplete intended for Andre Johnson (defended by Ronyell Whitaker),1.270,0.560
2,7:47,3,4,HOU 37,0,10,Dave Ragone pass incomplete intended for Corey Bradford (defended by Derrick Brooks),0.560,-0.910
2,7:44,4,4,HOU 37,0,10,"Chad Stanley punts 39 yards, fair catch by Reggie Barlow",-0.910,-0.540
2,7:33,1,10,TAM 24,0,10,Brad Johnson pass complete to Charles Lee for 14 yards (tackle by Marlon McCree),0.540,1.470
2,6:54,1,10,TAM 38,0,10,Brad Johnson pass complete to Charles Lee for 9 yards (tackle by Marcus Coleman),1.470,2.140
2,6:17,2,1,TAM 47,0,10,Thomas Jones right end for -2 yards (tackle by Jamie Sharper and Eric Brown),2.140,1.160
2,5:38,3,3,TAM 45,0,10,"Brad Johnson pass complete to Michael Pittman for 50 yards (tackle by Jamie Sharper). Penalty on Cosey Coleman: Offensive Holding, 10 yards (no play)",1.160,-0.160
2,5:09,3,13,TAM 35,0,10,Brad Johnson pass complete to Thomas Jones for 17 yards (tackle by Demarcus Faggins),-0.160,2.390
2,4:19,1,10,HOU 48,0,10,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Kailee Wong: Face Mask (5 Yards), 5 yards (no play)",2.390,3.120
2,4:11,1,5,HOU 43,0,10,Thomas Jones right end for 1 yard (tackle by Kailee Wong),3.120,2.660
2,3:29,2,4,HOU 42,0,10,Brad Johnson pass complete to Rickey Dudley for 9 yards (tackle by Jamie Sharper),2.660,3.380
2,2:46,1,10,HOU 33,0,10,Brad Johnson pass complete to Keenan McCardell for 11 yards (tackle by Marcus Coleman),3.380,4.110
2,2:12,1,10,HOU 22,0,10,Brad Johnson pass incomplete intended for Michael Pittman,4.110,3.560
2,2:05,2,10,HOU 22,0,10,Thomas Jones right end for -2 yards (tackle by Kenny Wright and Kailee Wong),3.560,2.610
2,2:00,3,12,HOU 24,0,10,Brad Johnson pass complete to Keenan McCardell for 12 yards (tackle by Demarcus Faggins),2.610,4.780
2,1:21,1,10,HOU 12,0,10,"Penalty on Keenan McCardell: False Start, 5 yards (no play)",4.780,4.320
2,1:18,1,15,HOU 17,0,10,Thomas Jones left end for 9 yards (tackle by Jamie Sharper),4.320,4.830
2,0:52,,,,0,10,Timeout #1 by Tampa Bay Buccaneers,0.000,4.830
2,0:52,2,6,HOU 8,0,10,Brad Johnson pass incomplete intended for Michael Pittman (defended by Steve Martin),4.830,3.930
2,0:47,3,6,HOU 8,0,10,Brad Johnson pass complete to Michael Pittman for 4 yards (tackle by Jay Foreman). Penalty on Charles Lee: Offensive Pass Interference (Declined),3.930,3.040
2,0:38,4,2,HOU 4,0,13,Martin Gramatica 23 yard field goal good,3.040,3.000
2,,,,TAM 30,0,13,"Martin Gramatica kicks off 70 yards, returned by J.J. Moses for 23 yards (tackle by Jermaine Phillips)",0.000,0.480
2,0:26,1,10,HOU 23,0,13,Domanick Williams up the middle for 3 yards (tackle by Shelton Quarles),0.480,0.340
2,0:19,,,,0,13,Timeout #1 by Houston Texans,0.000,0.340
2,0:19,2,7,HOU 26,0,13,Tony Hollings left tackle for 7 yards (tackle by Dwight Smith),0.340,1.140
2,0:12,,,,0,13,Timeout #2 by Houston Texans,0.000,1.140
2,0:12,1,10,HOU 33,0,13,Tony Hollings up the middle for 2 yards (tackle by Ronde Barber),1.140,0.860
2,0:05,,,,0,13,Timeout #3 by Houston Texans,0.000,0.860
2,0:05,2,8,HOU 35,0,13,Dave Ragone pass complete to Billy Miller for -1 yards (tackle by Ronyell Whitaker),0.860,0.040
Quarter,Time,Down,ToGo,Location,HOU,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,0,13,"Kris Brown kicks off 63 yards, returned by Aaron Stecker for 13 yards (tackle by Troy Evans)",0.000,0.280
3,14:54,1,10,TAM 20,0,13,Thomas Jones up the middle for 4 yards (tackle by Jay Foreman and Steve Martin),0.280,0.270
3,14:14,2,6,TAM 24,0,13,Brad Johnson pass complete to Michael Pittman for 4 yards (tackle by Jason Bell),0.270,0.100
3,13:31,3,2,TAM 28,0,13,Thomas Jones right end for no gain (tackle by Steve Foley),0.100,-1.500
3,12:49,4,2,TAM 28,0,13,"Tom Tupa punts 56 yards, returned by J.J. Moses for 13 yards (tackle by Aaron Stecker)",-1.500,-0.870
3,12:34,1,10,HOU 29,0,13,"Dave Ragone pass complete to Andre Johnson for 3 yards (tackle by Dwight Smith). Penalty on Dwight Smith: Tripping, 10 yards",0.870,1.730
3,12:15,1,10,HOU 42,0,13,Dave Ragone pass complete to Andre Johnson for 9 yards (tackle by Ryan Nece),1.730,2.400
3,11:38,2,1,TAM 49,0,13,Domanick Williams up the middle for 15 yards (tackle by Dwight Smith),2.400,3.310
3,10:54,1,10,TAM 34,0,13,"Dave Ragone pass incomplete intended for Andre Johnson. Penalty on Todd Washington: Offensive Holding, 10 yards (no play)",3.310,2.650
3,10:46,1,20,TAM 44,0,13,Dave Ragone pass complete to Corey Bradford for 24 yards (tackle by John Lynch),2.650,4.240
3,10:00,,,,0,13,Timeout #1 by Houston Texans,0.000,4.240
3,10:00,1,10,TAM 20,0,13,Dave Ragone pass incomplete intended for Billy Miller,4.240,3.690
3,9:54,2,10,TAM 20,0,13,Domanick Williams left tackle for no gain (tackle by Simeon Rice),3.690,3.010
3,9:12,3,10,TAM 20,0,13,Dave Ragone pass incomplete intended for Andre Johnson,3.010,2.120
3,9:06,4,10,TAM 20,3,13,Kris Brown 38 yard field goal good,2.120,3.000
3,,,,HOU 30,3,13,"Kris Brown kicks off 70 yards, touchback",0.000,0.280
3,9:01,1,10,TAM 20,3,13,Brad Johnson pass incomplete intended for Aaron Stecker,0.280,-0.270
3,8:56,2,10,TAM 20,3,13,Brad Johnson pass complete to Charles Lee for 72 yards (tackle by Kenny Wright),-0.270,5.370
3,8:07,1,8,HOU 8,3,13,Thomas Jones right end for no gain (tackle by Steve Martin),5.370,4.570
3,7:22,2,8,HOU 8,3,13,Brad Johnson pass incomplete intended for Jameel Cook,4.570,3.580
3,7:14,3,8,HOU 8,3,13,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Marlon McCree),3.580,2.950
3,7:08,4,8,HOU 8,3,16,Martin Gramatica 26 yard field goal good,2.950,3.000
3,,,,TAM 30,3,16,"Martin Gramatica kicks off 68 yards, returned by J.J. Moses for 19 yards (tackle by Aaron Stecker)",0.000,0.340
3,6:56,1,10,HOU 21,3,16,Domanick Williams for -4 yards (tackle by Anthony McFarland),0.340,-0.860
3,6:14,2,14,HOU 17,3,16,Dave Ragone sacked by Greg Spires for -5 yards,-0.860,-2.470
3,5:39,3,19,HOU 12,3,16,Dave Ragone pass incomplete intended for Domanick Williams,-2.470,-2.490
3,5:33,4,19,HOU 12,3,16,"Chad Stanley punts 53 yards, returned by Reggie Barlow for no gain",-2.490,-1.270
3,5:17,1,10,TAM 35,3,16,Thomas Jones right tackle for 3 yards (tackle by Jay Foreman),1.270,1.130
3,4:40,2,7,TAM 38,3,16,"Brad Johnson pass incomplete intended for Charles Lee. Penalty on Kenny Wright: Illegal Use of Hands, 5 yards (no play)",1.130,1.800
3,4:25,1,10,TAM 43,3,16,Thomas Jones right tackle for 2 yards (tackle by Jamie Sharper),1.800,1.520
3,3:53,2,8,TAM 45,3,16,Brad Johnson pass complete to Keenan McCardell for 10 yards (tackle by Jay Foreman),1.520,2.590
3,3:12,1,10,HOU 45,3,16,Charles Lee for 6 yards (tackle by Marcus Coleman),2.590,2.850
3,2:35,2,4,HOU 39,3,16,Brad Johnson pass incomplete intended for Keenan McCardell,2.850,2.150
3,2:28,,,,3,16,Timeout #1 by Tampa Bay Buccaneers,0.000,2.150
3,2:28,3,4,HOU 39,3,16,Brad Johnson pass complete to Keenan McCardell for 12 yards (tackle by Demarcus Faggins),2.150,3.780
3,1:46,1,10,HOU 27,3,16,Thomas Jones up the middle for 2 yards (tackle by Eric Brown),3.780,3.500
3,1:06,2,8,HOU 25,3,16,Thomas Jones right guard for 3 yards (tackle by Steve Foley),3.500,3.200
3,0:23,3,5,HOU 22,3,16,Brad Johnson pass incomplete intended for Michael Pittman,3.200,2.040
3,0:15,4,5,HOU 22,3,16,"Martin Gramatica 41 yard field goal no good, blocked by Eric Brown",2.040,-1.000
3,0:09,1,10,HOU 31,3,16,Domanick Williams up the middle for no gain (tackle by Cleveland Pinkney and Derrick Brooks),1.000,0.460
Quarter,Time,Down,ToGo,Location,HOU,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,HOU 31,3,16,Dave Ragone pass complete to Andre Johnson for 6 yards (tackle by Ronyell Whitaker),0.460,0.560
4,14:14,3,4,HOU 37,3,16,Dave Ragone sacked by Cleveland Pinkney for -1 yards,0.560,-0.980
4,13:43,4,5,HOU 36,3,16,"Chad Stanley punts 43 yards, returned by Reggie Barlow for no gain",-0.980,-0.340
4,13:31,1,10,TAM 21,3,16,Thomas Jones up the middle for 12 yards (tackle by Marlon McCree and Kenny Wright),0.340,1.140
4,12:59,1,10,TAM 33,3,16,Thomas Jones right tackle for 4 yards (tackle by Kailee Wong),1.140,1.130
4,12:16,2,6,TAM 37,3,16,Thomas Jones left tackle for 5 yards (tackle by Jay Foreman),1.130,1.090
4,11:59,3,1,TAM 42,3,16,Brad Johnson pass incomplete (defended by Steve Foley),1.090,-0.590
4,11:30,4,1,TAM 42,3,16,"Tom Tupa punts 51 yards, returned by J.J. Moses for 11 yards (tackle by Ronyell Whitaker)",-0.590,-0.040
4,11:10,1,10,HOU 18,3,16,Domanick Williams up the middle for 1 yard (tackle by Shelton Quarles and Cleveland Pinkney),0.040,-0.320
4,10:36,2,9,HOU 19,3,16,Domanick Williams up the middle for 2 yards (tackle by Cleveland Pinkney),-0.320,-0.790
4,9:56,3,7,HOU 21,3,16,Dave Ragone pass complete to Andre Johnson for 10 yards (tackle by John Lynch),-0.790,1.000
4,9:17,1,10,HOU 31,3,16,Dave Ragone sacked by Greg Spires for -4 yards,1.000,-0.080
4,8:48,2,14,HOU 27,3,16,Domanick Williams right end for 2 yards (tackle by Shelton Quarles and Greg Spires),-0.080,-0.490
4,8:04,3,12,HOU 29,3,16,Dave Ragone pass complete to Domanick Williams for 3 yards (tackle by Ronde Barber),-0.490,-1.240
4,7:24,4,9,HOU 32,3,16,"Chad Stanley punts 47 yards, returned by Reggie Barlow for 12 yards (tackle by Jason Simmons)",-1.240,-1.140
4,7:10,1,10,TAM 33,3,16,Thomas Jones up the middle for 3 yards (tackle by Junior Ioane),1.140,1.000
4,6:30,2,7,TAM 36,3,16,Thomas Jones up the middle for 1 yard (tackle by Antwan Peek),1.000,0.430
4,5:50,3,6,TAM 37,3,16,"Penalty on Demarcus Faggins: Illegal Contact, 5 yards (no play)",0.430,1.730
4,5:41,1,10,TAM 42,3,16,Thomas Jones up the middle for 3 yards (tackle by Eric Brown),1.730,1.590
4,5:01,2,7,TAM 45,3,16,Thomas Jones up the middle for 3 yards (tackle by Junior Ioane),1.590,1.290
4,4:16,3,4,TAM 48,3,16,Brad Johnson pass complete to Michael Pittman for 9 yards (tackle by Kenny Wright),1.290,2.720
4,4:10,1,10,HOU 43,3,16,Thomas Jones up the middle for 13 yards (tackle by Marlon McCree),2.720,3.580
4,3:23,1,10,HOU 30,3,16,Thomas Jones up the middle for 2 yards (tackle by Antwan Peek),3.580,3.300
4,2:39,2,8,HOU 28,3,16,Thomas Jones left guard for 2 yards (tackle by Jay Foreman),3.300,2.870
4,2:00,3,6,HOU 26,3,16,Thomas Jones right end for 3 yards (tackle by Antwan Peek and Jay Foreman),2.870,2.030
4,1:52,,,,3,16,Timeout #2 by Houston Texans,0.000,2.030
4,1:52,4,3,HOU 23,3,16,"Martin Gramatica 41 yard field goal no good. Penalty on Eric Brown: Leaping, 12 yards (no play)",2.030,4.840
4,1:47,1,10,HOU 11,3,16,Aaron Stecker left tackle for 3 yards (tackle by Jerry DeLoach),4.840,4.700
4,1:09,2,7,HOU 8,3,16,Aaron Stecker right tackle for -2 yards (tackle by Eric Brown and Jamie Sharper),4.700,3.300
4,0:29,3,9,HOU 10,3,16,Aaron Stecker right end for 3 yards (tackle by Eric Brown). Penalty on TAM: Illegal Shift (Declined),3.300,2.980
4,0:21,,,,3,16,Timeout #2 by Tampa Bay Buccaneers,0.000,2.980
4,0:21,4,6,HOU 7,3,16,Aaron Stecker left end for 6 yards (tackle by Antwan Peek and Jamie Sharper),2.980,4.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
