Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
2,0:23,,,,0,21,Timeout #2 by New England Patriots,0.000,-4.580
2,0:23,1,10,ATL 15,0,21,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Robert Alford),4.580,3.950
2,0:18,2,10,ATL 15,0,21,"Tom Brady pass complete short left to James White for 5 yards (tackle by Keanu Neal). Penalty on Martellus Bennett: Offensive Holding, 10 yards",3.950,3.350
2,0:12,2,15,ATL 20,0,21,Tom Brady pass complete short left to Martellus Bennett for -3 yards (tackle by Ayodeji Olatoye and Grady Jarrett),3.350,2.280
2,0:05,3,18,ATL 23,3,21,Stephen Gostkowski 41 yard field goal good,2.280,3.000
2,0:05,,,,3,21,Timeout #3 by New England Patriots,0.000,0.000
2,0:02,,,NWE 35,3,21,Stephen Gostkowski kicks off 38 yards,0.000,1.270
Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,3,21,"Stephen Gostkowski kicks off 60 yards, returned by Eric Weems for 14 yards (tackle by Nate Ebner)",0.000,0.150
3,14:54,1,10,ATL 19,3,21,Devonta Freeman left tackle for -3 yards (tackle by Dont'a Hightower),0.150,-0.870
3,14:11,2,13,ATL 16,3,21,Matt Ryan pass complete short middle to Devonta Freeman for 7 yards (tackle by Logan Ryan),-0.870,-0.550
3,13:24,3,6,ATL 23,3,21,Matt Ryan pass incomplete short left intended for Taylor Gabriel (defended by Eric Rowe),-0.550,-1.830
3,13:19,4,6,ATL 23,3,21,"Matthew Bosher punts 56 yards, returned by Julian Edelman for 26 yards (tackle by Eric Weems)",-1.830,-2.060
,,,,,,,"ATL challenged the runner was in bounds ruling, and the original play was overturned.",,
3,13:07,1,10,NWE 47,3,21,Tom Brady pass incomplete deep left intended for Chris Hogan,2.060,1.520
3,13:02,2,10,NWE 47,3,21,Tom Brady pass complete short right to Danny Amendola for -2 yards (tackle by Brian Poole). Penalty on Chris Hogan: Offensive Pass Interference (Declined),1.520,0.560
3,12:57,,,,3,21,Timeout #1 by Atlanta Falcons,0.000,-0.560
3,12:57,3,12,NWE 45,3,21,Tom Brady pass incomplete short middle intended for Julian Edelman,0.560,-0.390
3,12:52,4,12,NWE 45,3,21,"Ryan Allen punts 40 yards, fair catch by Eric Weems",-0.390,0.220
3,12:45,1,10,ATL 15,3,21,Matt Ryan pass complete short middle to Taylor Gabriel for 17 yards (tackle by Eric Rowe),-0.220,1.070
3,12:07,1,10,ATL 32,3,21,Tevin Coleman right tackle for 5 yards (tackle by Elandon Roberts),1.070,1.200
3,11:36,2,5,ATL 37,3,21,Matt Ryan pass complete deep middle to Taylor Gabriel for 35 yards (tackle by Duron Harmon),1.200,3.710
3,11:06,1,10,NWE 28,3,21,Tevin Coleman left end for no gain (tackle by Patrick Chung),3.710,3.170
3,10:26,2,10,NWE 28,3,21,Matt Ryan pass complete short middle to Mohamed Sanu for 13 yards (tackle by Eric Rowe),3.170,4.580
3,9:57,1,10,NWE 15,3,21,Devonta Freeman right tackle for 9 yards (tackle by Trey Flowers),4.580,5.600
3,9:28,2,1,NWE 6,3,21,Devonta Freeman middle for -3 yards (tackle by Eric Rowe and Rob Ninkovich),5.600,4.220
3,8:43,3,4,NWE 9,3,21,"Matt Ryan pass incomplete short middle intended for Taylor Gabriel (defended by Malcolm Butler). Penalty on Malcolm Butler: Defensive Pass Interference, 3 yards (no play)",4.220,5.830
3,8:36,1,6,NWE 6,3,27,"Matt Ryan pass complete short right to Tevin Coleman for 6 yards, touchdown",5.830,7.000
3,8:31,,,NWE 15,3,28,Matt Bryant kicks extra point good,0.000,0.000
3,8:31,,,ATL 35,3,28,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.610
3,8:31,1,10,NWE 25,3,28,Tom Brady pass complete short middle to Dion Lewis for 2 yards (tackle by Keanu Neal),0.610,0.330
3,7:51,2,8,NWE 27,3,28,Tom Brady pass complete short left to James White for 12 yards (tackle by Jalen Collins and Ricardo Allen),0.330,1.530
3,7:13,1,10,NWE 39,3,28,Dion Lewis middle for 8 yards (tackle by Jalen Collins),1.530,2.070
3,6:46,2,2,NWE 47,3,28,Dion Lewis middle for -1 yards (tackle by Brooks Reed),2.070,1.220
3,6:12,3,3,NWE 46,3,28,Julian Edelman pass incomplete deep right intended for Dion Lewis,1.220,-0.320
3,6:04,4,3,NWE 46,3,28,Tom Brady pass complete short left to Danny Amendola for 17 yards (tackle by De'Vondre Campbell),-0.320,3.120
3,5:35,1,10,ATL 37,3,28,Tom Brady pass complete short left to Danny Amendola for 2 yards (tackle by Jalen Collins),3.120,2.840
3,4:54,2,8,ATL 35,3,28,Tom Brady pass incomplete short left intended for Julian Edelman,2.840,2.150
3,4:49,3,8,ATL 35,3,28,Tom Brady middle for 15 yards (tackle by Robert Alford),2.150,4.240
3,4:07,1,10,ATL 20,3,28,LeGarrette Blount right guard for 4 yards (tackle by Keanu Neal),4.240,4.280
3,3:17,2,6,ATL 16,3,28,LeGarrette Blount right tackle for 9 yards (tackle by Robert Alford),4.280,5.600
3,2:43,1,7,ATL 7,3,28,LeGarrette Blount middle for 2 yards (tackle by Brooks Reed),5.600,5.150
3,2:12,2,5,ATL 5,9,28,"Tom Brady pass complete short left to James White for 5 yards, touchdown",5.150,7.000
3,2:06,,,ATL 15,9,28,Stephen Gostkowski kicks extra point no good,0.000,-1.000
3,2:06,,,NWE 35,9,28,"Stephen Gostkowski kicks onside 11 yards, recovered by LaRoy Reynolds. Penalty on Stephen Gostkowski: Illegal Touch Kick, 5 yards",0.000,-2.850
3,2:05,1,10,NWE 41,9,28,Matt Ryan pass complete short left to Austin Hooper for 9 yards (tackle by Duron Harmon),2.850,3.520
3,1:30,2,1,NWE 32,9,28,"Tevin Coleman left tackle for -1 yards (tackle by Trey Flowers). Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",3.520,2.170
3,0:59,,,,9,28,Timeout #2 by Atlanta Falcons,0.000,-2.170
3,0:59,2,11,NWE 42,9,28,Matt Ryan pass incomplete short right intended for Austin Hooper (defended by Patrick Chung),2.170,1.490
3,0:52,3,11,NWE 42,9,28,--,1.490,-0.130
3,0:04,4,20,ATL 49,9,28,"Penalty on Matthew Bosher: Delay of Game, 5 yards (no play)",-0.130,-0.460
Quarter,Time,Down,ToGo,Location,NWE,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,25,ATL 44,9,28,"Matthew Bosher punts 42 yards, returned by Patrick Chung for -1 yards (tackle by Justin Hardy)",-0.460,0.320
4,14:51,1,10,NWE 13,9,28,Tom Brady pass complete deep right to Malcolm Mitchell for 15 yards (tackle by Jalen Collins),-0.320,0.810
4,14:29,1,10,NWE 28,9,28,Tom Brady pass complete short middle to Malcolm Mitchell for 7 yards (tackle by Jalen Collins),0.810,1.210
4,14:00,2,3,NWE 35,9,28,James White middle for 6 yards (tackle by Keanu Neal),1.210,1.660
4,13:21,1,10,NWE 41,9,28,Tom Brady pass incomplete deep left intended for Julian Edelman,1.660,1.120
4,13:13,2,10,NWE 41,9,28,Tom Brady pass complete short right to Malcolm Mitchell for 18 yards (tackle by Robert Alford),1.120,2.850
