Quarter,Time,Down,ToGo,Location,DEN,SFO,Detail,EPB,EPA
2,11:47,2,9,DEN 38,0,6,Case Keenum pass complete short left to Tim Patrick for 15 yards (tackle by Elijah Lee),0.990,2.460
2,11:20,1,10,SFO 47,0,6,Case Keenum pass incomplete short right intended for Tim Patrick,2.460,1.910
2,11:18,2,10,SFO 47,0,6,Royce Freeman left end for 2 yards (tackle by Ahkello Witherspoon and D.J. Reed),1.910,1.490
2,10:36,3,8,SFO 45,0,6,Case Keenum sacked by Ronald Blair for -10 yards. Penalty on Garett Bolles: Offensive Holding (Declined),1.490,-0.390
2,10:19,4,18,DEN 45,0,6,"Colby Wadman punts 40 yards, returned by Trent Taylor for 8 yards (tackle by Joseph Jones). Penalty on Mark Nzeocha: Running Into the Kicker, 5 yards (no play)",-0.390,-0.060
2,10:09,4,13,DEN 50,0,6,Colby Wadman punts 35 yards downed by Brian Parker,-0.060,0.220
2,10:00,1,10,SFO 15,0,12,"Nick Mullens pass complete short right to George Kittle for 85 yards, touchdown",-0.220,7.000
2,9:47,,,DEN 15,0,13,Robbie Gould kicks extra point good,0.000,0.000
2,9:47,,,SFO 35,0,13,"Bradley Pinion kicks off 62 yards, returned by Devontae Booker for no gain (tackle by Ross Dwelley and Matthew Dayes)",0.000,0.610
2,9:41,1,10,DEN 25,0,13,Case Keenum pass incomplete short left intended for Phillip Lindsay,0.610,0.060
2,9:35,2,10,DEN 25,0,13,Phillip Lindsay right tackle for no gain (tackle by Arik Armstead),0.060,-0.620
2,8:58,3,10,DEN 25,0,13,"Case Keenum pass incomplete short right intended for Devontae Booker (defended by Antone Exum). Penalty on Solomon Thomas: Roughing the Passer, 15 yards (no play)",-0.620,1.600
2,8:53,1,10,DEN 40,0,13,Case Keenum pass complete short left to Courtland Sutton for 4 yards (tackle by D.J. Reed and Ahkello Witherspoon),1.600,1.590
2,8:17,2,6,DEN 44,0,13,Phillip Lindsay right tackle for -3 yards (tackle by D.J. Reed),1.590,0.500
2,7:35,3,9,DEN 41,0,13,Case Keenum right end for 16 yards,0.500,2.720
2,6:48,1,10,SFO 43,0,13,Case Keenum pass complete short left to DaeSean Hamilton for -1 yards (tackle by D.J. Reed),2.720,2.040
2,6:05,2,11,SFO 44,0,13,"Case Keenum aborted snap, recovered by Case Keenum at DEN-45 Case Keenum pass incomplete short left. Penalty on Case Keenum: Intentional Grounding, 15 yards",2.040,-0.630
2,6:01,3,26,DEN 41,0,13,Case Keenum pass complete short left to Phillip Lindsay for 4 yards (tackle by Ronald Blair),-0.630,-0.390
2,5:32,4,22,DEN 45,0,13,"Colby Wadman punts 55 yards, touchback.",-0.390,-0.280
2,5:22,1,10,SFO 20,0,13,Jeff Wilson left tackle for 1 yard (tackle by Von Miller),0.280,-0.130
2,4:43,2,9,SFO 21,0,13,Nick Mullens pass incomplete short middle intended for Garrett Celek (defended by Josey Jewell),-0.130,-0.820
2,4:38,3,9,SFO 21,0,13,Nick Mullens pass complete short right to Kyle Juszczyk for 17 yards (tackle by Darian Stewart),-0.820,1.470
2,3:53,1,10,SFO 38,0,13,Jeff Wilson left guard for 7 yards (tackle by Justin Simmons),1.470,1.870
2,3:20,2,3,SFO 45,0,13,Nick Mullens pass complete short left to Joe Staley for -5 yards (tackle by Domata Peko),1.870,0.500
2,2:32,3,8,SFO 40,0,13,"Nick Mullens pass complete short right to Marquise Goodwin for 22 yards (tackle by Isaac Yiadom). Marquise Goodwin fumbles (forced by Isaac Yiadom), recovered by Darian Stewart at DEN-32 (tackle by Marquise Goodwin). Penalty on Su'a Cravens: Defensive Holding, 5 yards (no play)",0.500,1.930
2,2:20,1,10,SFO 45,0,13,Nick Mullens pass incomplete short right intended for Dante Pettis (defended by Shelby Harris),1.930,1.380
2,2:15,2,10,SFO 45,0,13,Jeff Wilson right guard for 4 yards (tackle by Su'a Cravens and Derek Wolfe),1.380,1.220
2,2:00,3,6,SFO 49,0,13,Nick Mullens sacked by Von Miller for -9 yards,1.220,-0.720
2,1:55,,,,,,Timeout #1 by Denver Broncos,,
2,1:55,4,15,SFO 40,0,13,"Bradley Pinion punts 39 yards, fair catch by River Cracraft at DEN-21",-0.720,-0.340
2,1:48,1,10,DEN 21,0,13,"Case Keenum pass incomplete deep left intended for Courtland Sutton. Penalty on Richard Sherman: Defensive Holding, 5 yards (no play)",0.340,0.670
2,1:43,1,10,DEN 26,0,13,Case Keenum pass complete short middle to Devontae Booker for 7 yards (tackle by DeForest Buckner),0.670,1.070
2,1:26,2,3,DEN 33,0,13,Case Keenum pass incomplete short middle,1.070,0.370
2,1:22,3,3,DEN 33,0,13,Case Keenum pass incomplete short right,0.370,-1.180
2,1:14,4,3,DEN 33,0,13,"Colby Wadman punts 39 yards, fair catch by Trent Taylor at SF-28",-1.180,-0.810
2,1:07,1,10,SFO 28,0,13,Nick Mullens pass complete short right to Kendrick Bourne for 12 yards (tackle by Todd Davis),0.810,1.600
2,0:53,1,10,SFO 40,0,13,Nick Mullens pass incomplete short middle,1.600,1.050
2,0:46,2,10,SFO 40,0,13,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",1.050,1.730
2,0:46,2,5,SFO 45,0,13,"Nick Mullens pass incomplete short middle intended for Trent Taylor (defended by Su'a Cravens). Penalty on Su'a Cravens: Defensive Pass Interference, 5 yards (no play)",1.730,2.260
2,0:42,1,10,SFO 50,0,13,"Nick Mullens pass complete short middle to Kendrick Bourne for 7 yards (tackle by Justin Simmons). Penalty on Zach Kerr: Defensive Offside, 5 yards (no play)",2.260,2.990
2,0:37,1,5,DEN 45,0,13,Nick Mullens pass complete short middle to George Kittle for 13 yards (tackle by Su'a Cravens),2.990,3.450
2,0:30,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:30,1,10,DEN 32,0,13,Nick Mullens pass incomplete short left intended for Dante Pettis (defended by Shelby Harris),3.450,2.900
2,0:26,2,10,DEN 32,0,13,Nick Mullens pass complete deep right to George Kittle for 18 yards (tackle by Darian Stewart),2.900,4.650
2,0:21,1,10,DEN 14,0,13,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",4.650,5.800
2,0:21,1,5,DEN 9,0,13,Nick Mullens pass complete short right to Jeff Wilson for 6 yards (tackle by Derek Wolfe),5.800,6.510
2,0:15,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:15,,,,,,Timeout #2 by Denver Broncos,,
2,0:15,1,3,DEN 3,0,13,"Nick Mullens pass incomplete short right intended for Dante Pettis. Penalty on Isaac Yiadom: Defensive Pass Interference, 2 yards (no play)",6.510,6.970
2,0:12,1,1,DEN 1,0,19,"Nick Mullens pass complete short right to Dante Pettis for 1 yard, touchdown",6.970,7.000
2,0:08,,,DEN 15,0,20,Robbie Gould kicks extra point good,0.000,0.000
2,0:08,,,SFO 35,0,20,"Robbie Gould kicks off 42 yards, returned by River Cracraft for no gain",0.000,0.480
2,0:06,1,10,DEN 23,0,20,Case Keenum kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,DEN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,0,20,"Bradley Pinion kicks off 63 yards, returned by Brendan Langley for no gain (tackle by Greg Mabin)",0.000,-0.060
3,14:55,1,10,DEN 17,0,20,Case Keenum pass complete short middle to Courtland Sutton for 10 yards (tackle by DeForest Buckner and Marcell Harris),-0.060,0.740
3,14:17,1,10,DEN 27,0,20,Courtland Sutton right tackle for -1 yards (tackle by Marcell Harris),0.740,0.060
3,13:40,2,11,DEN 26,0,20,Case Keenum pass incomplete deep left intended for DaeSean Hamilton,0.060,-0.620
3,13:34,3,11,DEN 26,0,20,"Case Keenum sacked by D.J. Reed for -5 yards. Case Keenum fumbles (forced by D.J. Reed), recovered by Case Keenum at DEN-21",-0.620,-1.960
3,13:04,4,16,DEN 21,0,20,"Colby Wadman punts 53 yards, returned by Trent Taylor for 18 yards (tackle by Shamarko Thomas)",-1.960,-1.860
3,12:56,1,10,SFO 44,0,20,Nick Mullens pass incomplete short middle intended for Kendrick Bourne,1.860,1.320
3,12:53,2,10,SFO 44,0,20,Jeff Wilson left tackle for no gain (tackle by Domata Peko),1.320,0.630
3,12:09,3,10,SFO 44,0,20,"Penalty on George Kittle: False Start, 5 yards (no play)",0.630,-0.030
3,11:43,3,15,SFO 39,0,20,Nick Mullens sacked by Bradley Chubb for -10 yards,-0.030,-1.440
3,11:12,4,25,SFO 29,0,20,"Bradley Pinion punts 47 yards, returned by River Cracraft for 20 yards (tackle by Garrett Celek)",-1.440,-1.860
3,10:59,1,10,DEN 44,0,20,Phillip Lindsay right tackle for 1 yard (tackle by Fred Warner),1.860,1.450
3,10:22,2,9,DEN 45,0,20,Case Keenum pass complete short right to Tim Patrick for 13 yards (tackle by Richard Sherman),1.450,2.790
3,10:00,1,10,SFO 42,0,20,Case Keenum pass incomplete short right,2.790,2.240
3,9:58,2,10,SFO 42,0,20,Phillip Lindsay left end for 5 yards (tackle by Ahkello Witherspoon),2.240,2.210
3,9:22,3,5,SFO 37,0,20,Case Keenum pass complete short middle to DaeSean Hamilton for 4 yards (tackle by D.J. Reed),2.210,1.210
3,8:40,4,1,SFO 33,0,20,Andy Janovich up the middle for 3 yards (tackle by Arik Armstead and D.J. Jones),1.210,3.580
3,7:57,1,10,SFO 30,0,20,Case Keenum pass complete short right to Tim Patrick for 3 yards (tackle by D.J. Reed),3.580,3.440
3,7:16,2,7,SFO 27,0,20,Case Keenum pass incomplete short middle intended for Royce Freeman,3.440,2.740
3,7:10,3,7,SFO 27,0,20,Case Keenum pass complete short right to Tim Patrick for 5 yards (tackle by Richard Sherman),2.740,2.120
3,6:32,4,2,SFO 22,0,20,Case Keenum pass complete deep right to Tim Patrick for 19 yards,2.120,6.510
3,6:07,1,3,SFO 3,6,20,"Phillip Lindsay up the middle for 3 yards, touchdown",6.510,7.000
3,6:05,,,SFO 15,7,20,Brandon McManus kicks extra point good,0.000,0.000
3,6:05,,,DEN 35,7,20,"Brandon McManus kicks off 64 yards, returned by Richie James for no gain (tackle by Shamarko Thomas). Penalty on Marcell Harris: Illegal Block Above the Waist, 10 yards",0.000,-0.380
3,5:59,1,10,SFO 10,7,20,"Jeff Wilson left tackle for 2 yards (tackle by Von Miller). Penalty on Domata Peko: Defensive Holding, 5 yards",-0.380,-0.060
3,5:30,1,10,SFO 17,7,20,Nick Mullens pass incomplete short left intended for George Kittle,-0.060,-0.580
3,5:26,2,10,SFO 17,7,20,Nick Mullens pass complete short right to Dante Pettis for 17 yards (tackle by Justin Simmons),-0.580,1.200
3,4:49,1,10,SFO 34,7,20,"Jeff Wilson up the middle for 9 yards (tackle by Jamar Taylor). Jeff Wilson fumbles (forced by Jamar Taylor), recovered by Kendrick Bourne at SF-43 (tackle by Josey Jewell)",1.200,1.870
3,4:01,2,1,SFO 43,7,20,Jeff Wilson right tackle for 4 yards (tackle by Shelby Harris),1.870,2.060
3,3:18,1,10,SFO 47,7,20,Jeff Wilson right end for 5 yards (tackle by Bradley Chubb and Todd Davis),2.060,2.190
3,2:31,,,,,,Timeout #1 by San Francisco 49ers,,
3,2:31,2,5,DEN 48,7,20,Nick Mullens up the middle for -4 yards (tackle by Adam Gotsis and Bradley Chubb),2.190,0.960
3,2:23,3,9,SFO 48,7,20,Nick Mullens pass incomplete deep middle intended for Dante Pettis,0.960,-0.190
3,2:18,4,9,SFO 48,7,20,"Bradley Pinion punts 44 yards, returned by River Cracraft for no gain (tackle by Tarvarius Moore and Greg Mabin). Penalty on Joseph Jones: Running Into the Kicker (Declined)",-0.190,0.380
3,2:10,1,10,DEN 8,7,20,Case Keenum pass complete short right to Brian Parker for 5 yards (tackle by Pita Taumoepenu),-0.380,-0.410
3,1:35,2,5,DEN 13,7,20,Phillip Lindsay right tackle for no gain (tackle by DeForest Buckner),-0.410,-0.840
3,0:54,3,5,DEN 13,7,20,Case Keenum pass complete short right to DaeSean Hamilton for 14 yards (tackle by D.J. Reed),-0.840,0.740
3,0:13,1,10,DEN 27,7,20,Phillip Lindsay up the middle for 4 yards (tackle by Ronald Blair),0.740,0.740
Quarter,Time,Down,ToGo,Location,DEN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DEN 31,7,20,Case Keenum right end for 6 yards (tackle by Fred Warner),0.740,1.400
4,14:18,1,10,DEN 37,7,20,Phillip Lindsay up the middle for 4 yards (tackle by Fred Warner and D.J. Reed),1.400,1.400
4,13:41,2,6,DEN 41,7,20,Case Keenum pass incomplete short left intended for DaeSean Hamilton,1.400,0.700
4,13:37,3,6,DEN 41,7,20,Case Keenum up the middle for 3 yards (tackle by Cassius Marsh),0.700,-0.460
4,12:48,4,3,DEN 44,7,20,Phillip Lindsay right end for 2 yards (tackle by Cassius Marsh),-0.460,-2.520
4,12:41,1,10,DEN 46,7,20,Jeff Wilson left end for 1 yard (tackle by Adam Gotsis),2.520,2.110
4,11:57,2,9,DEN 45,7,20,Alfred Morris right tackle for no gain (tackle by Shelby Harris),2.110,1.420
4,11:23,3,9,DEN 45,7,20,Nick Mullens pass short middle intended for Trent Taylor is intercepted by Darian Stewart at DEN-41 and returned for no gain,1.420,-1.660
4,11:21,1,10,DEN 41,7,20,Royce Freeman up the middle for 7 yards (tackle by Arik Armstead),1.660,2.070
4,10:54,2,3,DEN 48,7,20,Royce Freeman right tackle for 23 yards (tackle by Antone Exum),2.070,3.640
4,10:20,1,10,SFO 29,7,20,Case Keenum pass complete short left to DaeSean Hamilton for 4 yards (tackle by D.J. Reed),3.640,3.640
4,9:47,2,6,SFO 25,7,20,Royce Freeman up the middle for 4 yards (tackle by Arik Armstead and Marcell Harris),3.640,3.470
4,9:17,3,2,SFO 21,7,20,Royce Freeman up the middle for -1 yards (tackle by Marcell Harris),3.470,2.090
4,8:42,4,3,SFO 22,7,20,Case Keenum pass complete short left to Phillip Lindsay for 1 yard (tackle by Marcell Harris),2.090,-0.340
4,8:37,1,10,SFO 21,7,20,Jeff Wilson up the middle for 4 yards (tackle by Josey Jewell and Justin Simmons),0.340,0.340
4,7:52,2,6,SFO 25,7,20,Jeff Wilson left tackle for 4 yards (tackle by Todd Davis),0.340,0.170
4,7:05,3,2,SFO 29,7,20,Nick Mullens pass incomplete short right intended for Dante Pettis,0.170,-1.440
4,7:04,4,2,SFO 29,7,20,"Bradley Pinion punts 40 yards, returned by River Cracraft for no gain (tackle by Tarvarius Moore)",-1.440,-1.000
4,6:55,1,10,DEN 31,7,20,Case Keenum pass complete short left to Phillip Lindsay for 9 yards (tackle by Fred Warner),1.000,1.680
4,6:36,2,1,DEN 40,7,20,"Case Keenum pass complete deep middle to DaeSean Hamilton for 18 yards (tackle by Antone Exum). Penalty on Antone Exum: Unnecessary Roughness, 15 yards",1.680,3.780
4,6:25,1,10,SFO 27,7,20,Case Keenum pass incomplete deep left intended for Tim Patrick,3.780,3.230
4,6:20,2,10,SFO 27,7,20,Case Keenum pass incomplete short left intended for Phillip Lindsay,3.230,2.540
4,6:15,3,10,SFO 27,7,20,Case Keenum pass complete short right to Matt LaCosse for 3 yards (tackle by Richard Sherman),2.540,1.870
4,5:40,4,7,SFO 24,7,20,Case Keenum pass complete short right to Tim Patrick for 9 yards,1.870,4.580
4,5:21,1,10,SFO 15,7,20,Case Keenum pass complete short right to Devontae Booker for 4 yards (tackle by Richard Sherman),4.580,4.640
4,4:57,2,6,SFO 11,7,20,Case Keenum pass incomplete short left intended for Courtland Sutton,4.640,3.780
4,4:52,3,6,SFO 11,7,20,Phillip Lindsay up the middle for 5 yards (tackle by Elijah Lee),3.780,3.020
4,4:24,4,1,SFO 6,7,20,Phillip Lindsay up the middle for 3 yards (tackle by Marcell Harris),3.020,6.510
4,4:14,1,3,SFO 3,7,20,"Case Keenum pass incomplete short right intended for DaeSean Hamilton. Penalty on D.J. Reed: Defensive Pass Interference, 2 yards (no play)",6.510,6.970
4,4:09,1,1,SFO 1,7,20,Case Keenum pass incomplete short left intended for Brian Parker (defended by Elijah Lee),6.970,5.910
4,4:05,2,1,SFO 1,7,20,Case Keenum pass incomplete short left intended for Courtland Sutton,5.910,5.170
4,4:00,3,1,SFO 1,7,20,Case Keenum pass incomplete short left intended for Courtland Sutton,5.170,3.550
4,3:57,4,1,SFO 1,13,20,"Case Keenum pass complete short right to DaeSean Hamilton for 1 yard, touchdown",3.550,7.000
4,3:53,,,SFO 15,14,20,Brandon McManus kicks extra point good,0.000,0.000
4,3:53,,,DEN 35,14,20,"Brandon McManus kicks off 52 yards, returned by Richie James for no gain",0.000,0.280
4,3:51,1,10,SFO 20,14,20,Jeff Wilson right tackle for 1 yard (tackle by Derek Wolfe),0.280,-0.130
4,3:46,,,,,,Timeout #1 by Denver Broncos,,
4,3:46,2,9,SFO 21,14,20,"Nick Mullens pass complete short left to Marquise Goodwin for 7 yards (tackle by Bradley Roby). Marquise Goodwin fumbles, ball out of bounds at SF-28 (forced by Bradley Roby)",-0.130,0.100
4,3:41,3,2,SFO 28,14,20,"Penalty on Laken Tomlinson: False Start, 5 yards (no play)",0.100,-0.560
4,3:39,3,7,SFO 23,14,20,Nick Mullens pass complete short right to Dante Pettis for 31 yards (tackle by Dymonte Thomas),-0.560,2.520
4,3:32,1,10,DEN 46,14,20,Jeff Wilson up the middle for 4 yards (tackle by Bradley Roby and Josey Jewell),2.520,2.520
4,3:27,,,,,,Timeout #3 by Denver Broncos,,
4,3:26,2,6,DEN 42,14,20,Jeff Wilson left tackle for 3 yards (tackle by Adam Gotsis),2.520,2.210
4,2:39,,,,,,Timeout #2 by San Francisco 49ers,,
4,2:39,3,3,DEN 39,14,20,Nick Mullens pass complete short middle to Trent Taylor for 6 yards (tackle by Justin Simmons),2.210,3.380
4,2:00,1,10,DEN 33,14,20,Nick Mullens kneels for -1 yards,3.380,2.700
4,1:24,2,11,DEN 34,14,20,Nick Mullens kneels for -1 yards,2.700,1.880
4,0:43,3,12,DEN 35,14,20,Nick Mullens kneels for -2 yards,1.880,0.790
4,0:08,4,14,DEN 37,14,20,Nick Mullens kneels for -2 yards,0.790,-1.530
4,0:05,1,10,DEN 39,14,20,Case Keenum pass complete short right to Tim Patrick for 21 yards. Tim Patrick fumbles out of bounds,1.530,2.920
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
