Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,0,21,"Jeff Wilkins kicks off 65 yards, returned by Jerious Norwood for 32 yards (tackle by Quinton Culberson)",0.000,1.400
3,14:52,1,10,ATL 37,0,21,Joey Harrington pass incomplete deep right intended for Roddy White (defended by Chris Draft),1.400,0.860
3,14:52,2,10,ATL 37,0,21,Joey Harrington pass complete short right to Warrick Dunn for 23 yards (tackle by Corey Chavous),0.860,2.920
3,14:17,1,10,STL 40,0,21,Joey Harrington pass complete short left to Alge Crumpler for 2 yards (tackle by Fakhir Brown),2.920,2.640
3,13:43,2,8,STL 38,0,21,Joey Harrington pass incomplete short left intended for Roddy White,2.640,1.950
3,13:36,3,8,STL 38,0,21,Joey Harrington pass incomplete deep left intended for Laurent Robinson,1.950,0.720
3,13:31,4,8,STL 38,0,21,"Michael Koenen punts 26 yards, fair catch by Brandon Williams",0.720,0.350
3,13:24,1,10,STL 12,0,21,Gus Frerotte pass complete short right to Brian Leonard for 5 yards (tackle by Demorrio Williams),-0.350,-0.230
3,12:50,2,5,STL 17,0,21,Steven Jackson right tackle for 3 yards (tackle by Jamaal Anderson),-0.230,-0.480
3,12:13,3,2,STL 20,0,21,Gus Frerotte pass incomplete short left intended for Isaac Bruce,-0.480,-2.030
3,12:05,4,2,STL 20,0,21,"Donnie Jones punts 57 yards, returned by Adam Jennings for 77 yards. Penalty on Stephen Nicholas: Illegal Block Above the Waist, 10 yards, Penalty on Adam Jennings: Unsportsmanlike Conduct (Declined)",-2.030,0.140
3,11:43,1,10,ATL 16,0,21,Jerious Norwood left end for 36 yards (tackle by Corey Chavous),-0.140,2.390
3,11:07,1,10,STL 48,0,21,Joey Harrington pass complete short left to Alge Crumpler for 2 yards (tackle by Chris Draft),2.390,2.120
