Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
4,13:27,3,2,KAN 14,10,13,Christian McCaffrey right tackle for -1 yards (tackle by Mike Pennel and Leo Chenal),4.150,2.540
4,12:46,4,3,KAN 15,10,13,Brock Purdy pass complete short right to George Kittle for 4 yards (tackle by Justin Reid),2.540,4.840
4,12:12,1,10,KAN 11,10,13,Christian McCaffrey left guard for 1 yard (tackle by Malik Herring and Neil Farrell),4.840,4.320
4,11:27,2,9,KAN 10,16,13,"Brock Purdy pass complete short middle to Jauan Jennings for 10 yards, touchdown",4.320,7.000
4,11:22,,,KAN 15,16,13,Jake Moody kicks extra point blocked blocked by Leo Chenal,0.000,-1.000
4,11:22,,,SFO 35,16,13,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
4,11:22,1,10,KAN 25,16,13,Patrick Mahomes pass complete short left to Travis Kelce for 16 yards (tackle by Tashaun Gipson),0.610,1.660
4,10:44,1,10,KAN 41,16,13,Isiah Pacheco up the middle for no gain (tackle by Arik Armstead),1.660,1.120
4,10:10,2,10,KAN 41,16,13,Patrick Mahomes pass incomplete short right intended for Rashee Rice,1.120,0.430
4,10:06,3,10,KAN 41,16,13,Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards (tackle by Fred Warner),0.430,2.520
4,9:22,1,10,SFO 46,16,13,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at SF-46 Patrick Mahomes pass incomplete deep middle",2.520,1.980
4,9:17,2,10,SFO 46,16,13,Patrick Mahomes pass complete deep left to Justin Watson for 25 yards (tackle by Ji'Ayir Brown),1.980,4.170
4,8:40,1,10,SFO 21,16,13,Isiah Pacheco left end for 9 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),4.170,5.160
4,8:00,2,1,SFO 12,16,13,Isiah Pacheco up the middle for 8 yards (tackle by Demetrius Flannigan-Fowles and Tashaun Gipson),5.160,6.280
4,7:19,1,4,SFO 4,16,13,Isiah Pacheco up the middle for 1 yard (tackle by Arik Armstead and Javon Hargrave),6.280,5.530
4,6:44,2,3,SFO 3,16,13,Patrick Mahomes pass incomplete short right intended for Rashee Rice (defended by Demetrius Flannigan-Fowles),5.530,4.720
4,6:35,3,3,SFO 3,16,13,Patrick Mahomes sacked by Javon Hargrave for -3 yards,4.720,2.990
4,5:49,4,6,SFO 6,16,16,Harrison Butker 24 yard field goal good,2.990,3.000
4,5:46,,,KAN 35,16,16,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,5:46,1,10,SFO 25,16,16,Brock Purdy pass complete deep left to Jauan Jennings for 23 yards (tackle by Trent McDuffie),0.610,2.130
4,5:01,1,10,SFO 48,16,16,Deebo Samuel right tackle for 9 yards (tackle by Willie Gay),2.130,2.800
4,4:11,2,1,KAN 43,16,16,Christian McCaffrey up the middle for 3 yards (tackle by Nick Bolton),2.800,2.920
4,3:27,1,10,KAN 40,16,16,Christian McCaffrey left tackle for 5 yards (tackle by Michael Danna),2.920,3.050
4,2:45,2,5,KAN 35,16,16,Brock Purdy pass complete short right to George Kittle for no gain (tackle by Trent McDuffie),3.050,2.340
4,2:00,3,5,KAN 35,16,16,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Trent McDuffie),2.340,0.980
4,1:57,4,5,KAN 35,19,16,Jake Moody 53 yard field goal good,0.980,3.000
4,1:53,,,SFO 35,19,16,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
4,1:53,1,10,KAN 25,19,16,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Fred Warner),0.610,1.280
4,1:37,2,1,KAN 34,19,16,Patrick Mahomes scrambles right end for 3 yards (tackle by Fred Warner),1.280,1.400
4,1:32,1,10,KAN 37,19,16,Patrick Mahomes pass complete short left to Noah Gray for 12 yards (tackle by Fred Warner),1.400,2.190
4,1:14,1,10,KAN 49,19,16,Patrick Mahomes pass complete short left to Justin Watson for 8 yards (tackle by Deommodore Lenoir and Ji'Ayir Brown),2.190,2.730
4,0:52,2,2,SFO 43,19,16,Patrick Mahomes pass incomplete short left intended for Justin Watson,2.730,2.010
4,0:48,3,2,SFO 43,19,16,Patrick Mahomes pass complete short right to Jerick McKinnon for 7 yards (tackle by Ji'Ayir Brown),2.010,3.180
4,0:40,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:40,1,10,SFO 36,19,16,Patrick Mahomes scrambles up the middle for 3 yards (tackle by Arik Armstead and Javon Hargrave),3.180,3.040
4,0:21,2,7,SFO 33,19,16,Patrick Mahomes pass incomplete short right,3.040,2.350
4,0:16,3,7,SFO 33,19,16,Patrick Mahomes pass complete short left to Travis Kelce for 22 yards (tackle by Ji'Ayir Brown),2.350,4.840
4,0:10,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:10,1,10,SFO 11,19,16,Patrick Mahomes pass incomplete short left intended for Travis Kelce,4.840,4.140
4,0:06,2,10,SFO 11,19,19,Harrison Butker 29 yard field goal good,4.140,3.000
4,0:03,,,KAN 35,19,19,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,0:03,1,10,SFO 25,19,19,Brock Purdy kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
,,,,,,,"49ers won the coin toss, 49ers to receive the overtime kickoff.",,
OT,15:00,,,KAN 35,19,19,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
OT,15:00,1,10,SFO 25,19,19,Brock Purdy pass incomplete short middle intended for Deebo Samuel,0.610,0.060
OT,14:55,2,10,SFO 25,19,19,"Penalty on Brandon Aiyuk: False Start, 5 yards (accepted) (no play)",0.060,-0.610
OT,14:55,2,15,SFO 20,19,19,Brock Purdy pass complete short middle to Christian McCaffrey for 2 yards (tackle by Chris Jones),-0.610,-1.020
OT,14:12,3,13,SFO 22,19,19,"Brock Purdy pass incomplete short middle. Penalty on Trent McDuffie: Defensive Holding, 5 yards (accepted) (no play)",-1.020,0.740
OT,14:05,1,10,SFO 27,19,19,Christian McCaffrey left end for 3 yards (tackle by Justin Reid),0.740,0.600
OT,13:23,2,7,SFO 30,19,19,Christian McCaffrey right guard for 5 yards (tackle by Drue Tranquill and Michael Danna),0.600,0.560
OT,12:38,3,2,SFO 35,19,19,Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Mike Edwards),0.560,1.990
OT,11:56,1,10,SFO 46,19,19,Christian McCaffrey left tackle for 4 yards (tackle by Leo Chenal and Nick Bolton),1.990,1.990
OT,11:12,2,6,SFO 50,19,19,Brock Purdy pass complete short left to Christian McCaffrey for 24 yards (tackle by L'Jarius Sneed),1.990,3.840
OT,10:32,1,10,KAN 26,19,19,Christian McCaffrey left end for 8 yards (tackle by Michael Danna and Drue Tranquill),3.840,4.450
OT,9:49,2,2,KAN 18,19,19,"Elijah Mitchell right end for no gain (tackle by Justin Reid). Penalty on Brayden Willis: Offensive Holding, 10 yards (accepted) (no play)",4.450,3.030
OT,9:25,2,12,KAN 28,19,19,Brock Purdy pass complete short right to Kyle Juszczyk for 13 yards,3.030,4.580
OT,8:51,1,10,KAN 15,19,19,Christian McCaffrey right guard for 6 yards (tackle by Leo Chenal),4.580,5.030
OT,8:11,2,4,KAN 9,19,19,Christian McCaffrey right guard for no gain (tackle by Tershawn Wharton and Mike Pennel),5.030,4.220
OT,7:29,3,4,KAN 9,19,19,Brock Purdy pass incomplete short right,4.220,2.900
OT,7:25,4,4,KAN 9,22,19,Jake Moody 27 yard field goal good,2.900,3.000
OT,7:22,,,SFO 35,22,19,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
OT,7:22,1,10,KAN 25,22,19,Isiah Pacheco up the middle for 3 yards (tackle by Javon Hargrave and Nick Bosa),0.610,0.470
OT,6:50,2,7,KAN 28,22,19,Patrick Mahomes pass complete short left to Rashee Rice for 6 yards (tackle by Deommodore Lenoir and Fred Warner),0.470,0.560
OT,6:29,3,1,KAN 34,22,19,Isiah Pacheco up the middle for no gain (tackle by Javon Hargrave and Oren Burks),0.560,-1.110
OT,6:05,,,,,,Timeout #1 by Kansas City Chiefs,,
OT,6:05,4,1,KAN 34,22,19,Patrick Mahomes right tackle for 8 yards (tackle by Fred Warner),-1.110,1.730
OT,5:28,1,10,KAN 42,22,19,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for -3 yards (tackle by Charvarius Ward),1.730,0.780
OT,4:46,2,13,KAN 39,22,19,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 7 yards (tackle by Logan Ryan and Deommodore Lenoir),0.780,1.030
OT,4:10,3,6,KAN 46,22,19,Patrick Mahomes pass complete short right to Rashee Rice for 13 yards (tackle by Charvarius Ward),1.030,2.850
OT,3:33,1,10,SFO 41,22,19,Patrick Mahomes pass complete short right to Isiah Pacheco for 4 yards (tackle by Oren Burks),2.850,2.850
OT,2:48,,,,,,Timeout #1 by San Francisco 49ers,,
OT,2:48,2,6,SFO 37,22,19,Patrick Mahomes pass complete short right to Isiah Pacheco for 5 yards (tackle by Fred Warner),2.850,2.810
OT,2:07,3,1,SFO 32,22,19,Patrick Mahomes scrambles up the middle for 19 yards (tackle by Tashaun Gipson),2.810,4.710
OT,1:26,1,10,SFO 13,22,19,Isiah Pacheco up the middle for 3 yards (tackle by Kevin Givens),4.710,4.580
OT,0:50,2,7,SFO 10,22,19,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Ji'Ayir Brown and Nick Bosa),4.580,6.510
OT,0:06,1,3,SFO 3,22,25,"Patrick Mahomes pass complete short right to Mecole Hardman for 3 yards, touchdown",6.510,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
