Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA
2,11:33,3,11,IND 26,3,7,Gardner Minshew pass incomplete short right intended for Mo Alie-Cox,-0.620,-1.630
2,11:28,4,11,IND 26,3,7,"Rigoberto Sanchez punts 50 yards, fair catch by DeAndre Carter at LV-24",-1.630,-0.540
2,11:21,1,10,LVR 24,3,7,Zamir White up the middle for 5 yards (tackle by Zaire Franklin and Julius Brents),0.540,0.670
2,10:51,2,5,LVR 29,3,7,"Zamir White up the middle for 3 yards (tackle by Taven Bryan and Eric Johnson). Penalty on Chris Lammons: Illegal Use of Hands / Defense, 5 yards (accepted)",0.670,1.400
2,10:29,1,10,LVR 37,3,7,Zamir White up the middle for 4 yards (tackle by Chris Lammons and Zaire Franklin),1.400,1.400
2,9:51,2,6,LVR 41,3,7,Aidan O'Connell pass complete short right to Jakobi Meyers for 2 yards (tackle by E.J. Speed),1.400,0.960
2,9:13,3,4,LVR 43,3,7,Aidan O'Connell pass complete short middle to Davante Adams for 5 yards (tackle by E.J. Speed),0.960,2.130
2,8:38,1,10,LVR 48,3,7,Zamir White up the middle for 6 yards (tackle by Ronnie Harrison and Samson Ebukam),2.130,2.390
2,8:02,2,4,IND 46,3,7,Zamir White right guard for 3 yards (tackle by Zaire Franklin and Kwity Paye),2.390,2.080
2,7:19,3,1,IND 43,3,7,Aidan O'Connell pass incomplete deep middle intended for Tre Tucker,2.080,0.400
2,7:12,4,1,IND 43,3,7,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",0.400,0.070
2,7:12,4,6,IND 48,3,7,"AJ Cole punts 38 yards, fair catch by Josh Downs at IND-10",0.070,0.380
2,7:05,1,10,IND 10,3,7,Gardner Minshew pass complete short left to Michael Pittman for 11 yards (tackle by Tre'von Moehrig),-0.380,0.340
2,6:31,1,10,IND 21,3,7,Gardner Minshew pass complete short right to Jonathan Taylor for 8 yards (tackle by Jack Jones),0.340,0.880
2,5:53,2,2,IND 29,3,7,Jonathan Taylor up the middle for 4 yards (tackle by Divine Deablo and John Jenkins),0.880,1.140
2,5:11,1,10,IND 33,3,7,Gardner Minshew pass complete short left to Trey Sermon for 7 yards (tackle by Amik Robertson),1.140,1.540
2,4:44,2,3,IND 40,3,7,Gardner Minshew pass complete short middle to Trey Sermon for 2 yards (tackle by Marcus Epps),1.540,1.090
2,4:02,3,1,IND 42,3,13,"Gardner Minshew pass complete deep middle to Alec Pierce for 58 yards, touchdown",1.090,7.000
2,3:53,,,LVR 15,3,14,Matt Gay kicks extra point good,0.000,0.000
2,3:53,,,IND 35,3,14,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,3:53,1,10,LVR 25,3,14,Aidan O'Connell pass complete short left to Zamir White for 8 yards (tackle by Zaire Franklin),0.610,1.140
2,3:19,2,2,LVR 33,3,14,Zamir White up the middle for 9 yards (tackle by Nick Cross and Ronnie Harrison),1.140,1.730
2,2:43,1,10,LVR 42,3,14,Aidan O'Connell pass complete short middle to Jakobi Meyers for 14 yards (tackle by E.J. Speed),1.730,2.650
2,2:00,1,10,IND 44,3,14,Aidan O'Connell sacked by DeForest Buckner for -4 yards,2.650,1.570
2,1:17,2,14,IND 48,3,14,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.570,0.890
2,1:11,3,14,IND 48,3,14,Aidan O'Connell pass complete short right to Davante Adams for 6 yards (tackle by Julius Brents and Chris Lammons),0.890,0.460
2,1:02,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:02,4,8,IND 42,3,14,AJ Cole punts 36 yards downed by Luke Masterson,0.460,0.380
2,0:54,1,10,IND 6,3,14,Jonathan Taylor up the middle for 4 yards (tackle by Maxx Crosby),-0.380,-0.490
2,0:20,2,6,IND 10,3,14,Jonathan Taylor up the middle for 3 yards (tackle by Malcolm Koonce and Jerry Tillery),-0.490,-0.600
2,0:11,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:11,3,3,IND 13,3,14,Jonathan Taylor up the middle for 4 yards (tackle by Malcolm Koonce),-0.600,-0.060
Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,3,14,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,3,14,Zamir White up the middle for 4 yards (tackle by Kwity Paye),0.610,0.600
3,14:29,2,6,LVR 29,3,14,Zamir White right guard for 6 yards (tackle by Segun Olubi and Nick Cross),0.600,1.270
3,13:53,1,10,LVR 35,3,14,Aidan O'Connell pass complete short middle to Davante Adams for 11 yards (tackle by Zaire Franklin),1.270,1.990
3,13:19,1,10,LVR 46,3,14,Zamir White right tackle for 9 yards (tackle by Julius Brents and E.J. Speed),1.990,2.670
3,12:42,2,1,IND 45,3,14,Aidan O'Connell pass incomplete deep right,2.670,1.950
3,12:35,3,1,IND 45,3,14,Zamir White up the middle for -1 yards (tackle by Grover Stewart and Tyquan Lewis),1.950,0.200
3,11:46,4,2,IND 46,3,14,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",0.200,-0.130
3,11:43,4,7,LVR 49,3,14,"AJ Cole punts, touchback.. Penalty on E.J. Speed: Roughing the Kicker, 15 yards (accepted) (no play)",-0.130,3.180
3,11:35,1,10,IND 36,3,14,Zamir White left end for 2 yards (tackle by E.J. Speed),3.180,2.910
3,11:02,2,8,IND 34,3,14,Aidan O'Connell pass complete short middle to Austin Hooper for 8 yards (tackle by Zaire Franklin and E.J. Speed),2.910,3.840
3,10:35,1,10,IND 26,3,14,Aidan O'Connell pass complete short right to Austin Hooper for 13 yards (tackle by Eric Johnson),3.840,4.710
3,9:53,1,10,IND 13,3,14,Zamir White up the middle for 5 yards (tackle by Samson Ebukam and Nick Cross),4.710,4.960
3,9:14,2,5,IND 8,3,14,Brandon Bolden left guard for 2 yards (tackle by Ronnie Harrison and E.J. Speed),4.960,4.560
3,8:39,3,3,IND 6,3,14,Brandon Bolden up the middle for 4 yards (tackle by Grover Stewart and Nick Cross),4.560,6.740
3,7:57,1,2,IND 2,3,14,Zamir White right guard for 1 yard (tackle by Zaire Franklin),6.740,5.910
3,7:22,2,1,IND 1,3,14,Zamir White up the middle for -3 yards (tackle by Dayo Odeyingbo),5.910,4.490
3,6:36,3,4,IND 4,9,14,"Aidan O'Connell pass complete short left to Davante Adams for 4 yards, touchdown",4.490,7.000
3,6:31,,,IND 15,10,14,Daniel Carlson kicks extra point good,0.000,0.000
3,6:31,,,LVR 35,10,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,6:31,1,10,IND 25,10,14,Gardner Minshew pass incomplete short left,0.610,0.060
3,6:27,2,10,IND 25,10,14,Gardner Minshew pass incomplete deep left intended for Kylen Granson,0.060,-0.620
3,6:22,3,10,IND 25,10,14,Gardner Minshew pass complete short middle to Kylen Granson for 13 yards (tackle by Nate Hobbs),-0.620,1.470
3,5:52,1,10,IND 38,10,14,Gardner Minshew pass complete short left to Mo Alie-Cox for 14 yards (tackle by Amik Robertson and Nate Hobbs),1.470,2.390
3,5:31,1,10,LVR 48,10,14,Gardner Minshew pass complete short left to Mo Alie-Cox for 4 yards (tackle by Amik Robertson),2.390,2.390
3,4:55,2,6,LVR 44,10,14,Jonathan Taylor left end for 5 yards (tackle by Robert Spillane),2.390,2.340
3,4:23,3,1,LVR 39,10,14,Jonathan Taylor up the middle for -1 yards (tackle by John Jenkins and Robert Spillane),2.340,0.590
3,3:42,4,2,LVR 40,10,14,Gardner Minshew pass complete short right to Michael Pittman for 20 yards (tackle by Nate Hobbs),0.590,4.240
3,3:17,1,10,LVR 20,10,14,Gardner Minshew pass incomplete short left intended for Michael Pittman,4.240,3.690
3,3:13,2,10,LVR 20,10,14,"Jonathan Taylor right tackle for no gain. Jonathan Taylor fumbles (forced by Maxx Crosby), recovered by Michael Pittman at LV-19",3.690,3.100
3,2:31,3,9,LVR 19,10,14,"Gardner Minshew pass complete short middle to Alec Pierce for no gain (tackle by Marcus Epps). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",3.100,1.820
3,2:03,3,19,LVR 29,10,14,Jonathan Taylor up the middle for 10 yards (tackle by Brandon Facyson and Malcolm Koonce),1.820,2.180
3,1:21,4,9,LVR 19,10,17,Matt Gay 38 yard field goal good,2.180,3.000
3,1:17,,,IND 35,10,17,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,1:17,1,10,LVR 25,10,17,Zamir White up the middle for 9 yards (tackle by Zaire Franklin and Nick Cross),0.610,1.280
3,0:41,2,1,LVR 34,10,17,Aidan O'Connell up the middle for 3 yards (tackle by Zaire Franklin),1.280,1.400
Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LVR 37,10,17,Zamir White left end for no gain (tackle by Segun Olubi),1.400,0.860
4,14:24,2,10,LVR 37,10,17,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Jaylon Jones),0.860,0.170
4,14:19,3,10,LVR 37,10,17,"Aidan O'Connell pass short left is intercepted by Jaylon Jones at LV-47 and returned for no gain, touchdown. Penalty on Jaylon Jones: Defensive Pass Interference, 12 yards (accepted) (no play)",0.170,2.190
4,14:08,1,10,LVR 49,10,17,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers (defended by Julius Brents),2.190,1.650
4,14:02,2,10,LVR 49,10,17,Aidan O'Connell pass complete short left to Zamir White for 6 yards (tackle by E.J. Speed),1.650,1.750
4,13:26,3,4,IND 45,10,17,Aidan O'Connell pass incomplete short left intended for Davante Adams,1.750,0.270
4,13:23,4,4,IND 45,10,17,AJ Cole punts 21 yards out of bounds,0.270,-0.540
4,13:14,1,10,IND 24,10,17,Jonathan Taylor up the middle for 15 yards (tackle by Tre'von Moehrig),0.540,1.530
4,12:35,1,10,IND 39,10,17,Jonathan Taylor up the middle for 6 yards (tackle by Maxx Crosby and Jack Jones),1.530,1.800
4,11:57,2,4,IND 45,10,17,Jonathan Taylor left tackle for 3 yards (tackle by John Jenkins),1.800,1.490
4,11:14,3,1,IND 48,10,17,Jonathan Taylor left end for 3 yards (tackle by Nate Hobbs and Maxx Crosby),1.490,2.320
4,10:35,1,10,LVR 49,10,17,Trey Sermon left end for 27 yards (tackle by Tre'von Moehrig and Jack Jones),2.320,4.110
4,9:48,1,10,LVR 22,10,17,Trey Sermon left tackle for 2 yards (tackle by Maxx Crosby and Bilal Nichols),4.110,3.830
4,9:07,2,8,LVR 20,10,17,Trey Sermon up the middle for 2 yards (tackle by Robert Spillane),3.830,3.400
4,8:26,3,6,LVR 18,10,17,Tyler Goodson up the middle for 3 yards (tackle by Bilal Nichols),3.400,2.540
4,7:37,,,,,,Timeout #1 by Indianapolis Colts,,
4,7:37,4,3,LVR 15,10,20,Matt Gay 33 yard field goal good,2.540,3.000
4,7:34,,,IND 35,10,20,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,7:34,1,10,LVR 25,10,20,Aidan O'Connell pass complete short middle to Jakobi Meyers for 13 yards (tackle by Nick Cross),0.610,1.470
4,7:09,1,10,LVR 38,10,20,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.470,0.920
4,7:04,2,10,LVR 38,10,20,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,0.920,0.230
4,6:58,3,10,LVR 38,10,20,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,0.230,-0.850
4,6:54,4,10,LVR 38,10,20,Aidan O'Connell pass complete deep right to Tre Tucker for 16 yards (tackle by Julius Brents),-0.850,2.520
4,6:22,1,10,IND 46,10,20,Aidan O'Connell pass complete short left to Davante Adams for 13 yards (tackle by Jaylon Jones),2.520,3.380
4,6:00,1,10,IND 33,10,20,Aidan O'Connell pass complete short right to Davante Adams for 14 yards,3.380,4.310
4,5:21,1,10,IND 19,10,20,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards,4.310,4.350
4,4:48,2,6,IND 15,10,20,Aidan O'Connell pass incomplete short right intended for Davante Adams,4.350,3.580
4,4:43,3,6,IND 15,10,20,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Julius Brents),3.580,2.470
4,4:39,4,6,IND 15,13,20,Daniel Carlson 33 yard field goal good,2.470,3.000
4,4:35,,,LVR 35,13,20,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,4:35,1,10,IND 25,13,20,Jonathan Taylor right tackle for 11 yards (tackle by Nate Hobbs and Divine Deablo),0.610,1.330
4,3:53,1,10,IND 36,13,20,Jonathan Taylor up the middle for 2 yards (tackle by John Jenkins and Bilal Nichols),1.330,1.060
4,3:46,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:46,2,8,IND 38,13,20,Gardner Minshew pass incomplete short right,1.060,0.370
4,3:39,3,8,IND 38,13,20,"Gardner Minshew pass incomplete deep right intended for Michael Pittman. Penalty on Janarius Robinson: Defensive Offside, 5 yards (declined) . Penalty on Jack Jones: Defensive Pass Interference, 26 yards (accepted) (no play)",0.370,3.180
4,3:34,1,10,LVR 36,13,20,Trey Sermon up the middle for 3 yards (tackle by John Jenkins),3.180,3.040
4,3:28,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:28,2,7,LVR 33,13,20,Gardner Minshew pass complete short left to Michael Pittman for 4 yards (tackle by Marcus Epps and Brandon Facyson),3.040,2.870
4,3:24,3,3,LVR 29,13,20,Trey Sermon left guard for -2 yards (tackle by Maxx Crosby),2.870,1.350
4,3:20,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:20,4,5,LVR 31,13,20,"Matt Gay yard field goal no good. Penalty on Jack Jones: Defensive Offside, 4 yards (accepted) (no play)",1.350,1.890
4,3:15,4,1,LVR 26,13,23,Matt Gay 45 yard field goal good,1.890,3.000
4,3:11,,,IND 35,13,23,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,3:11,1,10,LVR 25,13,23,Aidan O'Connell pass complete deep left to Tre Tucker for 20 yards (tackle by Jaylon Jones),0.610,1.930
4,2:47,1,10,LVR 45,13,23,Ameer Abdullah up the middle for 4 yards (tackle by Zaire Franklin),1.930,1.920
4,2:26,2,6,LVR 49,13,23,Aidan O'Connell pass complete short right to Davante Adams for 16 yards (tackle by Nick Cross),1.920,3.250
4,2:03,1,10,IND 35,13,23,Aidan O'Connell pass complete short right to Davante Adams for 15 yards,3.250,4.240
4,1:56,1,10,IND 20,13,23,Aidan O'Connell pass complete short middle to Jakobi Meyers for 10 yards (tackle by Chris Lammons and E.J. Speed),4.240,4.910
4,1:35,1,10,IND 10,13,23,Aidan O'Connell pass incomplete short middle intended for Tre Tucker,4.910,4.190
4,1:31,2,10,IND 10,13,23,Aidan O'Connell pass complete short middle to Davante Adams for 9 yards (tackle by Ronnie Harrison),4.190,5.170
4,1:13,3,1,IND 1,13,23,Aidan O'Connell up the middle for no gain (tackle by DeForest Buckner),5.170,3.550
4,0:46,4,1,IND 1,19,23,"Aidan O'Connell pass complete short left to Davante Adams for 1 yard, touchdown",3.550,7.000
4,0:43,,,IND 15,20,23,Daniel Carlson kicks extra point good,0.000,0.000
4,0:43,,,LVR 35,20,23,"Daniel Carlson kicks onside 16 yards, returned by Rodney Thomas for no gain",0.000,2.190
4,0:42,1,10,IND 49,20,23,Gardner Minshew kneels for -1 yards,2.190,1.510
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
