Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
2,4:46,1,10,CAR 25,14,0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Denzel Ward),0.610,0.060
2,4:39,2,10,CAR 25,14,0,Baker Mayfield pass complete short left to Christian McCaffrey for 7 yards (tackle by Jeremiah Owusu-Koramoah),0.060,0.300
2,4:02,3,3,CAR 32,14,0,Baker Mayfield pass complete short left to D.J. Moore for 16 yards (tackle by Martin Emerson),0.300,2.130
2,3:33,1,10,CAR 48,14,0,Baker Mayfield pass complete deep left to Ian Thomas for 50 yards (tackle by John Johnson),2.130,6.740
2,2:45,,,,,,Timeout #1 by Carolina Panthers,,
2,2:45,1,2,CLE 2,14,0,Baker Mayfield pass complete short left to Tommy Tremble for 1 yard (tackle by Grant Delpit),6.740,5.910
2,2:00,2,1,CLE 1,14,6,"Christian McCaffrey up the middle for 1 yard, touchdown",5.910,7.000
2,1:57,,,CLE 15,14,7,Eddy Pineiro kicks extra point good,0.000,0.000
2,1:57,,,CAR 35,14,7,"Eddy Pineiro kicks off 63 yards, out of bounds",0.000,1.600
2,1:57,1,10,CLE 40,14,7,Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones,1.600,1.050
2,1:52,2,10,CLE 40,14,7,Kareem Hunt up the middle for 2 yards (tackle by Matthew Ioannidis and Frankie Luvu),1.050,0.630
2,1:13,3,8,CLE 42,14,7,"Penalty on Amari Cooper: False Start, 5 yards (accepted) (no play)",0.630,-0.030
2,1:17,3,13,CLE 37,14,7,"Jacoby Brissett pass complete to Kareem Hunt for 24 yards (tackle by Derrick Brown). Penalty on Xavier Woods: Low Block, 15 yards (accepted)",-0.030,3.970
2,1:07,1,10,CAR 24,14,7,Nick Chubb right guard for 6 yards (tackle by Xavier Woods and Derrick Brown),3.970,4.290
2,0:46,2,4,CAR 18,14,7,Nick Chubb right tackle for 9 yards (tackle by Jaycee Horn),4.290,5.140
2,0:40,1,9,CAR 9,14,7,Jacoby Brissett pass incomplete short middle,5.140,4.380
2,0:34,2,9,CAR 9,14,7,Nick Chubb right end for 1 yard (tackle by Frankie Luvu),4.380,3.580
2,0:29,,,,,,Timeout #2 by Cleveland Browns,,
2,0:29,3,8,CAR 8,14,7,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,3.580,2.950
2,0:24,,,,,,Timeout #2 by Carolina Panthers,,
2,0:24,4,8,CAR 8,17,7,Cade York 26 yard field goal good,2.950,3.000
2,0:21,,,CLE 35,17,7,"Penalty on CLE: False Start, 5 yards (accepted) (no play)",0.000,0.000
2,0:21,,,,,,Timeout #3 by Cleveland Browns,,
2,0:21,,,CLE 30,17,7,"Cade York kicks off 70 yards, touchback.",0.000,0.610
2,0:21,1,10,CAR 25,17,7,Baker Mayfield pass incomplete short left intended for Christian McCaffrey,0.610,0.060
2,0:15,2,10,CAR 25,17,7,Baker Mayfield kneels for -1 yards,0.060,-0.760
Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,17,7,"Eddy Pineiro kicks off 68 yards, returned by Jerome Ford for 29 yards (tackle by Sean Chandler and Myles Hartsfield)",0.000,0.670
3,14:55,1,10,CLE 26,17,7,Jacoby Brissett pass incomplete short right intended for Demetric Felton,0.670,0.130
3,14:52,2,10,CLE 26,17,7,Nick Chubb right guard for 3 yards (tackle by Brian Burns and Derrick Brown),0.130,-0.160
3,14:11,3,7,CLE 29,17,7,Jacoby Brissett pass complete short left to Harrison Bryant for 10 yards (tackle by Frankie Luvu),-0.160,1.530
3,13:32,1,10,CLE 39,17,7,Nick Chubb right end for 5 yards (tackle by Xavier Woods and Yetur Gross-Matos),1.530,1.660
3,13:07,2,5,CLE 44,17,7,Nick Chubb right tackle for 3 yards (tackle by Xavier Woods and Matthew Ioannidis),1.660,1.360
3,12:22,3,2,CLE 47,17,7,Jacoby Brissett pass complete short right to Kareem Hunt for 1 yard (tackle by Shaq Thompson and Xavier Woods),1.360,-0.190
3,11:42,4,1,CLE 48,17,7,Jacoby Brissett up the middle for 2 yards (tackle by Shaq Thompson and Phil Hoskins),-0.190,2.260
3,11:07,1,10,CLE 50,17,7,Anthony Schwartz for 15 yards (tackle by Xavier Woods),2.260,3.250
3,10:23,1,10,CAR 35,17,7,Nick Chubb right end for 20 yards (tackle by Xavier Woods and Marquis Haynes),3.250,4.580
3,9:36,1,10,CAR 15,17,7,Kareem Hunt left tackle for 4 yards (tackle by Damien Wilson and Jeremy Chinn),4.580,4.640
3,8:50,2,6,CAR 11,17,7,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",4.640,3.810
3,8:33,2,11,CAR 16,17,7,Kareem Hunt left guard for no gain (tackle by Brian Burns),3.810,3.040
3,7:50,3,11,CAR 16,17,7,Jacoby Brissett pass incomplete short right intended for Harrison Bryant,3.040,2.380
3,7:46,4,11,CAR 16,20,7,Cade York 34 yard field goal good,2.380,3.000
3,7:42,,,CLE 35,20,7,"Cade York kicks off 64 yards, returned by Andre Roberts for 17 yards (tackle by Jerome Ford)",0.000,0.040
3,7:37,1,10,CAR 18,20,7,Christian McCaffrey up the middle for 4 yards (tackle by Anthony Walker and Jadeveon Clowney),0.040,0.140
3,7:01,2,6,CAR 22,20,7,"Baker Mayfield pass incomplete short right intended for Robbie Anderson. Penalty on Martin Emerson: Defensive Pass Interference, 6 yards (accepted) (no play)",0.140,0.810
3,6:54,1,10,CAR 28,20,7,D'Onta Foreman left guard for 4 yards (tackle by Sione Takitaki),0.810,0.800
3,6:16,2,6,CAR 32,20,7,Baker Mayfield sacked by Myles Garrett for -6 yards,0.800,-0.690
3,5:30,3,12,CAR 26,20,7,"Baker Mayfield sacked by Myles Garrett for -5 yards. Baker Mayfield fumbles (forced by Myles Garrett), recovered by Baker Mayfield at CAR-21 (tackle by Myles Garrett)",-0.690,-1.960
3,4:36,4,17,CAR 21,20,7,"Johnny Hekker punts 61 yards, returned by Demetric Felton for 15 yards (tackle by Giovanni Ricci and Tommy Tremble)",-1.960,-1.140
3,4:24,1,10,CLE 33,20,7,Kareem Hunt left guard for 1 yard (tackle by Brian Burns and Cory Littleton),1.140,0.730
3,3:52,2,9,CLE 34,20,7,Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones,0.730,0.040
3,3:49,3,9,CLE 34,20,7,Jacoby Brissett pass complete short right to David Njoku for 7 yards (tackle by C.J. Henderson),0.040,-0.650
3,2:59,4,2,CLE 41,20,7,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",-0.650,-0.980
3,2:45,4,7,CLE 36,20,7,"Corey Bojorquez punts 49 yards, returned by Andre Roberts for 10 yards (tackle by Sione Takitaki)",-0.980,-0.610
3,2:35,1,10,CAR 25,20,7,D.J. Moore left end for 7 yards (tackle by John Johnson),0.610,1.010
3,1:53,2,3,CAR 32,20,7,D'Onta Foreman up the middle for 1 yard (tackle by Jacob Phillips and Jadeveon Clowney),1.010,0.430
3,1:14,3,2,CAR 33,20,7,Baker Mayfield pass complete short right to Ian Thomas for 3 yards (tackle by Jacob Phillips),0.430,1.330
3,0:39,1,10,CAR 36,20,7,"Pat Elflein aborted snap, recovered by Christian McCaffrey at CAR-36 Christian McCaffrey for no gain (tackle by Denzel Ward and John Johnson)",1.330,3.180
3,0:15,1,10,CLE 36,20,7,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Myles Garrett),3.180,2.640
3,0:10,2,10,CLE 36,20,7,Christian McCaffrey up the middle for 3 yards (tackle by Alex Wright),2.640,2.350
Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,CLE 33,20,7,Christian McCaffrey right guard for 9 yards (tackle by Ronnie Harrison),2.350,3.970
4,14:28,1,10,CLE 24,20,7,Baker Mayfield pass complete short left to Shi Smith for 12 yards (tackle by John Johnson),3.970,4.780
4,13:48,1,10,CLE 12,20,7,Christian McCaffrey up the middle for 5 yards (tackle by Jordan Elliott and Jacob Phillips),4.780,5.020
4,13:04,2,5,CLE 7,20,7,Baker Mayfield pass incomplete short right intended for Robbie Anderson,5.020,4.160
4,12:58,3,5,CLE 7,20,13,"Baker Mayfield scrambles up the middle for 7 yards, touchdown",4.160,7.000
4,12:51,,,CLE 15,20,14,Eddy Pineiro kicks extra point good,0.000,0.000
4,12:51,,,CAR 35,20,14,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
4,12:51,1,10,CLE 25,20,14,Nick Chubb right tackle for 2 yards (tackle by Brian Burns),0.610,0.330
4,12:12,2,8,CLE 27,20,14,Jacoby Brissett scrambles left end for 4 yards (tackle by Bravvion Roy),0.330,0.170
4,11:31,3,4,CLE 31,20,14,Jacoby Brissett pass complete short right to Anthony Schwartz for 19 yards (tackle by Damien Wilson),0.170,2.260
4,10:47,1,10,CLE 50,20,14,Nick Chubb right end for 16 yards (tackle by Jeremy Chinn),2.260,3.310
4,10:03,1,10,CAR 34,20,14,Nick Chubb right guard for 9 yards (tackle by Jaycee Horn),3.310,3.990
4,9:17,2,1,CAR 25,20,14,Kareem Hunt for 2 yards (tackle by Frankie Luvu),3.990,4.040
4,8:33,1,10,CAR 23,20,14,Kareem Hunt left end for 4 yards (tackle by Brian Burns and Shaq Thompson),4.040,4.050
4,7:44,2,6,CAR 19,20,14,Kareem Hunt left tackle for 2 yards (tackle by Shaq Thompson),4.050,3.660
4,7:03,3,4,CAR 17,20,14,Kareem Hunt up the middle for -1 yards (tackle by Henry Anderson),3.660,2.300
4,6:19,4,5,CAR 18,23,14,Cade York 36 yard field goal good,2.300,3.000
4,6:13,,,CLE 35,23,14,"Cade York kicks off 65 yards, touchback.",0.000,0.610
4,6:13,1,10,CAR 25,23,20,"Baker Mayfield pass complete deep middle to Robbie Anderson for 75 yards, touchdown",0.610,7.000
4,6:02,,,CLE 15,23,21,Eddy Pineiro kicks extra point good,0.000,0.000
4,6:02,,,CAR 35,23,21,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
4,6:02,1,10,CLE 25,23,21,"Jacoby Brissett pass complete short right to David Njoku for no gain (tackle by Damien Wilson). Penalty on James Hudson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.610,0.280
4,5:36,1,15,CLE 20,23,21,Jacoby Brissett pass complete to Harrison Bryant for 8 yards (tackle by Damien Wilson and Derrick Brown),0.280,0.470
4,5:21,2,7,CLE 28,23,21,Nick Chubb up the middle for 3 yards (tackle by Yetur Gross-Matos),0.470,0.170
4,4:13,3,4,CLE 31,23,21,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 5 yards (tackle by Donte Jackson),0.170,1.330
4,3:31,1,10,CLE 36,23,21,Nick Chubb left guard for 2 yards (tackle by Shaq Thompson and Marquis Haynes),1.330,1.060
4,2:42,2,8,CLE 38,23,21,"Jacoby Brissett pass incomplete deep right intended for Amari Cooper. Penalty on Jaycee Horn: Defensive Holding, 5 yards (accepted) (no play)",1.060,1.800
4,2:36,1,10,CLE 43,23,21,Nick Chubb right tackle for -1 yards (tackle by Henry Anderson),1.800,1.120
4,2:32,,,,,,Timeout #1 by Carolina Panthers,,
4,2:32,2,11,CLE 42,23,21,Jacoby Brissett pass complete to Nick Chubb for 2 yards (tackle by Frankie Luvu),1.120,0.690
4,2:26,,,,,,Timeout #2 by Carolina Panthers,,
4,2:26,3,9,CLE 44,23,21,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,0.690,-0.460
4,2:21,4,9,CLE 44,23,21,"Corey Bojorquez punts 56 yards, touchback.",-0.460,-0.280
4,2:14,1,10,CAR 20,23,21,Baker Mayfield pass complete short left to D.J. Moore for 26 yards (tackle by Grant Delpit),0.280,1.990
4,2:00,1,10,CAR 46,23,21,Christian McCaffrey up the middle for 4 yards (tackle by Anthony Walker),1.990,1.990
4,1:36,2,6,CAR 50,23,21,"Baker Mayfield pass complete short right to Christian McCaffrey for 21 yards (tackle by John Johnson). Penalty on John Johnson: Horse Collar Tackle, 15 yards (accepted)",1.990,4.650
4,1:27,1,10,CLE 14,23,21,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CLE-15 Baker Mayfield for no gain",4.650,3.850
4,1:24,,,,,,Timeout #1 by Cleveland Browns,,
4,1:24,2,11,CLE 15,23,21,Christian McCaffrey up the middle for no gain (tackle by Jeremiah Owusu-Koramoah and John Johnson),3.850,3.060
4,1:20,,,,,,Timeout #2 by Cleveland Browns,,
4,1:20,3,11,CLE 15,23,21,Christian McCaffrey up the middle for -1 yards (tackle by Jeremiah Owusu-Koramoah),3.060,2.380
4,1:17,,,,,,Timeout #3 by Cleveland Browns,,
4,1:17,4,12,CLE 16,23,24,Eddy Pineiro 34 yard field goal good,2.380,3.000
4,1:13,,,CAR 35,23,24,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
4,1:13,1,10,CLE 25,23,24,"Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones. Penalty on Brian Burns: Roughing the Passer, 15 yards (accepted) (no play)",0.610,1.600
4,1:09,1,10,CLE 40,23,24,Jacoby Brissett pass complete short right to Kareem Hunt for -2 yards (tackle by Marquis Haynes),1.600,0.780
4,0:47,2,12,CLE 38,23,24,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 13 yards (tackle by Jeremy Chinn),0.780,2.320
4,0:29,1,10,CAR 49,23,24,Jacoby Brissett spiked the ball,2.320,1.780
4,0:29,2,10,CAR 49,23,24,Jacoby Brissett pass complete short right to Amari Cooper for 9 yards (tackle by C.J. Henderson),1.780,2.280
4,0:13,3,1,CAR 40,23,24,Jacoby Brissett spiked the ball,2.280,0.590
4,0:13,4,1,CAR 40,26,24,Cade York 58 yard field goal good,0.590,3.000
4,0:08,,,CLE 35,26,24,"Cade York kicks off 65 yards, touchback.",0.000,0.610
4,0:08,1,10,CAR 25,26,24,"Baker Mayfield pass complete short middle to Christian McCaffrey for 1 yard, lateral to D.J. Moore for no gain (tackle by Myles Garrett)",0.610,-0.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
