Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1,3:42,2,9,IND 28,0,7,Andrew Luck pass complete short middle to T.Y. Hilton for 20 yards (tackle by Rahim Moore),0.330,2.130
1,3:01,1,10,IND 48,0,7,Dan Herron up the middle for 3 yards (tackle by Malik Jackson),2.130,1.990
1,2:25,2,7,DEN 49,0,7,Andrew Luck pass complete short left to Coby Fleener for 14 yards (tackle by David Bruton),1.990,3.250
1,2:08,1,10,DEN 35,0,7,Andrew Luck pass complete short left to Dwayne Allen for -3 yards (tackle by Todd Davis and Von Miller),3.250,2.300
1,1:22,2,13,DEN 38,0,7,Andrew Luck pass complete deep middle to T.Y. Hilton for 23 yards (tackle by David Bruton),2.300,4.580
1,0:48,1,10,DEN 15,0,7,Dan Herron left end for 6 yards (tackle by Marvin Austin),4.580,5.030
Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,DEN 9,0,7,Dan Herron up the middle for 3 yards (tackle by DeMarcus Ware),5.030,4.900
2,14:19,3,1,DEN 6,6,7,"Dan Herron left end for 6 yards, touchdown",4.900,7.000
2,14:19,,,DEN 2,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,14:19,,,IND 35,7,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,14:14,1,10,DEN 20,7,7,C.J. Anderson right tackle for 1 yard (tackle by Cory Redding),0.280,-0.130
2,13:42,2,9,DEN 21,7,7,Peyton Manning pass complete short middle to Emmanuel Sanders for 14 yards (tackle by D'Qwell Jackson),-0.130,1.270
2,13:19,1,10,DEN 35,7,7,Peyton Manning pass complete short left to C.J. Anderson for 2 yards (tackle by Vontae Davis),1.270,0.990
2,12:56,2,8,DEN 37,7,7,"Penalty on Jonathan Newsome: Neutral Zone Infraction, 5 yards (no play)",0.990,1.670
2,12:40,2,3,DEN 42,7,7,Ronnie Hillman up the middle for 10 yards (tackle by LaRon Landry),1.670,2.390
2,11:59,1,10,IND 48,7,7,Ronnie Hillman left end for -2 yards (tackle by Darius Butler),2.390,1.580
2,11:17,2,12,,7,7,Peyton Manning pass incomplete short left intended for Julius Thomas,1.580,0.890
2,11:12,3,12,,7,7,"Peyton Manning sacked by Jonathan Newsome for -9 yards. Peyton Manning fumbles (forced by Jonathan Newsome), recovered by Jerrell Freeman at DEN-41 (tackle by Manuel Ramirez)",0.890,-2.850
2,11:04,1,10,DEN 41,7,7,Andrew Luck pass complete short right to Jack Doyle for 3 yards (tackle by Von Miller),2.850,2.710
2,10:26,2,7,DEN 38,7,7,Andrew Luck pass complete short middle to Dan Herron for 10 yards (tackle by Steven Johnson),2.710,3.710
2,9:52,1,10,DEN 28,7,7,"Penalty on Khaled Holmes: False Start, 5 yards (no play)",3.710,3.380
2,9:38,1,15,DEN 33,7,7,Dan Herron right tackle for 3 yards (tackle by Brandon Marshall),3.380,2.900
2,8:57,2,12,DEN 30,7,7,Andrew Luck pass complete deep right to Donte Moncrief for 22 yards (tackle by Chris Harris). Penalty on Chris Harris: Defensive Holding (Declined),2.900,5.370
2,8:33,1,8,DEN 8,7,7,Dan Herron up the middle for 2 yards (tackle by Derek Wolfe and DeMarcus Ware),5.370,4.950
2,7:49,2,6,DEN 6,7,7,Andrew Luck pass incomplete short left intended for T.Y. Hilton,4.950,4.040
2,7:42,3,6,DEN 6,7,7,"Andrew Luck pass incomplete short right intended for T.Y. Hilton. Penalty on Aqib Talib: Defensive Holding, 3 yards (no play)",4.040,6.510
2,7:34,1,3,DEN 3,7,7,Andrew Luck pass incomplete short right intended for Donte Moncrief,6.510,5.530
2,7:28,2,3,DEN 3,13,7,"Andrew Luck pass complete short left to Dwayne Allen for 3 yards, touchdown",5.530,7.000
2,7:28,,,DEN 2,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,7:28,,,IND 35,14,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,7:23,1,10,DEN 20,14,7,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,0.280,-0.270
2,7:17,2,10,DEN 20,14,7,C.J. Anderson right tackle for 1 yard (tackle by D'Qwell Jackson),-0.270,-0.820
2,6:33,3,9,DEN 21,14,7,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,-0.820,-1.960
2,6:28,4,9,DEN 21,14,7,"Britton Colquitt punts 39 yards, returned by Josh Cribbs for 9 yards (tackle by Corey Nelson)",-1.960,-2.190
2,6:18,1,10,IND 49,14,7,"Penalty on Lance Louis: False Start, 5 yards (no play)",2.190,1.860
2,6:18,1,15,IND 44,14,7,"Andrew Luck for 20 yards (tackle by Brandon Marshall). Penalty on Aqib Talib: Defensive Holding, 5 yards",1.860,3.510
2,5:52,1,10,DEN 31,14,7,Dan Herron up the middle for 6 yards (tackle by Chris Harris),3.510,3.780
2,5:17,2,4,DEN 25,14,7,Dan Herron up the middle for no gain (tackle by Todd Davis),3.780,3.070
2,4:44,3,4,DEN 25,14,7,Andrew Luck pass incomplete short right intended for Coby Fleener,3.070,1.880
2,4:38,4,4,DEN 25,14,7,Adam Vinatieri 44 yard field goal no good,1.880,-1.200
2,4:33,1,10,DEN 34,14,7,C.J. Anderson up the middle for 14 yards (tackle by D'Qwell Jackson),1.200,2.130
2,4:08,1,10,DEN 48,14,7,C.J. Anderson left guard for 5 yards (tackle by LaRon Landry),2.130,2.260
2,3:46,2,5,IND 47,14,7,C.J. Anderson left guard for 3 yards (tackle by D'Qwell Jackson),2.260,1.950
2,3:01,3,2,IND 44,14,7,"Peyton Manning pass incomplete deep right intended for Wes Welker. Penalty on Vontae Davis: Defensive Holding, 5 yards (no play)",1.950,2.980
2,2:55,1,10,IND 39,14,7,Peyton Manning pass incomplete deep left intended for Demaryius Thomas,2.980,2.440
2,2:50,2,10,IND 39,14,7,Peyton Manning pass incomplete short right intended for Demaryius Thomas,2.440,1.750
2,2:47,3,10,IND 39,14,7,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,1.750,0.660
2,2:42,4,10,IND 39,14,7,Britton Colquitt punts 36 yards,0.660,0.380
2,2:32,1,10,IND 3,14,7,Andrew Luck pass complete short middle to Dan Herron for 3 yards (tackle by Steven Johnson),-0.380,-0.560
2,2:00,2,7,IND 6,14,7,Dan Herron left end for 8 yards (tackle by Todd Davis),-0.560,-0.280
2,1:54,1,10,IND 14,14,7,"Andrew Luck pass complete short left to Dan Herron for 2 yards (tackle by Bradley Roby). Penalty on Anthony Castonzo: Offensive Holding, 7 yards (no play)",-0.280,-0.650
2,1:47,1,17,IND 7,14,7,Andrew Luck pass incomplete short right intended for T.Y. Hilton,-0.650,-1.290
2,1:44,2,17,IND 7,14,7,Dan Herron right tackle for 5 yards (tackle by Von Miller),-1.290,-1.290
2,1:37,2,17,IND 7,14,7,Timeout #1 by Denver Broncos,-1.290,-1.650
2,1:37,3,12,IND 12,14,7,Andrew Luck pass incomplete deep middle intended for Donte Moncrief is intercepted by Bradley Roby at DEN-47 and returned for 2 yards,-1.650,-2.190
2,1:28,1,10,DEN 49,14,7,Peyton Manning pass incomplete short right intended for Demaryius Thomas,2.190,1.650
2,1:23,2,10,DEN 49,14,7,C.J. Anderson up the middle for 6 yards (tackle by LaRon Landry and Jerrell Freeman),1.650,1.750
2,0:49,3,4,IND 45,14,7,Peyton Manning pass complete deep middle to Emmanuel Sanders for 17 yards (tackle by Greg Toler),1.750,1.750
2,0:41,3,4,IND 45,14,7,Timeout #2 by Denver Broncos,1.750,3.710
2,0:41,1,10,IND 28,14,7,Peyton Manning pass complete short right to C.J. Anderson for 2 yards (tackle by Jerrell Freeman),3.710,3.440
2,0:18,2,8,IND 26,14,7,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,3.440,2.740
2,0:13,3,8,IND 26,14,7,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by Vontae Davis),2.740,2.740
2,0:07,3,8,IND 26,14,7,Timeout #1 by Indianapolis Colts,2.740,1.740
2,0:07,4,8,IND 26,14,10,Connor Barth 45 yard field goal good,1.740,3.000
2,0:07,,,DEN 35,14,10,Brandon McManus kicks off 32 yards,0.000,1.270
Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,14,10,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,14,10,C.J. Anderson left guard for 1 yard (tackle by Arthur Jones),0.280,-0.130
3,14:31,2,9,DEN 21,14,10,Peyton Manning pass complete short right to Virgil Green for 4 yards (tackle by Darius Butler),-0.130,-0.300
3,13:54,3,5,DEN 25,14,10,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders (defended by Greg Toler),-0.300,-1.700
3,13:45,4,5,DEN 25,14,10,"Britton Colquitt punts 47 yards, out of bounds",-1.700,-0.810
3,13:37,1,10,IND 28,14,10,Andrew Luck pass complete short right to Dwayne Allen for 12 yards (tackle by T.J. Ward),0.810,1.600
3,13:01,1,10,IND 40,14,10,Andrew Luck pass incomplete short left intended for Donte Moncrief,1.600,1.050
3,12:56,2,10,IND 40,14,10,Andrew Luck pass complete short middle to Zurlon Tipton for 12 yards (tackle by Aqib Talib),1.050,2.390
3,12:15,1,10,DEN 48,14,10,Dan Herron right tackle for 4 yards (tackle by DeMarcus Ware),2.390,2.390
3,11:40,2,6,DEN 44,14,10,Andrew Luck pass incomplete short left intended for Reggie Wayne,2.390,1.690
3,11:35,3,6,DEN 44,14,10,Andrew Luck pass complete short middle to Donte Moncrief for 10 yards (tackle by Bradley Roby),1.690,3.310
3,10:56,1,10,DEN 34,14,10,Andrew Luck pass complete short middle to Dan Herron for 4 yards (tackle by Marvin Austin),3.310,3.310
3,10:17,2,6,DEN 30,14,10,"Andrew Luck pass incomplete short left intended for Hakeem Nicks. Penalty on Dan Herron: Illegal Use of Hands, 10 yards (no play)",3.310,1.960
3,10:12,2,16,DEN 40,14,10,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by T.J. Ward),1.960,1.290
3,10:05,3,16,DEN 40,14,10,Andrew Luck pass complete deep middle to Coby Fleener for 32 yards (tackle by David Bruton),1.290,5.370
3,9:20,1,8,DEN 8,14,10,"Andrew Luck left end for 8 yards. Penalty on Khaled Holmes: Offensive Holding, 10 yards (no play)",5.370,4.240
3,9:14,1,18,DEN 18,14,10,Andrew Luck pass complete short left to Dan Herron for 3 yards (tackle by Todd Davis),4.240,3.460
3,8:29,2,15,DEN 15,20,10,"Andrew Luck pass complete short right to Hakeem Nicks for 15 yards, touchdown",3.460,7.000
3,8:29,,,DEN 2,21,10,Adam Vinatieri kicks extra point good,0.000,0.000
3,8:29,,,IND 35,21,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
3,8:21,1,10,DEN 20,21,10,Peyton Manning pass complete short left to Emmanuel Sanders for 3 yards (tackle by D'Qwell Jackson),0.280,0.140
3,7:55,2,7,DEN 23,21,10,C.J. Anderson right guard for 2 yards (tackle by D'Qwell Jackson and Arthur Jones),0.140,-0.300
3,7:14,3,5,DEN 25,21,10,Peyton Manning pass incomplete short middle intended for Wes Welker,-0.300,-1.700
3,7:10,4,5,DEN 25,21,10,"Britton Colquitt punts 44 yards, returned by Josh Cribbs for -1 yards (tackle by Omar Bolden)",-1.700,-0.940
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,7:04,1,10,IND 30,21,10,T.Y. Hilton left end for 1 yard (tackle by Lerentee McCray),0.940,0.530
3,6:37,2,9,IND 31,21,10,Andrew Luck pass complete short right to T.Y. Hilton for 11 yards (tackle by Aqib Talib),0.530,1.730
3,6:03,1,10,IND 42,21,10,Dan Herron right end for -3 yards (tackle by Von Miller),1.730,0.780
3,5:28,2,13,IND 39,21,10,Andrew Luck pass incomplete short left intended for Donte Moncrief,0.780,0.100
3,5:23,3,13,IND 39,21,10,Andrew Luck pass incomplete deep right intended for Donte Moncrief is intercepted by Rahim Moore at DEN-24,0.100,-0.540
3,5:13,1,10,DEN 24,21,10,Peyton Manning pass complete short right to Emmanuel Sanders for 1 yard (tackle by Jerrell Freeman),0.540,0.130
3,4:40,2,9,DEN 25,21,10,Peyton Manning pass complete short right to Julius Thomas for 4 yards (tackle by Greg Toler),0.130,-0.030
3,4:06,3,5,DEN 29,21,10,"Penalty on Shaun Phillips: Neutral Zone Infraction, 4 yards (no play)",-0.030,0.500
3,3:49,3,1,DEN 33,21,10,C.J. Anderson right tackle for 2 yards (tackle by Jerrell Freeman and Jonathan Newsome),0.500,1.270
3,3:20,1,10,DEN 35,21,10,Peyton Manning pass complete short middle to Julius Thomas for 6 yards (tackle by D'Qwell Jackson),1.270,1.530
3,2:56,2,4,DEN 41,21,10,Peyton Manning pass complete short middle to Julius Thomas for 4 yards (tackle by LaRon Landry),1.530,1.930
3,2:32,1,10,DEN 45,21,10,Peyton Manning pass complete short left to Demaryius Thomas for 10 yards (tackle by Vontae Davis),1.930,2.590
3,2:03,1,10,IND 45,21,10,C.J. Anderson left guard for 1 yard (tackle by D'Qwell Jackson),2.590,2.180
3,1:38,2,9,IND 44,21,10,Peyton Manning pass incomplete short right intended for Virgil Green,2.180,1.490
3,1:36,3,9,IND 44,21,10,Peyton Manning pass complete short right to Demaryius Thomas for 8 yards (tackle by Greg Toler),1.490,0.890
3,0:38,4,1,IND 36,21,10,C.J. Anderson right guard for 7 yards (tackle by Vontae Davis),0.890,3.640
Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,IND 29,21,10,C.J. Anderson left guard for 1 yard (tackle by Jonathan Newsome),3.640,3.240
4,14:31,2,9,IND 28,21,10,Peyton Manning pass complete short left to Emmanuel Sanders for 5 yards (tackle by Vontae Davis),3.240,3.200
4,13:59,3,4,IND 23,21,10,Peyton Manning pass incomplete short right intended for Emmanuel Sanders (defended by Darius Butler),3.200,2.000
4,13:55,4,4,IND 23,21,13,Connor Barth 41 yard field goal good,2.000,3.000
4,13:55,,,DEN 35,21,13,"Brandon McManus kicks off 73 yards, returned by Josh Cribbs for 32 yards (tackle by Steven Johnson)",0.000,-0.540
4,13:45,1,10,IND 24,21,13,Andrew Luck pass incomplete short middle intended for Donte Moncrief (defended by Chris Harris),0.540,0.000
4,13:41,2,10,IND 24,21,13,Andrew Luck pass incomplete deep middle intended for T.Y. Hilton (defended by Aqib Talib),0.000,-0.690
4,13:36,3,10,IND 24,21,13,Andrew Luck pass incomplete short right intended for Coby Fleener (defended by T.J. Ward),-0.690,-1.770
4,13:31,4,10,IND 24,21,13,"Pat McAfee punts 42 yards, returned by Wes Welker for -1 yards (tackle by Dewey McDonald)",-1.770,-1.140
4,13:21,1,10,DEN 33,21,13,Peyton Manning pass incomplete short left intended for Emmanuel Sanders (defended by Vontae Davis),1.140,0.590
4,13:16,2,10,DEN 33,21,13,Peyton Manning pass complete short right to Emmanuel Sanders for 3 yards (tackle by LaRon Landry),0.590,0.300
4,12:34,3,7,DEN 36,21,13,Peyton Manning pass incomplete short left intended for Emmanuel Sanders (defended by Vontae Davis),0.300,-0.980
4,12:30,4,7,DEN 36,21,13,"Britton Colquitt punts 30 yards, out of bounds",-0.980,-1.200
4,12:20,1,10,IND 34,21,13,Dan Herron left guard for 1 yard (tackle by Steven Johnson),1.200,0.790
4,11:37,2,9,IND 35,21,13,Andrew Luck pass complete deep middle to T.Y. Hilton for 18 yards (tackle by Aqib Talib),0.790,2.460
4,10:57,1,10,DEN 47,21,13,Dan Herron left guard for 6 yards (tackle by Steven Johnson),2.460,2.720
4,10:22,2,4,DEN 41,21,13,Zurlon Tipton left guard for 5 yards (tackle by Brandon Marshall and Terrance Knighton),2.720,3.180
4,9:43,1,10,DEN 36,21,13,Zurlon Tipton right guard for 9 yards (tackle by Malik Jackson and Steven Johnson),3.180,3.850
4,9:06,2,1,DEN 27,21,13,Dan Herron up the middle for 3 yards (tackle by Derek Wolfe),3.850,3.970
4,8:24,1,10,DEN 24,21,13,Andrew Luck pass complete short right to Jack Doyle for 8 yards (tackle by Rahim Moore),3.970,4.650
4,7:46,2,2,DEN 16,21,13,Dan Herron left guard for 1 yard (tackle by Derek Wolfe),4.650,4.170
4,7:02,3,1,DEN 15,21,13,Dan Herron up the middle for 2 yards (tackle by Terrance Knighton),4.170,4.710
4,6:22,1,10,DEN 13,21,13,Dan Herron up the middle for 1 yard (tackle by Sylvester Williams),4.710,4.220
4,5:41,2,9,DEN 12,21,13,Andrew Luck pass complete short right to Jack Doyle for 3 yards (tackle by Todd Davis and Lerentee McCray),4.220,3.880
4,4:53,3,6,DEN 9,21,13,Dan Herron right tackle for -3 yards (tackle by Von Miller),3.880,2.630
4,4:11,4,9,DEN 12,24,13,Adam Vinatieri 30 yard field goal good,2.630,3.000
4,4:11,,,IND 35,24,13,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
4,4:06,1,10,DEN 20,24,13,Peyton Manning pass complete short right to Julius Thomas for 4 yards (tackle by Greg Toler),0.280,0.270
4,4:02,2,6,DEN 24,24,13,Peyton Manning pass complete short middle to Wes Welker for 20 yards (tackle by Mike Adams),0.270,1.860
4,3:39,1,10,DEN 44,24,13,Peyton Manning pass complete short right to C.J. Anderson for 2 yards (tackle by Jerrell Freeman and Greg Toler),1.860,1.590
4,3:14,2,8,DEN 46,24,13,Peyton Manning pass incomplete deep middle intended for Andre Caldwell (defended by Vontae Davis),1.590,0.890
4,3:09,3,8,DEN 46,24,13,Peyton Manning pass incomplete short middle intended for Demaryius Thomas,0.890,-0.320
4,3:04,4,8,DEN 46,24,13,Peyton Manning pass complete short middle to C.J. Anderson for 7 yards (tackle by LaRon Landry and Ricky Jean-Francois),-0.320,-1.990
,,,,,,,"DEN challenged the first down ruling, and the play was upheld.",,
4,2:50,1,10,IND 46,24,13,Dan Herron up the middle for 4 yards (tackle by Marvin Austin and Terrance Knighton),1.990,1.990
4,2:45,1,10,IND 46,24,13,Timeout #2 by Denver Broncos,1.990,1.990
4,2:45,2,6,,24,13,Dan Herron left tackle for 4 yards (tackle by Malik Jackson and Todd Davis),1.990,1.990
4,2:39,2,6,,24,13,Timeout #3 by Denver Broncos,1.990,1.820
4,2:39,3,2,DEN 46,24,13,Dan Herron right guard for no gain (tackle by Von Miller),1.820,0.200
4,2:00,4,2,DEN 46,24,13,"Pat McAfee punts 46 yards, touchback",0.200,-0.280
4,1:52,1,10,DEN 20,24,13,Peyton Manning pass complete short middle to Demaryius Thomas for 16 yards (tackle by Greg Toler),0.280,0.280
4,1:42,1,10,DEN 20,24,13,Timeout #1 by Indianapolis Colts,0.280,1.330
4,1:42,1,10,DEN 36,24,13,Peyton Manning pass complete short left to C.J. Anderson for 1 yard (tackle by Vontae Davis),1.330,0.930
4,1:16,2,9,DEN 37,24,13,Peyton Manning pass complete short middle to Julius Thomas for 3 yards (tackle by Vontae Davis),0.930,0.630
4,0:54,3,6,DEN 40,24,13,Peyton Manning pass complete short middle to C.J. Anderson for 15 yards (tackle by LaRon Landry and Jerrell Freeman),0.630,2.590
4,0:54,1,10,IND 45,24,13,Peyton Manning spiked the ball,2.590,2.040
4,0:34,2,10,IND 45,24,13,Peyton Manning sacked by Erik Walden for -2 yards,2.040,1.090
4,0:09,3,12,IND 47,24,13,Peyton Manning pass complete short left to Demaryius Thomas for 24 yards (tackle by Jerrell Freeman and Vontae Davis),1.090,0.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
