Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
2,10:35,1,10,ATL 24,14,7,"Adrian Peterson left end for 7 yards (tackle by Lawyer Milloy). Adrian Peterson fumbles (forced by Lawyer Milloy), recovered by Chris Houston at ATL-17 and returned for 4 yards (tackle by Bernard Berrian)",3.970,-0.340
2,10:26,1,10,ATL 21,14,7,Matt Ryan pass incomplete short middle intended for Michael Jenkins (defended by Cedric Griffin),0.340,-0.200
2,10:21,2,10,ATL 21,14,7,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Antoine Winfield),-0.200,-0.100
2,9:41,3,4,ATL 27,14,7,Matt Ryan pass complete short left to Brian Finneran for 13 yards (tackle by Cedric Griffin),-0.100,1.600
2,9:27,1,10,ATL 40,14,7,Matt Ryan pass incomplete short right intended for Harry Douglas,1.600,1.050
2,9:22,2,10,ATL 40,14,7,Matt Ryan pass incomplete deep left intended for Michael Jenkins,1.050,0.370
2,9:18,3,10,ATL 40,14,7,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Benny Sapp),0.370,2.390
2,8:46,1,10,MIN 48,14,7,Michael Turner left end for 1 yard (tackle by Cedric Griffin and Ray Edwards),2.390,1.980
2,8:16,2,9,MIN 47,14,7,"Penalty on Tyson Clabo: Unnecessary Roughness, 15 yards, Penalty on Justin Peelle: False Start (Declined) (no play)",1.980,-0.040
2,8:01,2,24,ATL 38,14,7,Matt Ryan pass complete short middle to Jason Snelling for 13 yards (tackle by Antoine Winfield),-0.040,1.030
2,7:20,3,11,MIN 49,14,7,Matt Ryan sacked by Ray Edwards for -9 yards,1.030,-0.590
2,7:00,4,20,ATL 42,14,7,"Michael Koenen punts 48 yards, returned by Bobby Wade for 7 yards (tackle by Brian Finneran)",-0.590,0.060
2,6:49,1,10,MIN 17,14,7,Adrian Peterson left guard for -2 yards (tackle by Jonathan Babineaux),-0.060,-0.850
2,6:12,2,12,MIN 15,14,7,Tarvaris Jackson pass complete short right to Bobby Wade for 6 yards (tackle by Domonique Foxworth),-0.850,-0.750
2,5:33,3,6,MIN 21,14,7,Tarvaris Jackson up the middle for 29 yards (tackle by Erik Coleman),-0.750,2.260
2,4:45,1,10,ATL 50,14,7,Adrian Peterson left tackle for 2 yards (tackle by Kindal Moorehead and Keith Brooking),2.260,1.980
2,4:01,2,8,ATL 48,14,7,"Tarvaris Jackson for no gain. Tarvaris Jackson fumbles, recovered by Chauncey Davis at MIN-46 (tackle by Adrian Peterson)",1.980,-2.520
2,3:55,1,10,MIN 46,14,7,Harry Douglas left end for 4 yards (tackle by Chad Greenway),2.520,2.520
2,3:17,2,6,MIN 42,14,7,Jerious Norwood right end for 1 yard (tackle by Darren Sharper and Fred Evans),2.520,1.950
2,2:40,3,5,MIN 41,14,7,"Matt Ryan pass incomplete short right intended for Roddy White. Penalty on Benny Sapp: Illegal Use of Hands, 5 yards, Penalty on Ellis Wyms: Defensive Offside (Declined) (no play)",1.950,3.180
2,2:34,1,10,MIN 36,14,7,Jerious Norwood left end for 1 yard (tackle by Cedric Griffin),3.180,2.770
2,2:09,2,9,MIN 35,14,7,Matt Ryan pass complete short middle to Michael Jenkins for 15 yards (tackle by Antoine Winfield),2.770,4.240
2,2:00,1,10,MIN 20,14,7,Michael Turner up the middle for 11 yards (tackle by Antoine Winfield),4.240,5.140
2,1:26,1,9,MIN 9,14,7,Michael Turner up the middle for -2 yards (tackle by Chad Greenway),5.140,4.020
2,0:45,2,11,MIN 11,14,7,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Antoine Winfield),4.020,4.260
2,0:12,3,5,MIN 5,14,7,Jerious Norwood up the middle for 2 yards (tackle by Fred Evans and Ben Leber),4.260,3.040
2,0:07,,,,14,7,Timeout #1 by Atlanta Falcons,0.000,3.040
2,0:07,4,3,MIN 3,17,7,Jason Elam 22 yard field goal good,3.040,3.000
2,,,,ATL 30,17,7,"Michael Koenen kicks off 41 yards, returned by Naufahu Tahi for 11 yards (tackle by Coy Wire)",0.000,0.940
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,17,7,"Michael Koenen kicks off 73 yards, touchback",0.000,0.280
3,15:00,1,10,MIN 20,17,7,Tarvaris Jackson pass complete short left to Visanthe Shiancoe for 21 yards (tackle by Lawyer Milloy),0.280,1.660
3,14:26,1,10,MIN 41,17,7,Adrian Peterson right tackle for 1 yard (tackle by Keith Brooking and Coy Wire),1.660,1.260
3,13:47,2,9,MIN 42,17,7,Tarvaris Jackson up the middle for 18 yards (tackle by Lawyer Milloy and Curtis Lofton),1.260,2.920
3,13:09,1,10,ATL 40,17,7,Adrian Peterson left end for no gain (tackle by Chris Houston),2.920,2.370
3,12:40,2,10,ATL 40,17,7,Tarvaris Jackson pass complete short right to Chester Taylor for 6 yards (tackle by Domonique Foxworth),2.370,2.480
3,11:57,3,4,ATL 34,17,7,Tarvaris Jackson pass complete short middle to Visanthe Shiancoe for 18 yards (tackle by Lawyer Milloy),2.480,4.510
3,11:11,1,10,ATL 16,17,7,"Tarvaris Jackson sacked by Kindal Moorehead for -9 yards. Tarvaris Jackson fumbles (forced by Kindal Moorehead), recovered by Chauncey Davis at ATL-45 and returned for 1 yards (tackle by Matt Birk)",4.510,-1.990
3,11:02,1,10,ATL 46,17,7,Michael Turner up the middle for 2 yards (tackle by Ben Leber and Ray Edwards),1.990,1.720
3,10:25,2,8,ATL 48,17,7,Jason Snelling up the middle for 4 yards (tackle by Chad Greenway and Fred Evans),1.720,1.550
3,9:50,3,4,MIN 48,17,7,Matt Ryan pass complete short left to Jerious Norwood for 3 yards (tackle by Darren Sharper),1.550,0.270
3,9:33,4,1,MIN 45,17,7,"Penalty on Justin Blalock: False Start, 5 yards (no play)",0.270,-0.060
3,9:22,4,6,,17,7,"Michael Koenen punts 50 yards, touchback",-0.060,-0.280
3,9:13,1,10,MIN 20,17,7,Adrian Peterson up the middle for 7 yards (tackle by Coy Wire and Curtis Lofton),0.280,0.680
3,8:42,2,3,MIN 27,17,7,Tarvaris Jackson right end for 2 yards (tackle by Coy Wire),0.680,0.230
3,8:12,3,1,MIN 29,17,7,Adrian Peterson right tackle for 3 yards (tackle by Curtis Lofton),0.230,1.070
3,7:38,1,10,MIN 32,17,7,Adrian Peterson right tackle for 1 yard (tackle by John Abraham),1.070,0.660
3,6:57,2,9,MIN 33,17,7,Tarvaris Jackson pass incomplete deep right intended for Jim Kleinsasser,0.660,-0.030
3,6:51,3,9,MIN 33,17,7,"Tarvaris Jackson for no gain. Tarvaris Jackson fumbles, recovered by Tarvaris Jackson at MIN-MIN",-0.030,-2.490
3,6:20,4,31,MIN 11,17,7,"Chris Kluwe punts 44 yards, returned by Harry Douglas for 4 yards (tackle by Maurice Hicks)",-2.490,-2.190
3,6:07,1,10,ATL 49,17,7,Matt Ryan pass complete deep left to Michael Jenkins for 22 yards (tackle by Napoleon Harris),2.190,3.640
3,5:23,1,10,MIN 29,17,7,Matt Ryan pass incomplete deep right intended for Roddy White (defended by Cedric Griffin),3.640,3.100
3,5:17,2,10,MIN 29,17,7,Michael Turner up the middle for 2 yards (tackle by Ben Leber),3.100,2.680
3,4:33,3,8,MIN 27,17,7,Jerious Norwood up the middle for 8 yards (tackle by Darren Sharper),2.680,4.310
3,3:52,1,10,MIN 19,17,7,Michael Turner up the middle for 13 yards (tackle by Chad Greenway),4.310,5.830
3,3:26,1,6,MIN 6,17,7,Michael Turner right tackle for 1 yard (tackle by Antoine Winfield),5.830,5.150
3,2:49,2,5,MIN 5,23,7,"Matt Ryan for 4 yards (tackle by Ben Leber). Matt Ryan fumbles (forced by Ben Leber), recovered by Justin Blalock at MIN-0, touchdown",5.150,7.000
3,,,,MIN 2,24,7,Jason Elam kicks extra point good,0.000,0.000
3,,,,ATL 30,24,7,"Michael Koenen kicks off 77 yards, touchback",0.000,0.280
3,2:38,1,10,MIN 20,24,7,Tarvaris Jackson pass complete short left to Chester Taylor for 1 yard (tackle by Coy Wire),0.280,-0.130
3,2:01,2,9,MIN 21,24,7,Tarvaris Jackson pass complete short right to Bernard Berrian for 10 yards (tackle by Erik Coleman),-0.130,1.000
3,1:23,1,10,MIN 31,24,7,"Adrian Peterson left end for -1 yards. Penalty on Kindal Moorehead: Defensive Offside, 5 yards (no play)",1.000,1.730
3,1:03,1,5,MIN 36,24,7,Tarvaris Jackson pass incomplete,1.730,1.140
3,0:55,2,5,MIN 36,24,7,Adrian Peterson left end for 1 yard (tackle by Kroy Biermann and Kindal Moorehead),1.140,0.560
3,0:15,3,4,MIN 37,24,7,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,0.560,-0.910
3,0:10,4,4,MIN 37,24,7,"Chris Kluwe punts 46 yards, returned by Harry Douglas for 14 yards (tackle by Eric Frampton). Penalty on ATL: Defensive 12 On-field, 5 yards (no play)",-0.910,1.730
Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 42,24,7,Tarvaris Jackson pass complete deep middle to Visanthe Shiancoe for 31 yards (tackle by Jamaal Fudge),1.730,3.780
4,14:15,1,10,ATL 27,24,7,Tarvaris Jackson pass incomplete deep right,3.780,3.230
4,14:08,2,10,ATL 27,24,7,Tarvaris Jackson up the middle for 13 yards (tackle by Jason Jefferson),3.230,4.650
4,13:22,1,10,ATL 14,24,7,Adrian Peterson up the middle for 7 yards (tackle by Chevis Jackson),4.650,5.280
4,12:48,2,3,ATL 7,24,7,Adrian Peterson up the middle for no gain (tackle by John Abraham and Keith Brooking),5.280,4.500
4,12:04,3,3,ATL 7,24,7,Tarvaris Jackson sacked by Chauncey Davis for -4 yards,4.500,2.700
4,11:36,4,7,ATL 11,24,10,Ryan Longwell 29 yard field goal good,2.700,3.000
4,,,,MIN 30,24,10,"Ryan Longwell kicks off 68 yards, returned by Jerious Norwood for 20 yards (tackle by Eric Frampton)",0.000,0.410
4,11:26,1,10,ATL 22,24,10,Michael Turner up the middle for no gain (tackle by Napoleon Harris and Kevin Williams),0.410,-0.130
4,10:43,2,10,ATL 22,24,10,Jerious Norwood right end for -2 yards (tackle by Kevin Williams),-0.130,-1.090
4,10:06,3,12,ATL 20,24,10,Matt Ryan pass incomplete deep left intended for Roddy White,-1.090,-2.030
4,10:00,4,12,ATL 20,24,10,Michael Koenen punts 36 yards,-2.030,-1.860
4,9:49,1,10,MIN 44,24,10,Tarvaris Jackson pass incomplete deep left,1.860,1.320
4,9:40,2,10,MIN 44,24,10,Tarvaris Jackson pass complete short right to Naufahu Tahi for -1 yards (tackle by Coy Wire),1.320,0.500
4,8:53,3,11,MIN 43,24,10,Tarvaris Jackson pass complete short left to Bobby Wade for 4 yards (tackle by Chris Houston),0.500,-0.260
4,8:06,4,7,MIN 47,24,10,Tarvaris Jackson pass incomplete deep left intended for Bernard Berrian,-0.260,-2.460
4,8:00,1,10,MIN 47,24,10,Michael Turner right guard for 2 yards (tackle by Ray Edwards and Chad Greenway),2.460,2.180
4,7:16,2,8,MIN 45,24,10,"Michael Turner left end for 2 yards (tackle by Fred Evans and Chad Greenway). Penalty on Ovie Mughelli: Offensive Holding, 10 yards (no play)",2.180,0.830
4,6:43,2,18,ATL 45,24,10,Matt Ryan pass incomplete short right intended for Jerious Norwood,0.830,0.170
4,6:40,3,18,ATL 45,24,10,Jason Snelling up the middle for no gain (tackle by Brian Robison),0.170,-0.390
4,6:06,4,18,ATL 45,24,10,"Michael Koenen punts 37 yards, fair catch by Bobby Wade",-0.390,-0.040
4,5:58,1,10,MIN 18,24,10,Tarvaris Jackson pass incomplete short right intended for Bobby Wade,0.040,-0.490
4,5:53,2,10,MIN 18,24,10,Tarvaris Jackson pass incomplete short left intended for Bernard Berrian,-0.490,-1.170
4,5:48,3,10,MIN 18,24,10,Tarvaris Jackson pass complete short left to Chester Taylor for 9 yards (tackle by Michael Boley),-1.170,-1.570
4,5:02,4,1,MIN 27,24,10,Adrian Peterson left end for 3 yards (tackle by Keith Brooking),-1.570,0.940
4,4:39,1,10,MIN 30,24,10,Tarvaris Jackson pass incomplete short right intended for Adrian Peterson,0.940,0.390
4,4:34,2,10,MIN 30,24,10,"Tarvaris Jackson pass incomplete deep left intended for Aundrae Allison. Penalty on Chris Houston: Defensive Pass Interference, 30 yards (no play)",0.390,2.920
4,4:27,1,10,ATL 40,24,10,Tarvaris Jackson pass incomplete short middle intended for Bobby Wade,2.920,2.370
4,4:21,2,10,ATL 40,24,10,Tarvaris Jackson pass complete short middle to Bobby Wade for -2 yards (tackle by Chevis Jackson). Penalty on Matt Birk: Ineligible Downfield Pass (Declined),2.370,1.420
4,4:11,3,12,ATL 42,24,10,Tarvaris Jackson pass complete short right to Adrian Peterson for 11 yards (tackle by Kindal Moorehead),1.420,1.410
4,3:42,4,1,ATL 31,24,10,Adrian Peterson up the middle for 2 yards (tackle by John Abraham and Kindal Moorehead),1.410,3.640
4,3:24,1,10,ATL 29,24,10,Tarvaris Jackson up the middle for 13 yards (tackle by Erik Coleman),3.640,4.510
4,3:15,1,10,ATL 16,24,10,Tarvaris Jackson pass complete short middle to Chester Taylor for -1 yards (tackle by Jason Jefferson),4.510,3.770
4,2:50,2,11,ATL 17,24,16,"Tarvaris Jackson pass complete deep middle to Visanthe Shiancoe for 17 yards, touchdown",3.770,7.000
4,,,,ATL 2,24,17,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 30,24,17,"Ryan Longwell kicks off 75 yards, touchback",0.000,0.280
4,2:44,1,10,ATL 20,24,17,Michael Turner up the middle for no gain (tackle by Jared Allen),0.280,-0.270
4,2:40,,,,24,17,Timeout #1 by Minnesota Vikings,0.000,-0.270
4,2:40,2,10,ATL 20,24,17,Matt Ryan sacked by Ray Edwards for -1 yards,-0.270,-1.140
4,2:26,,,,24,17,Timeout #2 by Minnesota Vikings,0.000,-1.140
4,2:26,3,11,ATL 19,24,17,Matt Ryan pass incomplete short middle intended for Michael Jenkins,-1.140,-2.140
4,2:22,4,11,ATL 19,24,17,"Michael Koenen punts 48 yards, fair catch by Bobby Wade",-2.140,-1.140
4,2:14,1,10,MIN 33,24,17,"Adrian Peterson up the middle for 3 yards. Adrian Peterson fumbles, recovered by Adrian Peterson at MIN-36",1.140,1.000
4,2:00,2,7,MIN 36,24,17,Tarvaris Jackson pass complete short middle to Bobby Wade for 10 yards (tackle by Chris Houston),1.000,1.990
4,1:36,1,10,MIN 46,24,17,Tarvaris Jackson pass incomplete short right intended for Sidney Rice,1.990,1.450
4,1:32,2,10,MIN 46,24,17,Tarvaris Jackson pass incomplete short left intended for Bernard Berrian,1.450,0.760
4,1:26,,,,24,17,Timeout #3 by Minnesota Vikings,0.000,0.760
4,1:26,3,10,MIN 46,24,17,"Tarvaris Jackson sacked by John Abraham for -6 yards. Tarvaris Jackson fumbles (forced by John Abraham), recovered by Ryan Cook at MIN-40 and returned for 1 yards",0.760,-0.650
4,0:56,4,16,MIN 41,24,17,Tarvaris Jackson pass incomplete deep right intended for Sidney Rice,-0.650,-2.850
4,0:56,1,10,MIN 41,24,17,Matt Ryan kneels for -1 yards,2.850,2.170
4,0:33,2,11,MIN 42,24,17,Matt Ryan kneels for -1 yards,2.170,1.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
