Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
2,3:14,2,6,STL 37,3,10,Brian Griese pass complete to Rod Smith for 16 yards (tackle by Tommy Polley),2.850,4.170
2,2:36,1,10,STL 21,3,10,Clinton Portis right end for 3 yards (tackle by Ryan Pickett and Don Davis),4.170,4.040
2,2:00,2,7,STL 18,3,10,Mike Anderson left tackle for 3 yards (tackle by Don Davis),4.040,3.810
2,1:26,3,4,STL 15,3,10,Brian Griese pass complete to Rod Smith for -1 yards (tackle by Don Davis),3.810,2.430
2,1:20,4,5,STL 16,3,13,Jason Elam 34 yard field goal good,2.430,3.000
2,1:20,,,DEN 30,3,13,"Jason Elam kicks off 62 yards, returned by Lamar Gordon for 15 yards (tackle by Lenny Walls). Lamar Gordon fumbles, recovered by KaRon Coleman at STL-25 and returned for 2 yards",0.000,-4.040
2,1:09,1,10,STL 23,3,13,Brian Griese pass incomplete intended for Rod Smith,4.040,3.500
2,1:06,2,10,STL 23,3,13,Brian Griese pass complete to Olandis Gary for 9 yards (tackle by Dre' Bly),3.500,4.280
2,0:39,2,10,STL 23,,,Timeout #2 by Denver Broncos,3.500,4.280
2,0:39,3,1,STL 14,3,13,Brian Griese pass incomplete intended for Shannon Sharpe,4.280,2.660
2,0:36,4,1,STL 14,3,16,Jason Elam 32 yard field goal good,2.660,3.000
2,0:36,,,DEN 30,3,16,"Jason Elam kicks off 62 yards, returned by Lamar Gordon for 21 yards (tackle by Keith Burns)",0.000,0.870
2,0:27,1,10,STL 29,3,16,Kurt Warner pass complete to Torry Holt for 36 yards (tackle by Izell Reese),0.870,3.250
2,0:20,1,10,DEN 35,3,16,Kurt Warner pass incomplete intended for Isaac Bruce,3.250,2.700
2,0:15,2,10,DEN 35,3,16,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by John Mobley and Al Wilson),2.700,3.200
2,0:10,2,10,DEN 35,,,Timeout #2 by Los Angeles Rams,2.700,3.200
2,0:10,3,1,DEN 26,3,16,Kurt Warner pass incomplete intended for Torry Holt (defended by Denard Walker),3.200,1.890
2,0:05,3,1,DEN 26,,,Timeout #3 by Denver Broncos,3.200,1.890
2,0:05,4,1,DEN 26,6,16,Jeff Wilkins 43 yard field goal good,1.890,3.000
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,6,16,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,6,16,Brian Griese pass incomplete is intercepted by Aeneas Williams at DEN-29 and returned for 3 yards,0.280,-3.840
3,14:55,1,10,DEN 26,6,16,"Kurt Warner pass incomplete intended for Torry Holt (defended by Deltha O'Neal). Penalty on Deltha O'Neal: Defensive Pass Interference, 21 yards (no play)",3.840,6.060
3,14:50,1,5,DEN 5,6,16,Marshall Faulk middle for 2 yards (tackle by John Mobley and Lional Dalton),6.060,5.530
3,14:09,2,3,DEN 3,12,16,"Marshall Faulk middle for 3 yards, touchdown",5.530,7.000
3,14:09,,,DEN 3,13,16,Jeff Wilkins kicks extra point good,0.000,0.000
3,14:09,,,STL 30,13,16,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
3,14:04,1,10,DEN 20,13,16,Olandis Gary left guard for 3 yards (tackle by Grant Wistrom),0.280,0.140
3,13:30,2,7,DEN 23,13,16,Brian Griese pass complete to Olandis Gary for 5 yards (tackle by Tommy Polley),0.140,0.100
3,12:53,3,2,DEN 28,13,16,"Brian Griese pass incomplete intended for Rod Smith. Penalty on Jamie Duncan: Defensive Pass Interference, 3 yards (no play)",0.100,1.000
3,12:48,1,10,DEN 31,13,16,"Brian Griese pass incomplete intended for Shannon Sharpe. Penalty on Ephraim Salaam: Ineligible Downfield Pass, 5 yards (no play)",1.000,0.670
3,12:40,1,15,DEN 26,13,16,Brian Griese pass complete to Olandis Gary for 19 yards (tackle by Tommy Polley),0.670,1.930
3,11:59,1,10,DEN 45,13,16,Clinton Portis right tackle for 3 yards (tackle by Tommy Polley),1.930,1.790
3,11:21,2,7,DEN 48,13,16,Brian Griese pass complete to Mike Anderson for 5 yards (tackle by Aeneas Williams),1.790,1.750
3,10:41,3,2,STL 47,13,16,"Brian Griese pass incomplete intended for Shannon Sharpe. Penalty on Tyoka Jackson: Defensive Offside, 5 yards (no play)",1.750,2.790
3,10:36,1,10,STL 42,13,16,Brian Griese pass incomplete intended for Rod Smith is intercepted by Don Davis at STL-23 and returned for 29 yards,2.790,-2.390
3,10:25,1,10,DEN 48,13,16,Kurt Warner pass complete to Trung Canidate for 2 yards (tackle by Deltha O'Neal),2.390,2.120
3,9:47,2,8,DEN 46,13,16,Kurt Warner pass incomplete intended for Marshall Faulk (defended by Chester McGlockton),2.120,1.420
3,9:41,2,8,DEN 46,,,Timeout #1 by Los Angeles Rams,2.120,1.420
3,9:41,3,8,DEN 46,13,16,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by Montae Reagor),1.420,3.120
3,9:19,1,10,DEN 37,13,16,Kurt Warner pass complete to Ernie Conwell for -2 yards (tackle by Al Wilson),3.120,2.300
3,8:31,2,12,DEN 39,13,16,"Marshall Faulk left end for no gain (tackle by Keith Washington). Penalty on Torry Holt: Tripping, 11 yards",2.300,0.820
3,8:07,2,23,,13,16,Kurt Warner pass complete to Marshall Faulk for no gain,0.820,0.170
3,7:25,3,23,,13,16,Kurt Warner middle for 8 yards (tackle by Al Wilson),0.170,0.460
3,6:40,4,15,DEN 42,13,16,Penalty on Donnie Spragan: Encroachment (Declined),0.460,0.460
3,6:29,4,15,DEN 42,13,16,Mitch Berger punts 39 yards,0.460,0.380
3,6:19,1,10,DEN 3,13,16,Brian Griese pass incomplete intended for Rod Smith,-0.380,-0.780
3,6:14,2,10,DEN 3,13,16,Olandis Gary middle for 3 yards (tackle by Damione Lewis),-0.780,-1.070
3,5:37,3,7,DEN 6,13,16,"Brian Griese sacked by Leonard Little for -3 yards. Brian Griese fumbles, recovered by Dan Neil at DEN-3",-1.070,-2.490
3,4:55,4,10,DEN 3,13,16,"Tom Rouen punts 47 yards, returned by Terrence Wilkins for 10 yards (tackle by Reuben Droughns)",-2.490,-2.920
3,4:45,1,10,DEN 40,13,16,Kurt Warner pass complete to Isaac Bruce for 8 yards (tackle by Deltha O'Neal),2.920,3.450
3,4:05,2,2,DEN 32,13,16,Kurt Warner pass complete to Isaac Bruce for 14 yards (tackle by Kenoy Kennedy),3.450,4.370
3,3:24,1,10,DEN 18,13,16,Kurt Warner pass complete to Marshall Faulk for 5 yards (tackle by John Mobley),4.370,4.610
3,2:41,2,5,DEN 13,13,16,Marshall Faulk middle for -2 yards (tackle by Trevor Pryce),4.610,3.460
3,2:04,3,7,DEN 15,13,16,Kurt Warner pass complete to Isaac Bruce for 6 yards (tackle by Tyrone Poole),3.460,2.980
3,1:23,4,1,DEN 9,13,16,Kurt Warner pass incomplete intended for Chris Hetherington,2.980,0.380
3,1:17,1,10,DEN 10,13,16,Olandis Gary right end for 4 yards (tackle by Kim Herring),-0.380,-0.460
3,0:42,2,6,DEN 14,13,16,Brian Griese sacked by Jeff Zgonina for -5 yards,-0.460,-1.540
3,0:10,3,11,DEN 9,13,16,Brian Griese pass complete to Olandis Gary for 7 yards (tackle by Dexter McCleon),-1.540,-2.390
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,DEN 16,13,16,"Tom Rouen punts 63 yards, returned by Terrence Wilkins for 4 yards (tackle by Ian Gold)",-2.390,-0.610
4,14:49,1,10,STL 25,13,16,Kurt Warner pass complete to Marshall Faulk for -1 yards (tackle by Keith Washington),0.610,-0.070
4,14:10,2,11,STL 24,13,16,Kurt Warner pass complete to Marshall Faulk for 10 yards (tackle by Ian Gold),-0.070,0.560
4,13:27,3,1,STL 34,13,16,"Marshall Faulk left end for no gain (tackle by Al Wilson). Penalty on DEN: Defensive Offside, 5 yards (no play)",0.560,1.530
4,13:11,1,10,STL 39,13,16,Kurt Warner pass incomplete intended for Isaac Bruce,1.530,0.990
4,13:05,2,10,STL 39,13,16,Marshall Faulk middle for 15 yards (tackle by Kenoy Kennedy),0.990,2.520
4,12:25,1,10,DEN 46,13,16,Trung Canidate left guard for 5 yards (tackle by John Mobley),2.520,2.650
4,11:42,2,5,DEN 41,13,16,Kurt Warner pass complete to Torry Holt for 15 yards (tackle by Deltha O'Neal),2.650,3.840
4,11:13,1,10,DEN 26,13,16,Kurt Warner pass complete to Chris Hetherington for 2 yards (tackle by Denard Walker),3.840,3.570
4,10:50,1,10,DEN 26,,,Timeout #2 by Los Angeles Rams,3.840,3.570
4,10:50,2,8,DEN 24,13,16,Kurt Warner pass incomplete (defended by Lional Dalton),3.570,2.870
4,10:45,3,8,DEN 24,13,16,Kurt Warner pass complete to Yo Murphy for 4 yards (tackle by Ian Gold),2.870,2.200
4,10:07,4,4,DEN 20,13,16,Jeff Wilkins 39 yard field goal no good,2.200,-0.870
4,10:02,1,10,DEN 29,13,16,Brian Griese pass complete to Olandis Gary for 8 yards (tackle by Aeneas Williams),0.870,1.410
4,9:26,2,2,DEN 37,13,16,Olandis Gary right tackle for 1 yard (tackle by Tommy Polley),1.410,0.830
4,8:52,3,1,DEN 38,13,16,Mike Anderson middle for no gain (tackle by Grant Wistrom),0.830,-0.850
4,8:34,4,1,DEN 38,13,16,Clinton Portis left end for 15 yards (tackle by Kim Herring),-0.850,2.460
4,7:54,1,10,STL 47,13,16,Brian Griese sacked by Ryan Pickett and Adam Archuleta for -1 yards,2.460,1.780
4,7:23,2,11,STL 48,13,16,Brian Griese pass complete to Shannon Sharpe for 14 yards (tackle by Dre' Bly),1.780,3.310
4,6:43,1,10,STL 34,13,16,Brian Griese pass complete to Rod Smith for 11 yards (tackle by Dre' Bly),3.310,4.040
4,6:03,1,10,STL 23,13,22,"Brian Griese pass complete to Ed McCaffrey for 23 yards, touchdown",4.040,7.000
4,6:03,,,STL 23,13,23,Jason Elam kicks extra point good,0.000,0.000
4,6:03,,,DEN 30,13,23,"Jason Elam kicks off 70 yards, touchback",0.000,0.280
4,5:55,1,10,STL 20,13,23,Kurt Warner pass complete to Marshall Faulk for 6 yards (tackle by Ian Gold),0.280,0.540
4,5:25,2,4,STL 26,13,23,Kurt Warner pass complete to Ricky Proehl for 8 yards (tackle by Ian Gold and Denard Walker),0.540,1.200
4,4:48,1,10,STL 34,13,23,Kurt Warner pass complete to Marshall Faulk for 9 yards (tackle by Denard Walker),1.200,1.870
4,4:40,2,1,STL 43,13,23,Kurt Warner pass complete to Isaac Bruce for 27 yards (tackle by Kenoy Kennedy),1.870,3.580
4,3:55,1,10,DEN 30,13,23,Kurt Warner pass complete to Isaac Bruce for 5 yards (tackle by Ian Gold),3.580,3.710
4,3:10,1,10,DEN 30,,,Timeout #3 by Los Angeles Rams,3.580,3.710
4,3:10,2,5,DEN 25,13,23,Kurt Warner pass incomplete,3.710,3.010
4,3:01,3,5,DEN 25,13,23,Kurt Warner pass complete to Marshall Faulk for 4 yards (tackle by Kenoy Kennedy),3.010,2.210
4,2:17,4,1,DEN 21,16,23,Jeff Wilkins 39 yard field goal good,2.210,3.000
4,2:17,,,STL 25,16,23,"Jeff Wilkins kicks onside 10 yards, recovered by Mike Anderson. Penalty on Robert Thomas: Offensive Offside (Declined)",0.000,-3.250
4,2:11,1,10,STL 35,16,23,Olandis Gary middle for 4 yards (tackle by Brian Young),3.250,3.240
4,2:00,2,6,STL 31,16,23,Olandis Gary left guard for 3 yards (tackle by Adam Archuleta),3.240,2.940
4,1:17,3,3,STL 28,16,23,Olandis Gary left guard for 3 yards (tackle by Brian Young),2.940,3.910
4,0:34,1,10,STL 25,16,23,Brian Griese kneels for -1 yards,3.910,3.230
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
