Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
2,7:47,1,10,ATL 46,7,21,Marc Bulger pass incomplete intended for Kevin Curtis,2.520,1.980
2,7:40,2,10,ATL 46,7,21,Steven Jackson right tackle for 1 yard (tackle by Travis Hall),1.980,1.420
2,6:54,3,9,ATL 45,7,21,Marc Bulger pass complete to Kevin Curtis for 15 yards (tackle by Roderick Coleman),1.420,3.580
2,6:14,1,10,ATL 30,7,21,Marshall Faulk up the middle for 2 yards (tackle by Ed Jasper),3.580,3.300
2,5:36,2,8,ATL 28,13,21,"Marc Bulger pass complete to Torry Holt for 28 yards, touchdown",3.300,7.000
2,,,,ATL 2,14,21,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,14,21,"Jeff Wilkins kicks off 61 yards, returned by Allen Rossum for 26 yards (tackle by Bryce Fisher)",0.000,1.270
2,5:19,1,10,ATL 35,14,21,Michael Vick pass complete to Peerless Price for 7 yards (tackle by Pisa Tinoisamoa),1.270,1.670
2,4:50,2,3,ATL 42,14,21,T.J. Duckett up the middle for 13 yards (tackle by Antuan Edwards),1.670,2.590
2,4:04,1,10,STL 45,14,21,T.J. Duckett right tackle for 4 yards (tackle by Jimmy Kennedy),2.590,2.580
2,3:24,2,6,STL 41,14,21,T.J. Duckett up the middle for 12 yards (tackle by Antuan Edwards),2.580,3.640
2,2:38,1,10,STL 29,14,21,Michael Vick pass incomplete intended for Fred McCrary,3.640,3.100
2,2:30,2,10,STL 29,14,21,"Penalty on Eric Beverly: False Start, 5 yards (no play)",3.100,2.420
2,2:30,2,15,STL 34,14,21,"Michael Vick for 15 yards. Michael Vick fumbles, recovered by Tommy Polley at STL-18 (tackle by Michael Vick)",2.420,-0.040
2,2:19,1,10,STL 18,14,21,Steven Jackson right end for -1 yards (tackle by Patrick Kerney),0.040,-0.650
2,2:00,2,11,STL 17,14,21,Marc Bulger pass complete to Dane Looker for 10 yards (tackle by Kevin Mathis),-0.650,-0.020
2,1:27,3,1,STL 27,14,21,Steven Jackson right tackle for no gain (tackle by Brady Smith),-0.020,-1.570
2,1:17,,,,14,21,Timeout #1 by Atlanta Falcons,0.000,-1.570
2,1:17,4,1,STL 27,14,27,"Kevin Stemke punts 41 yards, returned by Allen Rossum for 68 yards, touchdown",-1.570,-7.000
2,,,,STL 2,14,28,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,14,28,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
2,0:59,1,10,STL 20,14,28,Marc Bulger pass complete to Shaun McDonald for 11 yards,0.280,1.000
2,0:53,1,10,STL 31,14,28,Marc Bulger pass incomplete intended for Dane Looker,1.000,0.460
2,0:47,2,10,STL 31,14,28,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Keith Brooking),0.460,0.700
2,0:32,,,,14,28,Timeout #1 by St. Louis Rams,0.000,0.700
2,0:32,3,3,STL 38,14,28,"Penalty on Orlando Pace: False Start, 6 yards (no play)",0.700,-0.100
2,0:32,3,9,STL 32,14,28,Marc Bulger pass complete to Kevin Curtis for 11 yards,-0.100,1.800
2,0:28,1,10,STL 43,14,28,Marc Bulger pass incomplete intended for Shaun McDonald,1.800,1.250
2,0:23,2,10,STL 43,14,28,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Kevin Mathis),1.250,1.490
2,0:16,3,3,ATL 50,14,28,Marc Bulger pass complete to Kevin Curtis for 9 yards,1.490,2.850
2,0:11,1,10,ATL 41,14,28,Marc Bulger up the middle for 4 yards (tackle by Travis Hall),2.850,2.850
2,0:02,,,,14,28,Timeout #2 by St. Louis Rams,0.000,0.000
2,0:02,,,,14,28,Timeout #2 by Atlanta Falcons,0.000,2.850
2,0:02,2,6,ATL 37,17,28,Jeff Wilkins 55 yard field goal good,2.850,3.000
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,17,28,"Jay Feely kicks off 60 yards, returned by Brandon Manumaleuna for no gain",0.000,-0.380
3,14:52,1,10,STL 10,17,28,Marc Bulger pass complete to Kevin Curtis for 1 yard (tackle by DeAngelo Hall),-0.380,-0.710
3,14:22,2,9,STL 11,17,28,Steven Jackson left tackle for 6 yards (tackle by Matt Stewart),-0.710,-0.600
3,13:42,3,3,STL 17,17,28,Marc Bulger pass incomplete intended for Steven Jackson,-0.600,-2.320
3,13:36,4,3,STL 17,17,28,"Kevin Stemke punts 54 yards, returned by Allen Rossum for 39 yards (tackle by Joey Goodspeed)",-2.320,-3.450
3,13:20,1,10,STL 32,17,28,Warrick Dunn right tackle for 2 yards (tackle by Ryan Pickett and Antuan Edwards),3.450,3.170
3,12:42,2,8,STL 30,17,28,Michael Vick pass complete to DeAngelo Hall for 6 yards (tackle by Pisa Tinoisamoa),3.170,3.270
3,12:03,3,2,STL 24,17,28,Michael Vick for 15 yards (tackle by Pisa Tinoisamoa),3.270,5.140
3,11:34,1,9,STL 9,17,28,Warrick Dunn right tackle for 1 yard (tackle by Tommy Polley),5.140,4.570
3,10:56,2,8,STL 8,17,28,Michael Vick pass complete to Brian Finneran for 2 yards (tackle by DeJuan Groce),4.570,4.040
3,10:12,3,6,STL 6,17,34,"Michael Vick pass complete to Peerless Price for 6 yards, touchdown",4.040,7.000
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
3,,,,STL 2,17,35,Jay Feely kicks extra point good,0.000,0.000
3,,,,ATL 30,17,35,"Jay Feely kicks off 59 yards, returned by Aveion Cason for 17 yards (tackle by Kevin McCadam)",0.000,0.810
3,9:59,1,10,STL 28,17,35,Marc Bulger pass complete to Shaun McDonald for 5 yards (tackle by Kevin Mathis),0.810,0.940
3,9:15,2,5,STL 33,17,35,Marc Bulger pass incomplete intended for Kevin Curtis,0.940,0.230
3,9:09,3,5,STL 33,17,35,"Marc Bulger pass complete to Shaun McDonald for 13 yards (tackle by Allen Rossum). Penalty on Shaun McDonald: Offensive Pass Interference, 10 yards (no play)",0.230,-1.090
3,8:40,3,15,STL 23,17,35,Marc Bulger sacked by Roderick Coleman for -10 yards,-1.090,-2.490
3,8:14,4,25,STL 13,17,35,Kevin Stemke punts 45 yards,-2.490,-4.710
3,7:56,1,10,STL 13,17,35,Warrick Dunn right tackle for 2 yards (tackle by Damione Lewis),4.710,4.390
3,7:17,2,8,STL 11,17,35,Michael Vick sacked by Leonard Little for -14 yards,4.390,1.880
3,6:40,3,22,STL 25,17,35,Warrick Dunn up the middle for 5 yards (tackle by Pisa Tinoisamoa),1.880,2.120
3,6:00,4,17,STL 20,17,38,Jay Feely 38 yard field goal good,2.120,3.000
3,,,,ATL 30,17,38,"Jay Feely kicks off 65 yards, returned by Aveion Cason for 16 yards (tackle by Carey Davis)",0.000,0.340
3,5:47,1,10,STL 21,17,38,Marc Bulger pass incomplete intended for Shaun McDonald,0.340,-0.200
3,5:41,2,10,STL 21,17,38,Marc Bulger pass complete to Brandon Manumaleuna for 18 yards (tackle by Demorrio Williams),-0.200,1.530
3,5:00,1,10,STL 39,17,38,Marc Bulger pass incomplete intended for Kevin Curtis is intercepted by Jason Webster at ATL-13,1.530,0.320
3,4:49,1,10,ATL 13,17,38,Warrick Dunn right end for 2 yards (tackle by Jimmy Kennedy),-0.320,-0.570
3,4:07,2,8,ATL 15,17,38,"Michael Vick up the middle for 1 yard (tackle by Ryan Pickett). Penalty on Eric Beverly: Offensive Holding, 7 yards (no play)",-0.570,-1.150
3,3:39,2,15,ATL 8,17,38,Warrick Dunn up the middle for 1 yard (tackle by Ryan Pickett),-1.150,-1.890
3,2:51,3,14,ATL 9,17,38,Michael Vick pass incomplete intended for Michael Jenkins,-1.890,-2.490
3,2:40,4,14,ATL 9,17,38,"Chris Mohr punts 37 yards, fair catch by Shaun McDonald",-2.490,-2.520
3,2:31,1,10,ATL 46,17,38,Dane Looker right end for 11 yards (tackle by Keith Brooking),2.520,3.250
3,1:59,1,10,ATL 35,17,38,Marc Bulger pass complete to Steven Jackson for 8 yards (tackle by Chris Draft),3.250,3.780
3,1:21,2,2,ATL 27,17,38,Marc Bulger pass complete to Steven Jackson for -3 yards (tackle by Chris Draft),3.780,2.680
3,0:39,3,5,ATL 30,17,38,Marc Bulger pass complete to Dane Looker for 13 yards (tackle by Allen Rossum),2.680,4.440
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 17,17,38,"Marc Bulger sacked by Keith Brooking for -9 yards. Marc Bulger fumbles (forced by Keith Brooking), recovered by Travis Hall at ATL-37 and returned for 3 yards (tackle by Orlando Pace)",4.440,-1.600
4,14:52,1,10,ATL 40,17,38,Michael Vick pass complete to Dez White for 3 yards (tackle by Travis Fisher),1.600,1.460
4,14:11,2,7,ATL 43,17,38,T.J. Duckett up the middle for 1 yard (tackle by Pisa Tinoisamoa),1.460,0.890
4,13:29,3,6,ATL 44,17,38,Michael Vick pass complete to Michael Jenkins for 5 yards (tackle by Jerametrius Butler),0.890,-0.130
4,12:36,4,1,ATL 49,17,38,Chris Mohr punts 47 yards,-0.130,0.380
4,12:24,1,10,STL 5,17,38,Marshall Faulk right end for no gain (tackle by Patrick Kerney),-0.380,-0.780
4,11:44,2,10,STL 5,17,40,"Marc Bulger sacked by Brady Smith for -5 yards, safety",-0.780,-2.000
4,,,,STL 20,17,40,"Jeff Wilkins kicks off 54 yards, returned by Allen Rossum for 16 yards (tackle by Brandon Chillar)",0.000,1.730
4,11:33,1,10,ATL 42,17,40,Michael Vick left end for 9 yards,1.730,2.400
4,10:51,2,1,STL 49,17,40,T.J. Duckett for 2 yards (tackle by Bryce Fisher),2.400,2.460
4,10:04,1,10,STL 47,17,40,Michael Vick pass complete to Peerless Price for 9 yards (tackle by Travis Fisher),2.460,3.130
4,9:14,2,1,STL 38,17,40,T.J. Duckett up the middle for 6 yards (tackle by Anthony Hargrove),3.130,3.450
4,8:29,1,10,STL 32,17,40,T.J. Duckett up the middle for 1 yard (tackle by Damione Lewis),3.450,3.040
4,7:42,2,9,STL 31,17,40,T.J. Duckett right tackle for 8 yards (tackle by Robert W. Thomas),3.040,3.400
4,6:57,3,1,STL 23,17,40,T.J. Duckett up the middle for 3 yards (tackle by Ryan Pickett),3.400,4.240
4,6:11,1,10,STL 20,17,40,"Warrick Dunn up the middle for 2 yards. Penalty on Kevin Shaffer: Offensive Holding, 10 yards",4.240,3.710
4,6:04,1,18,STL 28,17,40,Michael Vick for 16 yards (tackle by Antuan Edwards),3.710,5.040
4,4:37,2,2,STL 12,17,40,Warrick Dunn right tackle for no gain (tackle by Adam Archuleta),5.040,4.340
4,4:36,3,2,STL 12,17,40,T.J. Duckett right tackle for 1 yard (tackle by Ryan Pickett),4.340,2.850
4,3:52,4,1,STL 11,17,40,T.J. Duckett left end for 6 yards (tackle by Robert W. Thomas and Ryan Pickett),2.850,6.060
4,3:03,1,5,STL 5,17,40,T.J. Duckett right tackle for no gain (tackle by Bryce Fisher),6.060,5.150
4,2:20,2,5,STL 5,17,40,Warrick Dunn right tackle for 1 yard (tackle by Ryan Pickett and Adam Archuleta),5.150,4.490
4,2:00,3,4,STL 4,17,46,"T.J. Duckett up the middle for 4 yards, touchdown",4.490,7.000
4,,,,STL 2,17,47,Jay Feely kicks extra point good,0.000,0.000
4,,,,ATL 30,17,47,"Jay Feely kicks off 71 yards, returned by Aveion Cason for 25 yards (tackle by Jay Feely)",0.000,0.540
4,1:44,1,10,STL 24,17,47,Marc Bulger pass complete to Marshall Faulk for 3 yards (tackle by Demorrio Williams),0.540,0.400
4,1:18,2,7,STL 27,17,47,Marc Bulger pass complete to Shaun McDonald for 14 yards (tackle by Demorrio Williams),0.400,1.660
4,0:54,1,10,STL 41,17,47,Marc Bulger pass incomplete intended for Dane Looker,1.660,1.120
4,0:48,2,10,STL 41,17,47,Marc Bulger pass complete to Dane Looker for 15 yards (tackle by Artie Ulmer),1.120,2.650
4,0:40,,,,17,47,Timeout #2 by St. Louis Rams,0.000,2.650
4,0:40,1,10,ATL 44,17,47,Marc Bulger pass complete to Shaun McDonald for 7 yards (tackle by Allen Rossum),2.650,3.060
4,0:32,,,,17,47,Timeout #3 by St. Louis Rams,0.000,3.060
4,0:32,2,3,ATL 37,17,47,"Penalty on Larry Turner: False Start, 5 yards (no play)",3.060,2.380
4,0:32,2,8,ATL 42,17,47,Marc Bulger pass complete to Kevin Curtis for 14 yards (tackle by Artie Ulmer),2.380,3.710
4,0:28,1,10,ATL 28,17,47,Marc Bulger spiked the ball,3.710,3.170
4,0:15,2,10,ATL 28,17,47,Marc Bulger pass complete to Marshall Faulk for 14 yards (tackle by Demorrio Williams),3.170,2.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
