Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
2,1:38,1,10,DAL 21,14,14,Julius Jones up the middle for 1 yard (tackle by Gerard Warren),0.340,-0.070
2,1:33,,,,14,14,Timeout #2 by Denver Broncos,0.000,-0.070
2,1:33,2,9,DAL 22,14,14,"Drew Bledsoe pass complete to Lousaka Polite for 8 yards (tackle by Champ Bailey). Penalty on Ian Gold: Tripping, 10 yards",-0.070,1.600
2,1:26,1,10,DAL 40,14,14,Julius Jones up the middle for 4 yards (tackle by Gerard Warren and Trevor Pryce),1.600,1.590
2,1:07,2,6,DAL 44,14,14,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,1.590,0.890
2,1:04,3,6,DAL 44,14,14,Julius Jones up the middle for 7 yards (tackle by John Lynch),0.890,2.320
2,0:49,1,10,DEN 49,14,14,Drew Bledsoe spiked the ball,2.320,1.780
2,0:48,2,10,DEN 49,14,14,"Drew Bledsoe pass incomplete intended for Keyshawn Johnson. Penalty on Ebenezer Ekuban: Defensive Offside, 5 yards (no play)",1.780,2.460
2,0:43,2,5,DEN 44,14,14,"Penalty on Drew Bledsoe: Delay of Game, 5 yards (no play)",2.460,1.780
2,0:43,2,10,DEN 49,14,14,"Drew Bledsoe pass incomplete. Penalty on Al Johnson: Offensive Holding, 10 yards (no play)",1.780,0.430
2,0:37,2,20,DAL 41,14,14,Drew Bledsoe pass complete to Julius Jones for -5 yards (tackle by Ebenezer Ekuban),0.430,-0.890
2,0:10,3,25,DAL 36,14,14,Drew Bledsoe for 2 yards (tackle by Michael Myers). Penalty on Rob Petitti: Offensive Holding (no play),-0.890,-0.850
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,14,14,"Todd Sauerbrun kicks off 67 yards, returned by Tyson Thompson for 33 yards (tackle by Kyle Johnson)",0.000,1.330
3,14:54,1,10,DAL 36,14,14,Julius Jones right tackle for no gain (tackle by Courtney Brown),1.330,0.790
3,14:14,2,10,DAL 36,14,14,Drew Bledsoe pass complete to Jason Witten for 12 yards (tackle by Domonique Foxworth),0.790,2.130
3,13:34,1,10,DAL 48,14,14,Julius Jones right tackle for 4 yards (tackle by D.J. Williams),2.130,2.120
3,12:53,2,6,DEN 48,14,14,Drew Bledsoe pass incomplete intended for Lousaka Polite,2.120,1.420
3,12:48,3,6,DEN 48,14,14,Drew Bledsoe pass complete to Marion Barber for -2 yards (tackle by Champ Bailey),1.420,-0.060
3,12:21,4,8,DAL 50,14,14,"Mat McBriar punts 40 yards, fair catch by Darrent Williams",-0.060,0.380
3,12:07,1,10,DEN 10,14,14,Mike Anderson up the middle for 3 yards (tackle by DeMarcus Ware),-0.380,-0.560
3,11:30,2,7,DEN 13,14,14,"Mike Anderson up the middle for 7 yards (tackle by Ryan Fowler and Terence Newman). Penalty on Ben Hamilton: Offensive Holding, 6 yards (no play)",-0.560,-1.000
3,11:19,2,13,DEN 7,14,14,Jake Plummer pass complete to Rod Smith for 6 yards (tackle by Aaron Glenn),-1.000,-1.070
3,10:46,3,7,DEN 13,14,14,Jake Plummer pass complete to Jeb Putzier for 21 yards (tackle by Roy Williams),-1.070,1.200
3,10:01,1,10,DEN 34,14,14,Mike Anderson up the middle for 3 yards (tackle by Marcus Spears and Chris Canty),1.200,1.060
3,9:28,2,7,DEN 37,14,14,Jake Plummer pass complete to Rod Smith for 13 yards (tackle by Keith Davis),1.060,2.260
3,8:51,1,10,DAL 50,14,14,Mike Anderson left guard for 4 yards (tackle by Greg Ellis),2.260,2.250
3,8:12,2,6,DAL 46,14,14,Jake Plummer for 14 yards,2.250,3.450
3,7:50,1,10,DAL 32,14,14,Ron Dayne right end for 4 yards (tackle by Ryan Fowler),3.450,3.440
3,7:11,2,6,DAL 28,14,14,Mike Anderson right guard for 3 yards (tackle by DeMarcus Ware),3.440,3.140
3,6:35,3,3,DAL 25,14,14,Jake Plummer pass complete to Jeb Putzier for 9 yards (tackle by Terence Newman),3.140,4.510
3,5:52,1,10,DAL 16,20,14,"Ron Dayne right tackle for 16 yards, touchdown",4.510,7.000
3,,,,DAL 2,21,14,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,,,"Todd Sauerbrun kicks off 53 yards, returned by Dan Campbell for 14 yards",,
3,5:42,1,10,DAL 31,21,14,Drew Bledsoe pass complete to Julius Jones for 4 yards (tackle by Domonique Foxworth),1.000,1.000
3,5:00,2,6,DAL 35,21,14,Julius Jones up the middle for 1 yard (tackle by Ebenezer Ekuban),1.000,0.430
3,4:25,3,5,DAL 36,21,14,Drew Bledsoe pass complete to Peerless Price for 8 yards,0.430,1.860
3,3:58,1,10,DAL 44,21,14,Julius Jones right tackle for no gain (tackle by Courtney Brown),1.860,1.320
3,3:23,2,10,DAL 44,21,14,Drew Bledsoe pass complete to Terry Glenn for 12 yards (tackle by Domonique Foxworth),1.320,2.650
3,2:50,1,10,DEN 44,21,14,Julius Jones right tackle for 3 yards (tackle by Ian Gold and D.J. Williams),2.650,2.520
3,2:08,2,7,DEN 41,21,14,Julius Jones up the middle for 2 yards (tackle by John Lynch),2.520,2.080
3,1:24,3,5,DEN 39,21,14,Drew Bledsoe sacked by Trevor Pryce for -3 yards,2.080,0.460
3,0:57,4,8,DEN 42,21,14,"Penalty on L.P. Ladouceur: False Start, 5 yards (no play)",0.460,0.130
3,0:46,4,13,DEN 47,21,14,"Mat McBriar punts 45 yards. Penalty on Domonique Foxworth: Illegal Block Above the , 1 yards",0.130,0.380
3,0:33,1,10,DEN 1,21,14,Mike Anderson left tackle for 1 yard (tackle by Bradie James),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,DEN 2,21,14,"Jake Plummer pass complete to Mike Anderson for 3 yards (tackle by Roy Williams). Mike Anderson fumbles (forced by Roy Williams), recovered by Terence Newman at DEN-10",-0.710,-4.910
4,14:54,1,10,DEN 10,21,14,Marion Barber left tackle for 2 yards (tackle by D.J. Williams),4.910,4.570
4,14:16,2,8,DEN 8,21,14,Marion Barber right tackle for 4 yards (tackle by Courtney Brown),4.570,4.490
4,13:40,,,,21,14,Timeout #1 by Dallas Cowboys,0.000,4.490
4,13:40,3,4,DEN 4,21,20,"Drew Bledsoe pass complete to Jason Witten for 4 yards, touchdown",4.490,7.000
4,,,,DEN 2,21,21,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,DAL 30,21,21,"Billy Cundiff kicks off 69 yards, returned by Roc Alexander for 23 yards (tackle by Terrance Copper)",0.000,0.540
4,13:31,1,10,DEN 24,21,21,Ron Dayne left end for 5 yards (tackle by Aaron Glenn),0.540,0.670
4,12:53,2,5,DEN 29,21,21,"Ron Dayne up the middle for 4 yards (tackle by La'Roi Glover). Penalty on Tom Nalen: Offensive Holding, 10 yards (no play)",0.670,-0.740
4,12:27,2,15,DEN 19,21,21,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Terence Newman),-0.740,-1.430
4,12:22,3,15,DEN 19,21,21,Jake Plummer sacked by Greg Ellis for -6 yards,-1.430,-2.490
4,11:44,4,21,DEN 13,21,21,"Todd Sauerbrun punts 42 yards, muffed catch by Terence Newman, recovered by Terence Newman and returned for no gain",-2.490,-1.930
4,11:35,1,10,DAL 45,21,21,Julius Jones left end for 3 yards (tackle by Ebenezer Ekuban),1.930,1.790
4,11:02,2,7,DAL 48,21,21,Drew Bledsoe pass complete to Jason Witten for 7 yards (tackle by Ian Gold),1.790,2.590
4,10:22,1,10,DEN 45,21,21,Drew Bledsoe pass incomplete intended for Terry Glenn,2.590,2.040
4,10:16,2,10,DEN 45,21,21,Julius Jones for 11 yards,2.040,3.310
,,,,,,,"DAL challenged the ruling, and the original play was overturned.",,
4,9:43,1,10,DEN 34,21,21,Drew Bledsoe pass complete to Keyshawn Johnson for 14 yards,3.310,4.240
4,9:20,1,10,DEN 20,21,21,Julius Jones up the middle for 2 yards (tackle by D.J. Williams),4.240,3.960
4,8:39,2,8,DEN 18,21,21,Drew Bledsoe pass complete to Julius Jones for 3 yards (tackle by Ian Gold),3.960,3.700
4,7:52,3,5,DEN 15,21,21,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,3.700,2.490
4,7:46,4,5,DEN 15,21,21,Billy Cundiff 34 yard field goal no good,2.490,-0.540
4,7:42,1,10,DEN 24,21,21,Jake Plummer pass complete to Jeb Putzier for 15 yards (tackle by Roy Williams),0.540,1.530
4,7:00,1,10,DEN 39,21,21,Ron Dayne left end for 2 yards (tackle by DeMarcus Ware),1.530,1.260
4,6:24,2,8,DEN 41,21,21,Jake Plummer pass complete to Ron Dayne for 3 yards (tackle by Bradie James),1.260,0.960
4,5:43,3,5,DEN 44,21,21,"Jake Plummer pass complete to Jeb Putzier for 9 yards (tackle by Ryan Fowler). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",0.960,-0.360
4,5:20,,,,21,21,Timeout #1 by Denver Broncos,0.000,-0.360
4,5:20,3,15,DEN 34,21,21,Jake Plummer pass complete to Ron Dayne for 7 yards (tackle by Terence Newman),-0.360,-0.650
4,4:40,4,8,DEN 41,21,21,"Todd Sauerbrun punts 47 yards, fair catch by Terence Newman",-0.650,0.350
4,4:32,1,10,DAL 12,21,21,Drew Bledsoe pass complete to Keyshawn Johnson for 12 yards (tackle by Darrent Williams),-0.350,0.540
4,3:53,1,10,DAL 24,21,21,Julius Jones up the middle for 1 yard (tackle by D.J. Williams),0.540,0.130
4,3:16,2,9,DAL 25,21,21,Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by Domonique Foxworth),0.130,-0.560
4,3:12,3,9,DAL 25,21,21,Drew Bledsoe pass complete to Jason Witten for 18 yards (tackle by Champ Bailey),-0.560,1.800
4,2:32,1,10,DAL 43,21,21,Drew Bledsoe pass complete to Keyshawn Johnson for 8 yards,1.800,2.330
4,2:25,2,2,DEN 49,21,21,Julius Jones up the middle for 1 yard (tackle by Demetrin Veal),2.330,1.750
4,2:00,3,1,DEN 48,21,21,Drew Bledsoe pass incomplete intended for Terry Glenn,1.750,0.070
4,1:57,4,1,DEN 48,21,21,"Mat McBriar punts 48 yards, touchback",0.070,-0.280
4,1:48,1,10,DEN 20,21,21,Jake Plummer pass incomplete intended for Todd Devoe (defended by Aaron Glenn),0.280,-0.270
4,1:41,,,,21,21,Timeout #2 by Dallas Cowboys,0.000,-0.270
4,1:39,2,10,DEN 20,21,21,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by Jacques Reeves),-0.270,0.100
4,0:55,,,,21,21,Timeout #2 by Denver Broncos,0.000,0.100
4,0:54,3,2,DEN 28,21,21,Jake Plummer pass incomplete intended for Rod Smith,0.100,-1.500
4,0:50,4,2,DEN 28,21,21,"Todd Sauerbrun punts 42 yards, fair catch by Terence Newman",-1.500,-0.940
4,0:44,1,10,DAL 30,21,21,Drew Bledsoe pass incomplete intended for Julius Jones,0.940,0.390
4,0:38,2,10,DAL 30,21,21,Drew Bledsoe pass complete to Terry Glenn for no gain,0.390,-0.300
4,0:13,,,,21,21,Timeout #3 by Dallas Cowboys,0.000,-0.300
4,0:13,3,10,DAL 30,21,21,Drew Bledsoe up the middle for 2 yards (tackle by Trevor Pryce),-0.300,-0.300
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
,,,,,,,"Broncos won the coin toss, Broncos to receive the overtime kickoff.",,
OT,15:00,3,10,DAL 30,21,21,--,-0.300,-1.070
OT,14:53,1,10,DEN 32,21,21,Jake Plummer pass complete to Charlie Adams for 7 yards (tackle by Aaron Glenn),1.070,1.470
OT,14:16,2,3,DEN 39,21,21,Ron Dayne left end for 55 yards (tackle by Terence Newman),1.470,5.830
OT,13:43,2,3,DEN 39,21,21,Timeout #1 by Denver Broncos,1.470,5.830
OT,13:39,1,6,DAL 6,24,21,Jason Elam 24 yard field goal good,5.830,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
