Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
2,2:37,1,10,STL 36,7,7,Jay Fiedler pass complete to Randy McMichael for 12 yards (tackle by Tommy Polley),3.180,3.970
2,2:00,1,10,STL 24,7,7,Sammy Morris up the middle for -4 yards (tackle by Anthony Hargrove),3.970,2.890
2,1:21,2,14,STL 28,7,7,Jay Fiedler pass complete to Sammy Morris for -4 yards (tackle by Travis Fisher),2.890,1.690
2,0:35,3,18,STL 32,7,7,"Jay Fiedler pass incomplete. Penalty on Randy McMichael: Offensive Holding, 10 yards, Penalty on Damion McIntosh: Illegal Touch Pass (Declined) (no play)",1.690,0.370
2,0:29,3,28,STL 42,7,13,"Jay Fiedler pass complete to Randy McMichael for 42 yards, touchdown",0.370,7.000
2,,,,STL 2,7,14,Matt Bryant kicks extra point good,0.000,0.000
2,,,,MIA 30,7,14,"Matt Bryant kicks off 66 yards, returned by Dwight Anderson for 20 yards (tackle by Brendon Ayanbadejo)",0.000,0.540
2,0:16,1,10,STL 24,7,14,Marc Bulger pass complete to Marshall Faulk for 8 yards (tackle by Will Poole),0.540,1.080
2,0:06,,,,7,14,Timeout #2 by St. Louis Rams,0.000,1.080
2,0:06,2,2,STL 32,7,14,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Will Poole),1.080,1.530
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,7,14,"Jeff Wilkins kicks off 55 yards, returned by Wes Welker for 16 yards (tackle by Mike Furrey)",0.000,1.000
3,14:55,1,10,MIA 31,7,14,Jay Fiedler sacked by Damione Lewis for -8 yards,1.000,-0.620
3,14:25,2,18,MIA 23,7,14,Sammy Morris left tackle for 2 yards (tackle by Adam Archuleta),-0.620,-1.020
3,13:41,3,16,MIA 25,7,14,Jay Fiedler sacked by Bryce Fisher and Erik Flowers for -6 yards,-1.020,-2.140
3,13:14,4,22,MIA 19,7,14,"Matt Turk punts 49 yards, returned by Shaun McDonald for -2 yards (tackle by Travis Minor)",-2.140,-0.940
3,13:01,1,10,STL 30,7,14,Marc Bulger pass complete to Marshall Faulk for 21 yards (tackle by Sammy Knight),0.940,2.320
3,12:13,1,10,MIA 49,7,14,Steven Jackson left guard for 4 yards (tackle by Zach Thomas and Bryan Robinson),2.320,2.320
3,11:10,2,6,MIA 45,7,14,Marshall Faulk left guard for 1 yard (tackle by Zach Thomas),2.320,1.750
3,10:32,3,5,MIA 44,7,14,Marc Bulger pass complete to Shaun McDonald for 25 yards (tackle by Reggie Howard),1.750,4.310
3,9:42,1,10,MIA 19,7,14,Marshall Faulk up the middle for 10 yards (tackle by Zach Thomas),4.310,5.140
3,8:59,1,9,MIA 9,7,14,"Steven Jackson right end for 8 yards (tackle by Eddie Moore). Penalty on Scott Tercero: Offensive Holding, 10 yards (no play)",5.140,4.230
3,8:35,1,19,MIA 19,7,14,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Sammy Knight,4.230,-0.280
3,8:28,1,10,MIA 20,7,14,Sammy Morris right guard for 1 yard (tackle by Tommy Polley and Trev Faulk),0.280,-0.130
3,7:49,2,9,MIA 21,7,14,Sammy Morris right guard for 8 yards (tackle by Adam Archuleta). Penalty on Leonard Little: Defensive Offside (Declined),-0.130,0.230
3,7:24,3,1,MIA 29,7,14,Sammy Morris right guard for 2 yards (tackle by Anthony Hargrove),0.230,1.000
3,6:48,1,10,MIA 31,7,14,Sammy Morris left guard for 5 yards (tackle by Travis Fisher),1.000,1.140
3,6:09,2,5,MIA 36,7,14,Sammy Morris up the middle for -3 yards (tackle by Tommy Polley),1.140,0.040
3,5:24,3,8,MIA 33,7,14,Jay Fiedler pass complete to Sammy Morris for 7 yards (tackle by Pisa Tinoisamoa),0.040,-0.720
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
3,5:16,4,1,MIA 40,7,14,Sammy Morris right guard for 6 yards (tackle by Trev Faulk),-0.720,1.990
3,4:35,1,10,MIA 46,7,14,Sammy Morris up the middle for 2 yards (tackle by Trev Faulk),1.990,1.720
3,3:55,2,8,MIA 48,7,14,Sammy Morris right guard for 2 yards (tackle by Trev Faulk and Pisa Tinoisamoa),1.720,1.290
3,3:11,3,6,MIA 50,7,14,Jay Fiedler sacked by Leonard Little and Anthony Hargrove for -8 yards,1.290,-0.590
3,2:41,4,14,MIA 42,7,14,"Matt Turk punts 43 yards, returned by Shaun McDonald for 1 yard (tackle by Yeremiah Bell)",-0.590,0.140
3,2:31,1,10,STL 16,7,14,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Jay Williams),-0.140,-0.510
3,1:43,2,9,STL 17,7,14,Marc Bulger pass complete to Torry Holt for 4 yards (tackle by Arturo Freeman),-0.510,-0.700
3,0:57,3,5,STL 21,7,14,Marc Bulger pass incomplete intended for Isaac Bruce,-0.700,-1.960
3,0:52,4,5,STL 21,7,14,"Sean Landeta punts 38 yards, returned by Wes Welker for 11 yards (tackle by Chris Massey)",-1.960,-2.390
3,0:41,1,10,STL 48,7,14,Jay Fiedler pass complete to Marty Booker for 15 yards (tackle by Jerametrius Butler),2.390,3.380
3,0:18,1,10,STL 33,7,14,Travis Minor up the middle for 5 yards (tackle by Anthony Hargrove),3.380,3.510
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,STL 28,7,14,"Jay Fiedler pass complete to Rob Konrad for 2 yards (tackle by Tommy Polley). Penalty on Tommy Polley: Unnecessary Roughness, 13 yards",3.510,4.710
4,14:34,1,10,STL 13,7,14,Jay Fiedler pass incomplete intended for Marty Booker,4.710,4.050
4,14:29,2,10,STL 13,7,20,"Travis Minor right end for 13 yards, touchdown",4.050,7.000
4,,,,STL 2,7,21,Matt Bryant kicks extra point good,0.000,0.000
4,,,,MIA 30,7,21,"Matt Bryant kicks off 67 yards, returned by Dwight Anderson for 11 yards (tackle by Reggie Howard)",0.000,-0.280
4,14:12,1,10,STL 14,7,21,Marshall Faulk up the middle for -1 yards (tackle by David Bowens),-0.280,-0.850
4,13:32,2,11,STL 13,7,21,Marc Bulger pass incomplete intended for Cam Cleeland (defended by Morlon Greenwood),-0.850,-1.530
4,13:26,3,11,STL 13,7,21,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Will Poole),-1.530,-2.030
4,12:45,4,4,STL 20,7,21,"Sean Landeta punts 49 yards, returned by Wes Welker for 20 yards (tackle by Adam Archuleta)",-2.030,-2.320
4,12:27,1,10,STL 49,7,21,Sammy Morris left guard for 1 yard (tackle by Erik Flowers),2.320,1.920
4,11:50,2,9,STL 48,7,21,Jay Fiedler pass incomplete intended for Chris Chambers (defended by Jerametrius Butler),1.920,1.220
,,,,,,,"MIA challenged the ruling, and the original play was overturned.",,
4,11:48,3,9,STL 48,7,21,Jay Fiedler pass complete to Randy McMichael for 10 yards (tackle by Aeneas Williams),1.220,3.050
4,11:17,1,10,STL 38,7,21,Chris Chambers left end for 15 yards (tackle by Anthony Hargrove),3.050,4.040
4,10:47,1,10,STL 23,7,21,Jay Fiedler sacked by Ryan Pickett for -7 yards,4.040,2.550
4,10:11,2,17,STL 30,7,21,Sammy Morris right end for 2 yards (tackle by Anthony Hargrove and Pisa Tinoisamoa),2.550,2.150
4,9:28,3,15,STL 28,7,21,Sammy Morris up the middle for 3 yards (tackle by Pisa Tinoisamoa),2.150,1.800
4,8:52,4,12,STL 25,7,24,"Matt Bryant 43 yard field goal good. Penalty on STL: Defensive 12 On-field, 5 yards",1.800,3.000
4,,,,MIA 35,7,24,"Matt Bryant kicks off 63 yards, returned by Mike Furrey for 20 yards (tackle by Morlon Greenwood)",0.000,0.410
4,8:40,1,10,STL 22,7,24,Marc Bulger pass complete to Isaac Bruce for 36 yards (tackle by Arturo Freeman),0.410,2.790
4,8:22,1,10,MIA 42,7,24,Marc Bulger pass incomplete intended for Shaun McDonald,2.790,2.240
4,8:16,2,10,MIA 42,7,24,Marc Bulger sacked by Jason Taylor for -8 yards,2.240,0.500
4,7:45,3,18,MIA 50,7,24,Marc Bulger pass complete to Steven Jackson for 11 yards (tackle by Sammy Knight),0.500,0.660
4,7:05,4,7,MIA 39,7,24,"Marc Bulger pass complete to Shaun McDonald for 9 yards (tackle by Will Poole). Penalty on Scott Tercero: Offensive Holding, 10 yards (no play)",0.660,0.000
4,6:39,4,17,MIA 49,7,24,Marc Bulger pass complete to Shaun McDonald for 23 yards,0.000,3.840
,,,,,,,"STL challenged the ruling, and the original play was overturned.",,
4,6:21,1,10,MIA 26,7,24,Marc Bulger pass incomplete intended for Kevin Curtis,3.840,3.300
4,6:15,2,10,MIA 26,7,24,Marshall Faulk right guard for 5 yards (tackle by Jeff Zgonina and Jason Taylor),3.300,3.270
4,5:38,3,5,MIA 21,7,24,Marc Bulger pass incomplete intended for Marshall Faulk (defended by David Bowens),3.270,2.110
4,5:33,4,5,MIA 21,7,24,Marshall Faulk for 6 yards (tackle by Will Poole),2.110,4.580
4,5:03,1,10,MIA 15,13,24,"Marc Bulger pass complete to Shaun McDonald for 15 yards, touchdown",4.580,7.000
4,,,,MIA 2,14,24,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,14,24,"Jeff Wilkins kicks off 58 yards, returned by Wes Welker for 14 yards",,
4,4:46,1,10,MIA 26,14,24,Sammy Morris left guard for 4 yards (tackle by Adam Archuleta),0.670,0.670
4,4:40,,,,14,24,Timeout #1 by St. Louis Rams,0.000,0.670
4,4:40,2,6,MIA 30,14,24,Sammy Morris up the middle for -1 yards (tackle by Adam Archuleta),0.670,-0.160
4,4:34,,,,14,24,Timeout #2 by St. Louis Rams,0.000,-0.160
4,4:34,3,7,MIA 29,14,30,"Jay Fiedler pass complete to Chris Chambers for 71 yards, touchdown",-0.160,7.000
4,,,,STL 2,14,31,Matt Bryant kicks extra point good,0.000,0.000
4,,,,MIA 30,14,31,"Matt Bryant kicks off 60 yards, returned by Mike Furrey for 11 yards (tackle by Brock Forsey)",0.000,0.340
4,4:19,1,10,STL 21,14,31,Marc Bulger pass complete to Isaac Bruce for 9 yards (tackle by Will Poole),0.340,1.020
4,3:59,2,1,STL 30,14,31,"Penalty on Orlando Pace: False Start, 5 yards (no play)",1.020,0.340
4,3:56,2,6,STL 25,14,31,Marc Bulger pass complete to Shaun McDonald for 14 yards (tackle by Sammy Knight). Penalty on Patrick Surtain: Defensive Holding (Declined),0.340,1.530
4,3:46,1,10,STL 39,14,31,Marc Bulger pass complete to Isaac Bruce for 21 yards (tackle by Sam Madison),1.530,2.920
4,3:24,1,10,MIA 40,14,31,Marc Bulger spiked the ball,2.920,2.370
4,3:24,2,10,MIA 40,14,31,Marc Bulger pass incomplete intended for Shaun McDonald,2.370,1.680
4,3:18,3,10,MIA 40,14,31,Marc Bulger pass incomplete intended for Shaun McDonald (defended by David Bowens),1.680,0.590
4,3:13,4,10,MIA 40,14,31,Marc Bulger pass complete to Marshall Faulk for 11 yards (tackle by Zach Thomas),0.590,3.640
4,3:06,1,10,MIA 29,14,31,Steven Jackson right end for 7 yards (tackle by Zach Thomas and Arturo Freeman). Penalty on Jason Taylor: Defensive Offside (Declined),3.640,4.050
4,2:58,2,3,MIA 22,14,31,Marc Bulger pass incomplete intended for Shaun McDonald,4.050,3.340
4,2:54,3,3,MIA 22,14,31,Marc Bulger pass incomplete intended for Shaun McDonald,3.340,2.090
4,2:49,4,3,MIA 22,14,31,"Penalty on Scott Tercero: False Start, 5 yards (no play)",2.090,1.670
4,2:49,4,8,MIA 27,14,31,Marc Bulger sacked by Zach Thomas for -9 yards,1.670,-1.330
4,2:43,1,10,MIA 36,14,31,Sammy Morris up the middle for 7 yards (tackle by Anthony Hargrove),1.330,1.740
4,2:00,2,3,MIA 43,14,31,Sammy Morris up the middle for -2 yards (tackle by Trev Faulk),1.740,0.760
4,1:54,,,,14,31,Timeout #3 by St. Louis Rams,0.000,0.760
4,1:54,3,5,MIA 41,14,31,Sammy Morris up the middle for 6 yards (tackle by Rich Coady),0.760,2.060
4,1:08,1,10,MIA 47,14,31,Jay Fiedler kneels for -1 yards,2.060,1.380
4,0:38,2,11,MIA 46,14,31,Jay Fiedler kneels for -1 yards,1.380,0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
