Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
2,15:00,2,11,PIT 31,0,0,Kyle Boller pass complete to Justin Green for 2 yards (tackle by James Harrison),2.900,2.480
2,14:26,3,9,PIT 29,0,0,Kyle Boller pass incomplete intended for Mark Clayton,2.480,1.500
2,14:22,4,9,PIT 29,0,3,Matt Stover 47 yard field goal good,1.500,3.000
2,,,,BAL 30,0,3,"Aaron Elling kicks off 61 yards, returned by Ricardo Colclough for 15 yards (tackle by Mike Smith)",0.000,-0.540
2,14:12,1,10,PIT 24,0,3,"Tommy Maddox pass incomplete (defended by Terrell Suggs). Penalty on Chris McAlister: Illegal Contact (Declined), Penalty on Samari Rolle: Defensive Holding, 5 yards (no play)",0.540,0.870
2,14:07,1,10,PIT 29,0,3,Tommy Maddox up the middle for 2 yards (tackle by Jarret Johnson),0.870,0.600
2,13:24,2,8,PIT 31,0,3,Tommy Maddox pass complete to Heath Miller for 19 yards (tackle by Deion Sanders),0.600,2.260
2,12:42,1,10,BAL 50,0,3,Jerome Bettis right tackle for -1 yards (tackle by Ma'ake Kemoeatu),2.260,1.580
2,12:04,2,11,PIT 49,0,3,Tommy Maddox pass complete to Hines Ward for 32 yards (tackle by Chad Williams),1.580,4.310
2,11:18,1,10,BAL 19,0,3,Jerome Bettis left end for 1 yard (tackle by Will Demps),4.310,3.880
2,10:35,2,9,BAL 18,0,3,Tommy Maddox sacked by Tommy Polley for -8 yards,3.880,2.150
2,10:00,3,17,BAL 26,0,3,Tommy Maddox pass incomplete intended for Verron Haynes,2.150,1.740
2,9:58,4,17,BAL 26,3,3,Jeff Reed 44 yard field goal good,1.740,3.000
2,,,,PIT 30,3,3,"Jeff Reed kicks off 62 yards, returned by Chester Taylor for 45 yards (tackle by Chidi Iwuoma)",0.000,2.460
2,9:44,1,10,PIT 47,3,3,Kyle Boller pass complete to Derrick Mason for 17 yards (tackle by Ike Taylor),2.460,3.580
2,9:09,1,10,PIT 30,3,3,Jamal Lewis left tackle for 1 yard (tackle by Casey Hampton),3.580,3.170
2,8:31,2,9,PIT 29,3,3,Kyle Boller right guard for 1 yard (tackle by Aaron Smith),3.170,2.610
2,7:48,3,8,PIT 28,3,3,Kyle Boller pass complete to Todd Heap for 14 yards (tackle by Ike Taylor),2.610,4.650
2,7:17,1,10,PIT 14,3,3,Chester Taylor up the middle for 13 yards (tackle by Ike Taylor and Brett Keisel),4.650,6.970
2,6:38,1,1,PIT 1,3,3,Kyle Boller up the middle for -2 yards (tackle by Casey Hampton),6.970,5.530
,,,,,,,"BAL challenged the ruling, and the original play was overturned.",,
2,6:19,2,3,PIT 3,3,3,Kyle Boller pass incomplete intended for Randy Hymes,5.530,4.720
2,6:14,,,,3,3,Timeout #1 by Baltimore Ravens,0.000,0.000
2,6:14,,,,3,3,Timeout #1 by Pittsburgh Steelers,0.000,4.720
2,6:14,3,3,PIT 3,3,9,"Kyle Boller pass complete to Randy Hymes for 3 yards, touchdown",4.720,7.000
2,,,,PIT 2,3,10,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,3,10,"Aaron Elling kicks off 64 yards, returned by Ricardo Colclough for 16 yards (tackle by Chester Taylor)",0.000,-0.410
2,6:05,1,10,PIT 22,3,10,Tommy Maddox pass incomplete intended for Heath Miller (defended by Samari Rolle),0.410,-0.130
2,6:00,2,10,PIT 22,3,10,Tommy Maddox pass incomplete intended for Cedrick Wilson (defended by Samari Rolle),-0.130,-0.820
2,5:52,3,10,PIT 22,3,10,Tommy Maddox pass incomplete intended for Cedrick Wilson,-0.820,-1.900
2,5:48,4,10,PIT 22,3,10,"Chris Gardocki punts 48 yards, returned by B.J. Sams for 33 yards (tackle by Verron Haynes). Penalty on B.J. Ward: Illegal Block Above the (Declined), Penalty on Mike Smith: Illegal Block Above the , 10 yards",-1.900,-0.410
2,5:31,1,10,BAL 22,3,10,"Jamal Lewis for no gain (tackle by Aaron Smith). Jamal Lewis fumbles (forced by Aaron Smith), recovered by Deshea Townsend at BAL-22 and returned for 2 yards",0.410,-4.240
2,5:24,1,10,BAL 20,3,10,Tommy Maddox pass incomplete intended for Hines Ward,4.240,3.690
2,5:24,2,10,BAL 20,3,10,"Penalty on Trai Essex: False Start, 5 yards (no play)",3.690,3.020
2,5:19,2,15,BAL 25,3,10,Tommy Maddox pass incomplete intended for Dan Kreider,3.020,2.340
2,5:13,3,15,BAL 25,3,10,Tommy Maddox pass complete to Heath Miller for 6 yards (tackle by Anthony Weaver and Peter Boulware),2.340,2.180
2,5:13,4,9,BAL 19,6,10,Jeff Reed 37 yard field goal good,2.180,3.000
2,,,,PIT 30,6,10,"Jeff Reed kicks off 66 yards, returned by B.J. Sams for 29 yards (tackle by James Harrison)",0.000,1.140
2,4:17,1,10,BAL 33,6,10,Kyle Boller pass complete to Justin Green for 7 yards (tackle by Chris Hope),1.140,1.540
2,3:42,2,3,BAL 40,6,10,Chester Taylor left tackle for 7 yards (tackle by Troy Polamalu and Aaron Smith),1.540,2.060
2,3:04,1,10,BAL 47,6,10,Chester Taylor up the middle for 14 yards (tackle by Ike Taylor and Chris Hope),2.060,2.980
2,2:26,1,10,PIT 39,6,10,"Jamal Lewis left guard for 5 yards (tackle by Clint Kriewaldt). Penalty on Chris Hoke: Defensive Holding, 5 yards",2.980,3.640
2,2:00,1,10,PIT 29,6,10,Jamal Lewis left end for 4 yards (tackle by Joey Porter),3.640,3.640
2,1:22,2,6,PIT 25,6,10,Kyle Boller pass complete to Mark Clayton for 13 yards (tackle by Ike Taylor),3.640,4.780
2,0:46,1,10,PIT 12,6,10,Chester Taylor right tackle for no gain (tackle by Troy Polamalu),4.780,4.100
2,0:41,,,,6,10,Timeout #2 by Baltimore Ravens,0.000,4.100
2,0:40,2,10,PIT 12,6,10,Kyle Boller up the middle for 6 yards (tackle by Troy Polamalu),4.100,4.380
2,0:31,,,,6,10,Timeout #3 by Baltimore Ravens,0.000,4.380
2,0:31,3,4,PIT 6,6,10,Kyle Boller pass incomplete intended for Derrick Mason,4.380,3.000
2,0:21,4,4,PIT 6,6,13,Matt Stover 25 yard field goal good,3.000,3.000
2,,,,BAL 30,6,13,"Aaron Elling kicks off 52 yards, returned by Ricardo Colclough for 8 yards (tackle by Ovie Mughelli)",0.000,-0.670
2,0:14,1,10,PIT 26,6,13,Tommy Maddox kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,6,13,"Aaron Elling kicks off 63 yards, returned by Quincy Morgan for 16 yards (tackle by B.J. Ward)",0.000,-0.480
3,14:54,1,10,PIT 23,6,13,Tommy Maddox pass complete to Dan Kreider for 9 yards (tackle by Samari Rolle),0.480,1.150
3,14:19,2,1,PIT 32,6,13,Willie Parker right tackle for 5 yards (tackle by Kelly Gregg),1.150,1.400
3,13:39,1,10,PIT 37,6,13,Willie Parker left tackle for -4 yards (tackle by Anthony Weaver),1.400,0.320
3,13:01,2,14,PIT 33,6,13,Willie Parker up the middle for 10 yards (tackle by Chad Williams),0.320,0.960
3,12:20,3,4,PIT 43,6,13,Tommy Maddox pass complete to Hines Ward for 9 yards (tackle by Will Demps),0.960,2.390
3,11:39,1,10,BAL 48,6,13,"Penalty on Alan Faneca: False Start, 5 yards (no play)",2.390,2.060
3,11:14,1,15,PIT 47,6,13,Willie Parker left tackle for -2 yards (tackle by Tommy Polley),2.060,0.900
3,10:36,2,17,PIT 45,6,13,Tommy Maddox pass incomplete intended for Hines Ward,0.900,0.230
3,10:31,3,17,PIT 45,6,13,Tommy Maddox pass incomplete intended for Antwaan Randle El,0.230,-0.390
3,10:26,4,17,PIT 45,6,13,"Chris Gardocki punts 46 yards, returned by B.J. Sams for 3 yards (tackle by James Harrison)",-0.390,0.350
3,10:15,1,10,BAL 12,6,13,Chester Taylor up the middle for 5 yards (tackle by Ike Taylor),-0.350,-0.230
3,9:38,2,5,BAL 17,6,13,Chester Taylor up the middle for 1 yard,-0.230,-0.720
3,9:01,3,4,BAL 18,6,13,Kyle Boller pass complete to Derrick Mason for 9 yards (tackle by Bryant McFadden),-0.720,0.740
3,8:20,1,10,BAL 27,6,13,Kyle Boller pass incomplete intended for Mark Clayton (defended by Deshea Townsend),0.740,0.200
3,8:13,2,10,BAL 27,6,13,Kyle Boller right tackle for 3 yards (tackle by Clint Kriewaldt),0.200,-0.100
3,7:33,3,7,BAL 30,6,13,Kyle Boller sacked for -1 yards,-0.100,-1.440
3,7:15,4,8,BAL 29,6,13,"Dave Zastudil punts 46 yards, fair catch by Antwaan Randle El",-1.440,-0.610
3,7:09,1,10,PIT 25,6,13,"Willie Parker left tackle for 5 yards (tackle by Deion Sanders). Penalty on Chris McAlister: Illegal Use of Hands, 5 yards",0.610,1.270
3,6:39,1,10,PIT 35,6,13,Tommy Maddox pass incomplete intended for Hines Ward,1.270,0.720
3,6:32,2,10,PIT 35,6,13,Tommy Maddox pass complete to Antwaan Randle El for 5 yards (tackle by Chad Williams),0.720,0.700
3,5:52,3,5,PIT 40,6,13,"Tommy Maddox pass incomplete is intercepted by Terrell Suggs at PIT-38 and returned for 37 yards. Penalty on Peter Boulware: Defensive Offside, 5 yards (no play)",0.700,1.930
3,5:41,1,10,PIT 45,6,13,Willie Parker left tackle for 5 yards (tackle by Bart Scott),1.930,2.060
3,5:07,2,5,BAL 50,6,13,Tommy Maddox pass complete to Antwaan Randle El for 4 yards (tackle by Tommy Polley),2.060,1.880
3,4:48,3,1,BAL 46,6,13,Tommy Maddox up the middle for 2 yards (tackle by Kelly Gregg),1.880,2.650
3,4:10,1,10,BAL 44,6,13,Willie Parker up the middle for 4 yards (tackle by Anthony Weaver),2.650,2.650
3,3:40,2,6,BAL 40,6,13,Tommy Maddox pass incomplete intended for Antwaan Randle El,2.650,1.950
3,3:35,,,,6,13,Timeout #1 by Pittsburgh Steelers,0.000,1.950
3,3:35,3,6,BAL 40,6,13,"Penalty on Terrell Suggs: Defensive Offside, 5 yards (no play)",1.950,2.610
3,3:35,3,1,BAL 35,6,13,Willie Parker left tackle for no gain (tackle by Bart Scott),2.610,1.000
3,3:30,,,,6,13,Timeout #2 by Pittsburgh Steelers,0.000,1.000
3,3:30,4,1,BAL 35,6,13,Tommy Maddox sacked by Bart Scott for -8 yards,1.000,-1.800
3,3:26,1,10,BAL 43,6,13,Kyle Boller pass complete to Mark Clayton for 9 yards (tackle by Chris Hope),1.800,2.470
3,2:55,2,1,PIT 48,6,13,Chester Taylor left end for no gain (tackle by Joey Porter),2.470,1.750
3,2:30,3,1,PIT 48,6,13,Chester Taylor left end for no gain (tackle by Clint Kriewaldt),1.750,0.070
3,1:49,4,1,PIT 48,6,13,"Dave Zastudil punts 48 yards, touchback",0.070,-0.280
3,1:38,1,10,PIT 20,6,13,Willie Parker right tackle for 1 yard (tackle by Jarret Johnson),0.280,-0.130
3,0:57,2,9,PIT 21,6,13,Tommy Maddox pass complete to Heath Miller for 6 yards (tackle by Chad Williams),-0.130,-0.030
3,0:15,3,3,PIT 27,6,13,Tommy Maddox pass complete to Verron Haynes for 17 yards (tackle by Chad Williams),-0.030,1.860
Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PIT 44,6,13,Antwaan Randle El pass complete to Willie Parker for 11 yards (tackle by Bart Scott and Kelly Gregg),1.860,2.590
4,14:13,1,10,BAL 45,6,13,Tommy Maddox sacked by Bart Scott for -6 yards,2.590,1.230
4,13:43,2,16,PIT 49,6,13,Tommy Maddox pass incomplete intended for Hines Ward,1.230,0.560
4,13:39,,,,6,13,Timeout #3 by Pittsburgh Steelers,0.000,0.560
4,13:39,3,16,PIT 49,6,13,Tommy Maddox left tackle for 8 yards (tackle by Tommy Polley),0.560,0.400
4,13:13,4,8,BAL 43,6,13,Chris Gardocki punts 21 yards,0.400,-0.410
4,13:04,1,10,BAL 22,6,13,Kyle Boller sacked by Larry Foote for -8 yards,0.410,-1.330
4,12:41,2,18,BAL 14,6,13,Jamal Lewis left tackle for -1 yards,-1.330,-2.420
4,12:03,3,19,BAL 13,6,13,Kyle Boller pass complete to Chester Taylor for 4 yards (tackle by Deshea Townsend),-2.420,-2.320
4,11:29,4,15,BAL 17,6,13,"Dave Zastudil punts 44 yards, returned by Antwaan Randle El for 5 yards (tackle by Chad Williams)",-2.320,-1.860
4,11:17,1,10,PIT 44,6,13,"Tommy Maddox sacked by Jarret Johnson for -7 yards. Tommy Maddox fumbles (forced by Jarret Johnson), recovered by Bart Scott at PIT-43 (tackle by Dan Kreider)",1.860,-2.720
4,11:05,1,10,PIT 43,6,13,Kyle Boller pass incomplete intended for Todd Heap,2.720,2.180
4,11:04,2,10,PIT 43,6,13,"Chester Taylor right end for 4 yards. Penalty on Brian Rimpf: Offensive Holding, 10 yards (no play)",2.180,0.830
4,10:43,2,20,BAL 47,6,13,Kyle Boller pass complete to Chester Taylor for 3 yards (tackle by Clint Kriewaldt),0.830,0.560
4,9:59,3,17,BAL 50,6,13,Kyle Boller pass incomplete intended for Randy Hymes,0.560,-0.060
4,9:54,4,17,BAL 50,6,13,"Dave Zastudil punts 37 yards, returned by Antwaan Randle El for 2 yards (tackle by Matt Katula)",-0.060,0.220
4,9:44,1,10,PIT 15,6,13,"Penalty on Max Starks: False Start, 5 yards (no play)",-0.220,-0.570
4,9:44,1,15,PIT 10,6,13,Willie Parker up the middle for 9 yards (tackle by Chad Williams),-0.570,-0.110
4,9:08,2,6,PIT 19,6,13,Tommy Maddox pass complete to Antwaan Randle El for 18 yards (tackle by Will Demps and Samari Rolle),-0.110,1.400
4,8:27,1,10,PIT 37,6,13,Tommy Maddox pass complete to Antwaan Randle El for 23 yards (tackle by Deion Sanders),1.400,2.920
4,7:47,1,10,BAL 40,6,13,Willie Parker right tackle for 14 yards (tackle by Adalius Thomas),2.920,3.840
4,7:03,1,10,BAL 26,6,13,Tommy Maddox pass complete to Hines Ward for 15 yards (tackle by Samari Rolle),3.840,4.840
4,6:20,1,10,BAL 11,6,13,Antwaan Randle El pass complete to Hines Ward for 5 yards (tackle by Jarret Johnson and Adalius Thomas),4.840,5.080
4,5:38,2,5,BAL 6,6,13,"Penalty on Kendall Simmons: False Start, 5 yards (no play)",5.080,4.140
4,5:22,2,10,BAL 11,12,13,"Tommy Maddox pass complete to Willie Parker for 11 yards, touchdown",4.140,7.000
4,,,,BAL 2,13,13,"Jeff Reed kicks extra point good. Penalty on Chris McAlister: Defensive Offside, 5 yards",0.000,0.000
4,,,,PIT 35,13,13,"Jeff Reed kicks off 70 yards, returned by Chester Taylor for 24 yards (tackle by Ricardo Colclough)",0.000,0.150
4,5:09,1,10,BAL 19,13,13,Kyle Boller pass complete to Justin Green for -1 yards (tackle by Aaron Smith),0.150,-0.560
4,4:25,2,11,BAL 18,13,13,Chester Taylor left tackle for 7 yards (tackle by Clint Kriewaldt),-0.560,-0.290
4,3:44,,,,13,13,Timeout #1 by Baltimore Ravens,0.000,-0.290
4,3:44,3,4,BAL 25,13,13,Kyle Boller pass complete to Derrick Mason for 10 yards (tackle by Bryant McFadden),-0.290,1.270
4,3:06,1,10,BAL 35,13,13,Chester Taylor right tackle for -3 yards (tackle by Troy Polamalu),1.270,0.320
4,2:22,2,13,BAL 32,13,13,Kyle Boller pass incomplete intended for Derrick Mason (defended by Deshea Townsend),0.320,-0.360
4,2:17,3,13,BAL 32,13,13,"Penalty on Jonathan Ogden: False Start, 5 yards (no play)",-0.360,-1.020
4,2:17,3,18,BAL 27,13,13,Kyle Boller sacked by Clark Haggans for -6 yards,-1.020,-1.960
4,2:00,4,24,BAL 21,13,13,"Dave Zastudil punts 49 yards, returned by Antwaan Randle El for 5 yards (tackle by Will Demps)",-1.960,-1.270
4,1:50,1,10,PIT 35,13,13,Tommy Maddox pass incomplete intended for Cedrick Wilson,1.270,0.720
4,1:45,2,10,PIT 35,13,13,Tommy Maddox pass complete to Hines Ward for 11 yards (tackle by Bart Scott),0.720,1.990
4,1:39,1,10,PIT 46,13,13,Tommy Maddox pass complete to Heath Miller for 1 yard (tackle by Deion Sanders),1.990,1.590
4,1:14,2,9,PIT 47,13,13,Tommy Maddox pass incomplete intended for Hines Ward is intercepted by Terrell Suggs at BAL-44,1.590,-1.860
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:07,1,10,BAL 44,13,13,Kyle Boller pass complete to Chester Taylor for 5 yards (tackle by Casey Hampton),1.860,1.990
4,0:53,,,,13,13,Timeout #2 by Baltimore Ravens,0.000,1.990
4,0:53,2,5,BAL 49,13,13,Kyle Boller up the middle for 6 yards (tackle by Clint Kriewaldt and Clark Haggans),1.990,2.590
4,0:53,1,10,PIT 45,13,13,"Penalty on Tony Pashos: Illegal Formation, 5 yards (no play)",2.590,2.260
4,0:37,1,15,BAL 50,13,13,Kyle Boller pass complete to Todd Heap for 8 yards (tackle by Troy Polamalu),2.260,2.450
4,0:31,2,7,PIT 42,13,13,Kyle Boller pass incomplete intended for Chester Taylor,2.450,1.750
4,0:25,3,7,PIT 42,13,13,Kyle Boller sacked by Tyrone Carter for -9 yards,1.750,-0.130
4,0:25,4,16,BAL 49,13,13,"Kyle Boller pass incomplete intended for Randy Hymes. Penalty on Randy Hymes: False Start, 5 yards (no play)",-0.130,-1.370
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
,,,,,,,"Steelers won the coin toss, Steelers to receive the overtime kickoff.",,
OT,15:00,4,16,BAL 30,13,13,"Aaron Elling kicks off 68 yards, returned by Ricardo Colclough for 16 yards (tackle by Dale Carter)",-1.370,-0.040
OT,14:51,1,10,PIT 18,13,13,Willie Parker up the middle for 1 yard (tackle by Tommy Polley),0.040,-0.320
OT,14:12,2,9,PIT 19,13,13,Willie Parker right guard for 4 yards (tackle by Anthony Weaver),-0.320,-0.530
OT,13:32,3,5,PIT 23,13,13,Tommy Maddox pass complete to Cedrick Wilson for 25 yards (tackle by Will Demps),-0.530,2.130
OT,13:09,1,10,PIT 48,13,13,Willie Parker left guard for -3 yards (tackle by Terrell Suggs and Anthony Weaver),2.130,1.180
OT,12:32,2,13,PIT 45,13,13,Tommy Maddox pass complete to Hines Ward for 9 yards (tackle by Chris McAlister),1.180,1.680
OT,11:46,3,4,BAL 46,13,13,Tommy Maddox sacked by Anthony Weaver for -8 yards,1.680,-0.320
OT,11:24,4,12,PIT 46,13,13,"Penalty on Bryant McFadden: False Start, 5 yards (no play)",-0.320,-0.650
OT,11:06,4,17,PIT 41,13,13,"Penalty on Bryant McFadden: False Start, 5 yards (no play)",-0.650,-0.980
OT,10:49,4,22,PIT 36,13,13,Chris Gardocki punts 27 yards,-0.980,-1.400
OT,10:37,1,10,BAL 37,13,13,Chester Taylor right tackle for 2 yards (tackle by Aaron Smith and Deshea Townsend),1.400,1.130
OT,9:57,2,8,BAL 39,13,13,Kyle Boller pass incomplete intended for Todd Heap,1.130,0.430
OT,9:54,3,8,BAL 39,13,13,Kyle Boller pass incomplete intended for Chester Taylor,0.430,-0.780
OT,9:47,4,8,BAL 39,13,13,Dave Zastudil punts 26 yards,-0.780,-1.270
OT,9:36,1,10,PIT 35,13,13,Willie Parker left tackle for 1 yard (tackle by Will Demps),1.270,0.860
OT,9:01,2,9,PIT 36,13,13,Tommy Maddox sacked by Anthony Weaver for -3 yards,0.860,-0.230
OT,8:26,3,12,PIT 33,13,13,Tommy Maddox pass incomplete intended for Cedrick Wilson,-0.230,-1.180
OT,8:21,4,12,PIT 33,13,13,"Chris Gardocki punts 37 yards, returned by B.J. Sams for 14 yards (tackle by Verron Haynes)",-1.180,-1.860
OT,8:09,1,10,BAL 44,13,13,Chester Taylor left end for no gain (tackle by Clark Haggans),1.860,1.320
OT,7:32,2,10,BAL 44,13,13,Kyle Boller pass incomplete intended for Chester Taylor,1.320,0.630
OT,7:32,3,10,BAL 44,13,13,Kyle Boller pass complete to Randy Hymes for 12 yards (tackle by Chris Hope),0.630,2.650
OT,6:46,1,10,PIT 44,13,13,Kyle Boller pass incomplete intended for Patrick Johnson,2.650,2.110
OT,6:39,2,10,PIT 44,13,13,"Jamal Lewis right end for 4 yards (tackle by Larry Foote). Penalty on Larry Foote: Face Mask (5 Yards), 5 yards",2.110,3.330
OT,6:13,2,1,PIT 35,13,13,Jamal Lewis right tackle for 2 yards (tackle by Troy Polamalu),3.330,3.380
OT,5:31,1,10,PIT 33,13,13,Chester Taylor right tackle for -1 yards (tackle by Larry Foote),3.380,2.700
OT,4:57,2,11,PIT 34,13,13,Kyle Boller pass complete to Todd Heap for 6 yards (tackle by Clark Haggans),2.700,2.810
OT,4:17,3,5,PIT 28,13,13,Chester Taylor right tackle for 2 yards (tackle by Travis Kirschke),2.810,1.840
OT,4:16,4,3,PIT 26,13,16,Matt Stover 44 yard field goal good,1.840,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
