Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2,10:17,3,4,HOU 50,0,0,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Johnathan Joseph),1.420,-0.060
2,10:11,4,4,HOU 50,0,0,"Chris Jones punts 41 yards, returned by Keshawn Martin for 2 yards (tackle by C.J. Spillman)",-0.060,0.370
2,10:02,1,10,HOU 11,0,0,Alfred Blue left guard for 4 yards (tackle by Anthony Hitchens),-0.370,-0.430
2,9:29,2,6,HOU 15,0,0,Alfred Blue left guard for 5 yards (tackle by Nick Hayden),-0.430,-0.370
2,8:49,3,1,HOU 20,0,0,Ryan Fitzpatrick up the middle for 2 yards (tackle by Nick Hayden),-0.370,0.410
2,8:03,1,10,HOU 22,0,0,Ryan Fitzpatrick pass incomplete short right intended for Andre Johnson (defended by Brandon Carr),0.410,-0.130
2,7:58,2,10,HOU 22,0,0,"Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 5 yards (tackle by Anthony Hitchens). Penalty on Duane Brown: Ineligible Downfield Pass, 5 yards (no play)",-0.130,-0.940
2,7:33,2,15,HOU 17,0,0,Ryan Fitzpatrick pass complete short right to Andre Johnson for 3 yards (tackle by J.J. Wilcox),-0.940,-1.090
2,6:45,3,12,HOU 20,0,0,"Penalty on Ryan Fitzpatrick: Delay of Game, 5 yards (no play)",-1.090,-2.050
2,6:32,3,17,HOU 15,0,0,Arian Foster right tackle for 6 yards (tackle by Justin Durant),-2.050,-1.960
2,6:03,4,11,HOU 21,0,0,"Shane Lechler punts 48 yards, returned by Dwayne Harris for 7 yards (tackle by Jeff Tarpinian). Dwayne Harris fumbles (forced by Jeff Tarpinian), recovered by Alfred Blue at DAL-43",-1.960,2.720
2,5:49,1,10,DAL 43,0,0,Ryan Fitzpatrick pass incomplete deep right intended for Andre Johnson,2.720,2.180
2,5:44,2,10,DAL 43,0,0,Ryan Fitzpatrick pass complete short left to DeAndre Hopkins for 2 yards (tackle by J.J. Wilcox),2.180,1.750
2,5:01,3,8,DAL 41,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Damaris Johnson,1.750,0.530
2,4:52,4,8,DAL 41,0,0,"Shane Lechler punts 41 yards, touchback",0.530,-0.280
2,4:48,1,10,DAL 20,0,0,Tony Romo pass complete deep right to Terrance Williams for 28 yards (tackle by D.J. Swearinger),0.280,2.130
2,4:03,1,10,DAL 48,0,0,DeMarco Murray right guard for 7 yards (tackle by Ricky Sapp),2.130,2.530
2,3:21,2,3,HOU 45,0,0,DeMarco Murray left tackle for 6 yards (tackle by Kareem Jackson),2.530,2.980
2,2:35,1,10,HOU 39,0,0,DeMarco Murray up the middle for 4 yards (tackle by Mike Mohamed),2.980,2.980
2,2:00,2,6,HOU 35,0,0,Tony Romo pass complete short left to Cole Beasley for 8 yards (tackle by Kareem Jackson),2.980,3.780
2,1:36,1,10,HOU 27,0,0,DeMarco Murray right tackle for 4 yards (tackle by D.J. Swearinger),3.780,3.770
2,1:09,2,6,HOU 23,0,0,Tony Romo pass complete short right to Dez Bryant for 2 yards (tackle by Johnathan Joseph),3.770,3.770
2,1:01,2,6,HOU 23,0,0,Timeout #1 by Dallas Cowboys,3.770,3.340
2,1:01,3,4,HOU 21,0,0,Tony Romo pass complete short middle to Cole Beasley for 8 yards (tackle by Kareem Jackson),3.340,4.710
2,1:01,1,10,HOU 13,0,0,"Penalty on Tyron Smith: False Start, 5 yards (no play)",4.710,4.710
2,0:35,1,10,HOU 13,0,0,Timeout #2 by Dallas Cowboys,4.710,4.290
2,0:35,1,15,HOU 18,0,0,Tony Romo pass incomplete deep left intended for Terrance Williams,4.290,3.400
2,0:30,2,15,HOU 18,0,0,Tony Romo pass complete short middle to DeMarco Murray for 3 yards (tackle by Kareem Jackson),3.400,3.400
2,0:23,2,15,HOU 18,0,0,Timeout #3 by Dallas Cowboys,3.400,3.030
2,0:23,3,12,HOU 15,0,0,Tony Romo pass incomplete short middle intended for Terrance Williams (defended by Andre Hal),3.030,2.440
2,0:16,4,12,HOU 15,0,3,Dan Bailey 33 yard field goal good,2.440,3.000
2,0:16,,,DAL 35,0,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,0:11,1,10,HOU 20,0,3,Ryan Fitzpatrick kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,0,3,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,DAL 20,0,3,DeMarco Murray left tackle for 3 yards (tackle by Jared Crick),0.280,0.140
3,14:24,2,7,DAL 23,0,3,Tony Romo pass complete short left to Dez Bryant for 4 yards (tackle by Mike Mohamed),0.140,-0.030
3,13:49,3,3,DAL 27,0,3,Tony Romo pass complete short right to Cole Beasley for 3 yards (tackle by Andre Hal),-0.030,0.940
3,13:11,1,10,DAL 30,0,3,DeMarco Murray right end for 5 yards (tackle by Brian Cushing),0.940,1.070
3,12:33,2,5,DAL 35,0,3,Tony Romo pass incomplete short left intended for Terrance Williams,1.070,0.370
3,12:28,3,5,DAL 35,0,3,Tony Romo pass incomplete deep right intended for Dez Bryant,0.370,-1.040
3,12:22,4,5,DAL 35,0,3,"Chris Jones punts 50 yards, returned by Keshawn Martin for 14 yards (tackle by Jeff Heath)",-1.040,-0.870
3,12:11,1,10,HOU 29,0,3,Arian Foster right tackle for 5 yards (tackle by Brandon Carr),0.870,1.000
3,11:34,2,5,HOU 34,0,3,Arian Foster right end for 2 yards (tackle by Rolando McClain),1.000,0.560
3,10:52,3,3,HOU 36,0,3,Ryan Fitzpatrick pass complete short middle to DeAndre Hopkins for 12 yards (tackle by Brandon Carr),0.560,2.130
3,10:16,1,10,HOU 48,0,3,Arian Foster left tackle for 4 yards (tackle by Rolando McClain),2.130,2.120
3,9:34,2,6,DAL 48,0,3,Arian Foster left end for 33 yards (tackle by J.J. Wilcox),2.120,4.580
3,8:56,1,10,DAL 15,6,3,"Arian Foster left end for 15 yards, touchdown",4.580,7.000
3,8:56,,,DAL 2,7,3,Randy Bullock kicks extra point good,0.000,0.000
3,8:56,,,HOU 35,7,3,"Randy Bullock kicks off 72 yards, returned by Dwayne Harris for 29 yards (tackle by Danieal Manning)",0.000,-0.410
3,8:43,1,10,DAL 22,7,3,Tony Romo pass complete short right to DeMarco Murray for 5 yards (tackle by Brian Cushing and Johnathan Joseph),0.410,0.540
3,8:13,2,5,DAL 27,7,3,"DeMarco Murray right tackle for 5 yards (tackle by D.J. Swearinger). Penalty on Travis Frederick: Offensive Holding, 10 yards (no play)",0.540,-0.940
3,7:44,2,15,DAL 17,7,3,Tony Romo pass complete deep middle to Jason Witten for 34 yards (tackle by Elbert Mack),-0.940,2.320
3,7:01,1,10,HOU 49,7,3,DeMarco Murray left guard for 6 yards (tackle by Elbert Mack),2.320,2.590
3,6:18,2,4,HOU 43,7,9,"Tony Romo pass complete deep middle to Terrance Williams for 43 yards, touchdown",2.590,7.000
3,6:18,,,HOU 2,7,10,Dan Bailey kicks extra point good,0.000,0.000
3,6:18,,,DAL 35,7,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,6:08,1,10,HOU 20,7,10,Arian Foster right tackle for -1 yards (tackle by Tyrone Crawford),0.280,-0.460
3,5:28,2,11,HOU 19,7,10,"Arian Foster right end for 18 yards (tackle by Rolando McClain). Penalty on Brandon Brooks: Offensive Holding, 10 yards (no play)",-0.460,-1.580
3,4:55,2,21,HOU 9,7,10,Alfred Blue left tackle for 1 yard (tackle by Justin Durant),-1.580,-2.590
3,4:12,3,20,HOU 10,7,10,Ryan Fitzpatrick pass complete short right to Andre Johnson for 13 yards (tackle by Henry Melton),-2.590,-1.830
3,3:47,4,7,HOU 23,7,10,"Shane Lechler punts 54 yards, returned by Dwayne Harris for 15 yards (tackle by Jeff Tarpinian)",-1.830,-1.470
3,3:34,1,10,DAL 38,7,10,DeMarco Murray right tackle for 9 yards (tackle by Brian Cushing),1.470,2.140
3,2:59,2,1,DAL 47,7,10,DeMarco Murray right end for 10 yards (tackle by Andre Hal),2.140,2.720
3,2:23,1,10,HOU 43,7,10,DeMarco Murray left tackle for 1 yard (tackle by Kareem Jackson),2.720,2.310
3,1:50,2,9,HOU 42,7,10,Tony Romo pass complete short left to Dez Bryant for 11 yards (tackle by Mike Mohamed and Johnathan Joseph),2.310,3.510
3,1:13,1,10,HOU 31,7,10,DeMarco Murray right tackle for -1 yards (tackle by D.J. Swearinger),3.510,2.830
3,0:36,2,11,HOU 32,7,10,Tony Romo pass complete short middle to Jason Witten for 12 yards (tackle by Mike Mohamed),2.830,4.240
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 20,7,10,DeMarco Murray up the middle for no gain (tackle by J.J. Watt),4.240,3.690
4,14:18,2,10,HOU 20,7,10,Tony Romo pass incomplete deep right intended for Dez Bryant is intercepted by Kendrick Lewis at HOU-3 and returned for 5 yards,3.690,0.380
4,14:10,1,10,HOU 8,7,10,Arian Foster left guard for 2 yards (tackle by Justin Durant and Anthony Spencer),-0.380,-0.630
4,13:30,2,8,HOU 10,7,10,Arian Foster right tackle for 2 yards (tackle by Tyrone Crawford),-0.630,-0.950
4,12:46,3,6,HOU 12,7,10,Ryan Fitzpatrick pass complete short left to Garrett Graham for 3 yards (tackle by Rolando McClain),-0.950,-2.440
4,12:16,4,3,HOU 15,7,10,"Shane Lechler punts 53 yards, returned by Dwayne Harris for 38 yards (tackle by Alfred Blue)",-2.440,-3.580
4,12:00,1,10,HOU 30,7,10,DeMarco Murray right tackle for 17 yards (tackle by D.J. Swearinger and Kendrick Lewis),3.580,4.710
4,11:18,1,10,HOU 13,7,10,DeMarco Murray up the middle for 6 yards (tackle by Justin Tuggle),4.710,5.150
4,10:35,2,4,HOU 7,7,10,DeMarco Murray left tackle for 5 yards (tackle by J.J. Watt),5.150,6.740
4,9:50,1,2,HOU 2,7,16,"Tony Romo pass complete short left to Dez Bryant for 2 yards, touchdown",6.740,7.000
4,9:50,,,HOU 2,7,17,Dan Bailey kicks extra point good,0.000,0.000
4,9:50,,,DAL 35,7,17,"Dan Bailey kicks off 73 yards, returned by Danieal Manning for 21 yards (tackle by Kyle Wilber)",0.000,0.320
4,9:37,1,10,HOU 13,7,17,Arian Foster left guard for 11 yards (tackle by Terrell McClain),-0.320,0.540
4,9:09,1,10,HOU 24,7,17,Arian Foster up the middle for 5 yards (tackle by Rolando McClain),0.540,0.670
4,8:34,2,5,HOU 29,7,17,Ryan Fitzpatrick pass complete short left to Andre Johnson for 11 yards (tackle by Justin Durant),0.670,1.600
4,8:01,1,10,HOU 40,7,17,Arian Foster for 3 yards,1.600,1.460
4,7:26,2,7,HOU 43,7,17,Ryan Fitzpatrick pass complete deep right to DeAndre Hopkins for 18 yards (tackle by Sterling Moore),1.460,2.980
4,6:47,1,10,DAL 39,7,17,Arian Foster right tackle for no gain (tackle by Justin Durant),2.980,2.440
4,6:06,2,10,DAL 39,7,17,Ryan Fitzpatrick pass complete short right to Arian Foster for 1 yard (tackle by J.J. Wilcox and Brandon Carr),2.440,1.880
4,5:22,3,9,DAL 38,7,17,Ryan Fitzpatrick pass complete short left to Keshawn Martin for 7 yards (tackle by Sterling Moore and Rolando McClain),1.880,1.400
4,4:36,4,2,DAL 31,7,17,Ryan Fitzpatrick pass complete short right to Arian Foster for 14 yards (tackle by Rolando McClain),1.400,4.440
4,4:04,1,10,DAL 17,7,17,Alfred Blue left tackle for 4 yards (tackle by Terrell McClain and Jeremy Mincey),4.440,4.500
4,3:19,2,6,DAL 13,7,17,Ryan Fitzpatrick left end for 2 yards (tackle by Anthony Hitchens),4.500,4.100
4,2:36,3,4,DAL 11,7,17,Ryan Fitzpatrick pass incomplete short middle intended for Arian Foster (defended by Anthony Hitchens),4.100,2.770
4,2:31,4,4,DAL 11,10,17,Randy Bullock 29 yard field goal good,2.770,3.000
4,2:31,,,HOU 35,10,17,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
4,2:27,1,10,DAL 20,10,17,DeMarco Murray right guard for 1 yard (tackle by Brian Cushing),0.280,0.280
4,2:23,1,10,DAL 20,10,17,Timeout #1 by Houston Texans,0.280,-0.130
4,2:23,2,9,DAL 21,10,17,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",-0.130,-0.940
4,2:23,2,14,DAL 16,10,17,Tony Romo pass complete short left to Dwayne Harris for 8 yards (tackle by Whitney Mercilus),-0.940,-0.940
4,2:16,2,14,DAL 16,10,17,Timeout #2 by Houston Texans,-0.940,-0.430
4,2:16,3,6,DAL 24,10,17,"Tony Romo pass incomplete. Penalty on Tony Romo: Intentional Grounding, 10 yards",-0.430,-2.470
4,2:10,4,16,DAL 14,10,17,"Chris Jones punts 45 yards, returned by Keshawn Martin for 14 yards (tackle by James Hanna)",-2.470,-2.590
4,1:59,1,10,DAL 45,10,17,Ryan Fitzpatrick pass complete short left to Andre Johnson for 20 yards (tackle by Barry Church),2.590,3.910
4,1:27,1,10,DAL 25,10,17,Ryan Fitzpatrick pass complete deep right to DeAndre Hopkins for 19 yards (tackle by Brandon Carr),3.910,5.830
4,1:00,1,6,DAL 6,10,17,Arian Foster up the middle for 5 yards (tackle by Barry Church),5.830,5.910
4,0:45,2,1,DAL 1,16,17,"Arian Foster right tackle for 1 yard, touchdown",5.910,7.000
4,0:45,,,DAL 2,17,17,Randy Bullock kicks extra point good,0.000,0.000
4,0:45,,,HOU 35,17,17,"Randy Bullock kicks off 72 yards, returned by Dwayne Harris for 24 yards (tackle by Justin Tuggle)",0.000,0.060
4,0:36,1,10,DAL 17,17,17,Tony Romo pass complete short left to DeMarco Murray for 8 yards,-0.060,0.620
4,0:29,2,2,DAL 25,17,17,Tony Romo pass complete short right to DeMarco Murray for 16 yards (tackle by Andre Hal),0.620,1.660
4,0:23,1,10,DAL 41,17,17,Tony Romo pass incomplete short left intended for Dez Bryant,1.660,1.120
4,0:20,2,10,DAL 41,17,17,Tony Romo pass complete short left to DeMarco Murray for 14 yards (tackle by Andre Hal and Kareem Jackson),1.120,1.120
4,0:12,2,10,DAL 41,17,17,Timeout #1 by Dallas Cowboys,1.120,2.590
4,0:12,1,10,HOU 45,17,17,Tony Romo pass complete short left to Dez Bryant for 8 yards (tackle by Johnathan Joseph),2.590,2.590
4,0:07,1,10,HOU 45,17,17,Timeout #2 by Dallas Cowboys,2.590,3.120
4,0:07,2,2,HOU 37,17,17,DeMarco Murray up the middle for 2 yards (tackle by J.J. Watt),3.120,3.120
4,0:03,2,2,HOU 37,17,17,Timeout #3 by Dallas Cowboys,3.120,3.120
4,0:03,2,2,HOU 37,17,17,Timeout #3 by Houston Texans,3.120,3.250
4,0:03,1,10,HOU 35,17,17,Dan Bailey 53 yard field goal no good,3.250,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
,,,,,,,"Texans won the coin toss, Texans to receive the overtime kickoff.",,
OT,15:00,,,DAL 35,17,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
OT,15:00,1,10,HOU 20,17,17,Arian Foster up the middle for 24 yards (tackle by J.J. Wilcox),0.280,1.860
OT,14:30,1,10,HOU 44,17,17,Arian Foster up the middle for 6 yards (tackle by Barry Church),1.860,2.130
OT,13:51,2,4,DAL 50,17,17,Alfred Blue right tackle for 2 yards (tackle by Anthony Hitchens and George Selvie),2.130,1.690
OT,13:11,3,2,DAL 48,17,17,Ryan Fitzpatrick pass incomplete short right intended for Arian Foster,1.690,0.070
OT,13:04,4,2,DAL 48,17,17,"Shane Lechler punts 28 yards. Penalty on C.J. Spillman: Offensive Holding, 10 yards",0.070,0.380
OT,12:55,1,10,DAL 10,17,17,DeMarco Murray right guard for 5 yards (tackle by Ryan Pickett),-0.380,-0.350
OT,12:23,2,5,DAL 15,17,17,Tony Romo pass complete short right to Dez Bryant for 4 yards (tackle by Johnathan Joseph),-0.350,-0.370
OT,11:38,3,1,DAL 19,17,17,DeMarco Murray right tackle for 11 yards (tackle by Whitney Mercilus),-0.370,0.940
OT,10:55,1,10,DAL 30,17,17,Tony Romo pass incomplete short middle intended for Jason Witten,0.940,0.940
OT,10:49,1,10,DAL 30,17,17,Timeout #1 by Dallas Cowboys,0.940,0.390
OT,10:49,2,10,DAL 30,17,17,DeMarco Murray up the middle for 2 yards (tackle by Jared Crick),0.390,-0.030
OT,10:09,3,8,DAL 32,17,17,Tony Romo pass complete deep left to Dez Bryant for 37 yards (tackle by Johnathan Joseph),-0.030,3.510
OT,9:22,1,10,HOU 31,17,17,DeMarco Murray up the middle for 1 yard (tackle by Brian Cushing),3.510,3.100
OT,8:37,2,9,HOU 30,17,17,DeMarco Murray left end for -1 yards (tackle by Whitney Mercilus),3.100,2.280
OT,8:37,3,10,HOU 31,17,20,Dan Bailey 49 yard field goal good,2.280,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
