Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
2,11:36,3,1,ATL 36,7,0,Mark Clayton left end for -5 yards (tackle by Chris Crocker),2.540,0.530
2,10:48,4,6,ATL 41,7,0,"Sam Koch punts 27 yards, fair catch by Allen Rossum",0.530,0.280
2,10:48,1,10,ATL 14,7,0,Warrick Dunn middle for 2 yards (tackle by Justin Bannan and Haloti Ngata),-0.280,-0.510
2,10:14,2,8,ATL 16,7,0,Michael Vick pass complete short left to Justin Griffith for 13 yards (tackle by Adalius Thomas),-0.510,0.870
2,9:47,1,10,ATL 29,7,0,Michael Vick pass complete short left to Alge Crumpler for 7 yards (tackle by Adalius Thomas),0.870,1.270
2,9:06,2,3,ATL 36,7,0,Jerious Norwood middle for 2 yards (tackle by Justin Bannan and Haloti Ngata),1.270,0.830
2,8:45,3,1,ATL 38,7,0,Michael Vick middle for 2 yards (tackle by Justin Bannan),0.830,1.600
2,8:10,1,10,ATL 40,7,0,Warrick Dunn right end for 5 yards (tackle by Chris McAlister),1.600,1.730
2,7:34,2,5,ATL 45,7,0,Michael Vick sacked by Trevor Pryce for -6 yards,1.730,0.230
2,6:56,3,11,ATL 39,7,0,Michael Vick pass incomplete short left intended for Ashley Lelie. Penalty on Ashley Lelie: Illegal Touch Pass (Declined),0.230,-0.780
2,6:47,4,11,ATL 39,7,0,"Penalty on Ovie Mughelli: Neutral Zone Infraction, 5 yards (no play)",-0.780,-0.460
2,6:47,4,6,ATL 44,7,0,"Michael Koenen punts 49 yards, returned by B.J. Sams for -3 yards (tackle by Omare Lowe)",-0.460,0.380
2,6:36,1,10,BAL 4,7,0,Steve McNair pass complete short left to Mark Clayton for 6 yards (tackle by Demorrio Williams),-0.380,-0.340
2,5:55,2,4,BAL 10,7,0,"Penalty on Tony Pashos: False Start, 5 yards (no play)",-0.340,-0.710
2,5:40,2,9,BAL 5,7,0,Steve McNair pass incomplete short left intended for Mark Clayton,-0.710,-1.300
2,5:35,3,9,BAL 5,7,0,"Steve McNair pass incomplete deep middle intended for Todd Heap. Penalty on Chris Crocker: Defensive Holding, 5 yards (no play)",-1.300,-0.380
2,5:31,1,10,BAL 10,7,0,"Penalty on Jason Brown: False Start, 5 yards (no play)",-0.380,-0.570
2,5:31,1,15,BAL 5,7,0,Steve McNair pass complete short left to Ovie Mughelli for 6 yards (tackle by Demorrio Williams),-0.570,-0.710
2,5:31,2,9,BAL 11,7,0,"Penalty on Tony Pashos: False Start, 5 yards (no play)",-0.710,-1.070
2,4:45,2,14,BAL 6,7,0,Steve McNair pass complete short right to Derrick Mason for 13 yards (tackle by Keith Brooking and Demorrio Williams),-1.070,-0.370
2,4:03,3,1,BAL 19,7,0,Steve McNair pass complete short right to Todd Heap for 10 yards (tackle by Lawyer Milloy),-0.370,0.870
2,3:21,1,10,BAL 29,7,0,Jamal Lewis right tackle for -2 yards (tackle by Michael Boley and Keith Brooking),0.870,0.060
2,2:42,2,12,BAL 27,7,0,Steve McNair pass complete short left to Todd Heap for 8 yards (tackle by Keith Brooking and Demorrio Williams),0.060,0.430
2,2:00,3,4,BAL 35,7,0,Steve McNair pass incomplete short middle intended for Derrick Mason,0.430,-1.040
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:52,4,4,BAL 35,7,0,"Sam Koch punts 41 yards, returned by Allen Rossum for 10 yards (tackle by Gary Stills)",-1.040,-1.200
2,1:40,1,10,ATL 34,7,0,Michael Vick pass complete short right to Michael Jenkins for 1 yard (tackle by Chris McAlister),1.200,0.790
2,1:07,2,9,ATL 35,7,0,"Michael Vick middle for 7 yards (tackle by Ed Reed). Penalty on P.J. Alexander: Offensive Holding, 10 yards (no play)",0.790,-0.560
2,1:00,2,19,ATL 25,7,0,Michael Vick pass complete short middle to Justin Griffith for 3 yards (tackle by Bart Scott),-0.560,-0.820
2,0:53,,,,7,0,Timeout #2 by Baltimore Ravens,0.000,-0.820
2,0:53,3,16,ATL 28,7,0,Warrick Dunn middle for 9 yards (tackle by Corey Ivy),-0.820,-0.910
2,0:47,,,,7,0,Timeout #3 by Baltimore Ravens,0.000,-0.910
2,0:47,4,7,ATL 37,7,0,"Michael Koenen punts 42 yards, returned by B.J. Sams for 65 yards (tackle by Michael Boley)",-0.910,-4.650
2,0:31,1,10,ATL 14,7,0,Steve McNair pass incomplete short right intended for Demetrius Williams,4.650,4.000
2,0:23,2,10,ATL 14,7,0,"Steve McNair for no gain. Steve McNair fumbles, recovered by Michael Boley at ATL-16",4.000,0.140
2,0:23,1,10,ATL 16,7,0,Michael Vick kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,7,0,"Michael Koenen kicks off 67 yards, returned by B.J. Sams for 22 yards (tackle by Lance Schulters)",0.000,0.610
3,14:55,1,10,BAL 25,7,0,Jamal Lewis middle for 2 yards (tackle by Demorrio Williams),0.610,0.330
3,14:12,2,8,BAL 27,7,0,Steve McNair pass complete short right to Daniel Wilcox for 7 yards (tackle by Demorrio Williams),0.330,0.560
3,13:31,3,1,BAL 34,7,0,Jamal Lewis left tackle for 9 yards (tackle by Chris Crocker),0.560,1.800
3,12:52,1,10,BAL 43,7,0,Steve McNair pass incomplete intended for Mark Clayton (defended by Grady Jackson),1.800,1.250
3,12:48,2,10,BAL 43,7,0,Steve McNair pass complete short right to Jamal Lewis for 5 yards (tackle by DeAngelo Hall),1.250,1.220
3,12:06,3,5,BAL 48,7,0,Steve McNair pass complete deep left to Mark Clayton for 42 yards (tackle by Allen Rossum),1.220,4.910
3,11:21,1,10,ATL 10,7,0,Jamal Lewis middle for 3 yards (tackle by Paul Carrington and Michael Boley),4.910,4.760
3,10:38,2,7,ATL 7,7,0,Steve McNair sacked by Paul Carrington for -6 yards,4.760,3.060
3,9:56,3,13,ATL 13,7,0,Steve McNair pass complete short left to Musa Smith for 3 yards (tackle by Josh Mallard and Omare Lowe),3.060,2.760
3,9:56,4,10,ATL 10,7,3,Matt Stover 29 yard field goal good,2.760,3.000
3,,,,BAL 30,7,3,"Matt Stover kicks off 65 yards, returned by Jerious Norwood for 18 yards (tackle by Gary Stills)",0.000,0.480
3,9:12,1,10,ATL 23,7,3,Michael Vick pass incomplete deep left intended for Alge Crumpler,0.480,-0.070
3,9:05,2,10,ATL 23,7,3,Warrick Dunn middle for 1 yard (tackle by Gerome Sapp),-0.070,-0.630
3,8:24,3,9,ATL 24,7,3,Michael Vick sacked by Samari Rolle for -7 yards,-0.630,-2.320
3,8:00,4,16,ATL 17,7,3,"Michael Koenen punts 59 yards, returned by B.J. Sams for 59 yards",-2.320,-4.440
3,7:37,1,10,ATL 17,7,3,Steve McNair pass incomplete intended for Derrick Mason,4.440,3.850
3,7:30,2,10,ATL 17,7,3,Jamal Lewis middle for 2 yards (tackle by Demorrio Williams),3.850,3.340
3,6:51,3,8,ATL 15,7,3,Steve McNair pass complete short left to Demetrius Williams for 7 yards (tackle by Omare Lowe),3.340,2.990
3,6:06,,,,7,3,Timeout #1 by Baltimore Ravens,0.000,2.990
3,6:06,4,1,ATL 8,7,3,Steve McNair pass complete short right to Jamal Lewis for 5 yards (tackle by Demorrio Williams and Lance Schulters),2.990,6.510
3,5:25,1,3,ATL 3,7,3,Jamal Lewis middle for 1 yard (tackle by Roderick Coleman and Lawyer Milloy),6.510,5.720
3,4:42,2,2,ATL 2,7,3,Steve McNair pass incomplete short middle intended for Todd Heap,5.720,4.950
3,4:35,,,,7,3,Timeout #1 by Atlanta Falcons,0.000,4.950
3,4:35,3,2,ATL 2,7,9,"Jamal Lewis left guard for 2 yards, touchdown",4.950,7.000
3,,,,ATL 2,7,10,Matt Stover kicks extra point good,0.000,0.000
3,,,,BAL 30,7,10,"Matt Stover kicks off 65 yards, returned by Jerious Norwood for 30 yards (tackle by Jarret Johnson)",0.000,1.270
3,4:26,1,10,ATL 35,7,10,Michael Vick pass incomplete short left intended for Justin Griffith,1.270,0.720
3,4:23,2,10,ATL 35,7,10,Michael Vick right end for 18 yards (tackle by Chris McAlister),0.720,2.460
3,4:05,1,10,BAL 47,7,10,Warrick Dunn middle for -1 yards (tackle by Aubrayo Franklin),2.460,1.780
3,3:28,2,11,BAL 48,7,10,"Michael Vick pass incomplete deep left intended for Ashley Lelie. Penalty on Samari Rolle: Defensive Pass Interfere, 26 yards (no play)",1.780,4.110
3,3:15,1,10,BAL 22,7,10,Michael Vick left end for 17 yards (tackle by Chris McAlister),4.110,6.060
3,2:43,1,5,BAL 5,7,10,Warrick Dunn right tackle for 2 yards (tackle by Bart Scott and Adalius Thomas),6.060,5.530
3,2:11,2,3,BAL 3,7,10,Michael Vick pass incomplete short left intended for Alge Crumpler,5.530,4.720
3,2:05,3,3,BAL 3,7,10,Michael Vick pass incomplete short right intended for Dwayne Blakley (defended by Dawan Landry),4.720,3.040
3,2:00,4,3,BAL 3,10,10,Morten Andersen 21 yard field goal good,3.040,3.000
3,,,,ATL 30,10,10,"Michael Koenen kicks off 66 yards, returned by B.J. Sams for 59 yards (tackle by Josh Mallard)",0.000,3.120
3,1:49,1,10,ATL 37,10,10,Steve McNair pass complete short middle to Todd Heap for 9 yards (tackle by Keith Brooking),3.120,3.790
3,1:08,2,1,ATL 28,10,10,Jamal Lewis middle for 12 yards (tackle by Lawyer Milloy and Demorrio Williams),3.790,4.510
3,0:27,1,10,ATL 16,10,16,"Jamal Lewis middle for 16 yards, touchdown",4.510,7.000
3,,,,ATL 2,10,17,Matt Stover kicks extra point good,0.000,0.000
3,,,,BAL 30,10,17,"Matt Stover kicks off 62 yards, returned by Jerious Norwood for 24 yards (tackle by Gary Stills)",0.000,1.070
3,0:14,1,10,ATL 32,10,17,Michael Vick sacked by Kelly Gregg for -10 yards,1.070,-0.820
Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,20,ATL 22,10,17,Warrick Dunn right end for 9 yards (tackle by Bart Scott),-0.820,-0.290
4,14:24,3,11,ATL 31,10,17,"Penalty on Wayne Gandy: False Start, 5 yards (no play)",-0.290,-0.960
4,13:54,3,16,ATL 26,10,17,Michael Vick pass complete deep left to Roddy White for 49 yards (tackle by Samari Rolle),-0.960,3.910
4,13:09,1,10,BAL 25,10,17,Jerious Norwood left tackle for 2 yards (tackle by Adalius Thomas and Haloti Ngata),3.910,3.630
4,12:31,2,8,BAL 23,10,17,Warrick Dunn right tackle for 4 yards (tackle by Trevor Pryce and Dan Cody),3.630,3.490
4,11:53,3,4,BAL 19,10,17,Michael Vick sacked by Trevor Pryce and Gerome Sapp for -17 yards,3.490,0.880
4,11:18,4,21,BAL 36,10,17,"Michael Koenen punts 23 yards, fair catch by B.J. Sams",0.880,0.320
4,11:11,1,10,BAL 13,10,17,Steve McNair pass complete short right to Jamal Lewis for 7 yards (tackle by Demorrio Williams and Jonathan Babineaux),-0.320,0.220
4,10:27,2,3,BAL 20,10,17,Jamal Lewis left end for no gain (tackle by Paul Carrington),0.220,-0.590
4,9:46,3,3,BAL 20,10,17,Steve McNair pass complete short left to Mark Clayton for 4 yards (tackle by Omare Lowe),-0.590,0.540
4,9:04,1,10,BAL 24,10,17,Jamal Lewis left guard for 2 yards (tackle by Keith Brooking and Demorrio Williams),0.540,0.270
4,8:24,2,8,BAL 26,10,17,Steve McNair pass incomplete deep middle intended for Todd Heap (defended by Chris Crocker),0.270,-0.430
4,8:17,3,8,BAL 26,10,17,Steve McNair pass complete short middle to Mark Clayton for 20 yards (tackle by DeAngelo Hall),-0.430,1.990
4,7:32,1,10,BAL 46,10,17,Jamal Lewis left guard for 10 yards (tackle by Grady Jackson and Chris Crocker),1.990,2.650
4,6:50,1,10,ATL 44,10,17,Jamal Lewis middle for 6 yards (tackle by Keith Brooking and Demorrio Williams),2.650,2.920
4,6:07,2,4,ATL 38,10,17,Musa Smith left guard for 6 yards (tackle by Chauncey Davis and Keith Brooking),2.920,3.450
4,5:28,1,10,ATL 32,10,17,Steve McNair pass complete short right to Todd Heap for 9 yards (tackle by Lance Schulters and Demorrio Williams),3.450,4.120
4,4:42,2,1,ATL 23,10,17,Jamal Lewis middle for 3 yards (tackle by Chauncey Davis and DeAngelo Hall),4.120,4.240
4,3:58,1,10,ATL 20,10,17,Jamal Lewis middle for 3 yards (tackle by Lawyer Milloy and Keith Brooking),4.240,4.120
4,3:16,2,7,ATL 17,10,17,Jamal Lewis left tackle for 3 yards (tackle by Lance Schulters and Keith Brooking),4.120,3.890
4,3:10,,,,10,17,Timeout #2 by Atlanta Falcons,0.000,3.890
4,3:10,3,4,ATL 14,10,17,Steve McNair pass complete short right to Derrick Mason for 9 yards,3.890,6.060
4,3:06,1,5,ATL 5,10,23,"Jamal Lewis middle for 5 yards, touchdown",6.060,7.000
4,,,,ATL 2,10,24,Matt Stover kicks extra point good,0.000,0.000
4,,,,BAL 30,10,24,"Matt Stover kicks off 64 yards, returned by Jerious Norwood for 21 yards (tackle by Gary Stills)",0.000,0.740
4,2:55,1,10,ATL 27,10,24,Michael Vick sacked by Terrell Suggs for -5 yards,0.740,-0.480
4,2:37,2,15,ATL 22,10,24,Michael Vick for 7 yards (tackle by Gary Stills),-0.480,-0.230
4,2:15,3,8,ATL 29,10,24,Michael Vick pass incomplete short right intended for Roddy White,-0.230,-1.440
4,2:10,4,8,ATL 29,10,24,Michael Vick pass incomplete deep left intended for Michael Jenkins,-1.440,-3.640
4,2:03,1,10,ATL 29,10,24,Steve McNair kneels for -1 yards,3.640,2.970
4,2:00,2,11,ATL 30,10,24,Musa Smith middle for 4 yards (tackle by Lance Schulters and Jonathan Babineaux),2.970,2.810
4,1:55,,,,10,24,Timeout #3 by Atlanta Falcons,0.000,2.810
4,1:55,3,7,ATL 26,10,24,Musa Smith middle for 3 yards (tackle by Jonathan Babineaux),2.810,2.000
4,1:11,,,,10,24,Timeout #2 by Baltimore Ravens,0.000,2.000
4,1:11,4,4,ATL 23,10,24,Musa Smith middle for 6 yards (tackle by Lance Schulters),2.000,4.440
4,0:32,1,10,ATL 17,10,24,Steve McNair kneels for -1 yards,4.440,3.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
