Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
2,3:01,3,10,ATL 16,0,17,Zach Wilson pass complete short right to Corey Davis for 3 yards (tackle by Fabian Moreau),,
2,2:19,4,7,ATL 13,3,17,Matt Ammendola 31 yard field goal good,,
2,2:14,,,NYJ 35,3,17,"Matt Ammendola kicks off 70 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Jarrod Wilson and Jason Pinnock)",,
2,2:09,1,10,ATL 24,3,17,Cordarrelle Patterson up the middle for 8 yards (tackle by Shaq Lawson),,
2,2:00,2,2,ATL 32,3,17,Matt Ryan pass incomplete short left intended for Cordarrelle Patterson,,
2,1:56,3,2,ATL 32,3,17,Matt Ryan pass complete short left to Christian Blake for 6 yards (tackle by Brandin Echols),,
2,1:35,1,10,ATL 38,3,17,Matt Ryan pass complete short middle to Mike Davis for 10 yards (tackle by C.J. Mosley),,
2,1:13,1,10,ATL 48,3,17,Mike Davis up the middle for 4 yards (tackle by John Franklin-Myers),,
2,0:55,2,6,NYJ 48,3,17,Matt Ryan pass incomplete short right intended for Christian Blake (defended by Bryce Hall),,
2,0:50,3,6,NYJ 48,3,17,"Matt Ryan pass incomplete short middle intended for Kyle Pitts. Penalty on Jarrod Wilson: Defensive Pass Interference, 8 yards (accepted) (no play)",,
2,0:45,1,10,NYJ 40,3,17,Matt Ryan pass incomplete short middle intended for Mike Davis,,
2,0:41,2,10,NYJ 40,3,17,Matt Ryan pass incomplete deep right intended for Christian Blake,,
2,0:37,3,10,NYJ 40,3,17,Matt Ryan pass complete short middle to Kyle Pitts for 6 yards (tackle by Michael Carter),,
2,0:02,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:02,4,4,NYJ 34,3,20,Younghoe Koo 52 yard field goal good,,
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,3,20,"Younghoe Koo kicks off 59 yards, returned by Tevin Coleman for 65 yards (tackle by Darren Hall)",,
3,14:51,1,10,ATL 29,3,20,Michael Carter left tackle for 7 yards (tackle by Foyesade Oluokun),,
3,14:13,2,3,ATL 22,3,20,Michael Carter up the middle for 8 yards (tackle by AJ Terrell),,
3,13:37,1,10,ATL 14,3,20,Michael Carter right guard for no gain (tackle by Grady Jarrett),,
3,12:56,2,10,ATL 14,3,20,Zach Wilson pass complete short middle to Braxton Berrios for 6 yards (tackle by Grady Jarrett),,
3,12:16,3,4,ATL 8,3,20,Ty Johnson right guard for 6 yards (tackle by Tyeler Davison and Foyesade Oluokun),,
3,11:39,1,2,ATL 2,3,20,Ty Johnson right guard for 1 yard (tackle by Grady Jarrett),,
3,10:59,2,1,ATL 1,9,20,"Ty Johnson up the middle for 1 yard, touchdown",,
3,10:56,,,ATL 15,9,20,Matt Ammendola kicks extra point no good,,
3,10:56,,,NYJ 35,9,20,"Matt Ammendola kicks off 65 yards, touchback.",,
3,10:56,1,10,ATL 25,9,20,Cordarrelle Patterson left guard for 3 yards (tackle by Folorunso Fatukasi),,
3,10:20,2,7,ATL 28,9,20,Matt Ryan pass complete short left to Cordarrelle Patterson for 12 yards (tackle by Brandin Echols),,
3,9:40,1,10,ATL 40,9,20,Matt Ryan pass complete short right to Hayden Hurst for no gain. Hayden Hurst fumbles (forced by Quincy Williams),,
3,9:07,2,10,ATL 40,9,20,Matt Ryan pass incomplete short left intended for Olamide Zaccheaus,,
3,9:02,3,10,ATL 40,9,20,Matt Ryan pass incomplete intended for Olamide Zaccheaus (defended by Brandin Echols) (defended by Sharrod Neasman),,
3,8:55,4,10,ATL 40,9,20,Dustin Colquitt punts 24 yards out of bounds,,
3,8:46,1,10,NYJ 36,9,20,Zach Wilson pass complete short right to Michael Carter for 14 yards (tackle by Deion Jones),,
3,8:13,1,10,NYJ 50,9,20,Michael Carter left tackle for 1 yard (tackle by Richie Grant),,
3,7:33,2,9,ATL 49,9,20,Zach Wilson pass incomplete deep right intended for Corey Davis,,
3,7:25,3,9,ATL 49,9,20,"Zach Wilson pass complete short right to Ryan Griffin for 4 yards. Ryan Griffin fumbles (forced by AJ Terrell), recovered by Ryan Griffin at ATL-45",,
3,6:43,4,5,ATL 45,9,20,"Thomas Morstead punts 36 yards, fair catch by Olamide Zaccheaus at ATL-9",,
3,6:35,1,10,ATL 9,9,20,Mike Davis right end for 17 yards (tackle by Quincy Williams),,
3,6:00,1,10,ATL 26,9,20,Mike Davis right tackle for no gain (tackle by Tim Ward),,
3,5:27,2,10,ATL 26,9,20,Matt Ryan pass incomplete short left intended for Mike Davis (defended by Tim Ward),,
3,5:22,3,10,ATL 26,9,20,Matt Ryan pass complete short right to Tajae Sharpe for 13 yards (tackle by Jarrod Wilson),,
3,4:54,1,10,ATL 39,9,20,Mike Davis right end for 5 yards (tackle by Quincy Williams),,
3,4:16,2,5,ATL 44,9,20,Matt Ryan pass complete short middle to Tajae Sharpe for 17 yards (tackle by Brandin Echols and Jarrod Wilson),,
3,3:41,1,10,NYJ 39,9,20,Wayne Gallman right tackle for 2 yards (tackle by Nathan Shepherd),,
3,3:04,2,8,NYJ 37,9,20,Matt Ryan pass complete short right to Christian Blake for 6 yards (tackle by Bryce Hall),,
3,2:51,3,2,NYJ 31,9,20,Matt Ryan pass complete short right to Hayden Hurst for 7 yards (tackle by Michael Carter),,
3,2:23,1,10,NYJ 24,9,20,"Mike Davis left guard for 1 yard. Mike Davis fumbles (forced by Quincy Williams) (tackle by Jamien Sherwood), recovered by Shaq Lawson at NYJ-20 (tackle by Jamien Sherwood) (tackle by Quincy Williams) (tackle by Quincy Williams) (tackle by Jamien Sherwood)",,
3,2:14,1,10,NYJ 20,9,20,Zach Wilson pass complete short left to Michael Carter for 5 yards (tackle by Mike Pennel),,
3,1:28,2,5,NYJ 25,9,20,Zach Wilson pass complete short left to Jamison Crowder for -6 yards (tackle by Fabian Moreau),,
3,0:59,3,11,NYJ 19,9,20,Zach Wilson pass incomplete deep right intended for Elijah Moore. Penalty on Elijah Moore: Illegal Touch Pass (accepted),,
3,0:41,4,11,NYJ 19,9,20,"Thomas Morstead punts 54 yards, returned by Olamide Zaccheaus for 4 yards (tackle by Sharrod Neasman and Del'Shawn Phillips)",,
3,0:28,1,10,ATL 31,9,20,Cordarrelle Patterson right guard for 4 yards (tackle by Sharrod Neasman),,
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,ATL 35,9,20,Matt Ryan pass complete short right to Olamide Zaccheaus for 5 yards (tackle by C.J. Mosley),,
4,14:20,3,1,ATL 40,9,20,Mike Davis left guard for 1 yard (tackle by Quinnen Williams and C.J. Mosley),,
4,13:42,1,10,ATL 41,9,20,Cordarrelle Patterson right guard for 1 yard (tackle by Jamien Sherwood),,
4,13:06,2,9,ATL 42,9,20,Matt Ryan pass complete to Kyle Pitts for 12 yards (tackle by Ashtyn Davis),,
4,12:21,1,10,NYJ 46,9,20,Cordarrelle Patterson left end for 3 yards (tackle by Quincy Williams),,
4,11:39,2,7,NYJ 43,9,20,"Matt Ryan pass complete deep middle to Kyle Pitts for no gain (tackle by Sharrod Neasman). Penalty on Matt Hennessy: Offensive Holding, 10 yards (accepted) (no play)",,
4,11:07,2,17,ATL 47,9,20,Matt Ryan pass complete short left to Tajae Sharpe for 9 yards (tackle by Ashtyn Davis),,
4,10:22,3,8,NYJ 44,9,20,Matt Ryan pass complete short middle to Cordarrelle Patterson for 2 yards (tackle by Brandin Echols),,
4,9:37,4,6,NYJ 42,9,20,"Dustin Colquitt punts 32 yards, fair catch by Braxton Berrios at NYJ-10",,
4,9:30,1,10,NYJ 10,9,20,Zach Wilson pass complete short middle to Jamison Crowder for 7 yards (tackle by Deion Jones),,
4,8:55,2,3,NYJ 17,9,20,Zach Wilson pass complete deep left to Keelan Cole for 23 yards (tackle by Richie Grant),,
4,8:17,1,10,NYJ 40,9,20,"Zach Wilson pass complete short left to Ryan Griffin for no gain (tackle by Foyesade Oluokun). Penalty on Michael Carter: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
4,7:52,1,20,NYJ 30,9,20,Zach Wilson pass complete deep middle to Denzel Mims for 27 yards (tackle by Jaylinn Hawkins),,
4,7:08,1,10,ATL 43,9,20,"Zach Wilson pass incomplete deep left intended for Elijah Moore (defended by AJ Terrell). Penalty on AJ Terrell: Defensive Pass Interference, 41 yards (accepted) (no play)",,
4,6:59,1,10,ATL 2,15,20,"Michael Carter right guard for 2 yards, touchdown",,
4,6:55,,,ATL 2,17,20,Two Point Attempt: Zach Wilson pass complete to to Jamison Crowder for no gain,,
4,6:55,,,NYJ 35,17,20,"Matt Ammendola kicks off 56 yards, returned by Keith Smith for 16 yards (tackle by Justin Hardee and Jamien Sherwood)",,
4,6:49,1,10,ATL 25,17,20,Matt Ryan pass complete deep middle to Kyle Pitts for 39 yards (tackle by Brandin Echols),,
4,6:04,1,10,NYJ 36,17,20,Cordarrelle Patterson right guard for -2 yards (tackle by Shaq Lawson and John Franklin-Myers),,
4,5:24,2,12,NYJ 38,17,20,Matt Ryan pass complete short left to Kyle Pitts for 4 yards (tackle by Brandin Echols),,
4,4:50,3,8,NYJ 34,17,20,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",,
4,4:52,3,13,NYJ 39,17,20,Matt Ryan pass complete short right to Olamide Zaccheaus for 15 yards (tackle by Bryce Hall),,
4,4:09,1,10,NYJ 24,17,20,Cordarrelle Patterson right tackle for 3 yards (tackle by Folorunso Fatukasi),,
4,3:25,2,7,NYJ 21,17,20,Matt Ryan pass complete short left to Cordarrelle Patterson for 5 yards (tackle by C.J. Mosley and Nathan Shepherd),,
4,2:37,3,2,NYJ 16,17,20,Matt Ryan pass complete short left to Cordarrelle Patterson for 7 yards (tackle by Brandin Echols),,
4,2:24,1,9,NYJ 9,17,20,Mike Davis up the middle for 6 yards (tackle by Sheldon Rankins and Quincy Williams),,
4,2:26,,,,,,Timeout #1 by New York Jets,,
4,2:26,2,3,NYJ 3,17,26,"Mike Davis left guard for 3 yards, touchdown. Penalty on Quinnen Williams: Defensive Holding, 5 yards (declined)",,
4,2:19,,,NYJ 15,17,27,Younghoe Koo kicks extra point good,,
4,2:19,,,ATL 35,17,27,"Younghoe Koo kicks off 65 yards, touchback.",,
4,2:19,1,10,NYJ 25,17,27,Zach Wilson pass complete short left to Corey Davis for 8 yards (tackle by Darren Hall),,
4,2:13,2,2,NYJ 33,17,27,Zach Wilson sacked by Adetokunbo Ogundeji for -9 yards,,
4,2:00,3,11,NYJ 24,17,27,Zach Wilson pass complete short left to Keelan Cole for 15 yards (tackle by Chris Williamson),,
4,1:41,1,10,NYJ 39,17,27,Zach Wilson pass complete to Ty Johnson for 11 yards (tackle by Deion Jones),,
4,1:22,1,10,NYJ 50,17,27,Zach Wilson pass incomplete short right intended for Ty Johnson,,
4,1:17,2,10,NYJ 50,17,27,Zach Wilson pass complete short right to Denzel Mims for 6 yards (tackle by AJ Terrell),,
4,0:58,3,4,ATL 44,17,27,Zach Wilson pass complete short left to Jamison Crowder for 10 yards (tackle by Chris Williamson),,
4,0:52,1,10,ATL 34,17,27,Zach Wilson pass incomplete short left,,
4,0:42,2,10,ATL 34,17,27,Zach Wilson pass complete deep middle to Corey Davis for 20 yards (tackle by Foyesade Oluokun),,
4,0:35,,,,,,Timeout #2 by New York Jets,,
4,0:35,1,10,ATL 14,17,27,Zach Wilson pass incomplete short right intended for Corey Davis,,
4,0:31,2,10,ATL 14,17,27,Zach Wilson sacked by Jacob Tuioti-Mariner for -17 yards,,
4,0:22,,,,,,Timeout #3 by New York Jets,,
4,0:22,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:22,3,27,ATL 31,20,27,Matt Ammendola 49 yard field goal good,,
4,0:17,,,NYJ 35,20,27,"Matt Ammendola kicks onside 14 yards, returned by Olamide Zaccheaus for no gain. Penalty on Jarrod Wilson: Illegal Formation, 5 yards (accepted)",,
4,0:16,1,10,NYJ 44,20,27,Matt Ryan kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
