Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
1,0:37,1,10,WAS 41,0,3,Taylor Heinicke pass complete short middle to Terry McLaurin for 9 yards (tackle by Isaiah Oliver),,
1,0:12,2,1,WAS 50,0,3,Antonio Gibson left tackle for 5 yards (tackle by Adetokunbo Ogundeji and Deion Jones),,
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 45,0,3,Taylor Heinicke sacked by Foyesade Oluokun for no gain,,
2,14:24,2,10,ATL 45,0,3,J.D. McKissic right guard for 3 yards (tackle by Foyesade Oluokun and Isaiah Oliver),,
2,13:47,3,7,ATL 42,0,3,Taylor Heinicke scrambles left end for 6 yards (tackle by Deion Jones),,
2,13:17,4,1,ATL 36,0,3,Antonio Gibson right tackle for no gain (tackle by Grady Jarrett and Jonathan Bullard),,
2,13:13,1,10,ATL 36,0,3,Matt Ryan pass complete short right to Hayden Hurst for 5 yards. Hayden Hurst fumbles (forced by Cole Holcomb),,
2,12:48,2,5,ATL 41,0,3,Wayne Gallman left tackle for 10 yards (tackle by Landon Collins),,
2,12:43,1,10,WAS 49,0,3,"Penalty on Jalen Mayfield: False Start, 5 yards (accepted) (no play)",,
2,11:51,1,15,ATL 46,0,3,Matt Ryan pass complete short left to Hayden Hurst for 12 yards (tackle by Landon Collins),,
2,11:16,2,3,WAS 42,0,9,"Matt Ryan pass complete deep middle to Cordarrelle Patterson for 42 yards, touchdown",,
2,11:07,,,WAS 15,0,10,Younghoe Koo kicks extra point good,,
2,11:07,,,ATL 35,0,10,"Cameron Nizialek kicks off 65 yards, returned by DeAndre Carter for 23 yards (tackle by Keith Smith)",,
2,11:02,1,10,WAS 23,0,10,Taylor Heinicke pass complete short left to Ricky Seals-Jones for 3 yards (tackle by Avery Williams),,
2,10:32,2,7,WAS 26,0,10,"Taylor Heinicke pass complete short left to Dyami Brown for 19 yards (tackle by Fabian Moreau). Penalty on Fabian Moreau: Defensive Pass Interference, 15 yards (declined)",,
2,10:02,1,10,WAS 45,0,10,Taylor Heinicke pass complete short left to Curtis Samuel for -1 yards (tackle by Deion Jones),,
2,9:24,2,11,WAS 44,0,10,Taylor Heinicke pass complete deep middle to Terry McLaurin for 21 yards (tackle by Erik Harris),,
2,8:44,1,10,ATL 35,0,10,Antonio Gibson right tackle for 2 yards (tackle by Deion Jones and Jaylinn Hawkins),,
2,8:07,2,8,ATL 33,0,10,Taylor Heinicke pass incomplete short right intended for Ricky Seals-Jones,,
2,8:02,3,8,ATL 33,6,10,"Taylor Heinicke pass complete deep left to Terry McLaurin for 33 yards, touchdown",,
2,7:55,,,ATL 15,7,10,Dustin Hopkins kicks extra point good,,
2,7:55,,,WAS 35,7,10,"Dustin Hopkins kicks off 66 yards, returned by Cordarrelle Patterson for 24 yards (tackle by David Mayo)",,
2,7:49,1,10,ATL 23,7,10,"Penalty on Hayden Hurst: False Start, 5 yards (accepted) (no play)",,
2,7:49,1,15,ATL 18,7,10,Matt Ryan pass incomplete short middle intended for Kyle Pitts,,
2,7:44,2,15,ATL 18,7,10,Matt Ryan pass complete short middle to Tajae Sharpe for 8 yards (tackle by Kamren Curl),,
2,7:02,3,7,ATL 26,7,10,Matt Ryan sacked by Montez Sweat for -8 yards,,
2,6:18,4,15,ATL 18,7,10,"Cameron Nizialek punts 51 yards, returned by DeAndre Carter for 6 yards (tackle by Christian Blake)",,
2,6:07,1,10,WAS 37,7,10,Taylor Heinicke scrambles right end for 8 yards (tackle by Duron Harmon),,
2,5:27,2,2,WAS 45,7,10,Antonio Gibson left tackle for 6 yards (tackle by Avery Williams and Tyeler Davison),,
2,4:53,1,10,ATL 49,7,10,"Penalty on Grady Jarrett: Encroachment, 5 yards (accepted) (no play)",,
2,4:29,1,5,ATL 44,7,10,Antonio Gibson right guard for 6 yards (tackle by Grady Jarrett),,
2,3:50,1,10,ATL 38,7,10,Jaret Patterson right end for -2 yards (tackle by Dante Fowler),,
2,3:15,2,12,ATL 40,7,10,Taylor Heinicke pass complete short left to Ricky Seals-Jones for 16 yards (tackle by Erik Harris),,
2,2:41,1,10,ATL 24,7,10,"Taylor Heinicke scrambles right end for 20 yards (tackle by Erik Harris). Penalty on Fabian Moreau: Defensive Holding, 2 yards (accepted)",,
2,2:09,1,2,ATL 2,13,10,"Antonio Gibson left tackle for 2 yards, touchdown",,
2,2:04,,,ATL 15,13,10,Dustin Hopkins kicks extra point no good,,
2,2:04,,,WAS 35,13,10,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,2:04,1,10,ATL 25,13,10,Cordarrelle Patterson left tackle for 2 yards (tackle by Landon Collins and Jonathan Allen),,
2,2:00,2,8,ATL 27,13,10,Matt Ryan pass incomplete short left intended for Calvin Ridley,,
2,1:57,3,8,ATL 27,13,10,"Matt Ryan pass incomplete deep right intended for Calvin Ridley. Penalty on Torry McTyer: Defensive Pass Interference, 28 yards (accepted) (no play)",,
2,1:51,1,10,WAS 45,13,10,Cordarrelle Patterson right end for 5 yards (tackle by Matthew Ioannidis),,
2,1:13,2,5,WAS 40,13,10,Matt Ryan pass incomplete deep right intended for Olamide Zaccheaus,,
2,1:08,3,5,WAS 40,13,10,Matt Ryan pass complete short left to Calvin Ridley for 8 yards (tackle by Kendall Fuller),,
2,0:42,1,10,WAS 32,13,10,Mike Davis left tackle for -3 yards (tackle by Chase Young and Montez Sweat),,
2,0:37,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:37,2,13,WAS 35,13,10,Matt Ryan pass incomplete short left intended for Kyle Pitts (defended by Torry McTyer),,
2,0:33,3,13,WAS 35,13,10,Matt Ryan pass complete to Calvin Ridley for 17 yards (tackle by William Jackson),,
2,0:27,1,10,WAS 18,13,10,"Matt Ryan pass complete to Kyle Pitts for 7 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Matt Ryan pass incomplete short right intended for Kyle Pitts (defended by Torry McTyer)",,
2,0:24,2,10,WAS 18,13,10,Matt Ryan pass complete short middle to Calvin Ridley for 6 yards (tackle by Kamren Curl),,
2,0:19,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:19,3,4,WAS 12,13,16,"Matt Ryan pass complete short left to Cordarrelle Patterson for 12 yards, touchdown",,
2,0:14,,,WAS 15,13,17,Younghoe Koo kicks extra point good,,
2,0:14,,,ATL 35,13,17,"Cameron Nizialek kicks off 65 yards, touchback.",,
2,0:14,1,10,WAS 25,13,17,Taylor Heinicke kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,19,17,"Cameron Nizialek kicks off 66 yards, returned by DeAndre Carter for 101 yards, touchdown",,
3,14:47,,,ATL 15,19,17,Dustin Hopkins kicks extra point no good,,
3,14:47,,,WAS 35,19,17,"Dustin Hopkins kicks off 65 yards, returned by Cordarrelle Patterson for 32 yards (tackle by Casey Toohill)",,
3,14:39,1,10,ATL 32,19,17,Mike Davis right guard for 1 yard (tackle by Landon Collins and Matthew Ioannidis),,
3,13:58,2,9,ATL 33,19,17,Matt Ryan pass complete short right to Olamide Zaccheaus for 15 yards (tackle by Bobby McCain),,
3,13:17,1,10,ATL 48,19,17,"Matt Ryan pass incomplete deep right intended for Calvin Ridley. Penalty on William Jackson: Defensive Pass Interference, 27 yards (accepted) (no play)",,
3,13:09,1,10,WAS 25,19,17,Mike Davis right tackle for 2 yards (tackle by Jonathan Allen and James Smith-Williams),,
3,12:30,2,8,WAS 23,19,17,Matt Ryan pass complete short left to Hayden Hurst for 5 yards (tackle by Jamin Davis and Cole Holcomb),,
3,12:27,,,,,,Timeout #1 by Washington Football Team,,
3,12:27,3,3,WAS 18,19,17,Matt Ryan pass complete short middle to Hayden Hurst for 7 yards (tackle by Bobby McCain),,
3,11:53,1,10,WAS 11,19,17,Mike Davis left tackle for -3 yards (tackle by Tim Settle),,
3,11:19,2,13,WAS 14,19,17,Matt Ryan pass incomplete short middle intended for Kyle Pitts (defended by Kendall Fuller),,
3,11:15,3,13,WAS 14,19,23,"Matt Ryan pass complete short left to Cordarrelle Patterson for 14 yards, touchdown",,
3,11:09,,,WAS 2,19,23,Two Point Attempt: Matt Ryan pass incomplete intended for intended for Olamide Zaccheaus,,
3,11:09,,,ATL 35,19,23,"Cameron Nizialek kicks off 65 yards, touchback.",,
3,11:09,1,10,WAS 25,19,23,Taylor Heinicke pass complete deep left to Terry McLaurin for 20 yards (tackle by Fabian Moreau and Foyesade Oluokun),,
3,10:33,1,10,WAS 45,19,23,Taylor Heinicke pass complete short right to Antonio Gibson for 11 yards (tackle by Deion Jones and Avery Williams),,
3,9:48,1,10,ATL 44,19,23,Taylor Heinicke pass incomplete deep right intended for Terry McLaurin (defended by Erik Harris),,
3,9:41,2,10,ATL 44,19,23,Antonio Gibson right end for 5 yards (tackle by Foyesade Oluokun and Deion Jones),,
3,9:03,3,5,ATL 39,19,23,Taylor Heinicke pass incomplete deep right intended for Ricky Seals-Jones (defended by Erik Harris),,
3,8:58,4,5,ATL 39,19,23,"Taylor Heinicke pass complete short left to Curtis Samuel for 10 yards (tackle by Duron Harmon). Penalty on Foyesade Oluokun: Defensive Holding, 5 yards (declined)",,
3,8:32,1,10,ATL 29,19,23,Antonio Gibson left end for 6 yards (tackle by Jonathan Bullard and Brandon Copeland),,
3,8:08,2,4,ATL 23,19,23,Antonio Gibson left tackle for 8 yards (tackle by Foyesade Oluokun),,
3,7:31,1,10,ATL 15,19,23,Taylor Heinicke pass incomplete short middle intended for Dyami Brown,,
3,7:26,2,10,ATL 15,19,23,J.D. McKissic right tackle for 10 yards (tackle by Duron Harmon and Avery Williams),,
3,7:02,1,5,ATL 5,19,23,J.D. McKissic left guard for 2 yards (tackle by Deion Jones and Dante Fowler),,
3,6:21,2,3,ATL 3,19,23,J.D. McKissic right guard for 1 yard (tackle by Deion Jones),,
3,5:39,3,2,ATL 2,19,23,Taylor Heinicke pass incomplete short left intended for Terry McLaurin (defended by Duron Harmon),,
3,5:35,4,2,ATL 2,22,23,Dustin Hopkins 21 yard field goal good,,
3,5:31,,,WAS 35,22,23,"Dustin Hopkins kicks off 70 yards, returned by Cordarrelle Patterson for 22 yards (tackle by Deshazor Everett and Khaleke Hudson)",,
3,5:26,1,10,ATL 17,22,23,Matt Ryan pass incomplete deep middle intended for Calvin Ridley (defended by Bobby McCain),,
3,5:18,2,10,ATL 17,22,23,Wayne Gallman right tackle for 3 yards (tackle by Jonathan Allen and Daron Payne),,
3,4:37,3,7,ATL 20,22,23,Matt Ryan pass complete short middle to Kyle Pitts for 14 yards (tackle by Jonathan Bostic),,
3,4:04,1,10,ATL 34,22,23,Mike Davis left tackle for 3 yards (tackle by Chase Young),,
3,3:25,2,7,ATL 37,22,23,Matt Ryan pass complete short left to Kyle Pitts for 6 yards (tackle by Kendall Fuller and Jonathan Bostic),,
3,2:40,3,1,ATL 43,22,23,Matt Ryan pass complete short right to Calvin Ridley for 7 yards (tackle by Kamren Curl),,
3,2:03,1,10,ATL 50,22,23,Matt Ryan pass incomplete short right intended for Wayne Gallman,,
3,1:58,2,10,ATL 50,22,23,Matt Ryan pass complete short right to Calvin Ridley for 8 yards (tackle by William Jackson),,
3,1:32,3,2,WAS 42,22,23,Matt Ryan pass incomplete deep right intended for Calvin Ridley,,
3,1:26,4,2,WAS 42,22,23,"Matt Ryan sacked by Chase Young for no gain. Penalty on Chase Young: Roughing the Passer, 15 yards (accepted) (no play)",,
3,1:12,1,10,WAS 27,22,23,Cordarrelle Patterson right end for 13 yards (tackle by Bobby McCain),,
3,0:41,1,10,WAS 14,22,23,Cordarrelle Patterson right tackle for 5 yards (tackle by Jonathan Allen and Kamren Curl),,
3,0:12,2,5,WAS 9,22,23,Mike Davis right end for 2 yards (tackle by Bobby McCain),,
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,WAS 7,22,29,"Matt Ryan pass complete short left to Mike Davis for 7 yards, touchdown",,
4,14:52,,,WAS 15,22,30,Younghoe Koo kicks extra point good,,
4,14:52,,,ATL 35,22,30,"Younghoe Koo kicks off 65 yards, touchback.",,
4,14:52,1,10,WAS 25,22,30,Taylor Heinicke pass complete short right to J.D. McKissic for 2 yards (tackle by AJ Terrell),,
4,14:17,2,8,WAS 27,22,30,Antonio Gibson right tackle for 5 yards (tackle by Deion Jones and Ta'Quon Graham),,
4,13:36,3,3,WAS 32,22,30,Taylor Heinicke pass complete short left to J.D. McKissic for -2 yards (tackle by Fabian Moreau),,
4,12:59,4,5,WAS 30,22,30,"Tress Way punts 45 yards, returned by Avery Williams for 4 yards (tackle by Troy Apke)",,
4,12:48,1,10,ATL 29,22,30,Wayne Gallman left end for no gain (tackle by Jamin Davis),,
4,12:13,2,10,ATL 29,22,30,Wayne Gallman right tackle for 13 yards (tackle by Cole Holcomb),,
4,11:36,1,10,ATL 42,22,30,Wayne Gallman left tackle for 1 yard (tackle by Matthew Ioannidis and Landon Collins),,
4,10:54,2,9,ATL 43,22,30,Wayne Gallman right tackle for 2 yards (tackle by Jonathan Allen and Daron Payne),,
4,10:12,3,7,ATL 45,22,30,Matt Ryan pass incomplete deep left intended for Calvin Ridley,,
4,10:08,4,7,ATL 45,22,30,Younghoe Koo punts 25 yards out of bounds,,
4,10:00,1,10,WAS 30,22,30,"Penalty on Ricky Seals-Jones: False Start, 5 yards (accepted) (no play)",,
4,10:00,1,15,WAS 25,22,30,Antonio Gibson right tackle for 1 yard (tackle by Foyesade Oluokun and Erik Harris),,
4,9:22,2,14,WAS 26,22,30,"Taylor Heinicke pass incomplete short right intended for Antonio Gibson. Penalty on AJ Terrell: Illegal Contact, 5 yards (accepted) (no play)",,
4,9:16,1,10,WAS 31,22,30,Taylor Heinicke pass complete short left to Jaret Patterson for 11 yards (tackle by Avery Williams),,
4,8:38,1,10,WAS 42,22,30,Jaret Patterson left guard for 3 yards (tackle by Steven Means and Deion Jones),,
4,8:03,2,7,WAS 45,22,30,Taylor Heinicke scrambles right tackle for 10 yards (tackle by Foyesade Oluokun),,
4,7:17,1,10,ATL 45,22,30,"Taylor Heinicke scrambles right tackle for no gain (tackle by Deion Jones). Penalty on Terry McLaurin: Illegal Formation, 5 yards (accepted) (no play)",,
4,6:51,1,15,ATL 50,22,30,J.D. McKissic left guard for -1 yards (tackle by Dante Fowler),,
4,6:09,2,16,WAS 49,22,30,Taylor Heinicke pass complete deep middle to Terry McLaurin for 23 yards (tackle by Foyesade Oluokun),,
4,5:36,1,10,ATL 28,22,30,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin (defended by Erik Harris),,
4,5:30,2,10,ATL 28,22,30,J.D. McKissic left tackle for 1 yard (tackle by Brandon Copeland),,
4,4:45,3,9,ATL 27,22,30,Taylor Heinicke pass complete short middle to J.D. McKissic for 10 yards (tackle by Duron Harmon),,
4,4:02,1,10,ATL 17,28,30,"Taylor Heinicke pass complete deep middle to Terry McLaurin for 17 yards, touchdown",,
4,3:52,,,ATL 15,28,30,"Penalty on Samuel Cosmi: False Start, 5 yards (accepted) (no play)",,
4,3:52,1,7,ATL 2,28,30,"Two Point Attempt: Taylor Heinicke pass incomplete intended for intended for Ricky Seals-Jones. Penalty on Dante Fowler: Defensive Offside, 4 yards (accepted) (no play)",,
4,3:52,1,3,ATL 2,28,30,Two Point Attempt: Taylor Heinicke pass incomplete intended for intended for Ricky Seals-Jones,,
4,3:52,,,WAS 35,28,30,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,3:52,1,10,ATL 25,28,30,Mike Davis left end for -3 yards (tackle by Jonathan Allen),,
4,3:07,2,13,ATL 22,28,30,Mike Davis left tackle for 4 yards (tackle by Jonathan Allen),,
4,2:24,3,9,ATL 26,28,30,Matt Ryan pass complete short left to Mike Davis for 5 yards (tackle by Matthew Ioannidis),,
4,2:00,4,4,ATL 31,28,30,Younghoe Koo punts 45 yards downed by Josh Harris,,
4,1:47,1,10,WAS 24,28,30,Taylor Heinicke pass incomplete short left intended for Terry McLaurin,,
4,1:43,2,10,WAS 24,28,30,Taylor Heinicke pass complete deep middle to DeAndre Carter for 24 yards (tackle by AJ Terrell and Foyesade Oluokun),,
4,1:16,1,10,WAS 48,28,30,"Taylor Heinicke pass incomplete short left intended for Terry McLaurin (defended by Foyesade Oluokun) Replay Assistant challenged the fumble ruling, and the play was upheld.",,
4,1:12,2,10,WAS 48,28,30,Taylor Heinicke pass complete short left to Adam Humphries for 19 yards (tackle by Avery Williams),,
4,1:06,1,10,ATL 33,28,30,Taylor Heinicke pass complete short left to J.D. McKissic for 4 yards (tackle by Steven Means),,
4,0:51,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:51,2,6,ATL 29,28,30,J.D. McKissic left end for -1 yards (tackle by Steven Means),,
4,0:46,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:46,3,7,ATL 30,34,30,"Taylor Heinicke pass complete short right to J.D. McKissic for 30 yards, touchdown",,
4,0:33,,,ATL 2,34,30,"Two Point Attempt: J.D. McKissic rushes, conversion fails.",,
4,0:33,,,WAS 35,34,30,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,0:33,1,10,ATL 25,34,30,Matt Ryan pass complete deep left to Calvin Ridley for 21 yards (tackle by Landon Collins),,
4,0:26,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:26,1,10,ATL 46,34,30,Matt Ryan pass incomplete short left intended for Calvin Ridley (defended by Kendall Fuller),,
4,0:23,,,,,,Timeout #2 by Washington Football Team,,
4,0:23,2,10,ATL 46,34,30,Matt Ryan scrambles right guard for 17 yards (tackle by Daron Payne),,
4,0:03,1,10,WAS 37,34,30,Matt Ryan spiked the ball,,
4,0:01,,,,,,Timeout #3 by Washington Football Team,,
4,0:01,2,10,WAS 37,34,30,Matt Ryan pass incomplete deep middle (defended by Bobby McCain),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
