Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA
1,1:36,2,2,LVR 29,0,3,Jahmyr Gibbs left tackle for 8 yards (tackle by Marcus Epps),3.650,4.170
1,1:09,1,10,LVR 21,0,3,Jahmyr Gibbs left tackle for -1 yards (tackle by Marcus Epps),4.170,3.490
1,0:27,2,11,LVR 22,0,3,Jared Goff pass incomplete short right intended for Jameson Williams,3.490,2.810
1,0:22,3,11,LVR 22,0,3,Jared Goff pass complete short right to Kalif Raymond for 14 yards (tackle by Marcus Peters),2.810,5.370
Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,8,LVR 8,0,3,Jahmyr Gibbs up the middle for 2 yards (tackle by Robert Spillane and Isaac Rochell),5.370,4.950
2,14:29,2,6,LVR 6,0,3,"Jahmyr Gibbs left end for no gain (tackle by Marcus Epps and Nate Hobbs). Penalty on Taylor Decker: Offensive Holding, 10 yards (accepted) (no play)",4.950,3.340
2,14:07,2,16,LVR 16,0,3,Kalif Raymond left tackle for -2 yards (tackle by Adam Butler),3.340,2.630
2,13:29,3,18,LVR 18,0,3,Jared Goff pass complete short right to Kalif Raymond for 10 yards (tackle by Luke Masterson),2.630,2.950
2,12:35,4,8,LVR 8,0,3,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",2.950,2.570
2,12:27,4,13,LVR 13,0,6,Riley Patterson 31 yard field goal good,2.570,3.000
2,12:23,,,DET 35,0,6,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,12:23,1,10,LVR 25,0,6,Josh Jacobs left tackle for 4 yards (tackle by John Cominsky and Alim McNeill),0.610,0.600
2,11:42,2,6,LVR 29,0,6,Jimmy Garoppolo pass incomplete short middle intended for Davante Adams (defended by Alim McNeill),0.600,-0.100
2,11:37,3,6,LVR 29,0,6,Jimmy Garoppolo pass incomplete short left intended for Hunter Renfrow,-0.100,-1.440
2,11:31,4,6,LVR 29,0,6,AJ Cole punts 49 yards,-1.440,-0.410
2,11:24,1,10,DET 22,0,6,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 44 yards (tackle by Marcus Epps),0.410,3.310
2,10:44,1,10,LVR 34,0,6,Jared Goff pass complete short middle to Jameson Williams for -6 yards (tackle by Maxx Crosby),3.310,1.960
2,10:05,2,16,LVR 40,0,6,"Jared Goff pass complete deep right to Amon-Ra St. Brown for 24 yards (tackle by Tre'von Moehrig). Penalty on Nate Hobbs: Illegal Contact, 5 yards (declined)",1.960,4.510
2,9:35,1,10,LVR 16,0,6,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Marcus Epps),4.510,5.540
2,9:01,2,1,LVR 7,0,6,Amon-Ra St. Brown sacked by Nate Hobbs for -8 yards,5.540,3.220
2,8:17,3,9,LVR 15,0,6,Jared Goff pass incomplete short middle intended for Kalif Raymond (defended by Adam Butler),3.220,2.440
2,8:12,4,9,LVR 15,0,9,Riley Patterson 33 yard field goal good,2.440,3.000
2,8:08,,,DET 35,0,9,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,8:08,1,10,LVR 25,0,9,Jimmy Garoppolo pass complete short right to Austin Hooper for 8 yards (tackle by Jack Campbell),0.610,1.140
2,7:38,2,2,LVR 33,0,9,Josh Jacobs right tackle for 9 yards (tackle by Kerby Joseph),1.140,1.730
2,7:01,1,10,LVR 42,0,9,"Josh Jacobs left end for 4 yards (tackle by Aidan Hutchinson). Penalty on Jerry Jacobs: Low Block, 15 yards (accepted)",1.730,2.980
2,6:39,1,10,DET 39,0,9,Jimmy Garoppolo pass complete short left to Austin Hooper for 11 yards (tackle by Kerby Joseph),2.980,3.710
2,6:02,1,10,DET 28,0,9,Josh Jacobs up the middle for 7 yards (tackle by Jack Campbell and Brian Branch),3.710,4.110
2,5:27,2,3,DET 21,0,9,Josh Jacobs left tackle for 6 yards (tackle by Brodric Martin),4.110,4.580
2,4:53,1,10,DET 15,0,9,Josh Jacobs up the middle for 6 yards (tackle by Tracy Walker and Alex Anzalone),4.580,5.030
2,4:17,2,4,DET 9,0,9,Josh Jacobs up the middle for 3 yards (tackle by Jerry Jacobs),5.030,4.900
2,3:43,3,1,DET 6,0,9,Jimmy Garoppolo up the middle for 3 yards (tackle by John Cominsky and Alim McNeill),4.900,6.510
2,3:00,1,3,DET 3,6,9,"Josh Jacobs up the middle for 3 yards, touchdown",6.510,7.000
2,2:56,,,DET 15,7,9,Daniel Carlson kicks extra point good,0.000,0.000
2,2:56,,,LVR 35,7,9,"Daniel Carlson kicks off 57 yards, returned by Khalil Dorsey for 13 yards (tackle by Amari Burney)",0.000,0.340
2,2:52,1,10,DET 21,7,9,Jahmyr Gibbs up the middle for no gain (tackle by Maxx Crosby),0.340,-0.200
2,2:16,2,10,DET 21,7,9,Jared Goff pass complete deep middle to Jameson Williams for 22 yards (tackle by Tre'von Moehrig),-0.200,1.800
2,2:00,1,10,DET 43,7,9,Jared Goff pass complete short left to Jahmyr Gibbs for 14 yards (tackle by Nate Hobbs),1.800,2.720
2,1:51,1,10,LVR 43,7,9,"Jahmyr Gibbs up the middle for no gain (tackle by Maxx Crosby). Penalty on Colby Sorsdal: Offensive Holding, 10 yards (offset) . Penalty on Robert Spillane: Horse Collar Tackle, 15 yards (offset) (no play)",2.720,2.720
2,1:44,1,10,LVR 43,7,9,Jahmyr Gibbs up the middle for 7 yards (tackle by Luke Masterson and Tre'von Moehrig),2.720,3.120
2,1:31,,,,,,Timeout #2 by Las Vegas Raiders,,
2,1:31,2,3,LVR 36,7,9,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Amik Robertson),3.120,3.580
2,1:10,1,10,LVR 30,7,9,Jahmyr Gibbs left tackle for 1 yard (tackle by Robert Spillane and Adam Butler),3.580,3.170
2,0:45,2,9,LVR 29,7,9,Jared Goff pass complete short right to Sam LaPorta for 3 yards (tackle by Marcus Peters),3.170,2.870
2,0:39,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:39,3,6,LVR 26,7,9,Jared Goff pass complete short middle to Sam LaPorta for 8 yards (tackle by David Long),2.870,4.370
2,0:31,,,,,,Timeout #1 by Detroit Lions,,
2,0:31,1,10,LVR 18,7,15,"Jared Goff pass complete short middle to Sam LaPorta for 18 yards, touchdown",4.370,7.000
2,0:27,,,LVR 15,7,16,Riley Patterson kicks extra point good,0.000,0.000
2,0:27,,,DET 35,7,16,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,0:27,1,10,LVR 25,7,16,Ameer Abdullah right tackle for 7 yards (tackle by Derrick Barnes and Tracy Walker),0.610,1.010
Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,7,16,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,7,16,Jimmy Garoppolo pass complete short right to Davante Adams for 11 yards (tackle by Alex Anzalone),0.610,1.330
3,14:28,1,10,LVR 36,7,16,Josh Jacobs right end for 1 yard (tackle by Josh Paschal),1.330,0.930
3,13:56,2,9,LVR 37,7,16,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,0.930,0.230
3,13:49,3,9,LVR 37,7,16,Jimmy Garoppolo sacked by Julian Okwara for -7 yards,0.230,-1.370
3,13:13,4,16,LVR 30,7,16,"AJ Cole punts 50 yards, returned by Kalif Raymond for 9 yards (tackle by Jakob Johnson and Isaiah Pola-Mao). Penalty on DJ Turner: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",-1.370,-1.860
3,13:01,1,10,DET 44,7,16,Jahmyr Gibbs left tackle for 24 yards (tackle by Robert Spillane),1.860,3.450
3,12:24,1,10,LVR 32,7,16,Jahmyr Gibbs left end for 4 yards (tackle by Amik Robertson),3.450,3.440
3,11:47,2,6,LVR 28,13,16,"Jared Goff pass short right intended for Amon-Ra St. Brown is intercepted by Marcus Peters at LV-25 and returned for 75 yards, touchdown",3.440,-7.000
3,11:32,,,DET 15,14,16,Daniel Carlson kicks extra point good,0.000,0.000
3,11:32,,,LVR 35,14,16,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,11:32,1,10,DET 25,14,16,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Marcus Epps),0.610,0.740
3,11:03,2,5,DET 30,14,16,Craig Reynolds left tackle for 8 yards (tackle by Nate Hobbs and Tre'von Moehrig),0.740,1.470
3,10:41,1,10,DET 38,14,16,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,1.470,0.920
3,10:35,2,10,DET 38,14,16,Craig Reynolds left tackle for 5 yards (tackle by Amari Burney),0.920,0.890
3,10:00,3,5,DET 43,14,16,Jared Goff pass complete short middle to Amon-Ra St. Brown for 14 yards (tackle by Marcus Epps),0.890,2.720
3,9:36,1,10,LVR 43,14,16,Jahmyr Gibbs right end for 1 yard (tackle by Maxx Crosby and Malcolm Koonce),2.720,2.310
3,8:59,2,9,LVR 42,14,16,Jahmyr Gibbs right end for 1 yard (tackle by Maxx Crosby and John Jenkins),2.310,1.750
3,8:15,3,8,LVR 41,14,16,Craig Reynolds left tackle for 8 yards (tackle by Malcolm Koonce),1.750,3.380
3,7:42,1,10,LVR 33,14,16,Jared Goff pass complete short right to Craig Reynolds for 12 yards (tackle by Marcus Peters and Amari Burney),3.380,4.170
3,7:04,1,10,LVR 21,14,16,Jahmyr Gibbs right end for 17 yards (tackle by Marcus Peters),4.170,6.280
3,6:24,1,4,LVR 4,14,16,Craig Reynolds up the middle for no gain (tackle by Robert Spillane),6.280,5.340
3,5:52,2,4,LVR 4,14,16,"Craig Reynolds left tackle for 1 yard. Craig Reynolds fumbles (forced by Maxx Crosby) (tackle by Jerry Tillery), recovered by Maxx Crosby at LV-3 (tackle by Jerry Tillery) (tackle by Maxx Crosby) (tackle by Maxx Crosby) Replay Assistant challenged the fumble ruling, and the play was upheld.",5.340,0.380
3,5:29,1,10,LVR 3,14,16,"Penalty on Josh Jacobs: False Start, 1 yard (accepted) (no play)",-0.380,-0.420
3,5:29,1,11,LVR 2,14,16,Josh Jacobs up the middle for 5 yards (tackle by Brian Branch),-0.420,-0.560
3,4:59,2,7,LVR 7,14,16,Jimmy Garoppolo pass complete short left to Hunter Renfrow for 1 yard (tackle by Cameron Sutton),-0.560,-0.840
3,4:18,3,5,LVR 8,14,16,Jimmy Garoppolo pass incomplete short left intended for Davante Adams,-0.840,-2.490
3,4:14,4,5,LVR 8,14,16,"AJ Cole punts 52 yards, returned by Kalif Raymond for 9 yards (tackle by Jacob Bobenmoyer and Michael Mayer)",-2.490,-2.190
3,4:02,1,10,DET 49,14,16,Jahmyr Gibbs left end for 6 yards (tackle by Amari Burney),2.190,2.460
3,3:29,2,4,LVR 45,14,16,"Jared Goff pass incomplete deep left intended for Josh Reynolds. Penalty on Amik Robertson: Defensive Pass Interference, 18 yards (accepted) (no play)",2.460,3.780
3,3:20,1,10,LVR 27,14,22,"Jahmyr Gibbs up the middle for 27 yards, touchdown",3.780,7.000
3,3:13,,,LVR 15,14,23,Riley Patterson kicks extra point good,0.000,0.000
3,3:13,,,DET 35,14,23,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,3:13,1,10,LVR 25,14,23,Jimmy Garoppolo pass complete deep left to Michael Mayer for 19 yards (tackle by Brian Branch),0.610,1.860
3,2:39,1,10,LVR 44,14,23,Josh Jacobs left tackle for 5 yards (tackle by Jerry Jacobs),1.860,1.990
3,2:04,2,5,LVR 49,14,23,Jimmy Garoppolo pass incomplete deep right intended for Michael Mayer (defended by Kerby Joseph),1.990,1.290
3,1:58,3,5,LVR 49,14,23,Jimmy Garoppolo sacked by Alim McNeill for -8 yards,1.290,-0.650
3,1:11,4,13,LVR 41,14,23,"AJ Cole punts 48 yards, fair catch by Kalif Raymond at DET-11",-0.650,0.370
3,1:07,1,10,DET 11,14,23,Jahmyr Gibbs up the middle for 11 yards (tackle by Isaiah Pola-Mao),-0.370,0.410
3,0:30,1,10,DET 22,14,23,Jahmyr Gibbs up the middle for 7 yards (tackle by Marcus Epps and Tre'von Moehrig),0.410,0.810
Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,DET 29,14,23,Jared Goff pass complete short left to Sam LaPorta for 8 yards (tackle by Marcus Epps),0.810,1.400
4,14:23,1,10,DET 37,14,23,Jahmyr Gibbs left tackle for 9 yards (tackle by Tre'von Moehrig),1.400,2.070
4,13:51,2,1,DET 46,14,23,Jared Goff pass complete short left to Jahmyr Gibbs for 3 yards (tackle by Amik Robertson),2.070,2.190
4,13:14,1,10,DET 49,14,23,Craig Reynolds left end for 5 yards (tackle by Amari Burney and Jerry Tillery),2.190,2.320
4,12:31,2,5,LVR 46,14,23,Craig Reynolds left tackle for 2 yards (tackle by Amari Burney and John Jenkins),2.320,1.880
4,11:57,3,3,LVR 44,14,23,Jahmyr Gibbs left tackle for 2 yards (tackle by John Jenkins and Bilal Nichols),1.880,0.460
4,11:21,4,1,LVR 42,14,23,"Jared Goff up the middle for no gain (tackle by Adam Butler). Penalty on Maxx Crosby: Defensive Offside, 6 yards (accepted) (no play)",0.460,3.180
4,10:58,1,10,LVR 36,14,23,Jared Goff pass incomplete short left,3.180,2.640
4,10:53,2,10,LVR 36,14,23,Jahmyr Gibbs left tackle for 2 yards (tackle by Bilal Nichols and John Jenkins),2.640,2.210
4,10:08,3,8,LVR 34,14,23,Jared Goff pass incomplete short right intended for Kalif Raymond,2.210,1.060
4,10:04,4,8,LVR 34,14,26,Riley Patterson 52 yard field goal good,1.060,3.000
4,9:59,,,DET 35,14,26,"Jack Fox kicks off 65 yards, recovered by DeAndre Carter in end zone (tackle by Khalil Dorsey and Ifeatu Melifonwu)",0.000,-0.380
4,9:54,1,10,LVR 2,14,26,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,-0.380,-0.780
4,9:49,2,10,LVR 2,14,26,"Jimmy Garoppolo pass incomplete short middle intended for Hunter Renfrow. Penalty on Jack Campbell: Roughing the Passer, 15 yards (accepted) (no play)",-0.780,-0.060
4,9:45,1,10,LVR 17,14,26,Jimmy Garoppolo pass complete deep right to Jakobi Meyers for 19 yards (tackle by Tracy Walker),-0.060,1.330
4,9:10,1,10,LVR 36,14,26,Jimmy Garoppolo sacked by Alex Anzalone for -7 yards,1.330,-0.160
4,8:29,2,17,LVR 29,14,26,Jimmy Garoppolo sacked by Alim McNeill for -11 yards,-0.160,-2.590
4,7:46,3,28,LVR 18,14,26,Jimmy Garoppolo pass complete short left to Hunter Renfrow for 18 yards (tackle by Jack Campbell),-2.590,-0.980
4,7:01,4,10,LVR 36,14,26,Jimmy Garoppolo sacked by Alex Anzalone for -8 yards,-0.980,-3.710
4,6:55,1,10,LVR 28,14,26,Craig Reynolds up the middle for 11 yards (tackle by Marcus Epps),3.710,4.440
4,6:11,1,10,LVR 17,14,26,Craig Reynolds left end for 13 yards (tackle by Amik Robertson),4.440,6.280
4,5:23,1,4,LVR 4,14,26,"Craig Reynolds left end for no gain, touchdown. Penalty on Dan Skipper: Offensive Holding, 10 yards (accepted) (no play)",6.280,4.440
4,5:19,1,14,LVR 14,14,26,Jahmyr Gibbs up the middle for 3 yards (tackle by Maxx Crosby),4.440,4.020
4,5:13,,,,,,Timeout #1 by Las Vegas Raiders,,
4,5:13,2,11,LVR 11,14,26,Jahmyr Gibbs left tackle for 3 yards (tackle by John Jenkins and Robert Spillane),4.020,3.580
4,5:07,,,,,,Timeout #2 by Las Vegas Raiders,,
4,5:07,3,8,LVR 8,14,26,Jared Goff pass incomplete short right intended for Sam LaPorta,3.580,2.950
4,5:03,4,8,LVR 8,14,26,Riley Patterson 26 yard field goal no good,2.950,-0.280
4,4:59,1,10,LVR 20,14,26,"Jimmy Garoppolo pass complete short right to Josh Jacobs for 15 yards. Josh Jacobs fumbles (forced by Derrick Barnes), recovered by Jakobi Meyers at LV-40 and returned for 1 yard (tackle by Tracy Walker)",0.280,1.600
4,4:33,1,10,LVR 40,14,26,Jimmy Garoppolo pass incomplete short left intended for Josh Jacobs,1.600,1.050
4,4:29,2,10,LVR 40,14,26,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams,1.050,0.370
4,4:23,3,10,LVR 40,14,26,Jimmy Garoppolo sacked by Tracy Walker for -8 yards,0.370,-1.240
4,3:37,4,18,LVR 32,14,26,Jimmy Garoppolo pass complete short left to Ameer Abdullah for 12 yards (tackle by Alex Anzalone and Brian Branch),-1.240,-2.650
4,3:29,1,10,LVR 44,14,26,Craig Reynolds left end for 2 yards (tackle by Tyree Wilson and Nate Hobbs),2.650,2.380
4,3:23,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:23,2,8,LVR 42,14,26,Craig Reynolds left tackle for 5 yards (tackle by John Jenkins and Adam Butler),2.380,2.350
4,2:39,3,3,LVR 37,14,26,Craig Reynolds left tackle for 1 yard (tackle by Robert Spillane),2.350,0.890
4,2:00,4,2,LVR 36,14,26,Jared Goff pass complete short left to Brock Wright for 5 yards (tackle by Nate Hobbs),0.890,3.510
4,1:19,1,10,LVR 31,14,26,Jared Goff kneels for -1 yards,3.510,2.830
4,0:39,2,11,LVR 32,14,26,Jared Goff kneels for -1 yards,2.830,2.020
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
