Quarter,Time,Down,ToGo,Location,MIA,LVR,Detail,EPB,EPA
3,2:34,4,2,MIA 2,13,16,Daniel Carlson 20 yard field goal good,3.250,3.000
3,2:30,,,LVR 35,13,16,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,2:30,1,10,MIA 25,13,16,Myles Gaskin right tackle for 7 yards (tackle by Kyle Wilber),0.610,1.010
3,1:54,2,3,MIA 32,13,16,Tua Tagovailoa sacked by Carl Nassib for -8 yards,1.010,-0.760
3,1:12,3,11,MIA 24,13,16,Tua Tagovailoa pass incomplete short middle intended for Isaiah Ford (defended by Dallin Leavitt),-0.760,-1.770
3,1:05,4,11,MIA 24,13,16,"Matt Haack punts 46 yards, returned by Hunter Renfrow for no gain (tackle by Kavon Frazier). Penalty on Isaiah Johnson: Offensive Holding, 10 yards",-1.770,-0.280
3,0:53,1,10,LVR 20,13,16,Devontae Booker up the middle for 3 yards (tackle by Zach Sieler),0.280,0.140
3,0:22,2,7,LVR 23,13,16,Derek Carr pass complete deep right to Darren Waller for 22 yards (tackle by Eric Rowe),0.140,1.930
Quarter,Time,Down,ToGo,Location,MIA,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LVR 45,13,16,Derek Carr pass complete short left to Devontae Booker for 4 yards (tackle by Eric Rowe and Jerome Baker),1.930,1.920
4,14:25,2,6,LVR 49,13,16,Devontae Booker left guard for 3 yards (tackle by Raekwon Davis and Andrew Van Ginkel),1.920,1.620
4,13:47,3,3,MIA 48,13,16,Derek Carr pass incomplete short middle intended for Henry Ruggs (defended by Xavien Howard),1.620,0.070
4,13:39,4,3,MIA 48,13,16,"AJ Cole punts 48 yards, touchback.",0.070,-0.280
4,13:31,1,10,MIA 20,13,16,Tua Tagovailoa pass complete short right to Mike Gesicki for 1 yard (tackle by Cory Littleton),0.280,-0.130
4,12:50,2,9,MIA 21,13,16,Tua Tagovailoa sacked by Johnathan Hankins for -9 yards,-0.130,-2.360
4,12:10,3,18,MIA 12,13,16,Myles Gaskin up the middle for 8 yards (tackle by Lamarcus Joyner),-2.360,-2.030
4,11:31,4,10,MIA 20,13,16,"Matt Haack punts 44 yards, returned by Hunter Renfrow for 19 yards (tackle by Andrew Van Ginkel)",-2.030,-2.590
4,11:18,1,10,MIA 45,13,16,Josh Jacobs right tackle for 2 yards (tackle by Jerome Baker),2.590,2.310
4,10:40,2,8,MIA 43,13,16,Derek Carr pass incomplete deep middle intended for Henry Ruggs (defended by Xavien Howard),2.310,1.620
4,10:32,3,8,MIA 43,13,16,Derek Carr sacked by Jerome Baker for -4 yards,1.620,0.130
4,9:54,4,12,MIA 47,13,16,"AJ Cole punts 35 yards, fair catch by Malcolm Perry at MIA-12",0.130,0.350
4,9:47,1,10,MIA 12,13,16,Ryan Fitzpatrick pass complete short left to Myles Gaskin for 4 yards (tackle by Cory Littleton),-0.350,-0.370
4,9:15,2,6,MIA 16,13,16,Myles Gaskin left guard for 2 yards (tackle by Lamarcus Joyner),-0.370,-0.720
4,8:35,3,4,MIA 18,13,16,Ryan Fitzpatrick pass complete short left to Isaiah Ford for 13 yards (tackle by Damon Arnette),-0.720,1.000
4,7:59,1,10,MIA 31,13,16,Ryan Fitzpatrick pass complete short left to Mack Hollins for 8 yards (tackle by Damon Arnette and Raekwon McMillan),1.000,1.540
4,7:30,2,2,MIA 39,13,16,Myles Gaskin left tackle for 4 yards (tackle by Lamarcus Joyner),1.540,1.800
4,6:58,1,10,MIA 43,13,16,Ryan Fitzpatrick pass incomplete deep middle intended for Mike Gesicki,1.800,1.250
4,6:53,2,10,MIA 43,13,16,Salvon Ahmed right tackle for 5 yards (tackle by Arden Key),1.250,1.220
4,6:09,3,5,MIA 48,13,16,Ryan Fitzpatrick pass complete short middle to Mike Gesicki for 17 yards (tackle by Isaiah Johnson and Johnathan Abram),1.220,3.250
4,5:33,1,10,LVR 35,13,16,Ryan Fitzpatrick pass complete deep middle to Mike Gesicki for 31 yards (tackle by Raekwon McMillan),3.250,6.280
4,4:46,,,,,,Timeout #1 by Miami Dolphins,,
4,4:46,1,4,LVR 4,13,16,Myles Gaskin left tackle for no gain (tackle by Johnathan Abram and Dallin Leavitt),6.280,5.340
4,4:11,2,4,LVR 4,13,16,Ryan Fitzpatrick pass incomplete short right intended for Mack Hollins,5.340,4.490
4,4:08,3,4,LVR 4,13,16,Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki,4.490,3.030
4,4:05,4,4,LVR 4,16,16,Jason Sanders 22 yard field goal good,3.030,3.000
4,4:01,,,MIA 35,16,16,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,4:01,1,10,LVR 25,16,16,"Josh Jacobs left tackle for 2 yards (tackle by Jerome Baker). Penalty on John Simpson: Offensive Holding, 10 yards (no play)",0.610,-0.410
4,3:56,1,20,LVR 15,16,22,"Derek Carr pass complete deep right to Nelson Agholor for 85 yards, touchdown",-0.410,7.000
4,3:37,,,MIA 15,16,22,Daniel Carlson kicks extra point no good wide right,0.000,-1.000
4,3:37,,,LVR 35,16,22,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,3:37,1,10,MIA 25,16,22,Ryan Fitzpatrick pass complete short middle to Isaiah Ford for 7 yards (tackle by Lamarcus Joyner),0.610,1.010
4,3:12,2,3,MIA 32,16,22,Ryan Fitzpatrick pass complete short right to Isaiah Ford for 9 yards (tackle by Raekwon McMillan and Nevin Lawson). Penalty on Maxx Crosby: Defensive Offside (Declined),1.010,1.660
4,3:08,1,10,MIA 41,22,22,"Ryan Fitzpatrick pass complete short right to Myles Gaskin for 59 yards, touchdown",1.660,7.000
4,2:55,,,LVR 15,23,22,Jason Sanders kicks extra point good,0.000,0.000
4,2:55,,,MIA 35,23,22,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,2:55,1,10,LVR 25,23,22,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Jerome Baker),0.610,0.600
4,2:28,2,6,LVR 29,23,22,"Derek Carr pass incomplete deep middle intended for Nelson Agholor (defended by Byron Jones). Penalty on Byron Jones: Defensive Pass Interference, 49 yards (no play)",0.600,4.110
4,2:20,1,10,MIA 22,23,22,Josh Jacobs up the middle for 7 yards (tackle by Emmanuel Ogbah and Kyle Van Noy),4.110,4.650
4,2:00,2,3,MIA 15,23,22,Josh Jacobs left guard for 2 yards (tackle by Emmanuel Ogbah),4.650,4.390
4,1:55,,,,,,Timeout #2 by Miami Dolphins,,
4,1:55,3,1,MIA 13,23,22,"Penalty on Kyle Van Noy: Neutral Zone Infraction, 5 yards (no play)",4.390,5.370
4,1:55,1,8,MIA 8,23,22,Josh Jacobs up the middle for 2 yards (tackle by Kyle Van Noy),5.370,4.950
4,1:50,,,,,,Timeout #3 by Miami Dolphins,,
4,1:50,2,6,MIA 6,23,22,Josh Jacobs up the middle for 5 yards (tackle by Bobby McCain),4.950,5.170
4,1:05,,,,,,Timeout #1 by Las Vegas Raiders,,
4,1:05,3,1,MIA 1,23,22,Derek Carr kneels for -3 yards,5.170,3.030
4,0:23,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:23,4,4,MIA 4,23,25,Daniel Carlson 22 yard field goal good,3.030,3.000
4,0:19,,,LVR 35,23,25,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,0:19,1,10,MIA 25,23,25,"Ryan Fitzpatrick pass complete deep left to Mack Hollins for 34 yards (tackle by Isaiah Johnson). Penalty on Arden Key: Roughing the Passer, 15 yards",0.610,3.840
4,0:12,1,10,LVR 26,23,25,Ryan Fitzpatrick pass incomplete deep right,3.840,3.300
4,0:06,2,10,LVR 26,26,25,Jason Sanders 44 yard field goal good,3.300,3.000
4,0:01,,,MIA 35,26,25,"Jason Sanders kicks off 23 yards, returned by Devontae Booker for -2 yards, lateral to Derek Carrier for -5 yards, lateral to Keisean Nixon for 3 yards, lateral to Clayton Fejedelem for 3 yards. Keisean Nixon fumbles (forced by Clayton Fejedelem), recovered by Clayton Fejedelem at LV-38",0.000,2.920
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
