Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
1,0:49,4,2,NYG 35,6,3,"Steve Weatherford punts 51 yards, returned by Marcus Sherels for 86 yards, touchdown. Penalty on Jacquian Williams: Offensive Holding (Declined), Penalty on Steve Weatherford: Horse Collar Tackle, 15 yards",-1.040,-7.000
1,0:23,,,NYG 2,7,3,Blair Walsh kicks extra point good,0.000,0.000
1,0:23,,,NYG 35,7,3,"Blair Walsh kicks off 42 yards, returned by Jerrel Jernigan for 14 yards (tackle by Larry Dean)",0.000,-0.410
1,0:18,1,10,NYG 22,7,3,Michael Cox right end for 1 yard (tackle by Josh Robinson and Mistral Raymond),0.410,0.000
Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYG 23,7,3,Eli Manning pass incomplete short right intended for Hakeem Nicks (defended by Xavier Rhodes),0.000,-0.690
2,14:56,3,9,NYG 23,7,3,Eli Manning pass incomplete short right intended for Peyton Hillis,-0.690,-1.830
2,14:52,4,9,NYG 23,7,3,"Steve Weatherford punts 42 yards, fair catch by Marcus Sherels",-1.830,-1.270
2,14:45,1,10,MIN 35,7,3,Cordarrelle Patterson right end for 2 yards (tackle by Antrel Rolle and Keith Rivers),1.270,0.990
2,14:07,2,8,MIN 37,7,3,Josh Freeman pass incomplete short left intended for Jerome Simpson,0.990,0.300
2,14:00,3,8,MIN 37,7,3,Josh Freeman pass complete short left to Kyle Rudolph for 7 yards (tackle by Will Hill),0.300,-0.460
2,13:22,4,1,MIN 44,7,3,Jeff Locke punts 38 yards,-0.460,-0.040
2,13:07,1,10,NYG 18,7,3,Eli Manning pass complete short left to John Conner for 7 yards (tackle by Erin Henderson and Jamarca Sanford),0.040,0.550
2,12:36,2,3,NYG 25,7,3,Eli Manning pass incomplete short left intended for Hakeem Nicks (defended by Fred Evans),0.550,-0.270
2,12:23,3,3,NYG 25,7,3,Eli Manning pass complete short middle to Victor Cruz for 12 yards (tackle by Jamarca Sanford),-0.270,1.400
2,11:47,1,10,NYG 37,7,3,Eli Manning pass complete short left to Victor Cruz for 11 yards (tackle by Chris Cook),1.400,2.130
2,11:15,1,10,NYG 48,7,3,Michael Cox right end for 1 yard (tackle by Mistral Raymond and Brian Robison),2.130,1.720
2,10:34,2,9,NYG 49,7,3,"Peyton Hillis right tackle for 4 yards (tackle by Jamarca Sanford). Peyton Hillis fumbles (forced by Jamarca Sanford), recovered by Peyton Hillis at MIN-47",1.720,1.550
2,9:49,3,5,MIN 47,7,3,"Eli Manning pass incomplete deep right intended for Hakeem Nicks. Penalty on Xavier Rhodes: Defensive Pass Interference, 23 yards (no play)",1.550,3.970
2,9:41,1,10,MIN 24,7,9,"Eli Manning pass complete deep left to Rueben Randle for 24 yards, touchdown",3.970,7.000
2,9:41,,,MIN 2,7,10,Josh Brown kicks extra point good,0.000,0.000
2,9:41,,,NYG 35,7,10,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
2,9:33,1,10,MIN 20,7,10,Adrian Peterson up the middle for no gain (tackle by Antrel Rolle),0.280,-0.270
2,9:08,2,10,MIN 20,7,10,Josh Freeman pass incomplete short middle intended for Adrian Peterson,-0.270,-0.960
2,9:01,3,10,MIN 20,7,10,Josh Freeman pass complete short middle to Adrian Peterson for 22 yards (tackle by Will Hill),-0.960,1.730
2,8:35,1,10,MIN 42,7,10,Josh Freeman pass complete short left to Kyle Rudolph for 21 yards (tackle by Prince Amukamara and Ryan Mundy),1.730,3.120
2,7:55,1,10,NYG 37,7,10,Adrian Peterson right end for 3 yards (tackle by Spencer Paysinger and Shaun Rogers),3.120,2.980
2,7:15,2,7,NYG 34,7,10,Adrian Peterson left guard for -1 yards (tackle by Mike Patterson and Jon Beason),2.980,2.150
2,6:39,3,8,NYG 35,7,10,Josh Freeman pass incomplete,2.150,0.970
2,6:31,4,8,NYG 35,7,10,Blair Walsh 53 yard field goal no good,0.970,-1.860
2,6:25,1,10,NYG 44,7,10,Eli Manning pass incomplete short left intended for Hakeem Nicks (defended by Kevin Williams),1.860,1.320
2,6:21,2,10,NYG 44,7,10,Peyton Hillis up the middle for no gain (tackle by Kevin Williams and Erin Henderson),1.320,0.630
2,5:44,3,10,NYG 44,7,10,Eli Manning pass incomplete short middle intended for Brandon Myers,0.630,-0.460
2,5:36,4,10,NYG 44,7,10,"Steve Weatherford punts 56 yards, touchback",-0.460,-0.280
2,5:27,1,10,MIN 20,7,10,Josh Freeman pass incomplete deep left intended for Kyle Rudolph,0.280,-0.270
2,5:21,2,10,MIN 20,7,10,Adrian Peterson up the middle for 1 yard (tackle by Jason Pierre-Paul),-0.270,-0.820
2,4:45,3,9,MIN 21,7,10,Josh Freeman pass complete short left to Cordarrelle Patterson for 8 yards (tackle by Will Hill and Jason Pierre-Paul),-0.820,-1.440
2,4:00,4,1,MIN 29,7,10,"Jeff Locke punts 41 yards, returned by Rueben Randle for 1 yard (tackle by Michael Mauti)",-1.440,-1.000
2,3:49,1,10,NYG 31,7,10,Eli Manning pass complete short right to Victor Cruz for 12 yards (tackle by Josh Robinson),1.000,1.800
2,3:13,1,10,NYG 43,7,10,Michael Cox right guard for 2 yards (tackle by Chad Greenway and Everson Griffen),1.800,1.520
2,2:38,2,8,NYG 45,7,10,Eli Manning pass incomplete short right intended for Hakeem Nicks (defended by Josh Robinson),1.520,0.830
2,2:25,3,8,NYG 45,7,10,Eli Manning pass complete short right to Peyton Hillis for 2 yards (tackle by Chad Greenway),0.830,0.830
2,2:12,3,8,NYG 45,7,10,Timeout #1 by Minnesota Vikings,0.830,-0.260
2,2:12,4,6,NYG 47,7,10,Steve Weatherford punts 34 yards,-0.260,-0.150
2,2:00,1,10,MIN 19,7,10,Adrian Peterson right guard for 1 yard (tackle by Jon Beason and Cullen Jenkins),0.150,0.150
2,1:52,1,10,MIN 19,7,10,Timeout #1 by New York Giants,0.150,-0.200
2,1:52,2,9,MIN 20,7,10,"Josh Freeman pass incomplete short left intended for Jerome Simpson (defended by Prince Amukamara). Penalty on Antrel Rolle: Unnecessary Roughness, 15 yards (no play)",-0.200,1.270
2,1:48,1,10,MIN 35,7,10,Josh Freeman pass complete short left to Cordarrelle Patterson for -1 yards (tackle by Prince Amukamara),1.270,1.270
2,1:43,1,10,MIN 35,7,10,Timeout #2 by New York Giants,1.270,0.590
2,1:43,2,11,MIN 34,7,10,Josh Freeman pass complete short left to Greg Jennings for 8 yards (tackle by Antrel Rolle),0.590,0.960
2,1:36,3,3,MIN 42,7,10,Josh Freeman pass incomplete short right intended for Greg Jennings (defended by Antrel Rolle),0.960,-0.590
2,1:31,4,3,MIN 42,7,10,"Jeff Locke punts 51 yards, out of bounds",-0.590,0.380
2,1:21,1,10,NYG 7,7,10,Eli Manning pass complete short left to Peyton Hillis for 6 yards (tackle by Erin Henderson and Josh Robinson),-0.380,-0.340
2,1:00,2,4,NYG 13,7,10,Eli Manning sacked by Jared Allen and Kevin Williams for -7 yards,-0.340,-0.340
2,0:50,2,4,NYG 13,7,10,Timeout #2 by Minnesota Vikings,-0.340,-1.540
2,0:50,3,11,NYG 6,7,10,Peyton Hillis left end for 8 yards (tackle by Chris Cook and Jared Allen),-1.540,-1.540
2,0:44,3,11,NYG 6,7,10,Timeout #3 by Minnesota Vikings,-1.540,-2.470
2,0:44,4,3,NYG 14,7,10,"Steve Weatherford punts 56 yards, fair catch by Marcus Sherels",-2.470,-0.940
2,0:35,1,10,MIN 30,7,10,Josh Freeman pass incomplete deep left intended for Jarius Wright,0.940,0.390
2,0:30,2,10,MIN 30,7,10,Adrian Peterson right guard for 5 yards (tackle by Jacquian Williams and Justin Tuck),0.390,0.370
Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,7,10,"Josh Brown kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,MIN 20,7,10,Josh Freeman pass incomplete short right intended for Cordarrelle Patterson,0.280,-0.270
3,14:57,2,10,MIN 20,7,10,"Penalty on Phil Loadholt: False Start, 5 yards (no play)",-0.270,-1.070
3,14:57,2,15,MIN 15,7,10,Josh Freeman pass complete short right to Jarius Wright for 13 yards (tackle by Antrel Rolle and Jon Beason),-1.070,0.100
3,14:26,3,2,MIN 28,7,10,Josh Freeman pass incomplete short left intended for Greg Jennings (defended by Antrel Rolle),0.100,-1.500
3,14:15,4,2,MIN 28,7,10,"Jeff Locke punts 56 yards, returned by Rueben Randle for 11 yards (tackle by Larry Dean). Rueben Randle fumbles (forced by Larry Dean), recovered by Cullen Loeffler at NYG-31",-1.500,3.510
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
3,14:01,1,10,NYG 31,7,10,Adrian Peterson right end for 8 yards (tackle by Jon Beason),3.510,4.050
3,13:30,2,2,NYG 23,7,10,Josh Freeman pass incomplete deep middle intended for Kyle Rudolph is intercepted by Antrel Rolle at NYG-5 and returned for 25 yards,4.050,-0.940
3,13:09,1,10,NYG 30,7,10,Eli Manning pass incomplete short middle intended for Bear Pascoe,0.940,0.390
3,13:06,2,10,NYG 30,7,10,Michael Cox left end for -5 yards (tackle by Jared Allen),0.390,-0.960
3,12:31,3,15,NYG 25,7,10,Eli Manning pass complete short right to Rueben Randle for 7 yards (tackle by Xavier Rhodes and Marcus Sherels),-0.960,-1.240
3,11:48,4,8,NYG 32,7,10,"Steve Weatherford punts 55 yards, returned by Marcus Sherels for 13 yards (tackle by Spencer Paysinger)",-1.240,-0.670
3,11:34,1,10,MIN 26,7,10,Adrian Peterson up the middle for 2 yards (tackle by Ryan Mundy and Justin Tuck),0.670,0.400
3,11:02,2,8,MIN 28,7,10,Josh Freeman pass incomplete deep right intended for Jarius Wright,0.400,-0.300
3,10:49,3,8,MIN 28,7,10,Josh Freeman pass incomplete short right intended for Kyle Rudolph (defended by Jacquian Williams),-0.300,-1.500
3,10:44,4,8,MIN 28,7,10,Jeff Locke punts 39 yards,-1.500,-1.140
3,10:32,1,10,NYG 33,7,10,Eli Manning pass incomplete short left intended for John Conner,1.140,0.590
3,10:27,2,10,NYG 33,7,10,Eli Manning pass complete short right to Michael Cox for no gain,0.590,-0.100
3,9:42,3,10,NYG 33,7,10,Eli Manning pass incomplete short right intended for Victor Cruz (defended by Marcus Sherels),-0.100,-1.180
3,9:33,4,10,NYG 33,7,10,"Steve Weatherford punts 57 yards, returned by Marcus Sherels for 3 yards. Marcus Sherels fumbles, recovered by Zak DeOssie at MIN-3",-1.180,6.510
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
3,9:18,1,3,MIN 3,7,10,Peyton Hillis left tackle for 2 yards (tackle by Jamarca Sanford),6.510,5.910
3,8:45,2,1,MIN 1,7,16,"Peyton Hillis left guard for 1 yard, touchdown",5.910,7.000
3,8:45,,,MIN 2,7,17,Josh Brown kicks extra point good,0.000,0.000
3,8:45,,,NYG 35,7,17,"Josh Brown kicks off 74 yards, returned by Cordarrelle Patterson for 69 yards (tackle by Antrel Rolle)",0.000,-2.920
3,8:26,1,10,NYG 40,7,17,Josh Freeman pass incomplete deep right intended for Jerome Simpson (defended by Trumaine McBride),2.920,2.370
3,8:19,2,10,NYG 40,7,17,Adrian Peterson right end for no gain (tackle by Trumaine McBride),2.370,1.680
3,7:43,3,10,NYG 40,7,17,Josh Freeman pass complete short right to Greg Jennings for 12 yards (tackle by Will Hill). Penalty on Prince Amukamara: Defensive Holding (Declined),1.680,3.710
3,7:21,1,10,NYG 28,7,17,Josh Freeman pass incomplete deep left intended for Greg Jennings,3.710,3.170
3,7:09,2,10,NYG 28,7,17,Adrian Peterson left guard for 7 yards (tackle by Ryan Mundy),3.170,3.400
3,6:30,3,3,NYG 21,7,17,Josh Freeman sacked by Justin Tuck for -14 yards,3.400,0.970
3,5:55,4,17,NYG 35,7,17,"Jeff Locke punts 35 yards, touchback",0.970,-0.280
3,5:44,1,10,NYG 20,7,17,Michael Cox left end for 2 yards (tackle by Jamarca Sanford),0.280,0.000
3,5:12,2,8,NYG 22,7,17,"Eli Manning for no gain. Eli Manning fumbles, recovered by Michael Cox at NYG-20",0.000,-0.960
3,4:24,3,10,NYG 20,7,17,Eli Manning pass complete short middle to Brandon Myers for 12 yards (tackle by Chad Greenway),-0.960,1.070
3,3:46,1,10,NYG 32,7,17,Eli Manning pass complete deep right to Hakeem Nicks for 21 yards (tackle by Josh Robinson),1.070,2.460
3,2:58,1,10,MIN 47,7,17,Peyton Hillis left end for 3 yards (tackle by Jared Allen and Andrew Sendejo),2.460,2.320
3,2:15,2,7,MIN 44,7,17,Eli Manning pass complete short right to Hakeem Nicks for 7 yards (tackle by Xavier Rhodes and Josh Robinson),2.320,3.120
3,1:23,1,10,MIN 37,7,17,Peyton Hillis up the middle for -2 yards (tackle by Letroy Guion),3.120,2.300
3,0:39,2,12,MIN 39,7,17,Eli Manning pass incomplete deep right intended for Hakeem Nicks,2.300,1.620
3,0:30,3,12,MIN 39,7,17,Eli Manning pass complete short left to Peyton Hillis for 16 yards (tackle by Andrew Sendejo and Jamarca Sanford),1.620,4.040
Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 23,7,17,Peyton Hillis left tackle for 1 yard (tackle by Andrew Sendejo and Kevin Williams),4.040,3.630
4,14:23,2,9,MIN 22,7,17,Eli Manning pass incomplete short left intended for Hakeem Nicks,3.630,2.940
4,14:15,3,9,MIN 22,7,17,Eli Manning pass complete short left to Peyton Hillis for 9 yards (tackle by Jamarca Sanford and Erin Henderson),2.940,4.710
4,13:47,1,10,MIN 13,7,17,Eli Manning pass incomplete short right intended for Victor Cruz (defended by Josh Robinson),4.710,4.050
4,13:35,2,10,MIN 13,7,17,Peyton Hillis up the middle for 6 yards (tackle by Erin Henderson and Andrew Sendejo),4.050,4.330
4,12:56,3,4,MIN 7,7,17,Eli Manning pass complete short middle to Victor Cruz for 2 yards (tackle by Erin Henderson),4.330,3.030
4,12:19,4,2,MIN 5,7,20,Josh Brown 23 yard field goal good,3.030,3.000
4,12:19,,,NYG 35,7,20,"Josh Brown kicks off 51 yards, returned by Sharrif Floyd for 11 yards (tackle by Damontre Moore). Sharrif Floyd fumbles, recovered by Jacquian Williams at MIN-23 and returned for 5 yards",0.000,4.370
4,12:03,1,10,MIN 18,7,20,Peyton Hillis left tackle for no gain (tackle by Fred Evans and Chad Greenway),4.370,3.800
4,11:24,2,10,MIN 18,7,20,Eli Manning pass incomplete short left intended for John Conner,3.800,3.050
4,11:14,3,10,MIN 18,7,20,Eli Manning pass incomplete deep right intended for Hakeem Nicks,3.050,2.250
4,11:07,4,10,MIN 18,7,23,Josh Brown 36 yard field goal good,2.250,3.000
4,11:07,,,NYG 35,7,23,"Josh Brown kicks off 40 yards, returned by John Carlson for 12 yards (tackle by Mark Herzlich)",0.000,-1.400
4,10:57,1,10,MIN 37,7,23,Josh Freeman pass complete short left to Greg Jennings for 9 yards (tackle by Prince Amukamara),1.400,2.070
4,10:29,2,1,MIN 46,7,23,Josh Freeman pass incomplete short right intended for Jerome Felton,2.070,1.360
4,10:22,3,1,MIN 46,7,23,Adrian Peterson up the middle for 2 yards (tackle by Jon Beason and Ryan Mundy),1.360,2.130
4,9:53,1,10,MIN 48,7,23,Josh Freeman pass incomplete short middle intended for Greg Jennings,2.130,1.580
4,9:45,2,10,MIN 48,7,23,Josh Freeman pass complete short right to Jerome Felton for 1 yard (tackle by Spencer Paysinger),1.580,1.020
4,8:49,3,9,MIN 49,7,23,Josh Freeman pass complete short right to John Carlson for 9 yards (tackle by Jacquian Williams),1.020,2.790
4,8:16,1,10,NYG 42,7,23,Josh Freeman pass incomplete deep right intended for Jerome Simpson,2.790,2.240
4,8:08,2,10,NYG 42,7,23,Josh Freeman pass incomplete deep right intended for Greg Jennings,2.240,1.550
4,8:02,3,10,NYG 42,7,23,Josh Freeman pass complete short middle to Cordarrelle Patterson for 15 yards (tackle by Ryan Mundy),1.550,3.780
4,7:27,1,10,NYG 27,7,23,Josh Freeman pass incomplete short right intended for Kyle Rudolph,3.780,3.230
4,7:20,2,10,NYG 27,7,23,Josh Freeman pass complete short left to Jerome Simpson for 5 yards (tackle by Prince Amukamara and Antrel Rolle),3.230,3.200
4,6:50,3,5,NYG 22,7,23,Josh Freeman pass incomplete deep right intended for Jarius Wright,3.200,2.040
4,6:43,4,5,NYG 22,7,23,Josh Freeman pass incomplete short right intended for Kyle Rudolph,2.040,-0.410
4,6:38,1,10,NYG 22,7,23,Peyton Hillis right tackle for -3 yards (tackle by Erin Henderson),0.410,-0.600
4,6:04,2,13,NYG 19,7,23,Peyton Hillis right tackle for 1 yard (tackle by Chad Greenway and Brian Robison),-0.600,-1.090
4,5:18,3,12,NYG 20,7,23,Eli Manning sacked by Erin Henderson for 0 yards,-1.090,-2.030
4,4:34,4,12,NYG 20,7,23,"Steve Weatherford punts 53 yards, returned by Marcus Sherels for 20 yards (tackle by Mathias Kiwanuka). Penalty on Robert Blanton: Offensive Holding, 10 yards",-2.030,-1.200
4,4:20,1,10,MIN 34,7,23,Josh Freeman pass complete deep left to Jerome Simpson for 18 yards (tackle by Jon Beason),1.200,2.390
4,3:58,1,10,NYG 48,7,23,Josh Freeman pass incomplete short middle intended for Kyle Rudolph (defended by Jacquian Williams),2.390,1.850
4,3:52,2,10,NYG 48,7,23,"Josh Freeman pass incomplete deep middle intended for Jerome Simpson. Penalty on Prince Amukamara: Defensive Offside, 5 yards (no play)",1.850,2.520
4,3:45,2,5,NYG 43,7,23,Josh Freeman pass incomplete short right intended for Jerome Simpson,2.520,1.820
4,3:38,3,5,NYG 43,7,23,Josh Freeman pass complete short middle to Adrian Peterson for 6 yards (tackle by Jacquian Williams and Jon Beason),1.820,3.120
4,3:01,1,10,NYG 37,7,23,Josh Freeman pass incomplete deep right intended for Jarius Wright,3.120,2.570
4,2:54,2,10,NYG 37,7,23,"Josh Freeman pass incomplete deep left intended for Cordarrelle Patterson. Penalty on Prince Amukamara: Defensive Pass Interference, 22 yards (no play)",2.570,4.580
4,2:48,1,10,NYG 15,7,23,Josh Freeman pass incomplete short middle intended for Jerome Simpson (defended by Prince Amukamara),4.580,3.950
4,2:41,2,10,NYG 15,7,23,Josh Freeman pass incomplete short right intended for Greg Jennings,3.950,3.100
4,2:36,3,10,NYG 15,7,23,Josh Freeman pass incomplete short left intended for Adrian Peterson (defended by Jason Pierre-Paul),3.100,2.440
4,2:32,4,10,NYG 15,7,23,Josh Freeman pass incomplete short right intended for Jerome Simpson,2.440,0.220
4,2:26,1,10,NYG 15,7,23,Peyton Hillis left guard for 4 yards (tackle by Josh Robinson and Chad Greenway),-0.220,-0.110
4,2:00,2,6,NYG 19,7,23,Peyton Hillis up the middle for 1 yard (tackle by Fred Evans),-0.110,-0.110
4,1:54,2,6,NYG 19,7,23,Timeout #1 by Minnesota Vikings,-0.110,-0.760
4,1:54,3,5,NYG 20,7,23,Peyton Hillis right end for 4 yards (tackle by Fred Evans and Chad Greenway),-0.760,-0.760
4,1:48,3,5,NYG 20,7,23,Timeout #2 by Minnesota Vikings,-0.760,-1.770
4,1:48,4,1,NYG 24,7,23,"Steve Weatherford punts 34 yards, out of bounds",-1.770,-1.730
4,1:40,1,10,MIN 42,7,23,Josh Freeman pass complete short left to Toby Gerhart for 6 yards (tackle by Jacquian Williams),1.730,2.000
4,1:32,2,4,MIN 48,7,23,Josh Freeman pass complete short middle to Greg Jennings for 12 yards (tackle by Jon Beason and Terrell Thomas),2.000,2.920
4,1:10,1,10,NYG 40,7,23,Josh Freeman pass complete short middle to Toby Gerhart for 11 yards (tackle by Jacquian Williams and Jon Beason),2.920,3.640
4,0:48,1,10,NYG 29,7,23,Josh Freeman pass incomplete short right intended for Cordarrelle Patterson,3.640,3.100
4,0:37,2,10,NYG 29,7,23,Josh Freeman pass complete short right to Kyle Rudolph for -1 yards (tackle by Trumaine McBride),3.100,2.280
4,0:28,3,11,NYG 30,7,23,Josh Freeman pass incomplete short right intended for Toby Gerhart,2.280,1.410
4,0:23,4,11,NYG 30,7,23,Josh Freeman pass incomplete short middle intended for Joe Webb,1.410,-0.940
4,0:19,1,10,NYG 30,7,23,Eli Manning kneels for -1 yards,0.940,0.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
