Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
2,2:05,1,1,MIA 1,0,3,Alfred Morris left tackle for -3 yards (tackle by Reshad Jones),6.970,5.340
2,2:00,2,4,MIA 4,0,3,Kirk Cousins pass incomplete short right intended for Ryan Grant,5.340,4.490
2,1:54,3,4,MIA 4,0,9,"Kirk Cousins pass complete short left to Jordan Reed for 4 yards, touchdown",4.490,7.000
2,1:54,,,MIA 4,0,10,Kai Forbath kicks extra point good,0.000,0.000
2,1:54,,,WAS 35,0,10,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
2,1:49,1,10,MIA 20,0,10,Ryan Tannehill pass complete deep right to Jordan Cameron for 27 yards (tackle by Trent Robinson),0.280,0.280
2,1:49,1,10,MIA 20,0,10,Timeout #2 by Washington Redskins,0.280,2.060
2,1:38,1,10,MIA 47,0,10,"Ryan Tannehill pass complete short right to Greg Jennings for 11 yards. Penalty on Chris Baker: Roughing the Passer, 15 yards",2.060,3.780
2,1:31,1,10,WAS 27,0,10,Ryan Tannehill sacked by Jason Hatcher for -1 yards,3.780,3.100
2,1:02,2,11,WAS 28,0,10,Ryan Tannehill pass incomplete deep right intended for Kenny Stills,3.100,2.410
2,0:58,3,11,WAS 28,0,10,Ryan Tannehill pass complete short right to Kenny Stills for 12 yards (tackle by David Amerson). Penalty on Chris Culliver: Illegal Use of Hands (Declined),2.410,4.510
2,0:50,1,10,WAS 16,0,10,Ryan Tannehill pass incomplete deep right intended for Jordan Cameron,4.510,3.900
2,0:46,2,10,WAS 16,0,10,Ryan Tannehill pass complete short right to Jordan Cameron for 13 yards (tackle by David Amerson),3.900,3.900
2,0:39,2,10,WAS 16,0,10,Timeout #2 by Miami Dolphins,3.900,6.510
2,0:37,1,3,WAS 3,0,10,Ryan Tannehill pass incomplete short right intended for Jarvis Landry (defended by David Amerson),6.510,5.530
2,0:32,2,3,WAS 3,6,10,"Ryan Tannehill pass complete short right to Rishard Matthews for 3 yards, touchdown",5.530,7.000
2,0:32,,,WAS 3,7,10,Andrew Franks kicks extra point good,0.000,0.000
2,0:32,,,MIA 35,7,10,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
2,0:27,1,10,WAS 20,7,10,Kirk Cousins kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,10,"Kai Forbath kicks off 63 yards, returned by LaMichael James for 24 yards (tackle by Preston Smith). LaMichael James fumbles, recovered by LaMichael James at MIA-27",0.000,-0.740
3,14:50,1,10,MIA 27,7,10,Ryan Tannehill pass complete short middle to Rishard Matthews for 15 yards (tackle by DeAngelo Hall),0.740,1.730
3,14:15,1,10,MIA 42,7,10,Ryan Tannehill right tackle for 3 yards (tackle by Keenan Robinson),1.730,1.590
3,13:38,2,7,MIA 45,7,10,Ryan Tannehill pass incomplete short right intended for Jordan Cameron,1.590,0.890
3,13:34,3,7,MIA 45,7,10,Ryan Tannehill pass complete deep right to Jordan Cameron for 27 yards (tackle by Trent Robinson),0.890,3.710
3,13:29,1,10,WAS 28,7,10,Ryan Tannehill pass complete short left to Jarvis Landry for 6 yards (tackle by Justin Rogers),3.710,3.980
3,12:40,2,4,WAS 22,7,10,Ryan Tannehill pass incomplete short right intended for Rishard Matthews,3.980,3.270
3,12:34,3,4,WAS 22,7,10,"Ryan Tannehill sacked by Preston Smith for -13 yards. Ryan Tannehill fumbles (forced by Preston Smith), recovered by Preston Smith at MIA-40 (tackle by Ryan Tannehill)",3.270,-2.920
3,12:19,1,10,MIA 40,7,10,Alfred Morris left end for -2 yards (tackle by Earl Mitchell),2.920,2.100
3,11:47,2,12,MIA 42,7,10,Kirk Cousins pass complete short right to Darrel Young for no gain,2.100,1.420
3,11:01,3,12,MIA 42,7,10,Kirk Cousins pass complete short left to Jamison Crowder for no gain,1.420,0.460
3,10:48,4,12,MIA 42,7,10,"Tress Way punts 34 yards, returned by Jarvis Landry for 5 yards (tackle by Jeron Johnson)",0.460,0.320
3,10:14,1,10,MIA 13,7,10,Ryan Tannehill pass complete short middle to Rishard Matthews for 7 yards (tackle by Perry Riley),-0.320,0.220
3,10:07,2,3,MIA 20,7,10,Lamar Miller right end for 7 yards (tackle by Dashon Goldson),0.220,0.740
3,9:07,1,10,MIA 27,7,10,Ryan Tannehill pass complete short left to Jarvis Landry for 4 yards (tackle by Terrance Knighton),0.740,0.740
3,8:44,2,6,MIA 31,7,10,Ryan Tannehill sacked by Ryan Kerrigan and Chris Baker for -5 yards,0.740,-0.620
3,8:06,3,11,MIA 26,7,10,Ryan Tannehill pass complete short left to Greg Jennings for 10 yards (tackle by Dashon Goldson),-0.620,-0.980
3,7:42,4,1,MIA 36,7,10,"Penalty on Matt Darr: Delay of Game, 5 yards (no play)",-0.980,-1.310
3,7:31,4,6,MIA 31,7,10,"Matt Darr punts 63 yards, returned by Jamison Crowder for 13 yards (tackle by Spencer Paysinger). Penalty on Bobby McCain: Unsportsmanlike Conduct, 15 yards",-1.310,-1.200
3,7:18,1,10,WAS 34,7,10,"Penalty on Morgan Moses: False Start, 5 yards (no play)",1.200,0.870
3,7:18,1,15,WAS 29,7,10,Kirk Cousins pass complete short left to Pierre Garcon for 6 yards (tackle by Jamar Taylor),0.870,0.790
3,6:47,2,9,WAS 35,7,10,Chris Thompson left end for 7 yards (tackle by Reshad Jones),0.790,1.030
3,6:07,3,2,WAS 42,7,10,"Kirk Cousins sacked by Cameron Wake for -7 yards. Penalty on Jamar Taylor: Defensive Holding, 5 yards (no play)",1.030,2.060
3,5:39,1,10,WAS 47,7,10,Kirk Cousins pass complete deep middle to Jordan Reed for 25 yards (tackle by Jelani Jenkins),2.060,3.710
3,4:58,1,10,MIA 28,7,10,Alfred Morris right end for 6 yards (tackle by Koa Misi),3.710,3.980
3,4:17,2,4,MIA 22,7,10,Kirk Cousins pass complete short middle to Derek Carrier for -1 yards (tackle by Koa Misi),3.980,3.140
3,3:29,3,5,MIA 23,7,10,"Penalty on Kirk Cousins: Delay of Game, 5 yards (no play)",3.140,2.480
3,3:07,3,10,MIA 28,7,10,"Kirk Cousins pass complete short right to Pierre Garcon for 9 yards (tackle by Jelani Jenkins and Walt Aikens). Penalty on Jordan Reed: Offensive Pass Interference, 9 yards (no play)",2.480,1.290
3,2:43,3,19,MIA 37,7,10,"Kirk Cousins pass complete short left to Chris Thompson for 7 yards (tackle by Jelani Jenkins). Penalty on Ty Nsekhe: Offensive Holding, 10 yards (no play)",1.290,-0.030
3,2:20,3,29,MIA 47,7,10,Alfred Morris left end for 11 yards (tackle by Jamar Taylor),-0.030,0.880
3,2:16,4,18,MIA 36,7,10,"Tress Way punts 36 yards, touchback",0.880,-0.280
3,1:47,1,10,MIA 20,7,10,Ryan Tannehill pass complete short right to Jarvis Landry for 11 yards (tackle by Justin Rogers and DeAngelo Hall),0.280,1.000
3,1:19,1,10,MIA 31,7,10,Lamar Miller right tackle for 12 yards (tackle by Trent Robinson),1.000,1.800
3,0:43,1,10,MIA 43,7,10,Lamar Miller right end for 17 yards (tackle by DeAngelo Hall),1.800,2.920
3,0:01,1,10,WAS 40,7,10,Ryan Tannehill pass complete short middle to Jarvis Landry for 20 yards (tackle by DeAngelo Hall),2.920,4.240
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 20,7,10,Ryan Tannehill pass incomplete short left intended for Kenny Stills (defended by Keenan Robinson),4.240,3.690
4,14:56,2,10,WAS 20,7,10,Jarvis Landry left tackle for 14 yards (tackle by Trent Robinson and Justin Rogers),3.690,5.830
4,14:14,1,6,WAS 6,7,10,"Ryan Tannehill pass incomplete short left intended for Jordan Cameron (defended by Keenan Robinson). Penalty on Keenan Robinson: Defensive Pass Interference, 3 yards (no play)",5.830,6.510
4,14:09,1,3,WAS 3,7,10,Ryan Tannehill pass complete short right to Jarvis Landry for -7 yards (tackle by DeAngelo Hall and Chris Culliver),6.510,4.190
4,13:18,2,10,WAS 10,7,10,Ryan Tannehill right end for 5 yards (tackle by DeAngelo Hall and Perry Riley),4.190,4.260
4,12:42,3,5,WAS 5,7,10,"Penalty on Ryan Tannehill: Delay of Game, 5 yards (no play)",4.260,3.130
4,12:20,3,10,WAS 10,7,10,Ryan Tannehill pass complete short left to Jarvis Landry for 6 yards (tackle by Trent Murphy and Justin Rogers),3.130,3.030
4,12:10,4,4,WAS 4,10,10,Andrew Franks 22 yard field goal good,3.030,3.000
4,12:10,,,MIA 35,10,10,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
4,11:34,1,10,WAS 20,10,10,"Alfred Morris left tackle for 4 yards (tackle by Jelani Jenkins and Zach Vigil). Penalty on Derek Carrier: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,11:13,1,20,WAS 10,10,10,Kirk Cousins pass incomplete short left intended for Andre Roberts,-0.760,-1.510
4,11:08,2,20,WAS 10,10,10,"Alfred Morris right end for 2 yards (tackle by Derrick Shelby and Brent Grimes). Penalty on Morgan Moses: Unnecessary Roughness, 6 yards",-1.510,-3.060
4,10:55,3,24,WAS 6,10,10,"Matt Jones right end for 9 yards (tackle by Earl Mitchell). Penalty on Morgan Moses: Offensive Holding (Declined), Penalty on Kory Lichtensteiger: Illegal Formation (Declined)",-3.060,-2.440
4,10:38,4,15,WAS 15,16,10,"Tress Way punts 54 yards, returned by Jarvis Landry for 69 yards, touchdown",-2.440,-7.000
4,10:22,,,WAS 15,17,10,Andrew Franks kicks extra point good,0.000,0.000
4,10:22,,,MIA 35,17,10,"Andrew Franks kicks off 66 yards, returned by Chris Thompson for 36 yards (tackle by Walt Aikens)",0.000,-1.270
4,10:14,1,10,WAS 35,17,10,Alfred Morris middle for 3 yards (tackle by Jelani Jenkins and Terrence Fede),1.270,1.130
4,9:48,2,7,WAS 38,17,10,Kirk Cousins pass complete deep middle to Andre Roberts for 18 yards (tackle by Reshad Jones),1.130,2.650
4,9:13,1,10,MIA 44,17,10,Kirk Cousins pass complete short left to Jordan Reed for 3 yards (tackle by Koa Misi),2.650,2.520
4,8:49,2,7,MIA 41,17,10,Kirk Cousins pass complete short middle to Ryan Grant for 15 yards (tackle by Reshad Jones and Brice McCain),2.520,3.840
4,8:10,1,10,MIA 26,17,10,"Kirk Cousins for no gain. Kirk Cousins fumbles, ball out of bounds at MIA-29",3.840,2.890
4,7:52,2,13,MIA 29,17,10,Kirk Cousins pass incomplete deep right intended for Jordan Reed (defended by Reshad Jones),2.890,2.210
4,7:40,3,13,MIA 29,17,10,Kirk Cousins pass incomplete deep left intended for Pierre Garcon is intercepted by Brice McCain at MIA-2,2.210,0.380
4,7:35,1,10,MIA 2,17,10,Lamar Miller left end for 7 yards (tackle by Dashon Goldson),-0.380,-0.270
4,7:04,2,3,MIA 9,17,10,Lamar Miller right tackle for 2 yards (tackle by Chris Baker and Perry Riley),-0.270,-0.370
4,6:23,3,1,MIA 11,17,10,Ryan Tannehill pass complete short right to Rishard Matthews for 9 yards (tackle by DeAngelo Hall),-0.370,0.280
4,5:47,1,10,MIA 20,17,10,Lamar Miller left tackle for 2 yards (tackle by Jason Hatcher and Trent Robinson),0.280,0.000
4,5:21,2,8,MIA 22,17,10,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry,0.000,-0.690
4,5:13,3,8,MIA 22,17,10,Ryan Tannehill pass incomplete short middle intended for Rishard Matthews (defended by Ryan Kerrigan),-0.690,-1.900
4,5:08,4,8,MIA 22,17,10,"Matt Darr punts 47 yards, fair catch by Jamison Crowder",-1.900,-1.000
4,5:00,1,10,WAS 31,17,10,Kirk Cousins pass incomplete deep left intended for Pierre Garcon (defended by Jamar Taylor),1.000,0.460
4,4:51,2,10,WAS 31,17,10,Kirk Cousins pass complete short middle to Andre Roberts for 14 yards (tackle by Walt Aikens and Koa Misi),0.460,1.930
4,4:15,1,10,WAS 45,17,10,Alfred Morris middle for 7 yards (tackle by Jamar Taylor and Jelani Jenkins),1.930,2.330
4,3:44,2,3,MIA 48,17,10,Kirk Cousins pass complete short middle to Pierre Garcon for 12 yards (tackle by Jamar Taylor),2.330,3.180
4,3:14,1,10,MIA 36,17,10,Alfred Morris left end for 13 yards (tackle by Reshad Jones),3.180,4.040
4,3:09,1,10,MIA 23,17,10,Alfred Morris left end for -1 yards (tackle by Terrence Fede and Jelani Jenkins),4.040,3.360
4,2:33,2,11,MIA 24,17,10,Kirk Cousins pass complete short left to Jordan Reed for 4 yards (tackle by Michael Thomas),3.360,3.200
4,2:27,3,7,MIA 20,17,10,Kirk Cousins pass incomplete short left intended for Chris Thompson,3.200,3.200
4,2:22,3,7,MIA 20,17,10,Timeout #1 by Washington Redskins,3.200,2.120
4,2:22,4,7,MIA 20,17,10,Kirk Cousins pass incomplete short middle intended for Jordan Reed,2.120,-0.280
4,2:17,1,10,MIA 20,17,10,Lamar Miller left end for -6 yards (tackle by Trent Robinson),0.280,-1.180
4,2:00,2,16,MIA 14,17,10,Ryan Tannehill pass complete short right to Lamar Miller for 22 yards (tackle by DeAngelo Hall),-1.180,-1.180
4,1:48,2,16,MIA 14,17,10,Timeout #2 by Washington Redskins,-1.180,1.330
4,1:48,1,10,MIA 36,17,10,Lamar Miller right tackle for 1 yard (tackle by Chris Baker and Trent Murphy),1.330,1.330
4,1:43,1,10,MIA 36,17,10,Timeout #3 by Washington Redskins,1.330,0.930
4,1:43,2,9,MIA 37,17,10,Lamar Miller right guard for 1 yard (tackle by Jason Hatcher),0.930,0.930
4,0:58,2,9,MIA 37,17,10,Timeout #1 by Miami Dolphins,0.930,0.370
4,0:58,3,8,MIA 38,17,10,Lamar Miller right guard for 8 yards (tackle by Dashon Goldson and Trent Robinson),0.370,1.990
4,0:27,1,10,MIA 46,17,10,Ryan Tannehill kneels for -1 yards,1.990,1.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
