Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
1,8:54,1,10,CIN 22,0,0,Giovani Bernard left tackle for 5 yards (tackle by Quinton Dial and Jimmie Ward),0.410,0.540
1,8:28,2,5,CIN 27,0,0,A.J. McCarron pass complete deep right to A.J. Green for 37 yards,0.540,3.180
1,8:15,1,10,SFO 36,0,0,Giovani Bernard middle for 4 yards (tackle by Jimmie Ward and NaVorro Bowman),3.180,3.180
1,7:37,2,6,SFO 32,0,0,Giovani Bernard left end for 5 yards (tackle by Ian Williams),3.180,3.140
1,7:09,3,1,SFO 27,0,0,Giovani Bernard left tackle for no gain (tackle by Jaquiski Tartt),3.140,1.820
1,6:29,4,1,SFO 27,0,0,Giovani Bernard left guard for -1 yards (tackle by NaVorro Bowman),1.820,-0.810
1,6:25,1,10,SFO 28,0,0,Shaun Draughn left guard for no gain (tackle by Vontaze Burfict),0.810,0.260
1,5:51,2,10,SFO 28,0,0,Shaun Draughn right tackle for 7 yards (tackle by A.J. Hawk),0.260,0.500
1,5:10,3,3,SFO 35,0,0,Blaine Gabbert pass complete short left to Blake Bell for 2 yards (tackle by Reggie Nelson),0.500,-0.910
1,4:29,4,1,SFO 37,0,0,"Bradley Pinion punts 41 yards, returned by Brandon Tate for -3 yards (tackle by Marcus Cromartie)",-0.910,-0.150
1,4:20,1,10,CIN 19,0,0,A.J. McCarron pass complete short right to Giovani Bernard for 2 yards (tackle by NaVorro Bowman),0.150,-0.060
1,3:35,2,8,CIN 21,0,0,Giovani Bernard right tackle for 2 yards (tackle by NaVorro Bowman),-0.060,-0.550
1,2:54,3,6,CIN 23,0,0,A.J. McCarron pass incomplete short middle intended for Marvin Jones,-0.550,-1.830
1,2:51,4,6,CIN 23,0,0,"Kevin Huber punts 52 yards, returned by Bruce Ellington for -2 yards (tackle by Clark Harris)",-1.830,-0.480
1,2:38,1,10,SFO 23,0,0,Blaine Gabbert left end for 4 yards (tackle by Rey Maualuga),0.480,0.470
1,2:15,2,6,SFO 27,0,0,Shaun Draughn middle for 14 yards (tackle by Reggie Nelson and Shawn Williams),0.470,1.660
1,1:38,1,10,SFO 41,0,0,Blaine Gabbert pass complete short right to Shaun Draughn for 4 yards (tackle by Rey Maualuga),1.660,1.660
1,1:12,2,6,SFO 45,0,0,Shaun Draughn left guard for 1 yard (tackle by Rey Maualuga and Adam Jones),1.660,1.090
1,0:38,3,5,SFO 46,0,0,"Penalty on Quinton Patton: False Start, 5 yards (no play)",1.090,0.430
1,0:13,3,10,SFO 41,0,0,Blaine Gabbert pass complete short right to Blake Bell for 6 yards (tackle by Leon Hall),0.430,-0.260
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,SFO 47,0,0,"Bradley Pinion punts 42 yards, fair catch by Brandon Tate",-0.260,0.370
2,14:53,1,10,CIN 11,0,0,Giovani Bernard right tackle for no gain (tackle by Mike Purcell),-0.370,-0.780
2,14:16,2,10,CIN 11,0,0,A.J. McCarron pass incomplete short right intended for Jeremy Hill,-0.780,-1.420
2,14:13,3,10,CIN 11,0,0,A.J. McCarron pass complete short left to Tyler Kroft for 2 yards (tackle by Jimmie Ward),-1.420,-2.490
2,13:29,4,8,CIN 13,0,0,"Kevin Huber punts 49 yards, returned by Bruce Ellington for 5 yards (tackle by Clark Harris)",-2.490,-1.800
2,13:19,1,10,SFO 43,0,0,Blaine Gabbert pass complete short right to Torrey Smith for 16 yards (tackle by Dre Kirkpatrick),1.800,2.850
2,12:54,1,10,CIN 41,0,0,Blaine Gabbert pass complete short left to Anquan Boldin for -1 yards (tackle by Shawn Williams),2.850,2.170
2,12:23,2,11,CIN 42,0,0,Blaine Gabbert pass incomplete short left intended for Torrey Smith,2.170,1.490
2,12:19,3,11,CIN 42,0,0,"Penalty on Torrey Smith: False Start, 5 yards (no play)",1.490,0.830
2,12:19,3,16,CIN 47,0,0,"Penalty on Geno Atkins: Neutral Zone Infraction, 5 yards (no play)",0.830,0.830
2,12:19,3,16,CIN 47,0,0,Timeout #1 by Cincinnati Bengals,0.830,1.490
2,12:19,3,11,CIN 42,0,0,Blaine Gabbert pass incomplete short middle intended for Vance McDonald is intercepted by Adam Jones at CIN-28 and returned for 14 yards,1.490,-1.730
2,12:10,1,10,CIN 42,0,0,A.J. McCarron pass complete short right to Ryan Hewitt for 9 yards (tackle by Gerald Hodges),1.730,2.400
2,11:31,2,1,SFO 49,0,0,Jeremy Hill right guard for 1 yard (tackle by Gerald Hodges),2.400,2.390
2,10:52,1,10,SFO 48,0,0,Mohamed Sanu right end for 2 yards (tackle by Ahmad Brooks and Corey Lemonier),2.390,2.120
2,10:11,2,8,SFO 46,0,0,A.J. McCarron pass incomplete deep right intended for Marvin Jones,2.120,1.420
2,10:05,3,8,SFO 46,0,0,A.J. McCarron pass incomplete short left intended for A.J. Green (defended by Jimmie Ward),1.420,0.200
2,10:01,4,8,SFO 46,0,0,"Kevin Huber punts 46 yards, touchback",0.200,-0.280
2,9:52,1,10,SFO 20,0,0,"Travaris Cadet left tackle for 2 yards (tackle by Vontaze Burfict). Penalty on Erik Pears: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,9:33,1,20,SFO 10,0,0,Blaine Gabbert pass complete short left to Anquan Boldin for 1 yard (tackle by Leon Hall),-0.760,-1.440
2,9:00,2,19,SFO 11,0,0,Blaine Gabbert pass complete short left to Travaris Cadet for 9 yards (tackle by Wallace Gilberry),-1.440,-0.960
2,8:13,3,10,SFO 20,0,0,"Blaine Gabbert pass complete short right to Anquan Boldin for 12 yards (tackle by Carlos Dunlap). Anquan Boldin fumbles (forced by Carlos Dunlap), recovered by Carlos Dunlap at SFO-32 and returned for 21 yards (tackle by Travaris Cadet)",-0.960,-4.840
2,8:01,1,10,SFO 11,0,0,Jeremy Hill middle for 3 yards (tackle by Quinton Dial),4.840,4.700
2,7:36,2,7,SFO 8,0,0,"Penalty on Ian Williams: Neutral Zone Infraction, 4 yards (no play)",4.700,5.470
2,7:22,2,3,SFO 4,0,0,Jeremy Hill right guard for 1 yard (tackle by NaVorro Bowman and Quinton Dial),5.470,4.890
2,6:40,3,2,SFO 3,0,0,Jeremy Hill right end for 2 yards (tackle by Gerald Hodges),4.890,6.970
2,5:55,1,1,SFO 1,0,0,Jeremy Hill right guard for no gain (tackle by Gerald Hodges and Ahmad Brooks),6.970,5.910
2,5:18,2,1,SFO 1,6,0,"Jeremy Hill middle for 1 yard, touchdown",5.910,7.000
,,,,,,,"CIN challenged the runner broke the plane ruling, and the original play was overturned.",,
2,5:18,,,SFO 1,7,0,Mike Nugent kicks extra point good,0.000,0.000
2,5:18,,,CIN 35,7,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,5:16,1,10,SFO 20,7,0,Travaris Cadet left tackle for 2 yards (tackle by Reggie Nelson and Michael Johnson),0.280,0.000
2,4:39,2,8,SFO 22,7,0,Blaine Gabbert sacked by Vontaze Burfict for -10 yards,0.000,-2.360
2,4:03,3,18,SFO 12,7,0,Blaine Gabbert pass complete short right to Travaris Cadet for 6 yards (tackle by Vontaze Burfict),-2.360,-2.240
2,3:30,4,12,SFO 18,7,0,"Bradley Pinion punts 18 yards, out of bounds",-2.240,-3.180
2,3:22,1,10,SFO 36,7,0,A.J. McCarron pass complete deep left to Marvin Jones for 19 yards (tackle by Eric Reid),3.180,4.440
,,,,,,,"SFO challenged the pass completion ruling, and the play was upheld.",,
2,2:55,1,10,SFO 17,7,0,Jeremy Hill middle for 3 yards (tackle by Ian Williams),4.440,4.320
2,2:16,2,7,SFO 14,7,0,A.J. McCarron pass complete short right to Mohamed Sanu for 6 yards (tackle by Gerald Hodges),4.320,4.800
2,2:00,3,1,SFO 8,7,0,A.J. McCarron pass complete short left to Marvin Jones for 7 yards (tackle by Dontae Johnson and Gerald Hodges),4.800,6.970
2,1:19,1,1,SFO 1,13,0,"Jeremy Hill left guard for 1 yard, touchdown",6.970,7.000
2,1:19,,,SFO 1,14,0,Mike Nugent kicks extra point good,0.000,0.000
2,1:19,,,CIN 35,14,0,"Mike Nugent kicks off 66 yards, returned by Bruce Ellington for 34 yards (tackle by Troy Hill)",0.000,-1.140
2,1:11,1,10,SFO 33,14,0,Blaine Gabbert pass incomplete short left intended for Quinton Patton,1.140,0.590
2,1:07,2,10,SFO 33,14,0,Blaine Gabbert pass incomplete short right intended for Vance McDonald is intercepted by Vontaze Burfict at SFO-36 and returned for 16 yards,0.590,-4.240
2,0:58,1,10,SFO 20,20,0,"A.J. McCarron pass complete deep left to Tyler Kroft for 20 yards, touchdown",4.240,7.000
2,0:58,,,SFO 20,21,0,Mike Nugent kicks extra point good,0.000,0.000
2,0:58,,,CIN 35,21,0,"Mike Nugent kicks off 68 yards, returned by Quinton Patton for 20 yards (tackle by Rex Burkhead)",0.000,0.060
2,0:48,1,10,SFO 17,21,0,Blaine Gabbert sacked by Geno Atkins for -6 yards,-0.060,-1.220
2,0:09,2,16,SFO 11,21,0,Travaris Cadet right guard for 2 yards (tackle by Carlos Dunlap),-1.220,-1.860
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,21,0,"Bradley Pinion kicks off 63 yards, returned by Brandon Tate for 24 yards (tackle by Nick Bellore)",0.000,-0.670
3,14:54,1,10,CIN 26,21,0,A.J. McCarron pass incomplete short right intended for Ryan Hewitt,0.670,0.130
3,14:47,2,10,CIN 26,21,0,Giovani Bernard right end for -3 yards (tackle by Jimmie Ward). Penalty on Tyler Kroft: Offensive Holding (Declined),0.130,-0.960
3,14:20,3,13,CIN 23,21,0,A.J. McCarron pass complete deep left to Marvin Jones for 16 yards (tackle by Kenneth Acker),-0.960,1.530
3,13:44,1,10,CIN 39,21,0,Giovani Bernard left guard for 2 yards (tackle by Ahmad Brooks),1.530,1.260
3,13:09,2,8,CIN 41,21,0,A.J. McCarron pass complete short left to Giovani Bernard for 1 yard (tackle by Gerald Hodges),1.260,0.700
3,12:35,3,7,CIN 42,21,0,"A.J. McCarron pass complete short left to Tyler Kroft for 9 yards (tackle by Eric Reid). Penalty on Marvin Jones: Offensive Holding, 10 yards",0.700,0.560
3,12:19,3,8,CIN 41,21,0,A.J. McCarron pass complete deep left to Marvin Jones for 47 yards (tackle by Kenneth Acker),0.560,4.780
3,11:40,1,10,SFO 12,21,0,"Penalty on Andre Smith: False Start, 5 yards (no play)",4.780,4.320
3,11:24,1,15,SFO 17,21,0,A.J. McCarron sacked by Ahmad Brooks for 0 yards,4.320,3.420
3,10:54,2,15,SFO 17,21,0,Giovani Bernard left end for 3 yards (tackle by Jimmie Ward),3.420,3.060
3,10:12,3,12,SFO 14,21,0,"A.J. McCarron pass incomplete short middle intended for Giovani Bernard. Penalty on NaVorro Bowman: Defensive Pass Interference, 5 yards (no play)",3.060,5.140
3,10:08,1,9,SFO 9,21,0,Jeremy Hill left guard for 3 yards (tackle by Ian Williams),5.140,4.950
3,9:31,2,6,SFO 6,21,0,Jeremy Hill right tackle for 2 yards (tackle by NaVorro Bowman),4.950,4.490
3,8:50,3,4,SFO 4,21,0,A.J. McCarron pass incomplete short left intended for A.J. Green,4.490,3.030
3,8:45,4,4,SFO 4,24,0,Mike Nugent 22 yard field goal good,3.030,3.000
3,8:45,,,CIN 35,24,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
3,8:40,1,10,SFO 20,24,0,Blaine Gabbert pass incomplete short left intended for Anquan Boldin,0.280,-0.270
3,8:36,2,10,SFO 20,24,0,Kendall Gaskins middle for no gain (tackle by Geno Atkins),-0.270,-0.960
3,7:56,3,10,SFO 20,24,0,Blaine Gabbert left end for 6 yards (tackle by Reggie Nelson),-0.960,-1.630
3,7:30,4,4,SFO 26,24,0,"Bradley Pinion punts 52 yards, returned by Adam Jones for 4 yards (tackle by Ray-Ray Armstrong)",-1.630,-0.670
3,7:18,1,10,CIN 26,24,0,Jeremy Hill right guard for 9 yards (tackle by NaVorro Bowman),0.670,1.350
3,6:42,2,1,CIN 35,24,0,Jeremy Hill left tackle for 4 yards (tackle by Quinton Dial),1.350,1.530
3,6:04,1,10,CIN 39,24,0,Jeremy Hill right guard for 1 yard (tackle by Gerald Hodges),1.530,1.120
3,5:27,2,9,CIN 40,24,0,A.J. McCarron pass complete short left to Giovani Bernard for 14 yards (tackle by Eric Reid),1.120,1.120
3,4:57,2,9,CIN 40,24,0,Timeout #1 by Cincinnati Bengals,1.120,2.520
3,4:57,1,10,SFO 46,24,0,"Jeremy Hill left end for -8 yards. Jeremy Hill fumbles, recovered by Ian Williams at CIN-46 (tackle by Ryan Hewitt)",2.520,-2.520
3,4:50,1,10,CIN 46,24,0,Blaine Gabbert pass complete short left to Anquan Boldin for 29 yards (tackle by Shawn Williams),2.520,4.440
3,4:16,1,10,CIN 17,24,0,Blaine Gabbert pass incomplete deep right intended for Vance McDonald,4.440,3.850
3,4:11,2,10,CIN 17,24,0,Blaine Gabbert pass complete short left to Kendall Gaskins for 16 yards (tackle by Adam Jones),3.850,6.970
3,3:53,1,1,CIN 1,24,0,Kendall Gaskins middle for no gain (tackle by Rey Maualuga and Domata Peko),6.970,5.910
3,3:18,2,1,CIN 1,24,6,"Bruce Miller middle for 1 yard, touchdown. Penalty on Emmanuel Lamur: Defensive 12 On-field (Declined)",5.910,7.000
3,3:18,,,CIN 1,24,7,Phil Dawson kicks extra point good,0.000,0.000
3,3:18,,,SFO 35,24,7,"Bradley Pinion kicks off 66 yards, returned by Brandon Tate for 22 yards (tackle by Kenneth Acker)",0.000,-0.340
3,3:09,1,10,CIN 21,24,7,"Giovani Bernard right end for -2 yards (tackle by NaVorro Bowman and Quinton Dial). Penalty on Russell Bodine: Offensive Holding, 10 yards (no play)",0.340,-0.720
3,2:55,1,20,CIN 11,24,7,"A.J. McCarron pass complete short left to Giovani Bernard for 1 yard (tackle by Corey Lemonier). Penalty on Corey Lemonier: Unnecessary Roughness, 15 yards",-0.720,0.740
3,2:36,1,10,CIN 27,24,7,Giovani Bernard right guard for 6 yards (tackle by Gerald Hodges and NaVorro Bowman),0.740,1.010
3,1:52,2,4,CIN 33,24,7,"Giovani Bernard right guard for 3 yards (tackle by NaVorro Bowman). Penalty on Russell Bodine: Offensive Holding, 10 yards (no play)",1.010,-0.340
3,1:40,2,14,CIN 23,24,7,A.J. McCarron pass complete short right to Mohamed Sanu for 2 yards (tackle by Ahmad Brooks),-0.340,-0.760
3,0:58,3,12,CIN 25,24,7,A.J. McCarron sacked by Jimmie Ward for -9 yards,-0.760,-2.390
3,0:22,4,21,CIN 16,24,7,"Kevin Huber punts 45 yards, returned by Bruce Ellington for 7 yards (tackle by Emmanuel Lamur)",-2.390,-1.990
3,0:08,1,10,SFO 46,24,7,"Blaine Gabbert pass incomplete short left intended for Blake Bell. Penalty on Marcus Martin: Offensive Holding, 10 yards (no play)",1.990,1.330
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,SFO 36,24,7,Blaine Gabbert pass incomplete short right intended for Kendall Gaskins,1.330,0.100
4,14:57,2,20,SFO 36,24,7,Blaine Gabbert pass complete short middle to Blake Bell for 8 yards (tackle by Vontaze Burfict and Rey Maualuga),0.100,0.500
4,14:15,3,12,SFO 44,24,7,Blaine Gabbert pass incomplete short right intended for Travaris Cadet,0.500,-0.460
4,14:12,4,12,SFO 44,24,7,"Bradley Pinion punts 44 yards, fair catch by Brandon Tate",-0.460,0.350
4,14:04,1,10,CIN 12,24,7,Jeremy Hill right tackle for 2 yards (tackle by Ian Williams),-0.350,-0.610
4,13:25,2,8,CIN 14,24,7,A.J. McCarron sacked by Ian Williams for -6 yards,-0.610,-1.890
4,12:39,3,14,CIN 8,24,7,Giovani Bernard right end for 4 yards (tackle by Eli Harold),-1.890,-2.490
4,12:05,4,10,CIN 12,24,7,"Kevin Huber punts 54 yards, returned by Bruce Ellington for 7 yards (tackle by Rex Burkhead)",-2.490,-1.660
4,11:53,1,10,SFO 41,24,7,Blaine Gabbert pass complete short right to Kendall Gaskins for 3 yards (tackle by Dre Kirkpatrick),1.660,1.530
4,11:25,2,7,SFO 44,24,7,Blaine Gabbert pass complete short right to Quinton Patton for 16 yards (tackle by Rey Maualuga),1.530,2.920
4,11:01,1,10,CIN 40,24,7,Blaine Gabbert pass incomplete short middle intended for Blake Bell (defended by Reggie Nelson),2.920,2.370
4,10:55,2,10,CIN 40,24,7,Blaine Gabbert pass complete short right to Kendall Gaskins for 9 yards (tackle by Vontaze Burfict),2.370,2.870
4,10:19,3,1,CIN 31,24,7,Blaine Gabbert pass incomplete short right intended for Blake Bell,2.870,1.410
4,10:16,4,1,CIN 31,24,7,Bruce Miller left guard for 2 yards (tackle by A.J. Hawk),1.410,3.640
4,9:44,1,10,CIN 29,24,7,Blaine Gabbert pass complete short middle to Kendall Gaskins for 10 yards (tackle by Rey Maualuga and Vontaze Burfict),3.640,4.310
4,9:19,1,10,CIN 19,24,7,Blaine Gabbert pass incomplete short right intended for Blake Bell,4.310,3.750
4,9:15,2,10,CIN 19,24,7,"Blaine Gabbert pass incomplete short right intended for Torrey Smith. Penalty on Dre Kirkpatrick: Defensive Holding, 5 yards (no play)",3.750,4.650
4,9:12,1,10,CIN 14,24,7,"Blaine Gabbert sacked by Michael Johnson for 0 yards. Penalty on Erik Pears: Offensive Holding, 10 yards (no play)",4.650,3.970
4,8:57,1,20,CIN 24,24,7,Blaine Gabbert pass incomplete short middle intended for Bruce Ellington (defended by Vontaze Burfict),3.970,2.740
4,8:53,2,20,CIN 24,24,7,Blaine Gabbert pass complete short right to Anquan Boldin for 1 yard (tackle by Leon Hall),2.740,2.210
4,8:17,3,19,CIN 23,24,7,Blaine Gabbert pass incomplete short left intended for Torrey Smith,2.210,1.930
4,8:12,4,19,CIN 23,24,7,"Phil Dawson 41 yard field goal no good, blocked by Carlos Dunlap",1.930,-1.000
4,8:06,1,10,CIN 31,24,7,Jeremy Hill middle for -1 yards (tackle by Eli Harold),1.000,0.320
4,7:31,2,11,CIN 30,24,7,A.J. McCarron right end for 1 yard (tackle by Quinton Dial),0.320,-0.230
4,7:00,3,10,CIN 31,24,7,A.J. McCarron sacked by Eric Reid for -3 yards,-0.230,-1.500
4,6:21,4,13,CIN 28,24,7,"Kevin Huber punts 50 yards, returned by Bruce Ellington for 6 yards (tackle by Troy Hill)",-1.500,-0.810
4,6:10,1,10,SFO 28,24,7,Blaine Gabbert pass complete short right to Anquan Boldin for 9 yards (tackle by Rey Maualuga),0.810,1.480
4,5:45,2,1,SFO 37,24,7,Blaine Gabbert pass complete short right to Quinton Patton for 12 yards (tackle by Dre Kirkpatrick),1.480,2.190
4,5:19,1,10,SFO 49,24,7,Blaine Gabbert pass complete short left to Kendall Gaskins for 8 yards (tackle by Leon Hall),2.190,2.730
4,4:54,2,2,CIN 43,24,7,Blaine Gabbert pass incomplete short left intended for Torrey Smith,2.730,2.010
4,4:51,3,2,CIN 43,24,7,Blaine Gabbert pass incomplete short right intended for Blake Bell,2.010,0.400
4,4:47,4,2,CIN 43,24,7,Blaine Gabbert pass complete short right to Quinton Patton for 9 yards (tackle by Dre Kirkpatrick),0.400,3.310
4,4:28,1,10,CIN 34,24,7,Blaine Gabbert sacked by Domata Peko for -9 yards,3.310,1.550
4,3:50,2,19,CIN 43,24,7,Blaine Gabbert pass complete short left to Kendall Gaskins for 6 yards (tackle by Rey Maualuga),1.550,1.690
4,3:20,3,13,CIN 37,24,7,Blaine Gabbert pass complete short left to Torrey Smith for 17 yards (tackle by Wallace Gilberry),1.690,4.240
4,2:53,1,10,CIN 20,24,7,Blaine Gabbert pass complete short right to Travaris Cadet for 5 yards (tackle by Paul Dawson),4.240,4.450
4,2:23,2,5,CIN 15,24,13,"Blaine Gabbert pass complete short left to Anquan Boldin for 15 yards, touchdown",4.450,7.000
4,2:23,,,CIN 15,24,14,Phil Dawson kicks extra point good,0.000,0.000
4,2:17,2,5,CIN 15,24,14,Timeout #2 by Cincinnati Bengals,4.450,0.000
4,2:23,,,SFO 35,24,14,"Phil Dawson kicks onside 10 yards, recovered by Nick Bellore (onside kick successful)",0.000,1.930
,,,,,,,"SFO challenged the loose ball recovery ruling, and the original play was overturned.",,
4,2:16,1,10,SFO 45,24,14,Blaine Gabbert pass complete deep left to Blake Bell for 27 yards (tackle by Shawn Williams),1.930,3.710
4,2:00,1,10,CIN 28,24,14,Blaine Gabbert pass incomplete deep left intended for Jerome Simpson is intercepted by Shawn Williams at CIN-1 and returned for 14 yards,3.710,0.220
4,1:50,1,10,CIN 15,24,14,Jeremy Hill right guard for 4 yards (tackle by Ian Williams),-0.220,-0.220
4,1:46,1,10,CIN 15,24,14,Timeout #1 by San Francisco 49ers,-0.220,-0.110
4,1:46,2,6,CIN 19,24,14,Jeremy Hill middle for no gain (tackle by NaVorro Bowman),-0.110,-0.110
4,1:41,2,6,CIN 19,24,14,Timeout #2 by San Francisco 49ers,-0.110,-0.880
4,1:40,3,6,CIN 19,24,14,Jeremy Hill left guard for 3 yards (tackle by Eli Harold),-0.880,-0.880
4,1:36,3,6,CIN 19,24,14,Timeout #3 by San Francisco 49ers,-0.880,-1.900
4,1:36,4,3,CIN 22,24,14,"Kevin Huber punts 55 yards, returned by Bruce Ellington for 17 yards (tackle by Emmanuel Lamur)",-1.900,-1.600
4,1:25,1,10,SFO 40,24,14,"Blaine Gabbert pass complete short left to Anquan Boldin for 7 yards (tackle by Leon Hall). Penalty on Erik Pears: Offensive Holding, 10 yards (no play)",1.600,0.940
4,1:19,1,20,SFO 30,24,14,Blaine Gabbert pass incomplete deep right intended for Quinton Patton (defended by Paul Dawson),0.940,-0.300
4,1:13,2,20,SFO 30,24,14,Blaine Gabbert pass complete short left to Anquan Boldin for 8 yards (tackle by Leon Hall),-0.300,0.100
4,0:52,3,12,SFO 38,24,14,Blaine Gabbert pass complete short right to Travaris Cadet for 12 yards (tackle by Paul Dawson),0.100,2.260
4,0:34,1,10,,24,14,Blaine Gabbert pass incomplete short right intended for Travaris Cadet,2.260,1.710
4,0:29,2,10,,24,14,Blaine Gabbert sacked by Geno Atkins for -7 yards,1.710,0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
