Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
2,1:50,1,10,LAC 23,17,14,Kenneth Walker left end for no gain (tackle by Drue Tranquill and Khalil Mack),4.040,3.500
2,1:46,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:46,2,10,LAC 23,23,14,"Geno Smith pass complete deep left to Marquise Goodwin for 23 yards, touchdown",3.500,7.000
2,1:40,,,LAC 15,24,14,Jason Myers kicks extra point good,0.000,0.000
2,1:40,,,SEA 35,24,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,1:40,1,10,LAC 25,24,14,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Ryan Neal),0.610,0.600
2,1:24,2,6,LAC 29,24,14,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Uchenna Nwosu),0.600,1.330
2,1:04,1,10,LAC 36,24,14,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Jordyn Brooks),1.330,2.060
2,0:46,1,10,LAC 47,24,14,Justin Herbert pass incomplete short right intended for Michael Bandy,2.060,1.520
2,0:42,2,10,LAC 47,24,14,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Poona Ford),1.520,0.830
2,0:38,3,10,LAC 47,24,14,Justin Herbert pass incomplete deep right intended for Michael Bandy,0.830,-0.260
2,0:34,4,10,LAC 47,24,14,"Penalty on Deane Leonard: False Start, 5 yards (accepted) (no play)",-0.260,-0.590
2,0:34,4,15,LAC 42,24,14,JK Scott punts 49 yards out of bounds,-0.590,0.380
2,0:25,1,10,SEA 9,24,14,Geno Smith kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,24,14,"Jason Myers kicks off 60 yards, returned by DeAndre Carter for 18 yards (tackle by Nick Bellore)",0.000,0.480
3,14:54,1,10,LAC 23,24,14,Austin Ekeler right end for 2 yards (tackle by Jordyn Brooks),0.480,0.200
3,14:36,2,8,LAC 25,24,14,Justin Herbert pass complete short right to Mike Williams for 16 yards (tackle by Cody Barton),0.200,1.660
3,14:02,1,10,LAC 41,24,14,Justin Herbert pass complete short left to Austin Ekeler for 12 yards (tackle by Ryan Neal),1.660,2.460
3,13:23,1,10,SEA 47,24,14,Justin Herbert pass incomplete short left intended for Sony Michel,2.460,1.910
3,13:16,2,10,SEA 47,24,14,"Justin Herbert pass complete to Austin Ekeler for no gain. Penalty on Michael Bandy: Offensive Pass Interference, 10 yards (accepted) (no play)",1.910,0.560
3,12:47,2,20,LAC 43,24,14,Justin Herbert pass complete short right to DeAndre Carter for 9 yards (tackle by Coby Bryant),0.560,1.090
3,12:11,3,11,SEA 48,24,14,Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Ryan Neal),1.090,0.070
3,11:34,4,11,SEA 48,24,14,JK Scott punts 41 yards downed by Ja'Sir Taylor,0.070,0.380
3,11:26,1,10,SEA 7,24,14,Kenneth Walker left end for 3 yards (tackle by Asante Samuel),-0.380,-0.560
3,10:55,2,7,SEA 10,24,14,Geno Smith pass complete short right to Will Dissly for 10 yards (tackle by Drue Tranquill),-0.560,0.280
3,10:16,1,10,SEA 20,24,14,Kenneth Walker left tackle for 19 yards (tackle by Nasir Adderley),0.280,1.530
3,9:44,1,10,SEA 39,24,14,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Derwin James),1.530,1.800
3,9:07,2,4,SEA 45,24,14,Kenneth Walker left tackle for 8 yards (tackle by Michael Davis),1.800,2.460
3,8:28,1,10,LAC 47,24,14,Kenneth Walker left end for 2 yards (tackle by Khalil Mack),2.460,2.180
3,7:34,2,8,LAC 45,24,14,Geno Smith pass complete short middle to DeeJay Dallas for 3 yards (tackle by Drue Tranquill),2.180,1.880
3,6:48,3,5,LAC 42,24,14,"Penalty on Austin Blythe: False Start, 6 yards (accepted) (no play)",1.880,1.220
3,6:18,,,,,,Timeout #1 by Seattle Seahawks,,
3,6:18,3,10,LAC 47,24,14,Geno Smith pass complete short left to Tyler Lockett for 12 yards (tackle by Asante Samuel),1.220,3.180
3,5:41,1,10,LAC 36,24,14,D'Wayne Eskridge right end for 4 yards (tackle by Nasir Adderley),3.180,3.180
3,5:05,2,6,LAC 32,24,14,Geno Smith pass complete short right to Tyler Lockett for 14 yards (tackle by Michael Davis),3.180,4.370
3,4:29,1,10,LAC 18,24,14,Kenneth Walker up the middle for -2 yards (tackle by Austin Johnson and Derrek Tuszka),4.370,3.560
3,3:49,2,12,LAC 20,24,14,"Geno Smith pass incomplete intended for Noah Fant. Penalty on Jerry Tillery: Defensive Offside, 6 yards (accepted) (no play)",3.560,4.430
3,3:44,2,6,LAC 14,24,14,Kenneth Walker right guard for 3 yards (tackle by Kenneth Murray),4.430,4.260
3,3:04,3,3,LAC 11,24,14,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Michael Davis),4.260,5.830
3,2:35,1,6,LAC 6,24,14,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,5.830,4.950
3,2:29,2,6,LAC 6,24,14,Kenneth Walker left end for -1 yards (tackle by Michael Davis and Bryce Callahan),4.950,0.000
3,1:51,3,7,LAC 6,24,14,Geno Smith sacked by Morgan Fox for -9 yards,0.000,2.380
3,1:10,4,16,LAC 16,27,14,Jason Myers 34 yard field goal good,2.380,3.000
3,1:06,,,SEA 35,27,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,1:06,1,10,LAC 25,27,14,Justin Herbert scrambles right end for 4 yards (tackle by Michael Jackson),0.610,0.600
3,0:33,2,6,LAC 29,27,14,"Isaiah Spiller left end for -5 yards (tackle by Shelby Harris and Uchenna Nwosu). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.600,-0.760
3,0:11,3,11,LAC 24,27,14,Justin Herbert pass complete short middle to Gerald Everett for 24 yards (tackle by Josh Jones and Coby Bryant),-0.760,2.130
Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAC 48,27,14,Justin Herbert pass complete short right to Mike Williams for no gain (tackle by Michael Jackson),2.130,1.580
4,14:44,2,10,LAC 48,27,14,Justin Herbert pass incomplete deep left intended for Mike Williams,1.580,0.890
4,14:37,3,10,LAC 48,27,14,Justin Herbert pass incomplete short left intended for Gerald Everett,0.890,-0.190
4,14:34,4,10,LAC 48,27,14,JK Scott punts 50 yards downed by Ja'Sir Taylor,-0.190,0.380
4,14:20,1,10,SEA 2,27,16,"Kenneth Walker for -2 yards (tackle by Sebastian Joseph-Day and Troy Reeder), safety.",-0.380,-2.000
4,14:17,,,SEA 20,27,16,"Michael Dickson kicks off 65 yards, returned by DeAndre Carter for 14 yards (tackle by Cody Barton)",0.000,0.870
4,14:11,1,10,LAC 29,27,16,Justin Herbert scrambles right end for 4 yards (tackle by Cody Barton),0.870,0.870
4,13:40,2,6,LAC 33,27,16,Justin Herbert pass complete short middle to Justin Herbert for -8 yards (tackle by Uchenna Nwosu),0.870,-0.890
4,13:00,3,14,LAC 25,27,16,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Michael Jackson),-0.890,-1.700
4,12:56,4,14,LAC 25,27,16,JK Scott punts 38 yards downed by Ja'Sir Taylor,-1.700,-1.400
4,12:47,1,10,SEA 37,27,16,Geno Smith pass complete short left to Tyler Lockett for 1 yard (tackle by Drue Tranquill),1.400,0.990
4,12:06,2,9,SEA 38,27,16,Kenneth Walker right tackle for 12 yards (tackle by Kenneth Murray),0.990,2.260
4,11:24,1,10,SEA 50,27,16,Kenneth Walker right tackle for 3 yards (tackle by Drue Tranquill),2.260,2.120
4,10:47,2,7,LAC 47,27,16,"Geno Smith pass incomplete intended for Colby Parkinson. Penalty on Derwin James: Defensive Pass Interference, 13 yards (accepted) (no play)",2.120,3.310
4,10:43,1,10,LAC 34,27,16,Kenneth Walker left tackle for 2 yards (tackle by Derwin James),3.310,3.040
4,10:08,2,8,LAC 32,27,16,Geno Smith pass complete short left to Tyler Lockett for no gain (tackle by Drue Tranquill),3.040,2.350
4,9:18,3,8,LAC 32,27,16,Geno Smith pass incomplete short right intended for Marquise Goodwin (defended by Asante Samuel),2.350,1.240
4,9:13,4,8,LAC 32,30,16,Jason Myers 50 yard field goal good,1.240,3.000
4,9:09,,,SEA 35,30,16,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,9:09,1,10,LAC 25,30,16,Justin Herbert pass complete short middle to Mike Williams for 21 yards (tackle by Darrell Taylor),0.610,1.990
4,8:44,1,10,LAC 46,30,16,Justin Herbert pass incomplete short right intended for Michael Bandy,1.990,1.450
4,8:40,2,10,LAC 46,30,16,Justin Herbert pass complete deep left to Gerald Everett for 19 yards (tackle by Coby Bryant),1.450,3.250
4,8:19,1,10,SEA 35,30,16,Justin Herbert pass incomplete short middle intended for DeAndre Carter (defended by Shelby Harris),3.250,2.700
4,8:16,2,10,SEA 35,30,16,Justin Herbert pass complete short right to Jason Moore for 5 yards (tackle by Cody Barton),2.700,2.540
4,7:36,3,6,SEA 31,30,16,Justin Herbert sacked by Quinton Jefferson for -8 yards,2.540,0.720
4,7:08,4,13,SEA 38,30,16,"Justin Herbert pass complete short middle to Mike Williams for 12 yards (tackle by Michael Jackson). Penalty on Corey Linsley: Offensive Holding, 10 yards (declined)",0.720,-0.670
4,7:08,1,10,SEA 26,36,16,"Kenneth Walker right end for 74 yards, touchdown",0.670,7.000
4,6:56,,,LAC 15,37,16,Jason Myers kicks extra point good,0.000,0.000
4,6:56,,,SEA 35,37,16,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,6:56,1,10,LAC 25,37,16,Austin Ekeler right guard for 13 yards (tackle by Michael Jackson),0.610,1.470
4,6:38,1,10,LAC 38,37,16,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Ryan Neal),1.470,0.920
4,6:33,2,10,LAC 38,37,16,Justin Herbert pass complete short middle to Austin Ekeler for 14 yards (tackle by Cody Barton),0.920,2.390
4,6:12,1,10,SEA 48,37,16,"Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Coby Bryant). Penalty on Coby Bryant: Unnecessary Roughness / Defense, 15 yards (accepted)",2.390,3.780
4,5:53,1,10,SEA 27,37,16,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Bruce Irvin),3.780,4.040
4,5:25,2,4,SEA 21,37,16,Justin Herbert pass incomplete deep left intended for Jason Moore (defended by Ryan Neal),4.040,3.340
4,5:20,3,4,SEA 21,37,16,Justin Herbert scrambles up the middle for 14 yards (tackle by Ryan Neal),3.340,5.600
4,4:46,1,7,SEA 7,37,16,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Ryan Neal),5.600,5.150
4,4:13,2,5,SEA 5,37,16,Justin Herbert pass incomplete short left intended for Gerald Everett,5.150,4.260
4,4:08,3,5,SEA 5,37,16,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Boye Mafe),4.260,3.040
4,3:34,4,3,SEA 3,37,16,"Justin Herbert pass is intercepted by Coby Bryant in end zone and returned for no gain. Penalty on Uchenna Nwosu: Defensive Offside, 2 yards (accepted) (no play)",3.040,3.550
4,3:26,4,1,SEA 1,37,22,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",3.550,7.000
4,3:22,,,SEA 15,37,23,Taylor Bertolet kicks extra point good,0.000,0.000
4,3:22,,,,,,Timeout #2 by Seattle Seahawks,,
4,3:22,,,LAC 35,37,23,"Taylor Bertolet kicks onside 10 yards, returned by Will Dissly for no gain",0.000,2.590
4,3:21,1,10,LAC 45,37,23,DeeJay Dallas left guard for 1 yard (tackle by Otito Ogbonnia),2.590,2.180
4,2:37,2,9,LAC 44,37,23,DeeJay Dallas right tackle for 1 yard (tackle by Kenneth Murray),2.180,1.620
4,2:00,3,8,LAC 43,37,23,DeeJay Dallas right end for 9 yards (tackle by Kyle Van Noy and Michael Davis),1.620,3.310
4,1:13,1,10,LAC 34,37,23,DeeJay Dallas right tackle for 4 yards (tackle by Austin Johnson and Sebastian Joseph-Day),3.310,3.310
4,0:35,2,6,LAC 30,37,23,Geno Smith kneels for -1 yards,3.310,2.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
