Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
2,6:25,1,20,SDG 38,14,3,"Philip Rivers pass complete short right to LaDainian Tomlinson for 2 yards (tackle by Nick Harper). Penalty on William Hayes: Roughing the Passer, 15 yards, Penalty on TEN: Unsportsmanlike Conduct, 15 yards",1.470,3.580
2,5:59,1,10,TEN 30,14,3,LaDainian Tomlinson right tackle for 4 yards (tackle by Nick Harper and Chris Hope),3.580,3.570
2,5:25,2,6,TEN 26,14,3,Philip Rivers pass incomplete deep right intended for Vincent Jackson,3.570,2.870
2,5:19,3,6,TEN 26,14,3,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",2.870,2.210
2,5:19,3,11,TEN 31,14,3,Philip Rivers pass complete deep middle to Legedu Naanee for 20 yards (tackle by Chris Hope),2.210,4.840
2,4:39,1,10,TEN 11,14,3,LaDainian Tomlinson right end for 6 yards (tackle by Nick Harper),4.840,5.280
2,4:01,2,4,TEN 5,14,3,LaDainian Tomlinson left guard for 2 yards (tackle by Stephen Tulloch),5.280,4.890
2,3:17,3,2,TEN 3,20,3,"Philip Rivers pass complete short right to Darren Sproles for 3 yards, touchdown",4.890,7.000
2,,,,TEN 2,21,3,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,21,3,"Nate Kaeding kicks off 63 yards, returned by Kenny Britt for 16 yards (tackle by Paul Oliver)",0.000,0.480
2,3:07,1,10,TEN 23,21,3,Vince Young left end for 8 yards (tackle by Shawne Merriman),0.480,1.010
2,2:37,2,2,TEN 31,21,3,"Chris Johnson left tackle for 4 yards (tackle by Shaun Phillips). Penalty on Eugene Amano: Offensive Holding, 10 yards (no play)",1.010,-0.340
2,2:08,2,12,TEN 21,21,3,Vince Young pass complete short left to Chris Johnson for 15 yards (tackle by Antonio Cromartie),-0.340,1.330
2,1:59,1,10,TEN 36,21,3,Vince Young pass complete short right to Nate Washington for 11 yards (tackle by Quentin Jammer),1.330,2.060
2,1:54,1,10,TEN 47,21,3,Vince Young pass complete short left to Nate Washington for 9 yards (tackle by Steve Gregory and Stephen Cooper),2.060,2.730
2,1:21,2,1,SDG 44,21,3,Vince Young pass complete short left to Kenny Britt for 13 yards (tackle by Antonio Cromartie),2.730,3.510
2,1:12,1,10,SDG 31,21,3,Vince Young pass incomplete short right intended for Chris Johnson,3.510,2.970
2,1:08,2,10,SDG 31,21,3,Chris Johnson left end for 4 yards (tackle by Antonio Cromartie and Shawne Merriman),2.970,2.810
2,0:58,,,,21,3,Timeout #2 by Tennessee Titans,0.000,2.810
2,0:58,3,6,SDG 27,21,3,Vince Young for 9 yards (tackle by Quentin Jammer),2.810,4.370
2,0:50,1,10,SDG 18,21,3,Vince Young pass complete short right to Nate Washington for 7 yards (tackle by Tim Dobbins and Quentin Jammer),4.370,5.010
2,0:31,2,3,SDG 11,21,3,Vince Young pass complete short middle to Chris Johnson for 8 yards (tackle by Steve Gregory),5.010,6.510
2,0:23,,,,21,3,Timeout #3 by Tennessee Titans,0.000,6.510
2,0:23,1,3,SDG 3,21,9,"Vince Young right end for 3 yards, touchdown",6.510,7.000
2,,,,SDG 2,21,10,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,21,10,"Rob Bironas kicks off 59 yards, returned by Darren Sproles for 16 yards (tackle by Eric Bakhtiari)",0.000,0.740
2,0:13,1,10,SDG 27,21,10,Philip Rivers kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,21,10,"Nate Kaeding kicks off 64 yards, returned by Kenny Britt for 17 yards (tackle by Kris Wilson). Penalty on Kassim Osgood: Unnecessary Roughness, 15 yards",0.000,1.470
3,14:54,1,10,TEN 38,21,10,Vince Young pass incomplete short left intended for Justin Gage (defended by Antonio Cromartie),1.470,0.920
3,14:50,2,10,TEN 38,21,10,Chris Johnson middle for 7 yards (tackle by Shaun Phillips),0.920,1.160
3,14:14,3,3,TEN 45,21,10,Chris Johnson middle for 2 yards (tackle by Steve Gregory and Tim Dobbins),1.160,-0.260
3,13:35,4,1,TEN 47,21,10,"Brett Kern punts 38 yards, fair catch by Darren Sproles",-0.260,0.220
3,13:31,1,10,SDG 15,21,10,LaDainian Tomlinson left guard for 3 yards (tackle by Stephen Tulloch and Kyle Vanden Bosch),-0.220,-0.280
3,12:51,2,7,SDG 18,21,10,Philip Rivers pass complete deep right to Antonio Gates for 32 yards (tackle by Gerald McRath),-0.280,2.260
3,12:05,1,10,,21,10,Philip Rivers pass incomplete deep left intended for Vincent Jackson,2.260,1.710
3,11:58,2,10,,21,10,LaDainian Tomlinson middle for 3 yards (tackle by Colin Allred and Tony Brown),1.710,1.420
3,11:13,3,7,TEN 47,21,10,Philip Rivers pass complete deep middle to Malcom Floyd for 22 yards (tackle by Cortland Finnegan),1.420,3.910
3,10:32,1,10,TEN 25,21,10,Philip Rivers pass complete short right to Mike Tolbert for 11 yards (tackle by Kevin Vickerson and Dave Ball),3.910,4.650
3,9:57,1,10,TEN 14,21,10,"Philip Rivers pass incomplete short right intended for Malcom Floyd (defended by Cortland Finnegan). Penalty on Cortland Finnegan: Defensive Pass Interfere, 13 yards (no play)",4.650,6.970
3,9:52,1,1,TEN 1,27,10,"LaDainian Tomlinson right guard for 1 yard, touchdown",6.970,7.000
3,,,,TEN 2,28,10,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,28,10,"Nate Kaeding kicks off 57 yards, returned by Kenny Britt for 11 yards (tackle by Antoine Cason)",0.000,0.540
3,9:43,1,10,TEN 24,28,10,Vince Young sacked by Ian Scott for -1 yards,0.540,-0.140
3,9:11,2,11,TEN 23,28,10,Vince Young pass incomplete short middle intended for Kenny Britt,-0.140,-0.820
3,9:09,3,11,TEN 23,28,10,Vince Young middle for 2 yards (tackle by Tim Dobbins),-0.820,-1.700
3,8:33,4,9,TEN 25,28,10,"Brett Kern punts 46 yards, returned by Darren Sproles for 6 yards (tackle by Eric Bakhtiari)",-1.700,-1.270
3,8:22,1,10,SDG 35,28,10,LaDainian Tomlinson right guard for 3 yards (tackle by Kevin Vickerson),1.270,1.130
3,7:45,2,7,SDG 38,28,10,Philip Rivers pass complete short left to Vincent Jackson for 15 yards,1.130,2.460
,,,,,,,"SDG challenged the incomplete pass ruling, and the original play was overturned.",,
3,7:30,1,10,TEN 47,28,10,Philip Rivers pass complete short right to Darren Sproles for 20 yards (tackle by Cortland Finnegan),2.460,3.780
3,6:56,1,10,TEN 27,28,10,Darren Sproles left guard for 3 yards (tackle by Stephen Tulloch),3.780,3.640
3,6:18,2,7,TEN 24,28,10,Philip Rivers pass complete short left to Brandon Manumaleuna for -6 yards (tackle by Jason McCourty),3.640,2.150
3,5:31,3,13,TEN 30,28,10,Philip Rivers pass complete deep right to Malcom Floyd for 21 yards (tackle by Chris Hope),2.150,5.140
3,4:56,1,9,TEN 9,34,10,"Darren Sproles right tackle for 9 yards, touchdown",5.140,7.000
3,,,,TEN 2,35,10,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,35,10,"Nate Kaeding kicks off 53 yards, returned by Kenny Britt for -2 yards (tackle by Steve Gregory)",0.000,-0.220
3,4:44,1,10,TEN 15,35,10,Chris Johnson right tackle for 5 yards (tackle by Stephen Cooper and Tim Dobbins),-0.220,0.080
3,4:07,2,5,TEN 20,35,10,Chris Johnson middle for 4 yards (tackle by Larry English),0.080,-0.270
3,3:35,3,1,TEN 24,35,10,Chris Johnson right guard for 5 yards (tackle by Steve Gregory),-0.270,0.870
3,3:13,1,10,TEN 29,35,10,Vince Young pass incomplete short left intended for Justin Gage,0.870,0.330
3,3:08,2,10,TEN 29,35,10,Vince Young pass incomplete short right intended for Kenny Britt is intercepted by Eric Weddle at TEN-40 and returned for 13 yards,0.330,-3.780
3,2:56,1,10,TEN 27,35,10,Jacob Hester middle for 2 yards (tackle by Michael Griffin and Sen'Derrick Marks),3.780,3.500
3,2:21,2,8,TEN 25,35,10,Philip Rivers pass complete short right to Jacob Hester for 4 yards (tackle by Gerald McRath),3.500,3.340
3,1:52,3,4,TEN 21,35,10,"Philip Rivers pass complete short right to Darren Sproles for 5 yards (tackle by Kevin Kaesviharn). Penalty on Marcus McNeill: Illegal Formation, 5 yards (no play)",3.340,2.680
3,1:26,3,9,TEN 26,35,10,Darren Sproles right guard for 21 yards (tackle by Jason McCourty),2.680,6.060
3,0:39,1,5,TEN 5,35,10,Darren Sproles right tackle for 4 yards (tackle by Kevin Vickerson and Stephen Tulloch),6.060,5.910
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,TEN 1,41,10,"Darren Sproles right tackle for 1 yard, touchdown",5.910,7.000
4,,,,TEN 2,42,10,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,42,10,"Nate Kaeding kicks off 58 yards, returned by Kenny Britt for 14 yards (tackle by Mike Tolbert)",0.000,0.670
4,14:49,1,10,TEN 26,42,10,Chris Johnson right guard for 9 yards (tackle by Paul Oliver and Stephen Cooper),0.670,1.350
4,14:11,2,1,TEN 35,42,10,Chris Johnson left tackle for 2 yards (tackle by Stephen Cooper and Travis Johnson),1.350,1.400
4,13:37,1,10,TEN 37,42,10,Vince Young pass incomplete short right intended for Justin Gage,1.400,0.860
4,13:33,2,10,TEN 37,42,10,Chris Johnson left tackle for 11 yards (tackle by Eric Weddle and Marques Harris),0.860,2.130
4,12:51,1,10,TEN 48,42,10,Vince Young pass incomplete deep left intended for Kenny Britt,2.130,1.580
4,12:45,2,10,TEN 48,42,10,Chris Johnson middle for -2 yards (tackle by Eric Weddle),1.580,0.630
4,12:04,3,12,TEN 46,42,10,Vince Young pass incomplete short right intended for Kenny Britt (defended by Quentin Jammer),0.630,-0.320
4,11:59,4,12,TEN 46,42,10,Brett Kern punts 41 yards,-0.320,0.320
4,11:46,1,10,SDG 13,42,10,Mike Tolbert middle for 2 yards (tackle by Sen'Derrick Marks),-0.320,-0.570
4,11:08,2,8,SDG 15,42,10,Mike Tolbert middle for 4 yards (tackle by Jovan Haye and Stephen Tulloch),-0.570,-0.710
4,10:27,3,4,SDG 19,42,10,Jacob Hester left guard for 6 yards (tackle by Stephen Tulloch),-0.710,0.610
4,9:41,1,10,SDG 25,42,10,Mike Tolbert left end for 5 yards (tackle by Kevin Vickerson and Colin Allred),0.610,0.740
4,8:58,2,5,SDG 30,42,10,"Jacob Hester left tackle for 2 yards (tackle by Jason McCourty). Jacob Hester fumbles (forced by Jason McCourty), recovered by Tony Brown at SDG-33 (tackle by Jacob Hester)",0.740,-3.380
4,8:48,1,10,SDG 33,42,10,Chris Johnson left end for 3 yards (tackle by Travis Johnson),3.380,3.240
4,8:11,2,7,SDG 30,42,16,"Chris Johnson right end for 30 yards, touchdown",3.240,7.000
4,,,,SDG 2,42,17,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,42,17,"Rob Bironas kicks off 63 yards, returned by Darren Sproles for 26 yards (tackle by Kevin Kaesviharn)",0.000,1.140
4,7:55,1,10,SDG 33,42,17,Mike Tolbert left tackle for 7 yards (tackle by Gerald McRath),1.140,1.540
4,7:13,2,3,SDG 40,42,17,Mike Tolbert left tackle for 20 yards (tackle by Chris Hope),1.540,2.920
4,6:27,1,10,TEN 40,42,17,Mike Tolbert middle for no gain (tackle by Sen'Derrick Marks and Kyle Vanden Bosch),2.920,2.370
4,5:40,2,10,TEN 40,42,17,Mike Tolbert left guard for no gain (tackle by Colin Allred and Stephen Tulloch),2.370,1.680
4,4:58,3,10,TEN 40,42,17,Mike Tolbert right guard for 9 yards (tackle by Jacob Ford),1.680,1.410
4,4:13,4,1,TEN 31,42,17,Mike Tolbert right guard for 2 yards (tackle by Jovan Haye and Colin Allred),1.410,3.640
4,3:29,1,10,TEN 29,42,17,Mike Tolbert right tackle for 8 yards (tackle by Stephen Tulloch and Dave Ball),3.640,4.180
4,2:41,2,2,TEN 21,42,17,Mike Tolbert right guard for 3 yards (tackle by Kevin Vickerson and Colin Allred),4.180,4.370
4,2:00,1,10,TEN 18,42,17,Billy Volek kneels for -1 yards,4.370,3.670
4,1:18,2,11,TEN 19,42,17,Billy Volek kneels for -1 yards,3.670,2.870
4,1:18,3,12,TEN 20,42,17,Billy Volek kneels for -1 yards,2.870,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
