Quarter,Time,Down,ToGo,Location,HOU,DET,Detail,EPB,EPA
4,12:17,1,10,DET 35,26,17,"Penalty on Tytus Howard: False Start, 5 yards (no play)",3.250,2.920
4,12:16,1,15,DET 40,32,17,"Deshaun Watson pass complete deep left to Will Fuller for 40 yards, touchdown",2.920,7.000
4,12:09,,,,,,Timeout #1 by Houston Texans,,
4,12:09,,,DET 2,34,17,"Two Point Attempt: Deshaun Watson pass complete to Keke Coutee, conversion succeeds",1.000,1.000
4,12:09,,,HOU 35,34,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,12:09,1,10,DET 25,34,17,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,0.610,0.060
4,12:06,2,10,DET 25,34,17,Matthew Stafford pass complete short left to T.J. Hockenson for 9 yards (tackle by Jonathan Greenard),0.060,0.560
4,11:33,3,1,DET 34,34,17,"Matthew Stafford pass complete short middle to Mohamed Sanu for 21 yards (tackle by Justin Reid). Penalty on T.J. Hockenson: Offensive Pass Interference, 10 yards (no play)",0.560,-0.760
4,11:02,3,11,DET 24,34,17,Matthew Stafford pass complete short right to Jesse James for 10 yards (tackle by Eric Murray and Vernon Hargreaves),-0.760,-1.110
4,10:24,4,1,DET 34,34,17,Jason Cabinda up the middle for no gain (tackle by Justin Reid),-1.110,-3.310
4,10:17,1,10,DET 34,40,17,"Deshaun Watson pass complete deep left to Will Fuller for 34 yards, touchdown",3.310,7.000
4,10:07,,,DET 15,41,17,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,10:07,,,HOU 35,41,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
4,10:07,1,10,DET 25,41,17,Matthew Stafford pass complete short left to Jonathan Williams for 4 yards (tackle by Lonnie Johnson),0.610,0.600
4,9:52,2,6,DET 29,41,17,Matthew Stafford pass complete short left to Jonathan Williams for 2 yards (tackle by Lonnie Johnson and Keion Crossen),0.600,0.170
4,9:18,3,4,DET 31,41,17,Matthew Stafford pass incomplete short middle intended for T.J. Hockenson (defended by Tyrell Adams),0.170,-1.310
4,9:12,4,4,DET 31,41,17,Matthew Stafford pass complete short right to Mohamed Sanu for 5 yards (tackle by Tyrell Adams),-1.310,1.330
4,8:46,1,10,DET 36,41,17,Matthew Stafford pass complete short middle to Jonathan Williams for 10 yards (tackle by Tyrell Adams and Justin Reid),1.330,1.990
4,8:21,1,10,DET 46,41,17,Matthew Stafford pass complete short left to Marvin Hall for 9 yards (tackle by Keion Crossen),1.990,2.670
4,7:52,2,1,HOU 45,41,17,Matthew Stafford pass incomplete short right intended for Marvin Hall,2.670,1.950
4,7:48,3,1,HOU 45,41,17,Matthew Stafford pass complete short right to Marvin Jones for 4 yards (tackle by Justin Reid),1.950,2.850
4,7:25,1,10,HOU 41,41,17,Matthew Stafford pass incomplete deep right intended for Marvin Jones,2.850,2.310
4,7:19,2,10,HOU 41,41,17,Matthew Stafford pass complete short right to Quintez Cephus for 11 yards (tackle by Vernon Hargreaves),2.310,3.580
4,7:08,1,10,HOU 30,41,17,Matthew Stafford pass complete short right to Marvin Jones for 16 yards (tackle by Vernon Hargreaves),3.580,4.650
4,6:37,1,10,HOU 14,41,23,"Matthew Stafford pass complete short right to Mohamed Sanu for 14 yards, touchdown",4.650,7.000
4,6:32,,,HOU 2,41,25,"Two Point Attempt: Matthew Stafford pass complete to Mohamed Sanu, conversion succeeds",1.000,1.000
4,6:32,,,DET 35,41,25,"Matt Prater kicks off 47 yards, returned by Keke Coutee for 10 yards (tackle by C.J. Moore)",0.000,0.810
4,6:29,1,10,HOU 28,41,25,C.J. Prosise right end for 7 yards (tackle by Jamie Collins),0.810,1.210
4,5:45,2,3,HOU 35,41,25,C.J. Prosise left end for 1 yard (tackle by Nick Williams and Jahlani Tavai),1.210,0.630
4,5:02,3,2,HOU 36,41,25,Deshaun Watson left end for 1 yard (tackle by Amani Oruwariye and Romeo Okwara),0.630,-0.910
4,4:15,4,1,HOU 37,41,25,"Penalty on HOU: Delay of Game, 4 yards (no play)",-0.910,-1.180
4,4:14,4,5,HOU 33,41,25,"Bryan Anger punts 28 yards downed by Nate Hall. Penalty on C.J. Moore: Running Into the Kicker, 4 yards (no play)",-1.180,-0.910
4,4:03,4,1,HOU 37,41,25,Bryan Anger punts 36 yards downed by Buddy Howell,-0.910,-0.740
4,3:53,1,10,DET 27,41,25,Matthew Stafford pass complete short middle to Marvin Jones for 7 yards (tackle by Justin Reid and Nate Hall),0.740,1.140
4,3:27,2,3,DET 34,41,25,Matthew Stafford pass incomplete deep left intended for Marvin Hall,1.140,0.430
4,3:21,3,3,DET 34,41,25,Matthew Stafford pass complete short left to Mohamed Sanu for 7 yards (tackle by Nate Hall),0.430,1.660
4,2:55,1,10,DET 41,41,25,Matthew Stafford pass complete short middle to Mohamed Sanu for 6 yards (tackle by Lonnie Johnson),1.660,1.930
4,2:30,2,4,DET 47,41,25,Matthew Stafford pass complete short left to Jonathan Williams for 5 yards (tackle by Keion Crossen and A.J. Moore),1.930,2.390
4,2:04,1,10,HOU 48,41,25,Matthew Stafford pass incomplete short middle intended for T.J. Hockenson (defended by Jonathan Greenard),2.390,1.850
4,1:59,2,10,HOU 48,41,25,"Matthew Stafford sacked by Nate Hall for -1 yards. Matthew Stafford fumbles (forced by Nate Hall), recovered by Frank Ragnow at HOU-49",1.850,1.030
4,1:51,,,,,,Timeout #2 by Detroit Lions,,
4,1:51,3,11,HOU 49,41,25,Matthew Stafford sacked by Nate Hall for -4 yards,1.030,-0.260
4,1:43,,,,,,Timeout #2 by Detroit Lions,,
4,1:43,4,15,DET 47,41,25,Matthew Stafford pass incomplete deep middle intended for Marvin Jones (defended by Jacob Martin),-0.260,-2.460
4,1:35,1,10,DET 47,41,25,Deshaun Watson kneels for -1 yards,2.460,1.780
4,0:52,2,11,DET 48,41,25,Deshaun Watson kneels for -1 yards,1.780,0.960
4,0:27,3,12,DET 49,41,25,Deshaun Watson kneels for -1 yards,0.960,-0.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
