Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
2,6:11,3,6,DAL 11,0,0,Tony Romo pass complete short middle to Terrell Owens for 11 yards (tackle by Gilbert Gardner and Nick Harper),-0.950,0.410
2,5:28,1,10,DAL 22,0,0,Tony Romo pass complete deep middle to Terrell Owens for 20 yards (tackle by Nick Harper),0.410,1.730
2,4:41,1,10,DAL 42,0,0,Marion Barber right tackle for 5 yards (tackle by Rob Morris),1.730,1.860
2,3:58,2,5,DAL 47,0,0,Marion Barber left guard for no gain (tackle by Antoine Bethea),1.860,1.160
2,3:15,,,,0,0,Timeout #2 by Indianapolis Colts,0.000,1.160
2,3:15,3,5,DAL 47,0,0,Tony Romo pass incomplete short right intended for Patrick Crayton,1.160,-0.260
2,3:11,4,5,DAL 47,0,0,"Mat McBriar punts 41 yards, fair catch by Terrence Wilkins",-0.260,0.350
2,3:03,1,10,IND 12,0,0,Peyton Manning pass incomplete intended for Dominic Rhodes (defended by DeMarcus Ware),-0.350,-0.780
2,2:58,2,10,IND 12,0,0,Dominic Rhodes left end for 9 yards (tackle by Anthony Henry),-0.780,-0.370
2,2:12,3,1,IND 21,0,0,Joseph Addai left tackle for 2 yards (tackle by DeMarcus Ware),-0.370,0.480
2,2:00,1,10,IND 23,0,0,Peyton Manning pass incomplete short right intended for Dallas Clark,0.480,-0.070
2,1:55,2,10,IND 23,0,0,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",-0.070,-0.840
2,1:55,2,15,IND 18,0,0,Peyton Manning pass complete deep middle to Marvin Harrison for 19 yards (tackle by Roy Williams),-0.840,1.400
2,1:34,1,10,IND 37,0,0,Peyton Manning pass complete short right to Marvin Harrison for 9 yards (tackle by Aaron Glenn),1.400,2.070
2,1:13,2,1,IND 46,0,0,Peyton Manning pass incomplete short left intended for Aaron Moorehead,2.070,1.360
2,1:08,3,1,IND 46,0,0,Joseph Addai left tackle for 7 yards (tackle by Roy Williams and Pat Watkins),1.360,2.460
2,0:48,1,10,DAL 47,0,0,Peyton Manning pass incomplete short left intended for Aaron Moorehead (defended by Anthony Henry),2.460,1.910
2,0:42,2,10,DAL 47,0,0,"Penalty on Jason Hatcher: Neutral Zone Infraction, 5 yards (no play)",1.910,2.590
2,0:42,2,5,DAL 42,0,0,Peyton Manning pass incomplete short left intended for Dallas Clark,2.590,1.880
2,0:36,3,5,DAL 42,0,0,Peyton Manning pass complete deep middle to Reggie Wayne for 19 yards (tackle by Terence Newman),1.880,4.040
2,0:21,1,10,DAL 23,0,0,Peyton Manning spiked the ball,4.040,3.500
2,0:21,2,10,DAL 23,0,0,Peyton Manning pass incomplete deep right intended for Marvin Harrison,3.500,2.810
2,0:16,3,10,DAL 23,6,0,"Peyton Manning pass complete deep left to Reggie Wayne for 23 yards, touchdown",2.810,7.000
2,,,,DAL 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,7,0,Adam Vinatieri kicks off 26 yards,0.000,1.860
2,0:08,1,10,DAL 44,7,0,Tony Romo pass complete deep right to Terrell Owens for 28 yards,1.860,3.710
2,0:03,,,,7,0,Timeout #3 by Indianapolis Colts,0.000,3.710
2,0:03,1,10,IND 28,7,0,Mike Vanderjagt 46 yard field goal no good,3.710,1.270
Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,7,0,"Mike Vanderjagt kicks off 63 yards, returned by Terrence Wilkins for 20 yards (tackle by Ryan Fowler)",0.000,0.740
3,14:56,1,10,IND 27,7,0,Dominic Rhodes for 4 yards,0.740,0.740
3,14:27,2,6,IND 31,7,0,Peyton Manning pass incomplete short left intended for Dallas Clark,0.740,0.040
3,14:23,3,6,IND 31,7,6,"Peyton Manning pass incomplete short left intended for Marvin Harrison is intercepted by Kevin Burnett at IND-39 and returned for 39 yards, touchdown",0.040,-7.000
3,,,,IND 2,7,7,Mike Vanderjagt kicks extra point good,0.000,0.000
3,,,,DAL 30,7,7,"Mike Vanderjagt kicks off 62 yards, returned by Terrence Wilkins for 23 yards (tackle by Kevin Burnett)",0.000,1.000
3,14:04,1,10,IND 31,7,7,Joseph Addai left end for 4 yards (tackle by DeMarcus Ware),1.000,1.000
3,13:23,2,6,IND 35,7,7,Peyton Manning pass incomplete deep left intended for Reggie Wayne,1.000,0.300
3,13:17,3,6,IND 35,7,7,Peyton Manning pass complete short middle to Reggie Wayne for 12 yards (tackle by Aaron Glenn),0.300,2.060
3,12:45,1,10,IND 47,7,7,Joseph Addai right end for 3 yards (tackle by Alshermond Singleton),2.060,1.920
3,11:57,2,7,DAL 50,7,7,Peyton Manning pass incomplete short left intended for Reggie Wayne,1.920,1.220
3,11:52,3,7,DAL 50,7,7,Peyton Manning pass incomplete short right intended for Marvin Harrison,1.220,-0.060
3,11:48,4,7,DAL 50,7,7,"Hunter Smith punts 50 yards, touchback",-0.060,-0.280
3,11:39,1,10,DAL 20,7,7,Tony Romo pass complete short left to Terrell Owens for 11 yards (tackle by Jason David),0.280,1.000
3,11:07,1,10,DAL 31,7,7,Julius Jones left guard for 2 yards (tackle by Rob Morris),1.000,0.730
3,10:25,2,8,DAL 33,7,7,Tony Romo pass incomplete deep middle intended for Patrick Crayton (defended by Marlin Jackson),0.730,0.040
3,10:19,3,8,DAL 33,7,7,Tony Romo pass complete short middle to Patrick Crayton for 4 yards (tackle by Nick Harper),0.040,-0.910
3,9:46,4,4,DAL 37,7,7,"Mat McBriar punts 63 yards, touchback",-0.910,-0.280
3,9:37,1,10,IND 20,7,7,Peyton Manning pass incomplete,0.280,-0.270
3,9:32,2,10,IND 20,7,7,"Dominic Rhodes right tackle for 9 yards (tackle by Bradie James). Penalty on Bradie James: Face Mask (15 Yards), 15 yards",-0.270,1.860
3,9:16,1,10,IND 44,7,7,Peyton Manning pass complete deep middle to Reggie Wayne for 17 yards (tackle by Keith Davis and Roy Williams),1.860,2.980
3,8:37,1,10,DAL 39,7,7,Peyton Manning pass incomplete intended for Marvin Harrison,2.980,2.440
3,8:32,2,10,DAL 39,7,7,Dominic Rhodes right tackle for 5 yards (tackle by Akin Ayodele),2.440,2.410
3,7:52,3,5,DAL 34,7,7,Peyton Manning pass complete short left to Ben Utecht for 6 yards (tackle by Anthony Henry),2.410,3.710
3,7:24,1,10,DAL 28,7,7,Peyton Manning pass complete short left to Dominic Rhodes for 12 yards (tackle by Bradie James and Roy Williams),3.710,4.510
3,6:46,1,10,DAL 16,7,7,Dominic Rhodes right end for 5 yards (tackle by Terence Newman),4.510,4.760
3,6:02,2,5,DAL 11,7,7,Joseph Addai right end for 7 yards (tackle by Keith Davis),4.760,6.280
3,5:14,1,4,DAL 4,13,7,"Peyton Manning pass complete short left to Dallas Clark for 4 yards, touchdown",6.280,7.000
3,,,,DAL 2,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
3,,,,IND 30,14,7,"Adam Vinatieri kicks off 66 yards, returned by Miles Austin for 28 yards (tackle by Jason David)",0.000,1.070
3,5:02,1,10,DAL 32,14,7,Julius Jones left tackle for 7 yards (tackle by Gilbert Gardner),1.070,1.470
3,4:28,2,3,DAL 39,14,7,Julius Jones left guard for 6 yards (tackle by Raheem Brock),1.470,1.930
3,3:48,1,10,DAL 45,14,7,Julius Jones right tackle for 11 yards (tackle by Marlin Jackson),1.930,2.650
3,3:12,1,10,IND 44,14,7,Tony Romo pass complete short left to Terry Glenn for 5 yards (tackle by Jason David),2.650,2.780
3,2:34,2,5,IND 39,14,7,Julius Jones right tackle for 3 yards (tackle by Rob Morris),2.780,2.480
3,1:57,3,2,IND 36,14,7,Tony Romo pass complete short left to Terry Glenn for 8 yards (tackle by Jason David),2.480,3.710
3,1:15,1,10,IND 28,14,7,Julius Jones left tackle for 3 yards (tackle by Antoine Bethea),3.710,3.570
3,0:37,2,7,IND 25,14,7,Julius Jones for 6 yards,3.570,3.720
3,0:37,3,1,IND 19,14,7,Marion Barber middle for no gain (tackle by Robert Mathis),3.720,2.340
Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,IND 19,14,7,Tony Romo middle for 1 yard (tackle by Raheem Brock),2.340,4.370
4,14:37,1,10,IND 18,14,7,Tony Romo pass complete short middle to Terry Glenn for 6 yards (tackle by Nick Harper),4.370,4.810
4,14:04,2,4,IND 12,14,7,Julius Jones right guard for 4 yards (tackle by Gilbert Gardner),4.810,5.370
4,13:17,1,8,IND 8,14,7,Julius Jones middle for -2 yards (tackle by Gilbert Gardner),5.370,4.190
4,12:20,2,10,IND 10,14,7,Julius Jones middle for no gain (tackle by Anthony McFarland),4.190,3.130
4,11:49,,,,14,7,Timeout #1 by Dallas Cowboys,0.000,3.130
4,11:49,3,10,IND 10,14,7,"Penalty on Jason David: Defensive Holding, 5 yards (no play)",3.130,6.060
4,11:40,1,5,IND 5,14,13,"Marion Barber left tackle for 5 yards, touchdown",6.060,7.000
4,,,,IND 2,14,14,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,DAL 30,14,14,"Mike Vanderjagt kicks off 64 yards, returned by Terrence Wilkins for 25 yards (tackle by Ryan Fowler)",0.000,1.000
4,11:29,1,10,IND 31,14,14,Joseph Addai middle for -2 yards (tackle by Marcus Spears),1.000,0.190
4,10:49,2,12,IND 29,14,14,Peyton Manning pass complete short middle to Reggie Wayne for 11 yards (tackle by DeMarcus Ware),0.190,0.960
4,10:08,3,1,IND 40,14,14,Peyton Manning pass incomplete deep right intended for Dallas Clark (defended by Terence Newman),0.960,-0.720
4,10:00,4,1,IND 40,14,14,"Hunter Smith punts 60 yards, touchback",-0.720,-0.280
4,9:51,1,10,DAL 20,14,14,Tony Romo pass complete deep left to Terry Glenn for 19 yards (tackle by Jason David),0.280,1.530
4,9:16,1,10,DAL 39,14,14,Tony Romo pass complete deep right to Terry Glenn for 33 yards (tackle by Marlin Jackson),1.530,3.710
4,8:53,1,10,IND 28,14,14,Julius Jones middle for 8 yards (tackle by Antoine Bethea),3.710,4.250
4,8:15,2,2,IND 20,14,14,Julius Jones right guard for 5 yards (tackle by Rob Morris),4.250,4.580
4,7:40,1,10,IND 15,14,14,Julius Jones middle for -1 yards (tackle by Rob Morris),4.580,3.810
4,6:56,2,11,IND 16,14,14,Tony Romo pass complete short left to Julius Jones for 15 yards (tackle by Cato June),3.810,6.970
4,6:04,1,1,IND 1,14,20,"Marion Barber right guard for 1 yard, touchdown",6.970,7.000
4,,,,IND 2,14,21,Mike Vanderjagt kicks extra point good,0.000,0.000
4,,,,DAL 30,14,21,"Mike Vanderjagt kicks off 61 yards, returned by Terrence Wilkins for 22 yards (tackle by Jacques Reeves)",0.000,1.000
4,5:54,1,10,IND 31,14,21,Peyton Manning pass complete short left to Dominic Rhodes for -1 yards (tackle by Bradie James),1.000,0.320
4,5:11,2,11,IND 30,14,21,Peyton Manning pass complete short left to Reggie Wayne for 16 yards (tackle by Keith Davis),0.320,1.990
4,4:50,1,10,IND 46,14,21,Peyton Manning pass complete deep middle to Marvin Harrison for 38 yards (tackle by Terence Newman),1.990,4.510
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
4,3:52,1,10,DAL 16,14,21,Peyton Manning pass complete short right to Joseph Addai for 7 yards (tackle by Akin Ayodele),4.510,5.160
4,3:46,2,3,DAL 9,14,21,Joseph Addai right tackle for 1 yard (tackle by Akin Ayodele),5.160,4.620
4,3:10,3,2,DAL 8,14,21,Peyton Manning pass incomplete short middle intended for Ben Utecht,4.620,2.990
4,3:05,4,2,DAL 8,14,21,Peyton Manning pass incomplete,2.990,0.380
4,2:59,1,10,DAL 8,14,21,"Marion Barber left end for 20 yards (tackle by Antoine Bethea). Penalty on Marlin Jackson: Face Mask (15 Yards), 15 yards",-0.380,1.800
4,2:50,1,10,DAL 43,14,21,Tony Romo pass complete deep right to Anthony Fasano for 22 yards (tackle by Nick Harper),1.800,3.250
,,,,,,,"IND challenged the ruling, and the play was upheld.",,
4,2:20,1,10,IND 35,14,21,Marion Barber right guard for 1 yard (tackle by Cato June),3.250,2.840
4,2:14,,,,14,21,Timeout #2 by Indianapolis Colts,0.000,2.840
4,2:14,2,9,IND 34,14,21,Marion Barber middle for 2 yards (tackle by Antoine Bethea),2.840,2.410
4,2:09,,,,14,21,Timeout #3 by Indianapolis Colts,0.000,2.410
4,2:09,3,7,IND 32,14,21,Tony Romo pass complete short middle to Terry Glenn for 7 yards (tackle by Rob Morris),2.410,3.910
4,2:00,1,10,IND 25,14,21,Tony Romo kneels for -1 yards,3.910,3.230
4,1:35,2,11,IND 26,14,21,Tony Romo kneels for -2 yards,3.230,2.280
4,1:35,3,13,IND 28,14,21,Tony Romo kneels for -1 yards,2.280,1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
