Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
2,12:33,1,10,NYJ 37,0,16,"Vinny Testaverde sacked by Roderick Coleman for -11 yards. Vinny Testaverde fumbles (forced by Roderick Coleman), recovered by Chauncey Davis at NYJ-24 and returned for 24 yards, touchdown",1.400,-7.000
2,,,,NYJ 2,0,17,Todd Peterson kicks extra point good,0.000,0.000
2,,,,ATL 30,0,17,"Michael Koenen kicks off 60 yards, returned by Cedric Houston for 18 yards (tackle by Jerome Pathon). Penalty on DeAndra Cobb: Unnecessary Roughness, 15 yards",0.000,1.800
2,12:15,1,10,NYJ 43,0,17,Curtis Martin left end for no gain (tackle by Darrell Shropshire),1.800,1.250
2,11:38,2,10,NYJ 43,0,17,Vinny Testaverde pass incomplete intended for Justin McCareins,1.250,0.560
2,11:32,3,10,NYJ 43,0,17,Vinny Testaverde pass complete to Jerricho Cotchery for 7 yards (tackle by Patrick Kerney),0.560,-0.060
2,10:57,4,3,ATL 50,0,17,Ben Graham punts 45 yards,-0.060,0.380
2,10:47,1,10,ATL 5,0,17,Warrick Dunn right tackle for 65 yards (tackle by David Barrett),-0.380,3.580
2,10:17,1,10,NYJ 30,0,17,Michael Vick pass complete to Roddy White for 9 yards (tackle by Erik Coleman),3.580,4.250
2,9:42,2,1,NYJ 21,0,17,Justin Griffith up the middle for no gain (tackle by John Abraham),4.250,3.530
2,9:04,3,1,NYJ 21,0,17,Warrick Dunn right tackle for 3 yards (tackle by Erik Coleman),3.530,4.370
2,8:31,1,10,NYJ 18,0,17,"Michael Vick sacked by Dewayne Robertson for -1 yards. Michael Vick fumbles (forced by Dewayne Robertson), recovered by Barry Stokes at NYJ-23",4.370,3.150
2,7:43,2,15,NYJ 23,0,17,Warrick Dunn right tackle for no gain (tackle by Shaun Ellis),3.150,2.480
2,7:07,3,15,NYJ 23,0,17,Michael Vick pass incomplete intended for Warrick Dunn,2.480,1.930
2,7:02,4,15,NYJ 23,0,20,Todd Peterson 41 yard field goal good,1.930,3.000
2,,,,ATL 30,0,20,"Michael Koenen kicks off 65 yards, returned by Justin Miller for 95 yards. Penalty on Kenyatta Wright: Offensive Holding, 10 yards",0.000,0.740
2,6:43,1,10,NYJ 27,0,20,Vinny Testaverde pass complete to Laveranues Coles for 15 yards (tackle by Demorrio Williams),0.740,1.730
2,6:15,1,10,NYJ 42,0,20,Vinny Testaverde pass complete to Justin McCareins for 35 yards (tackle by DeAngelo Hall),1.730,4.040
2,5:48,1,10,ATL 23,0,20,Curtis Martin up the middle for 11 yards (tackle by DeAngelo Hall),4.040,4.780
2,5:12,1,10,ATL 12,0,20,Curtis Martin right tackle for no gain (tackle by Antwan Lake),4.780,4.100
2,4:31,,,,0,20,Timeout #2 by New York Jets,0.000,4.100
2,4:31,2,10,ATL 12,0,20,Vinny Testaverde pass incomplete intended for Chris Baker,4.100,3.120
2,4:25,3,10,ATL 12,0,20,Vinny Testaverde pass complete to Wayne Chrebet for 9 yards (tackle by Keion Carpenter),3.120,3.060
2,3:41,4,1,ATL 3,0,20,Curtis Martin up the middle for 2 yards (tackle by Keith Brooking),3.060,6.970
2,3:00,1,1,ATL 1,6,20,"Vinny Testaverde up the middle for 1 yard, touchdown",6.970,7.000
2,,,,ATL 2,7,20,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,20,"Mike Nugent kicks off 72 yards, returned by DeAndra Cobb for 28 yards (tackle by Derrick Strait)",0.000,0.670
2,2:43,1,10,ATL 26,7,20,Michael Vick pass complete to Warrick Dunn for -3 yards (tackle by Jonathan Vilma),0.670,-0.280
2,2:17,2,13,ATL 23,7,20,Michael Vick sacked by John Abraham and Bryan Thomas for -4 yards,-0.280,-1.580
2,2:00,3,17,ATL 19,7,20,Michael Vick pass incomplete intended for Brian Finneran,-1.580,-2.140
2,1:54,4,17,ATL 19,7,20,"Michael Koenen punts 49 yards, fair catch by Jerricho Cotchery",-2.140,-1.070
2,1:46,1,10,NYJ 32,7,20,Curtis Martin up the middle for -1 yards (tackle by Demorrio Williams and Patrick Kerney),1.070,0.390
2,1:21,2,11,NYJ 31,7,20,Vinny Testaverde pass complete to Curtis Martin for 9 yards (tackle by DeAngelo Hall),0.390,0.890
2,0:59,3,2,NYJ 40,7,20,Vinny Testaverde pass incomplete intended for Wayne Chrebet,0.890,-0.720
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,0:55,,,,7,20,Timeout #3 by New York Jets,0.000,-0.720
2,0:55,4,2,NYJ 40,7,20,"Ben Graham punts 44 yards, returned by Allen Rossum for 11 yards (tackle by Jerricho Cotchery)",-0.720,-0.740
2,0:45,1,10,ATL 27,7,20,"Michael Vick pass incomplete intended for Alge Crumpler is intercepted by Jonathan Vilma at NYJ-38 and returned for 1 yard. Jonathan Vilma fumbles, recovered by Ty Law at NYJ-39",0.740,-1.530
2,0:29,1,10,NYJ 39,7,20,Vinny Testaverde pass complete to Laveranues Coles for 13 yards (tackle by Jason Webster),1.530,2.390
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,7,20,"Michael Koenen kicks off 71 yards, returned by Justin Miller for 23 yards (tackle by John Leake). Penalty on Chris Baker: Personal Foul, 11 yards",0.000,-0.370
3,14:54,1,10,NYJ 11,7,20,Curtis Martin up the middle for 6 yards (tackle by Demorrio Williams),-0.370,-0.160
3,14:24,2,4,NYJ 17,7,20,"Vinny Testaverde pass complete to Justin McCareins for 26 yards (tackle by DeAngelo Hall). Penalty on Justin McCareins: Offensive Pass Interfere, 8 yards (no play)",-0.160,-0.930
3,13:44,2,12,NYJ 9,7,20,Curtis Martin up the middle for no gain (tackle by Roderick Coleman),-0.930,-1.650
3,13:06,3,12,NYJ 9,7,20,Vinny Testaverde pass incomplete intended for Laveranues Coles,-1.650,-2.490
3,13:00,4,12,NYJ 9,7,20,"Ben Graham punts 39 yards, fair catch by Leigh Torrence",-2.490,-2.390
3,12:53,1,10,NYJ 48,7,20,Warrick Dunn up the middle for 4 yards (tackle by Shaun Ellis),2.390,2.390
3,12:17,2,6,NYJ 44,7,20,Warrick Dunn right end for 5 yards (tackle by Victor Hobson),2.390,2.340
3,11:38,3,1,NYJ 39,7,20,Michael Vick pass incomplete intended for Brian Finneran,2.340,0.660
3,11:31,4,1,NYJ 39,7,20,Warrick Dunn left tackle for 5 yards (tackle by Kerry Rhodes and Mark Brown),0.660,3.310
3,10:52,1,10,NYJ 34,7,20,Michael Vick pass complete to Michael Jenkins for 8 yards (tackle by Erik Coleman and Ty Law),3.310,3.850
3,10:13,2,2,NYJ 26,7,20,Michael Vick pass incomplete intended for Michael Jenkins,3.850,3.140
3,10:06,3,2,NYJ 26,7,20,Warrick Dunn left tackle for 9 yards (tackle by Victor Hobson),3.140,4.440
3,9:25,1,10,NYJ 17,7,20,Michael Vick pass complete to Alge Crumpler for 9 yards (tackle by Rashad Washington),4.440,5.480
3,8:47,2,1,NYJ 8,7,20,Warrick Dunn right tackle for 7 yards (tackle by Kerry Rhodes),5.480,6.970
3,8:09,1,1,NYJ 1,7,20,Warrick Dunn up the middle for no gain (tackle by Lance Legree and John Abraham),6.970,5.910
3,7:32,2,1,NYJ 1,7,20,Michael Vick pass incomplete intended for Justin Griffith,5.910,5.170
3,7:27,,,,7,20,Timeout #1 by Atlanta Falcons,0.000,5.170
3,7:27,3,1,NYJ 1,7,20,Warrick Dunn left tackle for no gain (tackle by John Abraham),5.170,3.550
3,6:40,4,1,NYJ 1,7,26,"Michael Vick right end for 1 yard, touchdown",3.550,7.000
3,,,,NYJ 2,7,27,Todd Peterson kicks extra point good,0.000,0.000
3,,,,ATL 30,7,27,"Michael Koenen kicks off 71 yards, returned by Justin Miller for 45 yards (tackle by Cam Newton)",0.000,1.860
3,6:26,1,10,NYJ 44,7,27,Vinny Testaverde pass complete to Curtis Martin for 8 yards (tackle by DeAngelo Hall),1.860,2.400
3,5:48,2,2,ATL 48,7,27,Curtis Martin right tackle for 2 yards (tackle by Keion Carpenter and Keith Brooking),2.400,2.520
3,5:09,1,10,ATL 46,7,27,Curtis Martin up the middle for -3 yards (tackle by Antwan Lake),2.520,1.570
3,4:24,2,13,ATL 49,7,27,Vinny Testaverde pass incomplete,1.570,0.890
3,4:19,3,13,ATL 49,7,27,Vinny Testaverde pass incomplete intended for Laveranues Coles is intercepted by DeAngelo Hall at ATL-14,0.890,0.280
3,4:12,1,10,ATL 14,7,27,Michael Vick pass complete to Alge Crumpler for 19 yards (tackle by Mark Brown),-0.280,1.140
3,3:33,1,10,ATL 33,7,27,Justin Griffith right tackle for 2 yards (tackle by Dewayne Robertson),1.140,0.860
3,2:55,2,8,ATL 35,7,27,Michael Vick pass complete to Fred McCrary for 11 yards (tackle by Mark Brown),0.860,1.990
3,2:26,1,10,ATL 46,7,27,Justin Griffith left tackle for 7 yards (tackle by Victor Hobson),1.990,2.400
3,1:44,2,3,NYJ 47,7,27,"Michael Vick left end for -2 yards (tackle by Kerry Rhodes). Michael Vick fumbles (forced by Kerry Rhodes), ball out of bounds at NYJ-49",2.400,1.420
3,1:15,3,5,NYJ 49,7,27,Michael Vick pass incomplete intended for Jerome Pathon,1.420,0.000
3,1:12,4,5,NYJ 49,7,27,"Michael Koenen punts 49 yards, touchback",0.000,-0.280
3,1:03,1,10,NYJ 20,7,27,Brooks Bollinger pass incomplete intended for Jerald Sowell (defended by Darrell Shropshire),0.280,-0.270
3,0:58,2,10,NYJ 20,7,27,Brooks Bollinger pass incomplete,-0.270,-0.960
,,,,,,,"NYJ challenged the ruling, and the original play was overturned.",,
3,0:54,3,10,NYJ 20,7,27,Brooks Bollinger left end for 5 yards (tackle by Demorrio Williams),-0.960,-1.700
3,0:15,4,5,NYJ 25,7,27,Ben Graham punts 55 yards,-1.700,-0.280
3,0:04,1,10,ATL 20,7,27,Warrick Dunn right tackle for 2 yards (tackle by James Reed),0.280,0.000
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,ATL 22,7,27,Warrick Dunn left tackle for 1 yard (tackle by Kerry Rhodes),0.000,-0.560
4,14:21,3,7,ATL 23,7,27,Michael Vick pass incomplete intended for Roddy White is intercepted by Ty Law at ATL-35,-0.560,-3.250
4,14:15,1,10,ATL 35,7,27,"Brooks Bollinger pass complete to Laveranues Coles for 8 yards (tackle by Jason Webster). Penalty on Jason Webster: Face Mask (5 Yards), 5 yards",3.250,4.110
4,13:57,1,10,ATL 22,7,27,Brooks Bollinger pass complete to Jerald Sowell for 4 yards (tackle by Michael Boley),4.110,4.130
4,13:33,2,6,ATL 18,7,27,Brooks Bollinger pass incomplete intended for Jerald Sowell,4.130,3.400
4,13:25,,,,7,27,Timeout #1 by New York Jets,0.000,3.400
4,13:25,3,6,ATL 18,7,27,Brooks Bollinger pass complete to Laveranues Coles for 11 yards (tackle by Jason Webster),3.400,5.600
4,12:59,1,7,ATL 7,7,27,Brooks Bollinger pass complete to Jerald Sowell for 4 yards (tackle by Michael Boley),5.600,5.530
4,12:35,2,3,ATL 3,7,27,Curtis Martin up the middle for 2 yards (tackle by Bryan Scott),5.530,5.170
4,11:55,3,1,ATL 1,13,27,"Curtis Martin right tackle for 1 yard, touchdown",5.170,7.000
4,,,,ATL 2,14,27,Mike Nugent kicks extra point good,0.000,0.000
4,,,,NYJ 30,14,27,"Mike Nugent kicks off 66 yards, returned by DeAndra Cobb for 26 yards (tackle by Rashad Washington)",0.000,0.940
4,11:45,1,10,ATL 30,14,27,Michael Vick pass complete to Alge Crumpler for 23 yards (tackle by Erik Coleman),0.940,2.460
4,11:18,1,10,NYJ 47,14,27,Michael Vick pass complete to Roddy White for 11 yards (tackle by David Barrett),2.460,3.180
4,10:41,1,10,NYJ 36,14,27,"Warrick Dunn right end for 5 yards. Penalty on Victor Hobson: Face Mask (5 Yards), 5 yards",3.180,3.840
4,10:20,1,10,NYJ 26,14,27,Michael Vick pass incomplete intended for Alge Crumpler is intercepted by David Barrett at NYJ-23 and returned for 4 yards,3.840,-0.740
4,10:13,1,10,NYJ 27,14,27,Brooks Bollinger pass complete to Jerald Sowell for 6 yards (tackle by Demorrio Williams),0.740,1.010
4,9:38,2,4,NYJ 33,14,27,Brooks Bollinger sacked by Darrell Shropshire for -1 yards,1.010,0.170
4,9:06,3,5,NYJ 32,14,27,Brooks Bollinger pass complete to Wayne Chrebet for 10 yards (tackle by Keith Brooking),0.170,1.730
4,8:31,1,10,NYJ 42,14,27,Brooks Bollinger pass complete to Wayne Chrebet for 6 yards (tackle by Demorrio Williams),1.730,2.000
4,7:54,2,4,NYJ 48,14,27,Brooks Bollinger pass complete to Laveranues Coles for 9 yards (tackle by Jason Webster),2.000,2.720
4,7:17,1,10,ATL 43,14,27,Brooks Bollinger pass incomplete intended for Laveranues Coles,2.720,2.180
4,7:11,2,10,ATL 43,14,27,Brooks Bollinger pass complete to Chris Baker for 8 yards (tackle by Keith Brooking and Michael Boley),2.180,2.540
4,6:27,3,2,ATL 35,14,27,Brooks Bollinger left tackle for 3 yards (tackle by Demorrio Williams),2.540,3.450
4,5:48,1,10,ATL 32,14,27,Brooks Bollinger sacked by Demorrio Williams for -7 yards,3.450,1.960
4,5:11,2,17,ATL 39,14,27,Brooks Bollinger pass complete to Wayne Chrebet for 12 yards (tackle by Michael Boley),1.960,2.870
4,4:42,3,5,ATL 27,14,27,Brooks Bollinger pass incomplete intended for Justin McCareins,2.870,1.720
4,4:35,4,5,ATL 27,14,27,Brooks Bollinger pass complete to Laveranues Coles for 7 yards (tackle by Jason Webster),1.720,4.240
4,4:08,1,10,ATL 20,14,27,Brooks Bollinger pass incomplete,4.240,3.690
4,4:02,2,10,ATL 20,14,27,Brooks Bollinger pass incomplete intended for Justin McCareins,3.690,3.010
4,3:56,3,10,ATL 20,14,27,Brooks Bollinger pass complete to Curtis Martin for 9 yards (tackle by Jason Webster),3.010,2.850
4,3:39,,,,14,27,Timeout #2 by New York Jets,0.000,2.850
4,3:39,4,1,ATL 11,14,27,Brooks Bollinger pass incomplete intended for Curtis Martin (defended by Demorrio Williams),2.850,0.370
4,3:36,1,10,ATL 11,14,27,Warrick Dunn right tackle for 1 yard (tackle by Erik Coleman),-0.370,-0.710
4,2:51,2,9,ATL 12,14,27,Warrick Dunn left end for 5 yards (tackle by Jonathan Vilma),-0.710,-0.720
4,2:43,,,,14,27,Timeout #3 by New York Jets,0.000,-0.720
4,2:42,3,4,ATL 17,14,27,Warrick Dunn right tackle for 8 yards (tackle by Erik Coleman),-0.720,0.610
4,2:00,1,10,ATL 25,14,27,Michael Vick kneels for -1 yards,0.610,-0.070
4,1:18,2,11,ATL 24,14,27,Michael Vick kneels for -1 yards,-0.070,-0.890
4,0:36,3,12,ATL 23,14,27,Michael Vick kneels for -1 yards,-0.890,-1.900
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
