Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
2,9:47,2,10,STL 20,0,3,Kellen Clemens pass complete short right to Danario Alexander for 9 yards (tackle by Lawrence Timmons and Jason Worilds),-0.270,0.230
2,9:08,,,,0,3,Timeout #1 by St. Louis Rams,0.000,0.230
2,9:08,3,1,STL 29,0,3,"Kellen Clemens pass incomplete short middle intended for Danario Alexander (defended by Lawrence Timmons). Penalty on Stephen Spach: Offensive Holding (Offsetting), Penalty on Lawrence Timmons: Defensive Holding (Offsetting) (no play)",0.230,0.230
2,9:04,3,1,STL 29,0,3,Kellen Clemens pass incomplete short left intended for Brandon Gibson,0.230,-1.440
2,8:57,4,1,STL 29,0,3,"Donnie Jones punts 51 yards, returned by Antonio Brown for 5 yards (tackle by Bryan Kehl)",-1.440,-0.610
2,8:44,1,10,PIT 25,0,3,Rashard Mendenhall left tackle for 9 yards (tackle by James Laurinaitis),0.610,1.280
2,8:05,2,1,PIT 34,0,3,Rashard Mendenhall right guard for 4 yards (tackle by Josh Gordy and James Laurinaitis),1.280,1.470
2,7:28,1,10,PIT 38,0,3,Rashard Mendenhall up the middle for 52 yards (tackle by Roderick Hood),1.470,4.910
2,6:55,1,10,STL 10,0,9,"John Clay right tackle for 10 yards, touchdown",4.910,7.000
2,,,,STL 2,0,10,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 35,0,10,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
2,6:50,1,10,STL 20,0,10,Kellen Clemens pass complete short right to Steven Jackson for 17 yards (tackle by Ike Taylor),0.280,1.400
2,6:25,1,10,STL 37,0,10,Steven Jackson right guard for 3 yards (tackle by James Harrison),1.400,1.260
2,5:41,2,7,STL 40,0,10,Kellen Clemens pass incomplete short left intended for Brandon Lloyd (defended by Brett Keisel),1.260,0.560
2,5:36,3,7,STL 40,0,10,Kellen Clemens pass incomplete short right intended for Danario Alexander,0.560,-0.720
2,5:29,4,7,STL 40,0,10,Donnie Jones punts 37 yards,-0.720,-0.480
2,5:19,1,10,PIT 23,0,10,Charlie Batch pass complete short left to Antonio Brown for -3 yards (tackle by Roderick Hood),0.480,-0.470
2,4:42,2,13,PIT 20,0,10,Isaac Redman left guard for 9 yards (tackle by James Laurinaitis and Quintin Mikell),-0.470,0.040
2,3:56,3,4,PIT 29,0,10,"Penalty on Hines Ward: False Start, 5 yards (no play)",0.040,-0.630
2,3:31,3,9,PIT 24,0,10,Charlie Batch pass incomplete deep middle intended for Heath Miller (defended by Darian Stewart). Penalty on PIT: Illegal Shift (Declined),-0.630,-1.770
2,3:26,4,9,PIT 24,0,10,"Jeremy Kapinos punts 54 yards, returned by Nick Miller for 14 yards (tackle by Lawrence Timmons). Penalty on Arnaz Battle: Offensive Holding, 10 yards",-1.770,-1.990
2,3:13,1,10,STL 46,0,10,Steven Jackson right guard for 9 yards (tackle by Troy Polamalu),1.990,2.670
2,2:40,2,1,PIT 45,0,10,Steven Jackson right guard for 8 yards (tackle by Larry Foote),2.670,3.120
2,2:00,1,10,PIT 37,0,10,Steven Jackson right guard for 3 yards (tackle by William Gay),3.120,2.980
2,1:26,2,7,PIT 34,0,10,"Kellen Clemens pass incomplete short right intended for Brandon Lloyd. Penalty on Ike Taylor: Defensive Holding, 5 yards (no play)",2.980,3.640
2,1:18,1,10,PIT 29,0,10,Kellen Clemens pass incomplete deep right intended for Brandon Lloyd (defended by Ike Taylor),3.640,3.100
2,1:13,2,10,PIT 29,0,10,Kellen Clemens sacked by James Harrison for -6 yards,3.100,1.620
2,0:27,,,,0,10,Timeout #1 by Pittsburgh Steelers,0.000,1.620
2,0:27,3,16,PIT 35,0,10,Steven Jackson up the middle for 1 yard (tackle by Brett Keisel and Lawrence Timmons),1.620,1.060
2,0:04,,,,0,10,Timeout #2 by St. Louis Rams,0.000,1.060
2,0:04,4,15,PIT 34,0,10,Josh Brown 52 yard field goal no good,1.060,1.660
Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,0,10,"Josh Brown kicks off 68 yards, returned by Antonio Brown for 30 yards (tackle by Josh Brown)",0.000,0.740
3,14:55,1,10,PIT 27,0,10,Rashard Mendenhall right guard for 4 yards (tackle by Brady Poppinga and James Laurinaitis),0.740,0.740
3,14:17,2,6,PIT 31,0,10,Charlie Batch pass complete deep left to Antonio Brown for 18 yards (tackle by Quintin Mikell),0.740,2.190
3,13:31,1,10,PIT 49,0,10,Rashard Mendenhall up the middle for 3 yards (tackle by Roderick Hood and Chris Long),2.190,2.050
3,12:53,2,7,STL 48,0,10,Rashard Mendenhall right tackle for 1 yard (tackle by Chris Long and Darian Stewart),2.050,1.490
3,12:10,3,6,STL 47,0,10,Charlie Batch pass complete short left to Mike Wallace for 20 yards (tackle by Roderick Hood),1.490,3.780
3,11:24,1,10,STL 27,0,10,Isaac Redman right guard for -1 yards (tackle by Robert Quinn),3.780,3.100
3,10:44,2,11,STL 28,0,10,Charlie Batch pass complete short left to David Johnson for 2 yards (tackle by Chris Chamberlain and James Laurinaitis),3.100,2.680
3,9:56,3,9,STL 26,0,10,"Penalty on Charlie Batch: Delay of Game, 5 yards (no play)",2.680,2.020
3,9:31,3,14,STL 31,0,10,Charlie Batch pass incomplete short middle intended for Antonio Brown,2.020,1.320
3,9:25,4,14,STL 31,0,13,Shaun Suisham 49 yard field goal good,1.320,3.000
3,,,,PIT 35,0,13,"Shaun Suisham kicks off 68 yards, returned by Jerious Norwood for 21 yards (tackle by Da'Mon Cromartie-Smith)",0.000,0.040
3,9:13,1,10,STL 18,0,13,"Steven Jackson for -1 yards (tackle by William Gay). Kellen Clemens fumbles, recovered by Kellen Clemens at STL-17",0.040,-0.650
3,8:34,2,11,STL 17,0,13,Kellen Clemens pass complete short left to Brandon Lloyd for 9 yards,-0.650,-0.140
3,8:00,3,2,STL 26,0,13,Kellen Clemens pass incomplete short left intended for Steven Jackson,-0.140,-1.630
3,7:55,4,2,STL 26,0,13,"Donnie Jones punts 46 yards, fair catch by Antonio Brown",-1.630,-0.810
3,7:45,1,10,PIT 28,0,13,Charlie Batch pass incomplete short left intended for Mike Wallace (defended by Roderick Hood),0.810,0.260
3,7:39,2,10,PIT 28,0,13,Rashard Mendenhall right guard for 2 yards (tackle by James Laurinaitis),0.260,-0.160
3,6:57,3,8,PIT 30,0,13,"Charlie Batch sacked for -5 yards. Penalty on Chris Long: Defensive Offside, 5 yards (no play)",-0.160,0.500
3,6:28,3,3,PIT 35,0,13,Charlie Batch pass incomplete short left intended for Mike Wallace,0.500,-1.040
3,6:23,4,3,PIT 35,0,13,"Jeremy Kapinos punts 32 yards, fair catch by Nick Miller",-1.040,-1.140
3,6:15,1,10,STL 33,0,13,Kellen Clemens pass complete short right to Lance Kendricks for 7 yards (tackle by Ryan Clark),1.140,1.540
3,5:41,2,3,STL 40,0,13,Steven Jackson right guard for 2 yards (tackle by James Farrior and Brett Keisel),1.540,1.090
3,5:06,3,1,STL 42,0,13,Steven Jackson up the middle for 2 yards (tackle by James Farrior and Lawrence Timmons),1.090,1.860
3,4:23,1,10,STL 44,0,13,Kellen Clemens left guard for 1 yard (tackle by Cameron Heyward),1.860,1.450
3,3:45,2,9,STL 45,0,13,Steven Jackson right guard for 13 yards (tackle by Ryan Clark),1.450,2.790
3,3:10,1,10,PIT 42,0,13,Steven Jackson up the middle for 7 yards (tackle by Lawrence Timmons),2.790,3.190
3,2:38,2,3,PIT 35,0,13,Steven Jackson left guard for 6 yards (tackle by Lawrence Timmons),3.190,3.640
3,2:04,1,10,PIT 29,0,13,Cadillac Williams right guard for 2 yards (tackle by Ike Taylor and James Farrior),3.640,3.370
3,1:20,2,8,PIT 27,0,13,Kellen Clemens sacked for -6 yards,3.370,1.880
3,0:45,3,14,PIT 33,0,13,Steven Jackson right guard for 15 yards (tackle by Troy Polamalu),1.880,4.370
3,0:19,1,10,PIT 18,0,13,Steven Jackson up the middle for 1 yard (tackle by Casey Hampton),4.370,3.940
Quarter,Time,Down,ToGo,Location,STL,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,PIT 17,0,13,Steven Jackson right tackle for 5 yards,3.940,4.030
4,14:22,3,4,PIT 12,0,13,Steven Jackson right guard for -3 yards (tackle by Troy Polamalu),4.030,2.440
4,13:44,4,7,PIT 15,0,13,Josh Brown 33 yard field goal no good,2.440,-0.480
4,13:40,1,10,PIT 23,0,13,Rashard Mendenhall left tackle for no gain (tackle by Roderick Hood),0.480,-0.070
4,13:02,2,10,PIT 23,0,13,Rashard Mendenhall left guard for 4 yards (tackle by James Laurinaitis and Robert Quinn),-0.070,-0.230
4,12:12,3,6,PIT 27,0,13,"Penalty on Ramon Foster: False Start, 5 yards (no play)",-0.230,-0.890
4,11:50,3,11,PIT 22,0,13,Isaac Redman left tackle for 10 yards (tackle by Quintin Mikell),-0.890,-1.240
4,11:39,4,1,PIT 32,0,13,"Jeremy Kapinos punts 56 yards, returned by Nick Miller for 3 yards (tackle by Cortez Allen). Penalty on Quinn Porter: Illegal Use of Hands, 6 yards",-1.240,0.380
4,11:29,1,10,STL 6,0,13,Kellen Clemens pass incomplete short left intended for Brandon Lloyd,-0.380,-0.780
4,11:24,2,10,STL 6,0,13,Steven Jackson right guard for -1 yards (tackle by William Gay),-0.780,-1.540
4,10:42,3,11,STL 5,0,13,Kellen Clemens up the middle for 9 yards,-1.540,-2.470
4,10:07,4,2,STL 14,0,13,Donnie Jones punts 37 yards,-2.470,-2.190
4,9:58,1,10,PIT 49,0,13,Rashard Mendenhall up the middle for 4 yards (tackle by Chris Chamberlain and Quintin Mikell),2.190,2.190
4,9:27,2,6,STL 47,0,13,Charlie Batch pass complete deep right to Mike Wallace for 46 yards (tackle by Josh Gordy),2.190,6.970
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
4,9:03,1,1,STL 1,0,19,"Rashard Mendenhall right guard for 1 yard, touchdown",6.970,7.000
4,,,,STL 2,0,20,Shaun Suisham kicks extra point good,0.000,0.000
4,,,,PIT 35,0,20,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
4,8:58,1,10,STL 20,0,20,Kellen Clemens pass complete short right to Brandon Lloyd for 12 yards,0.280,1.070
4,8:38,1,10,STL 32,0,20,Kellen Clemens pass incomplete short right intended for Lance Kendricks (defended by Troy Polamalu),1.070,0.530
4,8:32,2,10,STL 32,0,20,Kellen Clemens sacked by Lawrence Timmons for -11 yards,0.530,-1.620
4,7:57,3,21,STL 21,0,20,Kellen Clemens pass incomplete deep right intended for Brandon Lloyd (defended by Ike Taylor),-1.620,-1.960
4,7:52,4,21,STL 21,0,20,"Donnie Jones punts 42 yards, fair catch by Antonio Brown",-1.960,-1.400
4,7:42,1,10,PIT 37,0,20,Charlie Batch pass incomplete short right intended for Antonio Brown,1.400,0.860
4,7:33,2,10,PIT 37,0,20,Charlie Batch pass complete short middle to Antonio Brown for 19 yards (tackle by James Laurinaitis),0.860,2.650
4,6:52,1,10,STL 44,0,20,Isaac Redman right guard for 5 yards (tackle by Chris Chamberlain and Darell Scott),2.650,2.780
4,6:11,2,5,STL 39,0,20,Isaac Redman right guard for 8 yards (tackle by Roderick Hood and Fred Robbins),2.780,3.510
4,5:28,1,10,STL 31,0,20,Charlie Batch pass complete short left to Hines Ward for 4 yards (tackle by James Laurinaitis and Robert Quinn),3.510,3.510
4,4:49,2,6,STL 27,0,20,Charlie Batch pass complete short middle to Hines Ward for 7 yards (tackle by Chris Chamberlain),3.510,4.240
4,4:09,1,10,STL 20,0,20,Charlie Batch pass complete short right to Heath Miller for 18 yards (tackle by Craig Dahl and Josh Gordy),4.240,6.740
4,4:02,1,2,STL 2,0,20,Isaac Redman right guard for no gain (tackle by Craig Dahl and Chris Chamberlain),6.740,5.720
4,3:19,2,2,STL 2,0,26,"Isaac Redman up the middle for 2 yards, touchdown",5.720,7.000
4,,,,STL 2,0,27,Shaun Suisham kicks extra point good,0.000,0.000
4,,,,PIT 35,0,27,"Shaun Suisham kicks off 67 yards, returned by Jerious Norwood for 27 yards (tackle by Will Allen)",0.000,0.610
4,3:08,1,10,STL 25,0,27,Cadillac Williams up the middle for 4 yards (tackle by Ryan Mundy and Jason Worilds),0.610,0.600
4,2:33,2,6,STL 29,0,27,Cadillac Williams left guard for 4 yards (tackle by Cameron Heyward and Ryan Mundy),0.600,0.430
4,2:00,3,2,STL 33,0,27,Cadillac Williams left guard for 7 yards (tackle by Ryan Mundy),0.430,1.600
4,1:18,1,10,STL 40,0,27,Cadillac Williams left tackle for -1 yards (tackle by James Harrison),1.600,0.920
4,0:41,2,11,STL 39,0,27,"Cadillac Williams left tackle for 23 yards (tackle by Larry Foote). Penalty on Larry Foote: Face Mask (15 Yards), 15 yards",0.920,4.040
4,0:30,1,10,PIT 23,0,27,Cadillac Williams left guard for 1 yard (tackle by Cameron Heyward),4.040,3.630
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
