Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
3,7:14,2,1,PHI 49,7,10,Baker Mayfield pass incomplete deep left intended for KhaDarel Hodge,2.400,1.690
3,7:07,3,1,PHI 49,7,10,"Jarvis Landry left tackle for 3 yards, lateral to Cre'von LeBlanc for 2 yards, lateral to Nick Chubb for 2 yards",1.690,2.650
3,6:30,1,10,PHI 44,7,10,Nick Chubb left tackle for 3 yards (tackle by Josh Sweat),2.650,2.520
3,5:51,2,7,PHI 41,7,10,Nick Chubb right tackle for 2 yards (tackle by Jalen Mills),2.520,2.080
3,5:28,3,5,PHI 39,7,10,Kareem Hunt left guard for -9 yards (tackle by Josh Sweat),2.080,0.070
3,4:47,4,14,PHI 48,7,10,Jamie Gillan punts 46 yards downed by Tavierre Thomas,0.070,0.380
3,4:37,1,10,PHI 2,7,10,Miles Sanders right guard for no gain (tackle by Sheldon Richardson and Porter Gustin),-0.380,-0.780
3,3:59,2,10,PHI 2,7,10,Miles Sanders right guard for 2 yards (tackle by Olivier Vernon),-0.780,-1.190
3,3:17,3,8,PHI 4,7,12,"Carson Wentz sacked by Olivier Vernon for -4 yards, safety.",-1.190,-2.000
3,3:11,,,PHI 20,7,12,"Cameron Johnston kicks off 58 yards, returned by Donovan Peoples-Jones for 30 yards (tackle by Duke Riley)",0.000,2.390
3,3:03,1,10,PHI 48,7,12,Nick Chubb left tackle for 9 yards (tackle by T.J. Edwards),2.390,3.060
3,2:28,2,1,PHI 39,7,12,Nick Chubb left guard for -3 yards (tackle by Brandon Graham),3.060,1.950
3,1:47,3,4,PHI 42,7,12,Baker Mayfield left end for 7 yards (tackle by Alex Singleton),1.950,3.250
3,1:01,1,10,PHI 35,7,12,Nick Chubb left guard for 11 yards (tackle by Alex Singleton),3.250,3.970
3,0:12,1,10,PHI 24,7,12,Nick Chubb right guard for 1 yard (tackle by Josh Sweat),3.970,3.570
Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,PHI 23,7,12,"Baker Mayfield aborted snap, recovered by Kareem Hunt at PHI-33 (tackle by Alex Singleton)",3.570,2.080
4,14:11,,,,,,Timeout #1 by Cleveland Browns,,
4,14:10,3,15,PHI 29,7,12,Baker Mayfield pass incomplete short right,2.080,1.500
4,14:04,4,15,PHI 29,7,12,Cody Parkey 47 yard field goal no good,1.500,-1.400
4,13:54,1,10,PHI 37,7,12,Carson Wentz pass incomplete short left intended for Travis Fulgham,1.400,0.860
4,13:49,2,10,PHI 37,7,12,Carson Wentz pass complete short right to Travis Fulgham for 8 yards (tackle by Denzel Ward),0.860,1.220
4,13:04,3,2,PHI 45,7,12,Carson Wentz pass complete deep right to Richard Rodgers for 29 yards (tackle by Sheldrick Redwine),1.220,3.840
4,12:21,1,10,CLE 26,7,12,Miles Sanders right tackle for 1 yard (tackle by Porter Gustin),3.840,3.430
4,11:39,2,9,CLE 25,7,12,Carson Wentz pass incomplete short middle intended for Miles Sanders,3.430,2.740
4,11:35,3,9,CLE 25,7,12,Carson Wentz pass incomplete deep left intended for Travis Fulgham (defended by Terrance Mitchell),2.740,1.800
4,11:28,4,9,CLE 25,10,12,Jake Elliott 43 yard field goal good,1.800,3.000
4,11:24,,,PHI 35,10,12,"Jake Elliott kicks off 57 yards, returned by D'Ernest Johnson for 13 yards (tackle by Duke Riley)",0.000,0.340
4,11:19,1,10,CLE 21,10,12,Baker Mayfield pass complete short left to KhaDarel Hodge for 18 yards (tackle by Jalen Mills),0.340,1.530
4,10:40,1,10,CLE 39,10,12,Nick Chubb left tackle for 54 yards (tackle by Joe Ostman),1.530,5.600
4,9:48,1,7,PHI 7,10,12,Baker Mayfield left tackle for 2 yards (tackle by Josh Sweat and Rodney McLeod),5.600,5.150
4,9:21,2,5,PHI 5,10,18,"Kareem Hunt right tackle for 5 yards, touchdown",5.150,7.000
4,9:13,,,PHI 15,10,19,Cody Parkey kicks extra point good,0.000,0.000
4,9:13,,,CLE 35,10,19,"Cody Parkey kicks off 65 yards, returned by Boston Scott for 25 yards (tackle by Karl Joseph)",0.000,0.610
4,9:08,1,10,PHI 25,10,19,"Carson Wentz pass complete short middle to Richard Rodgers for 14 yards (tackle by B.J. Goodson) Penalty on PHI: Illegal Formation, 5 yards (no play)",0.610,0.280
4,8:46,1,15,PHI 20,10,19,Carson Wentz pass incomplete deep left intended for Greg Ward,0.280,-0.610
4,8:39,2,15,PHI 20,10,19,Carson Wentz pass incomplete short middle,-0.610,-1.290
4,8:37,3,15,PHI 20,10,19,Carson Wentz pass incomplete short middle intended for Travis Fulgham,-1.290,-2.030
4,8:32,4,15,PHI 20,10,19,"Cameron Johnston punts 40 yards, returned by Donovan Peoples-Jones for 7 yards (tackle by Davion Taylor)",-2.030,-2.060
4,8:21,1,10,CLE 47,10,19,Nick Chubb right guard for 3 yards (tackle by Derek Barnett),2.060,1.920
4,7:40,2,7,CLE 50,10,19,Nick Chubb right tackle for no gain (tackle by Javon Hargrave),1.920,1.220
4,7:00,3,7,CLE 50,10,19,Baker Mayfield pass complete short left to Rashard Higgins for 13 yards (tackle by Jalen Mills),1.220,3.120
4,6:42,1,10,PHI 37,10,19,Nick Chubb right guard for 10 yards (tackle by Jalen Mills),3.120,3.780
4,6:00,1,10,PHI 27,10,19,"Penalty on Joel Bitonio: False Start, 5 yards (no play)",3.780,3.450
4,6:00,1,15,PHI 32,10,19,Kareem Hunt left guard for 6 yards (tackle by Davion Taylor),3.450,3.370
4,5:15,,,,,,Timeout #2 by Cleveland Browns,,
4,5:15,2,9,PHI 26,10,19,Baker Mayfield pass complete short right to Jarvis Landry for 10 yards (tackle by Avonte Maddox),3.370,4.510
4,4:40,1,10,PHI 16,10,19,Kareem Hunt right guard for 2 yards (tackle by Rodney McLeod),4.510,4.210
4,4:02,2,8,PHI 14,10,19,Kareem Hunt right guard for no gain (tackle by Josh Sweat and Brandon Graham),4.210,3.370
4,3:58,,,,,,Timeout #1 by Philadelphia Eagles,,
4,3:58,3,8,PHI 14,10,19,Kareem Hunt right guard for 4 yards (tackle by Javon Hargrave). Penalty on Jarvis Landry: Illegal Motion (Declined),3.370,2.840
4,3:53,4,4,PHI 10,10,22,Cody Parkey 28 yard field goal good,2.840,3.000
4,3:49,,,CLE 35,10,22,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
4,3:49,1,10,PHI 25,10,22,Carson Wentz pass incomplete short left intended for Travis Fulgham (defended by Denzel Ward),0.610,0.060
4,3:44,2,10,PHI 25,10,22,Carson Wentz pass complete short middle to Greg Ward for 4 yards (tackle by B.J. Goodson),0.060,-0.100
4,3:17,3,6,PHI 29,10,22,Carson Wentz pass incomplete short right intended for Travis Fulgham (defended by Terrance Mitchell),-0.100,-1.440
4,3:13,4,6,PHI 29,10,22,Carson Wentz pass complete short right to Jalen Reagor for 11 yards (tackle by Terrance Mitchell),-1.440,1.600
4,2:47,1,10,PHI 40,10,22,Carson Wentz pass complete short middle to Miles Sanders for 3 yards (tackle by Malcolm Smith),1.600,1.460
4,2:24,2,7,PHI 43,10,22,Carson Wentz pass complete short right to Miles Sanders for 9 yards (tackle by Andrew Sendejo),1.460,2.390
4,2:18,1,10,CLE 48,10,22,Carson Wentz pass complete short right to Boston Scott for 5 yards (tackle by Denzel Ward),2.390,2.520
4,2:13,2,5,CLE 43,10,22,"Carson Wentz pass incomplete deep right intended for Dallas Goedert. Penalty on Denzel Ward: Defensive Pass Interference, 33 yards (no play)",2.520,4.910
4,2:07,1,10,CLE 10,10,22,Carson Wentz pass short right intended for Alshon Jeffery is intercepted by Denzel Ward at CLE-3 and returned for no gain,4.910,0.380
4,2:01,1,10,CLE 3,10,22,Kareem Hunt right guard for 2 yards (tackle by Brandon Graham),-0.380,-0.630
4,1:57,2,8,CLE 5,10,22,Kareem Hunt left tackle for -1 yards (tackle by T.J. Edwards),-0.630,-1.300
4,1:52,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:52,3,9,CLE 4,10,22,Kareem Hunt right guard for no gain (tackle by Brandon Graham and Javon Hargrave),-1.300,-2.490
4,1:46,4,9,CLE 4,10,22,"Jamie Gillan punts 43 yards, fair catch by Jalen Reagor at CLE-47",-2.490,-2.460
4,1:39,1,10,CLE 47,10,22,Carson Wentz pass complete short left to Boston Scott for 7 yards (tackle by Mack Wilson),2.460,2.860
4,1:33,2,3,CLE 40,10,22,Carson Wentz pass complete short left to Dallas Goedert for 7 yards (tackle by Mack Wilson),2.860,3.380
4,1:27,1,10,CLE 33,10,22,Carson Wentz pass complete short middle to Boston Scott for 14 yards (tackle by Kevin Johnson). Penalty on Adrian Clayborn: Defensive Offside (Declined),3.380,4.310
4,1:21,1,10,CLE 19,10,22,Carson Wentz pass complete short right to Jalen Reagor for 7 yards (tackle by B.J. Goodson),4.310,4.920
4,1:13,2,3,CLE 12,10,22,Carson Wentz pass incomplete short right intended for Jalen Reagor,4.920,4.190
4,1:07,3,3,CLE 12,10,22,"Carson Wentz sacked by Adrian Clayborn for -10 yards. Carson Wentz fumbles (forced by Adrian Clayborn), recovered by Isaac Seumalo at CLE-22",4.190,1.990
4,0:43,4,13,CLE 22,10,22,Carson Wentz pass complete short left to Jalen Reagor for 18 yards (tackle by Terrance Mitchell),1.990,6.280
4,0:36,1,4,CLE 4,16,22,"Carson Wentz pass complete short right to Dallas Goedert for 4 yards, touchdown",6.280,7.000
4,0:30,,,CLE 15,17,22,Jake Elliott kicks extra point good,0.000,0.000
4,0:30,,,PHI 35,17,22,"Jake Elliott kicks onside 11 yards, returned by Harrison Bryant for no gain",0.000,2.520
4,0:29,1,10,PHI 46,17,22,Baker Mayfield kneels for -1 yards,2.520,1.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
