Quarter,Time,Down,ToGo,Location,PHI,SDG,Detail,EPB,EPA
2,5:10,3,1,SDG 33,3,14,Darren Sproles left end for no gain (tackle by Moise Fokou),0.500,-1.180
2,4:33,4,1,SDG 33,3,14,"Mike Scifres punts 61 yards, fair catch by Jeremy Maclin",-1.180,0.380
2,4:24,1,10,PHI 6,3,14,Donovan McNabb pass complete short right to Jeremy Maclin for 12 yards (tackle by Eric Weddle),-0.380,0.040
2,3:47,1,10,PHI 18,3,14,Donovan McNabb pass incomplete short right intended for DeSean Jackson,0.040,-0.490
2,3:37,2,10,PHI 18,3,14,Brian Westbrook left end for 7 yards (tackle by Luis Castillo and Kevin Burnett),-0.490,-0.270
2,2:58,3,3,PHI 25,3,14,Donovan McNabb pass complete short right to DeSean Jackson for 7 yards (tackle by Quentin Jammer),-0.270,1.070
2,2:18,1,10,PHI 32,3,14,Donovan McNabb pass incomplete short middle intended for DeSean Jackson,1.070,0.530
2,2:13,2,10,PHI 32,3,14,Donovan McNabb pass complete short left to Brian Westbrook for 17 yards (tackle by Paul Oliver),0.530,2.190
2,2:00,1,10,PHI 49,3,14,Donovan McNabb pass incomplete short left intended for Brian Westbrook,2.190,1.650
2,1:55,2,10,PHI 49,3,14,Donovan McNabb pass complete short middle to Jeremy Maclin for 12 yards (tackle by Steve Gregory),1.650,2.980
2,1:46,1,10,SDG 39,3,14,Donovan McNabb pass complete short middle to DeSean Jackson for 13 yards (tackle by Kevin Burnett),2.980,3.840
2,1:11,1,10,SDG 26,3,14,Donovan McNabb pass complete deep right to Reggie Brown for 17 yards (tackle by Quentin Jammer),3.840,5.140
2,1:06,1,9,SDG 9,3,14,Donovan McNabb pass incomplete short right intended for DeSean Jackson,5.140,4.380
2,1:01,2,9,SDG 9,3,14,Brian Westbrook for no gain,4.380,3.360
2,0:55,,,,3,14,Timeout #1 by Philadelphia Eagles,0.000,3.360
2,0:55,3,9,SDG 9,3,14,Donovan McNabb pass complete short right to Brent Celek for 2 yards (tackle by Kevin Burnett and Shaun Phillips),3.360,2.970
2,0:11,4,7,SDG 7,6,14,David Akers 25 yard field goal good,2.970,3.000
2,,,,PHI 30,6,14,"David Akers kicks off 65 yards, returned by Darren Sproles for 27 yards (tackle by Moise Fokou)",0.000,1.070
2,0:02,1,10,SDG 32,6,14,Philip Rivers kneels for -1 yards,1.070,0.390
Quarter,Time,Down,ToGo,Location,PHI,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,6,14,"Nate Kaeding kicks off 60 yards, returned by Jeremy Maclin for 13 yards (tackle by Jacob Hester)",0.000,0.480
3,14:56,1,10,PHI 23,6,14,Donovan McNabb pass incomplete short middle intended for DeSean Jackson,0.480,-0.070
3,14:51,2,10,PHI 23,6,14,Brian Westbrook middle for 11 yards (tackle by Stephen Cooper),-0.070,1.200
3,14:13,1,10,PHI 34,6,14,Donovan McNabb pass complete short left to DeSean Jackson for 7 yards (tackle by Stephen Cooper),1.200,1.600
3,13:41,2,3,PHI 41,6,14,Brian Westbrook middle for 4 yards (tackle by Ian Scott and Travis Johnson),1.600,1.930
3,12:58,1,10,PHI 45,6,14,Donovan McNabb sacked by Brandon Siler for -9 yards,1.930,0.170
3,12:27,2,19,PHI 36,6,14,Donovan McNabb pass complete short right to Brian Westbrook for 9 yards (tackle by Steve Gregory and Stephen Cooper),0.170,0.700
3,11:44,3,10,PHI 45,6,14,"Donovan McNabb pass complete short right to Jeremy Maclin for 34 yards. Penalty on Jeremy Maclin: Offensive Pass Interfere, 10 yards (no play)",0.700,-0.630
3,11:13,3,20,PHI 35,6,14,Donovan McNabb pass complete short left to LeSean McCoy for 8 yards (tackle by Kevin Burnett),-0.630,-0.520
3,10:36,4,12,PHI 43,6,14,"Saverio Rocca punts 38 yards, returned by Darren Sproles for 5 yards (tackle by Moise Fokou)",-0.520,-0.540
3,10:24,1,10,SDG 24,6,14,"LaDainian Tomlinson for 10 yards (tackle by Moise Fokou). Penalty on Moise Fokou: Unnecessary Roughness, 15 yards",0.540,2.190
3,10:01,1,10,SDG 49,6,14,LaDainian Tomlinson middle for 9 yards (tackle by Moise Fokou and Quintin Mikell),2.190,2.860
3,9:29,2,1,PHI 42,6,14,LaDainian Tomlinson right tackle for 2 yards (tackle by Mike Patterson),2.860,2.920
3,8:48,1,10,PHI 40,6,14,Philip Rivers pass complete short left to Antonio Gates for 20 yards (tackle by Dimitri Patterson),2.920,4.240
3,8:07,1,10,PHI 20,6,20,"LaDainian Tomlinson right tackle for 20 yards, touchdown",4.240,7.000
3,,,,PHI 2,6,21,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,6,21,"Nate Kaeding kicks off 69 yards, returned by Jeremy Maclin for 15 yards (tackle by Quentin Jammer)",0.000,-0.140
3,7:55,1,10,PHI 16,6,21,Donovan McNabb pass complete short right to Brent Celek for 10 yards (tackle by Shawne Merriman),-0.140,0.670
3,7:13,1,10,PHI 26,6,21,Donovan McNabb pass complete short right to Jason Avant for 58 yards (tackle by Paul Oliver),0.670,4.510
3,6:45,,,,6,21,Timeout #1 by Philadelphia Eagles,0.000,4.510
3,6:45,1,10,SDG 16,6,21,Donovan McNabb pass incomplete short middle intended for Brent Celek (defended by Eric Weddle),4.510,3.900
3,6:41,2,10,SDG 16,6,21,Donovan McNabb pass complete short right to Jason Avant for 9 yards (tackle by Antoine Cason and Eric Weddle),3.900,4.850
3,6:00,3,1,SDG 7,6,21,Donovan McNabb pass incomplete short right intended for DeSean Jackson,4.850,3.010
3,5:54,4,1,SDG 7,9,21,David Akers 25 yard field goal good,3.010,3.000
3,,,,PHI 30,9,21,"David Akers kicks off 63 yards, returned by Darren Sproles for 29 yards (tackle by Joe Mays). Penalty on Dimitri Patterson: Offside on Free Kick, 5 yards",0.000,1.660
3,5:45,1,10,SDG 41,9,21,Philip Rivers pass incomplete short right intended for Vincent Jackson (defended by Quintin Mikell),1.660,1.120
3,5:38,2,10,SDG 41,9,21,LaDainian Tomlinson left tackle for 2 yards (tackle by Darren Howard and Moise Fokou),1.120,0.700
3,4:59,3,8,SDG 43,9,21,Philip Rivers pass complete short left to Darren Sproles for 9 yards (tackle by Dimitri Patterson),0.700,2.390
3,4:22,1,10,PHI 48,9,21,LaDainian Tomlinson middle for 1 yard (tackle by Quintin Mikell),2.390,1.980
3,3:43,2,9,PHI 47,9,21,Philip Rivers pass complete short middle to Malcom Floyd for 14 yards (tackle by Sean Jones),1.980,3.380
3,3:02,1,10,PHI 33,9,21,"Philip Rivers pass incomplete deep left intended for Antonio Gates. Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",3.380,4.110
3,2:56,1,5,PHI 28,9,21,LaDainian Tomlinson middle for -2 yards (tackle by Trevor Laws and Chris Gocong),4.110,3.240
3,2:17,2,7,PHI 30,9,21,Philip Rivers pass complete short right to Darren Sproles for 5 yards (tackle by Tracy White),3.240,3.200
3,1:47,3,2,PHI 25,9,21,"Darren Sproles right tackle for no gain (tackle by Quintin Mikell and Will Witherspoon). Penalty on Ramzee Robinson: Defensive Offside, 5 yards (no play)",3.200,4.240
3,1:19,1,10,PHI 20,9,27,"Philip Rivers pass complete deep right to Legedu Naanee for 20 yards, touchdown. Penalty on Legedu Naanee: Unsportsmanlike Conduct, 15 yards",4.240,7.000
3,,,,PHI 2,9,28,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 15,9,28,"Nate Kaeding kicks off 66 yards, returned by Victor Harris for 27 yards (tackle by Kevin Ellison)",0.000,1.990
3,1:06,1,10,PHI 46,9,28,Donovan McNabb pass incomplete deep right intended for DeSean Jackson,1.990,1.450
3,1:01,2,10,PHI 46,9,28,Donovan McNabb pass complete deep left to Jeremy Maclin for 28 yards (tackle by Antonio Cromartie),1.450,3.840
3,0:35,1,10,SDG 26,9,28,Donovan McNabb sacked by Paul Oliver for -8 yards,3.840,2.220
3,0:23,2,18,SDG 34,9,28,Donovan McNabb pass incomplete short middle intended for Jeremy Maclin (defended by Kevin Burnett),2.220,1.550
3,0:18,3,18,SDG 34,9,28,Donovan McNabb pass complete deep right to Jason Avant for 21 yards (tackle by Quentin Jammer),1.550,4.710
Quarter,Time,Down,ToGo,Location,PHI,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 13,9,28,"LeSean McCoy middle for 2 yards (tackle by Travis Johnson and Alfonso Boone). Penalty on Steve Gregory: Unnecessary Roughness, 6 yards",4.710,6.060
4,14:30,1,5,SDG 5,9,28,Donovan McNabb pass incomplete short right intended for Leonard Weaver,6.060,5.150
4,14:25,2,5,SDG 5,9,28,Donovan McNabb pass incomplete short middle intended for Brent Celek (defended by Stephen Cooper),5.150,4.260
4,14:20,3,5,SDG 5,15,28,"Donovan McNabb pass complete short left to Jeremy Maclin for 5 yards, touchdown",4.260,7.000
4,,,,SDG 2,16,28,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,16,28,"David Akers kicks off 69 yards, returned by Darren Sproles for 27 yards (tackle by Joe Mays)",0.000,0.810
4,14:06,1,10,SDG 28,16,28,LaDainian Tomlinson right tackle for 2 yards (tackle by Chris Gocong and Moise Fokou),0.810,0.530
4,13:25,2,8,SDG 30,16,28,Philip Rivers sacked by Juqua Parker for -7 yards,0.530,-1.090
4,12:42,3,15,SDG 23,16,28,Philip Rivers pass complete short left to Darren Sproles for 11 yards (tackle by Quintin Mikell). Penalty on Marcus McNeill: Illegal Formation (Declined),-1.090,-1.110
4,12:31,4,4,SDG 34,16,28,Mike Scifres punts 50 yards (tackle by Jacob Hester),-1.110,-0.480
4,12:19,1,10,PHI 23,16,28,Donovan McNabb pass complete short right to DeSean Jackson for 11 yards (tackle by Paul Oliver),0.480,1.200
4,11:50,1,10,PHI 34,16,28,Donovan McNabb pass complete short right to Jason Avant for 6 yards (tackle by Quentin Jammer),1.200,1.470
4,11:40,2,4,PHI 40,16,28,Donovan McNabb pass complete short left to Jason Avant for 11 yards (tackle by Eric Weddle),1.470,2.320
4,11:11,1,10,SDG 49,16,28,Donovan McNabb pass complete short right to LeSean McCoy for 5 yards (tackle by Steve Gregory and Shaun Phillips),2.320,2.460
4,10:49,2,5,SDG 44,16,28,Donovan McNabb pass complete short middle to Jason Avant for 10 yards (tackle by Stephen Cooper),2.460,3.310
4,10:22,1,10,SDG 34,16,28,"Donovan McNabb pass complete short middle to Reggie Brown for 22 yards (tackle by Eric Weddle). Penalty on Todd Herremans: Offensive Holding, 10 yards (no play)",3.310,2.650
4,9:54,1,20,SDG 44,16,28,Donovan McNabb pass complete short left to Brent Celek for 13 yards (tackle by Eric Weddle),2.650,3.180
4,9:19,2,7,SDG 31,16,28,Donovan McNabb pass complete short right to LeSean McCoy for 5 yards (tackle by Stephen Cooper),3.180,3.140
4,8:48,3,2,SDG 26,16,28,LeSean McCoy right end for -2 yards (tackle by Shaun Phillips),3.140,1.650
4,8:34,,,,16,28,Timeout #2 by Philadelphia Eagles,0.000,1.650
4,8:34,4,4,SDG 28,16,28,Donovan McNabb pass complete deep middle to Brent Celek for 17 yards (tackle by Eric Weddle),1.650,4.840
4,7:59,1,10,SDG 11,16,28,LeSean McCoy right tackle for 5 yards (tackle by Paul Oliver),4.840,5.080
4,7:24,2,5,SDG 6,16,28,Donovan McNabb pass incomplete short right intended for Brent Celek,5.080,4.210
4,7:18,3,5,SDG 6,22,28,"Donovan McNabb pass complete short middle to Brent Celek for 6 yards, touchdown. Penalty on Paul Oliver: Illegal Contact (Declined)",4.210,7.000
4,,,,SDG 2,23,28,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,23,28,"David Akers kicks off 68 yards, returned by Darren Sproles for 21 yards (tackle by Eldra Buckley)",0.000,0.480
4,7:06,1,10,SDG 23,23,28,Philip Rivers pass complete short right to Mike Tolbert for 5 yards (tackle by Moise Fokou),0.480,0.610
4,6:30,2,5,SDG 28,23,28,Philip Rivers pass complete short left to Vincent Jackson for 10 yards (tackle by Dimitri Patterson),0.610,1.470
4,5:50,1,10,SDG 38,23,28,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,1.470,0.920
4,5:41,,,,23,28,Timeout #1 by San Diego Chargers,0.000,0.920
4,5:41,2,10,SDG 38,23,28,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Dimitri Patterson),0.920,0.760
4,4:54,3,6,SDG 42,23,28,Philip Rivers pass complete short middle to Antonio Gates for 17 yards (tackle by Dimitri Patterson),0.760,2.850
4,4:10,1,10,PHI 41,23,28,LaDainian Tomlinson middle for 4 yards (tackle by Quintin Mikell and Sean Jones),2.850,2.850
4,3:30,2,6,PHI 37,23,28,LaDainian Tomlinson right end for 4 yards (tackle by Quintin Mikell),2.850,2.680
4,2:45,3,2,PHI 33,23,28,Philip Rivers pass complete short middle to Legedu Naanee for 18 yards (tackle by Victor Harris and Will Witherspoon),2.680,4.580
4,2:25,,,,23,28,Timeout #3 by Philadelphia Eagles,0.000,4.580
4,2:25,1,10,PHI 15,23,28,LaDainian Tomlinson middle for 2 yards (tackle by Sean Jones),4.580,4.280
4,2:00,2,8,PHI 13,23,28,LaDainian Tomlinson middle for 2 yards (tackle by Moise Fokou),4.280,3.780
4,1:19,3,6,PHI 11,23,28,LaDainian Tomlinson left end for no gain (tackle by Dimitri Patterson),3.780,2.720
4,0:33,,,,23,28,Timeout #2 by San Diego Chargers,0.000,2.720
4,0:33,4,6,PHI 11,23,31,Nate Kaeding 29 yard field goal good,2.720,3.000
4,,,,SDG 30,23,31,"Nate Kaeding kicks off 66 yards, returned by Victor Harris for 30 yards (tackle by Paul Oliver)",0.000,1.200
4,0:24,1,10,PHI 34,23,31,Donovan McNabb pass complete deep left to DeSean Jackson for 17 yards,1.200,2.320
4,0:18,1,10,SDG 49,23,31,Donovan McNabb pass incomplete short right intended for DeSean Jackson,2.320,1.780
4,0:13,2,10,SDG 49,23,31,Donovan McNabb pass complete short left to Jeremy Maclin for 15 yards,1.780,3.310
4,0:09,1,10,SDG 34,23,31,Donovan McNabb pass incomplete deep left intended for Jeremy Maclin,3.310,2.770
4,0:02,2,10,SDG 34,23,31,Donovan McNabb pass incomplete deep right intended for Jason Avant is intercepted by Antonio Cromartie at SDG-0,2.770,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
