Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
3,14:53,1,10,LAR 18,3,10,Darrell Henderson up the middle for 3 yards (tackle by Barkevious Mingo),0.040,0.010
3,14:16,2,7,LAR 21,3,10,"Jared Goff pass incomplete deep left intended for Cooper Kupp. Penalty on Jaylon Johnson: Defensive Pass Interference, 22 yards. Penalty on Akiem Hicks: Roughing the Passer, 22 yards (no play)",0.010,1.800
3,14:09,1,10,LAR 43,3,10,Jared Goff pass complete short middle to Cooper Kupp for -5 yards (tackle by Roy Robertson-Harris),1.800,0.580
3,13:38,2,15,LAR 38,3,10,Jared Goff pass complete short middle to Cooper Kupp for 13 yards (tackle by Danny Trevathan),0.580,1.620
3,13:16,3,2,CHI 49,3,10,"Darrell Henderson up the middle for 4 yards (tackle by Danny Trevathan). Penalty on Andrew Whitworth: Offensive Offside, 5 yards (no play)",1.620,0.960
3,12:54,3,7,LAR 46,3,10,"Penalty on Akiem Hicks: Neutral Zone Infraction, 5 yards (no play)",0.960,1.620
3,12:39,3,2,CHI 49,3,10,"Jared Goff sacked by Khalil Mack for -9 yards. Jared Goff fumbles (forced by Khalil Mack), recovered by Austin Corbett at LA-42",1.620,-0.590
3,11:57,4,11,LAR 42,3,10,Johnny Hekker punts 57 yards downed by Nsimba Webster,-0.590,0.380
3,11:49,1,10,CHI 1,3,10,David Montgomery up the middle for 1 yard (tackle by Micah Kiser). Penalty on Demetrius Harris: Offensive Holding (Declined),-0.380,-0.710
3,11:28,2,9,CHI 2,3,10,David Montgomery right tackle for 3 yards (tackle by Michael Brockers),-0.710,-0.950
3,10:45,3,6,CHI 5,3,10,Nick Foles pass incomplete deep left intended for Darnell Mooney,-0.950,-2.490
3,10:39,4,6,CHI 5,3,10,"Pat O'Donnell punts 49 yards, returned by Nsimba Webster for -1 yards (tackle by Joel Iyiegbuniwe)",-2.490,-1.930
3,10:27,1,10,LAR 45,3,10,Robert Woods left end for 5 yards (tackle by Eddie Jackson),1.930,2.060
3,9:46,2,5,LAR 50,3,10,Jared Goff pass incomplete deep left intended for Josh Reynolds,2.060,1.360
3,9:40,3,5,LAR 50,3,10,Jared Goff pass complete short right to Josh Reynolds for 21 yards (tackle by Eddie Jackson),1.360,3.640
3,9:18,1,10,CHI 29,3,10,Jared Goff pass complete short right to Robert Woods for 6 yards,3.640,3.910
3,8:59,2,4,CHI 23,3,10,Jared Goff pass complete short middle to Cooper Kupp for 10 yards (tackle by Buster Skrine),3.910,4.710
3,8:39,1,10,CHI 13,3,10,Malcolm Brown left guard for 12 yards (tackle by Roquan Smith). Penalty on Akiem Hicks: Unsportsmanlike Conduct,4.710,6.970
3,8:09,1,1,CHI 1,3,16,"Malcolm Brown up the middle for 1 yard, touchdown",6.970,7.000
3,8:06,,,CHI 15,3,17,Sam Sloman kicks extra point good,0.000,0.000
3,8:06,,,LAR 35,3,17,"Sam Sloman kicks off 68 yards, returned by Cordarrelle Patterson for 23 yards (tackle by Terrell Burgess)",0.000,0.280
3,8:00,1,10,CHI 20,3,17,Nick Foles pass complete short left to Demetrius Harris for 9 yards (tackle by Taylor Rapp and Troy Hill),0.280,0.950
3,7:29,2,1,CHI 29,3,17,David Montgomery up the middle for 5 yards (tackle by Justin Hollins and Micah Kiser),0.950,1.200
3,7:02,1,10,CHI 34,3,17,Nick Foles pass complete short middle to Jimmy Graham for 14 yards (tackle by Taylor Rapp and John Johnson),1.200,2.130
3,6:35,1,10,CHI 48,3,17,David Montgomery up the middle for 11 yards (tackle by Kenny Young),2.130,2.850
3,6:04,1,10,LAR 41,3,17,"Nick Foles pass incomplete deep right intended for Allen Robinson. Penalty on Darious Williams: Defensive Pass Interference, 26 yards (no play)",2.850,4.580
3,5:58,1,10,LAR 15,3,17,Nick Foles pass complete short right to Demetrius Harris for 6 yards (tackle by Leonard Floyd),4.580,5.030
3,5:14,2,4,LAR 9,3,17,Nick Foles pass short left (defended by Troy Hill) intended for Darnell Mooney is intercepted by Taylor Rapp at LA-0 and returned for no gain,5.030,-0.280
3,5:07,1,10,LAR 20,3,17,Jared Goff pass complete short right to Gerald Everett for 3 yards (tackle by Eddie Jackson),0.280,0.140
3,4:41,2,7,LAR 23,3,17,Jared Goff pass complete short left to Darrell Henderson for 11 yards (tackle by Danny Trevathan and Roquan Smith),0.140,1.200
3,4:14,1,10,LAR 34,3,17,Jared Goff pass incomplete short middle intended for Gerald Everett,1.200,0.660
3,4:09,2,10,LAR 34,3,17,Robert Woods right end for 25 yards (tackle by James Vaughters),0.660,2.850
3,3:37,1,10,CHI 41,3,17,Jared Goff pass complete short middle to Cooper Kupp for 8 yards (tackle by Buster Skrine),2.850,3.390
3,3:02,2,2,CHI 33,3,17,Darrell Henderson up the middle for 10 yards (tackle by Eddie Jackson),3.390,4.040
3,2:19,1,10,CHI 23,3,17,Darrell Henderson left end for 11 yards (tackle by Roquan Smith),4.040,4.780
3,1:39,,,,,,Timeout #1 by Los Angeles Rams,,
3,1:39,1,10,CHI 12,3,23,"Jared Goff pass complete short left to Gerald Everett for 12 yards, touchdown",4.780,7.000
3,1:34,,,CHI 15,3,24,Sam Sloman kicks extra point good,0.000,0.000
3,1:34,,,LAR 35,3,24,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
3,1:34,1,10,CHI 25,3,24,Cordarrelle Patterson right end for 2 yards (tackle by Leonard Floyd),0.610,0.330
3,1:12,2,8,CHI 27,3,24,Nick Foles pass complete short right to David Montgomery for no gain (tackle by John Johnson and Taylor Rapp),0.330,-0.360
3,0:28,3,8,CHI 27,3,24,Nick Foles pass complete short left to Anthony Miller for 7 yards (tackle by Troy Hill),-0.360,-1.110
3,0:10,4,1,CHI 34,3,24,Cordarrelle Patterson left end for -2 yards (tackle by Terrell Lewis),-1.110,-3.450
3,0:07,1,10,CHI 32,3,24,"Cam Akers left end for 4 yards (tackle by Roquan Smith). Penalty on Gerald Everett: Offensive Offside, 5 yards (no play)",3.450,3.120
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,CHI 37,3,24,Malcolm Brown up the middle for 1 yard (tackle by Akiem Hicks and Bilal Nichols),3.120,2.360
4,14:15,2,14,CHI 36,3,24,Malcolm Brown right tackle for 9 yards (tackle by Roquan Smith),2.360,2.870
4,13:29,3,5,CHI 27,3,24,Malcolm Brown up the middle for -3 yards (tackle by Khalil Mack),2.870,1.410
4,12:50,4,8,CHI 30,3,24,Sam Sloman 48 yard field goal no good,1.410,-1.470
4,12:45,1,10,CHI 38,3,24,Nick Foles pass complete deep left to Allen Robinson for 42 yards (tackle by Jalen Ramsey),1.470,4.240
4,12:12,1,10,LAR 20,3,24,Nick Foles pass complete short left to David Montgomery for 3 yards (tackle by Taylor Rapp),4.240,4.120
4,11:42,2,7,LAR 17,3,24,David Montgomery left guard for 6 yards (tackle by Terrell Burgess and Micah Kiser),4.120,4.590
4,11:19,3,1,LAR 11,3,24,David Montgomery up the middle for 3 yards (tackle by Michael Brockers and Micah Kiser),4.590,5.370
4,10:38,1,8,LAR 8,3,24,Nick Foles pass complete short right to Jimmy Graham for 4 yards (tackle by Kenny Young),5.370,5.340
4,9:55,2,4,LAR 4,3,24,David Montgomery left guard for no gain (tackle by Aaron Donald and Micah Kiser),5.340,4.490
4,9:16,3,4,LAR 4,3,24,Nick Foles pass incomplete short right intended for Anthony Miller (defended by Darious Williams),4.490,3.030
4,9:12,4,4,LAR 4,3,24,Nick Foles sacked by Justin Hollins for -8 yards,3.030,0.350
4,9:06,1,10,LAR 12,3,24,Darrell Henderson left end for 5 yards (tackle by Roquan Smith),-0.350,-0.230
4,8:19,2,5,LAR 17,3,24,Darrell Henderson right tackle for 1 yard (tackle by Roquan Smith),-0.230,-0.720
4,7:35,3,4,LAR 18,9,24,"Robert Woods left end for -4 yards (tackle by Robert Quinn). Robert Woods fumbles (forced by Robert Quinn), recovered by Eddie Jackson at LA-8 and returned for 8 yards, touchdown. Penalty on Johnny Mundt: Offensive Holding (Declined)",-0.720,-7.000
4,7:30,,,LAR 15,10,24,Cairo Santos kicks extra point good,0.000,0.000
4,7:30,,,CHI 35,10,24,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,7:30,1,10,LAR 25,10,24,Darrell Henderson up the middle for 3 yards (tackle by Bilal Nichols and John Jenkins),0.610,0.470
4,6:45,2,7,LAR 28,10,24,Darrell Henderson right end for -2 yards (tackle by Barkevious Mingo),0.470,-0.490
4,6:02,3,9,LAR 26,10,24,Darrell Henderson up the middle for 5 yards (tackle by Khalil Mack),-0.490,-1.310
4,5:17,4,4,LAR 31,10,24,Johnny Hekker punts 63 yards downed by Nsimba Webster,-1.310,0.380
4,5:08,1,10,CHI 6,10,24,Nick Foles pass incomplete deep right,-0.380,-0.780
4,5:02,2,10,CHI 6,10,24,Nick Foles pass incomplete deep middle intended for Anthony Miller (defended by John Johnson),-0.780,-1.420
4,4:55,3,10,CHI 6,10,24,Nick Foles pass complete short left to David Montgomery for 7 yards (tackle by Troy Hill and Taylor Rapp),-1.420,-2.490
4,4:11,4,3,CHI 13,10,24,Nick Foles pass complete short middle to Allen Robinson for 6 yards (tackle by Nick Scott),-2.490,0.150
4,3:43,1,10,CHI 19,10,24,Nick Foles pass complete short right to David Montgomery for 5 yards (tackle by Jalen Ramsey),0.150,0.340
4,3:19,2,5,CHI 24,10,24,Nick Foles pass deep right intended for Jimmy Graham is intercepted by Jalen Ramsey at CHI-41 and returned for 2 yards,0.340,-2.980
4,3:13,1,10,CHI 39,10,24,Darrell Henderson right end for -1 yards (tackle by Roquan Smith),2.980,2.300
4,3:09,,,,,,Timeout #1 by Chicago Bears,,
4,3:09,2,11,CHI 40,10,24,Darrell Henderson left tackle for 2 yards (tackle by Bilal Nichols and Danny Trevathan),2.300,1.880
4,3:04,,,,,,Timeout #2 by Chicago Bears,,
4,3:04,3,9,CHI 38,10,24,Jared Goff left end for -3 yards (tackle by Akiem Hicks),1.880,0.530
4,2:58,,,,,,Timeout #3 by Chicago Bears,,
4,2:58,4,12,CHI 41,10,24,Johnny Hekker punts 36 yards downed by Samson Ebukam,0.530,0.380
4,2:46,1,10,CHI 5,10,24,Nick Foles pass complete short right to Jimmy Graham for 7 yards (tackle by Taylor Rapp),-0.380,-0.270
4,2:41,2,3,CHI 12,10,24,Nick Foles pass complete deep middle to Darnell Mooney for 19 yards (tackle by Troy Hill),-0.270,1.000
4,2:18,1,10,CHI 31,10,24,Nick Foles pass incomplete deep right,1.000,0.460
4,2:11,2,10,CHI 31,10,24,Nick Foles pass complete short middle to David Montgomery for 6 yards (tackle by Micah Kiser),0.460,0.560
4,2:00,3,4,CHI 37,10,24,Nick Foles pass complete short right to Anthony Miller for 5 yards (tackle by Troy Hill),0.560,1.730
4,1:56,1,10,CHI 42,10,24,Nick Foles pass incomplete deep right intended for Darnell Mooney,1.730,1.190
4,1:49,2,10,CHI 42,10,24,Nick Foles pass complete short left to Jimmy Graham for no gain (tackle by John Johnson),1.190,0.500
4,1:42,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:42,3,10,CHI 42,10,24,Nick Foles sacked by Leonard Floyd for -8 yards,0.500,-1.110
4,1:10,,,,,,Timeout #3 by Los Angeles Rams,,
4,1:10,4,18,CHI 34,10,24,Nick Foles pass incomplete deep left intended for Javon Wims,-1.110,-3.380
4,1:04,1,10,CHI 33,10,24,Jared Goff kneels for -1 yards,3.380,2.700
4,0:34,2,11,CHI 34,10,24,Jared Goff kneels for -1 yards,2.700,1.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
