Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
2,2:40,3,10,NYG 14,24,10,Eli Manning pass incomplete deep right intended for Roger Lewis is intercepted by Trumaine Johnson at NYG-30,-1.400,-3.580
2,2:34,1,10,NYG 30,24,10,Tavon Austin right end for 2 yards (tackle by Avery Moss),3.580,3.300
2,2:00,2,8,NYG 28,24,10,Todd Gurley left guard for no gain (tackle by Jason Pierre-Paul),3.300,2.610
2,1:26,3,8,NYG 28,24,10,Jared Goff pass incomplete short middle intended for Tyler Higbee,2.610,1.590
2,1:18,4,8,NYG 28,27,10,Greg Zuerlein 46 yard field goal good,1.590,3.000
2,1:13,,,LAR 35,27,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,1:13,1,10,NYG 25,27,10,Eli Manning pass complete short right to Shane Vereen for 4 yards (tackle by Trumaine Johnson),0.610,0.600
2,1:08,2,6,NYG 29,27,10,Eli Manning pass incomplete short right intended for Evan Engram,0.600,-0.100
2,1:05,3,6,NYG 29,27,10,Eli Manning pass complete deep middle to Evan Engram for 26 yards (tackle by Mark Barron and John Johnson),-0.100,2.590
2,0:46,1,10,LAR 45,27,10,Eli Manning pass complete short middle to Shane Vereen for 8 yards (tackle by Mark Barron and Trumaine Johnson),2.590,0.000
2,0:39,,,,,,Timeout #2 by New York Giants,0.000,-3.120
2,0:39,2,2,LAR 37,27,10,Eli Manning pass complete short left to Sterling Shepard for 5 yards (tackle by John Johnson and Kayvon Webster),3.120,3.450
2,0:22,1,10,LAR 32,27,10,Eli Manning pass incomplete short left intended for Evan Engram,3.450,2.900
2,0:18,2,10,LAR 32,27,10,"Eli Manning sacked by Aaron Donald for -4 yards. Eli Manning fumbles (forced by Aaron Donald), recovered by Eli Manning at LAR-35. Penalty on Mark Barron: Defensive Holding, 5 yards (no play)",2.900,0.000
2,0:14,,,,,,Timeout #1 by Los Angeles Rams,0.000,-3.780
2,0:14,1,10,LAR 27,27,10,Eli Manning pass incomplete deep middle intended for Tavarres King,3.780,3.230
2,0:09,2,10,LAR 27,27,10,Eli Manning pass incomplete deep left intended for Tavarres King,3.230,2.540
2,0:04,3,10,LAR 27,27,10,Aldrick Rosas 45 yard field goal no good,2.540,1.200
Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,27,10,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,LAR 25,27,10,Todd Gurley right guard for 4 yards (tackle by Devon Kennard and Curtis Grant),0.610,0.600
3,14:30,2,6,LAR 29,27,10,Todd Gurley left guard for 4 yards (tackle by Damon Harrison and Calvin Munson),0.600,0.430
3,13:48,3,2,LAR 33,27,10,Jared Goff pass complete short right to Robert Woods for 10 yards (tackle by Calvin Munson),0.430,1.800
3,13:23,1,10,LAR 43,27,10,Jared Goff pass complete deep right to Cooper Kupp for 35 yards (tackle by Darian Thompson),1.800,4.110
3,12:42,1,10,NYG 22,27,10,Tavon Austin left end for 21 yards (tackle by Ross Cockrell and Landon Collins),4.110,6.970
3,12:14,1,1,NYG 1,27,10,Todd Gurley middle for no gain (tackle by Avery Moss),6.970,5.910
3,11:42,2,1,NYG 1,33,10,"Todd Gurley right guard for 1 yard, touchdown",5.910,7.000
3,11:34,,,NYG 15,34,10,Greg Zuerlein kicks extra point good,0.000,0.000
3,11:34,,,LAR 35,34,10,"Greg Zuerlein kicks off 67 yards, returned by Shane Vereen for 21 yards (tackle by Nickell Robey-Coleman)",0.000,-0.150
3,11:30,1,10,NYG 19,34,10,Orleans Darkwa middle for 1 yard (tackle by Michael Brockers),0.150,-0.200
3,10:51,2,9,NYG 20,34,10,Eli Manning pass incomplete short middle intended for Evan Engram,-0.200,-0.940
3,10:44,3,9,NYG 20,34,10,Eli Manning pass complete short middle to Sterling Shepard for 11 yards (tackle by Lamarcus Joyner),-0.940,0.000
3,9:59,,,,,,Timeout #1 by New York Giants,0.000,-1.000
3,9:59,1,10,NYG 31,34,10,"Eli Manning pass complete short right to Evan Engram for 5 yards (tackle by Trumaine Johnson). Penalty on Sterling Shepard: Offensive Pass Interference, 10 yards (no play)",1.000,0.340
3,9:38,1,20,NYG 21,34,10,Eli Manning pass complete short right to Rhett Ellison for 7 yards (tackle by Mark Barron and Nickell Robey-Coleman),0.340,0.060
3,8:58,2,13,NYG 28,34,10,Eli Manning sacked by Connor Barwin for -9 yards,0.060,-1.940
3,8:19,3,22,NYG 19,34,10,Eli Manning pass incomplete short right intended for Ed Eagan,-1.940,-2.140
3,8:13,4,22,NYG 19,34,10,"Brad Wing punts 56 yards, returned by Pharoh Cooper for 30 yards (tackle by Andrew Adams)",-2.140,-2.590
3,7:57,1,10,NYG 45,34,10,Jared Goff pass incomplete short right intended for Robert Woods,2.590,2.040
3,7:52,2,10,NYG 45,34,10,Jared Goff pass complete short left to Todd Gurley for 44 yards (tackle by Calvin Munson),2.040,6.970
3,7:17,1,1,NYG 1,34,10,Todd Gurley right guard for -3 yards (tackle by Ross Cockrell and Calvin Munson),6.970,5.340
3,6:34,2,4,NYG 4,40,10,"Jared Goff pass complete short middle to Robert Woods for 4 yards, touchdown",5.340,7.000
3,6:27,,,NYG 15,41,10,Greg Zuerlein kicks extra point good,0.000,0.000
3,6:27,,,LAR 35,41,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,6:27,1,10,NYG 25,41,10,Orleans Darkwa left guard for 5 yards (tackle by Alec Ogletree),0.610,0.740
3,5:47,2,5,NYG 30,41,10,Eli Manning pass complete short right to Orleans Darkwa for 4 yards (tackle by Alec Ogletree),0.740,0.560
3,5:07,3,1,NYG 34,41,10,Eli Manning pass incomplete short left intended for Shane Vereen,0.560,-1.110
3,5:03,4,1,NYG 34,41,10,"Brad Wing punts, blocked by Cory Littleton, recovered by Calvin Munson",-1.110,-4.370
3,4:54,1,10,NYG 18,41,10,Gerald Everett left end for 13 yards (tackle by Eli Apple and Landon Collins),4.370,6.060
3,4:12,1,5,NYG 5,41,10,Todd Gurley middle for 1 yard (tackle by Damon Harrison),6.060,5.340
3,3:34,2,4,NYG 4,47,10,"Todd Gurley left tackle for 4 yards, touchdown",5.340,7.000
3,3:28,,,NYG 15,48,10,Greg Zuerlein kicks extra point good,0.000,0.000
3,3:28,,,LAR 35,48,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,3:28,1,10,NYG 25,48,10,Orleans Darkwa right guard for 6 yards (tackle by Samson Ebukam),0.610,0.870
3,2:59,2,4,NYG 31,48,10,Orleans Darkwa right tackle for 3 yards (tackle by Trumaine Johnson),0.870,0.560
3,2:21,3,1,NYG 34,48,10,Orleans Darkwa middle for no gain (tackle by John Johnson and Lamarcus Joyner),0.560,-1.110
3,1:33,4,1,NYG 34,48,10,"Brad Wing punts 66 yards, touchback",-1.110,-0.280
3,1:23,1,10,LAR 20,48,10,Malcolm Brown left tackle for 2 yards (tackle by Damon Harrison),0.280,0.000
3,0:41,2,8,LAR 22,48,10,Malcolm Brown right guard for no gain (tackle by Dalvin Tomlinson and Devon Kennard),0.000,-0.690
Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,LAR 22,48,10,Jared Goff pass complete short left to Pharoh Cooper for 9 yards (tackle by Darian Thompson and Calvin Munson),-0.690,1.000
4,14:19,1,10,LAR 31,48,10,Malcolm Brown left end for no gain (tackle by Landon Collins and Damon Harrison),1.000,0.460
4,13:37,2,10,LAR 31,48,10,Malcolm Brown right end for 9 yards (tackle by Landon Collins),0.460,0.960
4,12:58,3,1,LAR 40,48,10,Malcolm Brown right tackle for no gain (tackle by Jason Pierre-Paul),0.960,0.000
4,12:41,,,,,,Timeout #1 by Los Angeles Rams,0.000,0.720
4,12:41,4,1,LAR 40,48,10,"Penalty on Dominique Hatfield: False Start, 5 yards (no play)",-0.720,-1.040
4,12:41,4,6,LAR 35,48,10,"Johnny Hekker punts 37 yards, out of bounds",-1.040,-0.810
4,12:33,1,10,NYG 28,48,10,Wayne Gallman left tackle for 2 yards (tackle by Blake Countess and Cory Littleton),0.810,0.530
4,11:59,2,8,NYG 30,48,10,Eli Manning pass complete short right to Rhett Ellison for 14 yards (tackle by Marqui Christian and Blake Countess),0.530,1.860
4,11:24,1,10,NYG 44,48,10,Wayne Gallman right tackle for 4 yards (tackle by Bryce Hager and Troy Hill),1.860,1.860
4,10:54,2,6,NYG 48,48,10,Wayne Gallman right guard for 5 yards (tackle by Troy Hill),1.860,1.820
4,10:18,3,1,LAR 47,48,10,Eli Manning pass complete deep left to Sterling Shepard for 37 yards (tackle by Marqui Christian),1.820,4.910
4,9:40,1,10,LAR 10,48,16,"Eli Manning pass complete short left to Evan Engram for 10 yards, touchdown",4.910,7.000
4,9:33,,,LAR 15,48,17,Aldrick Rosas kicks extra point good,0.000,0.000
4,9:33,,,NYG 35,48,17,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
4,9:33,1,10,LAR 25,48,17,Malcolm Brown right end for 4 yards (tackle by Avery Moss),0.610,0.600
4,8:50,2,6,LAR 29,48,17,Malcolm Brown right end for 16 yards (tackle by Jordan Williams),0.600,1.930
4,8:10,1,10,LAR 45,48,17,Malcolm Brown left tackle for 10 yards (tackle by Curtis Grant and Keenan Robinson),1.930,2.590
4,7:23,1,10,NYG 45,48,17,Malcolm Brown right tackle for 5 yards (tackle by Andrew Adams and Keenan Robinson),2.590,2.720
4,6:42,2,5,NYG 40,48,17,Malcolm Brown left end for no gain (tackle by Ross Cockrell and Dominique Rodgers-Cromartie),2.720,2.010
4,6:00,3,5,NYG 40,48,17,Tavon Austin right tackle for 7 yards (tackle by Ross Cockrell and Devin Taylor),2.010,3.380
4,5:10,1,10,NYG 33,48,17,Malcolm Brown middle for 3 yards (tackle by Andrew Adams and Curtis Grant),3.380,3.240
4,4:26,2,7,NYG 30,48,17,Malcolm Brown right tackle for no gain (tackle by Dalvin Tomlinson),3.240,2.540
4,3:42,3,7,NYG 30,48,17,Tavon Austin left end for 1 yard (tackle by Dalvin Tomlinson),2.540,1.520
4,3:03,4,6,NYG 29,51,17,Greg Zuerlein 47 yard field goal good,1.520,3.000
4,2:53,,,LAR 35,51,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,2:53,1,10,NYG 25,51,17,Wayne Gallman right end for 4 yards (tackle by Cory Littleton),0.610,0.600
4,2:28,2,6,NYG 29,51,17,Geno Smith pass incomplete short left intended for Tavarres King (defended by Cory Littleton),0.600,-0.100
4,2:22,3,6,NYG 29,51,17,Geno Smith pass incomplete deep middle intended for Evan Engram,-0.100,-1.440
4,2:18,4,6,NYG 29,51,17,"Brad Wing punts 50 yards, returned by Pharoh Cooper for 15 yards (tackle by Nat Berhe)",-1.440,-1.330
4,2:06,1,10,LAR 36,51,17,Sean Mannion kneels for -1 yards,1.330,0.660
4,2:00,2,11,LAR 35,51,17,Malcolm Brown right end for 2 yards (tackle by Jay Bromley and Jordan Williams),0.660,0.230
4,1:15,3,9,LAR 37,51,17,Malcolm Brown left end for 7 yards (tackle by Nigel Harris and Ross Cockrell),0.230,-0.460
4,0:29,4,2,LAR 44,51,17,"Malcolm Brown right end for -1 yards (tackle by Calvin Munson). Malcolm Brown fumbles (forced by Calvin Munson), recovered by Austin Blythe at LAR-43",-0.460,-2.720
4,0:22,1,10,LAR 43,51,17,Geno Smith kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
