Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
3,8:36,2,6,HOU 36,14,20,Ricky Williams left end for 9 yards (tackle by Brandon Harrison),2.910,3.780
3,7:52,1,10,HOU 27,14,20,Chad Pennington pass complete short middle to Patrick Cobbs for 5 yards (tackle by Will Demps),3.780,3.910
3,7:07,2,5,HOU 22,14,20,Chad Pennington pass complete short left to David Martin for 17 yards (tackle by Zach Diles),3.910,6.060
3,6:25,1,5,HOU 5,20,20,"Ricky Williams left end for 5 yards, touchdown",6.060,7.000
3,,,,HOU 2,21,20,Dan Carpenter kicks extra point good,0.000,0.000
3,,,,MIA 30,21,20,"Dan Carpenter kicks off 67 yards, returned by Andre' Davis for 22 yards (tackle by Casey Cramer)",0.000,0.610
3,6:12,1,10,HOU 25,21,20,Matt Schaub pass incomplete short middle intended for Ahman Green (defended by Channing Crowder),0.610,0.060
3,6:07,2,10,HOU 25,21,20,Ahman Green right guard for 13 yards (tackle by Michael Lehan and Renaldo Hill),0.060,1.470
3,5:25,1,10,HOU 38,21,20,Matt Schaub pass complete short right to Ahman Green for 2 yards (tackle by Channing Crowder),1.470,1.190
3,4:42,2,8,HOU 40,21,20,Matt Schaub pass incomplete short right intended for David Anderson (defended by Kendall Langford),1.190,0.500
3,4:36,3,8,HOU 40,21,20,Matt Schaub up the middle for 9 yards (tackle by Channing Crowder),0.500,2.190
3,3:54,1,10,HOU 49,21,20,Steve Slaton up the middle for 4 yards (tackle by Channing Crowder),2.190,2.190
3,3:18,2,6,MIA 47,21,20,Matt Schaub pass complete short middle to Steve Slaton for 3 yards (tackle by Reggie Torbor),2.190,1.880
3,2:33,3,3,MIA 44,21,20,Matt Schaub pass complete short right to Kevin Walter for 10 yards (tackle by Will Allen),1.880,3.310
3,1:56,1,10,MIA 34,21,20,Ahman Green up the middle for 5 yards (tackle by Joey Porter and Yeremiah Bell),3.310,3.450
3,1:56,2,5,MIA 29,21,20,"Penalty on Jason Ferguson: Defensive Offside, 5 yards (no play)",3.450,3.970
3,1:05,1,10,MIA 24,21,20,"Matt Schaub pass complete short right to Andre Johnson for 17 yards (tackle by Will Allen). Andre Johnson fumbles (forced by Will Allen), recovered by Yeremiah Bell at MIA-0",3.970,-0.280
3,0:55,1,10,MIA 20,21,20,"Penalty on Travis Johnson: Defensive Offside, 5 yards (no play)",0.280,1.010
3,0:27,1,5,MIA 25,21,20,Ronnie Brown left guard for 2 yards (tackle by DeMeco Ryans),1.010,0.680
Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,MIA 27,21,20,Ronnie Brown up the middle for -1 yards (tackle by Will Demps and Jeff Zgonina),0.680,-0.160
4,14:20,3,4,MIA 26,21,20,Chad Pennington sacked by Mario Williams for -3 yards,-0.160,-1.830
4,13:56,4,7,MIA 23,21,20,"Brandon Fields punts 56 yards, returned by Jacoby Jones for 9 yards (tackle by Reggie Torbor). Penalty on Cecil Sapp: Running Into the Kicker (Declined)",-1.830,-0.940
4,13:40,1,10,HOU 30,21,20,Ahman Green right tackle for 4 yards (tackle by Joey Porter),0.940,0.930
4,13:05,2,6,HOU 34,21,20,Matt Schaub pass incomplete short left intended for Andre Johnson,0.930,0.230
4,12:59,3,6,HOU 34,21,20,Matt Schaub pass incomplete short middle intended for Andre' Davis (defended by Chris Crocker),0.230,-1.110
4,12:51,4,6,HOU 34,21,20,"Matt Turk punts 58 yards, returned by Davone Bess for 25 yards (tackle by Joel Dreessen). Penalty on Tyrone Culver: Offensive Holding, 10 yards",-1.110,-0.480
4,12:40,1,10,MIA 23,21,20,Ronnie Brown up the middle for 2 yards (tackle by Brandon Harrison),0.480,0.200
4,11:53,,,,21,20,Timeout #1 by Miami Dolphins,0.000,0.200
4,11:53,2,8,MIA 25,21,20,Chad Pennington pass incomplete short middle intended for Anthony Fasano,0.200,-0.490
4,11:49,3,8,MIA 25,21,20,Chad Pennington pass complete short right to Davone Bess for 10 yards (tackle by Fred Bennett),-0.490,1.270
4,11:21,1,10,MIA 35,21,20,Ronnie Brown right guard for 4 yards (tackle by DelJuan Robinson),1.270,1.260
4,10:40,2,6,MIA 39,21,20,Ricky Williams right end for 4 yards (tackle by Morlon Greenwood),1.260,1.090
4,10:13,3,2,MIA 43,21,20,Chad Pennington pass complete short right to Casey Cramer for 1 yard (tackle by Morlon Greenwood),1.090,-0.460
,,,,,,,"MIA challenged the first down ruling, and the play was upheld.",,
4,9:50,4,1,MIA 44,21,20,"Brandon Fields punts 56 yards, touchback",-0.460,-0.280
4,9:43,1,10,HOU 20,21,20,Matt Schaub pass incomplete short left intended for Andre Johnson,0.280,-0.270
4,9:39,2,10,HOU 20,21,20,Matt Schaub pass complete short middle to Owen Daniels for 10 yards (tackle by Yeremiah Bell),-0.270,0.940
4,9:02,1,10,HOU 30,21,20,Matt Schaub pass complete deep right to Kevin Walter for 30 yards (tackle by Yeremiah Bell),0.940,2.920
4,8:20,1,10,MIA 40,21,20,Steve Slaton up the middle for 15 yards (tackle by Yeremiah Bell),2.920,3.910
4,7:36,1,10,MIA 25,21,20,Steve Slaton left guard for 1 yard (tackle by Matt Roth),3.910,3.500
4,6:55,2,9,MIA 24,21,20,Steve Slaton right tackle for no gain (tackle by Randy Starks and Channing Crowder),3.500,2.810
4,6:13,3,9,MIA 24,21,20,Matt Schaub pass incomplete short middle intended for Kevin Walter,2.810,1.870
4,6:08,4,9,MIA 24,21,23,Kris Brown 42 yard field goal good,1.870,3.000
4,,,,HOU 30,21,23,"Kris Brown kicks off 70 yards, touchback",0.000,0.280
4,6:04,1,10,MIA 20,21,23,Chad Pennington pass complete short right to Greg Camarillo for 7 yards (tackle by Demarcus Faggins),0.280,0.680
4,5:28,2,3,MIA 27,21,23,Ricky Williams right guard for 2 yards (tackle by Travis Johnson),0.680,0.230
4,4:46,3,1,MIA 29,21,23,Ronnie Brown left tackle for 2 yards (tackle by DeMeco Ryans and Will Demps),0.230,1.000
4,4:04,1,10,MIA 31,21,23,Chad Pennington pass complete short right to Greg Camarillo for 5 yards (tackle by Demarcus Faggins),1.000,1.140
4,3:23,2,5,MIA 36,21,23,Chad Pennington pass incomplete short left intended for Greg Camarillo (defended by Jacques Reeves),1.140,0.430
4,3:18,3,5,MIA 36,21,23,"Chad Pennington pass incomplete short middle intended for Anthony Fasano is intercepted by Eugene Wilson at MIA-46 and returned for 19 yards (tackle by Greg Camarillo). Eugene Wilson fumbles (forced by Greg Camarillo), recovered by Justin Smiley at MIA-27 (tackle by Eugene Wilson)",0.430,0.740
4,3:04,1,10,MIA 27,21,23,Ricky Williams up the middle for 10 yards (tackle by Eugene Wilson and Brandon Harrison),0.740,1.400
4,2:28,1,10,MIA 37,21,23,Chad Pennington pass complete short right to Anthony Fasano for 12 yards (tackle by Brandon Harrison),1.400,2.190
4,2:06,1,10,MIA 49,21,23,Chad Pennington pass complete deep right to Ronnie Brown for 39 yards (tackle by Nick Ferguson),2.190,4.780
4,1:57,1,10,HOU 12,21,23,Ronnie Brown left end for 6 yards (tackle by Morlon Greenwood),4.780,5.210
4,1:51,,,,21,23,Timeout #1 by Houston Texans,0.000,5.210
4,1:51,2,4,HOU 6,27,23,"Ronnie Brown up the middle for 6 yards, touchdown",5.210,7.000
4,,,,HOU 2,28,23,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,28,23,"Dan Carpenter kicks off 67 yards, returned by Andre' Davis for 21 yards (tackle by Chris Crocker)",0.000,0.540
4,1:40,1,10,HOU 24,28,23,Matt Schaub sacked by Joey Porter for -8 yards,0.540,-1.220
4,1:18,2,18,HOU 16,28,23,Matt Schaub pass complete deep left to Andre' Davis for 20 yards (tackle by Channing Crowder),-1.220,1.330
4,1:09,,,,28,23,Timeout #2 by Houston Texans,0.000,1.330
4,1:09,1,10,HOU 36,28,23,Matt Schaub pass incomplete short middle intended for Owen Daniels,1.330,0.790
4,1:02,2,10,HOU 36,28,23,Matt Schaub pass incomplete deep right intended for Andre' Davis,0.790,0.100
4,0:56,3,10,HOU 36,28,23,Matt Schaub pass incomplete short left intended for Andre Johnson,0.100,-0.980
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
4,0:52,4,10,HOU 36,28,23,Matt Schaub pass complete deep left to Andre Johnson for 23 yards (tackle by Yeremiah Bell),-0.980,2.850
4,0:52,1,10,MIA 41,28,23,Matt Schaub spiked the ball,2.850,2.310
4,0:29,2,10,MIA 41,28,23,Matt Schaub pass complete deep right to Kevin Walter for 30 yards (tackle by Renaldo Hill),2.310,4.840
4,0:23,1,10,MIA 11,28,23,Matt Schaub pass complete short left to Andre Johnson for 8 yards (tackle by Channing Crowder),4.840,5.660
4,0:16,,,,28,23,Timeout #3 by Houston Texans,0.000,5.660
4,0:16,2,2,MIA 3,28,23,Matt Schaub pass incomplete short middle intended for Andre' Davis (defended by Channing Crowder),5.660,4.890
4,0:12,3,2,MIA 3,28,23,Matt Schaub pass incomplete short middle intended for Andre Johnson (defended by Will Allen),4.890,3.050
4,0:07,4,2,MIA 3,28,29,"Matt Schaub up the middle for 3 yards, touchdown",3.050,7.000
4,0:03,,,,28,29,Timeout #3 by Miami Dolphins,0.000,0.000
4,,,,,28,29,"Two Point Attempt: Steve Slaton right guard, conversion fails",1.000,-1.000
4,,,,HOU 30,28,29,Kris Brown kicks off 29 yards,0.000,1.660
4,0:02,1,10,MIA 41,28,29,--,1.660,1.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
