Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,3,6,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,PHI 25,3,6,Carson Wentz pass complete short right to Torrey Smith for 6 yards (tackle by Marcus Peters),0.610,0.870
3,14:18,2,4,PHI 31,3,6,Carson Wentz pass incomplete short right intended for Zach Ertz (defended by Bennie Logan),0.870,0.170
3,14:16,3,4,PHI 31,3,6,Carson Wentz pass complete deep left to Torrey Smith for 24 yards (tackle by Phillip Gaines),0.170,2.590
3,13:40,1,10,KAN 45,3,6,Carson Wentz pass incomplete short middle intended for Zach Ertz,2.590,2.040
3,13:35,2,10,KAN 45,3,6,Darren Sproles right end for 3 yards (tackle by Justin Houston),2.040,1.750
3,12:56,3,7,KAN 42,3,6,Carson Wentz pass incomplete short left intended for Alshon Jeffery,1.750,0.460
3,12:49,4,7,KAN 42,3,6,"Donnie Jones punts 29 yards, fair catch by Tyreek Hill",0.460,0.320
3,12:42,1,10,KAN 13,3,6,Alex Smith pass complete short left to Albert Wilson for 12 yards (tackle by Fletcher Cox),-0.320,0.610
3,11:59,1,10,KAN 25,3,6,Alex Smith pass complete short middle to Tyreek Hill for 18 yards (tackle by Corey Graham),0.610,1.800
3,11:14,1,10,KAN 43,3,6,Alex Smith pass complete short right to Kareem Hunt for 11 yards (tackle by Timmy Jernigan),1.800,2.520
3,10:41,1,10,PHI 46,3,6,Kareem Hunt middle for 1 yard (tackle by Vinny Curry),2.520,2.110
3,10:00,2,9,PHI 45,3,6,Alex Smith pass complete short right to Kareem Hunt for 1 yard (tackle by Malcolm Jenkins),2.110,1.550
3,9:13,3,8,PHI 44,3,6,Alex Smith sacked by Chris Long for -5 yards,1.550,0.000
3,8:36,4,13,PHI 49,3,6,"Dustin Colquitt punts 30 yards, fair catch by Darren Sproles",0.000,-0.150
3,8:28,1,10,PHI 19,3,6,Carson Wentz pass complete deep left to Alshon Jeffery for 18 yards (tackle by Terrance Mitchell),0.150,1.400
3,7:42,1,10,PHI 37,3,6,Carson Wentz pass complete short right to Mack Hollins for 11 yards (tackle by Marcus Peters),1.400,2.130
3,7:03,1,10,PHI 48,3,6,Carson Wentz pass complete short middle to Zach Ertz for 11 yards (tackle by Daniel Sorensen),2.130,2.850
3,6:20,1,10,KAN 41,3,6,Carson Wentz pass complete short middle to Darren Sproles for 14 yards (tackle by Phillip Gaines),2.850,3.780
3,5:41,1,10,KAN 27,3,6,Wendell Smallwood middle for 8 yards (tackle by Ron Parker),3.780,4.350
3,4:56,2,2,KAN 19,3,6,Darren Sproles right end for 3 yards (tackle by Ramik Wilson),4.350,4.510
3,4:14,1,10,KAN 16,9,6,"Carson Wentz pass complete short left to Alshon Jeffery for 16 yards, touchdown. Penalty on Phillip Gaines: Defensive Holding (Declined)",4.510,7.000
,,,,,,,"PHI challenged the runner was down by contact ruling, and the original play was overturned.",,
3,4:08,,,KAN 15,10,6,Jake Elliott kicks extra point good,0.000,0.000
3,4:08,,,PHI 35,10,6,"Jake Elliott kicks off 72 yards, returned by De'Anthony Thomas for 24 yards (tackle by Chris Maragos)",0.000,0.060
3,3:59,1,10,KAN 17,10,6,Alex Smith right end for 12 yards (tackle by Corey Graham),-0.060,0.870
3,3:21,1,10,KAN 29,10,6,Alex Smith pass complete short left to Chris Conley for 7 yards (tackle by Rasul Douglas),0.870,1.270
3,2:46,2,3,KAN 36,10,6,Kareem Hunt left end for -1 yards (tackle by Vinny Curry),1.270,0.430
3,2:06,3,4,KAN 35,10,6,Alex Smith pass complete short left to Travis Kelce for 12 yards (tackle by Nigel Bradham),0.430,2.060
3,1:30,1,10,KAN 47,10,12,"Kareem Hunt middle for 53 yards, touchdown. Penalty on Travis Kelce: Taunting, 15 yards",2.060,7.000
3,1:20,,,PHI 15,10,13,Cairo Santos kicks extra point good,0.000,0.000
3,1:20,,,KAN 20,10,13,"Cairo Santos kicks off 74 yards, returned by Wendell Smallwood for 28 yards (tackle by Frank Zombo)",0.000,-1.200
3,1:14,1,10,PHI 34,10,13,Carson Wentz pass complete short left to Alshon Jeffery for 13 yards (tackle by Daniel Sorensen),1.200,2.060
3,0:39,1,10,PHI 47,10,13,"Carson Wentz sacked by Chris Jones for -3 yards. Carson Wentz fumbles (forced by Chris Jones), recovered by Carson Wentz at PHI-40",2.060,1.110
Quarter,Time,Down,ToGo,Location,PHI,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,PHI 44,10,13,Carson Wentz pass incomplete short middle intended for Alshon Jeffery,1.110,0.430
4,14:57,3,13,PHI 44,10,13,Carson Wentz left end for 13 yards (tackle by Terrance Mitchell),0.430,2.720
4,14:17,1,10,KAN 43,10,13,Darren Sproles middle for 5 yards (tackle by Eric Murray),2.720,2.850
4,14:17,2,5,KAN 38,10,13,Carson Wentz pass complete short left to Mack Hollins for 13 yards,2.850,3.910
4,13:18,1,10,KAN 25,10,13,Carson Wentz pass complete short right to Mack Hollins for 8 yards (tackle by Phillip Gaines),3.910,4.550
4,13:18,2,2,KAN 17,10,13,"Penalty on Isaac Seumalo: False Start, 5 yards (no play)",4.550,3.770
4,12:14,2,7,KAN 22,10,13,Carson Wentz pass incomplete short left intended for Zach Ertz,3.770,0.000
4,12:06,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-3.070
4,12:06,3,7,KAN 22,10,13,Carson Wentz pass incomplete deep left intended for Alshon Jeffery (defended by Phillip Gaines),3.070,1.990
4,11:57,4,7,KAN 22,13,13,Jake Elliott 40 yard field goal good,1.990,3.000
4,11:57,,,PHI 35,13,13,"Jake Elliott kicks off 71 yards, returned by Akeem Hunt for 40 yards (tackle by Mychal Kendricks)",0.000,-1.200
4,11:49,1,10,KAN 34,13,13,Alex Smith pass incomplete short right intended for Tyreek Hill,1.200,0.660
4,11:46,2,10,KAN 34,13,13,Alex Smith pass complete short left to Chris Conley for 6 yards (tackle by Rasul Douglas),0.660,0.760
4,11:07,3,4,KAN 40,13,13,Alex Smith pass incomplete short middle intended for Albert Wilson (defended by Rasul Douglas),0.760,-0.720
4,11:02,4,4,KAN 40,13,13,"Dustin Colquitt punts 60 yards, touchback",-0.720,-0.280
4,10:54,1,10,PHI 20,13,13,Carson Wentz right end for 13 yards (tackle by Rakeem Nunez-Roches),0.280,1.140
4,10:09,1,10,PHI 33,13,13,Wendell Smallwood middle for -2 yards (tackle by Derrick Johnson),1.140,0.320
4,9:28,2,12,PHI 31,13,13,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Roy Miller),0.320,-0.360
4,9:23,3,12,PHI 31,13,13,Carson Wentz pass incomplete is intercepted by Chris Jones at PHI-28 and returned for -3 yards,-0.360,-3.510
4,9:16,1,10,PHI 31,13,13,Kareem Hunt middle for -1 yards (tackle by Timmy Jernigan),3.510,2.830
4,8:40,2,11,PHI 32,13,13,Alex Smith pass complete short right to Tyreek Hill for 7 yards (tackle by Malcolm Jenkins),2.830,3.070
4,7:53,3,4,PHI 25,13,13,Alex Smith left end for 5 yards (tackle by Patrick Robinson),3.070,4.240
4,7:16,1,10,PHI 20,13,13,Alex Smith pass complete short left to Travis Kelce for 5 yards (tackle by Rasul Douglas),4.240,4.450
4,6:32,2,5,PHI 15,13,19,"Alex Smith pass complete short middle to Travis Kelce for 15 yards, touchdown",4.450,7.000
4,6:25,,,PHI 15,13,20,Cairo Santos kicks extra point good,0.000,0.000
4,6:25,,,KAN 35,13,20,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
4,6:25,1,10,PHI 25,13,20,Carson Wentz sacked by Justin Houston for -3 yards,0.610,-0.340
4,5:44,2,13,PHI 22,13,20,Carson Wentz pass incomplete short left intended for Zach Ertz (defended by Dee Ford),-0.340,-1.020
4,5:39,3,13,PHI 22,13,20,Carson Wentz pass incomplete short middle intended for Torrey Smith,-1.020,-1.900
4,5:33,4,13,PHI 22,13,20,"Donnie Jones punts 42 yards, returned by Tyreek Hill for 8 yards (tackle by Dexter McDougle)",-1.900,-1.860
4,5:27,1,10,KAN 44,13,20,Alex Smith left end for no gain (tackle by Nigel Bradham),1.860,1.320
4,4:42,2,10,KAN 44,13,20,Alex Smith pass complete deep right to Chris Conley for 35 yards (tackle by Jalen Mills),1.320,0.000
4,4:36,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-4.170
4,4:36,1,10,PHI 21,13,20,Kareem Hunt right end for 4 yards (tackle by Brandon Graham),4.170,4.200
4,3:52,2,6,PHI 17,13,20,Kareem Hunt middle for 3 yards (tackle by Malcolm Jenkins),4.200,4.020
4,3:10,3,3,PHI 14,13,20,Kareem Hunt left end for 12 yards (tackle by Corey Graham),4.020,6.740
4,2:20,1,2,PHI 2,13,26,"Kareem Hunt middle for 2 yards, touchdown",6.740,7.000
4,2:14,,,PHI 15,13,27,Cairo Santos kicks extra point good,0.000,0.000
4,2:14,,,KAN 35,13,27,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
4,2:14,1,10,PHI 25,13,27,Carson Wentz sacked by Chris Jones for -5 yards,0.610,-0.610
4,2:00,2,15,PHI 20,13,27,Carson Wentz pass complete short left to Torrey Smith for 14 yards (tackle by Terrance Mitchell),-0.610,0.560
4,1:37,3,1,PHI 34,13,27,Carson Wentz pass complete short right to Alshon Jeffery for 10 yards (tackle by Marcus Peters),0.560,1.860
4,1:33,1,10,PHI 44,13,27,Carson Wentz pass incomplete deep left intended for Torrey Smith,1.860,1.320
4,1:22,2,10,PHI 44,13,27,Carson Wentz pass incomplete short left intended for Darren Sproles,1.320,0.630
4,1:19,3,10,PHI 44,13,27,Carson Wentz right end for 24 yards (tackle by Eric Murray),0.630,3.450
4,1:08,1,10,KAN 32,13,27,Carson Wentz sacked by Bennie Logan for -9 yards,3.450,0.000
4,0:54,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-1.690
4,0:54,2,19,KAN 41,13,27,Carson Wentz pass complete short left to Alshon Jeffery for 12 yards (tackle by Terrance Mitchell),1.690,2.610
4,0:49,3,7,KAN 29,13,27,Carson Wentz pass complete short middle to Trey Burton for 10 yards (tackle by Eric Murray),2.610,4.310
4,0:28,1,10,KAN 19,13,27,Carson Wentz pass incomplete deep left intended for Alshon Jeffery (defended by Terrance Mitchell),4.310,3.750
4,0:23,2,10,KAN 19,13,27,Carson Wentz pass incomplete short left intended for Darren Sproles,3.750,3.030
4,0:18,3,10,KAN 19,13,27,Carson Wentz pass complete short left to Zach Ertz for 10 yards (tackle by Eric Murray),3.030,5.140
4,0:14,1,9,KAN 9,19,27,"Carson Wentz pass complete short middle to Nelson Agholor for 9 yards, touchdown",5.140,7.000
4,0:08,,,KAN 15,20,27,Jake Elliott kicks extra point good,0.000,0.000
4,0:08,,,PHI 35,20,27,"Jake Elliott kicks onside 26 yards, recovered by Trey Burton (onside kick successful)",0.000,0.000
4,0:05,,,,,,Timeout #3 by Philadelphia Eagles,0.000,0.000
4,0:05,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-2.980
4,0:05,1,10,KAN 39,20,27,Carson Wentz pass incomplete deep middle intended for Alshon Jeffery (defended by Eric Murray),2.980,2.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
