Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
3,8:08,,,DEN 35,19,0,"Brandon McManus kicks off 69 yards, returned by Tony Pollard for 35 yards (tackle by Barrington Wade and Mike Boone)",,
3,7:59,1,10,DAL 31,19,0,Ezekiel Elliott up the middle for 7 yards (tackle by DeShawn Williams),,
3,7:32,2,3,DAL 38,19,0,Ezekiel Elliott left tackle for 2 yards (tackle by Kyle Fuller),,
3,7:00,3,1,DAL 40,19,0,Dak Prescott pass incomplete short middle intended for Amari Cooper,,
3,6:54,4,1,DAL 40,19,0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,,
3,6:47,1,10,DAL 40,19,0,Javonte Williams for 1 yard (tackle by Leighton Vander Esch),,
3,6:09,2,9,DAL 39,19,0,Teddy Bridgewater pass complete short left to Jerry Jeudy for -3 yards (tackle by Keanu Neal),,
3,5:24,3,12,DAL 42,19,0,Javonte Williams right end for 7 yards (tackle by Jayron Kearse),,
3,4:45,4,5,DAL 35,19,0,Brandon McManus 53 yard field goal no good,,
3,4:43,1,10,DAL 43,19,0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Kyle Fuller),,
3,4:37,2,10,DAL 43,19,0,Dak Prescott pass complete short right to Cedrick Wilson for 4 yards (tackle by Nate Hairston),,
3,3:57,3,6,DAL 47,19,0,Dak Prescott pass incomplete deep left intended for Cedrick Wilson (defended by Nate Hairston),,
3,3:55,4,6,DAL 47,19,0,"Bryan Anger punts 38 yards, fair catch by Diontae Spencer at DEN-15",,
3,3:48,1,10,DEN 15,19,0,"Melvin Gordon up the middle for no gain (tackle by Malik Hooker). Penalty on Quinn Meinerz: Offensive Holding, 7 yards (accepted) (no play)",,
3,3:26,1,17,DEN 8,19,0,"Teddy Bridgewater pass incomplete deep left intended for Tim Patrick (defended by Trevon Diggs) DEN challenged the pass completion ruling, and the play was upheld.",,
3,3:19,2,17,DEN 8,19,0,Melvin Gordon right tackle for 14 yards (tackle by Keanu Neal),,
3,2:39,3,3,DEN 22,19,0,Teddy Bridgewater pass complete short right to Jerry Jeudy for 16 yards (tackle by Jayron Kearse),,
3,2:02,1,10,DEN 38,19,0,Melvin Gordon right tackle for 6 yards (tackle by Anthony Brown),,
3,1:15,2,4,DEN 44,19,0,Melvin Gordon up the middle for 7 yards (tackle by Micah Parsons),,
3,0:33,1,10,DAL 49,19,0,Melvin Gordon up the middle for 6 yards (tackle by Leighton Vander Esch and Donovan Wilson),,
Quarter,Time,Down,ToGo,Location,DEN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,DAL 43,19,0,Melvin Gordon up the middle for 4 yards (tackle by Donovan Wilson),,
4,14:19,1,10,DAL 39,19,0,Melvin Gordon left tackle for -4 yards (tackle by Carlos Watkins and Jayron Kearse),,
4,13:30,2,14,DAL 43,19,0,Teddy Bridgewater pass incomplete deep left intended for Jerry Jeudy,,
4,13:21,3,14,DAL 43,19,0,Teddy Bridgewater pass complete short middle to Kendall Hinton for 40 yards (tackle by Anthony Brown),,
4,12:34,1,3,DAL 3,19,0,Javonte Williams up the middle for 2 yards (tackle by Malik Hooker and Quinton Bohanna),,
4,12:01,2,1,DAL 1,19,0,Javonte Williams right guard for no gain (tackle by Leighton Vander Esch and Jayron Kearse),,
4,11:19,3,1,DAL 1,25,0,"Teddy Bridgewater up the middle for 1 yard, touchdown",,
4,11:18,,,DAL 2,27,0,Two Point Attempt: Teddy Bridgewater pass complete to to Courtland Sutton for no gain,,
4,11:18,,,DEN 35,27,0,"Brandon McManus kicks off 65 yards, touchback.",,
4,11:18,1,10,DAL 25,27,0,"Dak Prescott pass incomplete short right intended for Francis Bernard. Penalty on Terence Steele: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
4,11:15,1,20,DAL 15,27,0,Dak Prescott pass complete deep left to CeeDee Lamb for 18 yards (tackle by Kareem Jackson),,
4,10:51,2,2,DAL 33,27,0,"Dak Prescott pass complete short middle to CeeDee Lamb for no gain (tackle by Ronald Darby). Penalty on La'el Collins: Offensive Holding, 10 yards (accepted) (no play)",,
4,10:26,2,12,DAL 23,27,0,Dak Prescott pass complete to CeeDee Lamb for 5 yards (tackle by Baron Browning),,
4,10:03,3,7,DAL 28,27,0,Dak Prescott pass incomplete intended for Cedrick Wilson (defended by Justin Simmons),,
4,9:54,4,7,DAL 28,27,0,Dak Prescott pass short right intended for CeeDee Lamb is intercepted by Caden Sterns at DAL-40 and returned for 1 yard (tackle by Dalton Schultz),,
4,9:47,1,10,DAL 39,27,0,Javonte Williams for 10 yards (tackle by Jayron Kearse and Leighton Vander Esch),,
4,9:05,1,10,DAL 29,27,0,Javonte Williams right end for 3 yards (tackle by Randy Gregory),,
4,8:16,2,7,DAL 26,27,0,Javonte Williams right guard for 2 yards (tackle by Randy Gregory),,
4,7:32,3,5,DAL 24,27,0,Javonte Williams for no gain (tackle by Micah Parsons),,
4,6:39,4,5,DAL 24,30,0,Brandon McManus 42 yard field goal good,,
4,6:32,,,DEN 35,30,0,"Brandon McManus kicks off 65 yards, touchback.",,
4,6:32,1,10,DAL 25,30,0,Ezekiel Elliott left tackle for 5 yards (tackle by Jonathan Harris),,
4,6:14,2,5,DAL 30,30,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,,
4,6:10,3,5,DAL 30,30,0,Ezekiel Elliott left guard for 10 yards (tackle by Kareem Jackson),,
4,5:54,1,10,DAL 40,30,0,Dak Prescott sacked by Jonathon Cooper for -9 yards,,
4,5:26,2,19,DAL 31,30,0,Dak Prescott pass complete short left to Malik Turner for 4 yards (tackle by Caden Sterns),,
4,5:02,3,15,DAL 35,30,0,"Dak Prescott pass complete deep middle to Cedrick Wilson for 24 yards (tackle by Justin Simmons). Penalty on Shelby Harris: Defensive Offside, 5 yards (declined)",,
4,4:52,1,10,DEN 41,30,0,Dak Prescott pass complete short right to Malik Turner for 9 yards (tackle by Ronald Darby),,
4,4:42,1,10,DEN 32,30,0,"Penalty on La'el Collins: False Start, 5 yards (accepted) (no play)",,
4,4:42,2,6,DEN 37,30,0,Dak Prescott pass complete short left to Tony Pollard for 32 yards (tackle by Kareem Jackson),,
4,4:15,1,5,DEN 5,30,6,"Dak Prescott pass complete short left to Malik Turner for 5 yards, touchdown",,
4,4:08,,,DEN 2,30,8,"Two Point Attempt: Ezekiel Elliott rushes, conversion succeeds.",,
4,4:08,,,DAL 35,30,8,"Greg Zuerlein kicks off 49 yards, returned by Diontae Spencer for 6 yards (tackle by Nahshon Wright)",,
4,4:04,1,10,DEN 22,30,8,Melvin Gordon right tackle for 2 yards (tackle by Leighton Vander Esch),,
4,3:59,,,,,,Timeout #2 by Dallas Cowboys,,
4,3:59,2,9,DEN 24,30,8,Melvin Gordon left tackle for 1 yard (tackle by Carlos Watkins and Osa Odighizuwa),,
4,3:53,,,,,,Timeout #3 by Dallas Cowboys,,
4,3:53,3,8,DEN 25,30,8,Melvin Gordon left guard for -1 yards (tackle by Carlos Watkins),,
4,3:10,4,9,DEN 24,30,8,"Sam Martin punts 41 yards, fair catch by Cedrick Wilson at DAL-35",,
4,3:03,1,10,DAL 35,30,8,Dak Prescott pass incomplete short left intended for Sean McKeon,,
4,2:54,2,10,DAL 35,30,8,Dak Prescott scrambles up the middle for 9 yards (tackle by Baron Browning),,
4,2:29,3,1,DAL 44,30,8,Dak Prescott pass complete short left to Dalton Schultz for 10 yards (tackle by Kareem Jackson),,
4,2:02,1,10,DEN 46,30,8,Dak Prescott pass incomplete deep middle intended for CeeDee Lamb (defended by Ronald Darby),,
4,1:54,2,10,DEN 46,30,8,Dak Prescott pass complete short left to Dalton Schultz for 7 yards (tackle by Mike Ford),,
4,1:35,3,4,DEN 39,30,8,Dak Prescott pass complete short left to Ezekiel Elliott for 4 yards (tackle by Baron Browning),,
4,1:28,1,10,DEN 35,30,8,Dak Prescott pass incomplete deep left intended for Malik Turner,,
4,1:20,2,10,DEN 35,30,8,Dak Prescott pass complete deep left to Dalton Schultz for 20 yards (tackle by Kareem Jackson and Baron Browning),,
4,1:11,1,10,DEN 15,30,8,Dak Prescott pass complete short left to Malik Turner for 11 yards (tackle by Ronald Darby and Kareem Jackson),,
4,1:06,1,4,DEN 4,30,8,Dak Prescott pass incomplete short right intended for Malik Turner,,
4,1:00,2,4,DEN 4,30,14,"Dak Prescott pass complete short middle to Malik Turner for 4 yards, touchdown",,
4,0:55,1,2,DEN 2,30,16,"Two Point Attempt: Dak Prescott rushes, conversion succeeds.",,
4,0:55,,,DAL 35,30,16,"Greg Zuerlein kicks onside 6 yards, returned by Justin Strnad for no gain",,
4,0:54,1,10,DAL 41,30,16,Teddy Bridgewater kneels for -1 yards,,
4,0:33,2,11,DAL 42,30,16,Teddy Bridgewater kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
