Quarter,Time,Down,ToGo,Location,SFO,LVR,Detail,EPB,EPA
2,9:45,3,2,LVR 2,13,10,"Brock Purdy pass complete short left to George Kittle for 2 yards, touchdown",4.950,7.000
2,9:38,,,LVR 15,14,10,Robbie Gould kicks extra point good,0.000,0.000
2,9:38,,,SFO 35,14,10,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
2,9:38,1,10,LVR 25,14,10,Jarrett Stidham pass complete short right to Davante Adams for 5 yards (tackle by Charvarius Ward),0.610,0.740
2,9:01,2,5,LVR 30,14,10,Josh Jacobs right tackle for 7 yards (tackle by Dre Greenlaw and Fred Warner),0.740,1.400
2,8:20,1,10,LVR 37,14,10,Jarrett Stidham pass complete deep right to Darren Waller for 24 yards (tackle by Deommodore Lenoir),1.400,2.980
2,7:34,1,10,SFO 39,14,10,"Jarrett Stidham scrambles left end for 11 yards (tackle by Fred Warner and Charvarius Ward). Penalty on Deommodore Lenoir: Defensive Holding, 5 yards (accepted)",2.980,4.040
2,7:08,1,10,SFO 23,14,10,Josh Jacobs up the middle for 9 yards (tackle by Deommodore Lenoir),4.040,4.950
2,6:31,2,1,SFO 14,14,10,Josh Jacobs up the middle for 3 yards (tackle by Kerry Hyder and Fred Warner),4.950,4.840
2,5:52,1,10,SFO 11,14,10,Jarrett Stidham pass incomplete short right intended for Hunter Renfrow,4.840,4.140
2,5:48,2,10,SFO 11,14,10,Jarrett Stidham pass complete short middle to Josh Jacobs for no gain (tackle by Dre Greenlaw),4.140,3.130
2,5:04,3,10,SFO 11,14,10,Jarrett Stidham scrambles left guard for 9 yards (tackle by Dre Greenlaw),3.130,3.250
2,4:33,4,2,SFO 2,14,10,Josh Jacobs left guard for no gain (tackle by T.Y. McGill and Arik Armstead),3.250,0.380
2,4:29,1,10,SFO 2,14,10,"Penalty on Trent Williams: False Start, 1 yard (accepted) (no play)",-0.380,-0.420
2,4:29,1,11,SFO 1,14,10,Christian McCaffrey up the middle for 4 yards (tackle by Bilal Nichols and Luke Masterson),-0.420,-0.560
