Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
2,13:42,,,DEN 35,10,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,13:42,1,10,NOR 25,10,0,Mark Ingram left guard for 3 yards (tackle by T.J. Ward and Jared Crick),0.610,0.470
2,13:12,2,7,NOR 28,10,0,Mark Ingram left guard for 4 yards (tackle by Sylvester Williams),0.470,0.300
2,12:37,3,3,NOR 32,10,0,Mark Ingram left end for 3 yards (tackle by Will Parks and Corey Nelson),0.300,1.270
2,11:59,1,10,NOR 35,10,0,Drew Brees pass complete short left to Tim Hightower for 11 yards (tackle by T.J. Ward),1.270,1.990
2,11:35,1,10,NOR 46,10,0,Tim Hightower left end for 3 yards (tackle by Todd Davis),1.990,1.860
2,10:59,2,7,NOR 49,10,0,Drew Brees pass incomplete deep middle intended for Josh Hill,1.860,1.160
2,10:55,3,7,NOR 49,10,0,Drew Brees pass incomplete deep left intended for Brandin Cooks,1.160,-0.130
2,10:49,4,7,NOR 49,10,0,"Thomas Morstead punts 41 yards, fair catch by Jordan Norwood",-0.130,0.370
2,10:42,1,10,DEN 11,10,0,Trevor Siemian pass incomplete short left intended for Virgil Green,-0.370,-0.780
2,10:37,2,10,DEN 11,10,0,Devontae Booker right guard for 1 yard (tackle by Darryl Tapp),-0.780,-1.300
2,10:01,3,9,DEN 12,10,0,Trevor Siemian pass complete deep right to Demaryius Thomas for 17 yards (tackle by Jairus Byrd),-1.300,0.870
2,9:25,1,10,DEN 29,10,0,Devontae Booker right tackle for 3 yards (tackle by Dannell Ellerbe and Tyeler Davison),0.870,0.730
2,8:53,2,7,DEN 32,10,0,Trevor Siemian pass complete short left to Emmanuel Sanders for 12 yards (tackle by Sterling Moore),0.730,1.860
2,8:11,1,10,DEN 44,10,0,Trevor Siemian left guard for 1 yard (tackle by Nick Fairley),1.860,1.450
2,7:27,2,9,DEN 45,10,0,Trevor Siemian pass complete short left to Demaryius Thomas for 10 yards (tackle by Delvin Breaux),1.450,2.590
2,6:47,1,10,NOR 45,10,0,Kapri Bibbs right tackle for 1 yard (tackle by Cameron Jordan),2.590,2.180
2,6:08,2,9,NOR 44,10,0,Trevor Siemian pass incomplete short middle intended for Kapri Bibbs. Penalty on Michael Schofield: Ineligible Downfield Pass (Declined),2.180,1.490
2,6:03,3,9,NOR 44,10,0,Trevor Siemian sacked by Dannell Ellerbe for -6 yards,1.490,-0.060
2,5:26,4,15,,10,0,"Riley Dixon punts 38 yards, returned by Jairus Byrd for 2 yards (tackle by Bennie Fowler)",-0.060,0.280
2,5:18,1,10,NOR 14,10,0,Tim Hightower left guard for 2 yards (tackle by Jared Crick),-0.280,-0.510
2,4:45,2,8,NOR 16,10,0,Drew Brees pass complete short left to Michael Thomas for 7 yards (tackle by Chris Harris),-0.510,-0.320
2,4:09,3,1,NOR 23,10,0,Mark Ingram right end for -1 yards (tackle by Von Miller),-0.320,-1.900
2,3:36,4,2,NOR 22,10,0,"Thomas Morstead punts 38 yards, returned by Jordan Norwood for 7 yards (tackle by Jake Lampman). Penalty on Cody Latimer: Illegal Block Above the Waist, 10 yards",-1.900,-0.940
2,3:27,1,10,DEN 30,10,0,Devontae Booker right tackle for 2 yards (tackle by Cameron Jordan),0.940,0.660
2,2:52,2,8,DEN 32,10,0,Devontae Booker left end for 7 yards (tackle by Dannell Ellerbe),0.660,0.890
2,2:11,3,1,DEN 39,10,0,Trevor Siemian left guard for 2 yards (tackle by Paul Kruger),0.890,1.660
2,2:00,1,10,DEN 41,10,0,Kapri Bibbs left tackle for 9 yards (tackle by Craig Robertson and Kenny Vaccaro),1.660,2.340
2,1:30,2,1,,10,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 9 yards (tackle by Sterling Moore),2.340,0.000
2,1:18,,,,10,0,Timeout #1 by New Orleans Saints,0.000,-2.850
2,1:18,1,10,NOR 41,10,0,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders,2.850,2.310
2,1:12,2,10,NOR 41,10,0,Trevor Siemian pass complete short right to Demaryius Thomas for 1 yard (tackle by Kenny Vaccaro),2.310,1.750
2,1:07,3,9,NOR 40,10,0,Trevor Siemian pass complete short right to Virgil Green for 9 yards (tackle by Dannell Ellerbe and Kenny Vaccaro),1.750,3.510
2,0:36,1,10,NOR 31,10,0,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders is intercepted by Sterling Moore at NOR-30 and returned for 8 yards,3.510,-1.470
2,0:29,1,10,NOR 38,10,0,Drew Brees pass complete short left to Willie Snead for 24 yards (tackle by Darian Stewart),1.470,3.050
2,0:23,1,10,DEN 38,10,0,Drew Brees pass complete deep left to Michael Thomas for 16 yards,3.050,0.000
2,0:19,,,,10,0,Timeout #2 by Denver Broncos,0.000,-4.110
2,0:13,1,10,DEN 22,10,0,Drew Brees pass complete short left to Travaris Cadet for 6 yards (tackle by Darian Stewart),4.110,0.000
2,0:13,,,,10,0,Timeout #2 by New Orleans Saints,0.000,-4.460
2,0:13,2,4,DEN 16,10,0,Drew Brees left tackle for 4 yards (tackle by Lorenzo Doss),4.460,0.000
2,0:02,,,,10,0,Timeout #3 by New Orleans Saints,0.000,-4.780
2,0:02,1,10,DEN 12,10,3,Wil Lutz 30 yard field goal good,4.780,3.000
Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,10,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DEN 25,10,3,Trevor Siemian pass complete short right to Virgil Green for 15 yards (tackle by Craig Robertson),0.610,1.600
3,14:31,1,10,DEN 40,10,3,Devontae Booker left end for 9 yards (tackle by Craig Robertson),1.600,2.270
3,13:52,2,1,DEN 49,10,3,Devontae Booker left tackle for no gain (tackle by Cameron Jordan),2.270,1.550
3,13:10,3,1,DEN 49,10,3,Devontae Booker right guard for no gain (tackle by Craig Robertson and Darryl Tapp),1.550,-0.130
3,12:27,4,1,DEN 49,10,3,"Riley Dixon punts 41 yards, fair catch by Jairus Byrd",-0.130,0.380
3,12:20,1,10,NOR 10,10,3,Drew Brees pass complete short right to Willie Snead for 1 yard (tackle by T.J. Ward),-0.380,-0.710
3,11:47,2,9,NOR 11,10,3,Drew Brees right end for 5 yards (tackle by Justin Simmons),-0.710,-0.720
3,11:10,3,4,NOR 16,10,3,Drew Brees pass complete short middle to Willie Snead for 14 yards (tackle by Kayvon Webster),-0.720,0.940
3,10:36,1,10,NOR 30,10,3,Mark Ingram left tackle for 10 yards (tackle by T.J. Ward and Corey Nelson),0.940,1.600
3,9:48,1,10,NOR 40,10,3,Drew Brees pass complete short middle to Travaris Cadet for 20 yards (tackle by Todd Davis),1.600,2.920
3,9:22,1,10,DEN 40,10,3,Drew Brees pass complete deep left to Brandin Cooks for 37 yards (tackle by T.J. Ward),2.920,6.510
3,8:35,1,3,DEN 3,10,9,"Drew Brees pass complete short left to Willie Snead for 3 yards, touchdown",6.510,7.000
3,8:30,,,DEN 15,10,10,Wil Lutz kicks extra point good,0.000,0.000
3,8:30,,,NOR 35,10,10,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,8:30,1,10,DEN 25,10,10,Trevor Siemian pass incomplete,0.610,0.060
3,8:23,2,10,DEN 25,10,10,Trevor Siemian pass incomplete short right intended for Demaryius Thomas,0.060,-0.620
3,8:19,3,10,DEN 25,10,10,Trevor Siemian pass complete short middle to Emmanuel Sanders for 13 yards (tackle by Jairus Byrd),-0.620,1.470
3,7:39,1,10,DEN 38,10,10,Devontae Booker right guard for 5 yards (tackle by Dannell Ellerbe and Nick Fairley),1.470,1.600
3,7:04,2,5,DEN 43,10,10,Trevor Siemian pass incomplete short right intended for Virgil Green (defended by Dannell Ellerbe),1.600,0.000
3,7:00,,,,10,10,Timeout #1 by Denver Broncos,0.000,-0.890
3,7:00,3,5,DEN 43,10,10,Trevor Siemian pass complete short left to A.J. Derby for 12 yards (tackle by Kenny Vaccaro),0.890,2.590
3,6:28,1,10,NOR 45,10,10,Kapri Bibbs left end for 1 yard (tackle by Vonn Bell),2.590,2.180
3,5:50,2,9,NOR 44,10,10,Trevor Siemian pass incomplete short middle intended for Virgil Green (defended by Vonn Bell),2.180,1.490
3,5:46,3,9,NOR 44,10,10,Trevor Siemian pass incomplete short middle intended for Demaryius Thomas is intercepted by Kenny Vaccaro at NOR-32 and returned for 30 yards,1.490,-3.050
3,5:35,1,10,DEN 38,10,10,Drew Brees pass complete short right to Tim Hightower for 23 yards (tackle by Von Miller). Penalty on Shane Ray: Illegal Use of Hands (Declined),3.050,4.580
3,5:17,1,10,DEN 15,10,10,Tim Hightower right guard for 3 yards (tackle by Adam Gotsis and Todd Davis),4.580,4.450
3,4:43,2,7,DEN 12,10,10,Drew Brees pass complete short right to Mark Ingram for 7 yards (tackle by Von Miller),4.450,6.060
3,4:05,1,5,DEN 5,10,16,"Drew Brees pass complete short right to Willie Snead for 5 yards, touchdown",6.060,7.000
3,3:59,,,DEN 15,10,17,Wil Lutz kicks extra point good,0.000,0.000
3,3:59,,,NOR 35,10,17,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,3:59,1,10,DEN 25,10,17,Trevor Siemian pass complete deep left to Demaryius Thomas for 18 yards (tackle by Delvin Breaux),0.610,1.800
3,3:24,1,10,DEN 43,10,17,Devontae Booker right guard for 9 yards (tackle by Vonn Bell),1.800,2.470
3,2:39,2,1,NOR 48,10,17,Trevor Siemian pass complete short middle to Andy Janovich for 9 yards (tackle by Paul Kruger),2.470,2.980
3,2:03,1,10,NOR 39,10,17,Kapri Bibbs left end for 4 yards (tackle by Delvin Breaux and Nathan Stupar),2.980,2.980
3,1:24,2,6,NOR 35,10,17,Trevor Siemian sacked by Sheldon Rankins for -2 yards,2.980,2.020
3,0:42,3,8,NOR 37,10,17,Trevor Siemian pass complete short left to Demaryius Thomas for 18 yards (tackle by Kenny Vaccaro),2.020,4.310
3,0:06,1,10,NOR 19,10,17,Devontae Booker right tackle for 1 yard (tackle by Dannell Ellerbe and Craig Robertson),4.310,3.880
Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,NOR 18,10,17,Trevor Siemian pass incomplete short left intended for Virgil Green,3.880,3.140
4,14:57,3,9,NOR 18,10,17,Trevor Siemian sacked by Craig Robertson for -6 yards,3.140,1.870
4,14:23,4,15,NOR 24,10,17,Brandon McManus 42 yard field goal no good,1.870,-1.070
4,14:18,1,10,NOR 32,10,17,Mark Ingram left tackle for 8 yards (tackle by Todd Davis),1.070,1.610
4,13:42,2,2,NOR 40,10,17,"Drew Brees pass complete short middle to Michael Thomas for 12 yards (tackle by Bradley Roby). Michael Thomas fumbles (forced by Bradley Roby), recovered by Darian Stewart at DEN-45 and returned for 28 yards (tackle by Drew Brees)",1.610,-3.780
4,13:29,1,10,NOR 27,10,17,Trevor Siemian left end for 1 yard,3.780,3.370
4,12:44,2,9,NOR 26,10,17,Trevor Siemian pass complete short left to Emmanuel Sanders for 14 yards (tackle by Jairus Byrd),3.370,4.780
4,12:06,1,10,NOR 12,10,17,Devontae Booker right tackle for 2 yards (tackle by Nick Fairley),4.780,4.450
4,11:28,2,8,NOR 10,10,17,Trevor Siemian pass complete short left to Jordan Norwood for 8 yards (tackle by Delvin Breaux),4.450,6.740
4,10:47,1,2,NOR 2,10,17,Devontae Booker right guard for -1 yards (tackle by Cameron Jordan),6.740,5.530
4,10:13,2,3,NOR 3,10,17,Trevor Siemian pass complete short left to Jordan Norwood for 1 yard (tackle by Delvin Breaux),5.530,0.000
4,9:41,,,,10,17,Timeout #2 by Denver Broncos,0.000,-4.950
4,9:41,3,2,NOR 2,16,17,"Trevor Siemian pass complete short left to Demaryius Thomas for 2 yards, touchdown",4.950,7.000
4,9:37,,,NOR 15,17,17,Brandon McManus kicks extra point good,0.000,0.000
4,9:37,,,DEN 35,17,17,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
4,9:37,1,10,NOR 25,17,17,Tim Hightower left tackle for 2 yards (tackle by Sylvester Williams),0.610,0.330
4,9:05,2,8,NOR 27,17,17,Tim Hightower left tackle for 3 yards (tackle by Jared Crick),0.330,0.040
4,8:31,3,5,NOR 30,17,17,Drew Brees sacked by Shaquil Barrett for -10 yards,0.040,-2.030
4,7:54,4,15,NOR 20,17,17,"Thomas Morstead punts 50 yards, returned by Jordan Norwood for 17 yards (tackle by Sam Barrington)",-2.030,-2.060
4,7:41,1,10,DEN 47,17,17,"Trevor Siemian sacked by Kenny Vaccaro for -1 yards. Penalty on Kenny Vaccaro: Unnecessary Roughness, 15 yards",2.060,2.980
4,7:16,1,10,NOR 39,17,17,Kapri Bibbs right tackle for 2 yards (tackle by Tyeler Davison),2.980,2.710
4,6:42,2,8,NOR 37,17,17,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders (defended by Sterling Moore),2.710,2.020
4,6:39,3,8,NOR 37,17,17,Trevor Siemian pass complete short left to Jordan Norwood for 9 yards (tackle by Sterling Moore),2.020,3.710
4,6:01,1,10,NOR 28,17,17,Devontae Booker right tackle for 2 yards (tackle by Kenny Vaccaro),3.710,3.440
4,5:23,2,8,NOR 26,17,17,Trevor Siemian pass complete short right to Devontae Booker for 10 yards (tackle by Sterling Moore),3.440,4.510
4,4:53,1,10,NOR 16,17,17,Kapri Bibbs left tackle for 3 yards (tackle by Craig Robertson),4.510,0.000
4,4:45,,,,17,17,Timeout #1 by New Orleans Saints,0.000,-4.390
4,4:45,2,7,NOR 13,17,17,"Penalty on NOR: Defensive 12 On-field, 5 yards (no play)",4.390,5.350
4,4:45,2,2,NOR 8,17,17,Devontae Booker right end for -4 yards (tackle by Cameron Jordan),5.350,3.730
4,4:04,3,6,NOR 12,17,17,Trevor Siemian pass complete short right to Devontae Booker for 2 yards (tackle by Ken Crawley),3.730,2.840
4,3:27,4,4,NOR 10,20,17,Brandon McManus 28 yard field goal good,2.840,3.000
4,3:23,,,DEN 35,20,17,"Brandon McManus kicks off 64 yards, muffed catch by Tim Hightower, recovered by Tim Hightower in NO end zone, and returned for 14 yards",0.000,0.320
4,3:20,1,10,NOR 13,20,17,Drew Brees pass incomplete short right intended for Michael Thomas,-0.320,-0.770
4,3:15,2,10,NOR 13,20,17,"Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by Jared Crick). Michael Thomas fumbles (forced by Jared Crick), recovered by T.J. Ward at NOR-20 (tackle by Coby Fleener)",-0.770,-4.240
4,3:08,1,10,NOR 20,20,17,Devontae Booker right guard for no gain (tackle by Paul Kruger),4.240,0.000
4,3:04,,,,20,17,Timeout #2 by New Orleans Saints,0.000,-3.690
4,3:04,2,10,NOR 20,20,17,Devontae Booker right end for 2 yards (tackle by Vonn Bell),3.690,0.000
4,3:00,,,,20,17,Timeout #3 by New Orleans Saints,0.000,-3.220
4,3:00,3,8,NOR 18,20,17,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders,3.220,2.250
4,2:55,4,8,NOR 18,23,17,Brandon McManus 37 yard field goal good,2.250,3.000
4,2:50,,,DEN 35,23,17,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
4,2:50,1,10,NOR 25,23,17,Drew Brees pass incomplete short middle intended for Brandin Cooks,0.610,0.060
4,2:45,2,10,NOR 25,23,17,Drew Brees pass complete deep right to Brandin Cooks for 29 yards (tackle by Bradley Roby),0.060,2.520
4,2:39,1,10,DEN 46,23,17,Mark Ingram right guard for 5 yards (tackle by Corey Nelson and Will Parks),2.520,2.650
4,2:10,2,5,DEN 41,23,17,Mark Ingram left tackle for 3 yards (tackle by Corey Nelson),2.650,2.350
4,2:00,3,2,DEN 38,23,17,Drew Brees pass complete short middle to Mark Ingram for 6 yards (tackle by Chris Harris),2.350,3.450
4,1:30,1,10,DEN 32,23,23,"Drew Brees pass complete deep middle to Brandin Cooks for 32 yards, touchdown",3.450,7.000
4,1:22,,,DEN 15,25,23,"Wil Lutz kicks extra point no good, blocked by Justin Simmons, returned by Will Parks for defensive conversion",0.000,1.000
4,1:22,,,NOR 35,25,23,"Wil Lutz kicks onside 11 yards, recovered by Demaryius Thomas",0.000,-2.520
4,1:21,1,10,NOR 46,25,23,Trevor Siemian kneels for -1 yards,2.520,1.840
4,0:40,2,11,NOR 47,25,23,Trevor Siemian kneels for -1 yards,1.840,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
