Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
3,13:41,1,10,DEN 21,6,7,Jake Plummer pass complete to Quentin Griffin for 4 yards (tackle by Mike Peterson),0.340,0.340
3,13:07,2,6,DEN 25,6,7,Quentin Griffin left tackle for 2 yards (tackle by Daryl Smith),0.340,-0.100
3,12:23,3,4,DEN 27,6,7,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by Deke Cooper),-0.100,1.330
3,11:42,1,10,DEN 36,6,7,Jake Plummer up the middle for 1 yard (tackle by Akin Ayodele),1.330,0.930
3,10:57,2,9,DEN 37,6,7,Quentin Griffin up the middle for 3 yards (tackle by Marcus Stroud),0.930,0.630
3,10:16,3,6,DEN 40,6,7,"Jake Plummer pass complete to Rod Smith for 30 yards (tackle by Donovin Darius). Penalty on Matt Lepsis: Offensive Holding, 10 yards (no play)",0.630,-0.690
3,9:50,3,16,DEN 30,6,7,"Quentin Griffin up the middle for 4 yards (tackle by Donovin Darius and Rashean Mathis). Penalty on Rashean Mathis: Face Mask (5 Yards), 5 yards",-0.690,0.500
3,9:22,3,7,DEN 39,6,7,Jake Plummer pass complete to Quentin Griffin for 5 yards (tackle by Dewayne Washington),0.500,-0.460
3,8:40,4,2,DEN 44,6,7,"Micah Knorr punts 42 yards, returned by Jermaine Lewis for 3 yards (tackle by Willie Middlebrooks)",-0.460,0.060
3,8:31,1,10,JAX 17,6,7,Fred Taylor up the middle for no gain (tackle by Mario Fatafehi),-0.060,-0.580
3,7:54,2,10,JAX 17,6,7,Fred Taylor up the middle for -1 yards (tackle by Kelly Herndon),-0.580,-1.410
3,7:14,3,11,JAX 16,6,7,Byron Leftwich pass complete to Troy Edwards for 8 yards (tackle by John Lynch),-1.410,-1.770
3,6:32,4,3,JAX 24,6,7,Chris Hanson punts 61 yards,-1.770,0.220
3,6:22,1,10,DEN 15,6,7,"Jake Plummer pass complete to Quentin Griffin for 7 yards (tackle by Deon Grant). Penalty on Deon Grant: Face Mask (15 Yards) (Offsetting), Penalty on Dan Neil: Tripping (Offsetting) (no play)",-0.220,-0.220
3,5:55,1,10,DEN 15,6,7,Quentin Griffin right tackle for 6 yards (tackle by Donovin Darius and Lionel Barnes),-0.220,0.210
3,5:18,2,4,DEN 21,6,7,Quentin Griffin up the middle for -2 yards (tackle by John Henderson),0.210,-0.880
3,4:34,3,6,DEN 19,6,7,"Jake Plummer pass incomplete intended for Jeb Putzier. Penalty on Greg Favors: Defensive Offside, 5 yards (no play)",-0.880,-0.270
3,4:28,3,1,DEN 24,6,7,Jake Plummer pass complete to Reuben Droughns for 2 yards (tackle by Greg Favors),-0.270,0.670
3,3:55,1,10,DEN 26,6,7,Jake Plummer pass incomplete intended for Darius Watts,0.670,0.130
,,,,,,,"DEN challenged the ruling, and the play was upheld.",,
3,3:48,2,10,DEN 26,6,7,"Jake Plummer pass incomplete intended for Jeb Putzier (defended by Mike Peterson). Penalty on John Henderson: Roughing the Passer, 15 yards (no play)",0.130,1.660
3,3:44,1,10,DEN 41,6,7,Quentin Griffin left end for 8 yards (tackle by Dewayne Washington),1.660,2.200
3,3:05,2,2,DEN 49,6,7,Quentin Griffin left tackle for 8 yards (tackle by Donovin Darius),2.200,2.720
3,2:18,1,10,JAX 43,6,7,Tatum Bell up the middle for 4 yards (tackle by Donovin Darius),2.720,2.720
3,1:33,2,6,JAX 39,6,7,"Jake Plummer pass complete to Reuben Droughns for 6 yards (tackle by Akin Ayodele). Penalty on Akin Ayodele: Defensive Holding, 5 yards (no play)",2.720,3.310
3,1:10,1,10,JAX 34,6,7,Quentin Griffin left tackle for 1 yard (tackle by Dewayne Washington),3.310,2.910
3,0:45,2,9,JAX 33,6,7,Jake Plummer pass incomplete intended for Rod Smith (defended by Rob Meier),2.910,2.210
3,0:42,3,9,JAX 33,6,7,Jake Plummer pass incomplete intended for Darius Watts (defended by Deke Cooper),2.210,1.150
3,0:36,4,9,JAX 33,6,7,Jason Elam 51 yard field goal no good,1.150,-1.730
3,0:29,1,10,JAX 42,6,7,Fred Taylor up the middle for 3 yards (tackle by Monsanto Pope),1.730,1.590
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,JAX 45,6,7,Byron Leftwich up the middle for 10 yards (tackle by Donnie Spragan),1.590,2.590
4,14:18,1,10,DEN 45,6,7,Fred Taylor left tackle for 6 yards (tackle by Marco Coleman),2.590,2.850
4,13:35,2,4,DEN 39,6,7,Fred Taylor left tackle for 2 yards (tackle by D.J. Williams),2.850,2.410
4,12:52,3,2,DEN 37,6,7,Byron Leftwich pass incomplete intended for Reggie Williams,2.410,0.790
4,12:47,4,2,DEN 37,6,7,Chris Hanson punts 35 yards,0.790,0.380
4,12:37,1,10,DEN 2,6,7,Jake Plummer pass complete to Quentin Griffin for 4 yards (tackle by Akin Ayodele),-0.380,-0.490
4,11:50,2,6,DEN 6,6,7,Jake Plummer pass incomplete intended for Ashley Lelie,-0.490,-0.950
4,11:44,3,6,DEN 6,6,7,Jake Plummer pass complete to Dwayne Carswell for 7 yards,-0.950,-0.320
4,11:16,1,10,DEN 13,6,7,"Quentin Griffin right end for 4 yards (tackle by Mike Peterson). Penalty on Dwayne Carswell: Offensive Holding, 6 yards (no play)",-0.320,-0.610
4,10:52,1,16,DEN 7,6,7,Quentin Griffin up the middle for -1 yards (tackle by Mike Peterson),-0.610,-1.290
4,10:12,2,17,DEN 6,6,7,Jake Plummer pass incomplete intended for Nate Jackson (defended by Dewayne Washington),-1.290,-2.240
4,10:08,3,17,DEN 6,6,7,Quentin Griffin up the middle for -1 yards (tackle by Daryl Smith),-2.240,-2.490
4,9:24,4,18,DEN 5,6,7,"Micah Knorr punts 37 yards, returned by Jermaine Lewis for 1 yard (tackle by Kenoy Kennedy)",-2.490,-2.850
4,9:16,1,10,DEN 41,6,7,Byron Leftwich pass incomplete intended for George Wrighster (defended by Donnie Spragan),2.850,2.310
4,9:11,2,10,DEN 41,6,7,Byron Leftwich pass complete to Reggie Williams for 19 yards (tackle by John Lynch). Penalty on Champ Bailey: Defensive Holding (Declined),2.310,4.110
4,8:46,1,10,DEN 22,6,7,Fred Taylor right tackle for 3 yards (tackle by Marco Coleman and Donnie Spragan),4.110,3.970
4,8:05,2,7,DEN 19,6,7,LaBrandon Toefield sacked by D.J. Williams for -7 yards,3.970,2.350
4,7:21,3,14,DEN 26,6,7,"Byron Leftwich left tackle for no gain. Penalty on LaBrandon Toefield: Offensive Holding, 10 yards (no play)",2.350,1.030
4,6:52,3,24,DEN 36,6,7,Byron Leftwich pass incomplete intended for Troy Edwards,1.030,0.880
4,6:44,,,,6,7,Timeout #2 by Denver Broncos,0.000,0.880
4,6:41,4,24,DEN 36,6,7,"Chris Hanson punts 36 yards, touchback. Penalty on Kelly Herndon: Offensive Holding, 10 yards",0.880,0.380
4,6:34,1,10,DEN 10,6,7,Jake Plummer pass incomplete intended for Rod Smith (defended by John Henderson),-0.380,-0.780
4,6:29,2,10,DEN 10,6,7,Jake Plummer pass complete to Dwayne Carswell for 19 yards (tackle by Deon Grant),-0.780,0.870
4,5:44,1,10,DEN 29,6,7,Jake Plummer up the middle for 3 yards (tackle by John Henderson),0.870,0.730
4,4:59,2,7,DEN 32,6,7,Jake Plummer pass complete to Ashley Lelie for 6 yards (tackle by Dewayne Washington),0.730,0.830
4,4:16,3,1,DEN 38,6,7,Quentin Griffin up the middle for -2 yards (tackle by Willie Blade),0.830,-0.980
4,3:40,4,3,DEN 36,6,7,"Micah Knorr punts 35 yards, returned by Jermaine Lewis for 12 yards (tackle by Nick Ferguson)",-0.980,-1.660
4,3:31,1,10,JAX 41,6,7,Fred Taylor up the middle for 4 yards (tackle by Champ Bailey),1.660,1.660
4,3:22,,,,6,7,Timeout #3 by Denver Broncos,0.000,1.660
4,3:22,2,6,JAX 45,6,7,Fred Taylor up the middle for 1 yard (tackle by Donnie Spragan),1.660,1.090
4,2:37,3,5,JAX 46,6,7,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by John Lynch),1.090,-0.320
,,,,,,,"JAX challenged the ruling, and the play was upheld.",,
4,2:29,4,5,JAX 46,6,7,"Chris Hanson punts 43 yards, muffed catch by Rod Smith, recovered by Rod Smith and returned for no gain",-0.320,0.370
4,2:20,1,10,DEN 11,6,7,"Penalty on George Foster: False Start, 5 yards (no play)",-0.370,-0.570
4,2:20,1,15,DEN 6,6,7,Jake Plummer pass incomplete intended for Champ Bailey,-0.570,-1.150
4,2:17,2,15,DEN 6,6,7,Jake Plummer pass complete to Darius Watts for 11 yards (tackle by Deon Grant),-1.150,-0.720
4,2:11,3,4,DEN 17,6,7,"Jake Plummer pass incomplete intended for Darius Watts. Penalty on Lionel Barnes: Roughing the Passer, 15 yards (no play)",-0.720,1.070
4,2:07,1,10,DEN 32,6,7,Jake Plummer pass complete to Nate Jackson for 5 yards (tackle by Dewayne Washington),1.070,1.200
4,2:00,2,5,DEN 37,6,7,Jake Plummer pass incomplete intended for Rod Smith,1.200,0.500
4,1:56,3,5,DEN 37,6,7,Jake Plummer pass complete to Ashley Lelie for 8 yards (tackle by Dewayne Washington),0.500,1.930
4,1:36,1,10,DEN 45,6,7,Jake Plummer pass complete to Nate Jackson for 20 yards (tackle by Deon Grant),1.930,3.250
4,1:14,1,10,JAX 35,6,7,Jake Plummer for 9 yards (tackle by Daryl Smith),3.250,3.920
4,1:07,2,1,JAX 26,6,7,Quentin Griffin right end for 2 yards (tackle by Deke Cooper),3.920,3.970
4,1:07,1,10,JAX 24,6,7,Jake Plummer spiked the ball,3.970,3.430
4,0:44,2,10,JAX 24,6,7,Quentin Griffin left tackle for 1 yard (tackle by Lionel Barnes),3.430,2.870
4,0:37,,,,6,7,Timeout #2 by Jacksonville Jaguars,0.000,2.870
4,0:37,3,9,JAX 23,6,7,"Quentin Griffin for no gain. Quentin Griffin fumbles, recovered by Akin Ayodele at JAX-21. Penalty on Donovin Darius: Unsportsmanlike Conduct, 10 yards",2.870,0.370
4,0:37,1,10,JAX 11,6,7,"Penalty on Al Wilson: Unsportsmanlike Conduct, 15 yards (no play)",-0.370,0.670
4,0:30,1,10,JAX 26,6,7,Byron Leftwich for -2 yards,0.670,-0.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
