Quarter,Time,Down,ToGo,Location,BAL,GNB,Detail,EPB,EPA
3,14:54,1,10,BAL 41,6,0,Joe Flacco pass complete short middle to Ben Watson for 33 yards (tackle by Ha Ha Clinton-Dix),1.660,3.840
3,14:15,1,10,GNB 26,6,0,Alex Collins right guard for 1 yard (tackle by Kenny Clark),3.840,3.430
3,13:51,2,9,GNB 25,6,0,Joe Flacco pass complete short right to Alex Collins for 4 yards (tackle by Josh Jones),3.430,3.270
3,13:14,3,5,GNB 21,12,0,"Joe Flacco pass complete deep left to Mike Wallace for 21 yards, touchdown",3.270,7.000
3,13:08,,,GNB 15,13,0,Justin Tucker kicks extra point good,0.000,0.000
3,13:08,,,BAL 35,13,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,13:08,1,10,GNB 25,13,0,Brett Hundley pass complete short right to Randall Cobb for 7 yards (tackle by Lardarius Webb and Marlon Humphrey),0.610,1.010
3,12:32,2,3,GNB 32,13,0,Jamaal Williams left guard for 4 yards (tackle by Willie Henry),1.010,1.330
3,11:51,1,10,GNB 36,13,0,Brett Hundley pass complete short left to Davante Adams for 19 yards (tackle by Jimmy Smith),1.330,2.590
3,11:26,1,10,BAL 45,13,0,Jamaal Williams left tackle for 1 yard (tackle by Patrick Onwuasor and Carl Davis),2.590,2.180
3,10:45,2,9,BAL 44,13,0,Brett Hundley pass complete short left to Davante Adams for 3 yards (tackle by C.J. Mosley),2.180,1.880
3,10:04,3,6,BAL 41,13,0,Brett Hundley pass incomplete short right intended for Randall Cobb,1.880,0.530
3,9:55,4,6,BAL 41,13,0,Brett Hundley sacked by Willie Henry for -8 yards,0.530,-2.190
3,9:50,1,10,BAL 49,13,0,Alex Collins right end for -3 yards (tackle by Ahmad Brooks),2.190,1.240
3,9:12,2,13,BAL 46,13,0,Joe Flacco pass complete short right to Nick Boyle for 2 yards (tackle by Jake Ryan),1.240,0.830
3,8:26,3,11,BAL 48,13,0,Joe Flacco pass incomplete deep left intended for Jeremy Maclin,0.830,-0.190
3,8:16,4,11,BAL 48,13,0,"Sam Koch punts 52 yards, touchback",-0.190,-0.280
3,8:04,1,10,GNB 20,13,0,Brett Hundley pass complete short middle to Jamaal Williams for 14 yards (tackle by Patrick Onwuasor),0.280,1.200
3,7:30,1,10,GNB 34,13,0,Jamaal Williams right tackle for 7 yards (tackle by Lardarius Webb),1.200,1.600
3,7:06,2,3,GNB 41,13,0,Brett Hundley pass incomplete short right intended for Lance Kendricks,1.600,0.890
3,6:58,3,3,GNB 41,13,0,Brett Hundley middle for 12 yards (tackle by Eric Weddle),0.890,2.460
3,6:24,1,10,BAL 47,13,0,Brett Hundley pass complete short left to Jamaal Williams for 3 yards (tackle by Eric Weddle),2.460,2.320
3,5:51,2,7,BAL 44,13,0,Jamaal Williams right guard for 1 yard (tackle by C.J. Mosley),2.320,1.750
3,5:09,3,6,BAL 43,13,0,Brett Hundley pass incomplete deep left intended for Jordy Nelson,1.750,0.400
3,5:02,4,6,BAL 43,13,0,"Justin Vogel punts 32 yards, fair catch by Michael Campanaro",0.400,0.370
3,4:55,1,10,BAL 11,13,0,Joe Flacco sacked by Dean Lowry for -6 yards,-0.370,-1.220
3,4:16,2,16,BAL 5,13,0,Danny Woodhead middle for 2 yards (tackle by Quinton Dial),-1.220,-1.890
3,3:37,3,14,BAL 7,13,0,Joe Flacco pass complete short middle to Javorius Allen for 9 yards (tackle by Blake Martinez and Josh Jones),-1.890,-2.390
3,3:14,4,5,BAL 16,13,0,"Sam Koch punts 53 yards, returned by Trevor Davis for 9 yards (tackle by Vince Mayle). Penalty on BAL: Unsportsmanlike Conduct, 15 yards",-2.390,-2.590
3,3:01,1,10,BAL 45,13,0,Brett Hundley pass complete short right to Lance Kendricks for 5 yards (tackle by C.J. Mosley),2.590,2.720
3,2:30,2,5,BAL 40,13,0,Jamaal Williams right tackle for 3 yards (tackle by Patrick Onwuasor and Matt Judon),2.720,2.410
3,2:04,3,2,BAL 37,13,0,Jamaal Williams middle for 1 yard (tackle by Patrick Onwuasor),2.410,0.890
3,1:25,4,1,BAL 36,13,0,Jamaal Williams right guard for no gain (tackle by Michael Pierce),0.890,-1.330
3,1:19,1,10,BAL 36,13,0,Alex Collins right end for 6 yards (tackle by Josh Jones),1.330,1.600
3,0:41,2,4,BAL 42,13,0,Alex Collins left guard for 4 yards (tackle by Blake Martinez),1.600,1.990
Quarter,Time,Down,ToGo,Location,BAL,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 46,13,0,Alex Collins right guard for 1 yard (tackle by Dean Lowry),1.990,1.590
4,14:23,2,9,BAL 47,13,0,Joe Flacco pass incomplete short middle intended for Alex Collins,1.590,0.890
4,14:18,3,9,BAL 47,13,0,Joe Flacco pass complete short middle to Maxx Williams for 4 yards (tackle by Damarious Randall and Blake Martinez),0.890,0.000
4,13:45,4,5,GNB 49,13,0,Sam Koch punts 43 yards,0.000,0.380
4,13:37,1,10,GNB 6,13,0,Brett Hundley pass incomplete deep right intended for Davante Adams (defended by Marlon Humphrey),-0.380,-0.780
4,13:32,2,10,GNB 6,13,0,Jamaal Williams middle for no gain (tackle by Lardarius Webb),-0.780,-1.420
4,12:52,3,10,GNB 6,13,0,Brett Hundley pass complete short middle to Davante Adams for 15 yards (tackle by Maurice Canady),-1.420,0.340
4,12:27,1,10,GNB 21,13,0,Brett Hundley sacked by Willie Henry for -4 yards,0.340,-0.860
4,11:45,2,14,GNB 17,13,0,Brett Hundley pass incomplete short right intended for Randall Cobb,-0.860,-1.590
4,11:39,3,14,GNB 17,13,0,Brett Hundley pass complete short right to Richard Rodgers for 3 yards (tackle by Anthony Levine),-1.590,-2.030
4,11:06,4,11,GNB 20,13,0,"Justin Vogel punts 47 yards, fair catch by Michael Campanaro",-2.030,-1.140
4,10:58,1,10,BAL 33,13,0,Alex Collins right guard for 9 yards (tackle by Kenny Clark),1.140,1.810
4,10:16,2,1,BAL 42,13,0,Alex Collins middle for 2 yards (tackle by Blake Martinez and Kenny Clark),1.810,1.860
4,9:45,1,10,BAL 44,13,0,Alex Collins right guard for 5 yards (tackle by Quinton Dial),1.860,1.990
4,9:07,2,5,BAL 49,13,0,Alex Collins right end for -3 yards (tackle by Mike Daniels and Kyler Fackrell),1.990,0.890
4,8:34,3,8,BAL 46,13,0,Joe Flacco pass complete short right to Jeremy Maclin for 5 yards (tackle by Kyler Fackrell),0.890,0.000
4,7:50,4,3,GNB 49,13,0,"Sam Koch punts 41 yards, fair catch by Trevor Davis",0.000,0.380
4,7:43,1,10,GNB 8,13,0,Jamaal Williams left end for 6 yards (tackle by Willie Henry),-0.380,-0.320
4,7:16,2,4,GNB 14,13,0,Brett Hundley pass complete deep left to Davante Adams for 25 yards (tackle by Eric Weddle),-0.320,1.530
4,6:54,1,10,GNB 39,13,0,"Brett Hundley sacked by Terrell Suggs for -7 yards. Brett Hundley fumbles (forced by Terrell Suggs), recovered by C.J. Mosley at GNB-47 (tackle by Jahri Evans)",1.530,-3.640
4,6:43,1,10,GNB 29,13,0,"Alex Collins right end for 3 yards (tackle by Marwin Evans). Penalty on Ha Ha Clinton-Dix: Unnecessary Roughness, 13 yards",3.640,4.710
4,6:13,1,10,GNB 13,13,0,Javorius Allen middle for 2 yards (tackle by Ha Ha Clinton-Dix),4.710,4.390
4,5:38,2,8,GNB 11,13,0,Joe Flacco pass complete short middle to Maxx Williams for 2 yards (tackle by Ahmad Brooks),4.390,3.880
4,4:58,3,6,GNB 9,13,0,Joe Flacco pass complete short middle to Danny Woodhead for 4 yards (tackle by Josh Jones),3.880,0.000
4,4:50,,,,,,Timeout #1 by Green Bay Packers,0.000,-3.030
4,4:50,4,2,GNB 5,16,0,Justin Tucker 23 yard field goal good,3.030,3.000
4,4:46,,,BAL 35,16,0,"Justin Tucker kicks off 58 yards, returned by Trevor Davis for 18 yards (tackle by Kamalei Correa)",0.000,-0.610
4,4:42,1,10,GNB 25,16,0,Brett Hundley pass complete short middle to Randall Cobb for 18 yards (tackle by Tony Jefferson),0.610,1.800
4,4:15,1,10,GNB 43,16,0,Brett Hundley pass complete short middle to Randall Cobb for 9 yards (tackle by C.J. Mosley),1.800,2.470
4,3:54,2,1,BAL 48,16,0,"Brett Hundley pass incomplete. Penalty on Brett Hundley: Intentional Grounding, 10 yards",2.470,0.430
4,3:49,3,11,GNB 42,16,0,Brett Hundley pass incomplete short right intended for Jamaal Williams,0.430,-0.590
4,3:44,4,11,GNB 42,16,0,Brett Hundley sacked by Terrell Suggs for -12 yards,-0.590,-3.580
4,3:40,1,10,GNB 30,16,0,Alex Collins right tackle for 1 yard (tackle by Mike Daniels),3.580,3.170
4,2:55,2,9,GNB 29,16,0,"Alex Collins right end for 13 yards (tackle by Quinton Dial). Penalty on Luke Bowanko: Offensive Holding, 10 yards (no play)",3.170,1.820
4,2:46,2,19,GNB 39,16,0,Javorius Allen right end for 5 yards (tackle by Vince Biegel),1.820,0.000
4,2:40,,,,,,Timeout #2 by Green Bay Packers,0.000,-1.820
4,2:40,3,14,GNB 34,16,0,Alex Collins right end for -2 yards (tackle by Vince Biegel),1.820,0.000
4,2:34,,,,,,Timeout #3 by Green Bay Packers,0.000,-0.880
4,2:34,4,16,GNB 36,16,0,"Sam Koch punts 30 yards, muffed catch by Geronimo Allison, ball out of bounds at GNB-6",0.880,0.380
4,2:25,1,10,GNB 6,16,0,Brett Hundley pass incomplete short right intended for Jordy Nelson is intercepted by Marlon Humphrey at GNB-18 and returned for 15 yards,-0.380,-6.510
4,2:17,1,3,GNB 3,22,0,"Alex Collins left end for 3 yards, touchdown",6.510,7.000
4,2:12,,,GNB 15,23,0,Justin Tucker kicks extra point good,0.000,0.000
4,2:12,,,BAL 35,23,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,2:12,1,10,GNB 25,23,0,"Devante Mays middle for 2 yards (tackle by C.J. Mosley). Devante Mays fumbles (forced by C.J. Mosley), recovered by Jason Spriggs at GNB-30",0.610,0.740
4,2:00,2,5,GNB 30,23,0,Devante Mays right end for 1 yard (tackle by Patrick Onwuasor and Za'Darius Smith),0.740,0.170
4,1:20,3,4,GNB 31,23,0,Brett Hundley pass complete short right to Joe Kerridge for 3 yards (tackle by Matt Judon),0.170,-1.110
4,0:39,4,1,GNB 34,23,0,"Justin Vogel punts 43 yards, fair catch by Michael Campanaro",-1.110,-0.480
4,0:32,1,10,BAL 23,23,0,Joe Flacco kneels for -1 yards,0.480,-0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
