Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
4,10:55,1,10,CIN 25,3,17,Joe Mixon left guard for 4 yards (tackle by Bilal Nichols),,
4,10:19,2,6,CIN 29,3,17,Joe Burrow pass intended for Tee Higgins is intercepted by Jaylon Johnson at CIN-39 and returned for 3 yards (tackle by Tee Higgins),,
4,10:14,1,10,CIN 36,3,17,David Montgomery left tackle for 1 yard (tackle by Josh Tupou and Logan Wilson),,
4,9:39,2,9,CIN 35,3,17,Justin Fields pass incomplete deep left intended for Allen Robinson,,
4,9:33,3,9,CIN 35,3,17,"Justin Fields pass complete short left to Cole Kmet for no gain (tackle by Vonn Bell). Penalty on Cole Kmet: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,9:00,3,19,CIN 45,3,17,Justin Fields pass complete short right to David Montgomery for 5 yards (tackle by Logan Wilson and Vonn Bell),,
4,8:18,4,14,CIN 40,3,17,"Pat O'Donnell punts 40 yards, touchback.",,
4,8:14,1,10,CIN 20,3,17,Joe Burrow pass short middle (defended by Alec Ogletree) intended for Tyler Boyd is intercepted by Angelo Blackson at CIN-15 and returned for 6 yards (tackle by Joe Mixon and Riley Reiff),,
4,8:06,1,9,CIN 9,3,17,Justin Fields left end for 1 yard (tackle by Chidobe Awuzie),,
4,7:24,2,8,CIN 8,3,17,David Montgomery left tackle for 4 yards (tackle by Cameron Sample and Jessie Bates),,
4,6:48,3,4,CIN 4,3,17,Justin Fields pass incomplete short left intended for Darnell Mooney,,
4,6:43,4,4,CIN 4,3,20,Cairo Santos 22 yard field goal good,,
4,6:40,,,CHI 35,3,20,"Cairo Santos kicks off 65 yards, touchback.",,
4,6:40,1,10,CIN 25,3,20,Joe Burrow pass complete short middle to Tyler Boyd for 5 yards (tackle by Eddie Jackson and Alec Ogletree),,
4,6:06,2,5,CIN 30,3,20,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Akiem Hicks),,
4,5:35,1,10,CIN 40,3,20,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,,
4,5:29,2,10,CIN 40,3,20,Joe Mixon for 3 yards (tackle by Duke Shelley),,
4,4:55,3,7,CIN 43,3,20,Joe Burrow pass complete short right to Tyler Boyd for 15 yards (tackle by Duke Shelley),,
4,4:47,1,10,CHI 42,9,20,"Joe Burrow pass complete deep right to Ja'Marr Chase for 42 yards, touchdown",,
4,4:39,,,CHI 15,10,20,Evan McPherson kicks extra point good,,
4,4:39,,,CIN 35,10,20,"Evan McPherson kicks off 55 yards, returned by Darnell Mooney for 10 yards (tackle by Stanley Morgan)",,
4,4:36,1,10,CHI 20,10,20,David Montgomery left guard for 4 yards (tackle by Logan Wilson),,
4,3:55,2,6,CHI 24,10,20,David Montgomery left end for -1 yards (tackle by Mike Hilton and Logan Wilson),,
4,3:47,,,,,,Timeout #1 by Cincinnati Bengals,,
4,3:47,3,7,CHI 23,10,20,Justin Fields pass short middle intended for Marquise Goodwin is intercepted by Logan Wilson at CHI-25 and returned for 18 yards (tackle by Damien Williams and Marquise Goodwin),,
4,3:43,1,7,CHI 7,16,20,"Joe Burrow pass complete short right to Tee Higgins for 7 yards, touchdown",,
4,3:39,,,CHI 15,17,20,Evan McPherson kicks extra point good,,
4,3:39,,,CIN 35,17,20,"Evan McPherson kicks off 65 yards, touchback.",,
4,3:39,1,10,CHI 25,17,20,David Montgomery left guard for 1 yard (tackle by Trey Hendrickson and Larry Ogunjobi),,
4,3:34,,,,,,Timeout #2 by Cincinnati Bengals,,
4,3:34,2,9,CHI 26,17,20,Justin Fields pass complete short right to Cole Kmet for no gain (tackle by Jessie Bates),,
4,2:56,3,9,CHI 26,17,20,Justin Fields scrambles left end for 10 yards (tackle by Cameron Sample),,
4,2:06,1,10,CHI 36,17,20,David Montgomery right guard for 6 yards (tackle by Logan Wilson),,
4,2:00,2,4,CHI 42,17,20,David Montgomery right guard for 4 yards (tackle by Larry Ogunjobi and Logan Wilson),,
4,1:54,,,,,,Timeout #3 by Cincinnati Bengals,,
4,1:54,1,10,CHI 46,17,20,Justin Fields kneels for -1 yards,,
4,1:14,2,11,CHI 45,17,20,Justin Fields kneels for -2 yards,,
4,0:31,3,13,CHI 43,17,20,Justin Fields kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
