Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
2,8:39,1,10,DAL 13,3,3,Joseph Randle right tackle for 1 yard (tackle by Chandler Jones and Malcom Brown),-0.320,-0.680
2,7:57,2,9,DAL 14,3,3,Brandon Weeden pass complete short left to Lucky Whitehead for -3 yards (tackle by Tarell Brown),-0.680,-1.650
2,7:13,3,12,DAL 11,3,3,"Brandon Weeden pass complete short left to Darren McFadden for 12 yards (tackle by Devin McCourty). Penalty on Ronald Leary: Offensive Holding, 5 yards (no play)",-1.650,-2.240
2,6:47,3,17,DAL 6,3,3,Brandon Weeden pass complete short right to Darren McFadden for 12 yards (tackle by Tarell Brown),-2.240,-2.240
2,6:08,4,5,DAL 18,3,3,"Chris Jones punts 46 yards, returned by Danny Amendola for 9 yards (tackle by Damien Wilson)",-2.240,-1.930
2,5:57,1,10,NWE 45,3,3,"Tom Brady pass complete short left to Danny Amendola for 1 yard (tackle by Corey White). Penalty on Morris Claiborne: Illegal Use of Hands, 5 yards (no play)",1.930,2.260
2,5:32,1,10,,3,3,Tom Brady pass complete short left to Julian Edelman for 16 yards (tackle by J.J. Wilcox),2.260,3.310
2,5:04,1,10,DAL 34,3,3,Tom Brady pass complete short left to Dion Lewis for 7 yards (tackle by Sean Lee),3.310,3.720
2,4:48,2,3,DAL 27,3,3,Tom Brady pass complete short left to Danny Amendola for 4 yards (tackle by Corey White),3.720,4.040
2,4:20,1,10,DAL 23,3,3,Tom Brady pass incomplete short right intended for Dion Lewis,4.040,3.500
2,4:16,2,10,DAL 23,3,3,Tom Brady pass complete short right to Dion Lewis for 9 yards (tackle by Tyrone Crawford),3.500,4.280
2,3:58,3,1,DAL 14,3,3,Dion Lewis right end for 13 yards (tackle by J.J. Wilcox),4.280,4.280
2,3:42,3,1,DAL 14,3,3,Timeout #1 by Dallas Cowboys,4.280,6.970
2,3:42,1,1,DAL 1,9,3,"Tom Brady middle for 1 yard, touchdown",6.970,7.000
2,3:42,,,DAL 1,10,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,3:42,,,NWE 35,10,3,"Stephen Gostkowski kicks off 72 yards, returned by Lucky Whitehead for 21 yards (tackle by Brandon King)",0.000,0.280
2,3:33,1,10,DAL 14,10,3,Brandon Weeden pass complete short middle to Darren McFadden for 4 yards (tackle by Justin Coleman),-0.280,-0.210
2,3:03,2,6,DAL 18,10,3,Darren McFadden left tackle for 1 yard (tackle by Dominique Easley),-0.210,-0.800
2,2:18,3,5,DAL 19,10,3,Brandon Weeden pass incomplete deep middle intended for Terrance Williams (defended by Chandler Jones),-0.800,-2.140
2,2:11,4,5,DAL 19,10,3,"Chris Jones punts 39 yards, returned by Danny Amendola for 6 yards (tackle by Andrew Gachkar). Penalty on Logan Ryan: Offensive Holding, 10 yards",-2.140,-1.470
2,2:00,1,10,NWE 38,10,3,Tom Brady middle for 2 yards (tackle by Rolando McClain),1.470,1.190
2,1:30,2,8,NWE 40,10,3,Tom Brady pass incomplete short left intended for Danny Amendola (defended by Corey White),1.190,0.500
2,1:24,3,8,NWE 40,10,3,Tom Brady pass incomplete short right intended for Rob Gronkowski,0.500,0.500
2,1:20,3,8,NWE 40,10,3,Timeout #2 by Dallas Cowboys,0.500,-0.720
2,1:18,4,8,NWE 40,10,3,"Ryan Allen punts 47 yards, fair catch by Cole Beasley",-0.720,0.320
2,1:12,1,10,DAL 13,10,3,Brandon Weeden pass incomplete short middle intended for Cole Beasley,-0.320,-0.770
2,1:06,2,10,DAL 13,10,3,Brandon Weeden sacked by Jabaal Sheard for -8 yards,-0.770,-0.770
2,1:02,2,10,DAL 13,10,3,Timeout #1 by New England Patriots,-0.770,-2.360
2,1:02,3,18,DAL 5,10,3,Darren McFadden middle for 7 yards (tackle by Jamie Collins and Sealver Siliga),-2.360,-2.360
2,0:59,3,18,DAL 5,10,3,Timeout #2 by New England Patriots,-2.360,-2.490
2,0:59,4,11,DAL 12,10,3,"Chris Jones punts 43 yards, out of bounds",-2.490,-1.930
2,0:53,1,10,NWE 45,10,3,Tom Brady sacked by Tyrone Crawford for -8 yards,1.930,0.300
2,0:24,2,18,NWE 37,10,3,Tom Brady pass complete short middle to Julian Edelman for 24 yards (tackle by J.J. Wilcox),0.300,0.300
2,0:14,2,18,NWE 37,10,3,Timeout #3 by New England Patriots,0.300,0.300
2,0:14,2,18,NWE 37,10,3,Timeout #3 by Dallas Cowboys,0.300,2.980
2,0:14,1,10,DAL 39,10,3,Tom Brady pass incomplete deep right intended for Matt Slater,2.980,2.440
2,0:08,2,10,DAL 39,13,3,Stephen Gostkowski 57 yard field goal good,2.440,3.000
2,0:08,,,NWE 35,13,3,"Stephen Gostkowski kicks off 73 yards, touchback",0.000,-0.280
2,0:03,1,10,DAL 20,13,3,Brandon Weeden kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,13,3,"Dan Bailey kicks off 70 yards, touchback",0.000,-0.280
3,15:00,1,10,NWE 20,13,3,"LeGarrette Blount left end for 1 yard (tackle by Sean Lee). Penalty on Julian Edelman: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,14:31,1,20,NWE 10,13,3,Tom Brady pass complete short left to Rob Gronkowski for 33 yards (tackle by J.J. Wilcox),-0.760,1.800
3,13:56,1,10,NWE 43,13,3,LeGarrette Blount right guard for 4 yards (tackle by Tyrone Crawford),1.800,1.790
3,13:18,2,6,NWE 47,13,3,Tom Brady pass complete short right to Dion Lewis for 7 yards (tackle by Byron Jones and Morris Claiborne),1.790,2.520
3,12:41,1,10,DAL 46,13,3,LeGarrette Blount middle for 6 yards (tackle by Sean Lee and Greg Hardy),2.520,2.790
3,12:14,2,4,DAL 40,13,3,LeGarrette Blount middle for -1 yards (tackle by Barry Church and Demarcus Lawrence),2.790,1.950
3,11:28,3,5,DAL 41,13,3,Tom Brady pass complete short middle to Rob Gronkowski for 18 yards (tackle by Byron Jones),1.950,4.040
3,10:53,1,10,DAL 23,13,3,LeGarrette Blount left tackle for 7 yards (tackle by Rolando McClain),4.040,4.560
3,10:20,2,3,DAL 16,13,3,"LeGarrette Blount middle for 1 yard (tackle by Anthony Hitchens and Nick Hayden). Penalty on Rolando McClain: Illegal Use of Hands, 5 yards",4.560,4.910
3,9:55,1,10,DAL 10,19,3,"Tom Brady pass complete short right to Dion Lewis for 10 yards, touchdown",4.910,7.000
3,9:55,,,DAL 10,20,3,Stephen Gostkowski kicks extra point good,0.000,0.000
3,9:55,,,NWE 35,20,3,"Stephen Gostkowski kicks off 68 yards, touchback",0.000,-0.280
3,9:48,1,10,DAL 20,20,3,Joseph Randle right tackle for 5 yards (tackle by Jamie Collins and Sealver Siliga),0.280,0.410
3,9:14,2,5,DAL 25,20,3,Joseph Randle left tackle for 4 yards (tackle by Alan Branch),0.410,0.230
3,8:37,3,1,DAL 29,20,3,Christine Michael right tackle for 6 yards (tackle by Devin McCourty),0.230,1.270
3,8:03,1,10,DAL 35,20,3,Brandon Weeden pass incomplete short middle intended for Terrance Williams (defended by Malcolm Butler),1.270,0.720
3,7:57,2,10,DAL 35,20,3,Joseph Randle left tackle for 2 yards (tackle by Logan Ryan and Jerod Mayo),0.720,0.300
3,7:12,3,8,DAL 37,20,3,"Brandon Weeden pass incomplete short middle intended for Devin Street. Penalty on Justin Coleman: Illegal Contact, 5 yards (no play)",0.300,1.730
3,7:12,1,10,DAL 42,20,3,"Penalty on Zack Martin: False Start, 5 yards (no play)",1.730,1.400
3,7:04,1,15,DAL 37,20,3,Brandon Weeden pass complete short middle to Jason Witten for 16 yards (tackle by Tarell Brown),1.400,2.460
3,6:27,1,10,NWE 47,20,3,Brandon Weeden pass complete short right to Joseph Randle for 10 yards (tackle by Jerod Mayo),2.460,3.120
3,5:36,1,10,NWE 37,20,3,Joseph Randle right guard for no gain (tackle by Jabaal Sheard),3.120,2.570
3,5:00,2,10,NWE 37,20,3,Brandon Weeden pass complete short right to Joseph Randle for -3 yards (tackle by Jamie Collins),2.570,1.490
3,4:13,3,13,NWE 40,20,3,Brandon Weeden pass complete short left to Devin Street for 13 yards,1.490,3.780
3,3:55,1,10,NWE 27,20,3,Joseph Randle left tackle for 14 yards (tackle by Devin McCourty and Patrick Chung),3.780,4.710
3,3:14,1,10,NWE 13,20,3,Joseph Randle left guard for 5 yards (tackle by Rob Ninkovich and Sealver Siliga),4.710,4.960
3,2:28,2,5,NWE 8,20,3,Darren McFadden left tackle for 1 yard (tackle by Alan Branch),4.960,4.330
3,1:55,3,4,NWE 7,20,3,Brandon Weeden pass complete short left to Jason Witten for 2 yards (tackle by Devin McCourty),4.330,3.030
3,1:22,4,2,NWE 5,20,6,Dan Bailey 23 yard field goal good,3.030,3.000
3,1:22,,,DAL 35,20,6,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,1:17,1,10,NWE 20,20,6,Tom Brady pass complete short left to Dion Lewis for 6 yards (tackle by Barry Church),0.280,0.540
3,0:42,2,4,NWE 26,20,6,LeGarrette Blount middle for 2 yards (tackle by Barry Church),0.540,0.100
Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,NWE 28,20,6,Tom Brady pass complete deep middle to Keshawn Martin for 16 yards (tackle by Brandon Carr),0.100,1.860
4,14:22,1,10,NWE 44,20,6,"Tom Brady pass complete short left to Danny Amendola for 34 yards (tackle by Byron Jones). Penalty on Julian Edelman: Offensive Pass Interference, 10 yards (no play)",1.860,1.200
4,13:49,1,20,NWE 34,20,6,Tom Brady pass complete short right to Dion Lewis for 7 yards (tackle by J.J. Wilcox),1.200,0.910
4,13:10,2,13,NWE 41,26,6,"Tom Brady pass complete deep left to Julian Edelman for 59 yards, touchdown",0.910,7.000
4,13:10,,,DAL 41,27,6,Stephen Gostkowski kicks extra point good,0.000,0.000
4,13:10,,,NWE 35,27,6,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,12:58,1,10,DAL 20,27,6,"Darren McFadden for 5 yards. Penalty on Jason Witten: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,12:31,1,20,DAL 10,27,6,Brandon Weeden pass complete short middle to Darren McFadden for 6 yards (tackle by Jamie Collins),-0.760,-0.940
4,12:04,2,14,DAL 16,27,6,Brandon Weeden pass complete deep middle to Terrance Williams for 17 yards (tackle by Malcolm Butler),-0.940,1.140
4,11:39,1,10,DAL 33,27,6,Darren McFadden middle for 4 yards (tackle by Patrick Chung),1.140,1.130
4,11:14,2,6,DAL 37,27,6,"Brandon Weeden pass complete short middle to Jason Witten for 6 yards (tackle by Jamie Collins). Jason Witten fumbles (forced by Jamie Collins), recovered by Jonathan Freeny at DAL-43 and returned for 7 yards (tackle by Darren McFadden)",1.130,-3.180
4,11:03,1,10,DAL 36,27,6,Tom Brady pass complete short right to Dion Lewis for -1 yards (tackle by Rolando McClain),3.180,2.500
4,10:16,2,11,DAL 37,27,6,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Corey White),2.500,1.820
4,10:11,3,11,DAL 37,27,6,Tom Brady pass complete short middle to Rob Gronkowski for 10 yards (tackle by Byron Jones),1.820,1.820
4,9:47,4,1,DAL 27,27,6,LeGarrette Blount middle for no gain (tackle by Jeremy Mincey),1.820,-0.740
4,9:42,1,10,DAL 27,27,6,Brandon Weeden pass complete short right to Terrance Williams for 13 yards (tackle by Jordan Richards),0.740,1.600
4,9:09,1,10,DAL 40,27,6,Brandon Weeden sacked by Jabaal Sheard for -7 yards,1.600,0.110
4,8:35,2,17,DAL 33,27,6,Brandon Weeden pass complete short left to Cole Beasley for 7 yards (tackle by Devin McCourty),0.110,0.370
4,8:06,3,10,DAL 40,27,6,Brandon Weeden pass complete short right to Jason Witten for 6 yards (tackle by Patrick Chung),0.370,-0.320
4,7:35,4,4,DAL 46,27,6,Brandon Weeden right end for 8 yards (tackle by Devin McCourty),-0.320,2.520
4,7:03,1,10,NWE 46,27,6,Brandon Weeden pass complete short left to Joseph Randle for 1 yard (tackle by Tarell Brown),2.520,2.110
4,6:30,2,9,NWE 45,27,6,Brandon Weeden pass incomplete deep right intended for Vince Mayle is intercepted by Logan Ryan at NWE-22 and returned for 25 yards,2.110,-2.060
4,6:20,1,10,NWE 47,27,6,LeGarrette Blount right end for 34 yards (tackle by Barry Church),2.060,4.310
4,5:43,1,10,DAL 19,27,6,LeGarrette Blount right tackle for 3 yards (tackle by Jeremy Mincey and Rolando McClain),4.310,4.180
4,4:57,2,7,DAL 16,27,6,Dion Lewis left end for no gain (tackle by Greg Hardy),4.180,4.180
4,4:49,2,7,DAL 16,27,6,Timeout #1 by Dallas Cowboys,4.180,4.180
4,4:49,2,7,DAL 16,27,6,Timeout #1 by New England Patriots,4.180,3.410
4,4:49,3,7,DAL 16,27,6,"Penalty on Julian Edelman: False Start, 5 yards (no play)",3.410,2.810
4,4:49,3,12,DAL 21,27,6,Dion Lewis middle for 5 yards (tackle by Jeremy Mincey),2.810,2.810
4,4:45,3,12,DAL 21,27,6,Timeout #2 by Dallas Cowboys,2.810,2.380
4,4:42,4,7,DAL 16,30,6,Stephen Gostkowski 34 yard field goal good,2.380,3.000
4,4:42,,,NWE 35,30,6,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,4:41,1,10,DAL 20,30,6,Brandon Weeden pass complete short left to Darren McFadden for 9 yards (tackle by Patrick Chung and Tarell Brown),0.280,0.950
4,4:15,2,1,DAL 29,30,6,Brandon Weeden pass complete short middle to Darren McFadden for 4 yards (tackle by Jamie Collins),0.950,1.140
4,3:52,1,10,DAL 33,30,6,Brandon Weeden pass complete short right to Darren McFadden for 10 yards (tackle by Devin McCourty),1.140,1.800
4,3:23,1,10,DAL 43,30,6,Brandon Weeden pass complete deep right to Cole Beasley for 21 yards (tackle by Tarell Brown),1.800,3.180
4,2:54,1,10,NWE 36,30,6,Brandon Weeden pass complete short right to Jason Witten for 3 yards (tackle by Logan Ryan),3.180,3.040
4,2:49,2,7,NWE 33,30,6,Brandon Weeden pass complete short left to Darren McFadden for 4 yards (tackle by Tarell Brown),3.040,2.870
4,2:27,3,3,NWE 29,30,6,Brandon Weeden pass complete short left to Darren McFadden for 7 yards (tackle by Jordan Richards),2.870,4.110
4,2:01,1,10,NWE 22,30,6,Brandon Weeden for 11 yards (tackle by Logan Ryan),4.110,4.840
4,1:53,1,10,NWE 11,30,6,Brandon Weeden pass incomplete short right intended for Gavin Escobar (defended by Patrick Chung),4.840,4.140
4,1:49,2,10,NWE 11,30,6,"Brandon Weeden pass incomplete short middle intended for Gavin Escobar. Penalty on Patrick Chung: Defensive Holding, 5 yards (no play)",4.140,5.830
4,1:41,1,6,NWE 6,30,6,Brandon Weeden pass incomplete short middle intended for Jason Witten,5.830,4.950
4,1:36,2,6,NWE 6,30,6,Brandon Weeden pass incomplete short right intended for Darren McFadden (defended by Rob Ninkovich),4.950,4.040
4,1:30,3,6,NWE 6,30,6,Brandon Weeden pass incomplete short right intended for Gavin Escobar,4.040,4.040
4,1:26,3,6,NWE 6,30,6,Timeout #2 by New England Patriots,4.040,2.990
4,1:26,4,6,NWE 6,30,6,Brandon Weeden pass incomplete short left intended for Terrance Williams,2.990,0.380
4,1:20,1,10,NWE 6,30,6,Jimmy Garoppolo kneels for -1 yards,-0.380,-0.850
4,0:36,2,11,NWE 5,30,6,Jimmy Garoppolo kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
