Quarter,Time,Down,ToGo,Location,NYG,BAL,Detail,EPB,EPA
3,14:08,2,18,NYG 15,3,20,Daniel Jones pass complete short middle to Darius Slayton for 15 yards (tackle by DeShon Elliott),-1.280,0.170
3,13:37,3,3,NYG 30,3,20,Daniel Jones pass incomplete deep left intended for Evan Engram,0.170,-1.370
3,13:33,4,3,NYG 30,3,20,"Riley Dixon punts 42 yards, fair catch by Devin Duvernay at BAL-28",-1.370,-0.810
3,13:26,1,10,BAL 28,3,20,Gus Edwards right end for 32 yards (tackle by Blake Martinez),0.810,2.920
3,12:41,1,10,NYG 40,3,20,Lamar Jackson pass incomplete short middle intended for Miles Boykin,2.920,2.370
3,12:36,2,10,NYG 40,3,20,J.K. Dobbins right tackle for no gain (tackle by Dexter Lawrence and Jabrill Peppers),2.370,1.680
3,11:50,3,10,NYG 40,3,20,Lamar Jackson left end for 7 yards (tackle by Cam Brown),1.680,1.190
3,10:58,4,3,NYG 33,3,20,"Penalty on BAL: Delay of Game, 5 yards (no play)",1.190,0.720
3,10:52,4,8,NYG 38,3,20,"Sam Koch punts 28 yards, fair catch by Jabrill Peppers at NYG-10",0.720,0.380
3,10:46,1,10,NYG 10,3,20,Wayne Gallman left guard for 9 yards (tackle by Matt Judon),-0.380,0.240
3,10:09,2,1,NYG 19,3,20,Wayne Gallman right tackle for 3 yards (tackle by DeShon Elliott),0.240,0.410
3,9:40,1,10,NYG 22,3,20,Daniel Jones pass incomplete short middle intended for C.J. Board,0.410,-0.130
3,9:37,2,10,NYG 22,3,20,Daniel Jones pass complete short left to C.J. Board for 16 yards (tackle by Anthony Averett),-0.130,1.470
3,9:04,1,10,NYG 38,3,20,Daniel Jones pass complete deep middle to Wayne Gallman for 19 yards (tackle by L.J. Fort),1.470,2.720
3,8:24,1,10,BAL 43,3,20,Wayne Gallman left tackle for 3 yards (tackle by Patrick Queen and Derek Wolfe),2.720,2.580
3,7:48,2,7,BAL 40,3,20,"Daniel Jones pass incomplete deep left intended for Kaden Smith. Penalty on Kaden Smith: Offensive Pass Interference, 10 yards (no play)",2.580,1.230
3,7:43,2,17,NYG 50,3,20,Daniel Jones pass complete deep middle to Dante Pettis for 20 yards (tackle by Marlon Humphrey),1.230,3.580
3,7:13,1,10,BAL 30,3,20,Daniel Jones pass complete short middle to Sterling Shepard for 8 yards (tackle by Patrick Queen),3.580,4.110
3,6:31,2,2,BAL 22,3,20,Wayne Gallman right guard for 3 yards (tackle by Malik Harrison),4.110,4.310
3,5:58,,,,,,Timeout #1 by Baltimore Ravens,,
3,5:58,1,10,BAL 19,3,20,Daniel Jones pass complete short left to Sterling Shepard for -5 yards (tackle by Matt Judon),4.310,3.090
3,5:28,2,15,BAL 24,3,20,Daniel Jones sacked by Justin Madubuike for -7 yards,3.090,1.490
3,4:45,3,22,BAL 31,3,20,Daniel Jones pass complete short middle to Evan Engram for 7 yards (tackle by Chuck Clark),1.490,1.870
3,3:59,4,15,BAL 24,6,20,Graham Gano 42 yard field goal good,1.870,3.000
3,3:54,,,NYG 35,6,20,"Graham Gano kicks off 47 yards, returned by Devin Duvernay for 23 yards (tackle by Adrian Colbert and Niko Lalos)",0.000,1.660
3,3:48,1,10,BAL 41,6,20,Gus Edwards right guard for 1 yard (tackle by Austin Johnson and Jabaal Sheard),1.660,1.260
3,3:02,2,9,BAL 42,6,20,Lamar Jackson pass complete short right to Gus Edwards for 10 yards (tackle by Logan Ryan and Blake Martinez),1.260,2.390
3,2:18,1,10,NYG 48,6,20,J.K. Dobbins right end for 25 yards (tackle by Logan Ryan),2.390,4.040
3,1:40,1,10,NYG 23,6,20,J.K. Dobbins left tackle for 5 yards (tackle by Dexter Lawrence),4.040,4.210
3,0:52,2,5,NYG 18,6,20,Lamar Jackson pass complete short middle to Marquise Brown for 4 yards (tackle by Blake Martinez),4.210,4.280
3,0:16,3,1,NYG 14,6,20,Gus Edwards right end for 6 yards (tackle by Tae Crowder),4.280,5.370
Quarter,Time,Down,ToGo,Location,NYG,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,8,NYG 8,6,26,"Lamar Jackson pass complete short middle to Dez Bryant for 8 yards, touchdown",5.370,7.000
4,14:55,,,NYG 15,6,27,Justin Tucker kicks extra point good,0.000,0.000
4,14:55,,,BAL 35,6,27,"Justin Tucker kicks off 59 yards, returned by Dion Lewis for 18 yards (tackle by Pierre Desir)",0.000,0.540
4,14:50,1,10,NYG 24,6,27,Daniel Jones pass incomplete deep right intended for Darius Slayton (defended by Marlon Humphrey),0.540,0.000
4,14:45,2,10,NYG 24,6,27,Daniel Jones pass complete short right to Evan Engram for no gain (tackle by Chuck Clark),0.000,-0.690
4,14:05,3,10,NYG 24,6,27,Daniel Jones pass complete short middle to Evan Engram for 9 yards (tackle by Chuck Clark and Anthony Averett),-0.690,-1.180
4,13:30,4,1,NYG 33,6,27,Alfred Morris up the middle for 2 yards (tackle by Malik Harrison),-1.180,1.270
4,12:59,1,10,NYG 35,6,27,Daniel Jones sacked by Matt Judon for -4 yards,1.270,0.180
4,12:21,2,14,NYG 31,6,27,Daniel Jones sacked by Pernell McPhee for -8 yards,0.180,-1.550
4,11:35,3,22,NYG 23,6,27,Daniel Jones sacked by Chris Board for -1 yards,-1.550,-1.900
4,11:03,4,23,NYG 22,6,27,"Riley Dixon punts 42 yards, fair catch by Devin Duvernay at BAL-36. Penalty on Justice Hill: Roughing the Kicker, 15 yards (no play)",-1.900,1.400
4,10:58,1,10,NYG 37,6,27,Daniel Jones pass incomplete short middle intended for Evan Engram (defended by Anthony Averett),1.400,0.860
4,10:53,2,10,NYG 37,6,27,Daniel Jones pass incomplete short middle intended for Sterling Shepard (defended by Derek Wolfe),0.860,0.170
4,10:49,3,10,NYG 37,6,27,"Penalty on Andrew Thomas: False Start, 5 yards (no play)",0.170,-0.490
4,10:49,3,15,NYG 32,6,27,Daniel Jones pass complete short middle to Sterling Shepard for 16 yards (tackle by Chuck Clark),-0.490,2.130
4,10:25,1,10,NYG 48,6,27,Daniel Jones pass complete short left to Dante Pettis for 13 yards Penalty on BAL: Defensive Too Many Men on Field (Declined),2.130,2.980
4,10:05,1,10,BAL 39,6,27,Daniel Jones pass incomplete short left intended for Darius Slayton,2.980,2.440
4,10:02,2,10,BAL 39,6,27,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Anthony Averett),2.440,3.710
4,9:34,1,10,BAL 28,6,27,"Daniel Jones pass incomplete deep left intended for Sterling Shepard. Penalty on Derek Wolfe: Defensive Holding, 5 yards (no play)",3.710,4.040
4,9:29,1,10,BAL 23,6,27,"Daniel Jones pass complete short middle to Sterling Shepard for 6 yards (tackle by Patrick Queen). Penalty on Matt Judon: Defensive Offside, 5 yards (no play)",4.040,4.860
4,9:11,1,5,BAL 18,6,27,Dion Lewis right guard for 15 yards (tackle by DeShon Elliott),4.860,6.510
4,8:44,1,3,BAL 3,12,27,"Daniel Jones pass complete short left to Sterling Shepard for 3 yards, touchdown",6.510,7.000
4,8:40,,,BAL 15,13,27,Graham Gano kicks extra point good,0.000,0.000
4,8:40,,,NYG 35,13,27,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,8:40,1,10,BAL 25,13,27,Lamar Jackson up the middle for 3 yards (tackle by Blake Martinez),0.610,0.470
4,7:57,2,7,BAL 28,13,27,Gus Edwards left guard for 6 yards (tackle by Niko Lalos and James Bradberry),0.470,0.560
4,7:14,3,1,BAL 34,13,27,Lamar Jackson up the middle for no gain (tackle by Blake Martinez),0.560,-1.110
4,6:29,4,1,BAL 34,13,27,"Sam Koch punts 40 yards, returned by Jabrill Peppers for 6 yards (tackle by Chris Board and Anthony Levine)",-1.110,-1.070
4,6:17,1,10,NYG 32,13,27,Daniel Jones pass complete short middle to Sterling Shepard for 12 yards (tackle by Marlon Humphrey),1.070,1.860
4,5:42,1,10,NYG 44,13,27,Daniel Jones pass incomplete deep left intended for Darius Slayton,1.860,1.320
4,5:38,2,10,NYG 44,13,27,Daniel Jones pass incomplete short middle intended for Sterling Shepard,1.320,0.630
4,5:35,3,10,NYG 44,13,27,Daniel Jones sacked by Chris Board for -9 yards,0.630,-1.040
4,4:51,4,19,NYG 35,13,27,Daniel Jones pass incomplete deep middle intended for Evan Engram (defended by Chuck Clark),-1.040,-3.250
4,4:47,1,10,NYG 35,13,27,"Gus Edwards right end for 9 yards (tackle by Isaac Yiadom). Penalty on Miles Boykin: Offensive Holding, 10 yards (no play)",3.250,2.590
4,4:41,1,20,NYG 45,13,27,Lamar Jackson right tackle for 3 yards (tackle by Dexter Lawrence),2.590,1.760
4,4:37,,,,,,Timeout #1 by New York Giants,,
4,4:37,2,17,NYG 42,13,27,Lamar Jackson pass complete short right to Gus Edwards for 27 yards (tackle by Tae Crowder and B.J. Hill),1.760,4.580
4,4:21,,,,,,Timeout #2 by New York Giants,,
4,4:21,1,10,NYG 15,13,27,Gus Edwards right tackle for no gain (tackle by Jabrill Peppers),4.580,3.950
4,4:18,,,,,,Timeout #3 by New York Giants,,
4,4:18,2,10,NYG 15,13,27,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Jabrill Peppers),3.950,4.450
4,3:29,3,3,NYG 8,13,27,Gus Edwards right guard for 7 yards (tackle by Xavier McKinney),4.450,6.970
4,2:42,1,1,NYG 1,13,27,Gus Edwards right guard for no gain (tackle by Jabrill Peppers and Jabaal Sheard),6.970,5.910
4,2:00,2,1,NYG 1,13,27,"Lamar Jackson aborted snap, recovered by Logan Ryan at NYG-2",5.910,0.380
4,1:55,1,10,NYG 2,13,27,"Daniel Jones pass incomplete deep left intended for Evan Engram. Penalty on Chuck Clark: Defensive Pass Interference, 10 yards. Penalty on Matt Judon: Defensive Offside (Declined) (no play)",-0.380,-0.350
4,1:51,1,10,NYG 12,13,27,Daniel Jones pass complete short right to Sterling Shepard for 14 yards (tackle by Tramon Williams),-0.350,0.670
4,1:44,1,10,NYG 26,13,27,Daniel Jones pass complete short middle to Evan Engram for 15 yards (tackle by Marlon Humphrey),0.670,1.660
4,1:12,1,10,NYG 41,13,27,Daniel Jones pass incomplete short middle intended for Darius Slayton (defended by Marlon Humphrey),1.660,1.120
4,1:09,2,10,NYG 41,13,27,Daniel Jones pass incomplete deep right intended for Darius Slayton,1.120,0.430
4,1:05,3,10,NYG 41,13,27,Daniel Jones up the middle for 3 yards (tackle by Chris Board),0.430,-0.460
4,0:40,4,7,NYG 44,13,27,Daniel Jones pass incomplete short left intended for Dante Pettis,-0.460,-2.650
4,0:37,1,10,NYG 44,13,27,Lamar Jackson kneels for -1 yards,2.650,1.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
