Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
2,2:46,3,10,NWE 29,14,3,Tom Brady left end for 12 yards (tackle by Marques Anderson and Kabeer Gbaja-Biamila),-0.360,1.660
2,2:18,1,10,NWE 41,14,3,Tom Brady pass incomplete intended for David Patten,1.660,1.120
2,2:12,2,10,NWE 41,14,3,Tom Brady pass complete to Christian Fauria for 7 yards (tackle by Marques Anderson),1.120,1.360
2,2:00,3,3,NWE 48,14,3,"Penalty on Matt Light: False Start, 5 yards (no play)",1.360,0.700
2,2:00,3,8,NWE 43,14,3,Tom Brady pass incomplete intended for Deion Branch is intercepted by Matt Bowen at GNB-36,0.700,-1.330
2,1:51,1,10,GNB 36,14,3,Brett Favre pass complete to Terry Glenn for 3 yards (tackle by Terrell Buckley),1.330,1.200
2,1:24,2,7,GNB 39,14,3,Ahman Green left end for 12 yards (tackle by Tebucky Jones),1.200,2.320
2,1:19,1,10,NWE 49,14,3,Brett Favre pass incomplete intended for Javon Walker,2.320,1.780
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:15,1,10,NWE 49,,,Timeout #1 by Green Bay Packers,2.320,1.780
2,1:15,2,10,NWE 49,14,3,Brett Favre right end for 5 yards,1.780,1.750
2,0:50,3,5,NWE 44,14,3,Brett Favre pass incomplete intended for Javon Walker,1.750,0.330
2,0:46,4,5,NWE 44,14,3,"Josh Bidwell punts 44 yards, touchback",0.330,-0.280
2,0:35,1,10,NWE 20,14,3,Tom Brady pass incomplete intended for Donald Hayes,0.280,-0.270
2,0:29,2,10,NWE 20,14,3,Kevin Faulk left tackle for 9 yards (tackle by Kabeer Gbaja-Biamila),-0.270,0.230
2,0:22,2,10,NWE 20,,,Timeout #2 by New England Patriots,-0.270,0.230
2,0:22,3,1,NWE 29,14,3,Tom Brady middle for 4 yards (tackle by Na'il Diggs and Cletidus Hunt),0.230,1.140
2,0:19,3,1,NWE 29,,,Timeout #3 by New England Patriots,0.230,0.230
2,0:19,3,1,NWE 29,,,Timeout #2 by Green Bay Packers,0.230,1.140
2,0:19,1,10,NWE 33,14,3,"Penalty on Cletidus Hunt: Encroachment, 5 yards (no play)",1.140,1.870
2,0:19,1,5,NWE 38,14,3,Tom Brady pass complete to Donald Hayes for 7 yards (tackle by Tyrone Williams),1.870,1.930
2,0:19,1,5,NWE 38,,,Timeout #3 by Green Bay Packers,1.870,1.930
2,0:04,1,10,NWE 45,14,3,Tom Brady pass incomplete intended for Troy Brown. Penalty on Matt Light: Offensive Holding (Declined),1.930,1.380
Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,14,3,"Adam Vinatieri kicks off 54 yards, muffed catch by Javon Walker, recovered by Javon Walker at GB-16, and returned for 12 yards",0.000,0.810
3,14:56,1,10,GNB 28,14,3,Ahman Green right tackle for 3 yards (tackle by Ty Law and Tedy Bruschi),0.810,0.670
3,14:19,2,7,GNB 31,14,3,Brett Favre pass incomplete intended for Terry Glenn (defended by Terrell Buckley),0.670,-0.030
3,14:14,3,7,GNB 31,14,3,"Brett Favre pass incomplete intended for Javon Walker. Penalty on Otis Smith: Defensive Pass Interference, 10 yards (no play)",-0.030,1.660
3,14:10,1,10,GNB 41,14,3,"Penalty on Richard Seymour: Encroachment, 5 yards (no play)",1.660,2.390
3,14:10,1,5,GNB 46,14,3,Ahman Green left tackle for 2 yards (tackle by Roman Phifer and Bobby Hamilton),2.390,2.070
3,13:31,2,3,GNB 48,14,3,Brett Favre pass complete to Terry Glenn for 11 yards (tackle by Victor Green),2.070,2.850
3,12:52,1,10,NWE 41,14,3,Brett Favre pass complete to Ahman Green for 5 yards (tackle by Matt Chatham),2.850,2.980
3,12:13,2,5,NWE 36,14,3,Brett Favre pass incomplete intended for William Henderson (defended by Tedy Bruschi),2.980,2.280
3,12:09,3,5,NWE 36,14,3,Ahman Green left end for 1 yard (tackle by Ty Law and Victor Green),2.280,0.980
3,11:24,3,5,NWE 36,,,Timeout #1 by New England Patriots,2.280,0.980
3,11:24,4,4,NWE 35,14,3,Brett Favre pass complete to Javon Walker for 10 yards,0.980,3.910
3,10:57,1,10,NWE 25,14,3,Tony Fisher middle for 2 yards (tackle by Tedy Bruschi and Jarvis Green),3.910,3.630
3,10:21,2,8,NWE 23,14,3,Brett Favre pass incomplete intended for Terry Glenn,3.630,2.940
3,10:15,3,8,NWE 23,14,3,Brett Favre pass incomplete intended for Terry Glenn (defended by Tebucky Jones),2.940,1.930
3,10:10,4,8,NWE 23,14,3,Ryan Longwell 42 yard field goal no good,1.930,-1.070
3,10:05,1,10,NWE 32,14,3,Antowain Smith middle for no gain (tackle by Marques Anderson and Aaron Kampman),1.070,0.530
3,9:32,2,10,NWE 32,14,3,Tom Brady sacked by Aaron Kampman and Cletidus Hunt for -10 yards,0.530,-1.480
3,8:58,3,20,NWE 22,14,3,Tom Brady pass complete to Deion Branch for 18 yards (tackle by Tod McBride),-1.480,-0.720
3,8:08,4,2,NWE 40,14,3,"Ken Walter punts 40 yards, muffed catch by Darrien Gordon, recovered by Torrance Marshall and returned for no gain",-0.720,0.380
3,7:55,1,10,GNB 6,14,3,Ahman Green right guard for 9 yards (tackle by Ted Johnson and Tebucky Jones),-0.380,-0.070
3,7:23,2,1,GNB 15,14,3,Ahman Green right tackle for -1 yards (tackle by Ben Kelly and Roman Phifer),-0.070,-0.480
3,6:43,3,2,GNB 14,14,3,Brett Favre pass complete to Bubba Franks for 16 yards (tackle by Lawyer Milloy),-0.480,0.940
3,5:58,1,10,GNB 30,14,3,Ahman Green left tackle for -1 yards (tackle by Roman Phifer),0.940,0.260
3,5:22,2,11,GNB 29,14,3,"Brett Favre pass incomplete intended for Javon Walker (defended by Ben Kelly). Penalty on Ben Kelly: Defensive Pass Interference, 34 yards (no play)",0.260,3.120
3,5:16,1,10,NWE 37,14,3,Brett Favre pass complete to Bubba Franks for 6 yards (tackle by Mike Vrabel),3.120,3.380
3,4:39,2,4,NWE 31,14,3,Brett Favre pass complete to Donald Driver for 29 yards (tackle by Ben Kelly),3.380,6.740
3,3:55,1,2,NWE 2,20,3,"Brett Favre pass complete to Bubba Franks for 2 yards, touchdown",6.740,7.000
3,3:55,,,NWE 2,21,3,Ryan Longwell kicks extra point good,0.000,0.000
3,3:55,,,GNB 30,21,3,"Ryan Longwell kicks off 64 yards, returned by Patrick Pass for 21 yards (tackle by Tony Fisher). Penalty on Matt Chatham: Offensive Holding, 10 yards",0.000,-0.060
3,3:42,1,10,NWE 17,21,3,Tom Brady pass complete to David Givens for 8 yards (tackle by Tyrone Williams),-0.060,0.620
3,3:19,2,2,NWE 25,21,3,Tom Brady pass incomplete intended for David Patten,0.620,-0.240
3,3:14,3,2,NWE 25,21,3,Tom Brady middle for 7 yards (tackle by Na'il Diggs and Matt Bowen),-0.240,1.070
3,2:45,1,10,NWE 32,21,3,Tom Brady pass complete to David Patten for 13 yards (tackle by Todd Franz),1.070,1.930
3,2:19,1,10,NWE 45,21,3,Tom Brady pass incomplete intended for Christian Fauria,1.930,1.380
3,2:13,2,10,NWE 45,21,3,"Tom Brady pass incomplete intended for David Patten. Penalty on Bryant Westbrook: Defensive Pass Interference, 30 yards (no play)",1.380,3.910
3,2:06,1,10,GNB 25,21,3,"Tom Brady pass complete to Donald Hayes for 6 yards. Penalty on Matt Light: Offensive Holding, 10 yards (no play)",3.910,3.250
3,1:45,1,20,GNB 35,21,3,Tom Brady pass incomplete intended for Kevin Faulk,3.250,2.010
3,1:38,2,20,GNB 35,21,3,Tom Brady pass incomplete intended for David Patten is intercepted by Marques Anderson at GNB-13 and returned for 22 yards,2.010,-1.270
3,1:25,1,10,GNB 35,21,3,Ahman Green right guard for 3 yards (tackle by Bobby Hamilton and Mike Vrabel),1.270,1.130
3,0:44,2,7,GNB 38,21,3,Ahman Green middle for 38 yards (tackle by Lawyer Milloy),1.130,3.970
Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 24,21,3,Tony Fisher right end for 7 yards (tackle by Steve Martin and Bobby Hamilton),3.970,4.460
4,14:20,2,3,NWE 17,21,3,Ahman Green middle for 1 yard (tackle by Roman Phifer),4.460,3.950
4,13:36,3,2,NWE 16,21,3,"Brett Favre pass incomplete intended for Terry Glenn. Penalty on Terrell Buckley: Defensive Pass Interference, 12 yards (no play)",3.950,6.280
4,13:30,1,4,NWE 4,21,3,Ahman Green middle for -2 yards (tackle by Tedy Bruschi),6.280,4.950
4,12:49,2,6,NWE 6,21,3,Ahman Green right guard for 5 yards (tackle by Roman Phifer and Lawyer Milloy),4.950,5.170
4,12:12,3,1,NWE 1,27,3,"Ahman Green right guard for 1 yard, touchdown",5.170,7.000
4,12:12,,,NWE 1,28,3,Ryan Longwell kicks extra point good,0.000,0.000
4,12:12,,,GNB 30,28,3,"Ryan Longwell kicks off 63 yards, returned by Kevin Faulk for 27 yards (tackle by Bryant Westbrook)",0.000,1.200
4,12:02,1,10,NWE 34,28,3,"Tom Brady pass complete to David Patten for 5 yards (tackle by Bryant Westbrook). Tom Brady fumbles, recovered by Tom Brady at NWE-30",1.200,1.330
4,11:53,2,5,NWE 39,28,3,Antowain Smith middle for 9 yards (tackle by Marques Anderson),1.330,2.130
4,11:14,1,10,NWE 48,28,3,Antowain Smith left tackle for 7 yards (tackle by Kabeer Gbaja-Biamila),2.130,2.530
4,10:49,2,3,GNB 45,28,3,"Tom Brady pass complete to David Patten for 20 yards (tackle by Na'il Diggs). Penalty on Adrian Klemm: Illegal Use of Hands, 10 yards (no play)",2.530,1.180
4,10:24,2,13,NWE 45,28,3,Antowain Smith middle for 7 yards (tackle by Na'il Diggs),1.180,1.420
4,9:56,3,6,GNB 48,28,3,Tom Brady pass incomplete intended for Troy Brown,1.420,0.070
4,9:51,4,6,GNB 48,28,3,Ken Walter punts 37 yards,0.070,0.370
4,9:38,1,10,GNB 11,28,3,Ahman Green right guard for 2 yards (tackle by Tedy Bruschi and Bobby Hamilton),-0.370,-0.630
4,8:57,2,8,GNB 13,28,3,Ahman Green right tackle for 4 yards (tackle by Bobby Hamilton),-0.630,-0.720
4,8:13,3,4,GNB 17,28,3,Brett Favre pass incomplete intended for Javon Walker,-0.720,-2.320
4,8:10,4,4,GNB 17,28,3,"Josh Bidwell punts 43 yards, returned by Kevin Faulk for 16 yards (tackle by Rob Davis)",-2.320,-2.650
4,8:00,1,10,GNB 44,28,3,Tom Brady pass incomplete intended for Antowain Smith,2.650,2.110
4,7:56,2,10,GNB 44,28,3,"Penalty on Billy Lyon: Encroachment, 5 yards (no play)",2.110,2.780
4,7:55,2,5,GNB 39,28,3,Antowain Smith right tackle for 12 yards (tackle by Marques Anderson and Aaron Kampman),2.780,3.780
4,7:30,1,10,GNB 27,28,3,Antowain Smith right end for 8 yards (tackle by Aaron Kampman and Na'il Diggs),3.780,4.350
4,7:02,2,2,GNB 19,28,3,Antowain Smith middle for 13 yards (tackle by Todd Franz and Tod McBride),4.350,5.830
4,6:35,1,6,GNB 6,28,3,Antowain Smith right guard for 2 yards (tackle by Cletidus Hunt and Matt Bowen),5.830,5.340
4,6:03,2,4,GNB 4,28,9,"Tom Brady pass complete to David Givens for 4 yards, touchdown",5.340,7.000
4,6:03,,,GNB 4,28,10,Adam Vinatieri kicks extra point good,0.000,0.000
4,6:03,,,NWE 30,28,10,"Adam Vinatieri kicks off 67 yards, returned by Darrien Gordon for 3 yards",0.000,-0.380
4,5:54,1,10,GNB 6,28,10,Ahman Green right guard for 1 yard (tackle by Mike Vrabel),-0.380,-0.710
4,5:12,2,9,GNB 7,28,10,Ahman Green middle for 4 yards (tackle by Bobby Hamilton),-0.710,-0.840
4,4:27,3,5,GNB 11,28,10,Brett Favre sacked by Bobby Hamilton for -4 yards,-0.840,-2.490
4,4:20,3,5,GNB 11,,,Timeout #2 by New England Patriots,-0.840,-2.490
4,4:20,4,9,GNB 7,28,10,"Josh Bidwell punts 49 yards, returned by Kevin Faulk for 12 yards (tackle by Marcus Wilkins)",-2.490,-2.650
4,4:10,1,10,GNB 44,28,10,Tom Brady sacked by Billy Lyon for -7 yards,2.650,1.170
4,3:47,2,17,NWE 49,28,10,Tom Brady pass complete to David Givens for 10 yards (tackle by Tyrone Williams),1.170,1.820
4,3:18,3,7,GNB 41,28,10,Tom Brady pass complete to Deion Branch for 1 yard (tackle by Steve Warren),1.820,0.590
4,2:50,4,6,GNB 40,28,10,Tom Brady pass incomplete intended for Deion Branch,0.590,-1.660
4,2:44,1,10,GNB 41,28,10,Ahman Green middle for no gain (tackle by Rick Lyle),1.660,1.120
4,2:00,2,10,GNB 41,28,10,Ahman Green right guard for no gain (tackle by Bobby Hamilton and Ted Johnson),1.120,0.430
4,1:13,3,10,GNB 41,28,10,Donald Driver left end for 5 yards (tackle by Rick Lyle and Richard Seymour),0.430,-0.320
4,1:04,3,10,GNB 41,,,Timeout #3 by New England Patriots,0.430,-0.320
4,1:04,4,5,GNB 46,28,10,"Josh Bidwell punts 29 yards, fair catch by Kevin Faulk",-0.320,-0.610
4,0:58,1,10,NWE 25,28,10,Tom Brady pass incomplete intended for Christian Fauria,0.610,0.060
4,0:54,2,10,NWE 25,28,10,Antowain Smith right guard for -1 yards (tackle by Billy Lyon and Marques Anderson),0.060,-0.760
4,0:29,3,11,NWE 24,28,10,Tom Brady pass complete to Deion Branch for 7 yards (tackle by Cletidus Hunt),-0.760,-1.310
4,0:06,4,4,NWE 31,28,10,Tom Brady pass complete to Antowain Smith for 14 yards (tackle by Matt Bowen),-1.310,1.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
