Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
2,8:34,3,10,BUF 47,0,7,"Ryan Fitzpatrick pass complete short middle to Fred Jackson for 8 yards (tackle by Lawrence Jackson). Fred Jackson fumbles (forced by Lawrence Jackson), recovered by DeAndre Levy at DET-41",0.830,-1.660
2,8:17,1,10,DET 41,0,7,Jahvid Best right tackle for 2 yards (tackle by Chris Kelsay and Torell Troup),1.660,1.390
2,7:41,2,8,DET 43,0,7,Shaun Hill pass complete short right to Calvin Johnson for 17 yards (tackle by Reggie Torbor),1.390,2.920
2,7:16,1,10,BUF 40,0,7,Kevin Smith right end for 1 yard (tackle by Akin Ayodele and Marcus Stroud),2.920,2.510
2,6:37,2,9,BUF 39,0,7,Jahvid Best middle for 2 yards (tackle by Marcus Stroud),2.510,2.080
2,5:56,3,7,BUF 37,0,7,Shaun Hill pass complete short middle to Calvin Johnson for 8 yards (tackle by Paul Posluszny and Bryan Scott),2.080,3.640
2,5:15,1,10,BUF 29,0,7,"Shaun Hill pass incomplete. Penalty on Jeff Backus: Offensive Holding, 10 yards (no play)",3.640,2.980
2,5:08,1,20,BUF 39,0,7,"Shaun Hill pass complete short right to Calvin Johnson for 4 yards (tackle by Dwan Edwards). Calvin Johnson fumbles (forced by Dwan Edwards), recovered by Jahvid Best at BUF-34",2.980,2.420
2,4:28,2,15,BUF 34,0,7,Jahvid Best left end for -1 yards (tackle by Drayton Florence),2.420,1.620
2,3:57,3,16,BUF 35,0,7,Shaun Hill sacked by Bryan Scott for -9 yards,1.620,0.330
2,3:30,4,25,BUF 44,0,7,"Nick Harris punts 33 yards, muffed catch by Leodis McKelvin, ball out of bounds at BUF-15",0.330,0.220
2,3:23,1,10,BUF 15,0,7,Ryan Fitzpatrick pass incomplete short left intended for Fred Jackson,-0.220,-0.710
2,3:19,2,10,BUF 15,0,7,Fred Jackson left tackle for 6 yards (tackle by Amari Spievey and Kyle Vanden Bosch),-0.710,-0.630
2,2:49,3,4,BUF 21,0,7,Ryan Fitzpatrick pass incomplete deep right intended for Donald Jones (defended by Chris Houston),-0.630,-1.960
2,2:43,4,4,BUF 21,0,7,Brian Moorman punts 35 yards,-1.960,-1.860
2,2:35,1,10,DET 44,0,7,Shaun Hill pass complete short middle to Brandon Pettigrew for 6 yards (tackle by Paul Posluszny),1.860,2.130
2,2:10,2,4,,0,7,Shaun Hill middle for 1 yard (tackle by Chris Kelsay),2.130,1.550
2,2:00,3,3,BUF 49,0,7,Shaun Hill pass incomplete short middle intended for Calvin Johnson,1.550,0.000
2,1:55,4,3,BUF 49,0,7,Nick Harris punts 48 yards,0.000,0.380
2,1:46,1,10,BUF 1,0,7,Fred Jackson middle for 1 yard (tackle by DeAndre Levy and Sammie Lee Hill),-0.380,-0.710
2,1:03,2,9,BUF 2,0,7,Fred Jackson middle for 2 yards (tackle by DeAndre Levy and Kyle Vanden Bosch),-0.710,-1.070
2,0:56,,,,0,7,Timeout #1 by Detroit Lions,0.000,-1.070
2,0:56,3,7,BUF 4,0,7,Fred Jackson right tackle for 1 yard (tackle by Lawrence Jackson and Kyle Vanden Bosch),-1.070,-2.490
2,0:50,,,,0,7,Timeout #2 by Detroit Lions,0.000,-2.490
2,0:50,4,6,BUF 5,0,7,"Brian Moorman punts 49 yards, returned by Stefan Logan for 24 yards (tackle by Arthur Moats)",-2.490,-3.580
2,0:39,1,10,BUF 30,0,7,Shaun Hill pass incomplete short right intended for Kevin Smith,3.580,3.030
2,0:34,2,10,BUF 30,0,7,Shaun Hill pass complete short right to Kevin Smith for 7 yards (tackle by Paul Posluszny),3.030,3.270
2,0:27,3,3,BUF 23,0,7,Shaun Hill pass complete short right to Kevin Smith for 10 yards (tackle by Paul Posluszny),3.270,4.710
2,0:20,1,10,BUF 13,0,7,Shaun Hill pass incomplete short right intended for Tony Scheffler (defended by Arthur Moats),4.710,4.050
2,0:14,2,10,BUF 13,0,7,Shaun Hill pass complete short middle to Jahvid Best for 6 yards (tackle by Bryan Scott),4.050,4.330
2,0:07,,,,0,7,Timeout #3 by Detroit Lions,0.000,4.330
2,0:07,3,4,BUF 7,0,7,Shaun Hill pass incomplete short right intended for Calvin Johnson (defended by Leodis McKelvin),4.330,2.990
2,0:03,,,,0,7,Timeout #2 by Buffalo Bills,0.000,2.990
2,0:03,4,4,BUF 7,3,7,Dave Rayner 25 yard field goal good,2.990,3.000
Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 30,3,7,"Dave Rayner kicks off 57 yards, returned by Leodis McKelvin for 14 yards (tackle by Brandon McDonald)",0.000,0.740
3,14:55,1,10,BUF 27,3,7,Fred Jackson right guard for 39 yards (tackle by Julian Peterson),0.740,3.310
3,14:25,1,10,DET 34,3,7,Fred Jackson right guard for -1 yards (tackle by Turk McBride and Ashlee Palmer),3.310,2.640
3,13:45,2,11,DET 35,3,7,Fred Jackson middle for 7 yards (tackle by Amari Spievey and Turk McBride),2.640,2.870
3,13:01,3,4,DET 28,3,7,Ryan Fitzpatrick pass complete short right to Steve Johnson for 10 yards (tackle by Chris Houston),2.870,4.370
3,12:16,1,10,DET 18,3,7,Quinton Ganther middle for 2 yards (tackle by Ashlee Palmer),4.370,4.090
3,11:35,2,8,DET 16,3,13,"Ryan Fitzpatrick pass complete short middle to Fred Jackson for 16 yards, touchdown",4.090,7.000
3,,,,DET 2,3,14,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,3,14,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
3,11:26,1,10,DET 20,3,14,Jahvid Best middle for 1 yard (tackle by Akin Ayodele),0.280,-0.130
3,10:52,2,9,DET 21,3,14,Shaun Hill pass incomplete short right intended for Brandon Pettigrew (defended by Donte Whitner),-0.130,-0.820
3,10:47,3,9,DET 21,3,14,Shaun Hill pass complete short left to Jahvid Best for 1 yard (tackle by Reggie Corner),-0.820,-1.900
3,10:12,4,8,DET 22,3,14,"Nick Harris punts 47 yards, returned by Leodis McKelvin for 14 yards (tackle by Bobby Carpenter). Penalty on Donte Whitner: Offensive Holding, 10 yards",-1.900,-0.340
3,10:00,1,10,BUF 21,3,14,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Chris Houston),0.340,0.880
3,9:21,2,2,BUF 29,3,14,Ryan Fitzpatrick pass complete short left to Fred Jackson for -3 yards (tackle by DeAndre Levy and Julian Peterson),0.880,-0.230
3,8:37,3,5,BUF 26,3,14,Fred Jackson middle for 3 yards (tackle by Kyle Vanden Bosch and Lawrence Jackson),-0.230,-1.440
3,8:04,4,2,BUF 29,3,14,"Brian Moorman punts 46 yards, fair catch by Stefan Logan",-1.440,-0.610
3,7:56,1,10,DET 25,3,14,Shaun Hill pass incomplete short middle intended for Brandon Pettigrew,0.610,0.060
3,7:53,2,10,DET 25,3,14,Jahvid Best right tackle for 2 yards (tackle by Paul Posluszny and Spencer Johnson),0.060,-0.360
3,7:13,3,8,DET 27,3,14,Shaun Hill pass complete short middle to Tony Scheffler for 12 yards (tackle by Paul Posluszny),-0.360,1.530
3,6:41,1,10,DET 39,3,14,Kevin Smith left tackle for 2 yards (tackle by Kyle Williams and Chris Kelsay),1.530,1.260
3,6:07,2,8,DET 41,3,14,Shaun Hill pass incomplete short left intended for Jerome Felton,1.260,0.560
3,6:02,3,8,DET 41,3,14,Shaun Hill pass incomplete short middle intended for Nate Burleson,0.560,-0.650
3,5:58,4,8,DET 41,3,14,"Nick Harris punts 37 yards, returned by Leodis McKelvin for 78 yards. Penalty on Jon Corto: Offensive Holding, 10 yards",-0.650,-1.400
3,5:40,1,10,BUF 37,3,14,Quinton Ganther right end for -2 yards (tackle by DeAndre Levy and Louis Delmas),1.400,0.590
3,5:21,2,12,BUF 35,3,14,Ryan Fitzpatrick pass incomplete short middle intended for Lee Evans (defended by Julian Peterson),0.590,-0.100
3,5:16,3,12,BUF 35,3,14,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans (defended by Chris Houston),-0.100,-1.040
3,5:11,4,12,BUF 35,3,14,"Brian Moorman punts 51 yards, returned by Stefan Logan for 10 yards (tackle by Arthur Moats)",-1.040,-0.540
3,4:57,1,10,DET 24,3,14,Shaun Hill pass incomplete short right intended for Nate Burleson,0.540,0.000
3,4:51,2,10,DET 24,3,14,Jahvid Best middle for 2 yards (tackle by Paul Posluszny and Dwan Edwards),0.000,-0.430
3,4:51,3,8,DET 26,3,14,"Penalty on Jeff Backus: False Start, 5 yards (no play)",-0.430,-1.090
3,4:01,3,13,DET 21,3,14,Shaun Hill pass complete short right to Brandon Pettigrew for 8 yards (tackle by Bryan Scott),-1.090,-1.440
3,3:29,4,5,DET 29,3,14,"Nick Harris punts 36 yards, returned by Leodis McKelvin for no gain",-1.440,-1.270
3,3:20,1,10,BUF 35,3,14,Fred Jackson middle for 6 yards (tackle by Turk McBride and Sammie Lee Hill),1.270,1.530
3,2:40,2,4,BUF 41,3,14,Fred Jackson middle for 27 yards (tackle by Chris Houston),1.530,3.450
3,2:08,1,10,DET 32,3,14,Quinton Ganther right guard for 3 yards (tackle by Landon Johnson and Turk McBride),3.450,3.310
