Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
3,12:54,1,10,DEN 30,13,6,Curtis Martin left tackle for 2 yards (tackle by Trevor Pryce),3.580,3.300
3,12:13,2,8,DEN 28,13,6,Chad Pennington pass complete to Wayne Chrebet for 10 yards,3.300,4.370
3,11:42,1,10,DEN 18,13,6,Curtis Martin left end for 3 yards (tackle by Kavika Pittman),4.370,4.250
3,11:00,2,7,DEN 15,13,6,Chad Pennington sacked by Ian Gold for -10 yards,4.250,2.210
3,10:33,3,17,DEN 25,13,6,Chad Pennington pass incomplete intended for Wayne Chrebet,2.210,1.800
3,10:33,4,17,DEN 25,13,9,John Hall 43 yard field goal good,1.800,3.000
3,10:33,,,NYJ 30,13,9,"John Hall kicks off 70 yards, returned by Reuben Droughns for 45 yards (tackle by James Darling)",0.000,1.930
3,10:12,1,10,DEN 45,13,9,Brian Griese pass complete to Mike Anderson for 13 yards (tackle by Marvin Jones),1.930,2.790
3,9:35,1,10,NYJ 42,13,9,Clinton Portis right guard for 3 yards (tackle by John Abraham),2.790,2.650
3,9:01,2,7,NYJ 39,13,9,"Clinton Portis right tackle for 4 yards (tackle by Marvin Jones and Sam Cowart). Penalty on Marvin Jones: Face Mask (15 Yards), 15 yards",2.650,4.240
3,8:43,1,10,NYJ 20,13,9,Clinton Portis right guard for 2 yards (tackle by Josh Evans),4.240,3.960
3,8:10,2,8,NYJ 18,13,9,Brian Griese pass incomplete,3.960,3.220
3,8:01,3,8,NYJ 18,13,9,Brian Griese pass complete to Olandis Gary for 3 yards (tackle by Jon McGraw and Steve White),3.220,2.490
3,8:01,4,5,NYJ 15,13,9,Jason Elam 33 yard field goal no good,2.490,-0.480
3,7:16,1,10,NYJ 23,13,9,Curtis Martin left tackle for 2 yards (tackle by Al Wilson and Kavika Pittman),0.480,0.200
3,6:44,2,8,NYJ 25,13,9,Chad Pennington pass incomplete intended for Laveranues Coles,0.200,-0.490
3,6:35,3,8,NYJ 25,13,9,Chad Pennington sacked by Izell Reese and Bertrand Berry for -12 yards,-0.490,-2.490
3,6:25,4,20,NYJ 13,13,9,Matt Turk punts 39 yards,-2.490,-2.130
3,6:11,1,10,DEN 48,13,9,Brian Griese pass complete to Clinton Portis for 4 yards (tackle by Sam Garnes),2.130,2.120
3,5:49,2,6,NYJ 48,13,9,Brian Griese pass complete to Clinton Portis for 12 yards (tackle by Donnie Abraham),2.120,3.180
3,5:09,1,10,NYJ 36,13,9,Clinton Portis right guard for 4 yards (tackle by Marvin Jones and Sam Cowart),3.180,3.180
3,4:31,2,6,NYJ 32,13,9,Clinton Portis left end for no gain (tackle by Donnie Abraham),3.180,2.480
3,3:53,3,6,NYJ 32,13,9,Brian Griese pass complete to Rod Smith for 4 yards (tackle by James Darling),2.480,1.700
3,3:53,4,2,NYJ 28,13,9,Jason Elam 46 yard field goal no good,1.700,-1.330
3,3:08,1,10,NYJ 36,13,9,Chad Pennington pass incomplete intended for Laveranues Coles (defended by Ian Gold),1.330,0.790
3,3:05,2,10,NYJ 36,13,9,Chad Pennington pass complete to Wayne Chrebet for 19 yards (tackle by Denard Walker),0.790,2.590
3,2:27,1,10,DEN 45,13,9,Curtis Martin left tackle for 2 yards (tackle by Kenoy Kennedy),2.590,2.310
3,1:49,2,8,DEN 43,13,9,Curtis Martin left guard for -2 yards (tackle by Ian Gold and Monsanto Pope),2.310,1.360
3,1:12,3,10,DEN 45,13,9,Chad Pennington pass complete to Wayne Chrebet for 15 yards (tackle by Tyrone Poole),1.360,3.580
3,0:27,1,10,DEN 30,13,9,Curtis Martin right end for 2 yards (tackle by Kavika Pittman and John Mobley),3.580,3.300
Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,DEN 28,13,9,Chad Pennington pass incomplete intended for Laveranues Coles,3.300,2.610
4,14:56,3,8,DEN 28,13,15,"Chad Pennington pass complete to Laveranues Coles for 28 yards, touchdown. Penalty on Jimmy Spencer: Defensive Pass Interference (Declined)",2.610,7.000
4,14:56,,,DEN 28,13,16,John Hall kicks extra point good,0.000,0.000
4,14:56,,,NYJ 30,13,16,"John Hall kicks off 55 yards, returned by Mike Anderson for 16 yards (tackle by Jon McGraw)",0.000,1.000
4,14:37,1,10,DEN 31,13,16,Brian Griese sacked by John Abraham for -6 yards,1.000,-0.350
4,14:10,2,16,DEN 25,13,16,Brian Griese pass complete to Shannon Sharpe for 6 yards (tackle by Sam Cowart),-0.350,-0.230
4,13:33,3,10,DEN 31,13,16,Brian Griese pass incomplete intended for Shannon Sharpe,-0.230,-1.310
4,13:24,4,10,DEN 31,13,16,"Micah Knorr punts 44 yards, fair catch by Santana Moss",-1.310,-0.610
4,13:15,1,10,NYJ 25,13,16,Chad Pennington pass complete to Laveranues Coles for 11 yards (tackle by Lional Dalton),0.610,1.330
4,12:37,1,10,NYJ 36,13,16,Curtis Martin left tackle for 1 yard (tackle by Lional Dalton),1.330,0.930
4,12:02,2,9,NYJ 37,13,16,Chad Pennington pass complete to Curtis Martin for -1 yards (tackle by John Mobley),0.930,0.100
4,11:21,3,10,NYJ 36,13,16,Chad Pennington pass complete to Laveranues Coles for 14 yards (tackle by Al Wilson),0.100,2.260
4,10:35,1,10,,13,16,Chad Pennington pass complete to Wayne Chrebet for 14 yards (tackle by Ian Gold),2.260,3.180
4,9:52,1,10,DEN 36,13,16,Chad Pennington pass incomplete intended for Anthony Becht (defended by Al Wilson),3.180,2.640
4,9:47,2,10,DEN 36,13,16,Chad Pennington pass complete to Santana Moss for 9 yards (tackle by Deltha O'Neal and John Mobley),2.640,3.140
4,9:08,3,1,DEN 27,13,16,Curtis Martin left tackle for 2 yards (tackle by Trevor Pryce and Kenoy Kennedy),3.140,3.910
4,8:21,3,1,DEN 27,,,Timeout #1 by New York Jets,3.140,3.910
4,8:21,1,10,DEN 25,13,16,Chad Pennington pass complete to Curtis Martin for 10 yards (tackle by Ian Gold),3.910,4.580
4,7:38,1,10,DEN 15,13,16,Curtis Martin left guard for 11 yards (tackle by Denard Walker and Kavika Pittman),4.580,6.280
4,6:53,1,4,DEN 4,13,16,Curtis Martin right tackle for 1 yard (tackle by Monsanto Pope and Trevor Pryce),6.280,5.530
4,6:13,2,3,DEN 3,13,16,Chad Pennington pass incomplete intended for James Dearth,5.530,4.720
4,6:05,3,3,DEN 3,13,16,Chad Pennington pass incomplete intended for Anthony Becht,4.720,3.040
4,6:05,4,3,DEN 3,13,19,John Hall 21 yard field goal good,3.040,3.000
4,6:05,,,NYJ 30,13,19,"John Hall kicks off 57 yards, returned by Reuben Droughns for 19 yards (tackle by Khary Campbell). Penalty on Keith Burns: Defensive Holding, 10 yards, Penalty on Donnie Spragan: Defensive Holding (Declined)",0.000,0.340
4,5:46,1,10,DEN 21,13,19,Brian Griese pass complete to Rod Smith for 6 yards (tackle by Sam Garnes),0.340,0.610
4,5:20,2,4,DEN 27,13,19,Clinton Portis right tackle for 3 yards (tackle by Marvin Jones and Jason Ferguson),0.610,0.300
4,4:47,3,1,DEN 30,13,19,Clinton Portis left tackle for 4 yards (tackle by Josh Evans),0.300,1.200
4,4:14,1,10,DEN 34,13,19,Brian Griese pass incomplete intended for Shannon Sharpe (defended by Damien Robinson),1.200,0.660
4,4:03,1,10,DEN 34,,,Timeout #1 by Denver Broncos,1.200,0.660
4,4:03,2,10,DEN 34,13,19,Brian Griese pass complete to Clinton Portis for 6 yards (tackle by Sam Cowart),0.660,0.760
4,3:33,3,4,DEN 40,13,19,Brian Griese pass complete to Ed McCaffrey for 15 yards (tackle by Damien Robinson),0.760,2.590
4,3:33,1,10,NYJ 45,13,19,"Brian Griese pass complete to Shannon Sharpe for 25 yards (tackle by Sam Garnes). Penalty on Dan Neil: Offensive Holding, 10 yards (no play)",2.590,1.930
4,2:55,1,20,DEN 45,13,19,Brian Griese pass complete to Shannon Sharpe for 7 yards (tackle by Sam Cowart),1.930,1.640
4,2:26,2,13,NYJ 48,13,19,Brian Griese pass complete to Ashley Lelie for 12 yards (tackle by Damien Robinson),1.640,2.540
4,2:04,3,1,NYJ 36,13,19,Brian Griese middle for 3 yards (tackle by Steve White and Jason Ferguson),2.540,3.380
4,2:00,1,10,NYJ 33,13,19,Brian Griese pass incomplete intended for Rod Smith (defended by Sam Garnes),3.380,2.840
4,1:55,2,10,NYJ 33,13,19,Brian Griese pass complete to Rod Smith for 8 yards (tackle by James Darling),2.840,3.200
4,1:36,3,2,NYJ 25,13,19,Brian Griese middle for 2 yards (tackle by Josh Evans),3.200,4.040
4,1:32,3,2,NYJ 25,,,Timeout #2 by Denver Broncos,3.200,4.040
4,1:32,1,10,NYJ 23,13,19,Brian Griese pass incomplete intended for Rod Smith is intercepted by Jon McGraw at NYJ-2,4.040,0.380
4,1:23,1,10,NYJ 2,13,19,Chad Pennington middle for 1 yard (tackle by Chester McGlockton and Al Wilson),-0.380,-0.710
4,1:16,1,10,NYJ 2,,,Timeout #3 by Denver Broncos,-0.380,-0.710
4,1:16,2,9,NYJ 3,13,19,Chad Pennington middle for 2 yards (tackle by Ian Gold),-0.710,-1.070
4,0:37,3,7,NYJ 5,13,19,Chad Pennington middle for 1 yard (tackle by Chester McGlockton),-1.070,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
