Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
3,7:23,4,5,PHI 23,10,17,"Braden Mann punts 57 yards, returned by Braxton Berrios for 16 yards (tackle by Christian Elliss)",-1.830,-1.330
3,7:12,1,10,MIA 36,10,17,Raheem Mostert right end for 21 yards (tackle by Terrell Edmunds),1.330,2.720
3,6:27,1,10,PHI 43,10,17,Raheem Mostert left end for 15 yards (tackle by Nakobe Dean),2.720,3.710
3,5:42,1,10,PHI 28,10,17,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by James Bradberry),3.710,3.840
3,5:03,2,5,PHI 23,10,17,Salvon Ahmed left tackle for 2 yards (tackle by Milton Williams),3.840,3.400
3,4:20,3,3,PHI 21,10,17,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill,3.400,2.160
3,4:13,4,3,PHI 21,10,17,Tua Tagovailoa pass incomplete deep left intended for Cedrick Wilson,2.160,-0.410
3,4:08,1,10,PHI 22,16,17,"Jalen Hurts pass short right (defended by Kader Kohou) intended for A.J. Brown is intercepted by Jerome Baker at PHI-23 and returned for 23 yards, touchdown",0.410,-7.000
3,4:02,,,PHI 15,17,17,Jason Sanders kicks extra point good,0.000,0.000
3,4:02,,,MIA 35,17,17,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,4:02,1,10,PHI 25,17,17,Jalen Hurts scrambles left tackle for 12 yards (tackle by Jerome Baker),0.610,1.400
3,3:34,1,10,PHI 37,17,17,Jalen Hurts pass complete deep left to DeVonta Smith for 25 yards (tackle by Eli Apple),1.400,3.050
3,2:55,1,10,MIA 38,17,17,Jalen Hurts pass complete short left to A.J. Brown for 8 yards (tackle by Bradley Chubb),3.050,3.590
3,2:18,2,2,MIA 30,17,17,D'Andre Swift right tackle for 3 yards (tackle by Christian Wilkins),3.590,3.780
3,1:46,1,10,MIA 27,17,17,Jalen Hurts pass complete short left to D'Andre Swift for 3 yards (tackle by Zach Sieler),3.780,3.640
3,1:06,2,7,MIA 24,17,17,Jalen Hurts pass incomplete short right intended for Olamide Zaccheaus,3.640,2.940
3,1:03,3,7,MIA 24,17,17,Jalen Hurts pass complete short right to Dallas Goedert for 10 yards (tackle by Elijah Campbell),2.940,4.650
3,0:20,1,10,MIA 14,17,23,"Jalen Hurts pass complete short right to A.J. Brown for 14 yards, touchdown",4.650,7.000
3,0:15,,,MIA 15,17,24,Jake Elliott kicks extra point good,0.000,0.000
3,0:15,,,PHI 35,17,24,"Jake Elliott kicks off 59 yards, returned by Braxton Berrios for 25 yards (tackle by Sydney Brown)",0.000,1.000
3,0:09,,,,,,Timeout #1 by Miami Dolphins,,
3,0:09,1,10,MIA 31,17,24,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 14 yards (tackle by Nakobe Dean),1.000,1.930
Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 45,17,24,Raheem Mostert right end for 3 yards (tackle by Darius Slay),1.930,1.790
4,14:20,2,7,MIA 48,17,24,"Penalty on Austin Jackson: False Start, 5 yards (accepted) (no play)",1.790,1.110
4,14:18,2,12,MIA 43,17,24,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,1.110,0.430
4,14:13,3,12,MIA 43,17,24,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards (tackle by Terrell Edmunds and Sydney Brown),0.430,2.590
4,13:32,1,10,PHI 45,17,24,Tua Tagovailoa pass complete deep left to Cedrick Wilson for 19 yards (tackle by Terrell Edmunds),2.590,3.840
4,12:54,1,10,PHI 26,17,24,Tua Tagovailoa up the middle for -3 yards (tackle by Jalen Carter),3.840,2.890
4,12:14,2,13,PHI 29,17,24,"Liam Eichenberg aborted snap, recovered by Tua Tagovailoa at PHI-34 Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Darius Slay)",2.890,2.870
4,11:32,3,8,PHI 24,17,24,Tua Tagovailoa pass deep right intended for Raheem Mostert is intercepted by Darius Slay at PHI-1 and returned for 16 yards (tackle by Liam Eichenberg),2.870,0.060
4,11:21,1,10,PHI 17,17,24,Jalen Hurts pass incomplete short left,-0.060,-0.580
4,11:17,2,10,PHI 17,17,24,D'Andre Swift right tackle for 5 yards (tackle by Jaelan Phillips and Christian Wilkins),-0.580,-0.620
4,10:35,3,5,PHI 22,17,24,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Kader Kohou),-0.620,-1.630
4,10:01,,,,,,Timeout #1 by Philadelphia Eagles,,
4,10:01,4,1,PHI 26,17,24,Jalen Hurts left guard for 2 yards (tackle by Jevon Holland),-1.630,0.810
4,9:18,1,10,PHI 28,17,24,Kenneth Gainwell left guard for 2 yards (tackle by Andrew Van Ginkel),0.810,0.530
4,8:38,2,8,PHI 30,17,24,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.530,-0.160
4,8:33,3,8,PHI 30,17,24,Jalen Hurts pass complete short middle to A.J. Brown for 7 yards (tackle by Eli Apple),-0.160,-0.910
4,8:07,4,1,PHI 37,17,24,Jalen Hurts up the middle for 2 yards (tackle by Bradley Chubb),-0.910,1.530
4,7:28,1,10,PHI 39,17,24,D'Andre Swift up the middle for no gain (tackle by Jaelan Phillips),1.530,0.990
4,6:46,2,10,PHI 39,17,24,Jalen Hurts pass complete short right to A.J. Brown for 6 yards (tackle by Kader Kohou),0.990,1.090
4,6:07,3,4,PHI 45,17,24,"Kenneth Gainwell right guard for no gain (tackle by Christian Wilkins and DeShon Elliott). Penalty on Christian Wilkins: Defensive Offside, 5 yards (accepted) (no play)",1.090,2.260
4,5:44,1,10,PHI 50,17,24,Jalen Hurts pass complete deep right to A.J. Brown for 42 yards (tackle by Kader Kohou),2.260,5.370
4,4:57,1,8,MIA 8,17,24,Kenneth Gainwell up the middle for 5 yards (tackle by Andrew Van Ginkel and Jerome Baker),5.370,5.530
4,4:50,,,,,,Timeout #2 by Miami Dolphins,,
