Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
2,1:06,2,11,MIA 27,3,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Vontae Davis),3.160,2.480
2,1:02,3,11,MIA 27,3,3,Philip Rivers pass complete short left to Darren Sproles for 12 yards (tackle by Gibril Wilson),2.480,4.580
2,0:49,,,,3,3,Timeout #2 by San Diego Chargers,0.000,4.580
2,0:49,1,10,MIA 15,3,3,"Philip Rivers pass complete short left to Antonio Gates for no gain. Penalty on Kris Dielman: Unnecessary Roughness, 15 yards (no play)",4.580,3.580
2,0:40,1,25,MIA 30,3,3,Philip Rivers pass incomplete short right intended for Chris Chambers,3.580,2.000
2,0:39,2,25,MIA 30,3,3,Philip Rivers pass complete short right to Legedu Naanee for 8 yards (tackle by Yeremiah Bell),2.000,2.410
2,0:11,3,17,MIA 22,3,3,Philip Rivers pass incomplete deep left intended for Chris Chambers,2.410,1.990
2,0:05,4,17,MIA 22,3,3,Nate Kaeding 41 yard field goal no good,1.990,0.870
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,3,3,"Nate Kaeding kicks off 67 yards, returned by Patrick Cobbs for 23 yards (tackle by Brandon Siler)",0.000,0.670
3,14:55,1,10,MIA 26,3,3,Davone Bess for 11 yards (tackle by Steve Gregory),0.670,1.400
3,14:24,1,10,MIA 37,3,3,"Penalty on Brian Hartline: False Start, 5 yards (no play)",1.400,1.070
3,14:00,1,15,MIA 32,3,3,Chad Pennington pass complete short left to Ricky Williams for 2 yards (tackle by Antonio Cromartie),1.070,0.450
3,13:16,2,13,MIA 34,3,3,Chad Pennington pass complete short right to Lousaka Polite for 6 yards (tackle by Kevin Burnett),0.450,0.560
3,12:28,3,7,MIA 40,3,3,Chad Pennington pass incomplete,0.560,-0.720
3,12:22,4,7,MIA 40,3,3,"Brandon Fields punts 55 yards, returned by Darren Sproles for 3 yards (tackle by Jason Allen)",-0.720,0.380
3,12:14,1,10,SDG 8,3,3,Darren Sproles right guard for 1 yard (tackle by Randy Starks),-0.380,-0.710
3,11:35,2,9,SDG 9,3,3,Philip Rivers pass incomplete deep right intended for Vincent Jackson,-0.710,-1.300
3,11:30,3,9,SDG 9,3,3,Philip Rivers pass incomplete deep right intended for Vincent Jackson,-1.300,-2.490
3,11:25,4,9,SDG 9,3,3,"Mike Scifres punts 49 yards, returned by Davone Bess for 9 yards (tackle by Malcom Floyd)",-2.490,-2.320
3,11:12,1,10,SDG 49,3,3,Ricky Williams right end for 6 yards (tackle by Shaun Phillips),2.320,2.590
3,10:30,2,4,SDG 43,3,3,Ronnie Brown middle for 3 yards (tackle by Jacques Cesaire and Larry English),2.590,2.280
3,9:46,3,1,SDG 40,3,3,Ronnie Brown middle for 1 yard (tackle by Kevin Burnett and Jacques Cesaire),2.280,2.980
3,9:13,1,10,SDG 39,3,3,Chad Henne sacked by Kevin Burnett for -6 yards,2.980,1.630
3,8:36,2,16,SDG 45,3,3,"Chad Henne pass complete short right to Ronnie Brown for -4 yards (tackle by Alfonso Boone). Penalty on Larry English: Defensive Offside, 5 yards (no play)",1.630,2.300
3,8:11,2,11,SDG 40,3,3,Chad Henne pass complete short left to Davone Bess for 9 yards (tackle by Eric Weddle),2.300,2.810
3,7:30,3,2,SDG 31,3,3,Chad Henne pass complete short left to Davone Bess for 6 yards (tackle by Antoine Cason),2.810,3.910
3,6:53,1,10,SDG 25,3,3,Ronnie Brown left end for 9 yards (tackle by Eric Weddle),3.910,4.750
3,6:25,2,1,SDG 16,3,3,Ronnie Brown middle for 3 yards (tackle by Stephen Cooper),4.750,4.710
3,5:44,1,10,SDG 13,3,3,Ricky Williams right tackle for 8 yards (tackle by Eric Weddle and Stephen Cooper),4.710,5.540
3,5:02,2,2,SDG 5,3,3,Ronnie Brown middle for no gain (tackle by Ogemdi Nwagbuo),5.540,4.780
3,4:15,3,2,SDG 5,3,3,Chad Henne pass incomplete short left intended for Ted Ginn (defended by Alfonso Boone),4.780,3.030
3,4:11,4,2,SDG 5,6,3,Dan Carpenter 23 yard field goal good,3.030,3.000
3,,,,MIA 30,6,3,"Dan Carpenter kicks off 61 yards, returned by Darren Sproles for 16 yards (tackle by Charlie Anderson)",0.000,0.610
3,4:04,1,10,SDG 25,6,3,Philip Rivers pass complete deep middle to Malcom Floyd for 47 yards (tackle by Sean Smith),0.610,3.710
3,3:20,1,10,MIA 28,6,3,Philip Rivers pass complete short left to Antonio Gates for 19 yards (tackle by Channing Crowder),3.710,5.140
3,2:51,1,9,MIA 9,6,3,Darren Sproles middle for 4 yards (tackle by Akin Ayodele and Gibril Wilson),5.140,5.150
3,2:12,2,5,MIA 5,6,3,Philip Rivers pass incomplete short right intended for Chris Chambers,5.150,4.260
3,2:07,3,5,MIA 5,6,9,"Philip Rivers middle for 5 yards, touchdown",4.260,7.000
3,,,,MIA 2,6,10,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,6,10,"Nate Kaeding kicks off 64 yards, returned by Patrick Cobbs for 23 yards (tackle by Paul Oliver)",0.000,0.870
3,1:57,1,10,MIA 29,6,10,Ricky Williams right end for 9 yards (tackle by Luis Castillo),0.870,1.540
3,1:27,2,1,MIA 38,6,10,Ricky Williams middle for 3 yards (tackle by Ogemdi Nwagbuo and Jacques Cesaire),1.540,1.660
3,0:45,1,10,MIA 41,6,10,"Penalty on Ted Ginn: False Start, 5 yards (no play)",1.660,1.330
3,0:21,1,15,MIA 36,6,10,Chad Henne pass incomplete short right intended for Lousaka Polite,1.330,0.450
3,0:16,2,15,MIA 36,6,10,Ronnie Brown middle for 1 yard (tackle by Steve Gregory),0.450,-0.100
Quarter,Time,Down,ToGo,Location,MIA,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,MIA 37,6,10,"Penalty on Donald Thomas: False Start, 5 yards (no play)",-0.100,-0.760
4,15:00,3,19,MIA 32,6,10,Chad Henne pass incomplete short left intended for Davone Bess (defended by Larry English),-0.760,-1.240
4,14:55,4,19,MIA 32,6,10,"Brandon Fields punts 48 yards, returned by Darren Sproles for 12 yards (tackle by Reggie Torbor)",-1.240,-1.070
4,14:46,1,10,SDG 32,6,10,Philip Rivers pass complete deep middle to Vincent Jackson for 55 yards (tackle by Will Allen),1.070,4.710
4,14:00,1,10,MIA 13,6,10,Darren Sproles middle for 7 yards (tackle by Yeremiah Bell),4.710,5.340
4,13:22,2,3,MIA 6,6,10,Darren Sproles middle for 1 yard (tackle by Channing Crowder),5.340,4.780
4,12:37,3,2,MIA 5,6,10,Philip Rivers pass incomplete short right intended for Darren Sproles,4.780,3.030
4,12:33,4,2,MIA 5,6,13,Nate Kaeding 23 yard field goal good,3.030,3.000
4,,,,SDG 30,6,13,"Nate Kaeding kicks off 70 yards, returned by Patrick Cobbs for 21 yards (tackle by Paul Oliver)",0.000,0.340
4,12:25,1,10,MIA 21,6,13,Chad Henne pass incomplete short right intended for Ted Ginn,0.340,-0.200
4,12:19,2,10,MIA 21,6,13,Chad Henne pass incomplete short left intended for Ted Ginn,-0.200,-0.890
4,12:14,3,10,MIA 21,6,13,"Chad Henne right end for 2 yards. Penalty on Chad Henne: Illegal Forward Pass, 5 yards",-0.890,-2.240
4,12:14,4,13,MIA 18,6,13,Brandon Fields punts 31 yards,-2.240,-2.320
4,11:51,1,10,MIA 49,6,13,Darren Sproles right end for 4 yards (tackle by Paul Soliai),2.320,2.320
4,11:13,2,6,MIA 45,6,13,Darren Sproles middle for -1 yards (tackle by Jason Taylor),2.320,1.490
4,10:33,3,7,MIA 46,6,13,"Philip Rivers pass incomplete short right intended for Vincent Jackson. Penalty on Will Allen: Defensive Pass Interfere, 4 yards (no play)",1.490,2.790
4,10:29,1,10,MIA 42,6,13,Darren Sproles middle for 2 yards (tackle by Randy Starks and Jason Ferguson),2.790,2.510
4,9:47,2,8,MIA 40,6,13,Philip Rivers pass incomplete short middle intended for Michael Bennett,2.510,1.820
4,9:42,3,8,MIA 40,6,13,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by Gibril Wilson),1.820,3.910
4,9:01,1,10,MIA 25,6,13,Michael Bennett middle for 9 yards (tackle by Phillip Merling),3.910,4.750
4,8:20,2,1,MIA 16,6,13,Mike Tolbert middle for 5 yards (tackle by Yeremiah Bell and Phillip Merling),4.750,4.840
4,7:43,1,10,MIA 11,6,13,Michael Bennett right tackle for 3 yards (tackle by Kendall Langford),4.840,4.700
4,7:05,2,7,MIA 8,6,13,Philip Rivers pass incomplete short right intended for Mike Tolbert (defended by Jason Taylor),4.700,3.760
4,7:01,,,,6,13,Timeout #1 by San Diego Chargers,0.000,3.760
4,7:01,3,7,MIA 8,6,13,Philip Rivers pass incomplete short right intended for Malcom Floyd,3.760,2.960
4,6:54,4,7,MIA 8,6,16,Nate Kaeding 26 yard field goal good,2.960,3.000
4,,,,SDG 30,6,16,"Nate Kaeding kicks off 74 yards, touchback",0.000,0.280
4,6:53,1,10,MIA 20,6,16,Chad Henne pass complete short left to Davone Bess for 3 yards (tackle by Stephen Cooper),0.280,0.140
4,6:26,2,7,MIA 23,6,16,Ricky Williams middle for 8 yards (tackle by Kevin Burnett),0.140,1.000
4,5:53,1,10,MIA 31,6,22,"Chad Henne pass incomplete short left intended for Davone Bess is intercepted by Eric Weddle at MIA-31 and returned for 31 yards, touchdown",1.000,-7.000
4,,,,MIA 2,6,23,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,6,23,"Nate Kaeding kicks off 68 yards, returned by Patrick Cobbs for 22 yards (tackle by Tim Dobbins)",0.000,0.540
4,5:39,1,10,MIA 24,6,23,Chad Henne pass complete short right to Greg Camarillo for 7 yards,0.540,0.940
4,5:21,2,3,MIA 31,6,23,"Penalty on Vernon Carey: False Start, 5 yards (no play)",0.940,0.270
4,4:57,2,8,MIA 26,6,23,Chad Henne pass incomplete short right intended for Ricky Williams,0.270,-0.430
4,4:52,3,8,MIA 26,6,23,Chad Henne pass complete short right to Davone Bess for 9 yards (tackle by Kevin Burnett),-0.430,1.270
4,4:45,1,10,MIA 35,6,23,Chad Henne pass incomplete short right intended for Ted Ginn (defended by Quentin Jammer),1.270,0.720
4,4:40,2,10,MIA 35,6,23,Chad Henne pass complete short right to Ronnie Brown for 6 yards (tackle by Quentin Jammer),0.720,0.830
4,4:10,3,4,MIA 41,6,23,Chad Henne pass incomplete deep left intended for Ted Ginn,0.830,-0.650
4,4:04,4,4,MIA 41,6,23,Chad Henne pass complete short middle to Davone Bess for 12 yards (tackle by Steve Gregory),-0.650,2.460
4,3:39,1,10,SDG 47,6,23,Chad Henne pass complete deep right to Ronnie Brown for 27 yards,2.460,4.240
,,,,,,,"SDG challenged the pass completion ruling, and the play was upheld.",,
4,3:32,1,10,SDG 20,6,23,Chad Henne pass complete short middle to Ricky Williams for 6 yards (tackle by Stephen Cooper),4.240,4.640
4,2:57,2,4,SDG 14,12,23,"Ricky Williams right end for 14 yards, touchdown",4.640,7.000
4,,,,SDG 2,13,23,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,13,23,Brandon Fields kicks onside 6 yards,0.000,3.180
4,2:50,1,10,MIA 36,13,23,Darren Sproles middle for 1 yard (tackle by Paul Soliai),3.180,2.770
4,2:44,,,,13,23,Timeout #1 by Miami Dolphins,0.000,2.770
4,2:44,2,9,MIA 35,13,23,Darren Sproles middle for 3 yards (tackle by Paul Soliai),2.770,2.480
4,2:39,,,,13,23,Timeout #2 by Miami Dolphins,0.000,2.480
4,2:39,3,6,MIA 32,13,23,Philip Rivers pass complete short left to Antonio Gates for 14 yards (tackle by Yeremiah Bell),2.480,4.370
4,2:26,,,,13,23,Timeout #3 by Miami Dolphins,0.000,4.370
4,2:26,1,10,MIA 18,13,23,"Michael Bennett right end for -1 yards (tackle by Will Allen). Penalty on Will Allen: Personal Foul, 10 yards",4.370,5.140
4,2:17,1,9,MIA 9,13,23,Michael Bennett middle for 1 yard (tackle by Yeremiah Bell),5.140,4.570
4,2:00,2,8,MIA 8,13,23,Darren Sproles right end for 4 yards (tackle by Will Allen and Channing Crowder),4.570,4.490
4,1:18,3,4,MIA 4,13,23,Michael Bennett middle for no gain (tackle by Akin Ayodele),4.490,3.030
4,0:35,4,4,MIA 4,13,23,Darren Sproles right end for 2 yards (tackle by Will Allen),3.030,0.380
4,0:32,1,10,MIA 2,13,23,Chad Henne pass complete short right to Ronnie Brown for 7 yards (tackle by Antoine Cason and Stephen Cooper),-0.380,-0.270
4,0:24,2,3,MIA 9,13,23,Patrick Cobbs middle for 3 yards (tackle by Shaun Phillips),-0.270,-0.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
