Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
OT,14:30,2,4,CLE 26,28,28,Tim Couch pass complete to Jamel White for -1 yards (tackle by Keith Bulluck),0.540,-0.300
OT,13:36,3,5,CLE 25,28,28,Tim Couch pass complete to Quincy Morgan for 10 yards (tackle by Mike Echols),-0.300,1.270
OT,12:54,1,10,CLE 35,28,28,Jamel White left tackle for 12 yards (tackle by Samari Rolle),1.270,2.060
OT,12:10,1,10,CLE 47,28,28,Tim Couch pass complete to Andra Davis for 31 yards,2.060,4.110
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
OT,11:42,1,10,TEN 22,28,28,Jamel White left tackle for 5 yards (tackle by Kevin Carter),4.110,4.290
OT,11:03,2,5,TEN 17,28,28,Jamel White left guard for 2 yards (tackle by Peter Sirmon),4.290,3.930
OT,10:51,2,5,TEN 17,,,Timeout #1 by Cleveland Browns,4.290,3.930
OT,10:51,3,3,TEN 15,31,28,Phil Dawson 33 yard field goal good,3.930,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
