Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
1,10:01,2,10,MIA 40,10,0,Kalen Ballage right guard for 1 yard (tackle by Anthony Rush),1.050,0.500
1,9:18,3,9,MIA 41,10,0,Ryan Fitzpatrick sacked by Derek Barnett for -6 yards,0.500,-1.040
1,8:32,4,15,MIA 35,10,0,"Matt Haack punts 41 yards, fair catch by Greg Ward at PHI-24",-1.040,-0.540
1,8:26,1,10,PHI 24,10,0,Carson Wentz pass complete short right to Dallas Goedert for 17 yards (tackle by Nik Needham),0.540,1.660
1,7:54,1,10,PHI 41,10,0,"Jay Ajayi up the middle for 8 yards (tackle by Charles Harris). Penalty on Isaac Seumalo: Offensive Holding, 10 yards",1.660,1.530
1,7:26,1,12,PHI 39,10,0,Carson Wentz pass incomplete short right intended for Nelson Agholor,1.530,0.850
1,7:20,2,12,PHI 39,10,0,"Carson Wentz pass complete short left to Nelson Agholor for 11 yards (tackle by Adrian Colbert). Penalty on Mack Hollins: Illegal Block Above the Waist, 10 yards",0.850,0.990
1,6:44,2,11,PHI 40,10,0,Carson Wentz pass complete short middle to Miles Sanders for 4 yards (tackle by Montre Hartage),0.990,0.830
1,6:01,3,7,PHI 44,10,0,Carson Wentz pass incomplete deep right intended for JJ Arcega-Whiteside (defended by Nik Needham),0.830,-0.460
1,5:55,4,7,PHI 44,10,0,"Cameron Johnston punts 40 yards, returned by Marcus Sherels for no gain (tackle by Craig James)",-0.460,0.140
1,5:45,1,10,MIA 16,10,0,Ryan Fitzpatrick pass complete short middle to Allen Hurns for 7 yards (tackle by Nigel Bradham and Nathan Gerry),-0.140,0.420
1,5:10,2,3,MIA 23,10,0,Albert Wilson left end for 28 yards (tackle by Malcolm Jenkins),0.420,2.320
1,4:44,1,10,PHI 49,10,0,Kalen Ballage left tackle for -1 yards (tackle by Anthony Rush),2.320,1.650
1,4:06,2,11,MIA 50,10,0,Ryan Fitzpatrick pass incomplete short middle,1.650,0.960
1,3:57,3,11,MIA 50,10,0,Ryan Fitzpatrick pass complete short middle to Patrick Laird for 7 yards (tackle by Nigel Bradham and Nathan Gerry),0.960,0.400
1,3:14,4,4,PHI 43,10,6,"Ryan Fitzpatrick pass complete deep left to DeVante Parker for 43 yards, touchdown",0.400,7.000
1,3:05,,,PHI 15,10,7,Jason Sanders kicks extra point good,0.000,0.000
1,3:05,,,MIA 35,10,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,3:05,1,10,PHI 25,10,7,Miles Sanders right guard for 9 yards (tackle by Eric Rowe),0.610,1.280
1,2:40,2,1,PHI 34,10,7,Miles Sanders up the middle for 5 yards (tackle by Raekwon McMillan and Christian Wilkins),1.280,1.530
1,2:02,1,10,PHI 39,10,7,Miles Sanders left tackle for 2 yards (tackle by Vince Biegel and Eric Rowe),1.530,1.260
1,1:19,2,8,PHI 41,10,7,Carson Wentz pass complete short right to Greg Ward for 5 yards (tackle by Ken Webster),1.260,1.220
1,0:31,3,3,PHI 46,10,7,Carson Wentz pass complete short left to Nelson Agholor for 6 yards (tackle by Ken Webster),1.220,2.390
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 48,10,7,Miles Sanders left guard for 1 yard (tackle by Vince Biegel and Raekwon McMillan),2.390,1.980
2,14:22,2,9,MIA 47,10,7,Carson Wentz pass complete short right to Zach Ertz for 3 yards (tackle by Samuel Eguavoen),1.980,1.690
2,13:36,3,6,MIA 44,10,7,Carson Wentz pass complete short left to Alshon Jeffery for 16 yards (tackle by Adrian Colbert),1.690,3.710
2,12:55,1,10,MIA 28,10,7,Miles Sanders left guard for 3 yards (tackle by Christian Wilkins and Jerome Baker),3.710,3.570
2,12:11,2,7,MIA 25,10,7,Carson Wentz pass complete short middle to Miles Sanders for 5 yards (tackle by Eric Rowe),3.570,3.530
2,11:33,3,2,MIA 20,10,7,Carson Wentz pass incomplete short left intended for Alshon Jeffery,3.530,2.250
2,11:30,4,2,MIA 20,10,7,"Penalty on Jason Peters: False Start, 5 yards (no play)",2.250,1.800
2,11:13,4,7,MIA 25,13,7,Jake Elliott 43 yard field goal good,1.800,3.000
2,11:09,,,PHI 35,13,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,11:09,1,10,MIA 25,13,7,Ryan Fitzpatrick pass complete short right to Patrick Laird for 19 yards (tackle by Nigel Bradham),0.610,1.860
2,10:29,1,10,MIA 44,13,7,Ryan Fitzpatrick pass incomplete short right intended for Patrick Laird,1.860,1.320
2,10:24,2,10,MIA 44,13,7,Patrick Laird left tackle for -3 yards (tackle by Timmy Jernigan),1.320,0.230
2,9:41,3,13,MIA 41,13,7,Ryan Fitzpatrick pass complete deep left to DeVante Parker for 42 yards (tackle by Ronald Darby),0.230,4.440
2,8:53,1,10,PHI 17,13,7,Albert Wilson left end for 3 yards (tackle by Derek Barnett),4.440,4.320
2,8:20,2,7,PHI 14,13,7,Ryan Fitzpatrick pass incomplete short left intended for Kalen Ballage (defended by Anthony Rush),4.320,3.500
2,8:17,3,7,PHI 14,13,7,Ryan Fitzpatrick pass complete short right to Albert Wilson for 9 yards (tackle by Jalen Mills),3.500,6.060
2,7:48,1,5,PHI 5,13,7,Patrick Laird right guard for 1 yard (tackle by Derek Barnett),6.060,5.340
2,7:09,2,4,PHI 4,13,7,"Penalty on Shaq Calhoun: False Start, 5 yards (no play)",5.340,4.380
2,6:49,2,9,PHI 9,13,7,"Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki. Penalty on Derek Barnett: Defensive Offside, 5 yards (no play)",4.380,5.340
2,6:44,2,4,PHI 4,13,7,Ryan Fitzpatrick pass complete short middle to Albert Wilson for -6 yards (tackle by Fletcher Cox),5.340,3.130
2,6:01,3,10,PHI 10,13,7,"Ryan Fitzpatrick pass incomplete short right intended for DeVante Parker. Penalty on Jalen Mills: Defensive Pass Interference, 9 yards (no play)",3.130,6.970
2,5:58,1,1,PHI 1,13,7,Ryan Fitzpatrick sacked by Vinny Curry for -3 yards,6.970,5.340
2,5:33,2,4,PHI 4,13,7,Ryan Fitzpatrick up the middle for 3 yards (tackle by Malcolm Jenkins),5.340,5.170
2,4:49,3,1,PHI 1,13,7,Ryan Fitzpatrick pass incomplete short middle intended for Allen Hurns,5.170,3.550
2,4:44,4,1,PHI 1,13,13,"Matt Haack pass complete short middle to Jason Sanders for 1 yard, touchdown",3.550,7.000
2,4:40,,,PHI 15,13,14,Jason Sanders kicks extra point good,0.000,0.000
2,4:40,,,MIA 35,13,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,4:40,1,10,PHI 25,13,14,Miles Sanders up the middle for 6 yards (tackle by Charles Harris and Davon Godchaux),0.610,0.870
2,4:06,2,4,PHI 31,13,14,Carson Wentz pass complete short middle to Zach Ertz for 12 yards (tackle by Raekwon McMillan),0.870,1.800
2,3:23,1,10,PHI 43,13,14,Carson Wentz pass incomplete short right intended for Alshon Jeffery,1.800,1.250
2,3:16,2,10,PHI 43,13,14,Carson Wentz pass complete short middle to Alshon Jeffery for 14 yards (tackle by Jomal Wiltz),1.250,2.720
2,2:29,1,10,MIA 43,13,14,Miles Sanders right end for 13 yards (tackle by Adrian Colbert),2.720,3.580
2,2:00,1,10,MIA 30,13,14,Carson Wentz pass complete short right to Dallas Goedert for 10 yards (tackle by Davon Godchaux and Nik Needham),3.580,4.240
2,1:18,1,10,MIA 20,13,14,Miles Sanders right end for 7 yards (tackle by Eric Rowe),4.240,4.830
2,1:12,2,3,MIA 13,13,14,Jay Ajayi left end for 1 yard (tackle by Ken Webster),4.830,4.340
2,0:26,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:26,3,2,MIA 12,13,14,Carson Wentz pass complete short right to Dallas Goedert for 2 yards (tackle by Jomal Wiltz),4.340,4.910
2,0:20,,,,,,Timeout #1 by Miami Dolphins,,
2,0:20,1,10,MIA 10,13,14,"Penalty on Dallas Goedert: False Start, 5 yards (no play)",4.910,4.370
2,0:20,1,15,MIA 15,13,14,Carson Wentz pass incomplete short middle intended for Dallas Goedert,4.370,3.460
2,0:17,2,15,MIA 15,13,14,Carson Wentz pass incomplete short left intended for Nelson Agholor,3.460,2.930
2,0:13,3,15,MIA 15,19,14,"Carson Wentz pass complete short right to JJ Arcega-Whiteside for 15 yards, touchdown",2.930,7.000
2,0:06,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:06,,,MIA 2,21,14,"Two Point Attempt: Carson Wentz pass complete to Nelson Agholor, conversion succeeds. Penalty on Jerome Baker: Defensive Holding, 5 yards",1.000,1.000
2,0:06,,,PHI 40,21,14,"Jake Elliott kicks off 32 yards, returned by Durham Smythe for 6 yards (tackle by Duke Riley)",0.000,1.200
2,0:02,1,10,MIA 34,21,14,Ryan Fitzpatrick kneels for -1 yards,1.200,0.520
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,21,14,"Jason Sanders kicks onside 11 yards, returned by T.J. Edwards for no gain",0.000,2.460
3,14:59,1,10,MIA 47,21,14,Carson Wentz pass complete short left to Alshon Jeffery for 15 yards (tackle by Ken Webster),2.460,3.450
3,14:33,1,10,MIA 32,21,14,Miles Sanders right guard for 4 yards (tackle by Davon Godchaux),3.450,3.440
3,13:55,2,6,MIA 28,21,14,Miles Sanders left guard for 3 yards (tackle by Davon Godchaux and Avery Moss),3.440,3.140
3,13:28,3,3,MIA 25,21,14,Carson Wentz pass complete short left to Dallas Goedert for 10 yards (tackle by Jerome Baker),3.140,4.580
3,12:53,1,10,MIA 15,21,14,Miles Sanders right tackle for 2 yards (tackle by Vince Biegel and John Jenkins),4.580,4.280
3,12:14,2,8,MIA 13,21,14,Carson Wentz pass complete short right to Dallas Goedert for 3 yards (tackle by Jerome Baker),4.280,4.000
3,11:51,3,5,MIA 10,27,14,"Carson Wentz pass complete short middle to Alshon Jeffery for 10 yards, touchdown",4.000,7.000
3,11:44,,,MIA 15,28,14,Jake Elliott kicks extra point good,0.000,0.000
3,11:44,,,PHI 35,28,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,11:44,1,10,MIA 25,28,14,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 11 yards (tackle by Nathan Gerry),0.610,1.330
3,11:12,1,10,MIA 36,28,14,Ryan Fitzpatrick pass complete deep left to Mike Gesicki for 21 yards (tackle by Malcolm Jenkins),1.330,2.720
3,10:40,1,10,PHI 43,28,14,Ryan Fitzpatrick pass complete short right to Durham Smythe for 6 yards (tackle by Kamu Grugier-Hill),2.720,2.990
3,9:51,2,4,PHI 37,28,14,Ryan Fitzpatrick pass complete short right to Albert Wilson for 9 yards (tackle by Nathan Gerry and Avonte Maddox),2.990,3.710
3,9:17,1,10,PHI 28,28,14,Myles Gaskin right end for 11 yards (tackle by Rodney McLeod),3.710,4.440
3,8:51,1,10,PHI 17,28,20,"Ryan Fitzpatrick pass complete deep right to DeVante Parker for 17 yards, touchdown",4.440,7.000
3,8:45,,,PHI 15,28,20,Jason Sanders kicks extra point no good wide right,0.000,-1.000
3,8:45,,,MIA 35,28,20,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,8:45,1,10,PHI 25,28,20,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by Raekwon McMillan),0.610,1.280
3,8:13,2,1,PHI 34,28,20,Miles Sanders right guard for 8 yards (tackle by Jomal Wiltz),1.280,1.730
3,7:33,1,10,PHI 42,28,20,Carson Wentz pass complete short middle to Dallas Goedert for 24 yards (tackle by Raekwon McMillan and Ryan Lewis),1.730,3.310
3,6:58,1,10,MIA 34,28,20,Carson Wentz pass complete short right to Alshon Jeffery for 11 yards (tackle by Nik Needham),3.310,4.040
3,6:27,1,10,MIA 23,28,20,Miles Sanders up the middle for 3 yards (tackle by Raekwon McMillan and Eric Rowe),4.040,3.900
3,5:48,2,7,MIA 20,28,20,Carson Wentz pass incomplete short middle intended for Zach Ertz,3.900,3.200
3,5:44,3,7,MIA 20,28,20,Carson Wentz sacked by Samuel Eguavoen for -10 yards,3.200,1.410
3,4:36,4,17,MIA 30,28,20,Jake Elliott 49 yard field goal no good,1.410,-1.530
3,4:34,1,10,MIA 39,28,20,"Ryan Fitzpatrick pass incomplete short middle intended for Patrick Laird. Penalty on Timmy Jernigan: Roughing the Passer, 15 yards. Penalty on Timmy Jernigan: Defensive Offside, 15 yards (no play)",1.530,2.520
3,4:31,1,10,PHI 46,28,20,Patrick Laird up the middle for 2 yards (tackle by Derek Barnett),2.520,2.250
3,3:57,2,8,PHI 44,28,20,Ryan Fitzpatrick pass complete short right to Allen Hurns for 12 yards (tackle by Malcolm Jenkins),2.250,3.450
3,3:20,1,10,PHI 32,28,20,Patrick Laird right guard for -3 yards (tackle by Derek Barnett),3.450,2.500
3,2:43,2,13,PHI 35,28,20,Ryan Fitzpatrick pass complete short middle to Albert Wilson for 7 yards (tackle by Avonte Maddox),2.500,2.740
3,2:00,3,6,PHI 28,28,20,Ryan Fitzpatrick pass complete short middle to Allen Hurns for 14 yards (tackle by Derek Barnett),2.740,4.650
3,1:17,1,10,PHI 14,28,26,"Ryan Fitzpatrick pass complete short right to Mike Gesicki for 14 yards, touchdown",4.650,7.000
3,1:10,,,PHI 2,28,26,Two Point Attempt: Ryan Fitzpatrick pass complete to,1.000,-1.000
3,1:10,,,MIA 35,28,26,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,1:10,1,10,PHI 25,28,26,Carson Wentz pass incomplete short left intended for Alshon Jeffery,0.610,0.060
3,1:07,2,10,PHI 25,28,26,Miles Sanders right guard for 5 yards (tackle by Jerome Baker and Nik Needham),0.060,0.040
3,0:28,3,5,PHI 30,28,26,"Carson Wentz pass incomplete deep left intended for Alshon Jeffery. Penalty on Ryan Lewis: Defensive Pass Interference, 20 yards (no play)",0.040,2.260
3,0:22,1,10,PHI 50,28,26,Carson Wentz pass incomplete deep left intended for Alshon Jeffery,2.260,1.710
3,0:16,2,10,PHI 50,28,26,Carson Wentz pass complete short right to Miles Sanders for -4 yards (tackle by Samuel Eguavoen),1.710,0.500
Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,PHI 46,28,26,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,0.500,-0.320
4,14:52,4,14,PHI 46,28,26,"Cameron Johnston punts 46 yards, returned by Marcus Sherels for no gain (tackle by Mack Hollins). Penalty on Chris Lammons: Offensive Holding, 4 yards",-0.320,0.380
4,14:42,1,10,MIA 4,28,26,Ryan Fitzpatrick pass complete short left to DeVante Parker for 8 yards (tackle by Ronald Darby),-0.380,-0.200
4,14:00,2,2,MIA 12,28,26,Ryan Fitzpatrick pass incomplete short left intended for DeVante Parker,-0.200,-0.480
4,13:56,3,2,MIA 12,28,26,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 21 yards (tackle by Rodney McLeod),-0.480,1.140
4,13:23,1,10,MIA 33,28,26,Ryan Fitzpatrick pass complete short right to Myles Gaskin for 6 yards (tackle by Kamu Grugier-Hill),1.140,1.400
4,12:41,2,4,MIA 39,28,26,Ryan Fitzpatrick pass incomplete short middle intended for Isaiah Ford,1.400,0.700
4,12:36,3,4,MIA 39,28,26,"Ryan Fitzpatrick pass incomplete short right intended for Allen Hurns. Penalty on Jalen Mills: Defensive Pass Interference, 12 yards (no play)",0.700,2.320
4,12:32,1,10,PHI 49,28,26,Ryan Fitzpatrick pass complete deep right to DeVante Parker for 34 yards (tackle by Jalen Mills),2.320,4.580
4,11:56,1,10,PHI 15,28,26,Ryan Fitzpatrick pass incomplete short right intended for DeVante Parker (defended by Jalen Mills),4.580,3.950
4,11:52,2,10,PHI 15,28,26,Ryan Fitzpatrick pass complete short right to Patrick Laird for 11 yards (tackle by Vinny Curry and Jalen Mills),3.950,6.280
4,11:11,1,4,PHI 4,28,32,"Patrick Laird left guard for 4 yards, touchdown",6.280,7.000
4,11:06,,,,,,Timeout #1 by Miami Dolphins,,
4,11:06,,,PHI 2,28,34,"Two Point Attempt: Ryan Fitzpatrick pass complete to Patrick Laird, conversion succeeds",1.000,1.000
4,11:06,,,MIA 35,28,34,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,11:06,1,10,PHI 25,28,34,Miles Sanders right tackle for 4 yards (tackle by Taco Charlton),0.610,0.600
4,10:28,2,6,PHI 29,28,34,Carson Wentz pass complete short middle to Miles Sanders for 2 yards (tackle by Raekwon McMillan),0.600,0.170
4,9:41,3,4,PHI 31,28,34,Carson Wentz pass incomplete deep left intended for Alshon Jeffery. Penalty on Nelson Agholor: Offensive Pass Interference (Declined),0.170,-1.310
4,9:36,4,4,PHI 31,28,34,"Cameron Johnston punts 42 yards, fair catch by Marcus Sherels at MIA-27. Penalty on Chris Lammons: Offensive Holding, 10 yards. Penalty on Jomal Wiltz: Illegal Use of Hands, 10 yards",-1.310,0.060
4,9:30,1,10,MIA 17,28,34,Ryan Fitzpatrick pass complete short middle to Mike Gesicki for 12 yards (tackle by Malcolm Jenkins),-0.060,0.870
4,8:55,1,10,MIA 29,28,34,"Ryan Fitzpatrick pass complete short right to DeVante Parker for 4 yards (tackle by Kamu Grugier-Hill and Jalen Mills). Penalty on Anthony Rush: Defensive Offside, 5 yards (no play)",0.870,1.600
4,8:25,1,5,MIA 34,28,34,Ryan Fitzpatrick pass complete short right to Patrick Laird for 6 yards (tackle by Nigel Bradham),1.600,1.600
4,7:37,,,,,,Timeout #2 by Miami Dolphins,,
4,7:37,1,10,MIA 40,28,34,Ryan Fitzpatrick pass incomplete short left intended for Mike Gesicki (defended by Nigel Bradham),1.600,1.050
4,7:33,2,10,MIA 40,28,34,Ryan Fitzpatrick pass incomplete deep middle intended for Mike Gesicki,1.050,0.370
4,7:29,3,10,MIA 40,28,34,Ryan Fitzpatrick pass complete short left to Albert Wilson for 13 yards,0.370,2.460
4,6:55,1,10,PHI 47,28,34,Myles Gaskin left tackle for 9 yards (tackle by Kamu Grugier-Hill and Rodney McLeod),2.460,3.130
4,6:07,2,1,PHI 38,28,34,Ryan Fitzpatrick up the middle for no gain (tackle by Timmy Jernigan),3.130,2.410
4,5:26,3,1,PHI 38,28,34,Ryan Fitzpatrick pass incomplete deep right intended for Clive Walford (defended by Malcolm Jenkins),2.410,0.720
4,5:21,4,1,PHI 38,28,34,Ryan Fitzpatrick pass complete short middle to DeVante Parker for 8 yards (tackle by Ronald Darby),0.720,3.580
4,4:36,1,10,PHI 30,28,34,Patrick Laird right guard for -1 yards (tackle by Brandon Graham),3.580,2.900
4,3:58,2,11,PHI 31,28,34,"Ryan Fitzpatrick pass complete deep right to Mike Gesicki for 25 yards (tackle by Jalen Mills). Penalty on Mike Gesicki: Offensive Pass Interference, 10 yards (no play)",2.900,1.550
4,3:51,2,21,PHI 41,28,34,Ryan Fitzpatrick pass complete short middle to Durham Smythe for 7 yards (tackle by Malcolm Jenkins),1.550,1.820
4,3:46,,,,,,Timeout #1 by Philadelphia Eagles,,
4,3:46,3,14,PHI 34,28,34,Patrick Laird left guard for 1 yard (tackle by Malcolm Jenkins),1.820,1.150
4,3:42,,,,,,Timeout #2 by Philadelphia Eagles,,
4,3:42,4,13,PHI 33,28,37,Jason Sanders 51 yard field goal good,1.150,3.000
4,3:37,,,MIA 35,28,37,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,3:37,1,10,PHI 25,28,37,Carson Wentz pass complete deep middle to Alshon Jeffery for 27 yards (tackle by Adrian Colbert),0.610,2.390
4,3:11,1,10,MIA 48,28,37,Carson Wentz pass complete short right to Alshon Jeffery for 11 yards,2.390,3.120
4,2:46,1,10,MIA 37,28,37,Carson Wentz pass complete deep left to Nelson Agholor for 24 yards (tackle by Ken Webster),3.120,4.710
4,2:39,1,10,MIA 13,28,37,Carson Wentz pass incomplete short left intended for Zach Ertz (defended by Eric Rowe),4.710,4.050
4,2:34,2,10,MIA 13,28,37,"Carson Wentz sacked by Taco Charlton for -6 yards. Carson Wentz fumbles (forced by Taco Charlton), recovered by Carson Wentz at MIA-19",4.050,2.670
4,2:00,3,16,MIA 19,28,37,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,2.670,2.180
4,1:55,4,16,MIA 19,31,37,Jake Elliott 37 yard field goal good,2.180,3.000
4,1:51,,,PHI 35,31,37,"Jake Elliott kicks onside 13 yards, returned by Marcus Sherels for no gain",0.000,1.400
4,1:49,1,10,MIA 37,31,37,Patrick Laird left tackle for no gain (tackle by Duke Riley),1.400,0.860
4,1:46,,,,,,Timeout #3 by Philadelphia Eagles,,
4,1:46,2,10,MIA 37,31,37,Patrick Laird right tackle for 1 yard (tackle by Brandon Graham and Rodney McLeod),0.860,0.300
4,1:01,3,9,MIA 38,31,37,Patrick Laird up the middle for 3 yards (tackle by Duke Riley),0.300,-0.650
4,0:15,4,6,MIA 41,31,37,Matt Haack punts 28 yards out of bounds,-0.650,-1.000
4,0:08,,,,,,Timeout #3 by Miami Dolphins,,
4,0:08,1,10,PHI 31,31,37,Carson Wentz pass complete deep left to Alshon Jeffery for 20 yards (tackle by Ken Webster),1.000,2.320
4,0:02,1,10,MIA 49,31,37,Carson Wentz pass deep right (defended by Walt Aikens) is intercepted by Chris Lammons at MIA-0 and returned for no gain,2.320,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
